year (AD) [1-1],age (BP) [1-1],hole (missing) [1-1],section (missing) [1-1],interval (missing) [1-1],varveCountedAgeKa (missing) [1-1],varveCountedAgeAD0x2FBC (AD) [1-1],radiocarbonDatesAD0x2FBC (missing) [1-1],d18O (missing) [1-1],d18O (missing) [1-1],d18O (missing) [1-1],d18O (missing) [1-1],year (AD) [2-1],age (BP) [2-1],bulloidesTemp (degC) [2-1]
1940.57,9.43,NA,02H,76078.0,NA,NA,NA,0.386,0.729,-0.396,-0.053,-7554.862,9504.862,13.68
1940.57,9.43,NA,02H,76079.0,NA,NA,NA,NA,NA,NA,NA,-7632.543,9582.543,14.1
1940.55,9.45,NA,02H,81083.0,NA,NA,NA,0.352,0.697,-0.291,0.054,-7664.322,9614.322,14.06
1940.51,9.49,NA,02H,93095.0,NA,NA,NA,0.464,0.813,0.079,0.428,-7727.88,9677.88,13.83
1940.5,9.5,NA,02H,97099.0,NA,NA,NA,0.261,0.611,-0.189,0.161,-7805.562,9755.562,13.81
1940.42,9.58,NA,02H,119121.0,NA,NA,NA,0.522,0.88,-0.281,0.077,-7808.869,9758.869,13.77
1940.39,9.61,NA,02H,128130.0,NA,NA,NA,0.434,0.798,-0.274,0.234,-7821.628,9771.628,14.38
1940.32,9.68,NA,02H,146148.0,NA,NA,NA,0.443,0.811,-0.222,0.146,-7834.387,9784.387,14.67
1940.24,9.76,NA,02H,19021.0,NA,NA,NA,0.431,0.807,-0.217,0.159,-7847.145,9797.145,13.7
1940.24,9.76,B,03H,54056.0,NA,NA,NA,0.208,0.584,-0.209,0.167,-7859.904,9809.904,14.12
1940.23,9.77,B,03H,58060.0,NA,NA,NA,0.418,0.795,-0.344,0.033,-7872.663,9822.663,15.23
1940.22,9.78,B,03H,62064.0,NA,NA,NA,0.322,0.7,-0.409,-0.031,-7885.421,9835.421,13.41
1940.2,9.8,B,03H,66068.0,NA,NA,NA,0.277,0.657,-0.194,0.186,-7898.18,9848.18,14.99
1940.19,9.81,B,03H,70072.0,NA,NA,NA,0.319,0.7,-0.286,0.095,-7910.939,9860.939,15.35
1940.18,9.82,B,03H,74076.0,NA,NA,NA,0.249,0.631,-0.535,-0.153,-7923.697,9873.697,15.26
1940.16,9.84,B,03H,78080.0,NA,NA,NA,0.41,0.794,-0.129,0.255,-7936.456,9886.456,14.41
1940.15,9.85,B,03H,82084.0,NA,NA,NA,0.291,0.676,-0.48,-0.095,-7949.214,9899.214,13.56
1940.14,9.86,B,03H,86088.0,NA,NA,NA,0.292,0.678,-0.562,-0.176,-7961.973,9911.973,15.83
1940.13,9.87,B,03H,90092.0,NA,NA,NA,0.354,0.741,-0.54,-0.153,-7974.732,9924.732,14.36
1940.11,9.89,B,03H,94096.0,NA,NA,NA,0.155,0.544,-0.351,0.038,-7987.49,9937.49,14.55
1940.1,9.9,B,03H,98100.0,NA,NA,NA,0.244,0.634,-0.161,0.229,-8013.646,9963.646,13.41
1940.09,9.91,B,03H,102104.0,NA,NA,NA,0.14,0.531,-0.669,-0.278,-8026.404,9976.404,13.36
1940.08,9.92,B,03H,106108.0,NA,NA,NA,0.274,0.666,-0.339,0.053,-8039.163,9989.163,13.01
1940.06,9.94,B,03H,110112.0,NA,NA,NA,0.144,0.538,-0.384,0.01,-8051.922,10001.922,14.7
1940.04,9.96,B,03H,122124.0,NA,NA,NA,0.358,0.754,-0.128,0.268,NA,NA,NA
1940.02,9.98,B,03H,126128.0,NA,NA,NA,0.323,0.721,-0.117,0.281,NA,NA,NA
1940.01,9.99,B,03H,130132.0,NA,NA,NA,0.274,0.673,-0.04,0.359,NA,NA,NA
1940,10,B,03H,134136.0,NA,NA,NA,0.253,0.653,-0.415,-0.015,NA,NA,NA
