year (AD),age (BP),depth (m),dD (permil),sampleID (missing),d18O (missing),deutEx (missing)
-6278.51,8228.51,264,-400.3,481,-51.26,9.8
-6298.17,8248.17,264.55,-407.3,482,-52.03,8.9
-6317.75,8267.75,265.1,-403,483,-51.66,10.3
-6337.26,8287.26,265.65,-404.2,484,-51.82,10.4
-6356.67,8306.67,266.2,-401.2,485,-51.47,10.6
-6375.97,8325.97,266.75,-397.2,486,-51,10.8
-6395.19,8345.19,267.3,-396.9,487,-50.79,9.4
-6414.28,8364.28,267.85,-397.8,488,-50.83,8.8
-6433.31,8383.31,268.4,-409.5,489,-52.39,9.6
-6452.23,8402.23,268.95,-397.1,490,-50.82,9.5
-6471.12,8421.12,269.5,-390.3,491,-49.95,9.3
-6489.95,8439.95,270.05,-397.5,492,-50.88,9.5
-6508.78,8458.78,270.6,-401.9,493,-51.25,8.1
-6527.61,8477.61,271.15,-392.4,494,-50.23,9.4
-6546.47,8496.47,271.7,-399.9,495,-51.2,9.7
-6565.36,8515.36,272.25,-399.3,496,-51.11,9.6
-6584.3,8534.3,272.8,-396.7,497,-50.81,9.8
-6603.28,8553.28,273.35,-402.1,498,-51.43,9.3
-6622.28,8572.28,273.9,-401.8,499,-51.41,9.5
-6641.3,8591.3,274.45,-397.5,500,-50.91,9.8
-6660.32,8610.32,275,-400.2,501,-51.3,10.2
-6679.32,8629.32,275.55,-395,502,-50.53,9.2
-6698.27,8648.27,276.1,-404.4,503,-51.79,9.9
-6717.18,8667.18,276.65,-402.1,504,-51.51,10
-6736.02,8686.02,277.2,-397.9,505,-50.88,9.1
-6754.79,8704.79,277.75,-393.4,506,-50.5,10.6
-6773.49,8723.49,278.3,-397.7,507,-50.96,10
-6792.12,8742.12,278.85,-397.4,508,-50.69,8.1
-6810.71,8760.71,279.4,-397.4,509,-50.77,8.8
-6829.25,8779.25,279.95,-399,510,-51,9
-6847.78,8797.78,280.5,-391.8,511,-50.04,8.5
-6866.3,8816.3,281.05,-392.7,512,-50.28,9.5
-6884.84,8834.84,281.6,-401.1,513,-51.29,9.2
-6903.41,8853.41,282.15,-396.1,514,-50.62,8.9
-6922,8872,282.7,-397.7,515,-50.76,8.4
-6940.63,8890.63,283.25,-395.6,516,-50.57,9
-6959.29,8909.29,283.8,-398.6,517,-50.97,9.2
-6977.97,8927.97,284.35,-394.9,518,-50.51,9.2
-6996.65,8946.65,284.9,-394.9,519,-50.62,10.1
-7015.31,8965.31,285.45,-407.4,520,-52.09,9.3
-7033.91,8983.91,286,-403.4,521,-51.56,9.1
-7052.46,9002.46,286.55,-392.2,522,-50.13,8.8
-7070.9,9020.9,287.1,-400.4,523,-51.1,8.4
-7089.27,9039.27,287.65,-391.1,524,-49.96,8.6
-7107.53,9057.53,288.2,-388.5,525,-49.66,8.8
-7125.71,9075.71,288.75,-394.8,526,-50.36,8.1
-7143.82,9093.82,289.3,-397.7,527,-50.77,8.5
-7161.85,9111.85,289.85,-401.2,528,-51.36,9.7
-7179.84,9129.84,290.4,-391.9,529,-50.21,9.8
-7197.75,9147.75,290.95,-393.3,530,-50.27,8.9
-7215.62,9165.62,291.5,-394.3,531,-50.34,8.4
-7233.42,9183.42,292.05,-395,532,-50.51,9.1
-7251.21,9201.21,292.6,-392.4,533,-50.14,8.7
-7268.98,9218.98,293.15,-393.5,534,-50.2,8.1
-7286.74,9236.74,293.7,-390,535,-49.85,8.8
-7304.51,9254.51,294.25,NA,536,-49.85,NA
-7322.3,9272.3,294.8,-388.5,537,-49.74,9.4
-7340.1,9290.1,295.35,-394.3,538,-50.41,9
-7357.9,9307.9,295.9,-403.6,539,-51.69,9.9
-7375.69,9325.69,296.45,-393.3,540,-50.29,9
-7393.44,9343.44,297,-398,541,-50.95,9.6
-7411.14,9361.14,297.55,-391,542,-50.05,9.4
-7428.75,9378.75,298.1,-395.8,543,-50.49,8.1
-7446.29,9396.29,298.65,-386.4,544,-49.3,8
-7463.73,9413.73,299.2,-391.8,545,-50.08,8.8
-7481.08,9431.08,299.75,-398.2,546,-50.91,9.1
-7498.36,9448.36,300.3,-391.6,547,-50.13,9.4
-7515.55,9465.55,300.85,-393.4,548,-50.41,9.9
-7532.69,9482.69,301.4,-384.4,549,-49.08,8.2
-7549.78,9499.78,301.95,-391.3,550,-50.07,9.3
-7566.87,9516.87,302.5,-391,551,-49.95,8.6
-7583.97,9533.97,303.05,-388.3,552,-49.63,8.7
-7601.1,9551.1,303.6,-391.4,553,-49.99,8.5
-7618.32,9568.32,304.15,-382.9,554,-48.91,8.4
-7635.61,9585.61,304.7,-387.2,555,-49.53,9
-7653,9603,305.25,-405.5,556,-51.94,10
-7670.48,9620.48,305.8,-391.7,557,-50.06,8.8
-7688.02,9638.02,306.35,-392.1,558,-50.17,9.3
-7705.62,9655.62,306.9,-400.4,559,-51.19,9.1
-7723.24,9673.24,307.45,-386.7,560,-49.62,10.3
-7740.88,9690.88,308,-394.5,561,-50.55,9.9
-7758.51,9708.51,308.55,-389.9,562,-49.93,9.5
-7776.12,9726.12,309.1,-394.7,563,-50.48,9.1
-7793.7,9743.7,309.65,-396.6,564,-50.81,9.9
-7811.24,9761.24,310.2,-388.6,565,-49.63,8.4
-7828.72,9778.72,310.75,-392.9,566,-50.36,10
-7846.15,9796.15,311.3,-395.2,567,-50.4,8
-7863.51,9813.51,311.85,-389.1,568,-49.94,10.4
-7880.82,9830.82,312.4,-388.7,569,-49.72,9.1
-7898.08,9848.08,312.95,-391.8,570,-50,8.2
-7915.31,9865.31,313.5,-388.8,571,-49.65,8.4
-7932.5,9882.5,314.05,-397.7,572,-50.81,8.8
-7949.69,9899.69,314.6,-390.4,573,-49.84,8.3
-7966.89,9916.89,315.15,-382.1,574,-48.89,9
-7984.13,9934.13,315.7,-387.9,575,-49.43,7.5
-8001.42,9951.42,316.25,-390.6,576,-49.71,7.1
-8018.8,9968.8,316.8,-393.3,577,-50.16,8
-8036.25,9986.25,317.35,-388.1,578,-49.77,10.1
-8053.82,10003.82,317.9,-391.6,579,-50.14,9.5
-8071.46,10021.46,318.45,-396.9,580,-50.68,8.5
-8089.22,10039.22,319,-398.7,581,-51.06,9.8
-8107.02,10057.02,319.55,-386.6,582,-49.5,9.4
-8124.91,10074.91,320.1,-390.7,583,-49.99,9.2
-8142.84,10092.84,320.65,-391.2,584,-50.01,8.9
-8160.83,10110.83,321.2,-389.5,585,-49.82,9.1
-8178.83,10128.83,321.75,-400.9,586,-51.15,8.3
-8196.85,10146.85,322.3,-388.6,587,-49.68,8.8
-8214.82,10164.82,322.85,-397.9,588,-50.89,9.2
-8232.76,10182.76,323.4,-393,589,-50.25,9
-8250.59,10200.59,323.95,-394.4,590,-50.32,8.2
-8268.35,10218.35,324.5,-399.4,591,-50.98,8.4
-8285.97,10235.97,325.05,-388.2,592,-49.65,9
-8303.52,10253.52,325.6,-386.8,593,-49.42,8.6
-8320.98,10270.98,326.15,-383,594,-49.01,9.1
-8338.43,10288.43,326.7,-387.5,595,-49.58,9.1
-8355.88,10305.88,327.25,-390.1,596,-49.8,8.3
-8373.41,10323.41,327.8,-377.1,597,-48.06,7.4
-8391,10341,328.35,-397.4,598,-50.59,7.3
-8408.75,10358.75,328.9,-390.6,599,-49.88,8.4
-8426.57,10376.57,329.45,-393.2,600,-50.16,8.1
-8444.57,10394.57,330,-395.2,601,-50.42,8.2
-8462.64,10412.64,330.55,-393.7,602,-50.34,9
-8480.85,10430.85,331.1,-392.9,603,-50.19,8.6
-8499.13,10449.13,331.65,-391.4,604,-49.9,7.8
-8517.52,10467.52,332.2,-384.5,605,-48.94,7
-8535.99,10485.99,332.75,-394.4,606,-50.32,8.2
-8554.54,10504.54,333.3,-394.8,607,-50.45,8.8
-8573.16,10523.16,333.85,-395.8,608,-50.33,6.8
-8591.81,10541.81,334.4,-396.2,609,-50.65,9
-8610.5,10560.5,334.95,-395.4,610,-50.15,5.8
-8629.2,10579.2,335.5,-391.7,611,-49.89,7.4
-8647.92,10597.92,336.05,-390.9,612,-49.71,6.8
-8666.65,10616.65,336.6,-388,613,-49.36,6.9
-8685.39,10635.39,337.15,-392.6,614,-49.9,6.6
-8704.16,10654.16,337.7,-397.7,615,-50.77,8.5
-8722.94,10672.94,338.25,-394.3,616,-50.29,8
-8741.75,10691.75,338.8,-391.4,617,-49.79,6.9
-8760.57,10710.57,339.35,-387.7,618,-49.53,8.5
-8779.42,10729.42,339.9,-395.2,619,-50.36,7.7
-8798.29,10748.29,340.45,-400.3,620,-50.96,7.4
-8817.17,10767.17,341,-393.3,621,-50.11,7.6
-8836.07,10786.07,341.55,-390,622,-49.61,6.9
-8854.99,10804.99,342.1,-390.9,623,-49.91,8.4
-8873.95,10823.95,342.65,-387.4,624,-49.38,7.6
-8892.95,10842.95,343.2,-389.7,625,-49.69,7.8
-8912.01,10862.01,343.75,-398,626,-50.8,8.4
-8931.1,10881.1,344.3,-396.1,627,-50.46,7.6
-8950.21,10900.21,344.85,-392,628,-49.86,6.9
-8969.32,10919.32,345.4,-397.7,629,-50.53,6.5
-8988.39,10938.39,345.95,-398.9,630,-50.75,7.1
-9007.44,10957.44,346.5,-394.7,631,-50.34,8
-9026.42,10976.42,347.05,-386.8,632,-49.28,7.4
-9045.37,10995.37,347.6,-385.8,633,-49.25,8.2
-9064.28,11014.28,348.15,-387.9,634,-49.43,7.5
-9083.17,11033.17,348.7,-390.7,635,-49.85,8.1
-9102.05,11052.05,349.25,-402,636,-51.21,7.7
-9120.91,11070.91,349.8,-392.6,637,-50.07,8
-9139.76,11089.76,350.35,-390.8,638,-49.85,8
-9158.59,11108.59,350.9,-394.6,639,-50.23,7.2
-9177.42,11127.42,351.45,-381,640,-48.57,7.6
-9196.27,11146.27,352,-382.1,641,-48.69,7.4
-9215.12,11165.12,352.55,-399.5,642,-50.9,7.7
-9234,11184,353.1,-393.5,643,-50.26,8.6
-9252.88,11202.88,353.65,-398.4,644,-50.62,6.6
-9271.76,11221.76,354.2,-393.4,645,-50.11,7.5
-9290.62,11240.62,354.75,-390.9,646,-49.62,6.1
-9309.48,11259.48,355.3,-386.1,647,-49.18,7.3
-9328.36,11278.36,355.85,-387.8,648,-49.62,9.2
-9347.28,11297.28,356.4,-383.8,649,-48.82,6.8
-9366.3,11316.3,356.95,-386.9,650,-49.27,7.3
-9385.37,11335.37,357.5,-393,651,-49.92,6.4
-9404.59,11354.59,358.05,-396.6,652,-50.34,6.1
-9423.87,11373.87,358.6,-394.1,653,-50.13,6.9
-9443.26,11393.26,359.15,-395.5,654,-50.27,6.7
-9462.7,11412.7,359.7,-395.4,655,-50.32,7.2
-9482.2,11432.2,360.25,-389.6,656,-49.47,6.2
-9501.77,11451.77,360.8,-394.8,657,-50.14,6.3
-9521.37,11471.37,361.35,-388.3,658,-49.46,7.4
-9541.08,11491.08,361.9,-394.8,659,-50.23,7
-9560.86,11510.86,362.45,-387.9,660,-49.49,8
-9580.82,11530.82,363,-396.1,661,-50.46,7.6
-9600.9,11550.9,363.55,-391.3,662,-49.86,7.6
-9621.23,11571.23,364.1,-393.6,663,-50.17,7.8
-9641.76,11591.76,364.65,-387.8,664,-49.29,6.5
-9662.58,11612.58,365.2,-396.1,665,-50.36,6.8
-9683.69,11633.69,365.75,-403.2,666,-51.37,7.8
-9705.05,11655.05,366.3,-399.4,667,-50.83,7.2
-9726.74,11676.74,366.85,-400.8,668,-51.01,7.3
-9748.61,11698.61,367.4,-399.4,669,-50.74,6.5
-9770.81,11720.81,367.95,-400.9,670,-50.99,7
-9793.14,11743.14,368.5,-399.2,671,-50.77,7
-9815.77,11765.77,369.05,-404.9,672,-51.49,7
-9838.55,11788.55,369.6,-404,673,-51.51,8.1
-9861.57,11811.57,370.15,-398.2,674,-50.66,7.1
-9884.78,11834.78,370.7,-400,675,-50.82,6.6
-9908.22,11858.22,371.25,-399.8,676,-50.66,5.5
-9931.91,11881.91,371.8,-406.2,677,-51.67,7.2
-9955.78,11905.78,372.35,-403.5,678,-51.37,7.5
-9979.93,11929.93,372.9,-405.5,679,-51.59,7.2
-10004.21,11954.21,373.45,-414.8,680,-52.94,8.7
-10028.72,11978.72,374,-406.2,681,-51.84,8.5
-10053.33,12003.33,374.55,-405.8,682,-51.67,7.6
-10078.11,12028.11,375.1,-410.9,683,-52.4,8.3
-10103,12053,375.65,-403.7,684,-51.36,7.2
-10128.05,12078.05,376.2,-400.6,685,-51.08,8
-10153.29,12103.29,376.75,-409.6,686,-52.03,6.6
-10178.7,12128.7,377.3,-401.2,687,-50.97,6.6
-10204.38,12154.38,377.85,-413.3,688,-52.54,7
-10230.22,12180.22,378.4,-414.3,689,-52.82,8.3
-10256.38,12206.38,378.95,-408.8,690,-52.11,8.1
-10282.68,12232.68,379.5,-417.4,691,-53.19,8.1
-10309.31,12259.31,380.05,-406.8,692,-51.78,7.4
-10336.11,12286.11,380.6,-404.3,693,-51.35,6.5
-10363.24,12313.24,381.15,-412.4,694,-52.36,6.5
-10390.62,12340.62,381.7,-412.6,695,-52.43,6.8
-10418.27,12368.27,382.25,-410.9,696,-52.29,7.4
-10446.19,12396.19,382.8,-420.8,697,-53.51,7.3
-10474.29,12424.29,383.35,-417.2,698,-53.11,7.7
-10502.57,12452.57,383.9,-418.8,699,-53.21,6.9
-10530.93,12480.93,384.45,-415.6,700,-52.83,7
-10559.36,12509.36,385,-418.6,701,-53.3,7.8
-10587.81,12537.81,385.55,-410.9,702,-52.24,7
-10616.25,12566.25,386.1,-413.7,703,-52.63,7.3
-10644.67,12594.67,386.65,-412.7,704,-52.42,6.7
-10673.06,12623.06,387.2,-419.3,705,-53.3,7.1
-10701.38,12651.38,387.75,-420.8,706,-53.63,8.2
-10729.64,12679.64,388.3,-412.1,707,-52.52,8.1
-10757.81,12707.81,388.85,-416,708,-52.98,7.8
-10785.92,12735.92,389.4,-408.8,709,-52.04,7.5
-10813.94,12763.94,389.95,-413.9,710,-52.57,6.7
-10841.91,12791.91,390.5,-416.4,711,-52.95,7.2
-10869.78,12819.78,391.05,-417.7,712,-53.03,6.5
-10897.61,12847.61,391.6,-414.9,713,-52.72,6.9
-10925.34,12875.34,392.15,-410.4,714,-52.17,7
-10953,12903,392.7,-411.6,715,-52.54,8.7
-10980.58,12930.58,393.25,-415,716,-52.68,6.4
-11008.07,12958.07,393.8,-418.4,717,-53.11,6.5
-11035.48,12985.48,394.35,-415.5,718,-52.87,7.5
-11062.78,13012.78,394.9,-412.9,719,-52.52,7.3
-11090.04,13040.04,395.45,-408,720,-51.9,7.2
-11117.22,13067.22,396,-410.8,721,-52.28,7.4
-11144.4,13094.4,396.55,-414.8,722,-52.78,7.4
-11171.6,13121.6,397.1,-408.7,723,-52.14,8.4
-11198.85,13148.85,397.65,-408.5,724,-51.91,6.8
-11226.18,13176.18,398.2,-411.8,725,-52.43,7.6
-11253.6,13203.6,398.75,-412.8,726,-52.62,8.2
-11281.11,13231.11,399.3,-419,727,-53.43,8.4
-11308.71,13258.71,399.85,-417.5,728,-53.17,7.9
-11336.37,13286.37,400.4,-414,729,-52.63,7
-11364.12,13314.12,400.95,-416.6,730,-53.14,8.5
-11391.92,13341.92,401.5,-410.8,731,-52.36,8.1
-11419.8,13369.8,402.05,-403.4,732,-51.38,7.6
-11447.74,13397.74,402.6,-413.7,733,-52.6,7.1
-11475.79,13425.79,403.15,-410.2,734,-52.25,7.8
-11503.93,13453.93,403.7,-415.9,735,-52.97,7.9
-11532.17,13482.17,404.25,-416.8,736,-53.06,7.7
-11560.44,13510.44,404.8,-417.3,737,-53.22,8.5
-11588.74,13538.74,405.35,-417.1,738,-53.15,8.1
-11616.98,13566.98,405.9,-411.9,739,-52.16,5.4
-11645.17,13595.17,406.45,-415.5,740,-52.91,7.8
-11673.22,13623.22,407,-413.4,741,-52.54,6.9
-11701.2,13651.2,407.55,-405,742,-51.48,6.8
-11729,13679,408.1,-417.2,743,-53,6.8
-11756.68,13706.68,408.65,-405.5,744,-51.54,6.8
-11784.2,13734.2,409.2,-414.3,745,-52.68,7.1
-11811.55,13761.55,409.75,-414.8,746,-52.83,7.8
-11838.75,13788.75,410.3,-412,747,-52.42,7.4
-11865.75,13815.75,410.85,-407.5,748,-51.79,6.8
-11892.64,13842.64,411.4,-403.4,749,-51.24,6.5
-11919.36,13869.36,411.95,-402.3,750,-51.01,5.8
-11946,13896,412.5,-405.9,751,-51.57,6.7
-11972.49,13922.49,413.05,-410.4,752,-52.3,8
-11998.89,13948.89,413.6,-410.8,753,-52.19,6.7
-12025.12,13975.12,414.15,-413.4,754,-52.44,6.1
-12051.2,14001.2,414.7,-406,755,-51.54,6.3
-12077.1,14027.1,415.25,-402.6,756,-51.15,6.6
-12102.8,14052.8,415.8,-404.3,757,-51.45,7.3
-12128.36,14078.36,416.35,-406.9,758,-51.69,6.6
-12153.75,14103.75,416.9,-411.2,759,-52.33,7.4
-12179.08,14129.08,417.45,-392.2,760,-49.94,7.3
-12204.39,14154.39,418,-397.7,761,-50.48,6.1
-12229.77,14179.77,418.55,-399.1,762,-50.66,6.2
-12255.33,14205.33,419.1,-402.3,763,-51.08,6.3
-12281.11,14231.11,419.65,-401.1,764,-50.87,5.9
-12307.22,14257.22,420.2,-403.9,765,-51.27,6.3
-12333.72,14283.72,420.75,-401.2,766,-50.93,6.2
-12360.57,14310.57,421.3,-418.2,767,-53.05,6.2
-12387.92,14337.92,421.85,-408.8,768,-51.82,5.8
-12415.55,14365.55,422.4,-402.3,769,-51.02,5.9
-12443.72,14393.72,422.95,-411.1,770,-52.08,5.5
-12472.13,14422.13,423.5,-411.1,771,-52.15,6.1
-12501.02,14451.02,424.05,-407.3,772,-51.68,6.1
-12530.1,14480.1,424.6,-413.6,773,-52.49,6.3
-12559.52,14509.52,425.15,-411.2,774,-51.93,4.2
-12589.07,14539.07,425.7,-418.6,775,-52.97,5.2
-12618.76,14568.76,426.25,-415.7,776,-52.74,6.2
-12648.46,14598.46,426.8,-411.3,777,-52.14,5.8
-12678.16,14628.16,427.35,-416.2,778,-52.66,5.1
-12707.77,14657.77,427.9,-412.6,779,-52.43,6.8
-12737.32,14687.32,428.45,-407.6,780,-51.76,6.5
-12766.77,14716.77,429,-410.1,781,-51.95,5.5
-12796.17,14746.17,429.55,-411.6,782,-52.19,5.9
-12825.53,14775.53,430.1,-407.5,783,-51.75,6.5
-12854.9,14804.9,430.65,-409.9,784,-51.98,5.9
-12884.3,14834.3,431.2,-411.3,785,-52.19,6.2
-12913.78,14863.78,431.75,-419,786,-53.21,6.7
-12943.35,14893.35,432.3,-399.4,787,-50.88,7.6
-12973.11,14923.11,432.85,-413,788,-52.41,6.3
-13002.99,14952.99,433.4,-416.4,789,-52.82,6.2
-13033.13,14983.13,433.95,-416.3,790,-52.81,6.2
-13063.42,15013.42,434.5,-410,791,-51.84,4.7
-13094.04,15044.04,435.05,-410.7,792,-52.16,6.6
-13124.87,15074.87,435.6,-412.7,793,-52.35,6.1
-13156.08,15106.08,436.15,-411.8,794,-52.12,5.2
-13187.57,15137.57,436.7,-414.2,795,-52.59,6.5
-13219.4,15169.4,437.25,-416.6,796,-52.8,5.8
-13251.58,15201.58,437.8,-420,797,-53.34,6.7
-13283.99,15233.99,438.35,-418.5,798,-53.01,5.6
-13316.7,15266.7,438.9,-419.6,799,-53.14,5.5
-13349.53,15299.53,439.45,-418.7,800,-53.06,5.8
-13382.56,15332.56,440,-420.1,801,-53.31,6.4
-13415.66,15365.66,440.55,-419.8,802,-53.27,6.4
-13448.87,15398.87,441.1,-414,803,-52.65,7.2
-13482.13,15432.13,441.65,-416.2,804,-52.87,6.8
-13515.46,15465.46,442.2,-417.6,805,-53.02,6.6
-13548.86,15498.86,442.75,-421.6,806,-53.44,5.9
-13582.31,15532.31,443.3,-416.6,807,-52.93,6.8
-13615.85,15565.85,443.85,-423.8,808,-53.75,6.2
-13649.46,15599.46,444.4,-414.2,809,-52.57,6.4
-13683.21,15633.21,444.95,-417.8,810,-52.87,5.2
-13717.05,15667.05,445.5,-416.9,811,-53,7.1
-13751.14,15701.14,446.05,-419.1,812,-53.15,6.1
-13785.38,15735.38,446.6,-417.3,813,-52.93,6.1
-13819.92,15769.92,447.15,-419.1,814,-53.16,6.2
-13854.71,15804.71,447.7,-420.3,815,-53.38,6.7
-13889.78,15839.78,448.25,-422.5,816,-53.59,6.2
-13925.2,15875.2,448.8,-417.7,817,-52.94,5.8
-13960.84,15910.84,449.35,-425.4,818,-53.96,6.3
-13996.86,15946.86,449.9,-420.8,819,-53.38,6.2
-14033.05,15983.05,450.45,-421.1,820,-53.33,5.5
-14069.58,16019.58,451,-424.1,821,-53.83,6.5
-14106.24,16056.24,451.55,-426.8,822,-54.25,7.2
-14143.15,16093.15,452.1,-425.9,823,-53.93,5.5
-14180.2,16130.2,452.65,-420.9,824,-53.31,5.6
-14217.43,16167.43,453.2,-421.9,825,-53.44,5.6
-14254.86,16204.86,453.75,-421.7,826,-53.47,6.1
-14292.45,16242.45,454.3,-422.6,827,-53.38,4.4
-14330.33,16280.33,454.85,-429.8,828,-54.49,6.1
-14368.38,16318.38,455.4,-423.9,829,-53.61,5
-14406.81,16356.81,455.95,-421.9,830,-53.37,5.1
-14445.45,16395.45,456.5,-425.8,831,-53.79,4.5
-14484.55,16434.55,457.05,-426,832,-53.93,5.4
-14523.92,16473.92,457.6,-425.7,833,-53.73,4.1
-14563.78,16513.78,458.15,-426.4,834,-54.21,7.3
-14604.02,16554.02,458.7,-434.2,835,-55.16,7.1
-14644.67,16594.67,459.25,-427.5,836,-54.19,6
-14685.82,16635.82,459.8,-429.9,837,-54.53,6.3
-14727.29,16677.29,460.35,-428.1,838,-54.19,5.4
-14769.32,16719.32,460.9,-426.1,839,-53.92,5.3
-14811.63,16761.63,461.45,-438.3,840,-55.5,5.7
-14854.49,16804.49,462,-429.4,841,-54.47,6.4
-14897.57,16847.57,462.55,-434.5,842,-55.11,6.4
-14941.08,16891.08,463.1,-433.9,843,-55.04,6.4
-14984.79,16934.79,463.65,-434.6,844,-55.19,6.9
-15028.78,16978.78,464.2,-439.3,845,-55.66,6
-15072.98,17022.98,464.75,-431.6,846,-54.66,5.7
-15117.34,17067.34,465.3,-432,847,-54.81,6.5
-15161.99,17111.99,465.85,-435.5,848,-55.27,6.7
-15206.8,17156.8,466.4,-429.4,849,-54.27,4.8
-15252.02,17202.02,466.95,-437.2,850,-55.3,5.2
-15297.46,17247.46,467.5,-429.5,851,-54.4,5.7
-15343.42,17293.42,468.05,-441.5,852,-56.04,6.8
-15389.66,17339.66,468.6,-436.2,853,-55.21,5.5
-15436.41,17386.41,469.15,-435.6,854,-55.19,5.9
-15483.53,17433.53,469.7,-439.9,855,-55.76,6.2
-15531.07,17481.07,470.25,-435.5,856,-55.29,6.8
-15579.01,17529.01,470.8,-439.7,857,-55.73,6.1
-15627.22,17577.22,471.35,-442.5,858,-56.03,5.7
-15675.77,17625.77,471.9,-442.1,859,-56.08,6.5
-15724.45,17674.45,472.45,-442.1,860,-56.07,6.5
-15773.34,17723.34,473,-443.5,861,-56.22,6.3
-15822.3,17772.3,473.55,-433.9,862,-54.84,4.8
-15871.39,17821.39,474.1,-439,863,-55.54,5.3
-15920.56,17870.56,474.65,-443.7,864,-56.24,6.2
-15969.82,17919.82,475.2,-438.6,865,-55.49,5.3
-16019.18,17969.18,475.75,-438.4,866,-55.5,5.6
-16068.62,18018.62,476.3,-442.5,867,-55.91,4.8
-16118.15,18068.15,476.85,-444.2,868,-56.39,6.9
-16167.72,18117.72,477.4,-443.1,869,-56.23,6.7
-16217.35,18167.35,477.95,-440.5,870,-55.67,4.9
-16267.01,18217.01,478.5,-440.7,871,-55.86,6.2
-16316.72,18266.72,479.05,-438.8,872,-55.55,5.6
-16366.47,18316.47,479.6,-440.3,873,-55.83,6.3
-16416.28,18366.28,480.15,-441.9,874,-55.96,5.8
-16466.14,18416.14,480.7,-441.7,875,-55.91,5.6
-16516.03,18466.03,481.25,-441.4,876,-55.97,6.4
-16565.94,18515.94,481.8,-442.3,877,-56.15,6.9
-16615.85,18565.85,482.35,-441.6,878,-56.03,6.6
-16665.72,18615.72,482.9,-447.4,879,-56.69,6.1
-16715.58,18665.58,483.45,-437.2,880,-55.4,6
-16765.41,18715.41,484,-440.8,881,-55.75,5.2
-16815.23,18765.23,484.55,-436.5,882,-55.04,3.8
-16865.05,18815.05,485.1,-444.8,883,-56.25,5.2
-16914.88,18864.88,485.65,-440.5,884,-55.63,4.5
-16964.74,18914.74,486.2,-442.9,885,-55.98,4.9
-17014.61,18964.61,486.75,-441.4,886,-55.87,5.6
-17064.49,19014.49,487.3,-439.3,887,-55.83,7.3
-17114.38,19064.38,487.85,-443.4,888,-56.15,5.8
-17164.27,19114.27,488.4,-438.2,889,-55.51,5.9
-17214.14,19164.14,488.95,-446,890,-56.57,6.6
-17263.98,19213.98,489.5,-441.3,891,-55.9,5.9
-17313.75,19263.75,490.05,-435.8,892,-55.16,5.5
-17363.46,19313.46,490.6,-447.9,893,-56.71,5.8
-17413.08,19363.08,491.15,-444.6,894,-56.27,5.6
-17462.63,19412.63,491.7,-436.3,895,-55.09,4.4
-17512.1,19462.1,492.25,-442.5,896,-56.07,6.1
-17561.57,19511.57,492.8,-441.3,897,-55.87,5.7
-17611.05,19561.05,493.35,-432,898,-54.67,5.4
-17660.68,19610.68,493.9,-442.6,899,-56.07,6
-17710.38,19660.38,494.45,-438.7,900,-55.52,5.5
-17760.33,19710.33,495,-445.1,901,-56.27,5.1
-17810.39,19760.39,495.55,-440.2,902,-55.69,5.3
-17860.64,19810.64,496.1,-443.8,903,-56.23,6
-17910.96,19860.96,496.65,-443,904,-56.18,6.4
-17961.34,19911.34,497.2,-446.5,905,-56.55,5.9
-18011.65,19961.65,497.75,-441.5,906,-55.96,6.2
-18061.89,20011.89,498.3,-446.5,907,-56.46,5.2
-18111.92,20061.92,498.85,-444.9,908,-56.38,6.1
-18161.83,20111.83,499.4,-438.9,909,-55.6,5.9
-18211.5,20161.5,499.95,-438.3,910,-55.6,6.5
-18261.08,20211.08,500.5,-436.4,911,-55.24,5.5
-18310.48,20260.48,501.05,-442.4,912,-55.95,5.2
-18359.8,20309.8,501.6,-448,913,-56.74,5.9
-18408.99,20358.99,502.15,-444.2,914,-56.37,6.8
-18458.1,20408.1,502.7,-441.7,915,-55.53,2.5
-18507.11,20457.11,503.25,-439.5,916,-55.51,4.6
-18556.06,20506.06,503.8,-442.1,917,-55.99,5.8
-18604.98,20554.98,504.35,-437.5,918,-55.59,7.2
-18653.89,20603.89,504.9,-444.1,919,-56.36,6.8
-18702.81,20652.81,505.45,-440.6,920,-55.88,6.4
-18751.77,20701.77,506,-442.5,921,-55.88,4.5
-18800.75,20750.75,506.55,-443.5,922,-56.32,7.1
-18849.76,20799.76,507.1,-443.7,923,-56.31,6.8
-18898.78,20848.78,507.65,-446.5,924,-56.67,6.9
-18947.81,20897.81,508.2,-438.8,925,-55.73,7
-18996.88,20946.88,508.75,-438.3,926,-55.6,6.5
-19045.98,20995.98,509.3,-441.2,927,-55.84,5.5
-19095.16,21045.16,509.85,-442.3,928,-56,5.7
-19144.39,21094.39,510.4,-443.3,929,-56.24,6.6
-19193.73,21143.73,510.95,-443.2,930,-56.35,7.6
-19243.13,21193.13,511.5,-439.5,931,-55.76,6.6
-19292.66,21242.66,512.05,-441.5,932,-56.09,7.2
-19342.24,21292.24,512.6,-441.8,933,-56.08,6.8
-19391.93,21341.93,513.15,-442.2,934,-56.08,6.4
-19441.65,21391.65,513.7,-441.7,935,-56.03,6.5
-19491.42,21441.42,514.25,-446.3,936,-56.63,6.7
-19541.17,21491.17,514.8,-440.9,937,-55.86,6
-19590.9,21540.9,515.35,-442.5,938,-56.02,5.7
