depth (m),age (BP),temperature (degC),label (missing),Uk37 (missing),C37.concentration (g),depth (m),age (BP),label (missing),planktic.d18O (permil)
45.54,124010,26.1,"165-1002C-5H-6,106-107",0.926,1.66e-6,55.05,160730,"165-1002C-6H-7,78",0.2
45.74,124800,26.2,"165-1002C-5H-6,126-127",0.928,2.35e-6,56.55,164890,"165-1002C-6H-8,78",0.19
45.93,125560,25.8,"165-1002C-5H-6,145-146",0.915,1.98e-6,56.64,167940,"165-1002C-7H-1,74",-0.29
46.04,126000,25.7,"165-1002C-5H-7,6-7",0.913,1.77e-6,57.52,170210,"165-1002C-7H-2,74",0.22
46.24,126800,24.5,"165-1002C-5H-7,26-27",0.87,1.9e-6,59.07,174200,"165-1002C-7H-3,79",-0.3
46.44,127600,25,"165-1002C-5H-7,46-47",0.889,1.58e-6,60.52,177950,"165-1002C-7H-4,74",-0.28
46.47,130510,26.3,"165-1002C-6H-1,6-7",0.935,1.23e-6,62.09,182000,"165-1002C-7H-5,74",0.69
46.64,128400,25.2,"165-1002C-5H-7,66-67",0.896,1.27e-6,63.64,183660,"165-1002C-7H-6,74",-0.3
46.72,131520,26.4,"165-1002C-6H-2,4-5",0.935,8.8e-7,68.17,190630,"165-1002C-8H-3,72",-0.47
46.84,129200,26,"165-1002C-5H-7,86-87",0.923,2.04e-6,69.69,192330,"165-1002C-8H-4,74",-0.77
46.94,132400,26.3,"165-1002C-6H-2,26-27",0.934,2.15e-6,71.19,194000,"165-1002C-8H-5,74",-1.11
47.14,133190,26.7,"165-1002C-6H-2,46-47",0.946,1.18e-6,72.72,200020,"165-1002C-8H-6,74",-0.77
47.34,133970,26.8,"165-1002C-6H-2,66-67",0.951,1.93e-6,74.24,206000,"165-1002C-8H-7,76",-0.19
47.54,134760,26.3,"165-1002C-6H-2,86-87",0.933,1.89e-6,75.67,222350,"165-1002C-9H-1,77",-0.21
47.74,135560,26.3,"165-1002C-6H-2,106-107",0.932,6.1e-7,75.72,216000,"165-1002C-8H-8,74",-0.62
47.94,136350,26.7,"165-1002C-6H-2,126-127",0.946,1.24e-6,76.85,228000,"165-1002C-9H-2,74",0.1
48.1,136970,26.4,"165-1002C-6H-2,142-143",0.938,9.1e-7,78.35,238000,"165-1002C-9H-3,74",-0.62
48.24,137510,26.4,"165-1002C-6H-3,6-7",0.935,1.14e-6,81.35,250000,"165-1002C-9H-5,74",0.48
48.44,138310,26.3,"165-1002C-6H-3,26-27",0.932,0,82.85,258000,"165-1002C-9H-6,74",0.29
48.64,139100,26.6,"165-1002C-6H-3,46-47",0.943,1.12e-6,84.28,270000,"165-1002C-9H-7,67",0.69
48.84,139900,26.2,"165-1002C-6H-3,66-67",0.931,4.4e-7,85.15,275350,"165-1002C-10H-1,75",-0.12
49.04,140680,26.2,"165-1002C-6H-3,86-87",0.931,5.3e-7,85.92,278600,"165-1002C-10H-2,71",-0.03
49.24,141460,25.9,"165-1002C-6H-3,106-107",0.921,5.4e-7,87.43,284980,"165-1002C-10H-3,72",-0.92
49.74,143430,25.7,"165-1002C-6H-4,6-7",0.912,3.6e-7,88.96,291470,"165-1002C-10H-4,75",-0.19
49.93,144190,25.7,"165-1002C-6H-4,25-26",0.913,5.9e-7,90.5,298000,"165-1002C-10H-5,74",0.03
50.14,145050,25.8,"165-1002C-6H-4,46-47",0.916,3.3e-7,92.06,306340,"165-1002C-10H-6,73",-0.83
50.34,145870,25.8,"165-1002C-6H-4,66-67",0.917,6.2e-7,93.5,314030,"165-1002C-10H-7,67",-0.83
50.54,146700,25.4,"165-1002C-6H-4,86-87",0.903,7.5e-7,94.92,330000,"165-1002C-11H-2,79",-1.48
50.74,147520,25.6,"165-1002C-6H-4,106-107",0.911,3.8e-7,95.07,322400,"165-1002C-10H-8,74",-0.37
50.94,148340,25.7,"165-1002C-6H-4,126-127",0.914,9.7e-7,96.41,332270,"165-1002C-11H-3,78",-1.16
51.11,149020,25.3,"165-1002C-6H-4,143-144",0.9,3.6e-7,97.97,334650,"165-1002C-11H-4,79",0.03
51.24,149530,25.7,"165-1002C-6H-5,6-7",0.912,3.8e-7,99.67,337240,"165-1002C-11H-5,79",0.38
51.46,150390,25.6,"165-1002C-6H-5,28-29",0.908,4.8e-7,101.27,339680,"165-1002C-11H-6,78",-0.22
51.64,151060,25.3,"165-1002C-6H-5,46-47",0.9,0,102.8,342000,"165-1002C-11H-7,78",1.03
51.84,151790,25.2,"165-1002C-6H-5,66-67",0.895,3.3e-7,104.2,350100,"165-1002C-12H-1,80",0.52
52.04,152480,25.5,"165-1002C-6H-5,86-87",0.905,2.6e-7,104.25,347010,"165-1002C-11H-CC,18",0.81
52.24,153140,25.4,"165-1002C-6H-5,106-107",0.904,0,105.4,354000,"165-1002C-12H-2,73",0.73
52.44,153780,25.8,"165-1002C-6H-5,126-127",0.917,0,106.95,357550,"165-1002C-12H-3,78",0.53
52.63,154350,26,"165-1002C-6H-5,145-146",0.923,3.1e-7,108.45,360990,"165-1002C-12H-4,78",-0.02
52.79,154830,25.9,"165-1002C-6H-6,6-7",0.92,1.15e-6,109.95,364430,"165-1002C-12H-5,78",-0.04
52.99,155390,26.3,"165-1002C-6H-6,26-27",0.932,1.47e-6,111.51,368000,"165-1002C-12H-6,78",-0.75
53.16,155860,25.9,"165-1002C-6H-6,43-44",0.92,4.3e-7,113.01,373040,"165-1002C-12H-7,78",-0.2
53.39,156480,25.8,"165-1002C-6H-6,66-67",0.915,6.5e-7,113.64,382860,"165-1002C-13H-1,74",-0.27
53.59,157000,26.2,"165-1002C-6H-6,86-87",0.929,1.67e-6,114.49,378000,"165-1002C-12H-CC,24",-0.17
53.79,157520,25.7,"165-1002C-6H-6,106-107",0.913,5.5e-7,114.73,389020,"165-1002C-13H-2,72",-0.91
53.99,158030,26.1,"165-1002C-6H-6,126-127",0.926,5.3e-7,116.43,398640,"165-1002C-13H-3,92",-1.04
54.16,158460,25.8,"165-1002C-6H-6,143-144",0.915,1.22e-6,117.73,406000,"165-1002C-13H-4,72",-1.46
54.34,158910,25.8,"165-1002C-6H-7,6-7",0.916,1.94e-6,119.23,412570,"165-1002C-13H-5,72",-1.21
54.54,159410,25.6,"165-1002C-6H-7,26-27",0.909,1.82e-6,120.73,419150,"165-1002C-13H-6,72",-0.93
54.74,159920,25.4,"165-1002C-6H-7,46-47",0.901,1.99e-6,122.23,425750,"165-1002C-13H-7,72",-0.36
54.94,160440,25.5,"165-1002C-6H-7,66-67",0.905,2.37e-6,122.75,434000,"165-1002C-14H-1,35",0.79
55.14,160960,25.6,"165-1002C-6H-7,86-87",0.911,2.58e-6,123.71,440230,"165-1002C-14H-2,71",0.85
55.34,161500,25.9,"165-1002C-6H-7,106-107",0.921,2.12e-6,125.22,450050,"165-1002C-14H-3,72",0.85
55.54,162050,25.4,"165-1002C-6H-7,126-127",0.903,2.9e-6,126.73,459800,"165-1002C-14H-4,73",0.37
55.74,162600,25.4,"165-1002C-6H-7,146-147",0.902,2.68e-6,128.3,470000,"165-1002C-14H-5,73",0.47
55.83,162850,25.5,"165-1002C-6H-8,4-7",0.904,2.59e-6,129.89,472000,"165-1002C-14H-6,73",0.41
56.04,163440,25.7,"165-1002C-6H-8,26-27",0.912,2.67e-6,133.31,478200,"165-1002C-15H-2,74",-0.06
56.2,163890,25.2,"165-1002C-6H-8,42-43",0.895,1.69e-6,134.84,480150,"165-1002C-15H-3,77",-0.58
56.43,164550,25.4,"165-1002C-6H-8,65-66",0.903,1.51e-6,136.31,482000,"165-1002C-15H-4,74",-1.17
56.58,164970,24.8,"165-1002C-6H-8,8-81",0.881,2.34e-6,137.81,485960,"165-1002C-15H-5,74",-0.7
NA,NA,NA,NA,NA,NA,139.34,490010,"165-1002C-15H-6,74",-0.4
NA,NA,NA,NA,NA,NA,140.72,493660,"165-1002C-15H-7,77",-0.7
NA,NA,NA,NA,NA,NA,141.8,500350,"165-1002C-16H-1,40",-0.37
NA,NA,NA,NA,NA,NA,142.22,497430,"165-1002C-15H-8,77",-0.48
NA,NA,NA,NA,NA,NA,142.36,501850,"165-1002C-16H-2,39",-0.15
NA,NA,NA,NA,NA,NA,143.93,506050,"165-1002C-16H-3,46",-0.72
NA,NA,NA,NA,NA,NA,145.69,510730,"165-1002C-16H-4,72",-0.27
NA,NA,NA,NA,NA,NA,147.21,514810,"165-1002C-16H-5,74",-0.1
NA,NA,NA,NA,NA,NA,148.71,518800,"165-1002C-16H-6,74",-0.95
NA,NA,NA,NA,NA,NA,150.26,522940,"165-1002C-16H-7,79",-0.55
NA,NA,NA,NA,NA,NA,151.63,530300,"165-1002C-17H-1,73",-0.01
NA,NA,NA,NA,NA,NA,151.71,526820,"165-1002C-16H-8,74",-0.52
NA,NA,NA,NA,NA,NA,153.21,534810,"165-1002C-17H-2,73",-0.31
NA,NA,NA,NA,NA,NA,154.77,539280,"165-1002C-17H-3,73",-1.18
NA,NA,NA,NA,NA,NA,156.35,543820,"165-1002C-17H-4,73",-0.02
NA,NA,NA,NA,NA,NA,157.9,548260,"165-1002C-17H-5,73",-0.92
NA,NA,NA,NA,NA,NA,159.4,552550,"165-1002C-17H-6,73",-0.83
NA,NA,NA,NA,NA,NA,160.38,555380,"165-1002C-17H-7,21",-0.82
NA,NA,NA,NA,NA,NA,161.13,559250,"165-1002C-18H-1,73",-0.63
NA,NA,NA,NA,NA,NA,162.63,563630,"165-1002C-18H-2,73",-0.96
NA,NA,NA,NA,NA,NA,164.13,567990,"165-1002C-18H-3,73",-1.47
NA,NA,NA,NA,NA,NA,166.11,573770,"165-1002C-18H-5,73",-0.99
NA,NA,NA,NA,NA,NA,167.56,578000,"165-1002C-18H-6,68",-1.08
