depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],age (BP) [1-2],PC1 (unitless) [1-2],age (BP) [2-1],d13C (m) [2-1],C/N (unitless) [2-1],age (BP) [3-1],TOC (percent) [3-1],age (BP) [4-1],bulk density (g/cm3) [4-1],age (BP) [5-1],SE (cm/yr) [5-1],age (BP) [6-1],C (unitless) [6-1]
782.7,1620,6.32,2050.479,-3.719,893,-25.67,7.64,2035.437,0.195,114,1.951,5100,0.05,1990.437,-2.011
808,1716,8.18,2070.494,-3.493,895,-27.01,11.07,2055.451,0.34,115,2.004,5150,0.05,2010.451,-3.325
811.25,1728,6.4,2090.508,-2.74,899,-25.92,9.85,2075.465,0.158,116,2.035,5200,0.05,2030.465,-1.845
816.5,1748,9.7,2110.522,-3.683,899,-25.49,7.33,2095.479,0.298,117,2.037,5250,0.05,2050.479,-3.719
822,1768,9.38,2130.536,-2.514,909,-25.48,8.46,2115.494,0.125,118,2.013,5300,0.05,2070.494,-3.493
832,1805,8.4,2150.55,-3.041,916,-25.96,10.01,2135.508,0.147,119,2.153,5350,0.05,2090.508,-2.74
842,1842,6.97,2170.564,-3.817,928,-25.35,9.7,2155.522,0.291,120,2.053,5400,0.05,2110.522,-3.683
852,1879,7.47,2190.578,-3.538,935,-25.97,7.58,2175.536,0.242,121,2.045,5450,0.048,2130.536,-2.514
862,1916,6.09,2210.592,-2.611,947,-25.64,7.86,2195.55,0.32,122,2.109,5500,0.048,2150.55,-3.041
872,1952,8.04,2230.606,-2.705,956,-25.55,8.47,2215.564,0.249,123,2,5550,0.048,2170.564,-3.817
882,1989,7.15,2250.62,-3.225,966,-25.72,8.81,2235.578,0.292,124,2.078,5600,0.046,2190.578,-3.538
891,2021,6.34,2270.634,-2.57,975,-25.65,8.64,2255.592,0.218,125,2.011,5650,0.046,2210.592,-2.611
902,2061,6.01,2290.649,-2.348,985,-25.36,8.73,2275.606,0.265,126,2.064,5700,0.048,2230.606,-2.705
912,2096,5.68,2310.663,-1.969,994,-25.71,7.6,2295.62,0.254,127,1.992,5750,0.046,2250.62,-3.225
922,2132,6.15,2330.677,-2.251,1003,-25.53,8.99,2315.634,0.206,128,2.048,5800,0.046,2270.634,-2.57
931,2164,6.1,2350.691,-2.846,1021,-25.89,5.96,2335.649,0.175,129,1.949,5850,0.05,2290.649,-2.348
942,2203,6.46,2370.705,-1.461,1021,-25.86,7.18,2355.663,0.202,130,1.988,5900,0.052,2310.663,-1.969
951,2235,8.24,2390.719,-3.456,1038,-25.61,8.14,2375.677,0.254,131,2.04,5950,0.05,2330.677,-2.251
959,2263,7.97,2410.733,-2.865,1044,-25.56,7.23,2395.691,0.396,132,1.667,6000,0.05,2350.691,-2.846
964,2281,6.55,2430.747,-2.653,1055,-25.76,7.92,2415.705,0.179,133,1.98,6050,0.048,2370.705,-1.461
974,2316,7.45,2450.761,-2.211,1060,-26.02,7.55,2435.719,0.363,134,1.996,6100,0.048,2390.719,-3.456
