depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],age (BP) [1-2],PC1 (unitless) [1-2],age (BP) [2-1],d13C (m) [2-1],C/N (unitless) [2-1],age (BP) [3-1],TOC (percent) [3-1],age (BP) [4-1],bulk density (g/cm3) [4-1],age (BP) [5-1],SE (cm/yr) [5-1],age (BP) [6-1],C (unitless) [6-1]
NA,NA,NA,NA,NA,8474,-24.22,9.3,NA,NA,1876,2.008,NA,NA,NA,NA
NA,NA,NA,NA,NA,8487,-23.68,8.71,NA,NA,1879,1.956,NA,NA,NA,NA
NA,NA,NA,NA,NA,8501,-23.52,8.26,NA,NA,1883,2.025,NA,NA,NA,NA
NA,NA,NA,NA,NA,8514,-24.35,8.61,NA,NA,1887,2.062,NA,NA,NA,NA
NA,NA,NA,NA,NA,8528,-23.73,9.19,NA,NA,1890,1.991,NA,NA,NA,NA
NA,NA,NA,NA,NA,8542,-24.17,10.91,NA,NA,1894,2.072,NA,NA,NA,NA
NA,NA,NA,NA,NA,8556,-23.03,9.54,NA,NA,1898,2.034,NA,NA,NA,NA
NA,NA,NA,NA,NA,8570,-21.92,8.2,NA,NA,1902,1.959,NA,NA,NA,NA
NA,NA,NA,NA,NA,8585,-21.27,7.91,NA,NA,1905,2.026,NA,NA,NA,NA
NA,NA,NA,NA,NA,8599,-21.8,8.05,NA,NA,1909,2.08,NA,NA,NA,NA
NA,NA,NA,NA,NA,8614,-21.77,8.41,NA,NA,1913,1.927,NA,NA,NA,NA
NA,NA,NA,NA,NA,8629,-23.23,9.52,NA,NA,1916,1.988,NA,NA,NA,NA
NA,NA,NA,NA,NA,8660,-21.72,9.12,NA,NA,1920,1.985,NA,NA,NA,NA
NA,NA,NA,NA,NA,8675,-21.59,8.95,NA,NA,1924,2.156,NA,NA,NA,NA
NA,NA,NA,NA,NA,8691,-20.9,8.46,NA,NA,1927,2.046,NA,NA,NA,NA
NA,NA,NA,NA,NA,8706,-20.47,8.25,NA,NA,1931,2.047,NA,NA,NA,NA
NA,NA,NA,NA,NA,8722,-21.03,8.19,NA,NA,1935,1.991,NA,NA,NA,NA
NA,NA,NA,NA,NA,8738,-21.99,9.05,NA,NA,1938,2.094,NA,NA,NA,NA
NA,NA,NA,NA,NA,8755,-23.67,10.7,NA,NA,1942,2.046,NA,NA,NA,NA
NA,NA,NA,NA,NA,8771,-23.22,10.93,NA,NA,1946,2.131,NA,NA,NA,NA
NA,NA,NA,NA,NA,8788,-23.86,12,NA,NA,1949,2.03,NA,NA,NA,NA
NA,NA,NA,NA,NA,8805,-21.12,8.57,NA,NA,1953,2.204,NA,NA,NA,NA
NA,NA,NA,NA,NA,8822,-20.58,8.29,NA,NA,1957,2.047,NA,NA,NA,NA
NA,NA,NA,NA,NA,8839,-20.6,8.3,NA,NA,1960,2.028,NA,NA,NA,NA
NA,NA,NA,NA,NA,8857,-20.81,8.49,NA,NA,1964,1.994,NA,NA,NA,NA
NA,NA,NA,NA,NA,8875,-21.44,8.45,NA,NA,1968,2.11,NA,NA,NA,NA
NA,NA,NA,NA,NA,8893,-20.6,8.29,NA,NA,1971,2.008,NA,NA,NA,NA
NA,NA,NA,NA,NA,9012,-22.73,13.33,NA,NA,1975,1.964,NA,NA,NA,NA
NA,NA,NA,NA,NA,9035,-22.64,12.2,NA,NA,1979,1.959,NA,NA,NA,NA
NA,NA,NA,NA,NA,9057,-23.85,15.11,NA,NA,1982,1.964,NA,NA,NA,NA
NA,NA,NA,NA,NA,9081,-23.11,14.46,NA,NA,1986,2.132,NA,NA,NA,NA
NA,NA,NA,NA,NA,9106,-19.91,9.17,NA,NA,1990,2.065,NA,NA,NA,NA
NA,NA,NA,NA,NA,9131,-19.86,9.01,NA,NA,1993,2.05,NA,NA,NA,NA
NA,NA,NA,NA,NA,9158,-20.57,9.54,NA,NA,1997,1.906,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1.92,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,2.015,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,2.055,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,2.053,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2.101,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1.996,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,2.1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2.317,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2030,2.148,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2033,2.014,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2037,2.008,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2040,2.024,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2044,2.07,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2048,2.129,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2051,2.118,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2055,2.015,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2058,2.096,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2062,2.037,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2066,1.989,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2069,1.992,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2073,2.143,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2076,2.111,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2080,2.085,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2084,2.059,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2087,2.103,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2091,2.02,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2094,1.977,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2098,2.329,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2102,2.109,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2105,2.045,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2109,2.14,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2112,2.138,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116,2.185,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2119,2.174,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2123,2.059,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2127,2.11,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2130,2.107,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2134,2.124,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2137,2.158,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2141,2.148,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2145,2.23,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2148,2.277,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2152,2.249,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2155,2.136,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2159,2.191,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2162,2.118,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2166,2.022,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2169,1.93,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2173,2.085,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2177,2.169,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2180,2.162,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2184,2.101,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2187,1.975,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2191,2.065,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2194,2.054,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198,1.999,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2201,2.061,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2205,2.026,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2209,2.159,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2212,2.102,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2216,2.167,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2219,2.2,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2223,2.112,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2226,2.151,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2230,2.251,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2233,2.025,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2237,1.986,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2241,2.209,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2244,2.249,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2248,2.112,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2251,2.115,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2255,2.149,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2258,2.087,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2262,2.154,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2265,2.099,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2269,2.077,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2272,2.147,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2276,2.138,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2279,2.082,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2283,2.053,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2294,2.067,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2297,2.128,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2301,2.237,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2304,2.3,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2322,2.218,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2325,2.236,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2329,2.222,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333,2.23,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2336,2.246,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340,2.258,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2343,2.233,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2347,2.167,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350,2.139,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2354,2.105,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2357,2.106,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2361,2.141,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2364,2.147,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2368,2.139,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2371,2.061,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2375,2.12,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2379,2.202,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2382,2.092,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2386,2.118,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2389,1.959,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2393,1.952,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2396,2.013,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,2.106,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2403,1.895,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2407,1.979,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2410,2.232,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2414,2.036,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2418,2.135,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2421,2.138,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2425,1.987,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2428,2.068,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2432,2.055,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2435,1.94,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2439,2.155,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2442,2.185,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2446,2.024,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2450,2.157,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2453,2.178,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2457,2.182,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2460,2.184,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2464,2.174,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2467,2.258,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2471,2.082,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2474,1.995,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2478,2.063,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2482,2.062,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2485,2.148,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2489,2.228,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2492,2.269,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2496,2.187,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2499,2.085,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2503,2.156,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2506,2.135,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2510,2.011,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2514,2.066,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2517,2.054,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2521,2.089,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2524,2.165,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2528,2.272,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2531,2.349,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2535,2.056,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2539,2.092,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2542,2.174,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2546,2.245,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2549,2.221,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2553,2.282,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2556,2.347,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2560,2.391,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2564,2.268,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2567,2.265,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2571,2.215,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2574,2.151,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2578,2.155,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2581,2.164,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2585,2.243,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2589,2.221,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2592,2.178,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2596,2.126,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2599,2.019,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2603,2.131,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2607,2.272,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2610,2.261,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2614,2.126,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2617,2.225,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2621,2.161,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2624,2.228,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2628,2.103,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2632,2.208,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2635,2.257,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2639,2.179,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642,2.263,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2646,2.179,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2649,2.044,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2653,2.204,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2657,2.157,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2660,1.974,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2664,2.089,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2667,2.217,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2671,1.99,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2674,2.21,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2678,2.059,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2681,2.174,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2685,2.075,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2689,2.163,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2692,2.182,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2696,2.074,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2699,2.082,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2703,2.015,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2706,2.076,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2710,2.059,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2713,2.111,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2717,2.144,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2720,2.262,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2724,2.074,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2728,2.213,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2731,2.198,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2735,2.152,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2738,2.128,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2742,2.156,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2745,2.21,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2749,2.203,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2752,2.242,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2756,2.262,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2816,2.144,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2820,2.138,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2823,2.14,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2826,2.136,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2830,2.114,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2833,2.131,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2836,2.109,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2840,2.102,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2843,2.09,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2846,2.123,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2850,2.077,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2853,2.054,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2856,2.092,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2860,2.061,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2863,2.091,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2866,1.95,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2869,1.923,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2873,1.96,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2876,2.031,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2879,1.928,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882,1.891,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2886,2.01,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2889,1.945,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2892,1.859,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2895,1.901,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2898,1.913,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2902,1.86,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2905,1.908,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2908,1.868,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2911,1.901,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2914,1.941,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2917,1.884,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2920,1.823,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2923,1.887,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2926,1.839,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2929,1.863,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2932,1.927,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2935,1.827,NA,NA,NA,NA
