depth (cm),age (BP),d18O (per mil v smow)
177982,15680,-39.05
178024,15700,-42.46
178065,15720,-39.61
178104,15740,-40.11
178152,15760,-39.77
178198,15780,-39.56
178246,15800,-40.54
178300,15820,-39.75
178345,15840,-40.39
178388,15860,-39.32
178435,15880,-40.32
178485,15900,-39.42
178530,15920,-40.24
178580,15940,-39.68
178626,15960,-41.49
178678,15980,-41.1
178724,16000,-40.66
178771,16020,-40.58
178814,16040,-41.41
178860,16060,-40.49
178905,16080,-41.17
178948,16100,-41.82
178994,16120,-39.55
179041,16140,-39.33
179089,16160,-39.33
179133,16180,-40.46
179174,16200,-39.91
179220,16220,-38.48
179264,16240,-38.91
179308,16260,-39.06
179352,16280,-39.48
179402,16300,-39.45
179453,16320,-38.76
179502,16340,-40.71
179553,16360,-39.11
179600,16380,-39.53
179652,16400,-40.38
179701,16420,-40.59
179748,16440,-40.03
179794,16460,-39.22
179845,16480,-40.09
179890,16500,-38.21
179931,16520,-38.54
179978,16540,-39.62
180026,16560,-38.32
180082,16580,-39.52
180135,16600,-39.64
180189,16620,-39.8
180236,16640,-39.63
180285,16660,-39.16
180331,16680,-40.93
180379,16700,-40.69
180428,16720,-40.95
180480,16740,-39.08
180526,16760,-37.68
180582,16780,-40.96
180632,16800,-39.01
180679,16820,-39.04
180723,16840,-40.59
180769,16860,-39.2
180810,16880,-41.58
180857,16900,-40.12
180902,16920,-40.82
180952,16940,-40.56
181003,16960,-39.66
181050,16980,-39.28
181102,17000,-40.04
181152,17020,-40.41
181199,17040,-38.51
181254,17060,-39.38
181304,17080,-39.7
181358,17100,-40.94
181404,17120,-39.81
181455,17140,-40.05
181505,17160,-39.73
181558,17180,-38.19
181600,17200,-40.82
181643,17220,-39.97
181690,17240,-41.07
181737,17260,-40.2
181780,17280,-39.98
181825,17300,-39.83
181881,17320,-39.6
181928,17340,-40.42
181978,17360,-39.94
182021,17380,-41.24
182070,17400,-41.11
182116,17420,-40.43
182164,17440,-39.52
182206,17460,-38.98
182251,17480,-38.51
182295,17500,-38.55
182337,17520,-39.32
182385,17540,-39.19
182434,17560,-39.82
182485,17580,-38.71
182535,17600,-39.91
182593,17620,-37.99
182643,17640,-37.64
182683,17660,-39.45
182728,17680,-39.95
182773,17700,-38.43
182821,17720,-37.49
182869,17740,-39.07
182925,17760,-40.05
182979,17780,-37.92
183029,17800,-39.44
183073,17820,-39.63
183122,17840,-38.07
183174,17860,-37.43
183224,17880,-39.14
183267,17900,-37.97
183312,17920,-39.68
183363,17940,-37.64
183408,17960,-39.92
183454,17980,-38.77
183498,18000,-39.96
183540,18020,-38.44
183584,18040,-40.53
183637,18060,-39.74
183690,18080,-40.79
183740,18100,-38.13
183794,18120,-37.4
183845,18140,-38.37
183896,18160,-38.89
183945,18180,-38.96
183992,18200,-39.52
184034,18220,-40.34
184087,18240,-38.86
184135,18260,-38.02
184178,18280,-39.94
184221,18300,-40.07
184264,18320,-37.94
184301,18340,-38.59
184339,18360,-38.27
184387,18380,-38.17
184427,18400,-37.77
184470,18420,-38.26
184512,18440,-39.88
184560,18460,-38.6
184603,18480,-38.69
184646,18500,-39.07
184688,18520,-39.86
184732,18540,-37.88
184781,18560,-41.13
184824,18580,-37.42
184869,18600,-38.32
184916,18620,-38.89
184959,18640,-39
185003,18660,-38.2
185051,18680,-39.32
185096,18700,-38.24
185140,18720,-40.06
185181,18740,-40.37
185231,18760,-40.13
185279,18780,-40.08
185332,18800,-40.26
185376,18820,-39.73
185421,18840,-40.03
185466,18860,-38.98
185512,18880,-37.25
185554,18900,-39.23
185601,18920,-38.79
185644,18940,-38.68
185689,18960,-39.6
185732,18980,-37.75
185778,19000,-39.96
185826,19020,-39.39
185870,19040,-38.52
185913,19060,-37.86
185964,19080,-39.36
186005,19100,-38.44
186053,19120,-39.27
186101,19140,-38.62
186140,19160,-39.77
186184,19180,-38.39
186229,19200,-39.95
186276,19220,-39.75
186319,19240,-39
186363,19260,-38.76
186411,19280,-39.18
186455,19300,-38.39
186497,19320,-39.68
186543,19340,-37.47
186590,19360,-39.08
186641,19380,-38.67
186685,19400,-38.53
186733,19420,-40.56
186778,19440,-39.7
186829,19460,-40.1
186874,19480,-38.84
186925,19500,-40.05
186978,19520,-39.18
187026,19540,-38.42
187069,19560,-39.43
187114,19580,-39.78
187162,19600,-39.5
187202,19620,-38.68
187248,19640,-40.1
187288,19660,-39.4
187328,19680,-41.79
187368,19700,-39.21
187415,19720,-40.72
187460,19740,-42.1
187509,19760,-39.48
187554,19780,-38.85
187601,19800,-40.72
187651,19820,-39.61
187694,19840,-39.64
187741,19860,-39.54
187786,19880,-39.11
187835,19900,-40.13
187878,19920,-41.44
187919,19940,-41.21
187964,19960,-40.31
188007,19980,-40
188056,20000,-40.01
188103,20020,-41.12
188143,20040,-40.25
188187,20060,-39.1
188231,20080,-39.94
188279,20100,-39.44
188325,20120,-40.48
188375,20140,-40.14
188429,20160,-38.73
188475,20180,-40.79
188525,20200,-40.32
188575,20220,-40.68
188622,20240,-40.66
188675,20260,-40.78
188717,20280,-40.21
188763,20300,-40.28
188803,20320,-40.86
188848,20340,-41.91
188897,20360,-40.72
188938,20380,-41.24
188978,20400,-40.24
189025,20420,-41.24
189076,20440,-41.53
189119,20460,-40.3
189165,20480,-40.34
189215,20500,-40.57
189259,20520,-39.82
189307,20540,-39.56
189357,20560,-40.15
189401,20580,-38.71
189447,20600,-39.22
189496,20620,-40.67
189535,20640,-40.17
189577,20660,-38.91
189622,20680,-40.71
189669,20700,-40.15
189715,20720,-40.19
189762,20740,-40.31
189802,20760,-40.3
189847,20780,-38.76
189889,20800,-39.29
189931,20820,-41.84
189970,20840,-41.24
190015,20860,-40.29
190056,20880,-41.61
190097,20900,-40.42
190138,20920,-41.21
190178,20940,-40.44
190218,20960,-41.13
190259,20980,-39.32
190296,21000,-41.5
190336,21020,-41.5
190375,21040,-41.21
190412,21060,-40.11
190452,21080,-39.83
190491,21100,-40.84
190532,21120,-41.57
190576,21140,-41.08
190617,21160,-41.05
190660,21180,-40.49
190702,21200,-40.22
190743,21220,-40.94
190783,21240,-40.89
190820,21260,-42.33
190862,21280,-41.63
190907,21300,-40.89
190945,21320,-40.72
190982,21340,-40.95
191021,21360,-41.03
191061,21380,-41.45
191101,21400,-42.38
191145,21420,-41.35
191181,21440,-42.15
191219,21460,-42.24
191262,21480,-40.01
191300,21500,-40.41
191337,21520,-40.7
191376,21540,-40.77
191419,21560,-40.98
191458,21580,-41.82
191495,21600,-40.19
191532,21620,-41.32
191570,21640,-41.19
191611,21660,-42.22
191654,21680,-42
191692,21700,-41.92
191732,21720,-41.19
191769,21740,-41.16
191809,21760,-40.43
191849,21780,-41.06
191888,21800,-40.04
191930,21820,-39.66
191969,21840,-40.39
192012,21860,-41.17
192054,21880,-41.42
192092,21900,-40.44
192130,21920,-39.98
192169,21940,-41.8
192206,21960,-42.72
192243,21980,-41.04
192281,22000,-40.71
192319,22020,-39.51
192359,22040,-41.03
192393,22060,-41.79
192433,22080,-41.41
