year (AD),depth (cm),age (BP),d18O (permil)
-11423.38,1178.25,13373.38,-5.57
-11433.65,1179.25,13383.65,-5.66
-11438.78,1179.75,13388.78,-5.6
-11443.92,1180.25,13393.92,-5.66
-11449.05,1180.75,13399.05,-5.75
-11459.32,1181.75,13409.32,-5.64
-11464.46,1182.25,13414.46,-6.14
-11469.59,1182.75,13419.59,-5.55
-11474.73,1183.25,13424.73,-5.33
-11479.86,1183.75,13429.86,-5.25
-11485,1184.25,13435,-5.23
-11506.38,1184.75,13456.38,-5.93
-11527.76,1185.25,13477.76,-5.78
-11549.14,1185.75,13499.14,-6.78
-11570.52,1186.25,13520.52,-6.73
-11591.9,1186.75,13541.9,-6.68
-11609.71,1187.25,13559.71,-6.26
-11627.52,1187.75,13577.52,-6.76
-11645.33,1188.25,13595.33,-5.73
-11663.15,1188.75,13613.15,-5.61
-11680.96,1189.25,13630.96,-5.49
-11698.77,1189.75,13648.77,-5.42
-11716.58,1190.25,13666.58,-5.49
-11734.39,1190.75,13684.39,-5.6
-11752.2,1191.25,13702.2,-5.66
-11770.02,1191.75,13720.02,-5.35
-11805.64,1192.75,13755.64,-5.36
-11823.45,1193.25,13773.45,-5.1
-11841.26,1193.75,13791.26,-5.07
-11859.07,1194.25,13809.07,-5.19
-11876.88,1194.75,13826.88,-5.23
-11894.7,1195.25,13844.7,-5.12
-11912.51,1195.75,13862.51,-5.06
-11930.32,1196.25,13880.32,-5.03
-11948.13,1196.75,13898.13,-4.97
-11983.75,1197.75,13933.75,-5.1
-12001.57,1198.25,13951.57,-5.21
-12019.38,1198.75,13969.38,-5.15
-12037.19,1199.25,13987.19,-5.4
-12055,1199.75,14005,-6.18
-12060.53,1200.25,14010.53,-5.35
-12066.07,1200.75,14016.07,-5.58
-12071.6,1201.25,14021.6,-5.68
-12077.14,1201.75,14027.14,-6.59
-12082.67,1202.25,14032.67,-5.5
-12088.21,1202.75,14038.21,-5.27
-12099.28,1203.75,14049.28,-5.48
-12104.81,1204.25,14054.81,-6.31
-12110.35,1204.75,14060.35,-4.86
-12115.88,1205.25,14065.88,-5.15
-12121.42,1205.75,14071.42,-6.48
-12132.48,1206.75,14082.48,-4.97
-12143.55,1207.75,14093.55,-5.4
-12149.09,1208.25,14099.09,-5.49
-12154.62,1208.75,14104.62,-5.49
-12160.16,1209.25,14110.16,-5.98
-12165.69,1209.75,14115.69,-4.85
-12171.23,1210.25,14121.23,-5
-12182.3,1211.25,14132.3,-4.84
-12198.9,1212.75,14148.9,-6.46
-12204.43,1213.25,14154.43,-5.58
-12209.97,1213.75,14159.97,-6.04
-12215.5,1214.25,14165.5,-5.21
-12221.04,1214.75,14171.04,-5.2
-12226.57,1215.25,14176.57,-5.41
-12232.11,1215.75,14182.11,-5.22
-12237.64,1216.25,14187.64,-5.5
-12243.18,1216.75,14193.18,-5.26
-12248.71,1217.25,14198.71,-5.21
-12254.25,1217.75,14204.25,-4.97
-12262.55,1218.5,14212.55,-4.78
-12273.62,1219.5,14223.62,-5.01
-12284.69,1220.5,14234.69,-5.04
-12295.75,1221.5,14245.75,-5.15
-12306.82,1222.5,14256.82,-6.03
-12317.89,1223.5,14267.89,-5.14
-12328.96,1224.5,14278.96,-6.05
-12340.03,1225.5,14290.03,-5.33
-12351.1,1226.5,14301.1,-5.12
-12362.17,1227.5,14312.17,-5.16
-12373.24,1228.5,14323.24,-5.84
-12384.31,1229.5,14334.31,-5.82
-12395.38,1230.5,14345.38,-5.16
-12406.45,1231.5,14356.45,-5.24
-12417.52,1232.5,14367.52,-5.43
-12428.58,1233.5,14378.58,-5.33
-12439.65,1234.5,14389.65,-5.23
-12450.72,1235.5,14400.72,-5.77
-12461.79,1236.5,14411.79,-7.14
-12472.86,1237.5,14422.86,-5.88
-12495,1239.5,14445,-6.61
-12518.16,1240.5,14468.16,-6.32
-12541.33,1241.5,14491.33,-5.95
-12564.49,1242.5,14514.49,-5.68
-12610.82,1244.5,14560.82,-6
-12633.98,1245.5,14583.98,-5.72
-12657.14,1246.5,14607.14,-6.53
-12703.47,1248.5,14653.47,-6.2
-12749.8,1250.5,14699.8,-7.34
-12784.54,1252,14734.54,-8.12
-12819.29,1253.5,14769.29,-8.64
-12842.45,1254.5,14792.45,-9.68
-12875.35,1255.5,14825.35,-8.57
-12908.25,1256.5,14858.25,-8.1
-12962.83,1259,14912.83,-8.62
-13006.49,1261,14956.49,-8.89
-13050.15,1263,15000.15,-8.13
-13105.9,1264.5,15055.9,-8.7
-13143.06,1265.5,15093.06,-8.63
-13198.8,1267,15148.8,-8.77
-13254.55,1268.5,15204.55,-7.81
-13302.67,1270,15252.67,-8.73
-13350.79,1271.5,15300.79,-8.58
-13382.87,1272.5,15332.87,-8.97
-13414.95,1273.5,15364.95,-8.02
-13441.23,1274.5,15391.23,-9.26
-13480.66,1276,15430.66,-9.32
-13533.23,1278,15483.23,-8.22
-13585.8,1280,15535.8,-9.33
-13638.37,1282,15588.37,-8.9
