depth (m),age (BP),deep.temp (degC),temperature (degC),d18O (permil),Mg/Ca (mmol_mol),planktic.MgCa (mmol_mol),planktic.d18O (permil),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.d18O (permil),planktic.d18O (permil)
2.22,15311,NA,NA,4.14,NA,NA,1.76,1.145,12945,5.1,2.69,16370,NA,0.63,NA,NA,NA
2.23,15327,NA,NA,4.24,NA,NA,2.01,1.15,13010,5.6,2.7,16388,NA,0.713,NA,NA,NA
2.24,15342,NA,8.54,4.11,NA,1.46,1.98,1.155,13075,2.7,2.71,16406,NA,0.787,NA,NA,NA
2.25,15358,NA,NA,4.26,NA,NA,2.11,1.16,13140,2.2,2.72,16424,21.479,0.584,3.041,NA,NA
2.26,15373,NA,NA,4.12,NA,NA,1.98,1.165,13205,2.1,2.73,16442,NA,0.758,NA,NA,NA
2.27,15388,NA,5.67,4.33,NA,1.21,2.22,1.17,13270,1.9,2.74,16460,NA,0.569,NA,NA,NA
2.28,15404,NA,NA,4.08,NA,NA,1.98,1.175,13335,1.8,2.75,16478,NA,0.859,NA,NA,NA
2.29,15419,NA,NA,4.18,NA,NA,2.13,1.18,13400,1.9,2.76,16496,22.002,0.677,3.207,NA,NA
2.3,15434,NA,NA,4.21,NA,NA,1.78,1.185,13465,1.9,2.77,16514,NA,0.839,NA,NA,NA
2.31,15450,NA,6.64,4.23,NA,1.29,2.17,1.19,13530,2.2,2.78,16532,NA,0.716,NA,NA,NA
2.32,15465,NA,NA,4.36,NA,NA,1.93,1.195,13595,2,2.79,16551,NA,0.763,NA,NA,NA
2.33,15480,NA,NA,4.21,NA,NA,2.08,1.2,13660,2,2.8,16569,22.603,0.582,3.41,NA,NA
2.34,15496,NA,NA,4.28,NA,NA,2.04,1.205,13725,2,2.81,16587,NA,0.657,NA,NA,NA
2.35,15511,2.98,9.61,4.14,0.82,1.57,2.05,1.21,13790,1.8,2.82,16605,NA,0.709,NA,NA,NA
2.36,15526,2.53,NA,4.27,0.89,NA,1.98,1.215,13855,2,2.83,16623,NA,0.558,NA,NA,NA
2.37,15542,NA,NA,4.4,NA,NA,2.26,1.22,13920,1.9,2.84,16641,22.064,0.557,3.227,NA,NA
2.38,15557,NA,NA,4.33,NA,NA,1.93,1.225,13985,1.8,2.85,16659,NA,0.691,NA,NA,NA
2.39,15573,NA,9.85,4.34,NA,1.59,2.12,1.23,14050,2,2.86,16677,NA,0.594,NA,NA,NA
2.4,15588,NA,NA,4.36,NA,NA,2.24,1.235,14059,2.2,2.87,16695,22.42,0.846,3.347,NA,NA
2.41,15603,NA,NA,4.37,NA,NA,2.14,1.24,14068,2.1,2.88,16713,NA,0.64,NA,NA,NA
2.42,15619,NA,NA,4.38,NA,NA,1.69,1.245,14077,2,2.89,16731,NA,0.823,NA,NA,NA
2.43,15634,NA,NA,4.45,NA,NA,1.92,1.25,14086,2.1,2.9,16749,NA,0.926,NA,NA,NA
2.44,15649,NA,8.99,4.41,NA,1.5,2.09,NA,NA,NA,2.91,16767,NA,0.737,NA,NA,NA
2.45,15665,NA,NA,4.46,NA,NA,2.21,NA,NA,NA,2.92,16785,22.464,1,3.362,NA,NA
2.46,15680,NA,NA,4.5,NA,NA,2.25,NA,NA,NA,2.93,16803,NA,0.576,NA,NA,NA
2.47,15695,NA,NA,4.42,NA,NA,1.98,NA,NA,NA,2.94,16821,NA,0.555,NA,NA,NA
2.48,15711,NA,NA,4.45,NA,NA,2.08,NA,NA,NA,2.95,16839,NA,1.099,NA,NA,NA
2.49,15726,NA,NA,4.48,NA,NA,2.09,NA,NA,NA,2.96,16857,NA,0.674,NA,NA,NA
2.5,15741,NA,NA,4.33,NA,NA,2.12,NA,NA,NA,2.97,16875,NA,0.665,NA,NA,NA
2.51,15757,NA,9.4,4.5,NA,1.55,2.12,NA,NA,NA,2.98,16893,NA,0.755,NA,NA,NA
2.52,15772,NA,NA,4.5,NA,NA,2.25,NA,NA,NA,2.99,16911,NA,0.699,NA,NA,NA
2.53,15788,NA,NA,4.51,NA,NA,2.28,NA,NA,NA,3,16929,22.495,0.529,3.373,NA,NA
2.54,15803,NA,NA,4.44,NA,NA,2.37,NA,NA,NA,3.01,16947,NA,0.97,NA,NA,NA
2.55,15818,2.42,5.45,4.5,0.83,1.19,2.33,NA,NA,NA,3.02,16965,NA,0.877,NA,NA,NA
2.56,15834,2.36,NA,4.56,0.8,NA,2.66,NA,NA,NA,3.03,16984,NA,0.909,NA,NA,NA
2.57,15849,NA,NA,4.43,NA,NA,2.27,NA,NA,NA,3.04,17002,21.73,0.787,3.119,NA,NA
2.58,15864,NA,NA,4.33,NA,NA,2.1,NA,NA,NA,3.05,17020,NA,0.909,NA,NA,NA
2.59,15880,NA,5.73,4.48,NA,1.21,2.24,NA,NA,NA,3.06,17038,NA,0.906,NA,NA,NA
2.6,15895,NA,NA,4.48,NA,NA,2.25,NA,NA,NA,3.07,17056,22.106,0.812,3.241,NA,NA
2.61,15910,NA,NA,4.47,NA,NA,2.16,NA,NA,NA,3.08,17074,NA,0.84,NA,NA,NA
2.62,15926,NA,NA,4.54,NA,NA,2.33,NA,NA,NA,3.09,17092,NA,0.595,NA,NA,NA
2.63,15941,NA,NA,4.5,NA,NA,2.24,NA,NA,NA,3.1,17110,NA,0.787,NA,NA,NA
2.64,15956,NA,9.28,4.42,NA,1.53,2.37,NA,NA,NA,3.11,17128,NA,0.964,NA,NA,NA
2.65,15972,NA,NA,4.47,NA,NA,2.28,NA,NA,NA,3.12,17146,21.281,0.58,2.98,NA,NA
2.66,15987,NA,NA,4.5,NA,NA,2.29,NA,NA,NA,3.13,17164,NA,0.945,NA,NA,NA
2.67,16003,NA,8.09,4.74,NA,1.42,2.26,NA,NA,NA,3.14,17182,NA,0.807,NA,NA,NA
2.68,16018,NA,NA,4.5,NA,NA,2.18,NA,NA,NA,3.15,17200,NA,0.842,NA,NA,NA
2.69,16033,NA,NA,4.57,NA,NA,2.12,NA,NA,NA,3.16,17209,22.052,0.656,3.223,NA,NA
2.7,16049,NA,NA,4.5,NA,NA,2.21,NA,NA,NA,3.17,17219,NA,0.672,NA,NA,NA
2.71,16064,NA,9.15,4.46,NA,1.52,2.16,NA,NA,NA,3.18,17228,NA,0.586,NA,NA,NA
2.72,16079,NA,NA,4.47,NA,NA,2.29,NA,NA,NA,3.19,17237,21.303,0.647,2.987,NA,NA
2.73,16095,NA,NA,4.44,NA,NA,2.28,NA,NA,NA,3.2,17247,NA,0.55,NA,NA,NA
2.74,16110,NA,NA,4.57,NA,NA,2.27,NA,NA,NA,3.21,17256,NA,0.844,NA,NA,NA
2.75,16125,2.47,9.81,4.51,0.82,1.59,2.16,NA,NA,NA,3.22,17265,NA,0.81,NA,NA,NA
2.76,16141,2.42,NA,4.55,0.78,NA,2.35,NA,NA,NA,3.23,17274,NA,0.897,NA,NA,NA
2.77,16156,NA,NA,4.49,NA,NA,2.33,NA,NA,NA,3.24,17284,NA,0.795,NA,NA,NA
2.78,16171,NA,NA,4.47,NA,NA,2.26,NA,NA,NA,3.25,17293,NA,0.685,NA,NA,NA
2.79,16187,NA,8.09,4.59,NA,1.42,2.03,NA,NA,NA,3.26,17302,NA,1.077,NA,NA,NA
2.8,16202,NA,NA,4.46,NA,NA,2.09,NA,NA,NA,3.27,17312,22.326,0.715,3.315,NA,NA
2.81,16218,NA,NA,4.57,NA,NA,2.17,NA,NA,NA,3.28,17321,NA,1.137,NA,NA,NA
2.82,16233,NA,NA,4.49,NA,NA,2.21,NA,NA,NA,3.29,17330,NA,0.98,NA,NA,NA
2.83,16248,NA,NA,4.51,NA,NA,2.11,NA,NA,NA,3.3,17340,NA,0.867,NA,NA,NA
2.84,16264,NA,11.06,4.53,NA,1.72,2.02,NA,NA,NA,3.31,17349,NA,0.537,NA,NA,NA
2.85,16279,2.82,NA,4.39,0.8,NA,2.2,NA,NA,NA,3.32,17358,22.633,0.661,3.42,NA,NA
2.86,16294,NA,NA,4.51,NA,NA,2.01,NA,NA,NA,3.33,17367,NA,0.621,NA,NA,NA
2.87,16310,NA,7.44,4.6,NA,1.36,2.02,NA,NA,NA,3.34,17377,NA,0.503,NA,NA,NA
2.88,16325,NA,NA,4.28,NA,NA,2.21,NA,NA,NA,3.35,17386,NA,0.565,NA,NA,NA
2.89,16340,NA,NA,4.62,NA,NA,2.07,NA,NA,NA,3.36,17395,NA,0.707,NA,NA,NA
2.9,16356,NA,NA,4.34,NA,NA,2.14,NA,NA,NA,3.37,17405,NA,1.046,NA,NA,NA
2.91,16371,NA,9.58,4.65,NA,1.56,2.15,NA,NA,NA,3.38,17414,NA,0.764,NA,NA,NA
2.92,16386,NA,NA,4.55,NA,NA,2.04,NA,NA,NA,3.39,17423,NA,0.528,NA,NA,NA
2.93,16402,NA,NA,4.53,NA,NA,2.02,NA,NA,NA,3.4,17433,NA,0.924,NA,NA,NA
2.94,16417,NA,NA,4.63,NA,NA,2.11,NA,NA,NA,3.41,17442,NA,0.855,NA,NA,NA
2.95,16433,NA,9,4.48,NA,1.51,2.29,NA,NA,NA,3.42,17451,NA,0.797,NA,NA,NA
2.96,16448,NA,NA,4.41,NA,NA,2.13,NA,NA,NA,3.43,17460,NA,0.527,NA,NA,NA
2.97,16463,NA,NA,4.57,NA,NA,2.29,NA,NA,NA,3.44,17470,22.009,0.841,3.209,NA,NA
2.98,16479,NA,NA,4.53,NA,NA,1.93,NA,NA,NA,3.47,17498,22.011,0.849,3.21,NA,NA
2.99,16494,NA,7.36,4.55,NA,1.35,2.18,NA,NA,NA,3.48,17507,NA,0.813,NA,NA,NA
3,16509,NA,NA,4.43,NA,NA,2.15,NA,NA,NA,3.49,17516,NA,0.928,NA,NA,NA
3.01,16525,NA,NA,4.1,NA,NA,2.2,NA,NA,NA,3.5,17526,NA,1.1,NA,NA,NA
3.02,16540,NA,NA,4.46,NA,NA,2.11,NA,NA,NA,3.51,17535,NA,0.911,NA,NA,NA
3.03,16555,NA,NA,4.42,NA,NA,1.96,NA,NA,NA,3.52,17544,21.364,0.891,3.005,NA,NA
3.04,16571,NA,4.73,4.67,NA,1.14,2.05,NA,NA,NA,3.53,17553,NA,0.858,NA,NA,NA
3.05,16586,NA,NA,4.54,NA,NA,2.51,NA,NA,NA,3.54,17563,NA,0.443,NA,NA,NA
3.06,16601,NA,NA,4.59,NA,NA,2.03,NA,NA,NA,3.55,17572,NA,0.872,NA,NA,NA
3.07,16617,NA,9.51,4.53,NA,1.56,2.12,NA,NA,NA,3.56,17581,22.055,0.671,3.225,NA,NA
3.08,16632,NA,NA,4.63,NA,NA,2.07,NA,NA,NA,3.57,17591,NA,0.77,NA,NA,NA
3.09,16648,NA,NA,4.31,NA,NA,2.27,NA,NA,NA,3.58,17600,NA,0.868,NA,NA,NA
3.1,16663,NA,NA,4.43,NA,NA,2.35,NA,NA,NA,3.59,17609,NA,0.826,NA,NA,NA
3.11,16678,NA,9.76,4.52,NA,1.58,2.16,NA,NA,NA,3.6,17619,21.582,0.801,3.073,NA,NA
3.12,16694,NA,NA,4.29,NA,NA,1.76,NA,NA,NA,3.61,17628,NA,0.679,NA,NA,NA
3.13,16709,NA,NA,4.5,NA,NA,2.15,NA,NA,NA,3.62,17638,NA,0.77,NA,NA,NA
3.14,16724,NA,NA,4.43,NA,NA,1.8,NA,NA,NA,3.63,17647,NA,0.919,NA,NA,NA
3.15,16740,NA,7.79,4.26,NA,1.39,2.11,NA,NA,NA,3.64,17657,20.977,0.73,2.889,NA,NA
3.16,16755,NA,NA,4.6,NA,NA,2.17,NA,NA,NA,3.65,17666,NA,0.71,NA,NA,NA
3.17,16770,NA,NA,4.39,NA,NA,2.16,NA,NA,NA,3.66,17676,NA,0.748,NA,NA,NA
3.18,16786,NA,NA,4.57,NA,NA,2.26,NA,NA,NA,3.67,17685,21.515,0.763,3.052,NA,NA
3.19,16801,NA,6.98,4.42,NA,1.32,2.01,NA,NA,NA,3.68,17694,NA,0.57,NA,NA,NA
3.2,16816,NA,NA,NA,NA,NA,2.33,NA,NA,NA,3.69,17704,NA,0.734,NA,NA,NA
3.21,16832,NA,NA,4.59,NA,NA,2.32,NA,NA,NA,3.7,17713,NA,0.98,NA,NA,NA
3.22,16847,NA,NA,4.52,NA,NA,2.23,NA,NA,NA,3.71,17723,NA,0.797,NA,NA,NA
3.23,16863,NA,NA,4.53,NA,NA,2.06,NA,NA,NA,3.72,17732,22.679,0.732,3.437,NA,NA
3.24,16878,NA,3.54,4.54,NA,1.05,2.07,NA,NA,NA,3.73,17742,NA,0.751,NA,NA,NA
3.25,16893,NA,NA,4.54,NA,NA,2.35,NA,NA,NA,3.75,17761,NA,0.767,NA,NA,NA
3.26,16909,NA,NA,4.57,NA,NA,2.33,NA,NA,NA,3.76,17770,22.121,0.695,3.246,NA,NA
3.27,16924,NA,8.31,4.62,NA,1.44,1.97,NA,NA,NA,3.77,17779,NA,0.671,NA,NA,NA
3.28,16939,NA,NA,NA,NA,NA,1.94,NA,NA,NA,3.78,17789,NA,0.657,NA,NA,NA
3.29,16955,NA,NA,NA,NA,NA,2.19,NA,NA,NA,3.79,17798,NA,1.179,NA,NA,NA
3.3,16970,NA,NA,NA,NA,NA,1.82,NA,NA,NA,3.8,17808,21.64,0.89,3.091,NA,NA
3.31,16985,NA,11.17,NA,NA,1.74,2.02,NA,NA,NA,3.81,17817,NA,1.019,NA,NA,NA
3.32,17001,NA,NA,4.61,NA,NA,1.83,NA,NA,NA,3.82,17827,NA,1.098,NA,NA,NA
3.33,17016,NA,NA,NA,NA,NA,2.15,NA,NA,NA,3.83,17836,NA,1.059,NA,NA,NA
3.34,17031,NA,NA,4.42,NA,NA,1.79,NA,NA,NA,3.84,17846,21.218,1.01,2.961,NA,NA
3.35,17047,NA,12.22,NA,NA,1.86,1.91,NA,NA,NA,3.85,17855,NA,1.133,NA,NA,NA
3.36,17062,NA,NA,NA,NA,NA,1.86,NA,NA,NA,3.86,17864,NA,0.863,NA,NA,NA
3.37,17078,NA,NA,NA,NA,NA,2.11,NA,NA,NA,3.87,17874,NA,0.925,NA,NA,NA
3.38,17093,NA,NA,NA,NA,NA,1.99,NA,NA,NA,3.88,17883,NA,1.093,NA,NA,NA
3.39,17108,NA,10.72,NA,NA,1.69,1.9,NA,NA,NA,3.89,17893,NA,0.88,NA,NA,NA
3.4,17124,NA,NA,4.35,NA,NA,2.21,NA,NA,NA,3.9,17902,NA,0.998,NA,NA,NA
3.41,17139,NA,NA,4.42,NA,NA,2.52,NA,NA,NA,3.92,17921,22.204,0.814,3.274,NA,NA
3.42,17154,NA,NA,4.61,NA,NA,2.2,NA,NA,NA,3.93,17931,NA,0.801,NA,NA,NA
3.43,17170,NA,NA,4.41,NA,NA,2.01,NA,NA,NA,3.94,17940,NA,0.977,NA,NA,NA
3.44,17185,NA,10.7,4.43,NA,1.68,2.12,NA,NA,NA,3.95,17949,NA,0.995,NA,NA,NA
3.45,17200,NA,NA,4.52,NA,NA,2.11,NA,NA,NA,3.96,17959,21.264,1.022,2.975,NA,NA
3.47,17231,NA,NA,4.5,NA,NA,2.19,NA,NA,NA,3.97,17968,NA,0.898,NA,NA,NA
3.48,17246,NA,NA,4.33,NA,NA,2.21,NA,NA,NA,3.98,17978,NA,0.775,NA,NA,NA
3.49,17262,NA,NA,4.64,NA,NA,2.31,NA,NA,NA,3.99,17987,NA,1.01,NA,NA,NA
3.5,17277,NA,NA,4.5,NA,NA,1.99,NA,NA,NA,4,17997,21.752,0.692,3.127,NA,NA
3.51,17293,NA,11.86,4.48,NA,1.82,2.52,NA,NA,NA,4.01,18006,NA,0.992,NA,NA,NA
3.52,17308,NA,NA,NA,NA,NA,2.15,NA,NA,NA,4.02,18016,NA,0.838,NA,NA,NA
3.53,17323,NA,NA,4.62,NA,NA,2.28,NA,NA,NA,4.03,18025,NA,0.698,NA,NA,NA
3.54,17339,NA,NA,4.4,NA,NA,1.88,NA,NA,NA,4.04,18034,21.489,0.712,3.044,NA,NA
3.55,17354,NA,10.43,4.49,NA,1.65,2.32,NA,NA,NA,4.05,18044,NA,0.997,NA,NA,NA
3.56,17369,NA,NA,4.45,NA,NA,2.16,NA,NA,NA,4.06,18053,NA,0.702,NA,NA,NA
3.57,17385,NA,NA,4.33,NA,NA,2.27,NA,NA,NA,4.07,18063,20.889,0.707,2.863,NA,NA
3.58,17400,NA,NA,4.45,NA,NA,2.38,NA,NA,NA,4.08,18072,NA,0.719,NA,NA,NA
3.59,17413,NA,9.06,4.69,NA,1.51,1.94,NA,NA,NA,4.09,18082,NA,0.887,NA,NA,NA
3.6,17427,NA,NA,4.63,NA,NA,2.31,NA,NA,NA,4.1,18091,NA,1.044,NA,NA,NA
3.61,17440,NA,NA,4.48,NA,NA,2.25,NA,NA,NA,4.11,18101,NA,1.018,NA,NA,NA
3.62,17453,NA,NA,4.64,NA,NA,2.42,NA,NA,NA,4.12,18110,21.721,0.617,3.117,NA,NA
3.63,17467,NA,NA,4.71,NA,NA,2.12,NA,NA,NA,4.13,18119,NA,0.701,NA,NA,NA
3.64,17480,NA,10.67,4.69,NA,1.68,2.39,NA,NA,NA,4.14,18129,NA,0.947,NA,NA,NA
3.65,17493,NA,NA,4.53,NA,NA,2.51,NA,NA,NA,4.15,18138,NA,0.892,NA,NA,NA
3.66,17507,NA,NA,4.58,NA,NA,2.38,NA,NA,NA,4.16,18148,20.963,0.887,2.885,NA,NA
3.67,17520,NA,10.52,4.61,NA,1.66,2.18,NA,NA,NA,4.17,18157,NA,0.777,NA,NA,NA
3.68,17533,NA,NA,4.68,NA,NA,2.47,NA,NA,NA,4.18,18167,NA,0.902,NA,NA,NA
3.69,17547,NA,NA,4.44,NA,NA,2.17,NA,NA,NA,4.19,18176,NA,1.028,NA,NA,NA
3.7,17560,NA,NA,4.59,NA,NA,2.28,NA,NA,NA,4.2,18186,21.305,0.557,2.987,NA,NA
3.71,17573,NA,11.14,4.64,NA,1.73,2.32,NA,NA,NA,4.21,18195,NA,0.898,NA,NA,NA
3.72,17587,NA,NA,4.55,NA,NA,2.29,NA,NA,NA,4.22,18204,NA,0.72,NA,NA,NA
3.73,17600,NA,NA,4.68,NA,NA,2.31,NA,NA,NA,4.23,18214,NA,1.089,NA,NA,NA
3.74,17613,NA,NA,4.54,NA,NA,2.53,NA,NA,NA,4.24,18223,20.384,0.785,2.719,NA,NA
3.75,17627,NA,9.63,4.66,NA,1.57,2.39,NA,NA,NA,4.25,18233,NA,0.2,NA,NA,NA
3.76,17640,NA,NA,4.66,NA,NA,2.12,NA,NA,NA,4.26,18242,NA,0.596,NA,NA,NA
3.77,17653,NA,NA,4.7,NA,NA,2.4,NA,NA,NA,4.27,18252,20.863,0.876,2.855,NA,NA
3.78,17667,NA,NA,4.61,NA,NA,2.23,NA,NA,NA,4.28,18261,NA,0.468,NA,NA,NA
3.79,17680,NA,7.04,4.71,NA,1.32,2.5,NA,NA,NA,4.29,18271,NA,0.715,NA,NA,NA
3.8,17693,NA,NA,4.5,NA,NA,2.48,NA,NA,NA,4.3,18280,NA,0.839,NA,NA,NA
3.81,17707,NA,NA,4.62,NA,NA,2.33,NA,NA,NA,4.31,18289,NA,0.769,NA,NA,NA
3.82,17720,NA,NA,4.47,NA,NA,2.34,NA,NA,NA,4.33,18308,NA,1.045,NA,NA,NA
3.83,17733,NA,NA,4.43,NA,NA,2.31,NA,NA,NA,4.34,18318,NA,0.839,NA,NA,NA
3.84,17747,NA,7.24,4.63,NA,1.34,2.19,NA,NA,NA,4.35,18327,NA,0.65,NA,NA,NA
3.85,17760,NA,NA,4.63,NA,NA,2.12,NA,NA,NA,4.36,18337,21.635,0.766,3.089,NA,NA
3.86,17773,NA,NA,4.75,NA,NA,2.36,NA,NA,NA,4.37,18346,NA,0.641,NA,NA,NA
3.87,17787,NA,7.94,4.64,NA,1.4,2.61,NA,NA,NA,4.38,18356,NA,0.528,NA,NA,NA
3.88,17800,NA,NA,4.62,NA,NA,2.44,NA,NA,NA,4.39,18365,NA,0.733,NA,NA,NA
3.89,17813,NA,NA,4.4,NA,NA,2.36,NA,NA,NA,4.4,18374,21.608,1.104,3.081,NA,NA
3.9,17827,NA,NA,4.71,NA,NA,2.54,NA,NA,NA,4.41,18384,NA,0.623,NA,NA,NA
3.91,17840,NA,NA,4.67,NA,NA,2.42,NA,NA,NA,4.42,18393,NA,0.343,NA,NA,NA
3.92,17853,NA,8.96,4.64,NA,1.5,2.5,NA,NA,NA,4.43,18403,NA,0.873,NA,NA,NA
3.93,17867,NA,NA,4.6,NA,NA,2.34,NA,NA,NA,4.44,18412,21.73,0.992,3.119,NA,NA
3.94,17880,NA,NA,4.69,NA,NA,2.46,NA,NA,NA,4.45,18422,NA,0.664,NA,NA,NA
3.95,17893,NA,8.92,4.56,NA,1.5,2.35,NA,NA,NA,4.46,18431,NA,0.511,NA,NA,NA
3.96,17907,NA,NA,4.68,NA,NA,2.45,NA,NA,NA,4.47,18441,21.898,0.78,3.173,NA,NA
3.97,17920,NA,NA,4.8,NA,NA,2.39,NA,NA,NA,4.48,18450,NA,0.604,NA,NA,NA
3.98,17933,NA,NA,4.61,NA,NA,2.64,NA,NA,NA,4.49,18456,NA,0.656,NA,NA,NA
3.99,17947,NA,NA,4.61,NA,NA,2.14,NA,NA,NA,4.5,18463,NA,0.788,NA,NA,NA
4,17960,NA,NA,4.72,NA,NA,2.27,NA,NA,NA,4.51,18469,NA,0.837,NA,NA,NA
4.01,17973,NA,NA,4.63,NA,NA,2.51,NA,NA,NA,4.52,18475,20.433,0.669,2.733,NA,NA
4.02,17987,NA,NA,4.74,NA,NA,1.99,NA,NA,NA,4.53,18481,NA,NA,NA,NA,NA
4.03,18000,NA,NA,4.43,NA,NA,2.13,NA,NA,NA,4.54,18488,NA,0.805,NA,NA,NA
4.04,18013,NA,12.13,4.88,NA,1.85,2.18,NA,NA,NA,4.55,18494,NA,0.878,NA,NA,NA
4.05,18027,NA,NA,4.64,NA,NA,2.1,NA,NA,NA,4.56,18500,21.359,0.783,3.004,NA,NA
4.06,18040,NA,NA,4.63,NA,NA,2.02,NA,NA,NA,4.57,18507,NA,0.878,NA,NA,NA
4.07,18053,NA,8.91,4.77,NA,1.5,2.19,NA,NA,NA,4.58,18513,NA,0.885,NA,NA,NA
4.08,18067,NA,NA,4.43,NA,NA,2.27,NA,NA,NA,4.59,18519,NA,0.997,NA,NA,NA
4.09,18080,NA,NA,NA,NA,NA,2.22,NA,NA,NA,4.6,18526,20.899,0.757,2.866,NA,NA
4.1,18093,NA,NA,4.45,NA,NA,2.33,NA,NA,NA,4.62,18538,NA,0.912,NA,NA,NA
4.11,18107,NA,8.61,4.51,NA,1.47,1.97,NA,NA,NA,4.63,18544,NA,0.775,NA,NA,NA
4.12,18120,NA,NA,4.77,NA,NA,2.27,NA,NA,NA,4.64,18551,20.985,0.974,2.891,NA,NA
4.13,18133,NA,NA,4.67,NA,NA,2.2,NA,NA,NA,4.66,18563,NA,0.79,NA,NA,NA
4.14,18147,NA,NA,4.85,NA,NA,2.26,NA,NA,NA,4.67,18570,19.545,0.88,2.496,NA,NA
4.15,18160,NA,9.88,4.61,NA,1.6,2.18,NA,NA,NA,4.68,18576,NA,0.591,NA,NA,NA
4.16,18173,NA,NA,4.62,NA,NA,2.24,NA,NA,NA,4.7,18589,NA,0.992,NA,NA,NA
4.17,18187,NA,NA,4.7,NA,NA,2.28,NA,NA,NA,4.71,18595,NA,1.105,NA,NA,NA
4.18,18200,NA,NA,4.64,NA,NA,2.21,NA,NA,NA,4.72,18601,20.048,0.865,2.628,NA,NA
4.19,18213,NA,8.06,4.53,NA,1.42,2.34,NA,NA,NA,4.73,18607,NA,NA,NA,NA,NA
4.2,18227,NA,NA,4.63,NA,NA,2.19,NA,NA,NA,4.74,18614,20.942,0.517,2.878,NA,NA
4.21,18240,NA,NA,4.63,NA,NA,2.44,NA,NA,NA,4.75,18620,NA,0.966,NA,NA,NA
4.22,18253,NA,NA,4.59,NA,NA,2.19,NA,NA,NA,4.76,18626,NA,0.809,NA,NA,NA
4.23,18267,NA,NA,4.68,NA,NA,2.28,NA,NA,NA,4.77,18633,21.464,0.868,3.036,NA,NA
4.24,18280,NA,8.75,4.57,NA,1.48,2.31,NA,NA,NA,4.78,18639,NA,NA,NA,NA,NA
4.25,18293,NA,NA,4.46,NA,NA,1.97,NA,NA,NA,4.79,18645,NA,0.857,NA,NA,NA
4.26,18307,NA,NA,4.64,NA,NA,2.29,NA,NA,NA,4.8,18651,NA,0.569,NA,NA,NA
4.27,18320,NA,NA,4.58,NA,NA,2.15,NA,NA,NA,4.81,18657,NA,NA,NA,NA,NA
4.28,18333,NA,NA,4.7,NA,NA,2.45,NA,NA,NA,4.82,18663,19.974,0.891,2.608,NA,NA
4.29,18347,NA,NA,NA,NA,NA,2.24,NA,NA,NA,4.83,18669,NA,0.757,NA,NA,NA
4.3,18360,NA,NA,4.52,NA,NA,2.28,NA,NA,NA,4.84,18675,NA,0.71,NA,NA,NA
4.31,18373,NA,10.43,4.46,NA,1.65,2.28,NA,NA,NA,4.85,18681,NA,NA,NA,NA,NA
4.32,18387,NA,NA,4.51,NA,NA,2.19,NA,NA,NA,4.86,18688,21.023,1.058,2.902,NA,NA
4.33,18400,NA,NA,4.6,NA,NA,2.42,NA,NA,NA,4.87,18694,NA,0.544,NA,NA,NA
4.34,18413,NA,NA,4.55,NA,NA,2.3,NA,NA,NA,4.88,18701,NA,0.938,NA,NA,NA
4.35,18427,NA,9.89,4.61,NA,1.6,2.37,NA,NA,NA,4.89,18706,NA,NA,NA,NA,NA
4.36,18440,NA,NA,4.51,NA,NA,2.17,NA,NA,NA,4.9,18712,21.829,1.137,3.151,NA,NA
4.37,18453,NA,NA,4.45,NA,NA,2.09,NA,NA,NA,4.91,18720,NA,0.911,NA,NA,NA
4.38,18467,NA,NA,4.51,NA,NA,2.54,NA,NA,NA,4.92,18726,NA,0.804,NA,NA,NA
4.39,18480,NA,7.88,4.39,NA,1.4,2.18,NA,NA,NA,4.93,18732,NA,0.86,NA,NA,NA
4.4,18493,NA,NA,4.5,NA,NA,1.51,NA,NA,NA,4.94,18738,21.723,0.768,3.117,NA,NA
4.41,18507,NA,NA,4.49,NA,NA,2.23,NA,NA,NA,4.95,18746,NA,0.857,NA,NA,NA
4.42,18520,NA,NA,4.62,NA,NA,2.25,NA,NA,NA,4.96,18752,21.03,0.807,2.905,NA,NA
4.43,18533,NA,NA,4.49,NA,NA,2.19,NA,NA,NA,4.97,18759,NA,0.844,NA,NA,NA
4.44,18547,NA,10.55,4.61,NA,1.67,2.4,NA,NA,NA,4.98,18765,NA,NA,NA,NA,NA
4.45,18560,NA,NA,4.68,NA,NA,2.22,NA,NA,NA,4.99,18771,NA,0.974,NA,NA,NA
4.46,18573,NA,NA,4.59,NA,NA,2.29,NA,NA,NA,5,18777,21.197,0.662,2.954,NA,NA
4.47,18587,NA,5.79,4.58,NA,1.22,2.14,NA,NA,NA,5.01,18784,NA,0.637,NA,NA,NA
4.48,18600,NA,NA,4.66,NA,NA,2.21,NA,NA,NA,5.03,18796,NA,0.872,NA,NA,NA
4.49,18604,NA,NA,4.59,NA,NA,2.3,NA,NA,NA,5.04,18803,20.567,0.822,2.771,NA,NA
4.5,18608,NA,NA,4.59,NA,NA,2.27,NA,NA,NA,5.05,18809,NA,0.959,NA,NA,NA
4.51,18612,NA,NA,NA,NA,NA,2.19,NA,NA,NA,5.07,18821,20.857,0.938,2.854,NA,NA
4.52,18616,NA,NA,NA,NA,NA,2.16,NA,NA,NA,5.08,18828,NA,0.914,NA,NA,NA
