year (AD),age (BP),depth (cm),d18O (permil),d13C (permil)
248,1702,81.23,-4.69,4.71
245.7,1704.3,81.32,-5.12,4.83
243.1,1706.9,81.42,-5.29,4.59
240.7,1709.3,81.51,-5.17,5.02
238.1,1711.9,81.61,-5.59,4.46
235.8,1714.2,81.7,-4.78,4.79
233.2,1716.8,81.8,-5.24,4.69
230.6,1719.4,81.9,-4.87,4.65
228,1722,82,-5.08,5
225.4,1724.6,82.1,-4.92,4.69
222.8,1727.2,82.2,-5.07,5.1
220.2,1729.8,82.3,-4.88,4.94
217.6,1732.4,82.4,-5.11,4.62
215,1735,82.5,-5.18,4.88
212.4,1737.6,82.6,-5.08,4.38
209.8,1740.2,82.7,-5.07,4.6
207.2,1742.8,82.8,-5.27,4.49
204.6,1745.4,82.9,-5.12,4.56
202,1748,83,-5.09,4.72
199.4,1750.6,83.1,-5.12,4.63
196.8,1753.2,83.2,-5.19,4.48
194.2,1755.8,83.3,-5.38,4.63
191.6,1758.4,83.4,-5.3,4.49
186.4,1763.6,83.6,-5.68,4.74
183.8,1766.2,83.7,-5.41,4.66
181.2,1768.8,83.8,-5.6,4.1
178.6,1771.4,83.9,-5.39,4.68
176,1774,84,-4.74,4.86
173.4,1776.6,84.1,-5.04,5.01
170.8,1779.2,84.2,-4.74,3.97
167.9,1782.1,84.31,-6.35,3.57
165.3,1784.7,84.41,-5.86,3.86
162.5,1787.5,84.52,-5.9,4.16
159.9,1790.1,84.62,-5.84,4.03
157.3,1792.7,84.72,-6.29,3.71
154.4,1795.6,84.83,-5.95,4.11
151.8,1798.2,84.93,-5.73,4.4
149,1801,85.04,-5.06,4.72
146.4,1803.6,85.14,-5.51,4.64
143.8,1806.2,85.24,-5.2,4.59
140.9,1809.1,85.35,-5.47,4.65
138.3,1811.7,85.45,-6.11,4.03
135.4,1814.6,85.56,-5.82,4.51
132.8,1817.2,85.66,-5.93,4.29
130.2,1819.8,85.76,-6.76,2.89
127.4,1822.6,85.87,-6.21,4
124.8,1825.2,85.97,-5.2,5.05
121.8,1828.2,86.08,-5.02,4.96
119.1,1830.9,86.18,-5.13,4.68
116.4,1833.6,86.28,-5.39,5.03
113.5,1836.5,86.39,-5.13,4.73
110.8,1839.2,86.49,-5.2,4.91
107.8,1842.2,86.6,-5.07,5.02
105.1,1844.9,86.7,-5.27,5.23
102.4,1847.6,86.8,-5.5,4.54
99.4,1850.6,86.91,-5.47,4.32
96.7,1853.3,87.01,-5.09,4.84
93.9,1856.1,87.12,-5.05,4.78
91.3,1858.7,87.22,-4.85,4.9
88.7,1861.3,87.32,-4.95,4.93
85.8,1864.2,87.43,-5.17,4.68
83.2,1866.8,87.53,-5.3,4.42
80.4,1869.6,87.64,-5.2,4.85
77.8,1872.2,87.74,-5.75,3.8
75.2,1874.8,87.84,-4.93,4.81
72.3,1877.7,87.95,-6.01,3.55
69.7,1880.3,88.05,-5.15,4.42
66.8,1883.2,88.16,-5.31,3.97
64.2,1885.8,88.26,-4.97,4.59
61.6,1888.4,88.36,-5.17,4.32
58.8,1891.2,88.47,-5.71,2.32
56.2,1893.8,88.57,-5.09,4.21
53.3,1896.7,88.68,-5.26,4.12
50.7,1899.3,88.78,-4.63,4.76
48.1,1901.9,88.88,-5.05,4.35
45.3,1904.7,88.99,-4.92,4.54
42.7,1907.3,89.09,-5.22,4.28
39.8,1910.2,89.2,-5.11,4.01
37.2,1912.8,89.3,-5.5,4.35
34.6,1915.4,89.4,-5.77,4.06
31.2,1918.8,89.53,-5.72,4.13
27.6,1922.4,89.67,-5.75,4.38
23.9,1926.1,89.81,-5.58,4.41
20.3,1929.7,89.95,-6.01,4.13
16.7,1933.3,90.09,-5.32,4.4
13,1937,90.23,-5.34,4.33
9.4,1940.6,90.37,-5.19,4.8
5.7,1944.3,90.51,-5.12,4.74
2.9,1947.1,90.62,-5.34,4.33
0.3,1949.7,90.72,-5.36,4.14
-2.3,1952.3,90.82,-5.27,4.52
-4.7,1954.7,90.91,-5.2,4.56
-7.3,1957.3,91.01,-5.14,4.66
-9.6,1959.6,91.1,-5.12,4.64
-12.2,1962.2,91.2,-4.96,4.95
-14.8,1964.8,91.3,-4.89,4.88
-17.1,1967.1,91.39,-4.76,5.15
-19.7,1969.7,91.49,-5.35,4.86
-22.1,1972.1,91.58,-5.31,4.73
-24.7,1974.7,91.68,-5.23,4.8
-27.3,1977.3,91.78,-5.31,4.64
-29.6,1979.6,91.87,-5.02,5.04
-32.2,1982.2,91.97,-5.26,4.8
-34.6,1984.6,92.06,-5.31,4.44
-37.2,1987.2,92.16,-5.15,5.12
-39.8,1989.8,92.26,-5.17,4.81
-42.1,1992.1,92.35,-6.53,3.03
-44.7,1994.7,92.45,-5.08,4.73
-47,1997,92.54,-5.09,4.52
-49.6,1999.6,92.64,-4.56,5.01
-52.2,2002.2,92.74,-4.89,4.72
-54.6,2004.6,92.83,-3.89,4.6
-57.2,2007.2,92.93,-4.97,4.85
-59.5,2009.5,93.02,-4.75,4.96
-62.1,2012.1,93.12,-4.66,5.05
-64.7,2014.7,93.22,-4.88,4.91
-67.1,2017.1,93.31,-5.01,4.74
-69.7,2019.7,93.41,-5.02,4.78
-72.3,2022.3,93.51,-5.14,4.65
-75.4,2025.4,93.63,-5.21,4.92
-78.2,2028.2,93.74,-5.12,4.48
-81.1,2031.1,93.85,-5.51,3.64
-84.2,2034.2,93.97,-6.08,2.8
-87.1,2037.1,94.08,-5.38,4.02
-90.2,2040.2,94.2,-6.03,3.35
-93.1,2043.1,94.31,-5.83,3.68
-95.9,2045.9,94.42,-6.17,3.47
-99,2049,94.54,-5.68,4.24
-101.9,2051.9,94.65,-6.64,3.17
-105,2055,94.77,-6.58,3.33
-107.9,2057.9,94.88,-7.21,2.79
-111,2061,95,-7.24,2.57
-112.1,2062.1,95.11,-6.54,3.78
-113.3,2063.3,95.23,-6.26,3.94
-114.4,2064.4,95.34,-5.47,5.07
-115.6,2065.6,95.46,-5.04,5.44
-116.7,2066.7,95.57,-5.05,5.28
-117.9,2067.9,95.69,-5.25,5.12
-119,2069,95.8,-5.39,4.64
-120.2,2070.2,95.92,-4.99,5.42
-121.4,2071.4,96.04,-5.03,5.38
-122.8,2072.8,96.16,-5.09,5.13
-124.2,2074.2,96.29,-5.03,5.18
-125.5,2075.5,96.41,-5.3,5.45
-126.9,2076.9,96.54,-5.08,5.29
-128.3,2078.3,96.66,-5.08,5.26
-129.7,2079.7,96.79,-4.86,5.58
-131,2081,96.91,-5.18,5.05
-132.3,2082.3,97.03,-5.11,5.3
-133.4,2083.4,97.13,-5.03,5.4
-134.5,2084.5,97.23,-4.95,5.38
-135.6,2085.6,97.33,-4.78,5.41
-136.8,2086.8,97.44,-4.85,5.22
-137.9,2087.9,97.54,-4.84,5.37
-139,2089,97.64,-4.85,5.59
-140.1,2090.1,97.74,-4.81,5.37
-141.2,2091.2,97.84,-4.68,5.61
-142.5,2092.5,97.95,-4.68,5.81
-143.6,2093.6,98.05,-4.78,5.76
-144.7,2094.7,98.15,-4.94,5.62
-145.8,2095.8,98.25,-5.27,6.02
-146.9,2096.9,98.35,-5.11,6.18
-148.1,2098.1,98.46,-5.15,5.96
-149.1,2099.1,98.55,-5.21,6.05
-150,2100,98.64,-4.84,5.37
-151,2101,98.73,-6.36,2.2
-152,2102,98.82,-4.39,5.54
-153,2103,98.91,-4.89,5.15
-154,2104,99,-4.82,5.13
-155,2105,99.09,-5.28,4.54
-156,2106,99.18,-4.93,5.04
-157,2107,99.27,-5.2,4.75
-158,2108,99.36,-5,4.87
-159,2109,99.45,-5.46,4.2
-159.9,2109.9,99.54,-5.02,5.04
-160.9,2110.9,99.63,-5.31,4.75
-161.9,2111.9,99.72,-5.67,3.95
-162.9,2112.9,99.81,-5.08,5.04
-163.9,2113.9,99.9,-5.12,5.13
-164.9,2114.9,99.99,-5.12,5.35
-165.8,2115.8,100.08,-5.31,4.68
-166.7,2116.7,100.17,-5.15,5.21
-167.6,2117.6,100.26,-5.53,4.86
-168.5,2118.5,100.35,-5.74,4.43
-169.4,2119.4,100.44,-5.98,4.47
-170.3,2120.3,100.53,-5.92,4.25
-171.2,2121.2,100.62,-5.48,4.75
-172.1,2122.1,100.71,-6.27,4.03
-173,2123,100.8,-6.28,3.8
-173.9,2123.9,100.89,-5.79,3.94
-174.8,2124.8,100.98,-5.3,4.91
-175.8,2125.8,101.07,-5.32,4.74
-176.8,2126.8,101.16,-5.39,4.81
-177.9,2127.9,101.26,-5.24,4.73
-179.2,2129.2,101.38,-5.36,5.07
-180.4,2130.4,101.49,-5.5,4.73
-181.7,2131.7,101.61,-5.56,4.78
-182.9,2132.9,101.72,-5.61,4.26
-184.2,2134.2,101.84,-5.52,4.32
-185.5,2135.5,101.95,-5.58,4.53
-186.8,2136.8,102.07,-5.63,4.47
-188,2138,102.18,-5.7,4.45
-189.3,2139.3,102.3,-5.64,4.64
-190.5,2140.5,102.41,-5.84,4.09
-191.8,2141.8,102.53,-5.58,4.8
-193,2143,102.64,-5.65,4.62
-194.4,2144.4,102.76,-5.66,4.43
-195.6,2145.6,102.87,-5.9,4.11
-196.9,2146.9,102.99,-5.98,3.67
-198.1,2148.1,103.1,-6.45,3.09
-199.4,2149.4,103.22,-6.23,3.22
-200.5,2150.5,103.32,-6.21,3.46
-201.6,2151.6,103.42,-6.05,3.8
-202.7,2152.7,103.52,-6.03,3.55
-203.8,2153.8,103.62,-6.1,3.72
-204.8,2154.8,103.71,-6.23,3.72
-205.9,2155.9,103.81,-6.33,3.75
-207,2157,103.91,-5.93,4.21
-208,2158,104,-5.97,4.13
-209.1,2159.1,104.1,-6.12,3.69
-210.2,2160.2,104.2,-5.93,3.99
-211.2,2161.2,104.29,-5.74,4.19
-212.3,2162.3,104.39,-6.16,3.64
-213.4,2163.4,104.49,-6.17,3.58
-214.5,2164.5,104.59,-6.3,3.14
-215.5,2165.5,104.68,-5.81,4.57
-216.6,2166.6,104.78,-6.49,3.35
-217.7,2167.7,104.88,-5.76,4.52
-218.7,2168.7,104.97,-6.2,4.24
-219.8,2169.8,105.07,-7.37,2.57
-220.9,2170.9,105.17,-8.15,3.05
-221.9,2171.9,105.26,-6.25,3.79
-223,2173,105.36,-5.3,4.94
-225.2,2175.2,105.56,-5.1,5
-226.2,2176.2,105.65,-6.18,3.69
-227.3,2177.3,105.75,-5.27,4.85
-228.4,2178.4,105.85,-5.1,5.26
-229.3,2179.3,105.94,-5.21,4.99
-230.4,2180.4,106.04,-5.16,5.23
-231.4,2181.4,106.14,-4.93,5.6
-232.4,2182.4,106.24,-5.07,5.4
-233.4,2183.4,106.34,-5.15,5.7
-234.4,2184.4,106.44,-5.18,5.57
-235.4,2185.4,106.54,-5.38,5.54
-236.4,2186.4,106.64,-5.4,5.59
-237.4,2187.4,106.74,-5.39,5.64
-238.4,2188.4,106.84,-5.35,5.62
-239.4,2189.4,106.94,-5.56,5.66
-240.4,2190.4,107.04,-5.6,5.51
-241.5,2191.5,107.14,-5.19,5.83
-242.6,2192.6,107.24,-5.16,5.87
-243.7,2193.7,107.34,-5.37,5.79
-244.7,2194.7,107.43,-5.72,5.67
-245.7,2195.7,107.52,-5.45,5.7
-246.7,2196.7,107.61,-5.37,5.78
-247.7,2197.7,107.7,-5.54,5.7
-248.8,2198.8,107.8,-5.46,5.8
-249.8,2199.8,107.89,-5.45,5.8
-250.8,2200.8,107.98,-5.47,5.79
-251.8,2201.8,108.07,-5.35,5.8
-252.8,2202.8,108.16,-5.56,5.59
-253.9,2203.9,108.26,-5.44,5.68
-254.9,2204.9,108.35,-5.95,5.24
-255.8,2205.8,108.44,-5.17,5.77
-256.8,2206.8,108.53,-5.8,5.31
-257.8,2207.8,108.62,-4.94,5.77
-258.9,2208.9,108.72,-5.16,5.5
-259.9,2209.9,108.81,-4.98,5.54
-260.9,2210.9,108.9,-5.16,5.54
-261.9,2211.9,108.99,-5.42,5.19
-262.9,2212.9,109.08,-4.84,5.78
-264,2214,109.18,-5.08,5.34
-265,2215,109.27,-5.29,5.01
-266,2216,109.36,-4.98,5.4
-267,2217,109.45,-5.29,5.1
-267.9,2217.9,109.54,-5.5,5.13
-269,2219,109.64,-5.82,4.54
-270,2220,109.73,-5.64,5.02
-271.1,2221.1,109.83,-5.51,5.31
-272.2,2222.2,109.93,-5.45,5.32
-273.3,2223.3,110.03,-5.6,5.28
-274.4,2224.4,110.13,-5.59,5
-275.5,2225.5,110.23,-5.45,5.35
-276.6,2226.6,110.33,-5.57,5.28
-277.7,2227.7,110.43,-5.78,5.36
-278.8,2228.8,110.53,-5.87,4.84
-279.9,2229.9,110.63,-6.32,4.01
-281,2231,110.73,-7.38,2.53
-282.1,2232.1,110.83,-6.35,3.99
-283.2,2233.2,110.93,-6.27,4.31
-284.3,2234.3,111.03,-6.81,3.58
-286.3,2236.3,111.23,-5.67,4.91
-287.3,2237.3,111.33,-5.84,5.23
-288.3,2238.3,111.43,-7.58,1.56
-289.3,2239.3,111.53,-6.14,4.66
-290.3,2240.3,111.63,-6.62,4.05
-291.3,2241.3,111.73,-6.57,3.78
-292.3,2242.3,111.83,-6.34,3.93
-293.3,2243.3,111.93,-6.57,3.87
-294.3,2244.3,112.03,-6.38,4.2
-295.4,2245.4,112.13,-6.28,4.2
-296.5,2246.5,112.23,-6.35,3.52
-297.6,2247.6,112.33,-6.24,4.48
-298.7,2248.7,112.43,-5.94,4.48
-299.8,2249.8,112.53,-6.74,3.02
-300.9,2250.9,112.63,-5.76,4.87
-302,2252,112.73,-6.22,3.7
-303,2253,112.82,-5.58,5.57
-304.1,2254.1,112.92,-5.33,5.51
-305.2,2255.2,113.02,-5.52,5.26
-306.2,2256.2,113.11,-5.66,4.91
-307.3,2257.3,113.21,-5.26,4.93
-308.4,2258.4,113.31,-5.19,5.71
-309.5,2259.5,113.41,-4.94,5.66
-310.5,2260.5,113.5,-5.36,5.68
-311.6,2261.6,113.6,-5.19,5.87
-312.7,2262.7,113.7,-5.31,5.46
-313.7,2263.7,113.79,-5.63,5.22
-314.8,2264.8,113.89,-5.69,4.01
-315.9,2265.9,113.99,-5.41,5.25
-316.9,2266.9,114.08,-5.57,5.23
-318,2268,114.18,-5.6,4.84
-319.1,2269.1,114.28,-5.65,4.77
-320.2,2270.2,114.38,-5.49,5.49
-321.2,2271.2,114.47,-5.8,5.34
-322.3,2272.3,114.57,-5.75,5.26
-323.4,2273.4,114.67,-6.01,4.79
-324.4,2274.4,114.76,-6.07,5.07
-325.5,2275.5,114.86,-6.31,4.77
-326.6,2276.6,114.96,-6.31,4.99
-328.5,2278.5,115.05,-6.3,4.46
-331.5,2281.5,115.15,-6.6,3.71
-334.5,2284.5,115.25,-6.49,4.12
-337.5,2287.5,115.35,-6.33,4.62
-340.2,2290.2,115.44,-6.34,4.31
-343.2,2293.2,115.54,-6.4,4.84
-346.2,2296.2,115.64,-6.01,3.54
-348.9,2298.9,115.73,-6.87,2.7
-352.5,2302.5,115.85,-6.47,3.34
-356.7,2306.7,115.99,-6.31,4.85
-360.9,2310.9,116.13,-7.13,2.48
-365.4,2315.4,116.28,-6.86,3.65
-369.6,2319.6,116.42,-7.16,2.56
-373.8,2323.8,116.56,-7.97,1.22
-378,2328,116.7,-8.06,0.71
-382.2,2332.2,116.84,-7.69,1.05
-386.4,2336.4,116.98,-9.73,-2.85
-390.6,2340.6,117.12,-7.05,3.51
-394.5,2344.5,117.25,-6.4,4.95
-398.4,2348.4,117.38,-6.82,3.88
-402,2352,117.5,-12.95,-7.12
-405.9,2355.9,117.63,-9.86,-2.72
-409.5,2359.5,117.75,-6.7,3.28
-413.4,2363.4,117.88,-8.88,-0.26
-443.4,2393.4,118.88,-11.61,-3.41
-447,2397,119,-11.73,-2
-450.9,2400.9,119.13,-7.71,2.35
-454.5,2404.5,119.25,-8.08,1.06
-458.4,2408.4,119.38,-6.53,4.01
-462,2412,119.5,-6.97,3.69
-465.9,2415.9,119.63,-10.46,-2.47
-469.5,2419.5,119.75,-9.7,-0.92
-472.8,2422.8,119.86,-10.16,-2.36
-476.4,2426.4,119.98,-9.47,-1.96
-479.7,2429.7,120.09,-9.15,-0.14
-483.3,2433.3,120.21,-9.11,0.53
-486.6,2436.6,120.32,-11.92,-3.57
-489.9,2439.9,120.43,-8.08,2.12
-493.5,2443.5,120.55,-5.97,2.95
-496.8,2446.8,120.66,-6.65,4.26
-500.4,2450.4,120.78,-6.6,4.74
-503.7,2453.7,120.89,-6.86,3.41
-507,2457,121,-7.1,4.04
-510.6,2460.6,121.12,-7.35,3.17
-513.9,2463.9,121.23,-7.03,3.56
-517.5,2467.5,121.35,-7.37,3.29
-520.5,2470.5,121.45,-9.28,1.32
-523.5,2473.5,121.55,-10.6,-3.38
-526.5,2476.5,121.65,-12.38,-6.51
-529.5,2479.5,121.75,-11.2,-4.68
-532.5,2482.5,121.85,-11.99,-6.14
-535.5,2485.5,121.95,-13.43,-6.14
-538.5,2488.5,122.05,-12.83,-9.62
-541.5,2491.5,122.15,-13.64,-7.87
-544.5,2494.5,122.25,NA,NA
-547.5,2497.5,122.35,NA,NA
-550.5,2500.5,122.45,NA,NA
-553.8,2503.8,122.56,NA,NA
-556.8,2506.8,122.66,NA,NA
-560.1,2510.1,122.77,NA,NA
-563.1,2513.1,122.87,-12.78,-5.29
-566.4,2516.4,122.98,-13.27,-5.54
-569.4,2519.4,123.08,-12.46,-3.08
-572.4,2522.4,123.18,NA,NA
-575.7,2525.7,123.29,-13.27,-5.6
-578.7,2528.7,123.39,NA,NA
-582,2532,123.5,NA,NA
-585,2535,123.6,-12.75,-3.48
-588.3,2538.3,123.71,-12.76,-4.12
-591.3,2541.3,123.81,-12.06,-2.95
-594.6,2544.6,123.92,-11.78,-2.85
-597.6,2547.6,124.02,-11.31,-2.63
-600.6,2550.6,124.12,-10.27,-1.04
-603.9,2553.9,124.23,-8.7,0.84
-606.9,2556.9,124.33,-9.01,1.44
-610.2,2560.2,124.44,-9.74,-1.3
-613.2,2563.2,124.54,-10.68,-3.31
-616.5,2566.5,124.65,-11.42,-8.94
-619.5,2569.5,124.75,-9.38,-0.53
-622.2,2572.2,124.84,-10.27,-8.66
-624.6,2574.6,124.92,-7.23,3.57
-627.3,2577.3,125.01,-7.45,2.42
-629.7,2579.7,125.09,-9.11,-0.79
-632.4,2582.4,125.18,-7.65,2.43
-634.8,2584.8,125.26,-9.01,0.46
-637.5,2587.5,125.35,-6.99,3.66
-640.2,2590.2,125.44,-10.92,-14.79
-642.9,2592.9,125.53,-10.19,-2.71
-645.9,2595.9,125.63,NA,NA
-648.6,2598.6,125.72,-9.66,-10.2
-651.3,2601.3,125.81,-9.87,-12.12
-654,2604,125.9,NA,NA
-656.7,2606.7,125.99,-11.96,-13.61
-659.6,2609.6,126.09,-10.42,-5.39
-662.2,2612.2,126.18,-12.48,-5.47
-664.8,2614.8,126.27,-10.61,-2.56
-667.4,2617.4,126.36,-10,-1.92
-670.1,2620.1,126.45,-9.19,-0.75
-673,2623,126.55,-8.63,0.91
-675.6,2625.6,126.64,-8.45,0.95
-678.2,2628.2,126.73,-11.3,-7.53
-680.8,2630.8,126.82,NA,NA
-683.4,2633.4,126.91,-8.01,0.7
-686.3,2636.3,127.01,NA,NA
-689,2639,127.1,-7.38,0.09
-691.7,2641.7,127.19,-6.29,3.8
-694.4,2644.4,127.28,-6.41,4.31
-697.1,2647.1,127.37,-6.49,3.7
-700.1,2650.1,127.47,-6.89,3.25
-702.8,2652.8,127.56,-7.12,-2.25
-705.5,2655.5,127.65,-7.68,1.75
-707.9,2657.9,127.73,-7.79,1.32
-710.3,2660.3,127.81,-7.73,2.14
-712.7,2662.7,127.89,-8.21,0.97
-715.4,2665.4,127.98,-7.78,1.83
-717.8,2667.8,128.06,-7.95,0.88
-720.2,2670.2,128.14,-7.91,1.9
-722.6,2672.6,128.22,-7.25,3.42
-725,2675,128.3,-7,3.17
-727.4,2677.4,128.38,-7.06,3.43
-729.8,2679.8,128.46,-6.89,3.23
-732.2,2682.2,128.54,-6.48,3.53
-734.9,2684.9,128.63,-7.03,3.32
-737.3,2687.3,128.71,-6.83,3.54
-739.7,2689.7,128.79,-6.66,3.55
-742.1,2692.1,128.87,-7.2,2.95
-744.5,2694.5,128.95,-7.99,1.51
-746.9,2696.9,129.03,-9.49,-1.1
-749.6,2699.6,129.12,-10.06,-6.57
-752,2702,129.2,-10.67,-3.52
-754.4,2704.4,129.28,-10.94,-3.58
-757.1,2707.1,129.37,-8.89,-0.29
-759.5,2709.5,129.45,-7.8,2.1
-761.9,2711.9,129.53,-7.23,2.93
-764.6,2714.6,129.62,-6.92,3.05
-767,2717,129.7,-6.67,3.95
-769.4,2719.4,129.78,-6.51,4.31
-772.1,2722.1,129.87,-6.5,3.64
-774.5,2724.5,129.95,-6.24,4.77
-776.9,2726.9,130.03,-6.25,4.66
-779.6,2729.6,130.12,-6.56,4.58
-782,2732,130.2,-6.27,4.84
-784.4,2734.4,130.28,-6.73,2.55
-787.1,2737.1,130.37,-6.07,5.36
-789.5,2739.5,130.45,-6.1,5.26
-791.9,2741.9,130.53,-6.12,5.47
-794.6,2744.6,130.62,-6.02,5.25
-797,2747,130.7,-6.09,5.28
-799.4,2749.4,130.78,-6.17,4.59
-802.1,2752.1,130.87,-6.16,5.26
-804.5,2754.5,130.95,-6.08,4.01
-806.9,2756.9,131.03,-6.1,5.68
-809.6,2759.6,131.12,-6.04,5.2
-812,2762,131.2,-6.38,5.11
-814.4,2764.4,131.28,-6.27,5.75
-817.1,2767.1,131.37,-6.14,5.7
-819.5,2769.5,131.45,-6.14,5.67
-821.9,2771.9,131.53,-6.31,5.19
-824.6,2774.6,131.62,-6.39,5.2
-827,2777,131.7,-6.21,5.27
-829.4,2779.4,131.78,-6.33,4.75
-832.1,2782.1,131.87,-6.2,5.05
-834.5,2784.5,131.95,-6.47,5.11
-837.5,2787.5,132.05,-6.3,4.73
-840.8,2790.8,132.16,-6.38,4.89
-843.8,2793.8,132.26,-6.07,4.72
-847.1,2797.1,132.37,-6.47,4.29
-850.1,2800.1,132.47,-6.34,4.55
-853.1,2803.1,132.57,-6.19,4.84
-856.4,2806.4,132.68,-6.49,4.15
-859.4,2809.4,132.78,-6.65,4.27
-862.4,2812.4,132.88,-6.98,4.04
-865.7,2815.7,132.99,-7.23,3.63
-868.7,2818.7,133.09,-8.25,1.75
-872,2822,133.2,-7.4,3.2
-875,2825,133.3,-7.02,4.23
-878,2828,133.4,-6.98,3.91
-881.3,2831.3,133.51,-6.82,4.05
-884.3,2834.3,133.61,-6.62,4.62
-887.6,2837.6,133.72,-6.43,4.6
-890.6,2840.6,133.82,-6.93,3.43
-893.6,2843.6,133.92,-6.62,4.67
-896.9,2846.9,134.03,-6.85,3.7
-899.9,2849.9,134.13,-6.62,3.74
-902.9,2852.9,134.23,-6.27,4.64
-906.2,2856.2,134.34,-6.54,4.24
-909.2,2859.2,134.44,-6.24,4.79
-912.5,2862.5,134.55,-6.34,4.18
-915.5,2865.5,134.65,-6.58,4.57
-918.8,2868.8,134.76,-6.48,4.46
-921.8,2871.8,134.86,-6.53,3.5
-925.1,2875.1,134.97,-6.55,3.87
-928.1,2878.1,135.07,-6.2,4.62
-931.4,2881.4,135.18,-6.18,5.05
-934.7,2884.7,135.29,-6.27,4.92
-937.7,2887.7,135.39,-6.4,4.92
-941,2891,135.5,-7.92,3.39
-944.3,2894.3,135.61,-6.52,5.12
-947.3,2897.3,135.71,-6.12,5.36
-950.6,2900.6,135.82,-6.19,5.23
-953.6,2903.6,135.92,-4.43,5.63
-956.9,2906.9,136.03,-5.73,5.49
-960.2,2910.2,136.14,-6.34,5.56
-963.2,2913.2,136.24,-6.7,5.37
-966.5,2916.5,136.35,-6.6,5.12
-981.5,2931.5,136.85,-6.97,4.54
-985.4,2935.4,136.98,-8.44,1.56
-989.6,2939.6,137.12,-6.38,4.21
-993.5,2943.5,137.25,-6.13,5.02
-997.4,2947.4,137.38,-5.82,5.66
-1001.6,2951.6,137.52,-6.1,5.14
-1005.5,2955.5,137.65,-6.25,5.13
-1009.4,2959.4,137.78,-6.46,4.58
-1013.6,2963.6,137.92,-7.99,2.38
-1017.5,2967.5,138.05,-7.23,3.44
-1020.2,2970.2,138.14,-7.03,1.3
-1023.2,2973.2,138.24,-7.9,0.63
-1025.9,2975.9,138.33,-6.49,3.59
-1028.6,2978.6,138.42,-7.01,2.34
-1031.3,2981.3,138.51,-6.63,2.44
-1034.3,2984.3,138.61,-6.8,2.27
-1037,2987,138.7,-5.87,5.25
-1040,2990,138.8,-5.66,5.4
-1043.3,2993.3,138.91,-6.6,4.46
-1046.3,2996.3,139.01,-5.56,5.15
-1049.3,2999.3,139.11,-6.31,4.02
-1052.6,3002.6,139.22,-5.69,5.22
-1055.6,3005.6,139.32,-6.48,3.8
-1058.6,3008.6,139.42,-6.74,3.33
-1061.6,3011.6,139.52,-6.46,3.97
-1064.9,3014.9,139.63,-6.71,3.94
-1067.9,3017.9,139.73,-6.91,3.22
-1070.9,3020.9,139.83,-7.37,2.78
-1074.2,3024.2,139.94,-6.74,3.93
-1077.2,3027.2,140.04,-6.5,4.53
-1080.2,3030.2,140.14,-6.54,4.09
-1083.5,3033.5,140.25,-6.12,4.27
-1086.5,3036.5,140.35,-6.85,3.13
-1089.5,3039.5,140.45,-6.35,3.41
-1092.8,3042.8,140.56,-6.6,2.18
-1095.8,3045.8,140.66,-6.44,3.49
-1098.8,3048.8,140.76,-7.11,2.87
-1102.1,3052.1,140.87,-7.65,1.91
-1105.1,3055.1,140.97,-7.9,2.1
-1108.1,3058.1,141.07,-8.15,1.77
-1111.1,3061.1,141.17,-6.57,4.31
-1114.4,3064.4,141.28,-6.5,4.52
-1117.4,3067.4,141.38,NA,NA
-1120.4,3070.4,141.48,-6.92,3.13
-1123.7,3073.7,141.59,-6.61,3.77
-1126.7,3076.7,141.69,-6.66,4.41
-1129.7,3079.7,141.79,-6.66,3.6
-1133,3083,141.9,-6.95,3.85
-1136,3086,142,-6.79,4.55
-1139.6,3089.6,142.12,-6.44,4.43
-1143.2,3093.2,142.24,-6.41,4.51
-1146.8,3096.8,142.36,-6.59,3.49
-1150.7,3100.7,142.49,NA,NA
-1154.3,3104.3,142.61,-6.83,3.22
-1157.9,3107.9,142.73,NA,NA
-1161.5,3111.5,142.85,-9.52,-0.71
-1165.7,3115.7,142.99,-6.46,4.1
-1170.2,3120.2,143.14,-6.31,4.68
-1174.4,3124.4,143.28,-6.77,3.76
-1178.6,3128.6,143.42,-6.11,4.68
-1182.8,3132.8,143.56,-6.19,4.64
-1187.3,3137.3,143.71,-5.91,5.2
-1191.5,3141.5,143.85,-6.04,5.18
-1195.4,3145.4,143.98,-5.88,4.88
-1199.6,3149.6,144.12,-6.31,4.35
-1203.5,3153.5,144.25,-6.1,4.68
-1207.4,3157.4,144.38,-6.23,4.08
-1211.6,3161.6,144.52,-5.67,5.24
-1215.5,3165.5,144.65,-6.04,4.94
-1217.9,3167.9,144.73,-6.15,4.72
-1220.3,3170.3,144.81,-5.88,5.33
-1222.4,3172.4,144.88,-5.69,5.21
-1224.8,3174.8,144.96,-5.77,5.05
-1227.2,3177.2,145.04,-6.53,4.33
-1229.6,3179.6,145.12,-5.71,5.56
-1232,3182,145.2,-5.62,5.51
-1234.4,3184.4,145.28,-5.56,5.37
-1236.5,3186.5,145.35,-5.96,4.27
-1238.9,3188.9,145.43,-5.31,5.26
-1241.3,3191.3,145.51,-5.34,5.28
-1243.7,3193.7,145.59,-6.51,4.23
-1246.1,3196.1,145.67,-6.36,4.04
-1248.5,3198.5,145.75,-6.73,4.09
-1250.6,3200.6,145.82,-6.36,4.28
-1253,3203,145.9,-6.7,3.44
