year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],SumDiatoms (number/cm2) [1-1],CAL (unitless) [1-1],Acinocyclus. curvatulus (unitless) [1-1],A. octonarius (unitless) [1-1],Actinoptychus spp. (unitless) [1-1],Azpeitia nodulifer (unitless) [1-1],Az. tabularis (unitless) [1-1],Coscinodiscus spp. (unitless) [1-1],Cyclotella spp. (unitless) [1-1],Hemidiscus cuneiformis (unitless) [1-1],Paralia sulcata (unitless) [1-1],Roperia tesselata (unitless) [1-1],Stephanopyxis spp. (unitless) [1-1],Thalassiosira spp. (unitless) [1-1],Chaetoceros spores (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],percentOpal (percent) [2-1],CAL (unitless) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],CAL (unitless) [3-1],LSR (cm/ky) (unitless) [3-1],Bulk MAR (unitless) [3-1],Al (unitless) [3-1],Fe (unitless) [3-1],% Mg (unitless) [3-1],Na (unitless) [3-1],% Ca-detr (unitless) [3-1],% Ca-ex (unitless) [3-1],% CaCO3-ex (unitless) [3-1],% K (unitless) [3-1],P (unitless) [3-1],% Ti (unitless) [3-1],% Mn (unitless) [3-1],ppm Mn (unitless) [3-1],ppm As (unitless) [3-1],ppm Ba (unitless) [3-1],ppm Be (unitless) [3-1],ppm Cd (unitless) [3-1],ppm Co (unitless) [3-1],ppm Cr (unitless) [3-1],ppm Cu (unitless) [3-1],ppm La (unitless) [3-1],ppm Mo (unitless) [3-1],ppm Ni (unitless) [3-1],ppm Pb (unitless) [3-1],ppm Sc (unitless) [3-1],ppm Sr (unitless) [3-1],ppm V (unitless) [3-1],ppm Y (unitless) [3-1],ppm Zr (unitless) [3-1],ppm Zn (unitless) [3-1],% TC (unitless) [3-1],% IC (unitless) [3-1],CaCO3-IC (unitless) [3-1],% OC (unitless) [3-1],ppm Cd/% Mn (unitless) [3-1],ppmBa/%Al (unitless) [3-1],OC-MAR (g) (unitless) [3-1],OC-MAR (mg) (unitless) [3-1],Cd MAR (ug/cm2/ky) (unitless) [3-1],Mo MAR (ug/cm2/ky) (unitless) [3-1],Mn/Mo (unitless) [3-1]
-8253.974,10203.974,280.5,31432,CAL,0,0,0,12573,0,0,12573,0,6286,0,0,0,132013,-8086,10036,300,6.38,CAL,-7077.239,9027.238,245,CAL,29.743,10.717,2.74,1.56,1.12,3,1.003,14.697,36.743,0.89,0.15,0.13,0.012,116,-3,742,0.6,5,4,92,52.2,12.7,19,91,-2,5.6,749,69,13.3,27.9,115,13.74,4.6,38.333,9.14,431.034,270.803,0.979,979.494,53.583,203.615,6.105
-8422.078,10372.078,285.5,46647,CAL,0,0,0,31098,0,3887,7775,0,3887,0,0,0,299320,-8254,10204,305,5.96,CAL,-7245.343,9195.344,250,CAL,29.743,10.675,2.9,1.62,1.18,3.12,1.061,13.739,34.346,0.95,0.14,0.14,0.012,121,4,789,0.6,7,6,102,62.8,13,24,98,-2,5.8,715,79,13.4,30.3,111,13.71,4.41,36.75,9.3,578.512,272.069,0.993,992.75,74.723,256.194,5.042
-8590.183,10540.183,290.5,89636,CAL,0,3735,3735,29879,3735,14939,18674,0,11204,0,0,3735,104575,-8422,10372,310,7.77,CAL,-7413.449,9363.449,255,CAL,29.743,11.79,3.06,1.9,1.23,3.28,1.12,13.18,32.95,1.02,0.15,0.15,0.013,129,12,752,0.7,9,6,107,58.8,15,29,106,5,6.5,667,86,14.9,34.4,120,13.77,4.02,33.5,9.75,697.674,245.752,1.15,1149.57,106.114,341.923,4.448
-8691.047,10641.047,292.5,289856,CAL,0,0,2958,59154,26619,65070,79858,2958,23662,0,0,29577,1490683,-8590,10540,315,5.93,CAL,-7581.553,9531.553,260,CAL,29.743,11.777,3.33,1.9,1.27,3.38,1.219,11.281,28.203,1.1,0.16,0.16,0.014,142,11,627,0.8,8,9,112,65.6,15.5,27,106,7,6.8,605,92,15.8,33,124,13.77,3.56,29.667,10.21,563.38,188.288,1.202,1202.382,94.212,317.966,5.259
-8825.531,10775.531,297.5,228840,CAL,0,0,13461,70671,13461,63941,33653,0,20192,0,0,13461,235571,-8691,10641,322,7.11,CAL,-7749.658,9699.658,265,CAL,29.743,10.005,3.15,1.79,1.24,3.33,1.153,13.147,32.868,1.03,0.16,0.15,0.013,133,7,553,0.7,7,8,109,59.9,15.2,31,102,6,6.4,687,92,15.9,33.9,122,13.79,4.05,33.75,9.74,526.316,175.556,0.975,974.515,70.037,310.164,4.29
-8993.636,10943.636,302.5,218746,CAL,0,0,16827,40384,16827,50480,47114,10096,13461,0,0,23557,4617197,-8994,10944,327,7.21,CAL,-7917.764,9867.763,270,CAL,29.743,11.405,3.16,1.8,1.23,3.36,1.157,14.043,35.109,1.08,0.18,0.16,0.013,135,6,541,0.8,6,7,102,56.2,15.8,25,93,6,6.5,736,92,15.9,33.7,116,13.13,4.24,35.333,8.89,444.444,171.203,1.014,1013.869,68.428,285.115,5.4
-9161.74,11111.74,307.5,239246,CAL,4601,0,13803,73614,0,78215,36807,0,18403,0,0,13803,772947,-9162,11112,332,7.21,CAL,-8085.868,10035.869,275,CAL,29.743,10.865,3.19,1.76,1.25,3.43,1.168,12.932,32.331,1.12,0.17,0.16,0.013,134,6,522,0.8,7,8,111,61.3,15.5,25,102,8,6.8,683,97,16.8,34.6,122,13.82,3.91,32.583,9.91,522.388,163.636,1.077,1076.755,76.057,271.633,5.36
-9329.845,11279.845,312.5,144998,CAL,0,0,0,46136,3295,13182,32954,0,32954,0,0,16477,945790,-9330,11280,337,6.22,CAL,-8253.974,10203.974,280,CAL,29.743,11.507,3.02,1.71,1.16,3.11,1.105,14.995,37.487,1.06,0.17,0.15,0.013,130,8,526,0.7,4,7,93,50.4,14.2,17,83,4,6.2,794,78,15.1,30.8,105,12.89,4.57,38.083,8.32,307.692,174.172,0.957,957.372,46.028,195.617,7.647
-9497.951,11447.951,317.5,163365,CAL,0,0,17379,45186,13903,24331,27807,0,6952,0,3476,24331,11605839,-9498,11448,342,7.54,CAL,-8422.078,10372.078,285,CAL,29.743,10.907,3.63,1.96,1.33,3.56,1.329,10.071,25.179,1.22,0.18,0.18,0.015,152,-3,550,0.8,8,8,117,72.6,16.9,23,103,10,7.4,570,105,17.2,37.6,124,13.04,3.16,26.333,9.88,526.316,151.515,1.078,1077.629,87.257,250.865,6.609
-9666.056,11616.056,322.5,158731,CAL,0,0,3307,39683,23148,16534,26455,3307,13228,0,0,33069,5902778,-9666,11616,347,5.69,CAL,-8590.183,10540.183,290,CAL,29.743,11.446,3.43,1.93,1.24,3.11,1.255,13.645,34.112,1.11,0.17,0.17,0.015,147,4,541,0.7,4,5,105,72.5,15.6,16,88,4,6.8,736,89,15.5,33.1,110,12.53,4.16,34.667,8.37,272.109,157.726,0.958,958.067,45.786,183.143,9.188
-9834.16,11784.16,327.5,129305,CAL,2487,0,12433,32326,4973,22380,22380,0,12433,0,0,19893,295909,-9834,11784,352,4.41,CAL,-8691.047,10641.047,293,CAL,29.743,10.075,2.81,1.7,1.06,2.88,1.028,14.472,36.179,0.94,0.15,0.14,0.013,125,10,469,0.6,4,6,90,52.9,14.2,12,78,7,5.7,750,77,14.2,30,96.6,12.6,4.62,38.5,7.98,320,166.904,0.804,803.987,40.3,120.9,10.417
-10002.265,11952.265,332.5,6718,CAL,0,0,0,3359,0,0,3359,0,0,0,0,0,352734,-10002,11952,357,4,CAL,-8825.531,10775.531,297,CAL,29.743,9.852,2.99,1.64,1.11,2.88,1.094,15.606,39.014,1,0.17,0.15,0.013,134,-3,513,0.7,3,6,89,49.2,14.4,11,74,5,6,848,76,14.7,31.2,95.2,12.52,4.88,40.667,7.64,223.881,171.572,0.753,752.684,29.556,108.371,12.182
-10170.371,12120.371,337.5,4270,CAL,0,0,0,2135,0,0,0,0,0,0,0,2135,74738,-10170,12120,362,4.94,CAL,-8993.636,10943.636,302,CAL,29.743,11.711,3.23,1.79,1.2,3.26,1.182,13.018,32.545,1.07,0.18,0.16,0.014,141,5,513,0.6,5,7,103,54.9,14.8,15,86,-2,6.5,663,94,15.6,32.3,103,13.07,4.08,34,8.99,354.61,158.824,1.053,1052.858,58.557,175.671,9.4
-10338.476,12288.476,342.5,2287,CAL,0,0,0,0,0,0,0,0,2287,0,0,0,128051,-10338,12288,367,2.54,CAL,-9161.74,11111.74,307,CAL,29.743,10.084,3.13,1.74,1.18,3.12,1.146,11.854,29.636,1.02,0.22,0.16,0.014,136,4,478,0.8,5,7,110,56.1,15.2,15,88,6,6.4,634,98,15.5,34.3,112,13.24,3.79,31.583,9.45,367.647,152.716,0.953,952.968,50.422,151.265,9.067
-10674.685,12624.685,352.5,2445,CAL,0,0,0,0,0,0,2445,0,0,0,0,0,102696,-10507,12457,372,4.61,CAL,-9329.845,11279.845,312,CAL,29.743,9.387,3.14,1.72,1.2,3.07,1.149,12.951,32.377,1.03,0.16,0.16,0.014,140,8,486,0.7,6,7,92,47,15.7,12,75,6,6.5,677,90,14.8,36.2,94.7,12.26,4.25,35.417,8.01,428.571,154.777,0.752,751.898,56.322,112.644,11.667
-11010.896,12960.896,362.5,9159,CAL,0,0,0,0,0,3053,3053,0,3053,0,0,0,235043,-10843,12793,382,4.2,CAL,-9497.951,11447.951,317,CAL,29.743,12.176,3.25,1.83,1.21,3.14,1.19,10.911,27.276,1.05,0.18,0.17,0.014,140,3,484,0.7,5,5,101,57,16.2,15,83,5,6.7,577,97,16.6,38.2,101,12.6,3.61,30.083,8.99,357.143,148.923,1.095,1094.651,60.882,182.645,9.333
-11347.105,13297.105,372.5,7518,CAL,0,0,0,2506,0,0,2506,0,0,0,0,2506,87719,-11011,12961,387,1.38,CAL,-9666.056,11616.056,322,CAL,29.743,9.387,2.96,1.64,1.12,2.96,1.083,14.717,36.792,0.97,0.17,0.15,0.013,126,7,481,0.6,4,6,96,50.3,14.2,11,71,3,6,749,78,15.5,35.1,91.4,12.29,4.76,39.667,7.53,317.46,162.5,0.707,706.84,37.548,103.257,11.455
-11683.316,13633.316,382.5,22260,CAL,0,3180,0,3180,0,3180,3180,0,6360,0,0,3180,267112,-11179,13129,392,3.97,CAL,-9834.16,11784.16,327,CAL,29.743,11.711,3.58,1.84,1.23,2.55,1.31,12.79,31.974,1.15,0.23,0.19,0.015,155,-3,537,0.8,3,7,94,50.5,17.1,8,64,4,7.2,682,59,18.7,42.1,93.8,10.89,4.23,35.25,6.66,193.548,150,0.78,779.981,35.134,93.691,19.375
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11347,13297,397,3.14,CAL,-10002.265,11952.265,332,CAL,29.743,14.966,3.43,1.86,1.16,2.38,1.255,13.445,33.612,1.07,0.2,0.18,0.015,150,-3,525,0.7,2,8,86,46.1,17.2,6,57,6,6.6,708,51,17.3,39.9,83.8,10.37,4.46,37.167,5.91,133.333,153.061,0.884,884.47,29.931,89.794,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11515,13465,402,4.53,CAL,-10170.371,12120.371,337,CAL,29.743,15.431,3.44,1.78,1.17,2.43,1.259,13.341,33.352,1.1,0.18,0.19,0.015,149,-3,515,0.7,2,6,87,45.1,16.2,6,56,5,6.6,703,50,17.4,39,82.5,10.4,4.47,37.25,5.93,134.228,149.709,0.915,915.031,30.861,92.583,24.833
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10338.476,12288.476,342,CAL,29.743,14.036,3.52,1.83,1.22,2.57,1.288,13.612,34.029,1.12,0.17,0.19,0.015,153,-3,532,0.8,1,7,91,46.6,16.2,6,58,-2,6.8,725,51,17.7,39,86.3,10.34,4.53,37.75,5.81,65.359,151.136,0.815,815.484,14.036,84.215,25.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10506.581,12456.581,347,CAL,29.743,15.431,3.54,1.87,1.2,2.43,1.296,13.304,33.261,1.12,0.16,0.19,0.015,154,-3,505,0.7,2,6,90,48.5,15.6,6,59,-2,6.7,698,52,17.4,37.9,88.4,10.26,4.4,36.667,5.86,129.87,142.655,0.904,904.229,30.861,92.583,25.667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10674.685,12624.685,352,CAL,29.743,14.501,3.45,1.82,1.16,2.42,1.263,13.437,33.593,1.05,0.16,0.18,0.015,150,7,512,0.7,2,6,88,46.4,17.6,6,60,6,6.5,698,51,17.1,39.4,84.1,10.4,4.36,36.333,6.04,133.333,148.406,0.876,875.846,29.002,87.005,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10842.79,12792.79,357,CAL,29.743,13.571,3.53,1.83,1.18,2.43,1.292,13.008,32.52,1.05,0.15,0.18,0.015,150,5,472,0.7,2,6,89,46.5,16.9,6,59,2,6.5,693,52,16.9,40.2,87.1,10.53,4.25,35.417,6.28,133.333,133.711,0.852,852.258,27.142,81.426,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11010.896,12960.896,362,CAL,29.743,15.431,3.63,1.89,1.21,2.46,1.329,13.471,33.679,1.09,0.16,0.19,0.016,156,-3,518,0.7,2,6,90,47.6,16.9,6,61,2,6.8,717,53,17.4,41.2,86.9,10.41,4.37,36.417,6.04,128.205,142.7,0.932,932.004,30.861,92.583,26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11179.001,13129.001,367,CAL,29.743,15.431,3.51,1.84,1.18,2.41,1.285,13.115,32.788,1.07,0.16,0.19,0.015,151,-3,490,0.7,2,7,90,47.6,15.4,5,58,-2,6.4,693,53,17.3,38.1,88.2,10.47,4.33,36.083,6.14,132.45,139.601,0.947,947.435,30.861,77.153,30.2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11347.105,13297.105,372,CAL,29.743,15.431,3.54,1.8,1.19,2.39,1.296,12.804,32.011,1.1,0.16,0.19,0.015,150,-3,497,0.8,3,7,87,47.3,16.7,5,58,4,6.8,684,53,17.4,40.6,84.8,10.33,4.39,36.583,5.94,200,140.395,0.917,916.574,46.292,77.153,30
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11515.21,13465.21,377,CAL,29.743,14.036,3.59,1.92,1.2,2.34,1.314,13.386,33.465,1.14,0.16,0.19,0.016,156,3,508,0.8,2,8,95,47.9,18.3,6,63,10,7.2,698,56,18.1,42.7,90,10.48,4.32,36,6.16,128.205,141.504,0.865,864.61,28.072,84.215,26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11683.316,13633.316,382,CAL,29.743,12.176,3.63,1.92,1.23,2.52,1.329,12.671,31.679,1.13,0.16,0.19,0.016,156,-3,498,0.8,3,7,95,49.4,16.6,7,64,3,6.8,676,57,17.6,40.5,91.1,10.52,4.22,35.167,6.3,192.308,137.19,0.767,767.108,36.529,85.234,22.286
