year (AD),age (BP),temperature (missing),kyryr BP2 (BP),accumulation (m)
-5024.97,6974.97,-29.131,17.516,0.068
-5024.97,6974.97,-29.168,17.544,0.068
-5041.52,6991.52,-29.468,17.573,0.068
-5058.94,7008.94,-29.916,17.602,0.068
-5093.23,7043.23,-30.32,17.631,0.067
-5093.23,7043.23,-30.289,17.66,0.067
-5110.31,7060.31,-30.474,17.689,0.067
-5127.94,7077.94,-30.683,17.717,0.066
-5145.19,7095.19,-30.945,17.746,0.066
-5162.32,7112.32,-30.977,17.775,0.065
-5175.35,7125.35,-30.964,17.804,0.064
-5195.8,7145.8,-31.103,17.832,0.064
-5213.51,7163.51,-31.132,17.861,0.063
-5230.52,7180.52,-31.281,17.89,0.063
-5247.45,7197.45,-31.436,17.919,0.063
-5263.19,7213.19,-31.42,17.948,0.063
-5280.45,7230.45,-31.26,17.977,0.064
-5297.15,7247.15,-31.121,18.005,0.064
-5315.27,7265.27,-30.976,18.034,0.063
-5332.23,7282.23,-30.78,18.063,0.063
-5349.9,7299.9,-30.674,18.092,0.063
-5368,7318,-30.571,18.121,0.063
-5383.72,7333.72,-30.572,18.149,0.063
-5401.3,7351.3,-30.472,18.178,0.063
-5419.07,7369.07,-30.281,18.207,0.064
-5436.32,7386.32,-30.15,18.236,0.065
-5453.22,7403.22,-29.978,18.265,0.065
-5469.69,7419.69,-29.856,18.294,0.065
-5486.69,7436.69,-29.807,18.322,0.065
-5504.05,7454.05,-30.011,18.351,0.064
-5521.27,7471.27,-30.119,18.38,0.064
-5537.72,7487.72,-30.126,18.409,0.063
-5554.61,7504.61,-30.266,18.438,0.063
-5572.2,7522.2,-30.308,18.466,0.063
-5589.59,7539.59,-30.28,18.495,0.063
-5606.58,7556.58,-30.099,18.524,0.063
-5624.75,7574.75,-30.129,18.553,0.063
-5642.48,7592.48,-30.287,18.581,0.062
-5658.89,7608.89,-30.294,18.61,0.062
-5675.59,7625.59,-30.27,18.639,0.061
-5692.67,7642.67,-30.094,18.668,0.061
-5709.86,7659.86,-29.909,18.697,0.06
-5728.21,7678.21,-29.592,18.726,0.06
-5745.46,7695.46,-29.34,18.754,0.06
-5763,7713,-29.283,18.783,0.06
-5780.63,7730.63,-29.194,18.812,0.06
-5796.95,7746.95,-29.153,18.841,0.06
-5815.15,7765.15,-28.928,18.87,0.06
-5833.12,7783.12,-28.863,18.898,0.061
-5850.33,7800.33,-28.859,18.927,0.063
-5867.32,7817.32,-28.702,18.956,0.064
-5884.54,7834.54,-28.712,18.985,0.066
-5901.47,7851.47,-28.747,19.014,0.068
-5918.34,7868.34,-28.924,19.043,0.07
-5935.77,7885.77,-29.106,19.071,0.072
-5953.58,7903.58,-29.161,19.1,0.074
-5971.31,7921.31,-29.162,19.129,0.075
-5989.1,7939.1,-29.147,19.158,0.076
-6007.05,7957.05,-29.131,19.186,0.076
-6024.62,7974.62,-29.238,19.215,0.076
-6043.18,7993.18,-29.641,19.244,0.075
-6061.54,8011.54,-29.921,19.273,0.075
-6079.02,8029.02,-30.086,19.302,0.075
-6096.27,8046.27,-30.279,19.331,0.074
-6114.42,8064.42,-30.405,19.359,0.074
-6133.12,8083.12,-30.576,19.388,0.073
-6150.59,8100.59,-30.546,19.417,0.072
-6169.11,8119.11,-30.775,19.446,0.07
-6186.41,8136.41,-30.876,19.475,0.069
-6203.16,8153.16,-31.353,19.503,0.068
-6221.05,8171.05,-31.809,19.532,0.066
-6240.02,8190.02,-32.239,19.561,0.066
-6260.54,8210.54,-32.442,19.59,0.065
-6279.97,8229.97,-32.4,19.619,0.065
-6300.54,8250.54,-32.32,19.648,0.065
-6319.13,8269.13,-32.239,19.676,0.065
-6340.01,8290.01,-32.162,19.705,0.065
-6359.8,8309.8,-32.08,19.734,0.066
-6380.24,8330.24,-32.011,19.763,0.067
-6398.58,8348.58,-31.953,19.791,0.067
-6415.9,8365.9,-31.743,19.82,0.067
-6434.56,8384.56,-31.367,19.849,0.068
-6454.55,8404.55,-30.951,19.878,0.068
-6474.04,8424.04,-30.604,19.907,0.068
-6492.56,8442.56,-30.389,19.936,0.068
-6511,8461,-30.323,19.964,0.069
-6530.08,8480.08,-30.381,19.993,0.069
-6549.25,8499.25,-30.451,20.022,0.07
-6569.41,8519.41,-30.451,20.051,0.07
-6588.61,8538.61,-30.391,20.08,0.071
-6608.35,8558.35,-30.31,20.108,0.071
-6627.52,8577.52,-30.216,20.137,0.071
-6647.35,8597.35,-30.134,20.166,0.07
-6665.28,8615.28,-30.172,20.195,0.07
-6682.64,8632.64,-30.18,20.224,0.069
-6701.81,8651.81,-30.139,20.252,0.069
-6720.76,8670.76,-30.162,20.281,0.068
-6739.11,8689.11,-30.072,20.31,0.068
-6757.61,8707.61,-29.921,20.339,0.068
-6776.78,8726.78,-29.842,20.368,0.068
-6797.69,8747.69,-29.817,20.396,0.067
-6816.07,8766.07,-29.799,20.425,0.067
-6835,8785,-29.824,20.454,0.067
-6853.22,8803.22,-29.898,20.483,0.067
-6871.89,8821.89,-29.868,20.512,0.067
-6892.33,8842.33,-29.698,20.541,0.067
-6912.39,8862.39,-29.515,20.569,0.067
-6933.49,8883.49,-29.421,20.598,0.066
-6953.58,8903.58,-29.389,20.627,0.065
-6973.4,8923.4,-29.441,20.656,0.064
-6991.96,8941.96,-29.578,20.685,0.064
-7011.34,8961.34,-29.636,20.713,0.064
-7030.44,8980.44,-29.64,20.742,0.064
-7050.81,9000.81,-29.664,20.771,0.065
-7070.86,9020.86,-29.655,20.8,0.065
-7091.03,9041.03,-29.528,20.829,0.065
-7111.15,9061.15,-29.446,20.857,0.064
-7132.01,9082.01,-29.591,20.886,0.064
-7150.9,9100.9,-29.845,20.915,0.064
-7170.35,9120.35,-29.969,20.944,0.064
-7189.06,9139.06,-29.955,20.973,0.064
-7208.42,9158.42,-30.05,21.002,0.064
-7227.55,9177.55,-30.141,21.03,0.065
-7248.88,9198.88,-30.139,21.059,0.065
-7248.88,9198.88,-30.178,21.088,0.065
-7267.99,9217.99,-30.291,21.117,0.065
-7288.01,9238.01,-30.27,21.145,0.064
-7309.62,9259.62,-30.195,21.174,0.064
-7331.42,9281.42,-30.226,21.203,0.064
-7352.11,9302.11,-30.095,21.232,0.064
-7373.18,9323.18,-29.97,21.261,0.064
-7395.54,9345.54,-29.957,21.29,0.064
-7415.93,9365.93,-29.983,21.318,0.064
-7436.43,9386.43,-30.037,21.347,0.063
-7457.56,9407.56,-30.066,21.376,0.063
-7475.57,9425.57,-30.173,21.405,0.063
-7496.83,9446.83,-30.237,21.434,0.062
-7518.09,9468.09,-30.271,21.462,0.061
-7538.87,9488.87,-30.385,21.491,0.06
-7560.04,9510.04,-30.469,21.52,0.059
-7582.24,9532.24,-30.609,21.549,0.058
-7605.97,9555.97,-30.718,21.578,0.057
-7628.95,9578.95,-30.624,21.606,0.056
-7651.42,9601.42,-30.612,21.635,0.056
-7673.97,9623.97,-30.497,21.664,0.055
-7696.99,9646.99,-30.177,21.693,0.055
-7720.46,9670.46,-29.914,21.722,0.055
-7743.74,9693.74,-29.86,21.75,0.055
-7765.7,9715.7,-29.887,21.779,0.055
-7791.41,9741.41,-29.849,21.808,0.055
-7813.75,9763.75,-29.954,21.837,0.056
-7836.86,9786.86,-30.1,21.866,0.056
-7860.31,9810.31,-30.32,21.895,0.058
-7883.91,9833.91,-30.422,21.923,0.059
-7907.34,9857.34,-30.333,21.952,0.06
-7929.68,9879.68,-30.465,21.981,0.061
-7952.24,9902.24,-30.675,22.01,0.062
-7975.33,9925.33,-30.544,22.039,0.062
-8021.94,9971.94,-30.484,22.067,0.062
-8046.27,9996.27,-30.563,22.096,0.062
-8066.6,10016.6,-30.496,22.125,0.062
-8078.4,10028.4,-30.439,22.154,0.061
-8102.2,10052.2,-30.417,22.183,0.061
-8114.4,10064.4,-30.415,22.211,0.061
-8125.9,10075.9,-30.483,22.24,0.06
-8149.5,10099.5,-30.56,22.269,0.06
-8161.3,10111.3,-30.542,22.298,0.059
-8172.5,10122.5,-30.601,22.327,0.058
-8184.2,10134.2,-30.678,22.355,0.058
-8197.4,10147.4,-30.743,22.384,0.058
-8210.1,10160.1,-30.813,22.413,0.058
-8222.8,10172.8,-30.875,22.442,0.058
-8222.8,10172.8,-30.898,22.471,0.059
-8236.2,10186.2,-30.967,22.5,0.059
-8249.1,10199.1,-31.065,22.528,0.06
-8262.4,10212.4,-31.157,22.557,0.06
-8275.5,10225.5,-31.242,22.586,0.061
-8289.2,10239.2,-31.354,22.615,0.061
-8302.1,10252.1,-31.475,22.644,0.062
-8314.1,10264.1,-31.597,22.672,0.062
-8326.1,10276.1,-31.717,22.701,0.062
-8338,10288,-31.828,22.73,0.062
-8350.1,10300.1,-31.924,22.759,0.062
-8363.2,10313.2,-32.022,22.788,0.063
-8373.8,10323.8,-32.114,22.816,0.063
-8386.3,10336.3,-32.206,22.845,0.064
-8400.2,10350.2,-32.296,22.874,0.064
-8414.3,10364.3,-32.398,22.903,0.065
-8439.7,10389.7,-32.526,22.932,0.065
-8451.6,10401.6,-32.612,22.96,0.065
-8464.1,10414.1,-32.691,22.989,0.065
-8478,10428,-32.761,23.018,0.064
-8489.9,10439.9,-32.803,23.047,0.063
-8489.9,10439.9,-32.83,23.076,0.063
-8502.8,10452.8,-32.858,23.105,0.063
-8518.3,10468.3,-32.885,23.133,0.064
-8518.3,10468.3,-32.907,23.162,0.065
-8531.4,10481.4,-32.935,23.191,0.067
-8544,10494,-32.975,23.22,0.068
-8559,10509,-33.017,23.248,0.068
-8572,10522,-33.078,23.277,0.068
-8587,10537,-33.157,23.306,0.067
-8601,10551,-33.192,23.335,0.065
-8615,10565,-33.254,23.364,0.063
-8630,10580,-33.273,23.393,0.06
-8643,10593,-33.326,23.421,0.058
-8656,10606,-33.389,23.45,0.057
-8670,10620,-33.481,23.479,0.055
-8684,10634,-33.559,23.508,0.055
-8698,10648,-33.64,23.537,0.055
-8712,10662,-33.757,23.565,0.055
-8728,10678,-33.855,23.594,0.055
-8742,10692,-33.946,23.623,0.055
-8756,10706,-34.044,23.652,0.056
-8770,10720,-34.125,23.681,0.056
-8784,10734,-34.204,23.709,0.057
-8797,10747,-34.285,23.738,0.057
-8812,10762,-34.38,23.767,0.058
-8812,10762,-34.415,23.796,0.059
-8842,10792,-34.591,23.825,0.06
-8856,10806,-34.695,23.854,0.061
-8869,10819,-34.801,23.882,0.062
-8869,10819,-34.849,23.911,0.063
-8883,10833,-34.927,23.94,0.063
-8897,10847,-35.013,23.969,0.062
-8912,10862,-35.047,23.998,0.062
-8927,10877,-35.077,24.026,0.061
-8941,10891,-35.126,24.055,0.061
-8971,10921,-35.553,24.084,0.06
-8987,10937,-35.535,24.113,0.059
-9001,10951,-35.544,24.142,0.058
-9015,10965,-34.963,24.17,0.057
-9030,10980,-35.147,24.199,0.056
-9045,10995,-35.404,24.228,0.054
-9061,11011,-35.452,24.257,0.053
-9075,11025,-35.347,24.286,0.053
-9089,11039,-35.618,24.314,0.053
-9107,11057,-35.736,24.343,0.053
-9121,11071,-36.221,24.372,0.053
-9137,11087,-36.208,24.401,0.054
-9151,11101,-35.933,24.43,0.054
-9170,11120,-36.068,24.459,0.055
-9185,11135,-36.391,24.487,0.055
-9199,11149,-36.304,24.516,0.055
-9213,11163,-35.994,24.545,0.056
-9230,11180,-35.391,24.574,0.055
-9247,11197,-35.452,24.602,0.055
-9263,11213,-35.369,24.631,0.055
-9279,11229,-35.457,24.66,0.054
-9293,11243,-35.395,24.689,0.054
-9308,11258,-35.461,24.718,0.054
-9324,11274,-35.806,24.747,0.054
-9339,11289,-36.366,24.775,0.054
-9357,11307,-36.422,24.804,0.054
-9374,11324,-37.746,24.833,0.054
-9389,11339,-37.773,24.862,0.054
-9404,11354,-38.395,24.891,0.054
-9421,11371,-38.772,24.919,0.054
-9439,11389,-39.424,24.948,0.054
-9458,11408,-39.455,24.977,0.054
-9477,11427,-38.812,25.006,0.054
-9496,11446,-38.756,25.035,0.054
-9512,11462,-38.043,25.064,0.054
-9529,11479,-37.349,25.092,0.054
-9546,11496,-36.636,25.121,0.054
-9562,11512,-36.619,25.15,0.053
-9577,11527,-36.523,25.179,0.053
-9592,11542,-35.885,25.207,0.053
-9608,11558,-35.897,25.236,0.053
-9626,11576,-36.336,25.265,0.052
-9644,11594,-36.152,25.294,0.052
-9661,11611,-36.641,25.323,0.052
-9678,11628,-37.803,25.352,0.051
-9697,11647,-39.868,25.38,0.051
-9716,11666,-41.534,25.409,0.051
-9716,11666,-42.404,25.438,0.051
-9740,11690,-44.336,25.467,0.051
-9773,11723,-45.436,25.496,0.051
-9805,11755,-46.873,25.524,0.051
-9840,11790,-46.468,25.553,0.051
-9873,11823,-47.102,25.582,0.051
-9907,11857,-48.303,25.611,0.052
-9939,11889,-47.668,25.64,0.052
-9972,11922,-47.691,25.669,0.052
-10009,11959,-47.737,25.697,0.052
-10043,11993,-46.491,25.726,0.051
-10079,12029,-46.613,25.755,0.051
-10113,12063,-46.567,25.784,0.05
-10154,12104,-46.284,25.812,0.05
-10190,12140,-46.995,25.841,0.05
-10224,12174,-47.347,25.87,0.05
-10263,12213,-47.722,25.899,0.05
-10296,12246,-47.622,25.928,0.05
-10330,12280,-47.202,25.956,0.051
-10372,12322,-47.531,25.985,0.051
-10372,12322,-47.38,26.014,0.052
-10451,12401,-47.676,26.043,0.052
-10488,12438,-48.303,26.072,0.052
-10525,12475,-48.188,26.101,0.052
-10561,12511,-48.157,26.129,0.053
-10600,12550,-48.395,26.158,0.053
-10638,12588,-48.968,26.187,0.053
-10678,12628,-49.488,26.216,0.052
-10716,12666,-49.771,26.245,0.052
-10755,12705,-50.13,26.273,0.052
-10795,12745,-49.549,26.302,0.051
-10829,12779,-49.511,26.331,0.051
-10867,12817,-49.648,26.36,0.051
-10904,12854,-49.205,26.389,0.051
-10937,12887,-48.043,26.418,0.051
-10970,12920,-45.902,26.446,0.051
-10998,12948,-44.121,26.475,0.052
-11023,12973,-42.104,26.504,0.053
-11043,12993,-41.352,26.533,0.054
-11064,13014,-41.156,26.561,0.055
-11085,13035,-41.07,26.59,0.056
-11105,13055,-41.553,26.619,0.056
-11129,13079,-41.908,26.648,0.057
-11152,13102,-43.138,26.677,0.057
-11172,13122,-44.257,26.706,0.057
-11195,13145,-45.009,26.734,0.057
-11223,13173,-45.764,26.763,0.056
-11255,13205,-46.216,26.792,0.056
-11286,13236,-46.177,26.821,0.056
-11312,13262,-45.084,26.85,0.056
-11341,13291,-43.816,26.878,0.055
-11366,13316,-43.364,26.907,0.055
-11394,13344,-42.257,26.936,0.055
-11416,13366,-41.205,26.965,0.055
-11443,13393,-40.605,26.994,0.055
-11466,13416,-39.982,27.023,0.055
-11486,13436,-39.578,27.051,0.054
-11510,13460,-39.058,27.08,0.054
-11532,13482,-39.615,27.109,0.053
-11554,13504,-39.321,27.138,0.052
-11577,13527,-39.04,27.166,0.052
-11597,13547,-38.514,27.195,0.051
-11638,13588,-38.43,27.224,0.05
-11655,13605,-38.603,27.253,0.05
-11675,13625,-39.297,27.282,0.05
-11675,13625,-39.676,27.311,0.05
-11697,13647,-40.031,27.339,0.05
-11722,13672,-40.526,27.368,0.05
-11747,13697,-40.477,27.397,0.051
-11770,13720,-40.116,27.426,0.053
-11792,13742,-39.229,27.455,0.055
-11812,13762,-39.003,27.483,0.057
-11852,13802,-38.894,27.512,0.059
-11871,13821,-38.914,27.541,0.061
-11891,13841,-39.144,27.57,0.063
-11912,13862,-39.179,27.599,0.065
-11912,13862,-39.236,27.627,0.066
-11932,13882,-39.37,27.656,0.066
-11952,13902,-39.37,27.685,0.066
-11974,13924,-39.376,27.714,0.065
-11997,13947,-38.783,27.743,0.063
-12019,13969,-39.015,27.771,0.061
-12038,13988,-39.67,27.8,0.058
-12060,14010,-40.801,27.829,0.055
-12081,14031,-41.792,27.858,0.052
-12101,14051,-42.991,27.887,0.05
-12131,14081,-42.642,27.916,0.048
-12160,14110,-41.602,27.944,0.047
-12181,14131,-40.343,27.973,0.046
-12221,14171,-39.429,28.002,0.046
-12237,14187,-38.379,28.031,0.046
-12256,14206,-38.389,28.06,0.046
-12275,14225,-38.17,28.088,0.047
-12294,14244,-37.701,28.117,0.047
-12311,14261,-37.202,28.146,0.048
-12331,14281,-36.417,28.175,0.049
-12349,14299,-35.821,28.204,0.05
-12368,14318,-34.939,28.232,0.051
-12384,14334,-34.388,28.261,0.052
-12402,14352,-34.256,28.29,0.053
-12419,14369,-34.281,28.319,0.054
-12434,14384,-34.103,28.348,0.055
-12451,14401,-34.23,28.377,0.056
-12469,14419,-34.505,28.405,0.056
-12486,14436,-34.271,28.434,0.058
-12504,14454,-34.2,28.463,0.059
-12520,14470,-33.328,28.492,0.06
-12535,14485,-32.792,28.52,0.062
-12550,14500,-32.377,28.549,0.063
-12566,14516,-31.992,28.578,0.065
-12582,14532,-32.114,28.607,0.066
-12598,14548,-31.774,28.636,0.068
-12615,14565,-32.272,28.665,0.069
-12630,14580,-32.98,28.693,0.071
-12646,14596,-33.155,28.722,0.072
-12662,14612,-33.706,28.751,0.073
-12679,14629,-34.618,28.78,0.073
-12698,14648,-36.106,28.809,0.074
-12719,14669,-38.267,28.837,0.074
-12719,14669,-38.985,28.866,0.074
-12738,14688,-41.162,28.895,0.074
-12761,14711,-42.807,28.924,0.073
-12799,14749,-44.304,28.953,0.072
-12838,14788,-44.587,28.982,0.07
-12874,14824,-44.671,29.01,0.068
-12910,14860,-44.633,29.039,0.065
-12947,14897,-45.015,29.068,0.062
-12982,14932,-45.558,29.097,0.06
-13018,14968,-45.283,29.125,0.058
-13051,15001,-45.107,29.154,0.057
-13085,15035,-45.214,29.183,0.056
-13124,15074,-44.664,29.212,0.056
-13158,15108,-44.343,29.241,0.056
-13192,15142,-43.616,29.27,0.056
-13226,15176,-42.89,29.298,0.055
-13264,15214,-43.448,29.327,0.054
-13300,15250,-43.433,29.356,0.053
-13342,15292,-44.136,29.385,0.051
-13342,15292,-44.679,29.414,0.049
-13383,15333,-44.771,29.442,0.048
-13425,15375,-45.117,29.471,0.047
-13470,15420,-45.505,29.5,0.046
-13550,15500,-45.344,29.529,0.046
-13585,15535,-45.336,29.558,0.046
-13629,15579,-44.969,29.586,0.046
-13629,15579,-44.761,29.615,0.047
-13668,15618,-46.025,29.644,0.048
-13710,15660,-47.482,29.673,0.049
-13790,15740,-47.179,29.702,0.051
-13790,15740,-46.707,29.73,0.052
-13834,15784,-46.626,29.759,0.053
-13875,15825,-47.543,29.788,0.054
-13953,15903,-48.861,29.817,0.054
-13996,15946,-49.266,29.846,0.054
-13996,15946,-49.541,29.875,0.054
-14040,15990,-48.481,29.903,0.054
-14083,16033,-47.095,29.932,0.054
-14122,16072,-45.688,29.961,0.053
-14165,16115,-45.219,29.99,0.053
-14209,16159,-45.556,30.019,0.053
-14286,16236,-45.696,30.047,0.053
-14324,16274,-46.162,30.076,0.053
-14364,16314,-45.703,30.105,0.053
-14398,16348,-45.841,30.134,0.054
-14439,16389,-45.81,30.163,0.054
-14439,16389,-45.464,30.191,0.054
-14515,16465,-46.3,30.22,0.054
-14515,16465,-46.605,30.249,0.054
-14560,16510,-47.217,30.278,0.054
-14603,16553,-47.635,30.307,0.054
-14679,16629,-47.064,30.335,0.053
-14712,16662,-46.904,30.364,0.054
-14752,16702,-47.538,30.393,0.054
-14790,16740,-47.087,30.422,0.055
-14823,16773,-47.332,30.451,0.055
-14863,16813,-45.94,30.48,0.056
-14895,16845,-45.298,30.508,0.057
-14935,16885,-45.734,30.537,0.057
-14969,16919,-45.145,30.566,0.057
-15010,16960,-47.08,30.595,0.057
-15048,16998,-47.416,30.623,0.057
-15048,16998,-47.523,30.652,0.056
-15092,17042,-48.369,30.681,0.056
-15133,17083,-47.635,30.71,0.055
-15177,17127,-48.216,30.739,0.055
-15219,17169,-47.778,30.768,0.054
-15295,17245,-45.818,30.796,0.054
-15334,17284,-45.023,30.825,0.054
-15334,17284,-44.608,30.854,0.054
-15383,17333,-44.75,30.883,0.054
-15424,17374,-44.658,30.912,0.054
-15466,17416,-43.802,30.94,0.054
-15508,17458,-44.75,30.969,0.054
-15553,17503,-44.699,30.998,0.054
-15598,17548,-44.73,31.027,0.054
-15643,17593,-43.517,31.056,0.054
-15688,17638,-44.23,31.084,0.055
-15734,17684,-44.811,31.113,0.055
-15780,17730,-45.77,31.142,0.055
-15826,17776,-46.32,31.171,0.055
-15871,17821,-45.882,31.2,0.056
-15919,17869,-44.873,31.229,0.056
-15970,17920,-43.578,31.257,0.056
-16020,17970,-43.323,31.286,0.056
-16069,18019,-43.884,31.315,0.056
-16121,18071,-44.485,31.344,0.056
-16166,18116,-44.689,31.373,0.056
-16215,18165,-44.291,31.401,0.056
-16266,18216,-43.629,31.43,0.057
-16316,18266,-43.975,31.459,0.057
-16367,18317,-44.475,31.488,0.057
-16410,18360,-44.139,31.517,0.058
-16458,18408,-44.108,31.545,0.058
-16514,18464,-43.537,31.574,0.058
-16564,18514,-44.852,31.603,0.058
-16613,18563,-45.148,31.632,0.058
-16660,18610,-45.984,31.661,0.058
-16713,18663,-44.434,31.689,0.058
-16765,18715,-43.914,31.718,0.058
-16817,18767,-43.313,31.747,0.059
-16869,18819,-43.935,31.776,0.059
-16927,18877,-43.649,31.805,0.06
-16977,18927,-43.272,31.834,0.06
-17030,18980,-43.201,31.862,0.061
-17083,19033,-43.833,31.891,0.061
-17127,19077,-43.823,31.92,0.061
-17176,19126,-43.843,31.949,0.061
-17217,19167,-42.966,31.977,0.061
-17260,19210,-42.661,32.006,0.06
-17303,19253,-42.926,32.035,0.06
-17343,19293,-43.731,32.064,0.059
-17386,19336,-44.618,32.093,0.059
-17432,19382,-45.066,32.122,0.059
-17472,19422,-45.046,32.15,0.058
-17516,19466,-45.403,32.179,0.058
-17561,19511,-45.484,32.208,0.057
-17610,19560,-45.321,32.237,0.057
-17652,19602,-45.066,32.266,0.056
-17708,19658,-45.352,32.294,0.056
-17758,19708,-45.637,32.323,0.055
-17811,19761,-46.045,32.352,0.055
-17862,19812,-45.912,32.381,0.054
-17908,19858,-46.575,32.41,0.054
-17954,19904,-45.994,32.438,0.054
-18004,19954,-45.923,32.467,0.054
-18057,20007,-45.311,32.496,0.054
-18101,20051,-45.749,32.525,0.054
-18149,20099,-46.361,32.554,0.053
-18194,20144,-46.493,32.583,0.053
-18238,20188,-47.024,32.611,0.053
-18283,20233,-47.533,32.64,0.052
-18331,20281,-48.308,32.669,0.052
-18381,20331,-48.369,32.698,0.052
-18426,20376,-46.799,32.727,0.052
-18475,20425,-45.127,32.755,0.053
-18528,20478,-45.066,32.784,0.053
-18576,20526,-44.954,32.813,0.053
-18622,20572,-45.515,32.842,0.054
-18671,20621,-44.505,32.871,0.054
-18721,20671,-45.586,32.899,0.054
-18771,20721,-46.585,32.928,0.054
-18824,20774,-47.472,32.957,0.054
-18880,20830,-47.227,32.986,0.054
-18927,20877,-47.625,33.015,0.053
-18976,20926,-48.043,33.044,0.053
-19032,20982,-48.461,33.072,0.053
-19086,21036,-48.4,33.101,0.053
-19137,21087,-48.797,33.13,0.053
-19187,21137,-48.96,33.159,0.053
-19241,21191,-49.236,33.188,0.053
-19289,21239,-49.694,33.216,0.053
-19342,21292,-50.632,33.245,0.053
-19395,21345,-50.489,33.274,0.053
-19446,21396,-49.857,33.303,0.053
-19499,21449,-49.072,33.332,0.053
-19552,21502,-49.551,33.36,0.054
-19606,21556,-49.918,33.389,0.054
-19662,21612,-50.489,33.418,0.054
-19721,21671,-49.256,33.447,0.054
-19777,21727,-49.032,33.476,0.055
-19843,21793,-48.135,33.504,0.055
-19906,21856,-49.225,33.533,0.055
-19966,21916,-48.787,33.562,0.055
-20029.5,21979.5,-49.154,33.591,0.054
-20085.5,22035.5,-48.706,33.62,0.054
-20140.5,22090.5,-48.614,33.648,0.054
-20188.5,22138.5,-48.084,33.677,0.054
-20236.5,22186.5,-47.472,33.706,0.054
-20301.5,22251.5,-48.002,33.735,0.054
-20348.5,22298.5,-48.817,33.764,0.054
-20409.5,22359.5,-49.47,33.792,0.055
-20471,22421,-48.889,33.821,0.055
-20531,22481,-48.186,33.85,0.055
-20588,22538,-48.165,33.879,0.055
-20645,22595,-48.94,33.908,0.055
-20700,22650,-49.042,33.937,0.055
-20757,22707,-48.553,33.965,0.056
-20813,22763,-48.267,33.994,0.056
-20865,22815,-48.124,34.023,0.056
-20921,22871,-47.146,34.052,0.057
-20976,22926,-44.73,34.081,0.057
-21024,22974,-43.833,34.109,0.057
-21078,23028,-45.433,34.138,0.057
-21132,23082,-47.778,34.167,0.057
-21183,23133,-49.47,34.196,0.057
-21235,23185,-49.297,34.225,0.057
-21297,23247,-48.95,34.253,0.057
-21347,23297,-46.147,34.282,0.058
-21391,23341,-43.211,34.311,0.058
-21442,23392,-42.212,34.34,0.06
-21494,23444,-43.975,34.369,0.062
-21555,23505,-47.829,34.398,0.064
-21616,23566,-49.531,34.426,0.067
-21680,23630,-51.244,34.455,0.069
-21744,23694,-51.152,34.484,0.071
-21803,23753,-52.518,34.513,0.073
-21864,23814,-52.324,34.541,0.074
-21924,23874,-52.926,34.57,0.074
-21984,23934,-52.854,34.599,0.074
-22036,23986,-53.089,34.628,0.074
-22088,24038,-53.395,34.657,0.075
-22148,24098,-53.415,34.686,0.075
-22203,24153,-53.15,34.714,0.076
-22258,24208,-52.487,34.743,0.078
-22317,24267,-51.264,34.772,0.079
-22387,24337,-50.52,34.801,0.08
-22451,24401,-49.612,34.83,0.082
-22513,24463,-48.502,34.858,0.083
-22581,24531,-48.96,34.887,0.083
-22641,24591,-49.317,34.916,0.084
-22703,24653,-51.254,34.945,0.084
-22764,24714,-50.581,34.974,0.085
-22830,24780,-51.57,35.002,0.085
-22891,24841,-50.724,35.031,0.086
-22960,24910,-51.019,35.06,0.087
-23026,24976,-48.4,35.089,0.087
-23087,25037,-47.431,35.118,0.087
-23149,25099,-47.421,35.147,0.087
-23214,25164,-48.96,35.175,0.086
-23279,25229,-49.694,35.204,0.084
-23344,25294,-50.041,35.233,0.081
-23411,25361,-49.541,35.262,0.078
-23476,25426,-49.643,35.291,0.074
-23545,25495,-50.418,35.319,0.07
-23613,25563,-52.09,35.348,0.067
-23680,25630,-53.547,35.377,0.064
-23750,25700,-52.813,35.406,0.063
-23816,25766,-51.397,35.435,0.061
-23881,25831,-49.643,35.463,0.061
-23951,25901,-49.776,35.492,0.06
-24023,25973,-49.857,35.521,0.059
-24093,26043,-50.296,35.55,0.059
-24160,26110,-48.522,35.579,0.059
-24225,26175,-48.339,35.607,0.059
-24292,26242,-47.391,35.636,0.059
-24359,26309,-48.736,35.665,0.06
-24424,26374,-49.072,35.694,0.061
-24495,26445,-49.847,35.723,0.063
-24563,26513,-49.49,35.752,0.064
-24633,26583,-48.716,35.78,0.065
-24697,26647,-49.215,35.809,0.065
-24760,26710,-49.378,35.838,0.066
-24818,26768,-49.99,35.867,0.066
-24881,26831,-48.797,35.895,0.066
-24942,26892,-48.124,35.924,0.066
-25006,26956,-48.644,35.953,0.067
-25068,27018,-48.706,35.982,0.067
-25135,27085,-48.756,36.011,0.068
-25195,27145,-48.114,36.04,0.069
-25257,27207,-48.583,36.068,0.07
-25327,27277,-49.419,36.097,0.071
-25396,27346,-49.602,36.126,0.073
-25469,27419,-48.695,36.155,0.074
-25539,27489,-45.719,36.184,0.075
-25609,27559,-43.16,36.212,0.075
-25664,27614,-40.979,36.241,0.076
-25721,27671,-40.816,36.27,0.076
-25770,27720,-39.592,36.299,0.076
-25824,27774,-38.716,36.328,0.076
-25878,27828,-38.267,36.356,0.076
-25932,27882,-41.356,36.385,0.075
-25994,27944,-45.229,36.414,0.074
-26075,28025,-48.318,36.443,0.074
