year (AD),age (BP),d18O (permil),depth (missing),age (BP),d13C (permil),d18O (permil)
-35500,37450,-13.11,77.3,1883.401,-4.926,-11.689
-35550,37500,-13.07,77.5,1887.929,-4.77,-11.837
-35600,37550,-13,77.7,1892.457,-4.469,-11.631
-35650,37600,-12.94,77.9,1896.985,-3.897,-11.654
-35700,37650,-12.88,78.1,1901.513,-3.129,-11.781
-35750,37700,-12.82,78.3,1906.041,-3.332,-11.581
-35800,37750,-12.82,78.5,1910.568,-3.27,-11.44
-35850,37800,-12.86,78.7,1915.096,-3.423,-11.517
-35900,37850,-12.91,78.9,1919.624,-3.992,-11.546
-35950,37900,-12.95,79.1,1924.152,-4.533,-11.591
-36000,37950,-13,79.3,1928.68,-4.502,-11.829
-36050,38000,-13.05,79.5,1933.208,-3.59,-11.495
-36100,38050,-13.11,79.7,1937.736,-3.648,-11.482
-36150,38100,-13.17,79.9,1942.263,-4.725,-11.799
-36200,38150,-13.23,80.1,1946.791,-5.423,-12.129
-36250,38200,-13.29,80.3,1951.319,-5.452,-12.02
-36300,38250,-13.32,80.5,1955.847,-5.653,-12.151
-36350,38300,-13.22,80.7,1960.375,-5.883,-12.158
-36400,38350,-13.12,80.9,1964.903,-5.961,-12.363
-36450,38400,-13.03,81.1,1969.431,-5.733,-12.185
-36500,38450,-12.93,81.3,1973.958,-5.475,-12.206
-36550,38500,-12.83,81.5,1978.486,-5.296,-12.148
-36600,38550,-12.78,81.7,1983.014,-5.312,-11.848
-36650,38600,-12.73,81.9,1987.542,-4.634,-11.447
-36700,38650,-12.68,82.1,1992.07,-4.779,-11.533
-36750,38700,-12.63,82.3,1996.598,-4.688,-11.457
-36800,38750,-12.58,82.5,2001.125,-5.369,-11.674
-36850,38800,-12.68,82.7,2005.653,-5.199,-11.684
-36900,38850,-12.83,82.9,2010.181,-4.866,-11.696
-36950,38900,-12.98,83.1,2014.709,-4.798,-11.815
-37000,38950,-13.13,83.3,2019.237,-4.984,-11.919
-37050,39000,-13.28,83.5,2023.765,-5.033,-11.833
-37100,39050,-13.32,83.7,2028.293,-4.98,-11.868
-37150,39100,-13.26,83.9,2032.82,-4.524,-11.433
-37200,39150,-13.2,84.1,2037.585,-4.462,-11.57
-37250,39200,-13.14,84.3,2042.586,-4.389,-11.51
-37300,39250,-13.08,84.5,2047.587,-4.558,-11.589
-37350,39300,-13.06,84.7,2052.588,-4.462,-11.508
-37400,39350,-13.12,84.9,2057.589,-4.639,-11.677
-37450,39400,-13.18,85,2060.089,-4.573,-11.256
-37500,39450,-13.24,85.5,2072.592,-4.444,-11.122
-37550,39500,-13.3,86,2085.094,-3.708,-11.099
-37600,39550,-13.35,86.5,2097.597,-4.072,-11.31
-37650,39600,-13.28,87,2110.099,-5.152,-11.71
-37700,39650,-13.21,87.5,2122.601,-6.165,-12.259
-37750,39700,-13.13,88,2135.104,-5.978,-12.286
-37800,39750,-13.06,88.5,2147.606,-5.612,-12.158
-37850,39800,-12.99,89,2160.109,-5.139,-11.772
-37900,39850,-13.06,89.5,2172.611,-2.981,-11.144
-37950,39900,-13.14,90,2185.114,-4.472,-11.18
-38000,39950,-13.22,90.5,2197.616,-4.558,-11.199
-38050,40000,-13.3,91,2210.118,-4.747,-11.361
-38100,40050,-13.38,91.5,2222.621,-4.331,-11.553
-38150,40100,-13.39,92,2235.123,-5.188,-11.923
-38200,40150,-13.36,92.5,2247.626,-5.921,-12.22
-38250,40200,-13.34,93,2260.128,-6.146,-12.152
-38300,40250,-13.31,93.5,2272.631,-6.153,-12.131
-38350,40300,-13.29,94,2285.133,-6.035,-12.187
-38400,40350,-13.25,94.5,2297.635,-5.542,-12
-38450,40400,-13.22,95,2310.138,-3.144,-11.442
-38500,40450,-13.18,95.5,2322.64,-2.626,-11.119
-38550,40500,-13.14,96,2335.143,-2.1,-11.102
-38600,40550,-13.1,96.5,2347.645,-4.748,-11.998
-38650,40600,-13.06,97,2360.148,-5.11,-11.923
-38700,40650,-13,97.5,2372.65,-5.381,-11.973
-38750,40700,-12.94,98,2385.152,-5.238,-11.796
-38800,40750,-12.88,98.5,2397.655,-5.239,-12.05
-38850,40800,-12.82,99,2410.157,-4.819,-12.178
-38900,40850,-12.77,99.5,2422.66,-5.066,-12.169
-38950,40900,-12.9,100,2435.162,-4.962,-12.225
-39000,40950,-13.02,100.5,2447.665,-5.38,-12.243
-39050,41000,-13.15,101,2460.167,-5.825,-11.879
-39100,41050,-13.27,101.5,2472.67,-5.301,-12.042
-39150,41100,-13.4,102,2485.172,-2.886,-11.121
-39200,41150,-13.39,102.5,2497.674,-5.099,-11.546
-39250,41200,-13.35,103,2510.177,-6.631,-12.137
-39300,41250,-13.32,103.5,2522.679,-6.875,-12.16
-39350,41300,-13.29,104,2535.182,-6.729,-12.257
-39400,41350,-13.25,104.5,2547.684,-6.629,-12.236
-39450,41400,-13.22,105,2560.187,-5.445,-11.994
-39500,41450,-13.18,105.5,2572.689,-3.157,-11.412
-39550,41500,-13.15,106,2585.191,-4.799,-11.602
-39600,41550,-13.11,106.5,2605.192,-4.578,-11.548
-39650,41600,-13.08,107,2625.192,-4.972,-11.689
-39700,41650,-13.09,107.5,2645.192,-3.48,-11.15
-39750,41700,-13.16,108.5,2685.192,-3.56,-11.508
-39800,41750,-13.24,109,2705.193,-3.857,-11.713
-39850,41800,-13.31,109.5,2725.193,-5.445,-12.19
-39900,41850,-13.38,110,2745.193,-6.292,-12.086
-39950,41900,-13.44,110.5,2765.193,-6.404,-12.238
-40000,41950,-13.44,111,2785.193,-5.543,-12.066
-40050,42000,-13.45,111.5,2805.194,-4.093,-11.449
-40100,42050,-13.45,112,2825.194,-4.882,-11.615
-40150,42100,-13.46,112.5,2845.194,-4.593,-11.49
-40200,42150,-13.46,113,2865.194,-3.249,-11.378
-40250,42200,-13.41,113.5,2885.194,-5.029,-11.867
-40300,42250,-13.36,114,2905.195,-3.295,-11.105
-40350,42300,-13.31,114.5,2925.195,-4.163,-11.558
-40400,42350,-13.26,115,2945.195,-2.976,-11.286
-40450,42400,-13.21,115.5,2965.195,-1.76,-10.908
-40500,42450,-13.55,116,2985.195,-2.194,-10.837
-40550,42500,-13.78,116.5,3005.195,-2.318,-10.861
-40600,42550,-13.45,117,3025.196,-3.872,-11.37
-40650,42600,-13.14,117.5,3045.196,-4.166,-11.374
-40700,42650,-13.19,118,3065.196,-2.955,-11.15
-40750,42700,-13.13,118.5,3085.196,-3.069,-10.831
-40800,42750,-12.91,119,3105.196,-3.836,-11.277
-40850,42800,-13.42,119.5,3125.197,-4.059,-11.262
-40900,42850,-13.56,120,3145.197,-4.462,-11.426
-40950,42900,-13.58,120.5,3165.197,-5.124,-11.621
-41000,42950,-13.27,121,3185.197,-4.748,-11.44
-41050,43000,-13.2,121.5,3205.197,-4.966,-10.851
-41100,43050,-13.2,122,3225.198,-3.681,-11.236
-41150,43100,-13.39,122.5,3245.198,-2.711,-10.754
-41200,43150,-13.62,123,3265.198,-4.656,-11.037
-41250,43200,-13.52,123.5,3285.198,-4.543,-10.989
-41300,43250,-13.41,124,3305.198,-4.099,-11.281
-41350,43300,-13.44,124.5,3325.199,-3.865,-11.392
-41400,43350,-13.55,125,3345.199,-5.537,-11.869
-41450,43400,-13.73,125.5,3365.199,-4.842,-11.826
-41500,43450,-13.74,126,3385.199,-3.132,-11.377
-41550,43500,-13.91,126.5,3405.199,-2.319,-11.056
-41600,43550,-14.05,127,3425.2,-1.608,-10.889
-41650,43600,-14.04,127.5,3445.2,-3.932,-11.066
-41700,43650,-13.94,128,3465.2,-4.707,-11.38
-41750,43700,-13.77,128.5,3485.2,-5.573,-11.861
-41800,43750,-13.62,129,3505.2,-5.455,-11.716
-41850,43800,-13.94,129.5,3525.2,-5.683,-11.94
-41900,43850,-13.48,130,3545.201,-5.664,-11.825
-41950,43900,-13.34,130.5,3565.201,-5.515,-11.914
-42000,43950,-13.22,131,3585.201,-4.224,-11.491
-42050,44000,-13.1,131.5,3605.201,-4.932,-11.835
-42100,44050,-13.29,132,3625.201,-4.375,-11.435
-42150,44100,-13.49,132.5,3645.202,-3.495,-11.476
-42200,44150,-13.69,133,3665.202,-2.885,-11.177
-42250,44200,-13.61,133.5,3685.202,-2.678,-11.116
-42300,44250,-13.53,134,3705.202,-3.72,-11.091
-42350,44300,-13.46,134.5,3744.668,-5.339,-12.161
-42400,44350,-13.67,135,3784.134,-5.566,-11.985
-42450,44400,-13.89,135.5,3823.6,-5.702,-12.024
-42500,44450,-14.08,136,3863.067,-3.099,-11.406
-42550,44500,-13.99,136.5,3902.533,-4.329,-11.072
-42600,44550,-13.91,137,3941.999,-3.837,-11.133
-42650,44600,-13.83,137.5,3981.465,-3.916,-11.226
-42700,44650,-13.91,138,4020.931,-2.603,-10.9
-42750,44700,-13.99,138.5,4060.397,-3.063,-10.97
-42800,44750,-14.05,139,4099.863,-2.126,-10.565
-42850,44800,-13.91,139.5,4139.329,-2.981,-10.775
-42900,44850,-13.76,140,4178.795,-3.562,-11.124
-42950,44900,-13.63,140.5,4218.261,-3.318,-10.905
-43000,44950,-13.57,141,4257.727,-2.776,-10.691
-43050,45000,-13.51,141.5,4297.194,-2.168,-10.754
-43100,45050,-13.47,142,4336.66,-2.695,-11.04
-43150,45100,-13.48,142.5,4376.126,-2.42,-10.623
-43200,45150,-13.49,143,4415.592,-2.013,-10.982
-43250,45200,-13.51,143.5,4455.058,-1.91,-10.711
-43300,45250,-13.57,144,4494.524,-2.399,-11.073
-43350,45300,-13.63,144.5,4533.99,-2.013,-10.921
-43400,45350,-13.68,145,4573.456,-2.254,-10.716
-43450,45400,-13.68,145.5,4612.922,-3.038,-10.932
-43500,45450,-13.68,146,4652.388,-3.023,-10.835
-43550,45500,-13.67,146.5,4691.854,-3.224,-11.171
-43600,45550,-13.66,147,4731.32,-3.298,-11.194
-43650,45600,-13.66,147.5,4770.787,-2.725,-10.579
-43700,45650,-13.63,148,4810.253,-2.956,-10.412
-43750,45700,-13.57,148.5,4849.719,-2.751,-10.479
-43800,45750,-13.51,149,4889.185,-3.268,-10.674
-43850,45800,-13.44,149.5,4928.651,-3.06,-10.738
-43900,45850,-13.35,150,4968.117,-2.357,-10.757
-43950,45900,-13.25,150.5,5007.583,-3.135,-11.073
-44000,45950,-13.19,151,5047.049,-3.114,-11.283
-44050,46000,-13.22,151.5,5086.515,-2.809,-11.008
-44100,46050,-13.24,152,5125.981,-2.616,-10.719
-44150,46100,-13.26,152.5,5165.447,-2.897,-10.82
-44200,46150,-13.29,153,5204.914,-3.959,-10.768
-44250,46200,-13.24,153.5,5244.38,-4.296,-11.059
-44300,46250,-13.19,154,5283.846,-3.389,-10.379
-44350,46300,-13.15,154.25,5303.579,-3.183,-10.45
-44400,46350,-13.1,154.5,5323.312,-3.389,-10.331
-44450,46400,-13.09,154.75,5343.045,-3.368,-10.367
-44500,46450,-13.11,155,5362.778,-2.833,-10.255
-44550,46500,-13.12,155.25,5433.494,-2.985,-10.751
-44600,46550,-13.14,155.5,5504.209,-2.847,-10.541
-44650,46600,-13.15,155.75,5574.925,-2.56,-10.674
-44700,46650,-13.17,156,5645.641,-2.363,-10.495
-44750,46700,-13.18,156.25,5716.356,-1.985,-10.347
-44800,46750,-13.19,156.5,5787.072,-1.806,-10.39
-44850,46800,-13.2,156.75,5857.788,-1.973,-10.513
-44900,46850,-13.16,157,5928.504,-2.389,-10.575
-44950,46900,-13.12,157.25,5999.219,-1.818,-10.13
-45000,46950,-13.08,157.5,6069.935,-1.593,-9.872
-45050,47000,-13.04,157.75,6140.651,-1.503,-10.035
-45100,47050,-12.98,158,6211.366,-1.804,-9.903
-45150,47100,-12.91,158.25,6282.082,-1.947,-10.139
-45200,47150,-12.84,158.5,6352.798,-2.286,-10.378
-45250,47200,-12.77,158.75,6423.514,-2.86,-10.727
-45300,47250,-12.72,159,6494.229,-1.939,-10.134
-45350,47300,-12.71,159.25,6564.945,-1.808,-10.034
-45400,47350,-12.7,159.5,6635.661,-2.329,-10.238
-45450,47400,-12.7,159.75,6706.376,-2.385,-10.738
-45500,47450,-12.69,160,6777.092,-3.552,-11.212
-45550,47500,-12.68,160.25,6847.808,-3.034,-11.067
-45600,47550,-12.66,160.5,6918.523,-2.874,-10.85
-45650,47600,-12.64,160.75,6989.239,-3.023,-11.136
-45700,47650,-12.62,161,7059.955,-3.851,-11.478
-45750,47700,-12.63,161.25,7130.671,-3.193,-11.064
-45800,47750,-12.68,161.5,7201.386,-2.912,-11.004
-45850,47800,-12.73,161.75,7272.102,-2.68,-10.576
-45900,47850,-12.78,162,7342.818,-2.539,-10.569
-45950,47900,-12.81,162.25,7413.533,-2.422,-10.719
-46000,47950,-12.8,162.5,7484.249,-2.925,-10.73
-46050,48000,-12.78,162.75,7554.965,-3.004,-10.907
-46100,48050,-12.76,163,7625.681,-2.993,-10.604
-46150,48100,-12.75,163.25,7696.396,-2.383,-10.277
-46200,48150,-12.75,163.5,7767.112,-1.675,-10.003
-46250,48200,-12.75,163.75,7837.828,-1.616,-9.617
-46300,48250,-12.76,164,7908.543,-1.632,-9.579
-46350,48300,-12.76,164.25,7979.259,-1.625,-9.463
-46400,48350,-12.79,164.5,8049.975,-2.158,-9.594
-46450,48400,-12.85,164.75,8120.69,-2.134,-10.021
-46500,48450,-12.91,165,8191.406,-1.863,-9.73
-46550,48500,-12.96,165.25,8262.122,-1.68,-9.528
-46600,48550,-13.02,165.5,8332.838,-1.405,-9.125
-46650,48600,-13.13,165.75,8403.553,-1.612,-9.707
-46700,48650,-13.24,166,8474.269,-1.838,-9.69
-46750,48700,-13.35,166.25,8524.575,-1.525,-9.558
-46800,48750,-13.45,166.5,8574.881,-1.604,-9.419
-46850,48800,-13.49,166.75,8625.186,-1.698,-9.626
-46900,48850,-13.5,167,8675.492,-1.51,-9.581
-46950,48900,-13.52,167.25,8725.798,-1.597,-9.469
-47000,48950,-13.53,167.5,8776.104,-1.514,-9.503
-47050,49000,-13.56,167.75,8826.409,-1.851,-9.754
-47100,49050,-13.6,168,8876.715,-2.6,-9.748
-47150,49100,-13.64,168.25,8927.021,-2.7,-10.169
-47200,49150,-13.68,168.5,8977.327,-2.754,-10.091
-47250,49200,-13.71,168.75,9027.632,-2.658,-9.891
-47300,49250,-13.66,169,9077.938,-2.251,-9.833
-47350,49300,-13.61,169.25,9128.244,-2.12,-9.887
-47400,49350,-13.56,169.5,9178.55,-1.713,-10.065
-47450,49400,-13.52,169.75,9228.855,-1.706,-10.053
-47500,49450,-13.51,170,9279.161,-1.934,-10.033
-47550,49500,-13.53,170.25,9329.467,-2.372,-10.076
-47600,49550,-13.54,170.5,9379.773,-2.718,-10.106
-47650,49600,-13.55,170.75,9430.078,-2.767,-10.172
-47700,49650,-13.5,171,9480.384,-2.879,-10.277
-47750,49700,-13.36,171.25,9530.69,-2.695,-9.933
-47800,49750,-13.22,171.5,9580.996,-2.559,-10.441
-47850,49800,-13.09,171.75,9631.301,-3.039,-10.627
-47900,49850,-12.97,171.85,9651.424,-3.533,-10.438
-47950,49900,-13.02,171.95,9671.546,-2.996,-10.589
-48000,49950,-13.08,172.05,9691.668,-2.856,-10.415
-48050,50000,-13.14,172.15,9711.791,-2.72,-10.167
-48100,50050,-13.2,172.25,9731.913,-2.596,-10.36
-48150,50100,-13.21,172.35,9752.035,-2.82,-10.515
-48200,50150,-13.21,172.45,9772.158,-2.935,-10.46
-48250,50200,-13.22,172.55,9792.28,-2.694,-10.65
-48300,50250,-13.22,172.65,9812.402,-2.562,-10.397
-48350,50300,-13.22,172.75,9832.525,-2.848,-10.634
-48400,50350,-13.23,172.85,9852.647,-3.069,-10.764
-48450,50400,-13.24,172.95,9872.769,-3.055,-10.746
-48500,50450,-13.24,173.05,9892.891,-3.14,-10.695
-48550,50500,-13.24,173.15,9913.014,-3.125,-11.006
-48600,50550,-13.17,173.25,9933.136,-2.936,-10.985
-48650,50600,-13.09,173.35,9953.258,-3.311,-11.025
-48700,50650,-13.01,173.45,9973.381,-3.632,-11.235
-48750,50700,-12.93,173.55,9993.503,-3.538,-11.062
-48800,50750,-12.93,173.65,10013.625,-3.246,-11.086
-48850,50800,-12.96,173.75,10033.748,-3.535,-10.955
-48900,50850,-12.99,173.85,10053.87,-4.344,-10.928
-48950,50900,-13.03,173.95,10073.992,-3.797,-10.681
-49000,50950,-13.03,174.05,10094.114,-3.433,-10.697
-49050,51000,-12.96,174.15,10114.237,-3.112,-10.974
-49100,51050,-12.89,174.25,10134.359,-2.93,-11.014
-49150,51100,-12.82,174.35,10154.481,-2.547,-11.12
-49200,51150,-12.76,174.45,10174.604,-2.612,-10.821
-49250,51200,-12.85,174.55,10194.726,-3.148,-10.99
-49300,51250,-12.94,174.65,10214.848,-3.491,-10.912
-49350,51300,-13.03,174.75,10234.971,-3.594,-10.898
-49400,51350,-13.12,174.85,10255.093,-3.58,-10.942
-49450,51400,-13.1,174.95,10275.215,-3.713,-11.008
-49500,51450,-13.03,175.05,10295.337,-3.622,-10.925
-49550,51500,-12.96,175.15,10315.46,-3.771,-10.934
-49600,51550,-12.88,175.25,10335.582,-3.856,-10.826
-49650,51600,-12.84,175.35,10355.704,-3.453,-10.653
-49700,51650,-12.87,175.45,10375.827,-3.241,-10.658
-49750,51700,-12.89,175.55,10395.949,-2.959,-10.554
-49800,51750,-12.92,175.65,10416.071,-3.074,-10.551
-49850,51800,-12.95,175.75,10436.194,-3.288,-10.58
-49900,51850,-12.87,175.85,10456.316,-2.749,-10.674
-49950,51900,-12.78,175.95,10476.438,-2.896,-10.377
-50000,51950,-12.69,176.05,10496.561,-2.765,-10.715
-50050,52000,-12.61,176.15,10516.683,-2.583,-10.573
-50100,52050,-12.58,176.25,10536.805,-2.548,-10.494
-50150,52100,-12.59,176.35,10556.927,-2.6,-10.142
-50200,52150,-12.6,176.45,10577.05,-2.831,-10.297
-50250,52200,-12.61,176.55,10597.172,-2.717,-10.566
-50300,52250,-12.58,176.65,10617.294,-2.974,-10.757
-50350,52300,-12.47,176.75,10637.417,-3.105,-10.681
-50400,52350,-12.35,176.85,10657.539,-3.109,-10.566
-50450,52400,-12.24,176.95,10677.661,-3.323,-10.499
-50500,52450,-12.13,177.05,10697.784,-3.586,-10.683
-50550,52500,-12.12,177.15,10717.906,-3.548,-11.148
-50600,52550,-12.12,177.25,10738.028,-3.318,-10.974
-50650,52600,-12.13,177.35,10758.15,-3.257,-10.744
-50700,52650,-12.13,177.45,10778.273,-3.449,-10.986
-50750,52700,-12.18,177.55,10798.395,-3.208,-11.265
-50800,52750,-12.25,177.65,10818.517,-3.344,-10.923
-50850,52800,-12.32,177.75,10838.64,-3.336,-10.875
-50900,52850,-12.17,177.85,10858.762,-3.535,-11.223
-50950,52900,-12.02,177.95,10878.884,-3.076,-11.145
-51000,52950,-11.86,178.05,10899.007,-2.967,-11.275
-51050,53000,-11.96,178.15,10919.129,-3.145,-11.276
-51100,53050,-12.3,178.25,10939.251,-3.424,-11.523
-51150,53100,-12.64,178.35,10959.374,-3.726,-11.312
-51200,53150,-12.78,178.45,10979.496,-4.174,-11.415
-51250,53200,-12.9,178.55,10999.618,-4.466,-11.236
-51300,53250,-13.01,178.65,11019.74,-4.651,-11.274
-51350,53300,-13.13,178.75,11039.863,-4.341,-11.096
-51400,53350,-13.13,178.85,11059.985,-3.943,-11.416
-51450,53400,-13.04,178.95,11080.107,-4.044,-11
-51500,53450,-12.95,179.05,11100.23,-3.849,-11.069
-51550,53500,-12.86,179.15,11120.352,-3.355,-11.342
-51600,53550,-12.79,179.25,11140.474,-3.034,-11.326
-51650,53600,-12.77,179.35,11160.597,-2.768,-11.256
-51700,53650,-12.75,179.45,11180.719,-2.796,-11.329
-51750,53700,-12.73,179.55,11200.841,-2.629,-11.219
-51800,53750,-12.7,179.65,11220.963,-2.388,-11.324
-51850,53800,-12.75,179.75,11241.086,-2.134,-11.062
-51900,53850,-12.8,179.85,11261.208,-2.16,-11.241
-51950,53900,-12.84,179.95,11281.33,-2.302,-11.331
-52000,53950,-12.8,180.05,11301.453,-2.38,-11.327
-52050,54000,-12.76,180.15,11321.575,-2.563,-11.515
-52100,54050,-12.73,180.25,11341.697,-2.725,-11.474
-52150,54100,-12.69,180.35,11361.82,-2.737,-11.296
-52200,54150,-12.66,180.45,11381.942,-2.893,-11.296
-52250,54200,-12.67,180.55,11402.064,-3.206,-11.279
-52300,54250,-12.7,180.65,11422.186,-3.208,-11.377
-52350,54300,-12.73,180.75,11442.309,-2.642,-11.325
-52400,54350,-12.79,180.85,11462.431,-2.421,-10.921
-52450,54400,-12.85,180.95,11482.553,-2.61,-10.852
-52500,54450,-12.9,181.05,11516.822,-2.397,-10.977
-52550,54500,-12.96,181.15,11565.237,-1.989,-11.061
-52600,54550,-13.02,181.25,11613.651,-2.133,-11.143
-52650,54600,-12.85,181.35,11662.066,-2.265,-11.317
-52700,54650,-12.67,181.45,11710.48,-2.025,-11.629
-52750,54700,-12.53,181.55,11758.895,-1.947,-11.772
-52800,54750,-12.45,181.65,11807.31,-2.09,-11.981
-52850,54800,-12.36,181.75,11855.724,-2.278,-12.214
-52900,54850,-12.38,181.85,11904.139,-2.412,-12.339
-52950,54900,-12.45,181.95,11952.554,-2.168,-12.27
-53000,54950,-12.52,182.05,12000.968,-2.176,-12.214
-53050,55000,-12.74,182.15,12049.383,-2.106,-12.134
-53100,55050,-12.96,182.25,12097.798,-2.274,-12.226
-53150,55100,-13.18,182.35,12146.212,-1.836,-12.196
-53200,55150,-13.39,182.45,12194.627,-1.832,-11.889
-53250,55200,-13.61,182.55,12243.042,-2.02,-12.254
-53300,55250,-13.44,182.65,12291.456,-1.898,-12.317
-53350,55300,-13.15,182.75,12339.871,-1.833,-12.26
-53400,55350,-12.88,182.85,12388.285,-1.93,-12.28
-53450,55400,-12.95,182.95,12436.7,-1.891,-12.353
-53500,55450,-13.02,183.05,12485.115,-1.944,-12.34
-53550,55500,-13.04,183.15,12533.529,-1.9,-12.367
-53600,55550,-12.99,183.25,12581.944,-1.967,-12.089
-53650,55600,-12.95,183.35,12630.359,-2.115,-12.266
-53700,55650,-13.01,183.45,12678.773,-2.003,-11.905
-53750,55700,-13.1,183.55,12727.188,-1.99,-11.917
-53800,55750,-13.13,183.65,12775.603,-1.869,-12.078
-53850,55800,-12.84,183.75,12824.017,-2.036,-12.138
-53900,55850,-12.55,183.85,12872.432,-1.859,-12.076
-53950,55900,-12.44,183.95,12920.847,-1.758,-12.277
-54000,55950,-12.5,184.05,12969.261,-1.662,-12.206
-54050,56000,-12.57,184.15,13017.676,-1.561,-12.203
-54100,56050,-12.6,184.25,13066.091,-1.071,-12.015
-54150,56100,-12.62,184.35,13114.505,-1.106,-11.792
-54200,56150,-12.65,184.45,13162.92,-1.449,-11.754
-54250,56200,-12.69,184.55,13211.334,-1.292,-11.512
-54300,56250,-12.74,184.65,13259.749,-1.329,-11.464
-54350,56300,-12.78,184.75,13308.164,-1.724,-11.478
-54400,56350,-12.83,NA,NA,NA,NA
-54450,56400,-12.87,NA,NA,NA,NA
-54500,56450,-12.97,NA,NA,NA,NA
-54550,56500,-13.06,NA,NA,NA,NA
-54600,56550,-13.07,NA,NA,NA,NA
-54650,56600,-12.82,NA,NA,NA,NA
-54700,56650,-12.57,NA,NA,NA,NA
-54750,56700,-12.54,NA,NA,NA,NA
-54800,56750,-12.63,NA,NA,NA,NA
-54850,56800,-12.71,NA,NA,NA,NA
-54900,56850,-12.82,NA,NA,NA,NA
-54950,56900,-12.92,NA,NA,NA,NA
-55000,56950,-13.06,NA,NA,NA,NA
-55050,57000,-13.25,NA,NA,NA,NA
-55100,57050,-13.44,NA,NA,NA,NA
-55150,57100,-13.53,NA,NA,NA,NA
-55200,57150,-13.56,NA,NA,NA,NA
-55250,57200,-13.6,NA,NA,NA,NA
-55300,57250,-13.61,NA,NA,NA,NA
-55350,57300,-13.62,NA,NA,NA,NA
-55400,57350,-13.65,NA,NA,NA,NA
-55450,57400,-13.71,NA,NA,NA,NA
-55500,57450,-13.77,NA,NA,NA,NA
-55550,57500,-13.77,NA,NA,NA,NA
-55600,57550,-13.75,NA,NA,NA,NA
-55650,57600,-13.73,NA,NA,NA,NA
-55700,57650,-13.65,NA,NA,NA,NA
-55750,57700,-13.57,NA,NA,NA,NA
-55800,57750,-13.53,NA,NA,NA,NA
-55850,57800,-13.56,NA,NA,NA,NA
-55900,57850,-13.58,NA,NA,NA,NA
-55950,57900,-13.44,NA,NA,NA,NA
-56000,57950,-13.26,NA,NA,NA,NA
-56050,58000,-13.1,NA,NA,NA,NA
-56100,58050,-13.03,NA,NA,NA,NA
-56150,58100,-12.96,NA,NA,NA,NA
-56200,58150,-12.96,NA,NA,NA,NA
-56250,58200,-13.04,NA,NA,NA,NA
-56300,58250,-13.11,NA,NA,NA,NA
-56350,58300,-13.27,NA,NA,NA,NA
-56400,58350,-13.2,NA,NA,NA,NA
-56450,58400,-12.92,NA,NA,NA,NA
-56500,58450,-12.51,NA,NA,NA,NA
-56550,58500,-12.73,NA,NA,NA,NA
-56600,58550,-12.57,NA,NA,NA,NA
-56650,58600,-12.9,NA,NA,NA,NA
-56700,58650,-13.65,NA,NA,NA,NA
-56750,58700,-13.64,NA,NA,NA,NA
-56800,58750,-13.63,NA,NA,NA,NA
-56850,58800,-13.77,NA,NA,NA,NA
-56900,58850,-12.93,NA,NA,NA,NA
-56950,58900,-13.13,NA,NA,NA,NA
-57000,58950,-12.94,NA,NA,NA,NA
-57050,59000,-13.09,NA,NA,NA,NA
-57100,59050,-12.78,NA,NA,NA,NA
-57150,59100,-12.76,NA,NA,NA,NA
-57200,59150,-12.53,NA,NA,NA,NA
-57250,59200,-12.67,NA,NA,NA,NA
-57300,59250,-12.75,NA,NA,NA,NA
-57350,59300,-12.73,NA,NA,NA,NA
-57400,59350,-12.74,NA,NA,NA,NA
-57450,59400,-12.89,NA,NA,NA,NA
-57500,59450,-12.52,NA,NA,NA,NA
-57550,59500,-12.42,NA,NA,NA,NA
-57600,59550,-12.93,NA,NA,NA,NA
-57650,59600,-12.83,NA,NA,NA,NA
-57700,59650,-12.53,NA,NA,NA,NA
-57750,59700,-12.84,NA,NA,NA,NA
-57800,59750,-12.88,NA,NA,NA,NA
-57850,59800,-13.41,NA,NA,NA,NA
-57900,59850,-13.17,NA,NA,NA,NA
-57950,59900,-12.94,NA,NA,NA,NA
-58000,59950,-12.36,NA,NA,NA,NA
-58050,60000,-12.44,NA,NA,NA,NA
-58100,60050,-12.08,NA,NA,NA,NA
-58150,60100,-12.29,NA,NA,NA,NA
-58200,60150,-12.01,NA,NA,NA,NA
-62950,64900,NA,NA,NA,NA,NA
-67700,69650,-12.69,NA,NA,NA,NA
-67750,69700,-12.71,NA,NA,NA,NA
-67800,69750,-12.72,NA,NA,NA,NA
-67850,69800,-12.74,NA,NA,NA,NA
-67900,69850,-12.75,NA,NA,NA,NA
-67950,69900,-12.76,NA,NA,NA,NA
-68000,69950,-12.78,NA,NA,NA,NA
-68050,70000,-12.79,NA,NA,NA,NA
-68100,70050,-12.81,NA,NA,NA,NA
-68150,70100,-12.82,NA,NA,NA,NA
-68200,70150,-12.82,NA,NA,NA,NA
-68250,70200,-12.81,NA,NA,NA,NA
-68300,70250,-12.81,NA,NA,NA,NA
-68350,70300,-12.81,NA,NA,NA,NA
-68400,70350,-12.81,NA,NA,NA,NA
-68450,70400,-12.81,NA,NA,NA,NA
-68500,70450,-12.81,NA,NA,NA,NA
-68550,70500,-12.81,NA,NA,NA,NA
-68600,70550,-12.8,NA,NA,NA,NA
-68650,70600,-12.81,NA,NA,NA,NA
-68700,70650,-12.81,NA,NA,NA,NA
-68750,70700,-12.81,NA,NA,NA,NA
