year (AD),age (BP),Ti (cps)
-3793.2,5743.2,0.29
-3798.6,5748.6,0.287
-3804,5754,0.3
-3809.5,5759.5,0.31
-3814.9,5764.9,0.32
-3820.3,5770.3,0.307
-3825.7,5775.7,0.31
-3831.1,5781.1,0.293
-3836.5,5786.5,0.303
-3842,5792,0.29
-3847.4,5797.4,0.293
-3852.8,5802.8,0.297
-3858.2,5808.2,0.323
-3863.6,5813.6,0.343
-3869.1,5819.1,0.35
-3874.5,5824.5,0.333
-3879.9,5829.9,0.333
-3885.3,5835.3,0.327
-3890.7,5840.7,0.347
-3896.2,5846.2,0.333
-3901.6,5851.6,0.327
-3907,5857,0.33
-3912.4,5862.4,0.323
-3917.8,5867.8,0.33
-3923.3,5873.3,0.313
-3928.7,5878.7,0.333
-3934.1,5884.1,0.31
-3939.5,5889.5,0.297
-3944.9,5894.9,0.28
-3950.4,5900.4,0.287
-3955.8,5905.8,0.293
-3961.2,5911.2,0.293
-3966.6,5916.6,0.303
-3972,5922,0.303
-3977.5,5927.5,0.31
-3982.9,5932.9,0.307
-3988.3,5938.3,0.297
-3993.7,5943.7,0.3
-3999.1,5949.1,0.32
-4004.5,5954.5,0.34
-4010,5960,0.343
-4015.4,5965.4,0.32
-4020.8,5970.8,0.31
-4026.2,5976.2,0.3
-4031.6,5981.6,0.317
-4037.1,5987.1,0.31
-4042.5,5992.5,0.313
-4047.9,5997.9,0.307
-4053.3,6003.3,0.333
-4058.7,6008.7,0.32
-4064.2,6014.2,0.313
-4069.6,6019.6,0.293
-4075,6025,0.283
-4080.4,6030.4,0.28
-4085.8,6035.8,0.28
-4091.3,6041.3,0.3
-4096.7,6046.7,0.303
-4102.1,6052.1,0.293
-4107.5,6057.5,0.293
-4112.9,6062.9,0.293
-4118.4,6068.4,0.317
-4123.8,6073.8,0.313
-4129.2,6079.2,0.313
-4134.6,6084.6,0.31
-4140,6090,0.31
-4145.5,6095.5,0.313
-4150.9,6100.9,0.303
-4156.3,6106.3,0.297
-4161.7,6111.7,0.287
-4167.1,6117.1,0.287
-4172.5,6122.5,0.29
-4178,6128,0.31
-4183.4,6133.4,0.3
-4188.8,6138.8,0.297
-4194.2,6144.2,0.277
-4199.6,6149.6,0.283
-4205.1,6155.1,0.293
-4210.5,6160.5,0.297
-4215.9,6165.9,0.31
-4221.3,6171.3,0.31
-4226.7,6176.7,0.317
-4232.2,6182.2,0.31
-4237.6,6187.6,0.33
-4243,6193,0.33
-4248.4,6198.4,0.34
-4253.8,6203.8,0.323
-4259.3,6209.3,0.313
-4264.7,6214.7,0.297
-4270.1,6220.1,0.297
-4275.5,6225.5,0.313
-4280.9,6230.9,0.303
-4286.4,6236.4,0.3
-4291.8,6241.8,0.29
-4297.2,6247.2,0.303
-4302.6,6252.6,0.307
-4308,6258,0.3
-4313.5,6263.5,0.297
-4318.9,6268.9,0.287
-4324.3,6274.3,0.283
-4329.7,6279.7,0.29
-4335.1,6285.1,0.29
-4340.5,6290.5,0.29
-4346,6296,0.277
-4351.4,6301.4,0.28
-4356.8,6306.8,0.283
-4362.2,6312.2,0.3
-4367.6,6317.6,0.297
-4373.1,6323.1,0.297
-4378.5,6328.5,0.277
-4383.9,6333.9,0.293
-4389.3,6339.3,0.29
-4394.7,6344.7,0.3
-4400.2,6350.2,0.283
-4405.6,6355.6,0.297
-4411,6361,0.3
-4416.4,6366.4,0.303
-4421.8,6371.8,0.303
-4427.3,6377.3,0.313
-4432.7,6382.7,0.297
-4438.1,6388.1,0.3
-4443.5,6393.5,0.287
-4448.9,6398.9,0.297
-4454.4,6404.4,0.29
-4459.8,6409.8,0.287
-4465.2,6415.2,0.317
-4470.6,6420.6,0.32
-4476,6426,0.333
-4481.5,6431.5,0.313
-4486.9,6436.9,0.313
-4492.3,6442.3,0.313
-4497.7,6447.7,0.307
-4503.1,6453.1,0.3
-4508.5,6458.5,0.297
-4514,6464,0.3
-4519.4,6469.4,0.297
-4524.8,6474.8,0.3
-4530.2,6480.2,0.29
-4535.6,6485.6,0.307
-4541.1,6491.1,0.317
-4546.5,6496.5,0.343
-4551.9,6501.9,0.347
-4557.3,6507.3,0.343
-4562.7,6512.7,0.343
-4568.2,6518.2,0.337
-4573.6,6523.6,0.353
-4579,6529,0.35
-4584.4,6534.4,0.36
-4589.8,6539.8,0.35
-4595.3,6545.3,0.34
-4600.7,6550.7,0.337
-4606.1,6556.1,0.323
-4611.5,6561.5,0.327
-4616.9,6566.9,0.317
-4622.4,6572.4,0.317
-4627.8,6577.8,0.32
-4633.2,6583.2,0.32
-4638.6,6588.6,0.323
-4644,6594,0.337
-4649.5,6599.5,0.33
-4654.9,6604.9,0.337
-4660.3,6610.3,0.313
-4665.7,6615.7,0.32
-4671.1,6621.1,0.307
-4676.5,6626.5,0.317
-4682,6632,0.33
-4687.4,6637.4,0.34
-4692.8,6642.8,0.347
-4698.2,6648.2,0.34
-4703.6,6653.6,0.343
-4709.1,6659.1,0.333
-4714.5,6664.5,0.333
-4719.9,6669.9,0.33
-4725.3,6675.3,0.333
-4730.7,6680.7,0.33
-4736.2,6686.2,0.327
-4741.6,6691.6,0.33
-4747,6697,0.33
-4752.7,6702.7,0.327
-4758.4,6708.4,0.323
-4764.2,6714.2,0.323
-4769.9,6719.9,0.32
-4775.6,6725.6,0.307
-4781.3,6731.3,0.303
-4787.1,6737.1,0.303
-4792.8,6742.8,0.313
-4798.5,6748.5,0.327
-4804.2,6754.2,0.327
-4809.9,6759.9,0.337
-4815.7,6765.7,0.323
-4821.4,6771.4,0.323
-4827.1,6777.1,0.317
-4832.8,6782.8,0.33
-4838.6,6788.6,0.33
-4844.3,6794.3,0.333
-4850,6800,0.333
-4855.7,6805.7,0.35
-4861.4,6811.4,0.343
-4867.2,6817.2,0.343
-4872.9,6822.9,0.32
-4878.6,6828.6,0.323
-4884.3,6834.3,0.31
-4890.1,6840.1,0.327
-4895.8,6845.8,0.333
-4901.5,6851.5,0.34
-4907.2,6857.2,0.34
-4913,6863,0.327
-4918.7,6868.7,0.317
-4924.4,6874.4,0.313
-4930.1,6880.1,0.317
-4935.8,6885.8,0.327
-4941.6,6891.6,0.323
-4947.3,6897.3,0.33
-4953,6903,0.327
-4958.7,6908.7,0.32
-4964.5,6914.5,0.313
-4970.2,6920.2,0.3
-4975.9,6925.9,0.303
-4981.6,6931.6,0.297
-4987.3,6937.3,0.307
-4993.1,6943.1,0.31
-4998.8,6948.8,0.32
-5004.5,6954.5,0.313
-5010.2,6960.2,0.31
-5016,6966,0.307
-5021.7,6971.7,0.313
-5027.4,6977.4,0.313
-5033.1,6983.1,0.337
-5038.8,6988.8,0.337
-5044.6,6994.6,0.36
-5050.3,7000.3,0.35
-5056,7006,0.357
-5061.7,7011.7,0.343
-5067.5,7017.5,0.34
-5073.2,7023.2,0.35
-5078.9,7028.9,0.36
-5084.6,7034.6,0.353
-5090.3,7040.3,0.363
-5096.1,7046.1,0.363
-5101.8,7051.8,0.363
-5107.5,7057.5,0.343
-5113.2,7063.2,0.33
-5119,7069,0.323
-5124.7,7074.7,0.323
-5130.4,7080.4,0.323
-5136.1,7086.1,0.337
-5141.8,7091.8,0.347
-5147.6,7097.6,0.357
-5153.3,7103.3,0.353
-5159,7109,0.35
-5164.7,7114.7,0.35
-5170.5,7120.5,0.353
-5176.2,7126.2,0.35
-5181.9,7131.9,0.34
-5187.6,7137.6,0.343
-5193.4,7143.4,0.343
-5199.1,7149.1,0.34
-5204.8,7154.8,0.33
-5210.5,7160.5,0.35
-5216.2,7166.2,0.353
-5222,7172,0.367
-5227.7,7177.7,0.367
-5233.4,7183.4,0.367
-5239.1,7189.1,0.36
-5244.9,7194.9,0.343
-5250.6,7200.6,0.343
-5256.3,7206.3,0.34
-5262,7212,0.323
-5267.7,7217.7,0.33
-5273.5,7223.5,0.32
-5279.2,7229.2,0.347
-5284.9,7234.9,0.34
-5290.6,7240.6,0.343
-5296.4,7246.4,0.317
-5302.1,7252.1,0.32
-5307.8,7257.8,0.33
-5313.5,7263.5,0.333
-5319.2,7269.2,0.333
-5325,7275,0.337
-5330.7,7280.7,0.343
-5336.4,7286.4,0.323
-5342.1,7292.1,0.31
-5347.9,7297.9,0.34
-5353.6,7303.6,0.36
-5359.3,7309.3,0.363
-5365,7315,0.333
-5370.7,7320.7,0.33
-5376.5,7326.5,0.333
-5382.2,7332.2,0.333
-5387.9,7337.9,0.337
-5393.6,7343.6,0.337
-5399.4,7349.4,0.357
-5405.1,7355.1,0.37
-5410.8,7360.8,0.377
-5416.5,7366.5,0.367
-5422.2,7372.2,0.37
-5428,7378,0.383
-5433.7,7383.7,0.38
-5439.4,7389.4,0.353
-5445.1,7395.1,0.333
-5450.9,7400.9,0.333
-5456.6,7406.6,0.343
-5462.3,7412.3,0.347
-5468,7418,0.327
-5473.8,7423.8,0.327
-5479.5,7429.5,0.317
-5485.2,7435.2,0.33
-5490.9,7440.9,0.347
-5496.6,7446.6,0.343
-5502.4,7452.4,0.343
-5508.1,7458.1,0.32
-5513.8,7463.8,0.34
-5519.5,7469.5,0.34
-5525.3,7475.3,0.343
-5531,7481,0.317
-5536.7,7486.7,0.337
-5542.4,7492.4,0.36
-5548.1,7498.1,0.377
-5553.9,7503.9,0.39
-5559.6,7509.6,0.377
-5565.3,7515.3,0.377
-5571,7521,0.357
-5576.8,7526.8,0.363
-5582.5,7532.5,0.36
-5588.2,7538.2,0.35
-5593.9,7543.9,0.353
-5599.6,7549.6,0.357
-5605.4,7555.4,0.36
-5611.1,7561.1,0.36
-5616.8,7566.8,0.367
-5622.5,7572.5,0.37
-5628.3,7578.3,0.37
-5634,7584,0.38
-5639.7,7589.7,0.37
-5645.4,7595.4,0.367
-5651.1,7601.1,0.35
-5656.9,7606.9,0.35
-5662.6,7612.6,0.347
-5668.3,7618.3,0.357
-5674,7624,0.37
-5679.8,7629.8,0.363
-5685.5,7635.5,0.363
-5691.2,7641.2,0.353
-5696.9,7646.9,0.367
-5702.6,7652.6,0.37
-5708.4,7658.4,0.373
-5714.1,7664.1,0.373
-5719.8,7669.8,0.373
-5725.5,7675.5,0.373
-5731.3,7681.3,0.357
-5737,7687,0.353
-5742.7,7692.7,0.363
-5748.4,7698.4,0.353
-5754.2,7704.2,0.34
-5759.9,7709.9,0.317
-5765.6,7715.6,0.337
-5771.3,7721.3,0.34
-5777,7727,0.343
-5782.8,7732.8,0.33
-5788.5,7738.5,0.323
-5794.2,7744.2,0.33
-5799.9,7749.9,0.337
-5805.7,7755.7,0.347
-5811.4,7761.4,0.343
-5817.1,7767.1,0.333
-5822.8,7772.8,0.323
-5828.5,7778.5,0.33
-5834.3,7784.3,0.33
-5840,7790,0.327
-5845.7,7795.7,0.307
-5851.4,7801.4,0.313
-5857.2,7807.2,0.323
-5862.9,7812.9,0.333
-5868.6,7818.6,0.33
-5874.3,7824.3,0.32
-5880,7830,0.327
-5885.8,7835.8,0.337
-5891.5,7841.5,0.333
-5897.2,7847.2,0.323
-5902.9,7852.9,0.303
-5908.7,7858.7,0.313
-5914.4,7864.4,0.32
-5920.1,7870.1,0.31
-5925.8,7875.8,0.297
-5931.5,7881.5,0.287
-5937.3,7887.3,0.3
-5943,7893,0.293
-5948.7,7898.7,0.307
-5954.4,7904.4,0.323
-5960.2,7910.2,0.347
-5965.9,7915.9,0.347
-5971.6,7921.6,0.337
-5977.3,7927.3,0.33
-5983,7933,0.323
-5988.8,7938.8,0.313
-5994.5,7944.5,0.313
-6000.2,7950.2,0.293
-6005.9,7955.9,0.297
-6011.7,7961.7,0.31
-6017.4,7967.4,0.323
-6023.1,7973.1,0.327
-6028.8,7978.8,0.32
-6034.6,7984.6,0.323
-6040.3,7990.3,0.32
-6046,7996,0.313
-6051.7,8001.7,0.333
-6057.4,8007.4,0.35
-6063.2,8013.2,0.357
-6068.9,8018.9,0.34
-6074.6,8024.6,0.337
-6080.3,8030.3,0.35
-6086.1,8036.1,0.357
-6091.8,8041.8,0.353
-6097.5,8047.5,0.333
-6103.2,8053.2,0.323
-6108.9,8058.9,0.327
-6114.7,8064.7,0.33
-6120.4,8070.4,0.347
-6126.1,8076.1,0.333
-6131.8,8081.8,0.333
-6137.6,8087.6,0.32
-6143.3,8093.3,0.317
-6149,8099,0.32
-6154.7,8104.7,0.33
-6160.4,8110.4,0.35
-6166,8116,0.333
-6171.7,8121.7,0.32
-6177.4,8127.4,0.31
-6183.1,8133.1,0.323
-6188.8,8138.8,0.33
-6194.5,8144.5,0.327
-6200.1,8150.1,0.307
-6205.8,8155.8,0.297
-6211.5,8161.5,0.293
-6217.2,8167.2,0.303
-6222.9,8172.9,0.293
-6228.6,8178.6,0.273
-6234.2,8184.2,0.27
-6239.9,8189.9,0.29
-6245.6,8195.6,0.323
-6251.3,8201.3,0.34
-6302.4,8252.4,0.347
-6308.1,8258.1,0.333
-6313.8,8263.8,0.323
-6319.5,8269.5,0.337
-6325.2,8275.2,0.353
-6330.8,8280.8,0.393
-6336.5,8286.5,0.397
-6342.2,8292.2,0.4
-6347.9,8297.9,0.4
-6353.6,8303.6,0.367
-6359.2,8309.2,0.343
-6364.9,8314.9,0.32
-6370.6,8320.6,0.327
-6376.3,8326.3,0.337
-6382,8332,0.337
-6387.7,8337.7,0.32
-6393.3,8343.3,0.297
-6399,8349,0.267
-6404.7,8354.7,0.277
-6410.4,8360.4,0.293
-6416.1,8366.1,0.313
-6421.8,8371.8,0.32
-6427.4,8377.4,0.323
-6433.1,8383.1,0.33
-6438.8,8388.8,0.333
-6444.5,8394.5,0.323
-6450.2,8400.2,0.317
-6455.8,8405.8,0.33
-6461.5,8411.5,0.347
-6467.2,8417.2,0.36
-6472.9,8422.9,0.35
-6478.6,8428.6,0.33
-6484.3,8434.3,0.32
-6489.9,8439.9,0.337
-6495.6,8445.6,0.34
-6501.3,8451.3,0.333
-6507,8457,0.297
-6512.7,8462.7,0.303
-6518.4,8468.4,0.33
-6524,8474,0.36
-6529.7,8479.7,0.37
-6535.4,8485.4,0.363
-6541.1,8491.1,0.35
-6546.8,8496.8,0.35
-6552.4,8502.4,0.333
-6558.1,8508.1,0.33
-6563.8,8513.8,0.35
-6569.5,8519.5,0.35
-6575.2,8525.2,0.333
-6580.9,8530.9,0.317
-6586.5,8536.5,0.327
-6592.2,8542.2,0.35
-6597.9,8547.9,0.35
-6603.6,8553.6,0.333
-6609.3,8559.3,0.33
-6615,8565,0.327
-6620.6,8570.6,0.337
-6626.3,8576.3,0.35
-6632,8582,0.35
-6637.7,8587.7,0.367
-6643.4,8593.4,0.347
-6649,8599,0.357
-6654.7,8604.7,0.35
-6660.4,8610.4,0.387
-6666.1,8616.1,0.383
-6671.8,8621.8,0.393
-6677.5,8627.5,0.37
-6683.1,8633.1,0.38
-6688.8,8638.8,0.37
-6694.5,8644.5,0.377
-6700.2,8650.2,0.36
-6705.9,8655.9,0.357
-6711.6,8661.6,0.353
-6717.2,8667.2,0.35
-6722.9,8672.9,0.33
-6728.6,8678.6,0.357
-6734.3,8684.3,0.377
-6740,8690,0.393
-6745.6,8695.6,0.36
-6751.3,8701.3,0.343
-6757,8707,0.347
-6762.7,8712.7,0.343
-6768.4,8718.4,0.353
-6774.1,8724.1,0.357
-6779.7,8729.7,0.367
-6785.4,8735.4,0.36
-6791.1,8741.1,0.363
-6796.8,8746.8,0.373
-6802.5,8752.5,0.373
-6808.2,8758.2,0.36
-6813.8,8763.8,0.34
-6819.5,8769.5,0.34
-6825.2,8775.2,0.327
-6830.9,8780.9,0.31
-6836.6,8786.6,0.3
-6842.2,8792.2,0.287
-6847.9,8797.9,0.293
-6853.6,8803.6,0.287
-6859.3,8809.3,0.303
-6865,8815,0.307
-6870.7,8820.7,0.33
-6876.3,8826.3,0.32
-6882,8832,0.33
-6887.7,8837.7,0.307
-6893.4,8843.4,0.327
-6899.1,8849.1,0.333
-6904.8,8854.8,0.33
-6910.4,8860.4,0.327
-6916.1,8866.1,0.323
-6921.8,8871.8,0.347
-6927.5,8877.5,0.353
-6933.2,8883.2,0.353
-6938.8,8888.8,0.343
-6944.5,8894.5,0.343
-6950.2,8900.2,0.317
-6955.9,8905.9,0.33
-6961.6,8911.6,0.3
-6967.3,8917.3,0.327
-6972.9,8922.9,0.31
-6978.6,8928.6,0.347
-6984.3,8934.3,0.333
-6990,8940,0.35
-6995.7,8945.7,0.353
-7001.4,8951.4,0.373
-7007,8957,0.377
-7012.7,8962.7,0.373
-7018.4,8968.4,0.367
-7024.1,8974.1,0.35
-7029.8,8979.8,0.353
-7035.4,8985.4,0.36
-7041.1,8991.1,0.363
-7046.8,8996.8,0.34
-7052.5,9002.5,0.34
-7058.2,9008.2,0.347
-7063.9,9013.9,0.373
-7069.5,9019.5,0.37
-7075.2,9025.2,0.377
-7080.9,9030.9,0.353
-7086.6,9036.6,0.337
-7092.3,9042.3,0.33
-7098,9048,0.337
-7103.6,9053.6,0.34
-7109.3,9059.3,0.34
-7115,9065,0.333
-7120.7,9070.7,0.327
-7126.4,9076.4,0.3
-7132,9082,0.313
-7137.7,9087.7,0.343
-7143.4,9093.4,0.373
-7149.1,9099.1,0.373
-7154.8,9104.8,0.357
-7160.5,9110.5,0.36
-7166.1,9116.1,0.373
-7171.8,9121.8,0.39
-7177.5,9127.5,0.397
-7183.2,9133.2,0.38
-7188.9,9138.9,0.37
-7194.6,9144.6,0.347
-7200.2,9150.2,0.35
-7205.9,9155.9,0.34
-7211.6,9161.6,0.337
-7217.3,9167.3,0.347
-7223,9173,0.353
-7228.6,9178.6,0.367
-7234.3,9184.3,0.367
-7240,9190,0.387
-7245.7,9195.7,0.363
-7251.4,9201.4,0.32
-7257.1,9207.1,0.283
-7262.7,9212.7,0.313
-7268.4,9218.4,0.337
-7274.1,9224.1,0.357
-7279.8,9229.8,0.337
-7285.5,9235.5,0.35
-7291.2,9241.2,0.357
-7296.8,9246.8,0.363
-7302.5,9252.5,0.353
-7308.2,9258.2,0.327
-7313.9,9263.9,0.317
-7319.6,9269.6,0.317
-7325.2,9275.2,0.323
-7330.9,9280.9,0.333
-7336.6,9286.6,0.337
-7342.3,9292.3,0.35
-7348,9298,0.323
-7353.7,9303.7,0.303
-7359.3,9309.3,0.297
-7365,9315,0.32
-7370.7,9320.7,0.327
-7376.4,9326.4,0.317
-7382.1,9332.1,0.307
-7387.8,9337.8,0.297
-7393.4,9343.4,0.28
-7399.1,9349.1,0.3
-7404.8,9354.8,0.3
-7410.5,9360.5,0.313
-7416.2,9366.2,0.29
-7421.8,9371.8,0.287
-7427.5,9377.5,0.273
-7433.2,9383.2,0.28
-7438.9,9388.9,0.293
-7444.6,9394.6,0.307
-7450.3,9400.3,0.3
-7455.9,9405.9,0.303
-7461.6,9411.6,0.31
-7467.3,9417.3,0.317
-7473,9423,0.297
-7478.7,9428.7,0.32
-7484.4,9434.4,0.333
-7490,9440,0.347
-7495.7,9445.7,0.307
-7501.4,9451.4,0.28
-7507.1,9457.1,0.283
-7512.8,9462.8,0.307
-7518.4,9468.4,0.327
-7524.1,9474.1,0.337
-7529.8,9479.8,0.333
-7535.5,9485.5,0.313
-7541.2,9491.2,0.307
-7546.9,9496.9,0.3
-7552.5,9502.5,0.313
-7558.2,9508.2,0.323
-7563.9,9513.9,0.323
-7569.6,9519.6,0.333
-7575.3,9525.3,0.317
-7581,9531,0.327
-7586.6,9536.6,0.323
-7592.3,9542.3,0.34
-7598,9548,0.367
-7604.1,9554.1,0.373
-7610.3,9560.3,0.35
-7616.4,9566.4,0.33
-7622.5,9572.5,0.327
-7628.6,9578.6,0.337
-7634.8,9584.8,0.313
-7640.9,9590.9,0.313
-7647,9597,0.303
-7653.1,9603.1,0.327
-7659.3,9609.3,0.313
-7665.4,9615.4,0.333
-7671.5,9621.5,0.32
-7677.6,9627.6,0.317
-7683.8,9633.8,0.327
-7689.9,9639.9,0.31
-7696,9646,0.313
-7702.1,9652.1,0.297
-7708.3,9658.3,0.32
-7714.4,9664.4,0.327
-7720.5,9670.5,0.33
-7726.6,9676.6,0.327
-7732.8,9682.8,0.343
-7738.9,9688.9,0.333
-7745,9695,0.34
-7751.1,9701.1,0.33
-7757.3,9707.3,0.337
-7763.4,9713.4,0.327
-7769.5,9719.5,0.33
-7775.6,9725.6,0.323
-7781.8,9731.8,0.333
-7787.9,9737.9,0.327
-7794,9744,0.33
-7800.1,9750.1,0.33
-7806.3,9756.3,0.327
-7812.4,9762.4,0.333
-7818.5,9768.5,0.317
-7824.6,9774.6,0.327
-7830.8,9780.8,0.333
-7836.9,9786.9,0.363
-7843,9793,0.34
-7849.1,9799.1,0.327
-7855.3,9805.3,0.307
-7861.4,9811.4,0.33
-7867.5,9817.5,0.35
-7873.6,9823.6,0.353
-7879.8,9829.8,0.36
-7885.9,9835.9,0.357
-7892,9842,0.357
-7898.1,9848.1,0.363
-7904.3,9854.3,0.357
-7910.4,9860.4,0.367
-7916.5,9866.5,0.34
-7922.7,9872.7,0.323
-7928.8,9878.8,0.29
-7934.9,9884.9,0.313
-7941,9891,0.323
-7947.2,9897.2,0.352
-7953.3,9903.3,0.347
-7959.4,9909.4,0.348
-7965.5,9915.5,0.342
-7971.7,9921.7,0.325
-7977.8,9927.8,0.328
-7983.9,9933.9,0.315
-7990,9940,0.312
-7996.2,9946.2,0.312
-8002.3,9952.3,0.318
-8008.4,9958.4,0.315
-8014.5,9964.5,0.305
-8020.7,9970.7,0.312
-8026.8,9976.8,0.315
-8032.9,9982.9,0.312
-8039,9989,0.315
-8045.2,9995.2,0.318
-8051,10001,0.322
-8057,10007,0.322
-8064,10014,0.315
-8070,10020,0.322
-8076,10026,0.315
-8082,10032,0.332
-8088,10038,0.328
-8094,10044,0.332
-8100,10050,0.322
-8106,10056,0.335
-8113,10063,0.338
-8119,10069,0.348
-8125,10075,0.338
-8131,10081,0.352
-8137,10087,0.348
-8143,10093,0.335
-8149,10099,0.322
-8155,10105,0.308
-8162,10112,0.325
-8168,10118,0.318
-8174,10124,0.335
-8180,10130,0.315
-8186,10136,0.308
-8192,10142,0.305
-8198,10148,0.332
-8204,10154,0.338
-8211,10161,0.342
-8217,10167,0.322
-8223,10173,0.318
-8229,10179,0.308
-8235,10185,0.315
-8241,10191,0.332
-8247,10197,0.325
-8253,10203,0.322
-8260,10210,0.302
-8266,10216,0.328
-8272,10222,0.332
-8278,10228,0.352
-8284,10234,0.335
-8290,10240,0.348
-8296,10246,0.332
-8302,10252,0.322
-8309,10259,0.305
-8315,10265,0.328
-8321,10271,0.345
-8327,10277,0.355
-8333,10283,0.338
-8339,10289,0.328
-8345,10295,0.318
-8351,10301,0.305
-8358,10308,0.308
-8364,10314,0.325
-8370,10320,0.322
-8376,10326,0.332
-8382,10332,0.332
-8388,10338,0.358
-8394,10344,0.348
-8400,10350,0.332
-8407,10357,0.315
-8413,10363,0.312
-8419,10369,0.312
-8425,10375,0.332
-8431,10381,0.325
-8437,10387,0.328
-8443,10393,0.308
-8449,10399,0.322
-8456,10406,0.332
-8462,10412,0.342
-8468,10418,0.325
-8474,10424,0.298
-8480,10430,0.292
-8486,10436,0.295
-8492,10442,0.302
-8498,10448,0.288
-8505,10455,0.292
-8511,10461,0.285
-8517,10467,0.285
-8523,10473,0.278
-8529,10479,0.282
-8535,10485,0.285
-8541,10491,0.278
-8547,10497,0.292
-8554,10504,0.288
-8560,10510,0.292
-8566,10516,0.268
-8572,10522,0.272
-8578,10528,0.272
-8584,10534,0.288
-8590,10540,0.285
-8596,10546,0.292
-8603,10553,0.295
-8609,10559,0.302
-8615,10565,0.295
-8621,10571,0.275
-8627,10577,0.258
-8633,10583,0.255
-8639,10589,0.272
-8645,10595,0.282
-8652,10602,0.292
-8658,10608,0.285
-8664,10614,0.292
-8670,10620,0.288
-8676,10626,0.278
-8682,10632,0.265
-8688,10638,0.278
-8694,10644,0.282
-8701,10651,0.292
-8707,10657,0.262
-8713,10663,0.272
-8719,10669,0.265
-8725,10675,0.258
-8731,10681,0.255
-8737,10687,0.242
-8743,10693,0.262
-8750,10700,0.268
-8756,10706,0.268
-8762,10712,0.252
-8768,10718,0.232
-8774,10724,0.248
-8780,10730,0.272
-8786,10736,0.275
-8792,10742,0.268
-8799,10749,0.245
-8805,10755,0.252
-8811,10761,0.262
-8817,10767,0.275
-8823,10773,0.272
-8829,10779,0.248
-8835,10785,0.232
-8841,10791,0.242
-8848,10798,0.268
-8854,10804,0.295
-8860,10810,0.272
-8866,10816,0.252
-8872,10822,0.252
-8878,10828,0.272
-8884,10834,0.278
-8890,10840,0.278
-8897,10847,0.282
-8903,10853,0.292
-8909,10859,0.275
-8915,10865,0.275
-8921,10871,0.268
-8927,10877,0.298
-8933,10883,0.298
-8939,10889,0.305
-8946,10896,0.275
-8952,10902,0.262
-8958,10908,0.262
-8964,10914,0.278
-8970,10920,0.288
-8976,10926,0.285
-8982,10932,0.278
-8988,10938,0.285
-8995,10945,0.295
-9001,10951,0.305
-9007,10957,0.295
-9013,10963,0.288
-9019,10969,0.272
-9025,10975,0.285
-9031,10981,0.278
-9037,10987,0.265
-9044,10994,0.248
-9050,11000,0.235
-9056,11006,0.235
-9062,11012,0.238
-9068,11018,0.245
-9074,11024,0.255
-9080,11030,0.242
-9086,11036,0.238
-9093,11043,0.222
-9099,11049,0.232
-9105,11055,0.225
-9111,11061,0.245
-9117,11067,0.252
-9123,11073,0.252
-9129,11079,0.248
-9135,11085,0.248
-9142,11092,0.248
-9148,11098,0.268
-9154,11104,0.255
-9160,11110,0.282
-9162,11112,0.272
-9164,11114,0.285
-9167,11117,0.268
-9169,11119,0.248
-9171,11121,0.268
-9173,11123,0.268
-9175,11125,0.268
-9177,11127,0.248
-9180,11130,0.262
-9182,11132,0.275
-9184,11134,0.265
-9186,11136,0.242
-9188,11138,0.242
-9190,11140,0.248
-9193,11143,0.248
-9195,11145,0.252
-9197,11147,0.25
-9199,11149,0.282
-9201,11151,0.277
-9204,11154,0.263
-9206,11156,0.27
-9208,11158,0.3
-9210,11160,0.313
-9212,11162,0.277
-9214,11164,0.233
-9217,11167,0.23
-9219,11169,0.24
-9221,11171,0.253
-9223,11173,0.233
-9225,11175,0.227
-9228,11178,0.237
-9230,11180,0.267
-9232,11182,0.267
-9234,11184,0.23
-9236,11186,0.193
-9238,11188,0.19
-9241,11191,0.197
-9243,11193,0.22
-9245,11195,0.25
-9247,11197,0.27
-9249,11199,0.287
-9251,11201,0.277
-9254,11204,0.27
-9256,11206,0.257
-9258,11208,0.243
-9260,11210,0.267
-9262,11212,0.267
-9265,11215,0.26
-9267,11217,0.233
-9269,11219,0.23
-9271,11221,0.233
-9273,11223,0.237
-9275,11225,0.227
-9278,11228,0.223
-9280,11230,0.217
-9282,11232,0.217
-9284,11234,0.227
-9286,11236,0.25
-9288,11238,0.243
-9291,11241,0.233
-9293,11243,0.22
-9295,11245,0.243
-9297,11247,0.22
-9299,11249,0.197
-9302,11252,0.163
-9304,11254,0.177
-9306,11256,0.19
-9308,11258,0.2
-9310,11260,0.22
-9312,11262,0.237
-9315,11265,0.26
-9317,11267,0.26
-9319,11269,0.24
-9321,11271,0.223
-9323,11273,0.227
-9326,11276,0.253
-9328,11278,0.257
-9330,11280,0.247
-9332,11282,0.24
-9334,11284,0.26
-9336,11286,0.24
-9339,11289,0.223
-9341,11291,0.21
-9343,11293,0.22
-9345,11295,0.227
-9347,11297,0.21
-9349,11299,0.223
-9352,11302,0.21
-9354,11304,0.223
-9356,11306,0.203
-9358,11308,0.22
-9360,11310,0.2
-9363,11313,0.213
-9365,11315,0.207
-9367,11317,0.223
-9369,11319,0.207
-9371,11321,0.207
-9373,11323,0.21
-9376,11326,0.227
-9378,11328,0.233
-9380,11330,0.237
-9382,11332,0.243
-9384,11334,0.24
-9386,11336,0.227
-9389,11339,0.187
