year (AD),age (BP),depth (m),dust (percent),AlProp (missing),SiProp (missing),KProp (missing),CaProp (missing),TiProp (missing),FeProp (missing),UncertaintyDust0x5B0x250x5D0x28Plus0x29 (missing),UncertaintyDust0x5B0x250x5D0x28Minus0x29 (missing)
-47590,49540,3.13,18.8,0.229,0.493,0.025,0.134,0.014,0.104,0.8,0.7
-47720,49670,3.14,14.4,0.23,0.479,0.024,0.146,0.015,0.106,0.9,0.8
-47850,49800,3.15,17.6,0.226,0.483,0.025,0.148,0.015,0.103,0.9,0.8
-47980,49930,3.16,17,0.225,0.483,0.025,0.145,0.015,0.107,0.9,0.7
-48110,50060,3.17,17.5,0.231,0.488,0.024,0.142,0.014,0.1,0.9,0.7
-48240,50190,3.18,18.4,0.224,0.482,0.025,0.154,0.014,0.101,0.9,0.8
-48370,50320,3.19,13.4,0.235,0.479,0.023,0.146,0.014,0.103,0.9,0.8
-48500,50450,3.2,11.8,0.232,0.473,0.023,0.148,0.014,0.109,0.9,0.8
-48630,50580,3.21,10.2,0.235,0.47,0.022,0.152,0.014,0.107,1,0.9
-48750,50700,3.22,13,0.232,0.474,0.023,0.153,0.014,0.104,1,0.8
-48880,50830,3.23,14.1,0.232,0.478,0.024,0.148,0.014,0.104,0.9,0.8
-49010,50960,3.24,12.7,0.231,0.472,0.023,0.156,0.015,0.103,1,0.9
-49140,51090,3.25,8.3,0.238,0.465,0.022,0.156,0.014,0.105,1,0.9
-49270,51220,3.26,15.8,0.225,0.477,0.024,0.154,0.014,0.106,1,0.8
-49400,51350,3.27,12.3,0.238,0.477,0.024,0.146,0.014,0.1,0.9,0.8
-49530,51480,3.28,13.5,0.226,0.472,0.022,0.156,0.014,0.11,1,0.8
-49660,51610,3.29,11.2,0.235,0.47,0.023,0.156,0.014,0.103,0.9,0.9
-49790,51740,3.3,14.4,0.228,0.472,0.023,0.162,0.014,0.101,1,0.9
-49920,51870,3.31,11.8,0.233,0.473,0.024,0.149,0.015,0.106,0.9,0.8
-50050,52000,3.32,13,0.234,0.475,0.023,0.152,0.014,0.102,0.9,0.8
-50180,52130,3.33,10.8,0.233,0.466,0.023,0.162,0.014,0.103,1,1
-50310,52260,3.34,11.2,0.236,0.471,0.023,0.154,0.015,0.101,0.9,0.9
-50440,52390,3.35,9.9,0.232,0.464,0.022,0.162,0.014,0.106,1,0.9
-50570,52520,3.36,12.8,0.222,0.463,0.023,0.171,0.014,0.107,1.1,1
-50700,52650,3.37,11.4,0.232,0.47,0.023,0.156,0.014,0.105,1,0.9
-50830,52780,3.38,12.4,0.227,0.471,0.025,0.152,0.015,0.111,1,0.8
-51090,53040,3.4,11.8,0.224,0.461,0.023,0.171,0.014,0.107,1.1,1
-51220,53170,3.41,10.6,0.228,0.46,0.023,0.171,0.014,0.104,1.1,1
-51350,53300,3.42,17.4,0.225,0.486,0.024,0.142,0.014,0.109,0.9,0.7
-51480,53430,3.43,12.2,0.233,0.471,0.024,0.157,0.014,0.101,1,0.9
-51610,53560,3.44,11.8,0.231,0.469,0.023,0.158,0.014,0.104,1,0.9
-51740,53690,3.45,15.7,0.22,0.467,0.024,0.174,0.014,0.102,1.1,1
-51870,53820,3.46,14.4,0.225,0.467,0.024,0.171,0.013,0.099,1.1,1
-52000,53950,3.47,11.5,0.22,0.457,0.024,0.176,0.014,0.11,1.1,1
-52130,54080,3.48,8.4,0.235,0.461,0.023,0.164,0.014,0.103,1.1,1
-52260,54210,3.49,13.8,0.222,0.465,0.024,0.171,0.014,0.105,1.1,1
-52390,54340,3.5,16.5,0.223,0.47,0.024,0.173,0.013,0.097,1.1,1
-52520,54470,3.51,10,0.232,0.461,0.023,0.169,0.014,0.102,1.1,1
-52650,54600,3.52,11.5,0.225,0.464,0.024,0.163,0.014,0.109,1,0.9
-52780,54730,3.53,15.1,0.219,0.468,0.025,0.168,0.014,0.107,1.1,0.9
-53160,55110,3.56,14.6,0.224,0.468,0.024,0.169,0.013,0.101,1.1,0.9
-53290,55240,3.57,15,0.221,0.468,0.025,0.168,0.014,0.105,1.1,0.9
-53420,55370,3.58,15,0.221,0.468,0.025,0.167,0.014,0.106,1,0.9
-53550,55500,3.59,12.1,0.227,0.468,0.023,0.159,0.013,0.109,1,0.9
-53680,55630,3.6,15,0.228,0.472,0.024,0.166,0.013,0.097,1,0.9
-53810,55760,3.61,15.8,0.224,0.471,0.025,0.167,0.014,0.1,1.1,0.9
-53940,55890,3.62,14.1,0.232,0.474,0.024,0.159,0.014,0.097,1,0.9
-54070,56020,3.63,11.5,0.231,0.463,0.023,0.171,0.013,0.099,1,1
-54200,56150,3.64,14.4,0.229,0.471,0.023,0.166,0.013,0.097,1.1,0.9
-54330,56280,3.65,11.7,0.236,0.471,0.023,0.157,0.014,0.1,1,0.9
-54460,56410,3.66,16,0.227,0.478,0.024,0.154,0.014,0.103,1,0.8
-54590,56540,3.67,17.7,0.214,0.469,0.023,0.174,0.014,0.107,1.1,1
-54720,56670,3.68,10.8,0.234,0.47,0.024,0.153,0.014,0.106,1,0.9
-54850,56800,3.69,7.3,0.239,0.464,0.024,0.152,0.014,0.107,1,0.9
-54980,56930,3.7,12.1,0.229,0.47,0.024,0.154,0.014,0.109,1,0.9
-55110,57060,3.71,13.6,0.225,0.468,0.024,0.164,0.013,0.105,1,0.9
-55890,57840,3.77,15,0.209,0.449,0.024,0.203,0.013,0.102,1.3,1.2
-56020,57970,3.78,12.5,0.215,0.452,0.024,0.189,0.014,0.105,1.2,1.1
-56150,58100,3.79,13.2,0.204,0.441,0.025,0.209,0.014,0.107,1.4,1.3
-56410,58360,3.81,17,0.196,0.437,0.023,0.233,0.012,0.099,1.5,1.4
-56540,58490,3.82,18.5,0.199,0.44,0.023,0.233,0.012,0.093,1.5,1.4
-56670,58620,3.83,18.4,0.185,0.433,0.026,0.236,0.013,0.106,1.6,1.5
-56800,58750,3.84,13.2,0.2,0.433,0.025,0.227,0.013,0.103,1.5,1.5
-56930,58880,3.85,16.3,0.184,0.427,0.026,0.24,0.013,0.109,1.6,1.6
-57180,59130,3.87,22.1,0.19,0.444,0.025,0.232,0.012,0.096,1.4,1.4
-57310,59260,3.88,20.4,0.199,0.448,0.025,0.223,0.012,0.094,1.4,1.3
-57440,59390,3.89,20.9,0.196,0.447,0.025,0.224,0.013,0.095,1.4,1.3
-57570,59520,3.9,17.4,0.201,0.442,0.026,0.225,0.012,0.094,1.5,1.4
-57700,59650,3.91,23.4,0.189,0.449,0.025,0.227,0.012,0.099,1.4,1.4
-57830,59780,3.92,19.4,0.197,0.447,0.025,0.219,0.013,0.099,1.4,1.3
-57960,59910,3.93,22.4,0.194,0.451,0.025,0.222,0.013,0.096,1.4,1.3
