depth (m),age (BP),temperature (degC),temperature (degC),d18O (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),planktic.d18O (permil)
8.9,80790,27.94,21.48,2.97,-2.15,4.7,2.27,-0.91
9,81810,28.03,20.8,3.05,-2.03,4.74,2.14,-0.98
9.1,82850,27.06,23.11,3.17,-1.95,4.34,2.62,-0.75
9.2,83940,26.03,21.52,3.22,-1.76,3.96,2.28,-0.55
9.3,85060,26.57,21.37,3.31,-1.8,4.15,2.24,-0.81
9.4,86270,26.96,19.52,3.4,-1.93,4.3,1.9,-0.56
9.5,87610,26.39,19.84,3.22,-2.17,4.1,1.96,-0.76
9.6,89020,26.48,20.59,3.27,-2.04,4.12,2.09,-0.46
9.7,90450,26,20.44,3.26,-1.99,3.95,2.06,-0.67
9.8,91880,27.09,20.72,3.27,-2.01,4.36,2.12,-0.67
9.9,93310,26.4,20.11,3.21,-2.12,4.09,2,-0.9
10,94740,26.9,22.16,3.15,-2.16,4.28,2.41,-0.86
10.1,96180,27.53,22.29,3.01,-2,4.53,2.44,-0.97
10.2,97610,27.94,21.15,3.15,-2.19,4.7,2.2,-0.96
10.3,99040,27.16,21.08,3.14,-2.02,4.38,2.19,-0.8
10.4,100480,27.79,22.27,3.12,-2.05,4.63,2.43,-0.8
10.5,101910,27.92,21.82,3.12,-2.04,4.69,2.34,-1.1
10.6,103340,26.41,21.16,2.99,-1.9,4.09,2.2,-0.74
10.7,104780,27.16,23.11,3.19,-2.26,4.38,2.62,-0.92
10.8,106210,28.07,22.3,3.05,-2.27,4.75,2.44,-0.84
10.9,107640,27.05,20.53,3.4,-1.98,4.34,2.08,-0.46
11,109080,26.61,20.68,3.24,-2.19,4.17,2.11,-0.58
11.1,110520,27.41,20.64,3.26,-2.1,4.48,2.1,-0.84
11.2,111950,27.2,19.85,3.19,-2.26,4.39,1.96,-0.61
11.3,113390,27.27,22.65,3.05,-2.45,4.42,2.52,-0.64
11.4,114840,27.61,20.77,2.95,-2.29,4.56,2.13,-0.88
11.5,116280,28.22,21.35,2.87,-2.47,4.82,2.24,-1.06
11.6,117730,29.19,21.6,2.54,-2.6,5.26,2.29,-1.2
11.7,119000,29.16,22.45,2.5,-2.55,5.24,2.47,-1.43
11.8,120160,29.62,23.32,2.56,-2.59,5.47,2.67,-1.42
11.9,121150,29.53,23.17,2.3,-2.51,5.42,2.64,-1.22
12,122080,29.16,23.48,2.32,-2.59,5.24,2.71,-1.31
12.1,122990,29.41,25,2.44,-2.56,5.38,3.11,-1.26
12.2,123900,NA,23.69,2.44,-2.57,NA,2.77,-1.22
12.3,124830,29.2,25.93,2.38,-2.59,5.26,3.38,-1.31
12.4,125770,29.63,25.71,2.51,-2.52,5.47,3.33,-1.06
12.471,126070,NA,NA,2.52,NA,NA,NA,NA
12.5,126620,29.78,23.32,2.585,-2.42,5.54,2.68,-1.01
12.548,127070,NA,NA,2.67,NA,NA,NA,NA
12.569,127270,NA,NA,2.67,NA,NA,NA,NA
12.6,127655,29.49,23.92,2.575,-2.14,5.4,2.82,-0.46
12.651,128150,NA,NA,2.58,NA,NA,NA,NA
12.671,128370,NA,NA,2.61,NA,NA,NA,NA
12.7,128755,28.89,22.85,2.695,-1.94,5.12,2.57,-0.73
12.75,129280,NA,NA,2.75,NA,NA,NA,NA
12.77,129520,NA,NA,2.87,NA,NA,NA,NA
12.8,129945,28.82,24.78,2.88,-1.81,5.09,3.05,-0.4
12.848,130490,NA,NA,2.99,NA,NA,NA,NA
12.869,130730,NA,NA,3.09,NA,NA,NA,NA
12.9,131185,28.25,22.04,3.08,-1.57,4.83,2.38,-0.21
12.95,131770,NA,NA,3.2,NA,NA,NA,NA
12.971,132030,NA,NA,3.24,NA,NA,NA,NA
13,132495,27.18,23.34,3.29,-1.5,4.39,2.68,-0.1
13.05,133090,NA,NA,3.4,NA,NA,NA,NA
13.07,133360,NA,NA,3.71,NA,NA,NA,NA
13.1,133830,26.89,22.26,3.46,-1.27,4.28,2.43,-0.21
13.152,134430,NA,NA,3.74,NA,NA,NA,NA
13.173,134700,NA,NA,3.73,NA,NA,NA,NA
13.2,135140,27.21,21.95,3.725,-1.12,4.4,2.37,0.04
13.248,135650,NA,NA,3.68,NA,NA,NA,NA
13.268,135880,NA,NA,3.86,NA,NA,NA,NA
13.3,136285,27.05,20.6,3.84,-1.21,4.34,2.09,0.11
13.353,136780,NA,NA,3.98,NA,NA,NA,NA
13.371,136940,NA,NA,4.05,NA,NA,NA,NA
13.4,137225,26.89,21.63,4,-1.19,4.27,2.3,0.12
13.447,137590,NA,NA,4.03,NA,NA,NA,NA
13.467,137750,NA,NA,4.04,NA,NA,NA,NA
13.5,138060,26.24,20.79,3.96,-1.1,4.03,2.13,-0.07
13.6,138850,26.25,21.23,4.03,-0.97,4.03,2.22,-0.01
13.7,140200,26.67,22.74,4,-1.19,4.19,2.54,0.31
13.8,141200,26.13,19.81,3.89,-1.05,3.99,1.95,0.05
13.9,142200,26.77,19.91,3.81,-1.18,4.23,1.97,0.01
14,143200,26.54,20.8,3.91,-0.99,4.14,2.13,0.12
14.1,144200,26.63,21.79,3.94,-1.3,4.18,2.33,-0.21
14.2,145200,26.66,21.35,3.53,-1.2,4.18,2.24,0.09
14.3,146200,26.87,22.1,3.89,-1.15,4.28,2.39,-0.02
14.4,147200,26.87,NA,3.85,-1.1,4.27,NA,-0.07
14.5,148200,26.54,21.77,3.76,-1.33,4.14,2.33,-0.14
14.6,149200,26.92,21.01,3.67,-1.21,4.28,2.17,-0.29
14.7,150200,26.53,21.76,3.68,-1.1,4.14,2.33,-0.17
14.8,151200,27.21,22.87,3.83,-1.18,4.4,2.57,-0.09
14.9,152200,27.74,21.58,3.94,-1.02,4.61,2.29,-0.08
15,153200,27.49,23.48,3.88,-1.1,4.51,2.71,-0.01
15.1,154200,26.81,21.35,3.8,-1,4.24,2.24,0.01
15.2,155200,27.1,22.4,3.82,-1.22,4.36,2.46,0.04
15.3,156200,26.36,21.29,3.79,-1.41,4.07,2.23,-0.14
15.4,157200,26.79,22.4,3.65,-1.29,4.23,2.46,-0.18
15.5,158200,26.36,21.49,3.72,-1.15,4.07,2.27,-0.14
