year (AD),age (BP),d13C (permil),d18O (permil)
-8937.746,10887.746,-4.554,-15.967
-8954.502,10904.502,-4.618,-15.804
-8988.625,10938.625,-3.963,-15.752
-9005.995,10955.995,-4.085,-15.154
-9023.573,10973.573,-3.634,-15.181
-9041.36,10991.36,-4.092,-15.155
-9059.359,11009.359,-4.99,-15.787
-9077.571,11027.571,-4.224,-15.396
-9095.997,11045.997,-5.307,-17.011
-9114.64,11064.64,-5.032,-15.989
-9133.5,11083.5,-4.718,-15.913
-9152.58,11102.58,-4.192,-14.504
-9171.881,11121.881,-4.531,-14.358
