depth (m),temperature (degC),BSi (percent),TOC (percent),CaCO3 (percent)
5.56,NA,3.14,NA,NA
5.57,NA,3.14,NA,NA
5.58,19.3,3.71,0.88,47.2
5.59,NA,6.7,NA,NA
5.6,NA,6.91,NA,NA
5.61,NA,6.67,NA,NA
5.62,NA,7.81,NA,NA
5.63,19.1,8.29,1.53,34.4
5.64,NA,6.61,NA,NA
5.65,NA,7.69,NA,NA
5.66,NA,7.78,NA,NA
5.67,NA,8.38,NA,NA
5.68,18.9,10.1,1.55,33.7
5.69,NA,8.57,NA,NA
5.73,18.3,4.75,1.06,37.3
5.78,20.4,1.06,0.73,41.9
5.83,19.6,1.6,0.47,43.5
5.88,19.9,3.42,1.47,44.3
5.93,19.9,2.64,0.86,40.8
5.98,19.1,7.81,1.49,33.1
6.03,19.1,6,1.4,34
6.08,19.2,NA,1.29,35.2
6.13,19.4,4.64,1.14,35.8
6.18,19.1,NA,1.05,37
6.23,19.4,4,1.16,38.4
6.28,20.4,NA,1.35,44.9
6.33,19.7,1.63,0.9,39.3
6.38,19.5,NA,1.48,31.1
6.43,20,4.47,1.55,32.1
6.48,19.7,NA,1.8,31.7
6.53,20,4.18,1.63,34.4
6.58,20,NA,1.76,32.2
6.63,20.1,6.79,1.97,30.8
6.68,20.2,NA,1.79,32.9
6.73,19.9,7.93,2.09,28.8
6.78,19.9,NA,2.03,30.7
6.83,20.1,5.48,1.79,32
6.88,20,NA,1.91,31.7
6.93,20,7.92,2.03,30.7
6.98,20.4,NA,1.88,34.2
7.03,21,5.41,1.7,32.3
7.08,NA,NA,1.89,31.3
7.13,21.4,6.95,1.78,29.7
7.18,NA,NA,1.79,29.9
7.23,20.7,6.06,1.89,31.9
7.28,NA,NA,1.71,32.7
7.33,20.9,3.8,1.41,38
7.38,NA,NA,1.64,33.6
7.43,21.2,4.97,1.51,32.6
7.48,NA,NA,1.34,34.2
7.53,21.1,3.14,1.85,42.9
7.58,NA,NA,1.23,41.7
7.63,20.6,0.86,0.38,47
7.68,NA,NA,0.53,44.4
7.73,21,1.46,0.53,43.4
7.78,NA,NA,0.72,46
7.83,21.1,3.96,1.43,31.7
7.88,NA,NA,1.4,32.4
7.93,21.1,4.65,1.52,31.8
7.98,NA,NA,1.37,34.8
8.03,20.5,4.9,1.61,33.3
8.08,NA,NA,1.57,36.5
8.13,20.3,4.25,1.12,33
8.18,NA,NA,1.06,31.9
