year (AD) [1-1],age (BP) [1-1],C9960x2D1 (permil) [1-1],year (AD) [2-1],age (BP) [2-1],C9960x2D2 (permil) [2-1]
-2039,3989,-9.61,NA,NA,NA
-2046,3996,-8.63,NA,NA,NA
-2060,4010,-10.48,NA,NA,NA
-2074,4024,-10.41,NA,NA,NA
-2088,4038,-9.3,NA,NA,NA
-2101,4051,-9.34,NA,NA,NA
-2115,4065,-9.44,NA,NA,NA
-2129,4079,-10.42,NA,NA,NA
-2143,4093,-9.53,NA,NA,NA
-2157,4107,-9.12,NA,NA,NA
-2171,4121,-8.99,NA,NA,NA
-2185,4135,-8.96,NA,NA,NA
-2198,4148,-9.97,NA,NA,NA
-2212,4162,-9.25,NA,NA,NA
-2226,4176,-10.67,NA,NA,NA
-2240,4190,-9.83,NA,NA,NA
-2254,4204,-9.71,NA,NA,NA
-2268,4218,-9.15,NA,NA,NA
-2282,4232,-10.3,NA,NA,NA
-2296,4246,-10.83,NA,NA,NA
-2309,4259,-9.77,NA,NA,NA
-2323,4273,-10.2,NA,NA,NA
-2337,4287,-11.9,NA,NA,NA
-2351,4301,-11.85,NA,NA,NA
-2365,4315,-11.2,NA,NA,NA
-2379,4329,-10.4,NA,NA,NA
-2393,4343,-9.59,NA,NA,NA
-2406,4356,-9.75,NA,NA,NA
-2420,4370,-10.71,NA,NA,NA
-2434,4384,-10.63,NA,NA,NA
-2448,4398,-11.21,NA,NA,NA
-2462,4412,-10.26,NA,NA,NA
-2476,4426,-9.77,NA,NA,NA
-2490,4440,-8.89,NA,NA,NA
-2503,4453,-8.95,NA,NA,NA
-2517,4467,-9.34,NA,NA,NA
-2531,4481,-9.54,NA,NA,NA
-2545,4495,-9.96,NA,NA,NA
-2559,4509,-8.04,NA,NA,NA
-2573,4523,-9.28,NA,NA,NA
-2587,4537,-10.12,NA,NA,NA
-2600,4550,-9.24,NA,NA,NA
-2614,4564,-9.64,NA,NA,NA
-2628,4578,-9.91,NA,NA,NA
-2642,4592,-8.54,NA,NA,NA
-2656,4606,-9.98,NA,NA,NA
-2670,4620,-10.37,NA,NA,NA
-2684,4634,-9.3,NA,NA,NA
-2697,4647,-9.89,NA,NA,NA
-2711,4661,-10.62,NA,NA,NA
-2725,4675,-9.91,NA,NA,NA
-2745,4695,-10.88,NA,NA,NA
-2772,4722,-11.15,NA,NA,NA
-2798,4748,-10.46,NA,NA,NA
-2825,4775,-11.05,NA,NA,NA
-2851,4801,-9.06,NA,NA,NA
-2878,4828,-8.31,NA,NA,NA
-2904,4854,-8.85,NA,NA,NA
-2931,4881,-8.14,NA,NA,NA
-2957,4907,-8.9,NA,NA,NA
-2984,4934,-9.49,NA,NA,NA
-3010,4960,-9.22,NA,NA,NA
-3037,4987,-9.18,NA,NA,NA
-3063,5013,-10.83,NA,NA,NA
-3090,5040,-9.87,NA,NA,NA
-3116,5066,-9.95,NA,NA,NA
-3143,5093,-10.3,NA,NA,NA
-3169,5119,-11.21,NA,NA,NA
-3196,5146,-11.17,NA,NA,NA
-3222,5172,-10.88,NA,NA,NA
-3249,5199,-11.02,NA,NA,NA
-3275,5225,-10.54,NA,NA,NA
-3302,5252,-11.23,NA,NA,NA
-3328,5278,-10.31,NA,NA,NA
-3355,5305,-9.76,NA,NA,NA
-3381,5331,-9.6,NA,NA,NA
-3408,5358,-10.23,NA,NA,NA
-3434,5384,-9.67,NA,NA,NA
-3461,5411,-10.74,NA,NA,NA
-3487,5437,-11.47,NA,NA,NA
-3514,5464,-10.3,NA,NA,NA
-3540,5490,-10.04,NA,NA,NA
-3567,5517,-11.23,NA,NA,NA
-3593,5543,-10.79,NA,NA,NA
-3620,5570,-9.78,NA,NA,NA
-3646,5596,-9.85,NA,NA,NA
-3673,5623,-10.01,NA,NA,NA
-3699,5649,-10.03,NA,NA,NA
-3726,5676,-10.85,NA,NA,NA
-3752,5702,-10.84,NA,NA,NA
-3779,5729,-9.84,NA,NA,NA
-3805,5755,-9.38,NA,NA,NA
-3844,5794,-9.46,NA,NA,NA
-3883,5833,-10.81,NA,NA,NA
-3923,5873,-9.55,NA,NA,NA
-3962,5912,-9.8,NA,NA,NA
-4001,5951,-9.73,NA,NA,NA
-4040,5990,-9.1,NA,NA,NA
-4079,6029,-9.43,NA,NA,NA
-4119,6069,-9.96,NA,NA,NA
-4158,6108,-11.48,NA,NA,NA
-4197,6147,-10.5,NA,NA,NA
-4236,6186,-9.96,NA,NA,NA
-4275,6225,-9.68,NA,NA,NA
-4314,6264,-10.31,NA,NA,NA
-4354,6304,-11.21,NA,NA,NA
-4393,6343,-10.26,NA,NA,NA
-4432,6382,-9.82,NA,NA,NA
-4471,6421,-10.65,NA,NA,NA
-4510,6460,-10.75,NA,NA,NA
-4550,6500,-10.22,NA,NA,NA
-4589,6539,-9.07,NA,NA,NA
-4628,6578,-9.21,NA,NA,NA
-4667,6617,-11.17,NA,NA,NA
-4744,6694,-10.63,NA,NA,NA
-4821,6771,-9.65,NA,NA,NA
-4897,6847,-10.16,NA,NA,NA
-4974,6924,-10.46,NA,NA,NA
-5051,7001,-10.65,NA,NA,NA
-5128,7078,-10.05,NA,NA,NA
-5205,7155,-10.71,NA,NA,NA
-5281,7231,-11.74,NA,NA,NA
-5358,7308,-9.86,NA,NA,NA
-5435,7385,-10.49,NA,NA,NA
-5512,7462,-10.07,NA,NA,NA
-5588,7538,-11.44,NA,NA,NA
-5665,7615,-10,NA,NA,NA
-5742,7692,-9.63,NA,NA,NA
-5819,7769,-10.79,NA,NA,NA
-5896,7846,-10.42,NA,NA,NA
-5972,7922,-10.52,NA,NA,NA
-6049,7999,-10.67,NA,NA,NA
-6126,8076,-11.04,NA,NA,NA
-6203,8153,-10.38,NA,NA,NA
-6280,8230,-10.63,NA,NA,NA
-6356,8306,-10.33,NA,NA,NA
-6433,8383,-9.92,NA,NA,NA
-6510,8460,-10.27,NA,NA,NA
-6587,8537,-11.56,NA,NA,NA
-6664,8614,-9.54,NA,NA,NA
