year (AD),age (BP),d18O (missing),d13C (missing)
-1608.06,3558.06,-8.14,-10.81
-1610.59,3560.59,-8.13,-10.93
-1613.13,3563.13,-8.13,-10.89
-1615.67,3565.67,-8.14,-10.9
-1618.2,3568.2,-8.02,-10.77
-1620.74,3570.74,-8.09,-10.77
-1623.28,3573.28,-8.04,-10.66
-1625.81,3575.81,-8.13,-10.79
-1628.35,3578.35,-8.05,-10.73
-1630.88,3580.88,-8.05,-10.84
-1633.42,3583.42,-8.15,-10.86
-1635.96,3585.96,-8.07,-10.84
-1638.49,3588.49,-7.93,-10.48
-1641.03,3591.03,-8,-10.2
-1643.57,3593.57,-8.02,-10
-1646.1,3596.1,-8.01,-10.1
-1648.64,3598.64,-8.12,-9.96
-1651.17,3601.17,-7.99,-10.06
-1653.71,3603.71,-8.1,-10.41
-1656.25,3606.25,-8.06,-10.46
-1658.78,3608.78,-8.06,-10.47
-1661.32,3611.32,-7.98,-10.4
-1663.86,3613.86,-8,-10.51
-1666.39,3616.39,-7.97,-10.33
-1668.93,3618.93,-8.05,-10.51
-1671.46,3621.46,-7.95,-10.57
-1674,3624,-8.05,-10.59
-1676.92,3626.92,-8.06,-10.91
-1679.84,3629.84,-7.99,-10.89
-1682.77,3632.77,-8,-10.91
-1685.69,3635.69,-8.05,-11.04
-1688.61,3638.61,-8.07,-10.97
-1691.53,3641.53,-8.02,-10.91
-1694.45,3644.45,-7.96,-10.99
-1697.38,3647.38,-7.98,-10.89
-1700.3,3650.3,-7.99,-10.91
-1703.22,3653.22,-7.97,-11.1
-1706.14,3656.14,-8.02,-11.17
-1709.06,3659.06,-8.02,-11.08
-1711.99,3661.99,-8,-11.08
-1714.91,3664.91,-7.96,-11.04
-1717.83,3667.83,-7.95,-11.05
-1720.75,3670.75,-7.94,-10.97
-1723.68,3673.68,-8,-10.93
-1726.6,3676.6,-7.99,-11.06
-1729.52,3679.52,-8.04,-10.82
-1732.44,3682.44,-7.93,-10.76
-1735.36,3685.36,-8,-10.75
-1738.29,3688.29,-8.09,-10.68
-1741.21,3691.21,-8.06,-10.65
-1744.13,3694.13,-8.07,-10.77
-1747.05,3697.05,-8.08,-10.86
-1749.97,3699.97,-8.12,-10.94
-1752.9,3702.9,-8.03,-10.94
-1755.82,3705.82,-7.97,-10.84
-1758.74,3708.74,-7.99,-10.92
-1761.66,3711.66,-8.01,-10.8
-1764.58,3714.58,-7.86,-10.88
-1767.51,3717.51,-7.93,-11.03
-1770.43,3720.43,-7.98,-10.9
-1773.35,3723.35,-8.03,-10.97
-1776.27,3726.27,-8.01,-10.99
-1779.19,3729.19,-7.95,-10.94
-1782.12,3732.12,-7.87,-10.95
-1785.04,3735.04,-7.92,-10.97
-1787.96,3737.96,-8,-10.84
-1790.88,3740.88,-8.03,-10.99
-1793.81,3743.81,-7.9,-10.9
-1796.73,3746.73,-7.89,-10.83
-1799.65,3749.65,-7.89,-10.83
-1802.57,3752.57,-7.89,-10.77
-1805.49,3755.49,-7.97,-10.96
-1808.42,3758.42,-8.03,-10.97
-1811.34,3761.34,-7.94,-11.06
-1814.26,3764.26,-7.93,-11.12
-1817.18,3767.18,-8.05,-11.2
-1820.1,3770.1,-8.02,-11.16
-1823.03,3773.03,-8,-11.11
-1825.95,3775.95,-8.01,-11.11
-1828.87,3778.87,-8.07,-11.11
-1831.79,3781.79,-7.97,-11.14
-1834.71,3784.71,-8.1,-11.04
-1837.64,3787.64,-8.04,-10.99
-1840.56,3790.56,-8.09,-10.98
-1843.48,3793.48,-8,-10.96
-1846.4,3796.4,-7.99,-11.03
-1849.32,3799.32,-8.07,-11.03
-1852.25,3802.25,-8.04,-11.08
-1855.17,3805.17,-8.02,-11.17
-1858.09,3808.09,-8.12,-11.2
-1861.01,3811.01,-8.11,-10.95
-1863.94,3813.94,-8.07,-11
-1866.86,3816.86,-8.06,-10.89
-1869.78,3819.78,-8.07,-10.95
-1872.7,3822.7,-8.1,-11.04
-1875.62,3825.62,-8.06,-10.99
-1878.55,3828.55,-8.06,-11.07
-1881.47,3831.47,-8.15,-11.17
-1884.39,3834.39,-8.16,-11.15
-1887.31,3837.31,-8.11,-11.2
-1890.23,3840.23,-8.11,-11.11
-1893.16,3843.16,-8.08,-10.97
-1896.08,3846.08,-8.05,-11
-1899,3849,-8.09,-11.01
-1901.92,3851.92,-8.12,-11.07
-1904.84,3854.84,-8.11,-11.03
-1907.77,3857.77,-8.15,-11.12
-1910.69,3860.69,-8.14,-11.13
-1913.61,3863.61,-8.31,-11.13
-1916.53,3866.53,-8.33,-11.04
-1919.45,3869.45,-8.32,-11.01
-1922.38,3872.38,-8.29,-11.01
-1925.3,3875.3,-8.28,-10.99
-1928.22,3878.22,-8.34,-10.74
-1931.14,3881.14,-8.26,-11.01
-1934.06,3884.06,-8.18,-10.9
-1936.99,3886.99,-8.16,-10.84
-1939.91,3889.91,-8.21,-10.98
-1942.83,3892.83,-8.17,-10.98
-1945.75,3895.75,-8.19,-11.01
-1948.68,3898.68,-8.23,-10.93
-1951.6,3901.6,-8.22,-10.96
-1954.52,3904.52,-8.29,-10.93
-1957.44,3907.44,-8.26,-10.84
-1960.36,3910.36,-8.23,-10.95
-1963.29,3913.29,-8.23,-10.88
-1966.21,3916.21,-8.23,-10.86
-1969.13,3919.13,-8.24,-10.87
-1972.05,3922.05,-8.25,-10.86
-1974.97,3924.97,-8.25,-10.85
-1977.9,3927.9,-8.3,-10.79
-1980.82,3930.82,-8.22,-10.88
-1983.74,3933.74,-8.23,-10.75
-1986.66,3936.66,-8.24,-10.76
-1989.58,3939.58,-8.21,-10.76
-1992.51,3942.51,-8.19,-10.68
-1995.43,3945.43,-8.25,-10.67
-1998.35,3948.35,-8.23,-10.58
-2001.27,3951.27,-8.24,-10.78
-2004.19,3954.19,-8.24,-10.83
-2007.12,3957.12,-8.35,-11.17
-2010.04,3960.04,-8.19,-10.89
-2012.96,3962.96,-8.25,-10.95
-2015.88,3965.88,-8.27,-10.89
-2018.81,3968.81,-8.24,-10.97
-2021.73,3971.73,-8.19,-10.86
-2024.65,3974.65,-8.16,-10.95
-2027.57,3977.57,-8.09,-10.88
-2030.49,3980.49,-8.19,-10.91
-2033.42,3983.42,-8.23,-10.95
-2036.34,3986.34,-8.28,-10.99
-2039.26,3989.26,-8.34,-11.17
-2042.18,3992.18,-8.41,-11.31
-2045.1,3995.1,-8.42,-11.18
-2048.03,3998.03,-8.21,-10.69
-2050.95,4000.95,-8.21,-10.5
-2053.87,4003.87,-8.19,-10.8
-2056.79,4006.79,-8.2,-10.9
-2059.71,4009.71,-8.07,-10.8
-2062.64,4012.64,-8.12,-10.65
-2065.56,4015.56,-8.07,-10.79
-2068.48,4018.48,-8.17,-10.96
-2071.4,4021.4,-8.08,-10.78
-2074.32,4024.32,-8.14,-10.9
-2077.25,4027.25,-8.23,-10.69
-2080.17,4030.17,-8.26,-10.66
-2083.09,4033.09,-8.25,-10.66
-2086.01,4036.01,-8.26,-10.68
-2088.94,4038.94,-8.19,-10.84
-2091.86,4041.86,-8.26,-10.86
-2094.78,4044.78,-8.27,-10.67
-2097.7,4047.7,-8.22,-10.61
-2100.62,4050.62,-8.13,-10.65
-2103.55,4053.55,-7.96,-10.55
-2106.47,4056.47,-8.06,-10.57
-2109.39,4059.39,-8.02,-10.7
-2112.31,4062.31,-8.17,-10.92
-2115.23,4065.23,-8.35,-10.78
-2118.16,4068.16,-8.11,-11.04
-2121.08,4071.08,-7.99,-10.75
-2124,4074,-7.98,-10.71
-2134.75,4084.75,-8.12,-10.76
-2145.5,4095.5,-8,-10.63
-2156.25,4106.25,-7.98,-10.45
-2167,4117,-7.96,-10.51
-2177.75,4127.75,-8.02,-10.46
-2188.5,4138.5,-8.08,-10.33
-2199.25,4149.25,-8.12,-10.53
-2210,4160,-8.05,-10.77
-2220.75,4170.75,-8.11,-10.8
-2231.5,4181.5,-8.09,-10.45
-2242.25,4192.25,-8.13,-10.46
-2253,4203,-8.22,-10.52
-2263.75,4213.75,-8.16,-10.48
-2274.5,4224.5,-8.19,-10.4
-2285.25,4235.25,-8.18,-10.36
-2296,4246,-8.21,-10.22
-2306.75,4256.75,-8.23,-10.4
-2317.5,4267.5,-8.27,-10.46
-2328.25,4278.25,-8.29,-10.29
-2339,4289,-8.22,-10.48
-2349.75,4299.75,-8.24,-10.42
-2360.5,4310.5,-8.13,-10.29
-2371.25,4321.25,-8.11,-10.43
-2382,4332,-8.15,-10.5
-2392.75,4342.75,-8.06,-10.44
-2403.5,4353.5,-8.14,-10.37
-2414.25,4364.25,-8.14,-10.3
-2425,4375,-8.09,-10.24
-2435.75,4385.75,-8.18,-10.37
-2446.5,4396.5,-8.1,-10.4
-2457.25,4407.25,-8.18,-10.43
-2468,4418,-8.25,-10.45
-2478.75,4428.75,-8.13,-10.32
-2489.5,4439.5,-8.13,-10.13
-2500.25,4450.25,-8.11,-10.14
-2511,4461,-8.06,-10.02
-2521.75,4471.75,-8.11,-10.1
-2532.5,4482.5,-8.13,-10.12
-2543.25,4493.25,-8.23,-10.34
-2554,4504,-8.19,-10.15
-2560.73,4510.73,-8.15,-10.46
-2567.47,4517.47,-8.1,-10.53
-2574.2,4524.2,-8.03,-10.31
-2580.93,4530.93,-7.99,-10.43
-2587.67,4537.67,-8.05,-10.5
-2594.4,4544.4,-8.14,-10.66
-2601.13,4551.13,-8.2,-10.46
-2607.87,4557.87,-8.08,-10.36
-2614.6,4564.6,-8.21,-10.51
-2621.33,4571.33,-8.23,-10.33
-2628.07,4578.07,-8.14,-10.41
-2634.8,4584.8,-8.22,-10.21
-2641.53,4591.53,-8.17,-10.36
-2648.27,4598.27,-8.29,-10.29
-2655,4605,-8.36,-10.5
-2661.73,4611.73,-8.33,-10.45
-2668.47,4618.47,-8.35,-10.29
-2675.2,4625.2,-8.12,-10.35
-2681.93,4631.93,-8.21,-10.27
-2688.67,4638.67,-8.18,-10.35
-2695.4,4645.4,-8.2,-10.56
-2702.13,4652.13,-8.22,-10.57
-2708.87,4658.87,-8.35,-10.74
-2715.6,4665.6,-8.27,-10.75
-2722.33,4672.33,-8.27,-10.5
-2729.07,4679.07,-8.24,-10.24
-2735.8,4685.8,-8.25,-10.18
-2742.53,4692.53,-8.2,-10.27
-2749.27,4699.27,-8.31,-10.48
-2756,4706,-8.3,-10.3
-2774.19,4724.19,-8.32,-10.5
-2792.39,4742.39,-8.21,-10.55
-2810.58,4760.58,-8.26,-10.59
-2828.78,4778.78,-8.22,-10.37
-2846.97,4796.97,-8.11,-10.44
-2865.17,4815.17,-7.88,-10.24
-2883.36,4833.36,-8.27,-10.44
-2901.56,4851.56,-8.28,-10.21
-2919.75,4869.75,-8.31,-10.2
-2937.94,4887.94,-8.17,-10.31
-2956.14,4906.14,-8.12,-10.59
-2974.33,4924.33,-8.11,-10.64
-2992.53,4942.53,-8.21,-10.79
-3010.72,4960.72,-8.16,-10.76
-3028.92,4978.92,-8.31,-10.54
-3047.11,4997.11,-8.25,-10.33
-3065.31,5015.31,-8.31,-10.7
-3083.5,5033.5,-8.41,-10.69
-3101.69,5051.69,-8.4,-10.63
-3119.89,5069.89,-8.3,-10.68
-3138.08,5088.08,-8.33,-10.7
-3156.28,5106.28,-8.39,-10.57
-3174.47,5124.47,-8.25,-10.24
-3192.67,5142.67,-8.36,-10.39
-3210.86,5160.86,-8.23,-10.15
-3229.06,5179.06,-8.25,-10.32
-3247.25,5197.25,-8.35,-10.45
-3265.44,5215.44,-8.35,-10.82
-3283.64,5233.64,-8.59,-10.68
-3301.83,5251.83,-8.45,-10.75
-3320.03,5270.03,-8.38,-10.87
-3338.22,5288.22,-8.47,-10.69
-3356.42,5306.42,-8.48,-10.7
-3374.61,5324.61,-8.35,-10.31
-3392.81,5342.81,-8.08,-10.17
-3411,5361,-7.95,-9.95
-3414.8,5364.8,-7.99,-10.04
-3418.6,5368.6,-8.05,-10.53
-3422.39,5372.39,-8.04,-10.51
-3426.19,5376.19,-8.14,-10.5
-3429.99,5379.99,-8.13,-10.49
-3433.79,5383.79,-8.03,-10.75
-3437.58,5387.58,-8.12,-10.95
-3441.38,5391.38,-8.22,-10.74
-3445.18,5395.18,-8.17,-10.8
-3448.98,5398.98,-8.08,-10.68
-3452.77,5402.77,-8.12,-10.52
-3456.57,5406.57,-8.07,-10.49
-3460.37,5410.37,-8.08,-10.59
-3464.17,5414.17,-7.96,-10.4
-3467.96,5417.96,-8.11,-10.6
-3471.76,5421.76,-8.18,-10.69
-3475.56,5425.56,-8.15,-10.6
-3479.36,5429.36,-8.26,-10.42
-3483.15,5433.15,-8.28,-10.43
-3486.95,5436.95,-8.32,-10.47
-3490.75,5440.75,-8.35,-10.51
-3494.55,5444.55,-8.42,-10.71
-3498.35,5448.35,-8.6,-10.68
-3502.14,5452.14,-8.51,-10.81
-3505.94,5455.94,-8.43,-10.8
-3509.74,5459.74,-8.35,-10.61
-3513.54,5463.54,-8.15,-10.68
-3517.33,5467.33,-8.1,-10.68
-3521.13,5471.13,-8.21,-10.83
-3524.93,5474.93,-8.37,-10.89
-3528.73,5478.73,-8.33,-10.6
-3532.52,5482.52,-8.32,-10.85
-3536.32,5486.32,-8.48,-10.72
-3540.12,5490.12,-8.56,-10.75
-3543.92,5493.92,-8.68,-10.78
-3547.71,5497.71,-8.53,-10.79
-3551.51,5501.51,-8.64,-10.9
-3555.31,5505.31,-8.69,-10.8
-3559.11,5509.11,-8.65,-10.72
-3562.9,5512.9,-8.39,-10.75
-3566.7,5516.7,-8.2,-10.54
-3570.5,5520.5,-8.24,-10.37
-3574.3,5524.3,-8.39,-10.65
-3578.1,5528.1,-8.36,-10.72
-3581.89,5531.89,-8.08,-10.39
-3585.69,5535.69,-8.25,-10.61
-3589.49,5539.49,-8.39,-10.95
-3593.29,5543.29,-8.25,-10.96
-3597.08,5547.08,-8.27,-11
-3600.88,5550.88,-8.53,-10.99
-3604.68,5554.68,-8.55,-10.92
-3608.48,5558.48,-8.49,-10.72
-3612.27,5562.27,-8.21,-10.72
-3616.07,5566.07,-8.01,-10.63
-3619.87,5569.87,-8.12,-10.71
-3623.67,5573.67,-8.2,-10.96
-3627.46,5577.46,-8.23,-10.75
-3631.26,5581.26,-8.25,-10.67
-3635.06,5585.06,-8.27,-10.86
-3638.86,5588.86,-8.42,-10.86
-3642.65,5592.65,-8.4,-10.83
-3646.45,5596.45,-8.47,-10.93
-3650.25,5600.25,-8.44,-11.11
-3654.05,5604.05,-8.25,-11.12
-3657.85,5607.85,-8.31,-10.88
-3661.64,5611.64,-8.3,-10.97
-3665.44,5615.44,-8.42,-11.25
-3669.24,5619.24,-8.42,-10.91
-3673.04,5623.04,-8.51,-11.19
-3676.83,5626.83,-8.54,-11.02
-3680.63,5630.63,-8.42,-10.75
-3684.43,5634.43,-8.26,-10.88
-3688.23,5638.23,-8.21,-10.97
-3692.02,5642.02,-8.17,-10.82
-3695.82,5645.82,-8.14,-10.87
-3699.62,5649.62,-8.11,-10.86
-3703.42,5653.42,-8.05,-10.62
-3707.21,5657.21,-7.98,-10.75
-3711.01,5661.01,-8.19,-10.67
-3714.81,5664.81,-8.3,-10.82
-3718.61,5668.61,-8.34,-10.97
-3722.4,5672.4,-8.43,-10.76
-3726.2,5676.2,-8.45,-10.96
-3730,5680,-8.61,-11.1
-3741.09,5691.09,-8.54,-11.07
-3752.18,5702.18,-8.68,-10.85
-3763.27,5713.27,-8.43,-10.94
-3774.36,5724.36,-8.48,-11.3
-3785.45,5735.45,-8.55,-11.11
-3796.54,5746.54,-8.5,-11.19
-3807.63,5757.63,-8.59,-11.46
-3818.71,5768.71,-8.48,-11.29
-3829.8,5779.8,-8.45,-11.25
-3840.89,5790.89,-8.26,-11.1
-3851.98,5801.98,-8.36,-11.2
-3863.07,5813.07,-8.35,-11.09
-3874.16,5824.16,-8.48,-11
-3885.25,5835.25,-8.48,-10.81
-3896.34,5846.34,-8.52,-10.83
-3907.43,5857.43,-8.21,-10.34
-3918.52,5868.52,-8.5,-10.49
-3929.61,5879.61,-8.59,-10.33
-3940.7,5890.7,-8.47,-10.02
-3951.79,5901.79,-8.26,-10.15
-3962.88,5912.88,-8.29,-9.98
-3973.96,5923.96,-8.06,-9.96
-3985.05,5935.05,-7.85,-9.9
-3996.14,5946.14,-7.97,-9.67
-4007.23,5957.23,-7.99,-9.89
-4018.32,5968.32,-8.01,-10.09
-4029.41,5979.41,-8.08,-10.1
-4040.5,5990.5,-7.93,-9.98
-4051.59,6001.59,-7.92,-9.85
-4062.68,6012.68,-7.95,-10.06
-4073.77,6023.77,-7.97,-10.06
-4084.86,6034.86,-7.95,-10.19
-4095.95,6045.95,-7.87,-9.99
-4107.04,6057.04,-8,-10.15
-4118.13,6068.13,-7.98,-10.04
-4129.21,6079.21,-8.04,-10
-4140.3,6090.3,-7.99,-9.98
-4151.39,6101.39,-7.97,-9.98
-4162.48,6112.48,-7.87,-9.94
-4173.57,6123.57,-8,-10.07
-4184.66,6134.66,-8.04,-10.26
-4195.75,6145.75,-7.99,-10.36
-4206.84,6156.84,-8.3,-10.12
-4217.93,6167.93,-8.35,-10.02
-4229.02,6179.02,-8.28,-10.28
-4240.11,6190.11,-8.3,-10.24
-4251.2,6201.2,-8.28,-10.41
-4262.29,6212.29,-8.29,-10.27
-4273.38,6223.38,-8.45,-10.37
-4284.46,6234.46,-8.31,-10.48
-4295.55,6245.55,-8.3,-10.67
-4306.64,6256.64,-8.36,-10.65
-4317.73,6267.73,-8.62,-10.6
-4328.82,6278.82,-8.56,-10.5
-4339.91,6289.91,-8.56,-10.17
-4351,6301,-8.61,-10.3
-4355.64,6305.64,-8.63,-10.38
-4360.29,6310.29,-8.77,-10.38
-4364.93,6314.93,-8.76,-10.28
-4369.57,6319.57,-8.72,-10.5
-4374.22,6324.22,-8.9,-10.46
-4378.86,6328.86,-8.9,-10.56
-4383.5,6333.5,-8.85,-10.5
-4388.15,6338.15,-8.67,-10.45
-4392.79,6342.79,-8.17,-9.95
-4397.43,6347.43,-7.67,-9.45
-4402.08,6352.08,-8.57,-10.76
-4406.72,6356.72,-8.52,-10.42
-4411.37,6361.37,-8.5,-10.43
-4416.01,6366.01,-8.47,-10.32
-4420.65,6370.65,-8.37,-10.44
-4425.3,6375.3,-8.34,-10.2
-4429.94,6379.94,-8.35,-10.45
-4434.58,6384.58,-8.36,-10.3
-4439.23,6389.23,-8.46,-10.6
-4443.87,6393.87,-8.15,-10.11
-4448.51,6398.51,-8.34,-10.28
-4453.16,6403.16,-8.38,-10.24
-4457.8,6407.8,-8.48,-10.09
-4462.44,6412.44,-8.35,-10.05
-4467.09,6417.09,-8.18,-10.03
-4471.73,6421.73,-8.35,-9.97
-4476.37,6426.37,-8.32,-10.02
-4481.02,6431.02,-8.41,-10.22
-4485.66,6435.66,-8.31,-10.33
-4490.3,6440.3,-8.33,-10.31
-4494.95,6444.95,-8.33,-10.23
-4499.59,6449.59,-8.46,-10.39
-4504.23,6454.23,-8.49,-10.36
-4508.88,6458.88,-8.57,-10.41
-4513.52,6463.52,-8.54,-10.48
-4518.17,6468.17,-8.55,-10.48
-4522.81,6472.81,-8.65,-10.44
-4527.45,6477.45,-8.49,-10.29
-4532.1,6482.1,-8.42,-10.08
-4536.74,6486.74,-8.43,-10.13
-4541.38,6491.38,-8.58,-10.13
-4546.03,6496.03,-8.73,-10.26
-4550.67,6500.67,-8.73,-10.31
-4555.31,6505.31,-8.44,-10.57
-4559.96,6509.96,-8.49,-10.6
-4564.6,6514.6,-8.5,-10.4
-4569.24,6519.24,-8.59,-10.6
-4573.89,6523.89,-8.63,-10.15
-4578.53,6528.53,-8.72,-10.29
-4583.17,6533.17,-8.54,-10.27
-4587.82,6537.82,-8.35,-10.03
-4592.46,6542.46,-8.27,-10
-4597.1,6547.1,-8.33,-10.22
-4601.75,6551.75,-8.34,-10.1
-4606.39,6556.39,-8.22,-9.66
-4611.03,6561.03,-8.31,-9.98
-4615.68,6565.68,-8.29,-9.84
-4620.32,6570.32,-8.27,-9.79
-4624.97,6574.97,-8.35,-10.01
-4629.61,6579.61,-8.32,-9.8
-4634.25,6584.25,-8.34,-9.77
-4638.9,6588.9,-8.42,-9.66
-4643.54,6593.54,-8.47,-9.78
-4648.18,6598.18,-8.32,-9.73
-4652.83,6602.83,-8.44,-9.89
-4657.47,6607.47,-8.5,-9.92
-4662.11,6612.11,-8.47,-9.61
-4666.76,6616.76,-8.47,-9.47
-4671.4,6621.4,-8.28,-9.49
-4676.04,6626.04,-8.45,-9.83
-4680.69,6630.69,-8.49,-9.89
-4685.33,6635.33,-8.45,-10.08
-4689.97,6639.97,-8.51,-10.28
-4694.62,6644.62,-8.7,-10.13
-4699.26,6649.26,-8.47,-10.11
-4703.9,6653.9,-8.38,-10.12
-4708.55,6658.55,-8.22,-10.01
-4713.19,6663.19,-8.36,-10.22
-4717.83,6667.83,-8.23,-9.85
-4722.48,6672.48,-8.21,-9.98
-4727.12,6677.12,-8.33,-9.83
-4731.77,6681.77,-8.43,-10.16
-4736.41,6686.41,-8.62,-10.35
-4741.05,6691.05,-8.43,-9.88
-4745.7,6695.7,-8.52,-9.94
-4750.34,6700.34,-8.53,-9.9
-4754.98,6704.98,-8.56,-9.89
-4759.63,6709.63,-8.55,-9.91
-4764.27,6714.27,-8.4,-9.91
-4768.91,6718.91,-8.55,-10.25
-4773.56,6723.56,-8.53,-9.75
-4778.2,6728.2,-8.53,-9.94
-4782.84,6732.84,-8.53,-9.62
-4787.49,6737.49,-8.48,-9.51
-4792.13,6742.13,-8.45,-10.12
-4796.77,6746.77,-8.4,-9.73
-4801.42,6751.42,-8.39,-9.75
-4806.06,6756.06,-8.43,-9.78
-4810.7,6760.7,-8.42,-9.64
-4815.35,6765.35,-8.36,-9.64
-4819.99,6769.99,-8.4,-9.63
-4824.63,6774.63,-8.36,-9.65
-4829.28,6779.28,-8.26,-9.88
-4833.92,6783.92,-8.37,-9.89
-4838.57,6788.57,-8.27,-9.75
-4843.21,6793.21,-8.26,-10.06
-4847.85,6797.85,-8.22,-10.07
-4852.5,6802.5,-8.16,-9.99
-4857.14,6807.14,-8.2,-10.01
-4861.78,6811.78,-8.03,-9.86
-4866.43,6816.43,-7.93,-9.86
-4871.07,6821.07,-8.07,-9.99
-4875.71,6825.71,-8.11,-10.22
-4880.36,6830.36,-8.28,-10.2
-4885,6835,-8.32,-9.99
-4887.28,6837.28,-8.38,-10.16
-4889.55,6839.55,-8.42,-10.41
-4891.83,6841.83,-8.43,-10.29
-4894.1,6844.1,-8.54,-10.22
-4896.38,6846.38,-8.48,-10.03
-4898.65,6848.65,-8.49,-9.92
-4900.93,6850.93,-8.65,-10.12
-4903.2,6853.2,-8.61,-9.98
-4905.48,6855.48,-8.7,-10.07
-4907.76,6857.76,-8.64,-10.13
-4910.03,6860.03,-8.6,-10.06
-4912.31,6862.31,-8.57,-9.97
-4914.58,6864.58,-8.47,-10.27
-4916.86,6866.86,-8.38,-10.32
-4919.13,6869.13,-8.28,-10.45
-4921.41,6871.41,-8.21,-10.48
-4923.68,6873.68,-8.2,-10.31
-4925.96,6875.96,-8.03,-10
-4928.23,6878.23,-7.94,-9.68
-4930.51,6880.51,-7.85,-9.68
-4932.79,6882.79,-7.86,-9.55
-4935.06,6885.06,-7.72,-9.35
-4937.34,6887.34,-7.78,-9.65
-4939.61,6889.61,-8.02,-9.83
-4941.89,6891.89,-8.01,-9.67
-4944.16,6894.16,-7.92,-9.77
-4946.44,6896.44,-7.86,-10
-4948.71,6898.71,-8,-9.95
-4950.99,6900.99,-8.09,-10.04
-4953.27,6903.27,-8.09,-10.05
-4955.54,6905.54,-8.28,-10.09
-4957.82,6907.82,-8.27,-10.12
-4960.09,6910.09,-8.46,-10.01
-4962.37,6912.37,-8.17,-10.1
-4964.64,6914.64,-8.09,-10.21
-4966.92,6916.92,-8.1,-10.26
-4969.19,6919.19,-8.08,-10.26
-4971.47,6921.47,-8.12,-10.38
-4973.74,6923.74,-8.21,-10.34
-4976.02,6926.02,-8.18,-10.38
-4978.3,6928.3,-8.12,-10.39
-4980.57,6930.57,-8.18,-10.49
-4982.85,6932.85,-8.1,-10.28
-4985.12,6935.12,-8.08,-10.25
-4987.4,6937.4,-8.05,-10.23
-4989.67,6939.67,-8.15,-10.51
-4991.95,6941.95,-8.12,-10.35
-4994.22,6944.22,-8.02,-10.12
-4996.5,6946.5,-7.9,-9.89
-4998.78,6948.78,-7.8,-9.78
-5001.05,6951.05,-7.93,-9.93
-5003.33,6953.33,-8.02,-10.07
-5005.6,6955.6,-7.97,-10.13
-5007.88,6957.88,-8.07,-10.14
-5010.15,6960.15,-8.31,-10.09
-5012.43,6962.43,-8.37,-10.05
-5014.7,6964.7,-8.42,-10.27
-5016.98,6966.98,-8.24,-10.2
-5019.26,6969.26,-8.45,-10.47
-5021.53,6971.53,-8.36,-10.19
-5023.81,6973.81,-8.31,-10.08
-5026.08,6976.08,-8.46,-10.1
-5028.36,6978.36,-8.42,-10.38
-5030.63,6980.63,-8.3,-10.33
-5032.91,6982.91,-8.3,-10.28
-5035.18,6985.18,-8.31,-10.28
-5037.46,6987.46,-8.38,-10.37
-5039.73,6989.73,-8.31,-10.35
-5042.01,6992.01,-8.2,-10.04
-5044.29,6994.29,-8.18,-10.01
-5046.56,6996.56,-8.2,-9.77
-5048.84,6998.84,-8.31,-9.99
-5051.11,7001.11,-8.38,-10.25
-5053.39,7003.39,-8.46,-10.1
-5055.66,7005.66,-8.37,-9.82
-5057.94,7007.94,-8.46,-10
-5060.21,7010.21,-8.54,-10.36
-5062.49,7012.49,-8.47,-10.4
-5064.77,7014.77,-8.5,-10.47
-5067.04,7017.04,-8.31,-10.41
-5069.32,7019.32,-8.35,-10.59
-5071.59,7021.59,-8.55,-10.28
-5073.87,7023.87,-8.48,-10.13
-5076.14,7026.14,-8.51,-10.1
-5078.42,7028.42,-8.43,-10.21
-5080.69,7030.69,-8.59,-10.15
-5082.97,7032.97,-8.55,-10.15
-5085.24,7035.24,-8.52,-9.95
-5087.52,7037.52,-8.41,-10.03
-5089.8,7039.8,-8.33,-9.93
-5092.07,7042.07,-8.33,-9.86
-5094.35,7044.35,-8.39,-10.17
-5096.62,7046.62,-8.38,-10.28
-5098.9,7048.9,-8.36,-10.42
-5101.17,7051.17,-8.34,-10.24
-5103.45,7053.45,-8.53,-9.92
-5105.72,7055.72,-8.45,-9.91
-5108,7058,-8.39,-9.83
-5110.28,7060.28,-8.43,-9.74
-5112.55,7062.55,-8.4,-10.11
-5114.83,7064.83,-8.28,-10.17
-5117.1,7067.1,-8.29,-10.14
-5119.38,7069.38,-8.32,-10.02
-5121.65,7071.65,-8.37,-9.9
-5123.93,7073.93,-8.27,-9.83
-5126.2,7076.2,-8.17,-10.06
-5128.48,7078.48,-8.32,-10.14
-5130.76,7080.76,-8.3,-10.16
-5133.03,7083.03,-8.29,-9.97
-5135.31,7085.31,-8.38,-10.09
-5137.58,7087.58,-8.37,-10.02
-5139.86,7089.86,-8.48,-10.15
-5142.13,7092.13,-8.75,-10.11
-5144.41,7094.41,-8.84,-10.26
-5146.68,7096.68,-8.79,-10.19
-5148.96,7098.96,-8.81,-9.92
-5151.23,7101.23,-8.61,-10.07
-5153.51,7103.51,-8.45,-10.25
-5155.79,7105.79,-8.45,-10.45
-5158.06,7108.06,-8.63,-10.59
-5160.34,7110.34,-8.59,-10.83
-5162.61,7112.61,-8.63,-10.55
-5164.89,7114.89,-8.57,-10.3
-5167.16,7117.16,-8.49,-10.57
-5169.44,7119.44,-8.46,-10.47
-5171.71,7121.71,-8.59,-10.13
-5173.99,7123.99,-8.72,-10.38
-5176.27,7126.27,-8.67,-10.45
-5178.54,7128.54,-8.56,-10.52
