depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],age (BP) [2-1],d18O (permil) [2-1],depth (cm) [3-1],age (BP) [3-1],depth.top (mm) [3-1],mass dry (g) [3-1],mass dry >1mm (g) [3-1],mass dry 106 to 1000 um (g) [3-1],mass dry 63 to 106 um (g) [3-1],depth (cm) [4-1],age (BP) [4-1],carbonate (percent) [4-1]
NA,NA,NA,NA,NA,519.5,4784.1,5190,11.03,0,0.049,0.293,519.5,4779.6,6.83
NA,NA,NA,NA,NA,525.5,4830.4,5250,9.182,0,0.026,0.165,525.5,4821.6,6.5
NA,NA,NA,NA,NA,531.5,4876.6,5310,10.509,0.005,0.024,0.157,531.5,4866.2,5.83
NA,NA,NA,NA,NA,537.5,4922.9,5370,12.914,0,0.031,0.182,537.5,4922.9,5.25
NA,NA,NA,NA,NA,543.5,4978.1,5430,11.139,0.004,0.03,0.158,543.5,4985.7,4.83
NA,NA,NA,NA,NA,549.5,5033.3,5490,13.255,0,0.046,0.14,549.5,5050.4,6.67
NA,NA,NA,NA,NA,555.5,5088.5,5550,13.188,0,0.18,0.239,555.5,5100.4,5.92
NA,NA,NA,NA,NA,561.5,5143.8,5610,11.894,0,0.028,0.135,561.5,5143.8,5.17
NA,NA,NA,NA,NA,567.5,5180.6,5670,14.549,0,0.045,0.171,567.5,5182.7,5.58
NA,NA,NA,NA,NA,573.5,5217.5,5730,12.262,0,0.031,0.133,573.5,5219.2,5.25
NA,NA,NA,NA,NA,579.5,5254.4,5790,13.763,0.008,0.033,0.237,579.5,5255.2,6
NA,NA,NA,NA,NA,585.5,5291.2,5850,18.057,0,0.051,0.268,585.5,5291.2,6.83
NA,NA,NA,NA,NA,591.5,5321.2,5910,14.584,0,0.051,0.146,591.5,5327.2,6.83
NA,NA,NA,NA,NA,597.5,5351.2,5970,15.789,0.001,0.047,0.282,597.5,5358.7,5.75
NA,NA,NA,NA,NA,603.5,5381.1,6030,21.331,0.001,0.382,0.352,603.5,5385.3,5.58
NA,NA,NA,NA,NA,609.5,5411.1,6090,19.25,0,0.059,0.263,609.5,5411.1,5.92
NA,NA,NA,NA,NA,615.5,5451.9,6150,18.257,0.026,0.071,0.27,615.5,5437.1,5.75
NA,NA,NA,NA,NA,621.5,5492.8,6210,17.467,0,0.052,0.267,621.5,5462.8,5.83
NA,NA,NA,NA,NA,627.5,5533.6,6270,17.47,0.015,0.038,0.287,627.5,5537.4,6.33
NA,NA,NA,NA,NA,633.5,5574.5,6330,20.506,0,0.042,0.222,633.5,5574.5,7.42
NA,NA,NA,NA,NA,639.5,5616.9,6390,16.346,0,0.041,0.24,639.5,5604.8,6.58
NA,NA,NA,NA,NA,645.5,5659.4,6450,17.908,0.188,0.053,0.302,645.5,5645.8,5.75
NA,NA,NA,NA,NA,651.5,5701.8,6510,19.1,0.013,0.329,0.368,651.5,5695,6.42
NA,NA,NA,NA,NA,657.5,5744.2,6570,17.064,0,0.035,0.18,657.5,5744.2,7.58
NA,NA,NA,NA,NA,663.5,5802.1,6630,19.1,0.004,0.051,0.33,663.5,5775.3,7.08
NA,NA,NA,NA,NA,669.5,5859.9,6690,24.53,0,0.037,0.173,669.5,5830.5,5.92
NA,NA,NA,NA,NA,675.5,5917.8,6750,21.953,0,0.132,0.285,675.5,5901.7,7.17
NA,NA,NA,NA,NA,681.5,5975.7,6810,24.129,0.011,0.068,0.412,681.5,5975.7,5.58
NA,NA,NA,NA,NA,687.5,6044.4,6870,20.842,0.022,0.048,0.29,687.5,6048.5,6.92
NA,NA,NA,NA,NA,693.5,6113.2,6930,25.068,0,0.095,0.508,693.5,6135,4.83
NA,NA,NA,NA,NA,699.5,6182,6990,22.427,0,0.11,0.725,699.5,6210.1,5.5
NA,NA,NA,NA,NA,705.5,6250.7,7050,20.889,0,0.074,0.162,705.5,6250.7,4.33
NA,NA,NA,NA,NA,711.5,6295.2,7110,22.056,0.044,0.099,0.331,711.5,6300.9,4.83
NA,NA,NA,NA,NA,717.5,6339.6,7170,14.622,0,0.049,0.167,717.5,6350.3,2
NA,NA,NA,NA,NA,723.5,6384.1,7230,14,0,0.046,0.174,723.5,6396.3,3.83
NA,NA,NA,NA,NA,729.5,6428.5,7290,16.315,0.012,0.086,0.205,729.5,6428.5,5
NA,NA,NA,NA,NA,735.5,6460,7350,16.305,0,0.03,0.193,735.5,6460.3,3.83
NA,NA,NA,NA,NA,741.5,6491.5,7410,15.755,0,0.079,0.129,741.5,6491.5,4.17
NA,NA,NA,NA,NA,747.5,6522.9,7470,14.898,0,0.053,0.166,753.5,6554.4,2.25
NA,NA,NA,NA,NA,753.5,6554.4,7530,14.077,0.014,0.097,0.595,759.5,6585.5,3.33
NA,NA,NA,NA,NA,759.5,6586.3,7590,13.316,0,0.073,0.184,765.5,6616.7,2.58
NA,NA,NA,NA,NA,765.5,6618.2,7650,11.15,0,0.054,0.157,771.5,6648.5,2.5
NA,NA,NA,NA,NA,771.5,6650.1,7710,15.464,0,0.052,0.202,777.5,6681.9,2.83
NA,NA,NA,NA,NA,777.5,6681.9,7770,13.926,0,0.044,0.173,783.5,6715.4,2.17
NA,NA,NA,NA,NA,783.5,6729.2,7830,17.457,0,0.082,0.603,789.5,6762.2,2.42
NA,NA,NA,NA,NA,789.5,6776.4,7890,16.489,0.002,0.026,0.503,795.5,6816.5,1.92
NA,NA,NA,NA,NA,795.5,6823.6,7950,18.529,0,0.025,0.181,801.5,6870.8,2.08
NA,NA,NA,NA,NA,801.5,6870.8,8010,13.613,0,0.052,0.294,807.5,6924.3,2.33
NA,NA,NA,NA,NA,807.5,6922.6,8070,10.433,0,0.016,0.114,813.5,6974.9,2
NA,NA,NA,NA,NA,813.5,6974.5,8130,14.811,0,0.053,0.104,819.5,7026.2,3
NA,NA,NA,NA,NA,819.5,7026.4,8190,18.025,0,0.032,0.181,825.5,7078.2,3.75
NA,NA,NA,NA,NA,825.5,7078.2,8250,11.113,0,0.024,0.083,831.5,7130.3,3.58
NA,NA,NA,NA,NA,831.5,7129.7,8310,17.083,0,0.037,0.281,837.5,7180.8,2.67
NA,NA,NA,NA,NA,837.5,7181.2,8370,15.254,0.033,0.043,0.295,843.5,7232.1,3.25
NA,NA,NA,NA,NA,843.5,7232.7,8430,19.22,0,0.035,0.513,849.5,7284.1,3.67
NA,NA,NA,NA,NA,849.5,7284.1,8490,15.693,0.013,0.062,0.318,855.5,7324.3,2.42
NA,NA,NA,NA,NA,855.5,7325.4,8550,15.097,0,0.038,0.246,861.5,7364.4,2.33
NA,NA,NA,NA,NA,861.5,7366.7,8610,14.84,0.009,0.028,0.12,867.5,7404.6,4
NA,NA,NA,NA,NA,867.5,7407.9,8670,13.508,0.036,0.062,0.125,873.5,7449.2,3.58
NA,NA,NA,NA,NA,873.5,7449.2,8730,14.569,0,0.056,0.087,879.5,7496.8,2.67
NA,NA,NA,NA,NA,879.5,7500.1,8790,13.254,0,0.029,0.112,885.5,7544.4,3.33
NA,NA,NA,NA,NA,885.5,7551.1,8850,12.994,0,0.034,0.085,891.5,7594.9,3.5
NA,NA,NA,NA,NA,891.5,7602,8910,16.317,0,0.054,0.169,897.5,7652.9,3.58
NA,NA,NA,NA,NA,897.5,7652.9,8970,20.197,0,0.084,0.174,903.5,7705,4.17
NA,NA,NA,NA,NA,903.5,7686.8,9030,9.776,0,0.045,0.125,909.5,7734.7,3.58
NA,NA,NA,NA,NA,909.5,7720.6,9090,18.503,0,0.075,0.525,915.5,7761.8,3.92
NA,NA,NA,NA,NA,915.5,7754.5,9150,12.365,0,0.032,0.116,921.5,7788.4,3.83
NA,NA,NA,NA,NA,921.5,7788.4,9210,12.548,0,0.025,0.271,927.5,7814.3,2.75
NA,NA,NA,NA,NA,927.5,7814.6,9270,16.574,0,0.031,0.389,933.5,7840.9,3.42
NA,NA,NA,NA,NA,933.5,7840.9,9330,15.028,0,0.03,0.352,939.5,7867.4,4.33
NA,NA,NA,NA,NA,939.5,7867.1,9390,15.147,0,0.024,0.177,945.5,7893.4,4.08
NA,NA,NA,NA,NA,945.5,7893.4,9450,17.167,0,0.022,0.37,951.5,7919.9,3.25
NA,NA,NA,NA,NA,951.5,7920.1,9510,13.242,0,0.032,0.166,957.5,7946.5,2.83
NA,NA,NA,NA,NA,957.5,7946.8,9570,16.227,0,0.047,0.216,963.5,7972.4,2.67
NA,NA,NA,NA,NA,969.5,8000.3,9690,13.533,0,0.058,0.189,969.5,8000.3,1.25
NA,NA,NA,NA,NA,975.5,8024.9,9750,14.275,0,0.031,0.342,975.5,8028.9,1.33
NA,NA,NA,NA,NA,981.5,8049.5,9810,18.091,0,0.032,0.161,981.5,8057.4,1.67
NA,NA,NA,NA,NA,987.5,8074.1,9870,18.855,0,0.04,0.693,987.5,8082,1.5
NA,NA,NA,NA,NA,993.5,8098.6,9930,14.655,0,0.017,0.149,993.5,8098.6,2.33
NA,NA,NA,NA,NA,999.5,8115.1,9990,15.293,0.006,0.056,0.17,999.5,8115.2,1.92
NA,NA,NA,NA,NA,1005.5,8131.5,10050,17.433,0,0.035,0.136,1005.5,8131.2,1.75
NA,NA,NA,NA,NA,1011.5,8148,10110,13.833,0,0.028,0.255,1011.5,8147.8,2.17
NA,NA,NA,NA,NA,1017.5,8164.4,10170,18.85,0,0.051,0.233,1017.5,8164.4,2.75
NA,NA,NA,NA,NA,1023.5,8196.8,10230,16.149,0,0.03,0.106,1023.5,8192.3,2.67
NA,NA,NA,NA,NA,1029.5,8229.2,10290,15.882,0.021,0.033,0.13,1029.5,8226.9,1.92
NA,NA,NA,NA,NA,1035.5,8261.6,10350,16.309,0,0.044,0.329,1035.5,8260.1,2.08
NA,NA,NA,NA,NA,1041.5,8294,10410,13.928,0,0.019,0.121,1041.5,8294,2.5
NA,NA,NA,NA,NA,1047.5,8325.9,10470,19.876,0.003,0.058,1.628,1047.5,8328.2,NA
NA,NA,NA,NA,NA,1053.5,8357.9,10530,20.283,0,0.038,0.175,1053.5,8362.4,2.67
NA,NA,NA,NA,NA,1059.5,8389.9,10590,17.172,0,0.01,0.176,1059.5,8393.9,2.17
NA,NA,NA,NA,NA,1065.5,8421.8,10650,15.679,0.011,0.026,0.307,1065.5,8421.8,3.17
NA,NA,NA,NA,NA,1071.5,8444.4,10710,21.755,0,0.053,0.435,1071.5,8449.7,2.33
NA,NA,NA,NA,NA,1077.5,8467,10770,21.721,0.264,0.033,0.444,1077.5,8477,2.33
NA,NA,NA,NA,NA,1083.5,8489.6,10830,20.633,0,0.02,0.171,1083.5,8498.6,2.83
NA,NA,NA,NA,NA,1089.5,8512.2,10890,21.985,0.062,0.034,0.195,1089.5,8512.2,3.17
NA,NA,NA,NA,NA,1095.5,8525.9,10950,17.222,0.019,0.037,0.259,1095.5,8525.1,3.08
NA,NA,NA,NA,NA,1101.5,8539.6,11010,20.934,0.005,0.113,0.53,1101.5,8538.8,2.75
NA,NA,NA,NA,NA,1107.5,8553.3,11070,18.325,0,0.133,0.192,1107.5,8551.7,2.25
NA,NA,NA,NA,NA,1113.5,8567,11130,21.844,0,0.058,0.263,1113.5,8567,2.33
NA,NA,NA,NA,NA,1119.5,8586.8,11190,20.92,0,0.05,0.385,1119.5,8586.6,2.25
NA,NA,NA,NA,NA,1125.5,8606.7,11250,21.247,0,0.039,0.285,1125.5,8606.5,1.75
NA,NA,NA,NA,NA,1131.5,8626.5,11310,21.482,0.202,0.021,0.435,1131.5,8626.5,2.33
NA,NA,NA,NA,NA,1137.5,8646.4,11370,23.696,0,0.034,0.256,1137.5,8646.4,2.25
NA,NA,NA,NA,NA,1143.5,8667.7,11430,19.961,0,0.019,0.361,1143.5,8666.3,2.42
NA,NA,NA,NA,NA,1149.5,8689.1,11490,27.953,0,0.031,0.663,1149.5,8686.2,2.83
NA,NA,NA,NA,NA,1155.5,8710.4,11550,16.847,0,0.035,0.279,1155.5,8705.7,2.75
NA,NA,NA,NA,NA,1161.5,8731.8,11610,18.58,0.016,0.03,0.155,1161.5,8731.8,2
NA,NA,NA,NA,NA,1167.5,8758.6,11670,17.509,0,0.017,0.51,1167.5,8758.3,2.17
NA,NA,NA,NA,NA,1173.5,8785.4,11730,21.272,0,0.299,0.217,1173.5,8785.5,2.58
NA,NA,NA,NA,NA,1179.5,8812.2,11790,20.547,0.016,0.115,0.478,1179.5,8811.7,2.08
NA,NA,NA,NA,NA,1185.5,8839,11850,23.065,0,0.039,0.351,1185.5,8839,1.42
NA,NA,NA,NA,NA,1191.5,8867.7,11910,25.07,0,0.025,0.257,1191.5,8902.1,1.42
NA,NA,NA,NA,NA,1197.5,8896.5,11970,22.206,0,0.078,0.395,1197.5,8919.4,1.42
NA,NA,NA,NA,NA,1203.5,8925.3,12030,18.052,0,0.026,0.404,1203.5,8936.8,1.33
NA,NA,NA,NA,NA,1209.5,8954.1,12090,18.071,0,0.014,0.263,1209.5,8954.1,1.83
NA,NA,NA,NA,NA,1215.5,8977.5,12150,20.362,0,0.007,0.193,1215.5,8971.4,2
NA,NA,NA,NA,NA,1221.5,9000.9,12210,18.554,0,0.031,0.317,1221.5,8993.7,2.92
NA,NA,NA,NA,NA,1227.5,9024.3,12270,22.684,0.02,0.039,0.273,1227.5,9020.9,2.17
NA,NA,NA,NA,NA,1233.5,9047.7,12330,19.335,0,0.027,0.256,1233.5,9047.7,2.42
NA,NA,NA,NA,NA,1239.5,9067.2,12390,16.913,0.04,0.034,0.552,1239.5,9075.4,2.17
NA,NA,NA,NA,NA,1245.5,9086.8,12450,17.715,0,0.05,0.313,1245.5,9096.2,2.33
NA,NA,NA,NA,NA,1251.5,9106.4,12510,17.585,0.025,0.052,0.724,1251.5,9111.1,2
NA,NA,NA,NA,NA,1257.5,9125.9,12570,22.466,0.009,0.023,0.234,1257.5,9125.9,1.83
NA,NA,NA,NA,NA,1263.5,9143.4,12630,17.099,0,0.029,0.214,1263.5,9142.3,1.83
NA,NA,NA,NA,NA,1269.5,9160.8,12690,16.04,0,0.022,0.39,1269.5,9159.6,2
NA,NA,NA,NA,NA,1275.5,9178.3,12750,22.189,0,0.045,0.249,1275.5,9177.4,2
NA,NA,NA,NA,NA,1281.5,9195.7,12810,19.221,0,0.038,0.161,1281.5,9195.7,1.92
NA,NA,NA,NA,NA,1287.5,9215.4,12870,16.543,0,0.028,0.532,1287.5,9214.6,2.25
NA,NA,NA,NA,NA,1293.5,9235.1,12930,15.591,0.007,0.037,0.33,1293.5,9233.9,2.25
NA,NA,NA,NA,NA,1299.5,9254.8,12990,16.606,0.008,0.075,0.265,1299.5,9253.7,1.92
NA,NA,NA,NA,NA,1305.5,9274.5,13050,20.476,0,0.07,0.252,1305.5,9274.5,1.75
NA,NA,NA,NA,NA,1311.5,9303.2,13110,16.837,0,0.047,0.249,1311.5,9295.8,1.08
NA,NA,NA,NA,NA,1317.5,9331.9,13170,19.923,0,0.044,0.244,1317.5,9316.6,1.33
NA,NA,NA,NA,NA,1323.5,9360.6,13230,18.58,0.016,0.029,0.193,1323.5,9352.7,1.08
NA,NA,NA,NA,NA,1329.5,9389.4,13290,17.545,0,0.048,0.426,1329.5,9389.4,1.33
NA,NA,NA,NA,NA,1335.5,9407.8,13350,18.21,0,0.053,0.482,1335.5,9425.5,1.17
NA,NA,NA,NA,NA,1341.5,9426.3,13410,17.82,0.022,0.061,0.434,1341.5,9447.1,1.83
NA,NA,NA,NA,NA,1347.5,9444.7,13470,24.587,0.026,0.054,0.375,1347.5,9455.3,1.5
NA,NA,NA,NA,NA,1353.5,9463.2,13530,22.963,0.013,0.111,0.281,1353.5,9463.2,0.92
NA,NA,NA,NA,NA,1359.5,9471.4,13590,19.333,0,0.062,0.396,1359.5,9471.4,0.83
NA,NA,NA,NA,NA,1365.5,9479.5,13650,17.003,0,0.02,0.5,1371.5,9487.6,1.17
NA,NA,NA,NA,NA,1371.5,9487.7,13710,23.195,0.024,0.067,0.974,1377.5,9495.8,1.25
NA,NA,NA,NA,NA,1377.5,9495.8,13770,22.594,0,0.034,0.41,1383.5,9504.2,1.83
NA,NA,NA,NA,NA,1383.5,9506.6,13830,19.577,0,0.024,0.575,1389.5,9514.2,1
NA,NA,NA,NA,NA,1389.5,9517.4,13890,20.383,0,0.056,0.532,1395.5,9525.6,1
NA,NA,NA,NA,NA,1395.5,9528.2,13950,21.25,0,0.067,0.768,1401.5,9538.9,0.92
NA,NA,NA,NA,NA,1401.5,9538.9,14010,18.989,0.031,0.076,0.358,1407.5,9552.1,1.25
NA,NA,NA,NA,NA,1407.5,9554.8,14070,21.007,0.024,0.067,0.45,1413.5,9567.9,1.17
NA,NA,NA,NA,NA,1413.5,9570.7,14130,18.132,0,0.086,0.497,1419.5,9585.2,0.75
NA,NA,NA,NA,NA,1419.5,9586.6,14190,22.665,0,0.045,0.533,1425.5,9602.5,1
NA,NA,NA,NA,NA,1425.5,9602.5,14250,21.867,0,0.023,0.584,1437.5,9630.6,1.17
NA,NA,NA,NA,NA,1431.5,9614.8,14310,17.708,0,0.056,0.39,1443.5,9641.3,1.25
NA,NA,NA,NA,NA,1437.5,9627.2,14370,24.226,0.016,0.032,0.606,1449.5,9651.9,1
NA,NA,NA,NA,NA,1443.5,9639.5,14430,21.653,0,0.064,0.963,1455.5,9662.6,0.83
NA,NA,NA,NA,NA,1449.5,9651.9,14490,25.649,0,0.05,0.442,1461.5,9673.3,NA
NA,NA,NA,NA,NA,1455.5,9662.6,14550,19.884,0,0.023,1.049,1467.5,9684,NA
NA,NA,NA,NA,NA,1461.5,9673.3,14610,19.287,0,0.028,0.578,1473.5,9694.7,NA
NA,NA,NA,NA,NA,1467.5,9684,14670,21.728,0,0.052,0.94,1479.5,9705.2,1.25
NA,NA,NA,NA,NA,1473.5,9694.7,14730,19.485,0.062,0.034,0.954,1493.5,9733.2,1.58
NA,NA,NA,NA,NA,1479.5,9707.3,14790,23.793,0,0.041,0.44,1497.5,9745.1,1.17
NA,NA,NA,NA,NA,1485.5,9719.9,14850,20.619,0,0.042,0.746,1503.5,9763.2,0.92
NA,NA,NA,NA,NA,1491.5,9732.5,14910,18.729,0,0.043,0.424,1509.5,9781.1,0.92
NA,NA,NA,NA,NA,1497.5,9745.1,14970,18.375,0,0.033,0.416,1515.5,9798.6,0.83
NA,NA,NA,NA,NA,1503.5,9761.5,15030,21.198,0,0.026,0.298,1521.5,9810.9,1
NA,NA,NA,NA,NA,1509.5,9778,15090,20.391,0,0.022,0.581,1527.5,9822.8,0.83
NA,NA,NA,NA,NA,1515.5,9794.4,15150,17.337,0,0.02,1.01,1533.5,9834.5,0.75
NA,NA,NA,NA,NA,1521.5,9810.9,15210,19.222,0,0.02,0.361,1539.5,9846,0.92
NA,NA,NA,NA,NA,1527.5,9822.6,15270,22.733,0,0.026,0.759,1545.5,9857.7,1.42
NA,NA,NA,NA,NA,1533.5,9834.3,15330,18.041,0,0.014,0.814,1551.5,9869.5,0.92
NA,NA,NA,NA,NA,1539.5,9846,15390,19.158,0,0.034,0.533,1557.5,9883.2,1
NA,NA,NA,NA,NA,1545.5,9857.7,15450,18.891,0,0.021,0.321,1563.5,9896.8,5.25
NA,NA,NA,NA,NA,1551.5,9870.6,15510,16.128,0,0.036,0.294,1569.5,9909.5,0.67
NA,NA,NA,NA,NA,1557.5,9883.6,15570,21.747,0,0.032,0.361,1575.5,9920.7,0.75
NA,NA,NA,NA,NA,1563.5,9896.5,15630,20.405,0,0.024,1.22,1581.5,9944.2,0.58
NA,NA,NA,NA,NA,1569.5,9909.5,15690,21.017,0,0.027,0.59,1587.5,9967.3,0.5
NA,NA,NA,NA,NA,1575.5,9929,15750,15.274,0,0.035,0.602,1593.5,9987.4,0.58
NA,NA,NA,NA,NA,1581.5,9948.5,15810,22.852,0,0.043,0.815,1599.5,9998.4,0.67
NA,NA,NA,NA,NA,1587.5,9967.9,15870,18.906,0,0.04,1.395,1605.5,10009,0.75
NA,NA,NA,NA,NA,1593.5,9987.4,15930,20.295,0,1.03,0.698,1611.5,10020,0.92
NA,NA,NA,NA,NA,1599.5,9998.3,15990,24.133,0,0.044,0.272,1617.5,10031,0.58
NA,NA,NA,NA,NA,1605.5,10009,16050,23.297,0,0.027,0.639,1623.5,10041,0.92
NA,NA,NA,NA,NA,1611.5,10020,16110,17.273,0,0.031,0.535,1629.5,10052,0.75
NA,NA,NA,NA,NA,1617.5,10031,16170,29.415,0,0.038,1.127,1635.5,10063,0.75
NA,NA,NA,NA,NA,1623.5,10041,16230,20.681,0,0.018,0.601,1641.5,10072,0
NA,NA,NA,NA,NA,1629.5,10052,16290,26.561,0.019,0.036,0.288,1647.5,10082,0.83
NA,NA,NA,NA,NA,1635.5,10062,16350,21.095,0,0.016,0.101,1653.5,10089,0.92
NA,NA,NA,NA,NA,1641.5,10072,16410,21.638,0,0.032,0.325,1659.5,10096,1
NA,NA,NA,NA,NA,1647.5,10080,16470,17.13,0,0.026,0.481,1665.5,10102,0.92
NA,NA,NA,NA,NA,1653.5,10087,16530,16.974,0,0.028,0.409,1671.5,10108,2.25
NA,NA,NA,NA,NA,1659.5,10095,16590,19.272,0,0.017,0.127,1677.5,10117,1.25
NA,NA,NA,NA,NA,1665.5,10102,16650,16.015,0,0.016,0.12,1683.5,10126,0.92
NA,NA,NA,NA,NA,1671.5,10110,16710,15.576,0,0.021,0.259,1689.5,10135,0.83
NA,NA,NA,NA,NA,1677.5,10119,16770,14.01,0,0.019,0.271,1695.5,10144,0.58
NA,NA,NA,NA,NA,1683.5,10127,16830,19.315,0,0.036,0.187,1707.5,10164,0.33
NA,NA,NA,NA,NA,1689.5,10135,16890,13.165,0,0.026,0.114,1713.5,10175,1
NA,NA,NA,NA,NA,1695.5,10145,16950,15.313,0,0.023,0.372,1719.5,10186,2.08
NA,NA,NA,NA,NA,1701.5,10155,17010,16.985,0,0.019,0.185,1725.5,10196,0.83
NA,NA,NA,NA,NA,1707.5,10165,17070,15.145,0,0.026,0.151,1731.5,10207,0.67
NA,NA,NA,NA,NA,1713.5,10175,17130,14.946,0,0.031,0.25,1737.5,10218,0.42
NA,NA,NA,NA,NA,1719.5,10186,17190,14.169,0,0.039,0.687,1743.5,10227,0.58
NA,NA,NA,NA,NA,1725.5,10196,17250,17.328,0,0.02,0.212,1749.5,10236,0.67
NA,NA,NA,NA,NA,1731.5,10207,17310,16.752,0,0.017,0.458,1755.5,10244,0.5
NA,NA,NA,NA,NA,1737.5,10218,17370,19.035,0,0.038,0.208,1761.5,10275,0.92
NA,NA,NA,NA,NA,1743.5,10232,17430,19.714,0,0.029,0.443,1767.5,10305,1.83
NA,NA,NA,NA,NA,1749.5,10246,17490,19.266,0,0.042,0.323,1773.5,10330,0.75
NA,NA,NA,NA,NA,1755.5,10260,17550,17.11,0,0.019,0.243,1779.5,10354,0.83
NA,NA,NA,NA,NA,1761.5,10275,17610,16.028,0,0.022,0.133,1785.5,10375,0.33
NA,NA,NA,NA,NA,1767.5,10300,17670,19.167,0,0.035,0.254,1791.5,10393,0.75
NA,NA,NA,NA,NA,1773.5,10325,17730,22.74,0,0.03,0.938,1797.5,10397,0.58
NA,NA,NA,NA,NA,1779.5,10350,17790,15.581,0,0.013,0.217,1803.5,10401,1
NA,NA,NA,NA,NA,1785.5,10375,17850,18.838,0,0.021,0.278,1809.5,10404,0.75
NA,NA,NA,NA,NA,1791.5,10383,17910,21.91,0,0.039,0.516,1815.5,10411,1.75
NA,NA,NA,NA,NA,1797.5,10390,17970,19.473,0,0.019,0.287,1821.5,10426,1
NA,NA,NA,NA,NA,1803.5,10397,18030,16.313,0,0.026,0.138,1827.5,10441,1.08
NA,NA,NA,NA,NA,1809.5,10404,18090,20.865,0,0.021,0.311,1833.5,10455,1
NA,NA,NA,NA,NA,1815.5,10417,18150,18.861,0,0.018,0.279,1839.5,10470,1.25
NA,NA,NA,NA,NA,1821.5,10430,18210,17.316,0,0.021,0.399,1845.5,10480,2
NA,NA,NA,NA,NA,1827.5,10443,18270,18.951,0,0.017,0.47,1851.5,10488,1.08
NA,NA,NA,NA,NA,1833.5,10455,18330,20.258,0,0.041,0.897,1857.5,10496,1.17
NA,NA,NA,NA,NA,1839.5,10466,18390,19.075,0,0.019,0.486,1863.5,10503,0.67
NA,NA,NA,NA,NA,1845.5,10476,18450,16.073,0,0.031,0.485,1869.5,10511,0.92
NA,NA,NA,NA,NA,1851.5,10486,18510,16.996,0,0.027,0.248,1875.5,10519,1.17
NA,NA,NA,NA,NA,1857.5,10496,18570,19.447,0,0.013,0.686,1881.5,10527,0.92
NA,NA,NA,NA,NA,1863.5,10503,18630,15.544,0,0.01,0.197,1887.5,10541,1.83
NA,NA,NA,NA,NA,1869.5,10511,18690,18.076,0,0.018,0.39,1893.5,10561,0.92
NA,NA,NA,NA,NA,1875.5,10519,18750,15.207,0,0.015,0.633,1899.5,10574,0.75
NA,NA,NA,NA,NA,1881.5,10527,18810,12.859,0,0.02,0.306,1905.5,10587,0.83
NA,NA,NA,NA,NA,1887.5,10542,18870,15.382,0,0.008,1.014,1911.5,10595,0.58
NA,NA,NA,NA,NA,1893.5,10557,18930,17.132,0,0.031,0.879,1917.5,10598,0.75
NA,NA,NA,NA,NA,1899.5,10572,18990,17.907,0,0.029,0.301,1923.5,10601,0.67
NA,NA,NA,NA,NA,1905.5,10587,19050,20.372,0.009,0.037,0.505,1929.5,10604,1
NA,NA,NA,NA,NA,1911.5,10591,19110,15.537,0,0.013,0.464,1935.5,10608,0.92
NA,NA,NA,NA,NA,1917.5,10596,19170,15.102,0,0.022,0.188,1941.5,10612,1
NA,NA,NA,NA,NA,1923.5,10600,19230,20.844,0,0.04,0.526,1947.5,10616,0.83
NA,NA,NA,NA,NA,1929.5,10604,19290,15.758,0,0.014,0.465,1953.5,10620,0.75
NA,NA,NA,NA,NA,1935.5,10608,19350,15.935,0,0.017,0.612,1959.5,10624,0.92
NA,NA,NA,NA,NA,1941.5,10612,19410,16.667,0,0.019,0.499,1965.5,10628,6.42
NA,NA,NA,NA,NA,1947.5,10616,19470,18.781,0,0.021,0.496,1971.5,10633,0.83
NA,NA,NA,NA,NA,1953.5,10620,19530,20.888,0,0.041,0.33,1977.5,10637,1
NA,NA,NA,NA,NA,1959.5,10624,19590,24.529,0,0.029,1.186,1983.5,10641,1.5
NA,NA,NA,NA,NA,1965.5,10629,19650,22.751,0,0.44,1.058,1989.5,10656,0.5
NA,NA,NA,NA,NA,1971.5,10633,19710,24.491,0,0.023,0.873,1995.5,10678,0.42
NA,NA,NA,NA,NA,1977.5,10637,19770,22.315,0,0.039,1.431,2001.5,10702,0.67
NA,NA,NA,NA,NA,1983.5,10653,19830,20.905,0,0.018,0.823,2007.5,10737,0.92
NA,NA,NA,NA,NA,1989.5,10670,19890,24.722,0,0.023,0.709,2013.5,10782,0.67
NA,NA,NA,NA,NA,1995.5,10686,19950,19.916,0,0.021,1.695,2019.5,10809,0.67
NA,NA,NA,NA,NA,2001.5,10702,20010,23.373,0.007,0.042,0.216,2025.5,10835,0.75
NA,NA,NA,NA,NA,2007.5,10735,20070,19.214,0,0.035,1.016,2031.5,10839,1
NA,NA,NA,NA,NA,2013.5,10769,20130,23.408,0,0.041,0.991,2037.5,10843,2.83
NA,NA,NA,NA,NA,2019.5,10802,20190,19.242,0,0.022,0.349,2043.5,10847,1
NA,NA,NA,NA,NA,2025.5,10835,20250,24.603,0,-0.11,1.307,2049.5,10852,0.83
NA,NA,NA,NA,NA,2031.5,10839,20310,24.257,0,0.025,1.312,2055.5,10856,1.17
NA,NA,NA,NA,NA,2037.5,10843,20370,31.308,0,0.726,3.73,2061.5,10860,0.67
NA,NA,NA,NA,NA,2043.5,10847,20430,23.598,0,0.138,1.89,2067.5,10864,0.92
NA,NA,NA,NA,NA,2049.5,10852,20490,14.578,0,0.038,0.225,2073.5,10869,0.5
