year (AD),age (BP),d18O (permil),d13C (missing)
-69790,71740,-3.54,-10.65
-69825,71775,-3.65,-10.7
-69860,71810,-3.66,-11.23
-69890,71840,-3.67,-10.95
-69920,71870,-3.91,-11.58
-69960,71910,-3.82,-11.72
-69990,71940,-3.7,-11.61
-70020,71970,-3.91,-11.5
-70060,72010,-3.89,-11.55
-70090,72040,-4.28,-11.24
-70120,72070,-4.21,-11.28
-70155,72105,-4.44,-11.31
-70190,72140,-4.27,-11.45
-70220,72170,-4.31,-11.42
-70250,72200,-4.38,-11.65
-70287,72237,-4.45,-11.17
-70320,72270,-4.38,-11.25
-70350,72300,-4.6,-11.4
-70385,72335,-4.41,-11.16
-70420,72370,-4.38,-11.13
-70450,72400,-4.47,-11.15
-70485,72435,-4.27,-10.98
-70610,72560,-4.7,-11.06
-70650,72600,-4.82,-11.19
-70680,72630,-4.52,-10.99
-70720,72670,-3.8,-10.34
-70750,72700,-4.2,-11.02
-70780,72730,-3.84,-10.81
-70815,72765,-3.8,-11.15
-70850,72800,-3.66,-10.7
-70880,72830,-3.64,-10.4
-70910,72860,-3.57,-10.67
-70947,72897,-3.49,-10.63
-70980,72930,-3.72,-10.86
-71010,72960,-3.82,-10.89
-71045,72995,-4.06,-11.03
-71080,73030,-3.76,-10.67
-71110,73060,-3.68,-10.86
-71145,73095,-3.59,-10.76
-71180,73130,-3.77,-11.17
-71210,73160,-3.86,-11.22
-71245,73195,-3.92,-11.45
-71280,73230,-4.03,-11.34
-71310,73260,-4.03,-11.59
-71340,73290,-4.04,-11.59
-71375,73325,-3.96,-11.57
-71410,73360,-3.99,-11.62
-71440,73390,-3.92,-11.59
-71475,73425,-4,-11.35
-71510,73460,-4.12,-11.5
-71540,73490,-3.74,-11.34
-71570,73520,-3.96,-11.11
-71605,73555,-4.09,-11.3
-71640,73590,-3.99,-11.22
-71670,73620,-4.22,-11.13
-71705,73655,-4.12,-11.3
-71740,73690,-4.2,-11.36
-71770,73720,-4.09,-11.35
-71805,73755,-3.92,-11.39
-71840,73790,-3.91,-11.29
-71870,73820,-4.09,-11.43
-71900,73850,-3.88,-11.12
-71940,73890,-3.97,-11.31
-71970,73920,-3.91,-11.3
-72000,73950,-3.85,-11.23
-72035,73985,-3.81,-11.13
-72070,74020,-3.83,-11.4
-72100,74050,-3.91,-11.52
-72135,74085,-3.82,-11.42
-72170,74120,-3.8,-11.45
-72200,74150,-3.85,-11.36
-72230,74180,-3.77,-11.31
-72270,74220,-3.83,-11.02
-72300,74250,-3.8,-11.03
-72330,74280,-3.76,-11.03
-72370,74320,-3.77,-11.31
-72400,74350,-3.77,-11.28
-72430,74380,-3.97,-11.61
-72475,74425,-3.99,-11.45
-72500,74450,-3.9,-11.56
-72530,74480,-4.22,-11.37
-72560,74510,-4.14,-11.8
-72595,74545,-4.3,-11.73
-72630,74580,-4.44,-11.89
-72660,74610,-4.38,-11.59
-72695,74645,-4.44,-11.92
-72730,74680,-4.33,-11.85
-72760,74710,-4.22,-11.77
-72795,74745,-4.09,-11.85
-72950,74900,-4.68,-9.45
-73050,75000,-4.66,-8.99
-73350,75300,-4.76,-9.31
-73650,75600,-4.65,-8.52
-73850,75800,-4.65,-9.34
-74150,76100,-4.52,-9.21
-74450,76400,-4.63,-9.65
-74750,76700,-4.52,-9.7
-74950,76900,-4.37,-9.41
-75250,77200,-4.24,-9.29
-75550,77500,-4.43,-8.95
-75850,77800,-4.63,-8.87
-76150,78100,-4.58,-8.73
-76350,78300,-4.92,-9.7
-76650,78600,-5.2,-9.91
-76950,78900,-4.98,-10.2
-77250,79200,-5.58,-10.55
-77450,79400,-5.66,-10.93
-77750,79700,-5.73,-11.5
-78050,80000,-5.81,-11.73
-78450,80400,-5.65,-11.55
-78950,80900,-5.1,-11.34
-79350,81300,-5.41,-11.26
-79750,81700,-5.54,-12.01
-80250,82200,-5.22,-11.53
-80650,82600,-5.06,-11.06
-81050,83000,-5,-11.72
-81550,83500,-5.14,-11.57
-81950,83900,-5.31,-11.75
-82450,84400,-5.34,-12.23
-82850,84800,-5.62,-12.51
-83250,85200,-5.25,-12.3
-83750,85700,-5.06,-11.84
-84150,86100,-5.2,-11.9
-84550,86500,-5.15,-11.98
-85050,87000,-5.18,-11.73
-85450,87400,-5,-11.58
-85850,87800,-5.04,-11.27
-86220,88170,-4.26,-10.12
-86380,88330,-4.31,-10.11
-86530,88480,-4.42,-10.68
-86690,88640,-4.44,-10.69
-86850,88800,-4.47,-10.79
-86919,88869,-4.44,-10.65
-87000,88950,-4.44,-10.68
-87160,89110,-4.43,-10.43
-87320,89270,-4.06,-10.01
-87480,89430,-4.23,-10.45
-87640,89590,-4.39,-10.64
-87790,89740,-4.53,-10.9
-87950,89900,-4.33,-10.34
-88070,90020,-4.47,-10.68
-88580,90530,-4.41,-10.88
-88740,90690,-4.54,-11.08
-88900,90850,-4.4,-10.9
-89050,91000,-4.35,-10.7
-89210,91160,-4.38,-10.51
-89370,91320,-4.31,-10.13
-89530,91480,-4.26,-10.41
-89680,91630,-4.36,-10.15
-89840,91790,-4.46,-10.46
-90000,91950,-4.43,-10.7
-90160,92110,-4.28,-10.42
-90310,92260,-4.12,-9.97
-90470,92420,-4.3,-10.18
-90630,92580,-4.43,-10.74
-90780,92730,-4.38,-10.58
-90940,92890,-4.5,-10.43
-91100,93050,-4.51,-10.43
-91410,93360,-4.35,-10.2
-91570,93520,-4.36,-10.48
-91730,93680,-4.19,-10.41
-91880,93830,-4.08,-10.35
-92040,93990,-4.07,-10.07
-92200,94150,-4.04,-10.39
-92360,94310,-4.05,-10.02
-92510,94460,-4.04,-9.94
-92670,94620,-4.13,-10.21
-92830,94780,-4.21,-10.56
-92990,94940,-4.2,-10.31
-93140,95090,-4.29,-10.63
-93300,95250,-4.37,-10.79
-93450,95400,-4.44,-10.68
-93610,95560,-4.54,-10.68
-93770,95720,-4.32,-10.35
-93930,95880,-4.27,-10.53
-94150,96100,-4.16,-10.54
-94450,96400,-4.28,-11.52
-94850,96800,-4.2,-11.2
-95150,97100,-4.15,-10.65
-95550,97500,-4.29,-10.83
-95950,97900,-4.2,-10.41
-96250,98200,-4.43,-10.79
-96650,98600,-4.1,-10.08
-96950,98900,-4.41,-10.57
-97350,99300,-4.23,-11.17
-97650,99600,-4.24,-10.81
-98050,100000,-4.14,-10.19
-98140,100090,-4.1,-10.18
-98230,100180,-4.27,-10.92
-98260,100210,-5.5,-10.89
-98390,100340,-5.57,-11.86
-98510,100460,-4.73,-11.51
-98640,100590,-4.51,-11.07
-98770,100720,-4.75,-12
-98890,100840,-4.9,-12.04
-99020,100970,-5.48,-11.98
-99150,101100,-5.73,-12.11
-99270,101220,-5.49,-11.53
-99400,101350,-5.65,-11.58
-99530,101480,-5.78,-11.38
-99650,101600,-5.93,-11.53
-99780,101730,-6.23,-11.26
-99910,101860,-5.71,-11.67
-100030,101980,-5.79,-11.6
-100160,102110,-5.41,-10.94
-100290,102240,-5.33,-11.04
-100410,102360,-5.44,-11.47
-100540,102490,-5.37,-10.86
-100670,102620,-5.69,-11.48
-100790,102740,-5.49,-11.47
-100920,102870,-6.01,-12.35
-101050,103000,-6,-12.58
-101170,103120,-5.43,-12.39
-101300,103250,-5.32,-12.26
-101430,103380,-5.5,-12.72
-101550,103500,-5.47,-12.78
-101680,103630,-4.82,-12.72
-101810,103760,-5.02,-12.74
-101940,103890,-4.84,-12.6
-102210,104160,-4.7,-12.4
-102470,104420,-4.71,-11.59
-102740,104690,-4.88,-12.16
-103000,104950,-4.9,-11.95
-103270,105220,-4.62,-12.23
-103530,105480,-4.2,-12.43
-103790,105740,-5.19,-11.94
-104050,106000,-5.1,-11.79
-104320,106270,-6.44,-12
-104590,106540,-6.95,-12.73
-104850,106800,-6.99,-12.84
-105110,107060,-5.92,-12.58
-105380,107330,-6.15,-12.8
-105640,107590,-5.51,-13
-105910,107860,-5.51,-13.01
-106170,108120,-5.43,-12.97
-106440,108390,-5.16,-12.85
-106700,108650,-5.31,-12.88
-106960,108910,-4.91,-12.59
-107230,109180,-4.66,-12.05
-107490,109440,-4.45,-12.12
-107970,109920,-4.71,-11.71
-108550,110500,-4.74,-11.79
-109130,111080,-4.84,-11.87
-109720,111670,-4.82,-11.72
-110700,112650,-4.58,-11.54
-110880,112830,-4.56,-11.37
-111470,113420,-4.71,-11.55
-112190,114140,-4.66,-11.17
-112250,114200,-4.63,-11.86
-112310,114260,-4.87,-12.4
-112360,114310,-4.82,-12.32
-112420,114370,-4.71,-12.1
-112480,114430,-4.95,-12.29
-112600,114550,-4.93,-12.25
-112660,114610,-4.7,-11.58
-112710,114660,-4.68,-11.57
-112770,114720,-4.88,-11.65
-112830,114780,-4.76,-11.75
-112890,114840,-4.78,-11.67
-112950,114900,-4.85,-11.83
-113010,114960,-4.87,-11.56
-113060,115010,-4.97,-11.81
-113120,115070,-5.09,-11.98
-113180,115130,-4.81,-11.83
-113240,115190,-5.01,-11.68
-113300,115250,-4.8,-11.54
-113360,115310,-4.95,-12.22
-113410,115360,-5.14,-12.4
-113470,115420,-5.05,-11.86
-113530,115480,-5.17,-12.05
-113590,115540,-5.06,-11.75
-113650,115600,-5.04,-11.82
-113720,115670,-5.06,-11.87
-113760,115710,-5.06,-11.82
-113820,115770,-4.9,-11.91
-113880,115830,-5.08,-12.02
-113940,115890,-4.99,-11.78
-114000,115950,-5.03,-11.96
-114050,116000,-4.89,-11.75
-114110,116060,-4.89,-11.84
-114170,116120,-4.5,-11.61
-114230,116180,-4.85,-11.8
-114290,116240,-4.89,-11.92
-114350,116300,-4.91,-11.9
-114400,116350,-5,-11.63
-114460,116410,-5.13,-11.9
-114520,116470,-5.1,-11.64
-114580,116530,-4.98,-11.5
-114640,116590,-5.17,-11.72
-114700,116650,-5.19,-11.71
-114750,116700,-5.06,-11.5
-114810,116760,-5.07,-11.89
-114870,116820,-5.07,-12.06
-114930,116880,-5.15,-11.87
-114990,116940,-5.14,-11.91
-115050,117000,-5.24,-12.31
-115100,117050,-5.2,-12.2
-115160,117110,-5.21,-11.62
-115220,117170,-5.15,-11.7
-115280,117230,-5.13,-11.2
-115340,117290,-5.2,-11.61
-115400,117350,-5.11,-11.24
-115450,117400,-5.23,-11.49
-115510,117460,-5.25,-11.91
-115570,117520,-5.24,-11.79
-115630,117580,-5.15,-11.69
-115690,117640,-5.13,-11.72
-115750,117700,-5.22,-11.57
-115790,117740,-5.21,-11.57
-115860,117810,-5.06,-11.26
-115920,117870,-5.1,-11.33
-115980,117930,-5.35,-11.4
-116040,117990,-5.34,-11.42
-116100,118050,-5.32,-11.45
-116150,118100,-5.21,-11.36
-116220,118170,-5.04,-11.2
-116270,118220,-5.17,-11.35
-116330,118280,-5.37,-11.35
-116390,118340,-5.46,-11.26
-116450,118400,-5.4,-11.25
-116500,118450,-5.42,-11.32
-116560,118510,-5.39,-11.15
-116620,118570,-5.23,-11.22
-116680,118630,-5.1,-11.14
-116740,118690,-5.14,-11.36
-116800,118750,-4.99,-11.4
-117550,119500,-7,-5.6
-118050,120000,-7.01,-5.59
-118550,120500,-7.8,-3.48
-119020,120970,-7.63,-4.45
-119650,121600,-8.04,-2.53
-120350,122300,-8.15,-1.59
-120950,122900,-7.96,-2.25
-121550,123500,-8.3,-1.89
-122250,124200,-8.24,-2.18
-122850,124800,-8.34,-2.15
-123550,125500,-8.29,-2.18
-124150,126100,-8.29,-1.98
-124750,126700,-8.25,-1.86
-125450,127400,-7.85,-3.8
-126050,128000,-7.64,-3.86
-126050,128000,-7.21,-4.87
-126110,128060,-7.55,-4.67
-126180,128130,-7.19,-7.12
-126240,128190,-6.23,-11.23
-126300,128250,-6.41,-12.05
-126360,128310,-6.24,-12.39
-126430,128380,-5.67,-12.34
-126490,128440,-5.86,-12.51
-126550,128500,-5.7,-12.46
-126610,128560,-5.3,-11.05
-126680,128630,-5.2,-11.48
-126740,128690,-5.36,-11.4
-126800,128750,-5.43,-11.54
-126860,128810,-5.65,-12.25
-126930,128880,-5.44,-12.18
-127050,129000,-5.69,-12.4
-127530,129480,-5.77,-12.51
-127950,129900,-5.66,-13.05
-128350,130300,-5.41,-12.27
-128800,130750,-5.4,-12.65
-129220,131170,-5.6,-12.56
-129640,131590,-5.44,-12.31
-130050,132000,-5.15,-11.98
-130450,132400,-4.77,-12.02
-130920,132870,-5.57,-12.64
-131340,133290,-5.23,-12.48
-131760,133710,-5.5,-12.68
-132180,134130,-5.3,-12.55
-132610,134560,-5.01,-11.86
-132620,134570,-4.8,-10.36
-132650,134600,-4.75,-10.78
-132800,134750,-4.79,-10.52
-132950,134900,-5.36,-11.31
-133100,135050,-4.6,-10.66
-133250,135200,-4.39,-10.57
-133400,135350,-3.79,-10.2
-133550,135500,-3.74,-10.33
-133700,135650,-3.65,-10.76
-133850,135800,-3.18,-10.13
-134000,135950,-3.54,-11.01
-134150,136100,-3.28,-10.69
-134300,136250,-3.29,-10.6
-134450,136400,-3.39,-10.82
-134600,136550,-3.52,-10.97
-134750,136700,-3.18,-10.75
-134900,136850,-3.24,-11.05
-135050,137000,-3.51,-11.27
-135200,137150,-3.57,-10.88
-135350,137300,-3.75,-11.55
-135500,137450,-3.58,-11.44
-135650,137600,-3.59,-11.48
-135800,137750,-3.72,-11.54
-135950,137900,-3.67,-11.48
-136100,138050,-3.51,-11.25
-136250,138200,-3.78,-11.27
-136400,138350,-3.9,-11.31
-136550,138500,-3.27,-10.6
-136700,138650,-3.39,-10.45
-136850,138800,-3.3,-10.41
-137000,138950,-3.16,-10.66
-137150,139100,-3.52,-10.76
-137300,139250,-3.39,-10.77
-137450,139400,-3.38,-10.99
-137600,139550,-3.15,-10.94
-137750,139700,-3.39,-10.44
-137900,139850,-3.26,-10.36
-138050,140000,-2.97,-10.62
-138200,140150,-2.91,-10.74
-138350,140300,-3.67,-10.98
-138500,140450,-3.55,-10.04
-138650,140600,-3.31,-10.36
-138750,140700,-3.09,-10.47
-138850,140800,-3.4,-10.77
-138950,140900,-3.29,-10.5
-139050,141000,-3.46,-10.35
-139150,141100,-3.43,-10
-139250,141200,-3.2,-10.12
-139350,141300,-3.13,-10.24
-139450,141400,-3.21,-10.8
-139550,141500,-3.21,-11.06
-139650,141600,-3.24,-10.91
-139750,141700,-3.24,-10.91
-139850,141800,-3.58,-11.31
-139950,141900,-3.46,-11.45
-140050,142000,-3.4,-11.11
-140150,142100,-3.31,-10.55
-140250,142200,-3.41,-11
-140350,142300,-3.55,-11.23
-140450,142400,-3.47,-11.01
-140550,142500,-3.52,-10.58
-140650,142600,-3.75,-10.62
-140750,142700,-3.77,-10.68
-140850,142800,-3.9,-10.52
-140950,142900,-4.05,-10.76
-141050,143000,-4.07,-10.51
-141150,143100,-4.01,-10.57
-141250,143200,-4.17,-10.5
-141350,143300,-4.14,-10.52
-141450,143400,-3.99,-10.8
-141550,143500,-4.04,-10.98
-141650,143600,-4.14,-10.92
-141750,143700,-4.38,-10.86
-141850,143800,-4.41,-10.96
-141950,143900,-4.29,-10.58
-142050,144000,-4.78,-10.68
-142150,144100,-5.15,-10.78
-142250,144200,-4.82,-10.76
-142350,144300,-4.89,-10.22
-142450,144400,-4.86,-10.77
-142550,144500,-4.8,-10.86
-142650,144600,-5.01,-10.98
-142750,144700,-5.07,-10.89
-142950,144900,-5.11,-10.92
-143050,145000,-4.88,-10.91
-143250,145200,-4.71,NA
-143550,145500,-4.38,-10.18
-143700,145650,-4.42,-10.82
-143850,145800,-4.12,-10.62
-143980,145930,-4.22,-10.51
-144150,146100,-4.29,-9.98
-144280,146230,-4.41,-9.93
-144430,146380,-4.47,-9.92
-144550,146500,-4.63,-9.84
-144720,146670,-4.25,NA
-144870,146820,-4.46,-10.03
-145020,146970,-4.32,-9.97
-145170,147120,-4.69,-10.13
-145310,147260,-4.44,-9.99
-145470,147420,-4.51,-10.26
-145610,147560,-4.93,-10.34
-145760,147710,-4.74,-10.74
-145910,147860,-4.84,-11
-146050,148000,-4.47,-9.92
-146200,148150,-4.61,-10.33
-146350,148300,-4.73,-10.53
-146500,148450,-5.16,-10.88
-146650,148600,-5.06,-10.84
-146800,148750,-5.05,-10.78
-146950,148900,-5.15,-10.89
-147100,149050,-4.94,-10.66
-147250,149200,-5.29,-11.13
-147400,149350,-5.34,-10.45
-147550,149500,-5.47,-11.38
-147680,149630,-5.26,-11.93
-147830,149780,-4.88,-11.96
-147980,149930,-4.57,-11.53
-148130,150080,-4.35,-11.53
-148270,150220,-4.61,-11.94
-148420,150370,-4.34,-11.7
-148570,150520,-4.56,-11.72
-148720,150670,-5.19,-11.85
-148870,150820,-4.38,-11.97
-149010,150960,-5.32,-11.21
-149160,151110,-5.54,-11.52
-149310,151260,-5.36,-11.65
-149460,151410,-5.5,-11.7
-149610,151560,-5.81,-11.74
-149750,151700,-5.94,-12.11
-149900,151850,-5.62,-11.79
-150050,152000,-5.93,-11.74
-150450,152400,-6.15,-11.91
-150850,152800,-5.87,-11.47
-151250,153200,-5.77,-11.71
-151650,153600,-5.49,-11.74
-152050,154000,-5.55,-11.78
-152450,154400,-5.79,-11.9
-152850,154800,-5.49,-11.87
-153250,155200,-5.55,-11.58
-153650,155600,-4.09,-11.47
-154050,156000,-3.48,-11.68
-154450,156400,-3.12,-10.96
-154850,156800,-2.93,-10.93
-155250,157200,-3.07,-11.16
-155650,157600,-3.1,-11.18
-156050,158000,-3.24,-11.19
-156450,158400,-3.22,-11.27
-156850,158800,-3.1,-11.28
-157250,159200,-3.13,-11.34
-157550,159500,-3.16,-11.35
-157950,159900,-3.29,-11.09
-158350,160300,-3.63,-11.55
-158750,160700,-3.1,-11.3
-159150,161100,-3.46,-11.71
-159550,161500,-3.07,-11.02
-159950,161900,-3.15,-11.32
-160350,162300,-3.05,-11.51
-160750,162700,-3.2,-11.31
-161150,163100,-3.36,-12.07
-161550,163500,-4.22,-12.65
-161950,163900,-3.9,-12.76
-162350,164300,-3.93,-11.12
-162750,164700,-3.82,-12.01
-163150,165100,-4.31,-12.17
-163550,165500,-3.69,-11.84
-164050,166000,-3.76,-11.8
-164700,166650,-3.78,-11.53
-165050,167000,-3.96,-11.8
-166050,168000,-3.42,-11.58
-167150,169100,-3.77,-11.48
-168050,170000,-3.9,-11.21
-168550,170500,-3.69,-11.46
-169050,171000,-3.65,-11.3
-169550,171500,-3.49,-11.28
-170050,172000,-3.43,-11.3
-170550,172500,-3.27,-11.13
-171050,173000,-3.23,-11.35
-172050,174000,-3.32,-11.31
-173050,175000,-3.16,-11.25
-174050,176000,-3.57,-10.74
-174550,176500,-4.11,-10.86
-175050,177000,-4.07,-10.96
-175550,177500,-5.48,-11.11
-176050,178000,-5.72,-10.92
-176350,178300,-5.71,-11.38
-176550,178500,-5.56,-10.92
-177050,179000,-5.52,-11.04
-177550,179500,-5.49,-11.08
-178050,180000,-5.46,-11.01
-178550,180500,-5.37,-11.64
-178750,180700,-4.98,-11.24
-178950,180900,-4.04,-11.24
-179150,181100,-4.03,-11.21
-179450,181400,-4.42,-10.62
-179650,181600,-3.55,-10.72
-180050,182000,-3.38,-11.23
-182050,184000,-3.04,-10.95
