year (AD) [1-1],age (BP) [1-1],red_color_intensity_units (missing) [1-1],year (AD) [2-1],age (BP) [2-1],ENSO_events (missing) [2-1]
1060.32,889.68,203,NA,NA,NA
1060.2,889.8,212,NA,NA,NA
1060.1,889.9,216,NA,NA,NA
1059.98,890.02,213,NA,NA,NA
1059.85,890.15,203,NA,NA,NA
1059.71,890.29,193,NA,NA,NA
1059.56,890.44,190,NA,NA,NA
1059.41,890.59,190,NA,NA,NA
1059.24,890.76,179,NA,NA,NA
1059.05,890.95,171,NA,NA,NA
1058.85,891.15,163,NA,NA,NA
1058.62,891.38,156,NA,NA,NA
1058.38,891.62,152,NA,NA,NA
1058.17,891.83,160,NA,NA,NA
1058.01,891.99,183,NA,NA,NA
1057.82,892.18,173,NA,NA,NA
1057.53,892.47,133,NA,NA,NA
1057.31,892.69,157,NA,NA,NA
1057.13,892.87,178,NA,NA,NA
1056.89,893.11,149,NA,NA,NA
1056.5,893.5,111,NA,NA,NA
1056.15,893.85,118,NA,NA,NA
1055.79,894.21,117,NA,NA,NA
1055.41,894.59,111,NA,NA,NA
1055.05,894.95,118,NA,NA,NA
1054.74,895.26,128,NA,NA,NA
1054.47,895.53,143,NA,NA,NA
1054.21,895.79,144,NA,NA,NA
1053.94,896.06,140,NA,NA,NA
1053.72,896.28,156,NA,NA,NA
1053.49,896.51,155,NA,NA,NA
1053.28,896.72,162,NA,NA,NA
1053.12,896.88,185,NA,NA,NA
1053.03,896.97,231,NA,NA,NA
1052.93,897.07,225,NA,NA,NA
1052.82,897.18,215,NA,NA,NA
1052.71,897.29,214,NA,NA,NA
1052.6,897.4,213,NA,NA,NA
1052.48,897.52,211,NA,NA,NA
1052.28,897.72,165,NA,NA,NA
1051.87,898.13,106,NA,NA,NA
1051.31,898.69,80,NA,NA,NA
1050.67,899.33,69,NA,NA,NA
1050.04,899.96,70,NA,NA,NA
1049.44,900.56,74,NA,NA,NA
1048.91,901.09,84,NA,NA,NA
1048.4,901.6,87,NA,NA,NA
1047.93,902.07,96,NA,NA,NA
1047.62,902.38,128,NA,NA,NA
1047.37,902.63,147,NA,NA,NA
1047.24,902.76,199,NA,NA,NA
1047.1,902.9,200,NA,NA,NA
1046.97,903.03,197,NA,NA,NA
1046.82,903.18,192,NA,NA,NA
1046.68,903.32,193,NA,NA,NA
1046.5,903.5,177,NA,NA,NA
1046.3,903.7,165,NA,NA,NA
1046.06,903.94,152,NA,NA,NA
1045.8,904.2,142,NA,NA,NA
1045.42,904.58,112,NA,NA,NA
1044.99,905.01,102,NA,NA,NA
1044.53,905.47,96,NA,NA,NA
1044.09,905.91,101,NA,NA,NA
1043.65,906.35,99,NA,NA,NA
1043.2,906.8,98,NA,NA,NA
1042.81,907.19,111,NA,NA,NA
1042.51,907.49,131,NA,NA,NA
1042.26,907.74,148,NA,NA,NA
1042.03,907.97,154,NA,NA,NA
1041.85,908.15,173,NA,NA,NA
1041.69,908.31,184,NA,NA,NA
1041.57,908.43,209,NA,NA,NA
1041.43,908.57,200,NA,NA,NA
1041.25,908.75,174,NA,NA,NA
1040.98,909.02,140,NA,NA,NA
1040.59,909.41,111,NA,NA,NA
1040.24,909.76,117,NA,NA,NA
1039.94,910.06,133,NA,NA,NA
1039.61,910.39,125,NA,NA,NA
1039.3,910.7,127,NA,NA,NA
1039.12,910.88,175,NA,NA,NA
1038.96,911.04,188,NA,NA,NA
1038.74,911.26,158,NA,NA,NA
1038.5,911.5,150,NA,NA,NA
1038.1,911.9,108,NA,NA,NA
1037.68,912.32,104,NA,NA,NA
1037.43,912.57,145,NA,NA,NA
1037.25,912.75,177,NA,NA,NA
1037.02,912.98,153,NA,NA,NA
1036.83,913.17,169,NA,NA,NA
1036.65,913.35,174,NA,NA,NA
1036.42,913.58,156,NA,NA,NA
1036.32,913.68,218,NA,NA,NA
1036.21,913.79,219,NA,NA,NA
1036.08,913.92,202,NA,NA,NA
1035.79,914.21,135,NA,NA,NA
1035.41,914.59,112,NA,NA,NA
1035.04,914.96,115,NA,NA,NA
1034.68,915.32,115,NA,NA,NA
1034.34,915.66,123,NA,NA,NA
1034.04,915.96,131,NA,NA,NA
1033.77,916.23,140,NA,NA,NA
1033.53,916.47,153,NA,NA,NA
1033.42,916.58,213,NA,NA,NA
1033.34,916.66,240,NA,NA,NA
1033.24,916.76,227,NA,NA,NA
1033.13,916.87,211,NA,NA,NA
1032.99,917.01,199,NA,NA,NA
1032.82,917.18,181,NA,NA,NA
1032.6,917.4,158,NA,NA,NA
1032.35,917.65,145,NA,NA,NA
1032.02,917.98,124,NA,NA,NA
1031.56,918.44,97,NA,NA,NA
1031.12,918.88,100,NA,NA,NA
1030.75,919.25,113,NA,NA,NA
1030.38,919.62,114,NA,NA,NA
1030.01,919.99,116,NA,NA,NA
1029.69,920.31,125,NA,NA,NA
1029.42,920.58,142,NA,NA,NA
1029.21,920.79,160,NA,NA,NA
1029.06,920.94,189,NA,NA,NA
1028.96,921.04,226,NA,NA,NA
1028.86,921.14,225,NA,NA,NA
1028.76,921.24,224,NA,NA,NA
1028.65,921.35,212,NA,NA,NA
1028.5,921.5,194,NA,NA,NA
1028.29,921.71,160,NA,NA,NA
1027.96,922.04,125,NA,NA,NA
1027.5,922.5,95,NA,NA,NA
1026.96,923.04,83,NA,NA,NA
1026.46,923.54,89,NA,NA,NA
1025.99,924.01,96,NA,NA,NA
1025.56,924.44,101,NA,NA,NA
1025.18,924.82,113,NA,NA,NA
1024.8,925.2,111,NA,NA,NA
1024.38,925.62,105,NA,NA,NA
1023.97,926.03,105,NA,NA,NA
1023.54,926.46,102,NA,NA,NA
1023.15,926.85,109,NA,NA,NA
1022.79,927.21,117,NA,NA,NA
1022.48,927.52,131,NA,NA,NA
1022.22,927.78,143,NA,NA,NA
1022.01,927.99,162,NA,NA,NA
1021.82,928.18,168,NA,NA,NA
1021.69,928.31,203,NA,NA,NA
1021.57,928.43,211,NA,NA,NA
1021.45,928.55,209,NA,NA,NA
1021.33,928.67,205,NA,NA,NA
1021.11,928.89,157,NA,NA,NA
1020.8,929.2,130,NA,NA,NA
1020.44,929.56,116,NA,NA,NA
1020.07,929.93,116,NA,NA,NA
1019.86,930.14,159,NA,NA,NA
1019.65,930.35,164,NA,NA,NA
1019.42,930.58,152,NA,NA,NA
1019.14,930.86,140,NA,NA,NA
1018.82,931.18,125,NA,NA,NA
1018.38,931.62,101,NA,NA,NA
1017.96,932.04,103,NA,NA,NA
1017.71,932.29,147,NA,NA,NA
1017.52,932.48,171,NA,NA,NA
1017.33,932.67,169,NA,NA,NA
1017.1,932.9,153,NA,NA,NA
1016.84,933.16,144,NA,NA,NA
1016.36,933.64,93,NA,NA,NA
1015.81,934.19,81,NA,NA,NA
1015.25,934.75,80,NA,NA,NA
1014.7,935.3,81,NA,NA,NA
1014.18,935.82,86,NA,NA,NA
1013.65,936.35,85,NA,NA,NA
1013.16,936.84,91,NA,NA,NA
1012.7,937.3,97,NA,NA,NA
1012.25,937.75,98,NA,NA,NA
1011.84,938.16,105,NA,NA,NA
1011.43,938.57,106,NA,NA,NA
1011.13,938.87,132,NA,NA,NA
1010.89,939.11,150,NA,NA,NA
1010.75,939.25,196,NA,NA,NA
1010.64,939.36,217,NA,NA,NA
1010.53,939.47,211,NA,NA,NA
1010.44,939.56,236,NA,NA,NA
1010.36,939.64,244,NA,NA,NA
1010.28,939.72,242,NA,NA,NA
1010.2,939.8,237,NA,NA,NA
1010.1,939.9,226,NA,NA,NA
1009.99,940.01,220,NA,NA,NA
1009.88,940.12,210,NA,NA,NA
1009.74,940.26,199,NA,NA,NA
1009.58,940.42,184,NA,NA,NA
1009.35,940.65,154,NA,NA,NA
1009.09,940.91,143,NA,NA,NA
1008.64,941.36,98,NA,NA,NA
1008.07,941.93,78,NA,NA,NA
1007.49,942.51,77,NA,NA,NA
1006.97,943.03,87,NA,NA,NA
1006.52,943.48,98,NA,NA,NA
1006.17,943.83,118,NA,NA,NA
1005.89,944.11,138,NA,NA,NA
1005.69,944.31,164,NA,NA,NA
1005.52,944.48,179,NA,NA,NA
1005.32,944.68,166,NA,NA,NA
1005.05,944.95,141,NA,NA,NA
1004.6,945.4,99,NA,NA,NA
1004.08,945.92,85,NA,NA,NA
1003.53,946.47,82,NA,NA,NA
1003.03,946.97,89,NA,NA,NA
1002.56,947.44,95,NA,NA,NA
1002.19,947.81,114,NA,NA,NA
1001.89,948.11,133,NA,NA,NA
1001.67,948.33,156,NA,NA,NA
1001.41,948.59,145,NA,NA,NA
1001.12,948.88,135,NA,NA,NA
1000.73,949.27,110,NA,NA,NA
1000.29,949.71,99,NA,NA,NA
999.87,950.13,105,NA,NA,NA
999.52,950.48,117,NA,NA,NA
999.32,950.68,166,NA,NA,NA
999.16,950.84,186,NA,NA,NA
998.98,951.02,174,NA,NA,NA
998.79,951.21,169,NA,NA,NA
998.54,951.46,149,NA,NA,NA
998.12,951.88,103,NA,NA,NA
997.63,952.37,91,NA,NA,NA
997.11,952.89,86,NA,NA,NA
996.67,953.33,101,NA,NA,NA
996.33,953.67,121,NA,NA,NA
996.1,953.9,155,NA,NA,NA
995.84,954.16,144,NA,NA,NA
995.48,954.52,116,NA,NA,NA
995.13,954.87,119,NA,NA,NA
994.92,955.08,163,NA,NA,NA
994.68,955.32,148,NA,NA,NA
994.41,955.59,142,NA,NA,NA
994.15,955.85,142,NA,NA,NA
993.79,956.21,118,NA,NA,NA
993.43,956.57,117,NA,NA,NA
993.16,956.84,140,NA,NA,NA
993.02,956.98,196,NA,NA,NA
992.87,957.13,190,NA,NA,NA
992.72,957.28,188,NA,NA,NA
992.57,957.43,189,NA,NA,NA
992.42,957.58,189,NA,NA,NA
992.27,957.73,190,NA,NA,NA
992.03,957.97,151,NA,NA,NA
991.63,958.37,108,NA,NA,NA
991.17,958.83,96,NA,NA,NA
990.59,959.41,78,NA,NA,NA
990.03,959.97,79,NA,NA,NA
989.46,960.54,79,NA,NA,NA
988.89,961.11,78,NA,NA,NA
988.33,961.67,79,NA,NA,NA
987.77,962.23,80,NA,NA,NA
987.23,962.77,83,NA,NA,NA
986.71,963.29,87,NA,NA,NA
986.25,963.75,96,NA,NA,NA
985.86,964.14,109,NA,NA,NA
985.44,964.56,104,NA,NA,NA
985,965,101,NA,NA,NA
984.63,965.37,114,NA,NA,NA
984.4,965.6,153,NA,NA,NA
984.23,965.77,178,NA,NA,NA
984.05,965.95,177,NA,NA,NA
983.81,966.19,148,NA,NA,NA
983.47,966.53,123,NA,NA,NA
982.97,967.03,89,NA,NA,NA
982.42,967.58,82,NA,NA,NA
981.88,968.12,82,NA,NA,NA
981.29,968.71,76,NA,NA,NA
980.75,969.25,83,NA,NA,NA
980.21,969.79,82,NA,NA,NA
979.66,970.34,81,NA,NA,NA
979.12,970.88,83,NA,NA,NA
978.6,971.4,87,NA,NA,NA
978.1,971.9,88,NA,NA,NA
977.65,972.35,98,NA,NA,NA
977.26,972.74,112,NA,NA,NA
976.84,973.16,102,NA,NA,NA
976.35,973.65,91,NA,NA,NA
975.88,974.12,96,NA,NA,NA
975.43,974.57,98,NA,NA,NA
974.98,975.02,98,NA,NA,NA
974.52,975.48,96,NA,NA,NA
974.08,975.92,99,NA,NA,NA
973.66,976.34,104,NA,NA,NA
973.29,976.71,115,NA,NA,NA
973.01,976.99,138,NA,NA,NA
972.82,977.18,168,NA,NA,NA
972.54,977.46,137,NA,NA,NA
972.21,977.79,126,NA,NA,NA
971.88,978.12,122,NA,NA,NA
971.62,978.38,147,NA,NA,NA
971.34,978.66,135,NA,NA,NA
971.17,978.83,183,NA,NA,NA
971,979,179,NA,NA,NA
970.69,979.31,129,NA,NA,NA
970.21,979.79,92,NA,NA,NA
969.71,980.29,90,NA,NA,NA
969.24,980.76,94,NA,NA,NA
968.82,981.18,104,NA,NA,NA
968.36,981.64,96,NA,NA,NA
967.86,982.14,90,NA,NA,NA
967.37,982.63,90,NA,NA,NA
966.88,983.12,92,NA,NA,NA
966.44,983.56,99,NA,NA,NA
966.01,983.99,102,NA,NA,NA
965.61,984.39,107,NA,NA,NA
965.23,984.77,112,NA,NA,NA
964.84,985.16,110,NA,NA,NA
964.41,985.59,102,NA,NA,NA
963.92,986.08,91,NA,NA,NA
963.38,986.62,83,NA,NA,NA
962.83,987.17,81,NA,NA,NA
962.28,987.72,82,NA,NA,NA
961.8,988.2,92,NA,NA,NA
961.38,988.62,104,NA,NA,NA
961.04,988.96,122,NA,NA,NA
960.66,989.34,113,NA,NA,NA
960.18,989.82,93,NA,NA,NA
959.72,990.28,95,NA,NA,NA
959.23,990.77,92,NA,NA,NA
958.74,991.26,91,NA,NA,NA
958.16,991.84,77,NA,NA,NA
957.6,992.4,79,NA,NA,NA
957.01,992.99,75,NA,NA,NA
956.44,993.56,79,NA,NA,NA
955.88,994.12,80,NA,NA,NA
955.32,994.68,80,NA,NA,NA
954.78,995.22,82,NA,NA,NA
954.22,995.78,80,NA,NA,NA
953.63,996.37,76,NA,NA,NA
953.04,996.96,75,NA,NA,NA
952.47,997.53,79,NA,NA,NA
951.97,998.03,88,NA,NA,NA
951.53,998.47,101,NA,NA,NA
951.09,998.91,99,NA,NA,NA
950.65,999.35,101,NA,NA,NA
950.24,999.76,105,NA,NA,NA
949.82,1000.18,105,NA,NA,NA
949.41,1000.59,104,NA,NA,NA
948.98,1001.02,103,NA,NA,NA
948.5,1001.5,93,NA,NA,NA
948,1002,89,NA,NA,NA
947.49,1002.51,88,NA,NA,NA
946.99,1003.01,88,NA,NA,NA
946.45,1003.55,84,NA,NA,NA
945.91,1004.09,83,NA,NA,NA
945.37,1004.63,82,NA,NA,NA
944.8,1005.2,79,NA,NA,NA
944.27,1005.73,84,NA,NA,NA
943.75,1006.25,86,NA,NA,NA
943.24,1006.76,87,NA,NA,NA
942.72,1007.28,87,NA,NA,NA
942.21,1007.79,87,NA,NA,NA
941.7,1008.3,87,NA,NA,NA
941.13,1008.87,79,NA,NA,NA
940.54,1009.46,76,NA,NA,NA
939.96,1010.04,76,NA,NA,NA
939.36,1010.64,74,NA,NA,NA
938.73,1011.27,71,NA,NA,NA
938.07,1011.93,66,NA,NA,NA
937.45,1012.55,71,NA,NA,NA
936.83,1013.17,71,NA,NA,NA
936.21,1013.79,71,NA,NA,NA
935.58,1014.42,71,NA,NA,NA
934.97,1015.03,72,NA,NA,NA
934.36,1015.64,73,NA,NA,NA
933.74,1016.26,71,NA,NA,NA
933.15,1016.85,76,NA,NA,NA
932.57,1017.43,77,NA,NA,NA
932,1018,78,NA,NA,NA
931.42,1018.58,77,NA,NA,NA
930.83,1019.17,75,NA,NA,NA
930.24,1019.76,76,NA,NA,NA
929.68,1020.32,80,NA,NA,NA
929.15,1020.85,84,NA,NA,NA
928.69,1021.31,96,NA,NA,NA
928.25,1021.75,99,NA,NA,NA
927.87,1022.13,112,NA,NA,NA
927.52,1022.48,121,NA,NA,NA
927.06,1022.94,95,NA,NA,NA
926.54,1023.46,86,NA,NA,NA
926.06,1023.94,93,NA,NA,NA
925.6,1024.4,97,NA,NA,NA
925.19,1024.81,105,NA,NA,NA
924.81,1025.19,112,NA,NA,NA
924.5,1025.5,129,NA,NA,NA
924.19,1025.81,130,NA,NA,NA
923.89,1026.11,132,NA,NA,NA
923.62,1026.38,140,NA,NA,NA
923.34,1026.66,138,NA,NA,NA
923.01,1026.99,124,NA,NA,NA
922.76,1027.24,148,NA,NA,NA
922.51,1027.49,147,NA,NA,NA
922.17,1027.83,122,NA,NA,NA
921.74,1028.26,101,NA,NA,NA
921.21,1028.79,84,NA,NA,NA
920.67,1029.33,84,NA,NA,NA
920.19,1029.81,92,NA,NA,NA
919.72,1030.28,94,NA,NA,NA
919.23,1030.77,92,NA,NA,NA
918.72,1031.28,87,NA,NA,NA
918.19,1031.81,85,NA,NA,NA
917.64,1032.36,81,NA,NA,NA
917.12,1032.88,86,NA,NA,NA
916.65,1033.35,94,NA,NA,NA
916.2,1033.8,99,NA,NA,NA
915.76,1034.24,99,NA,NA,NA
915.29,1034.71,94,NA,NA,NA
914.79,1035.21,90,NA,NA,NA
914.31,1035.69,93,NA,NA,NA
913.85,1036.15,95,NA,NA,NA
913.37,1036.63,94,NA,NA,NA
912.9,1037.1,93,NA,NA,NA
912.41,1037.59,92,NA,NA,NA
911.93,1038.07,93,NA,NA,NA
911.46,1038.54,93,NA,NA,NA
910.98,1039.02,94,NA,NA,NA
910.51,1039.49,93,NA,NA,NA
910.01,1039.99,90,NA,NA,NA
909.47,1040.53,83,NA,NA,NA
908.92,1041.08,81,NA,NA,NA
908.42,1041.58,89,NA,NA,NA
908.05,1041.95,115,NA,NA,NA
907.83,1042.17,158,NA,NA,NA
907.4,1042.6,102,NA,NA,NA
906.93,1043.07,94,NA,NA,NA
906.43,1043.57,89,NA,NA,NA
905.93,1044.07,90,NA,NA,NA
905.48,1044.52,97,NA,NA,NA
905.04,1044.96,100,NA,NA,NA
904.66,1045.34,113,NA,NA,NA
904.36,1045.64,132,NA,NA,NA
904.07,1045.93,135,NA,NA,NA
903.74,1046.26,123,NA,NA,NA
903.35,1046.65,110,NA,NA,NA
902.88,1047.12,95,NA,NA,NA
902.38,1047.62,90,NA,NA,NA
901.93,1048.07,97,NA,NA,NA
901.46,1048.54,95,NA,NA,NA
901.02,1048.98,100,NA,NA,NA
900.63,1049.37,109,NA,NA,NA
900.25,1049.75,113,NA,NA,NA
899.89,1050.11,116,NA,NA,NA
899.5,1050.5,110,NA,NA,NA
899.11,1050.89,110,NA,NA,NA
898.67,1051.33,100,NA,NA,NA
898.22,1051.78,99,NA,NA,NA
897.78,1052.22,100,NA,NA,NA
897.35,1052.65,101,NA,NA,NA
896.95,1053.05,109,NA,NA,NA
896.63,1053.37,124,NA,NA,NA
896.38,1053.62,149,NA,NA,NA
896.23,1053.77,189,NA,NA,NA
896.01,1053.99,158,NA,NA,NA
895.72,1054.28,135,NA,NA,NA
895.45,1054.55,142,NA,NA,NA
895.3,1054.7,189,NA,NA,NA
895.22,1054.78,235,NA,NA,NA
895.12,1054.88,225,NA,NA,NA
895.01,1054.99,215,NA,NA,NA
894.83,1055.17,176,NA,NA,NA
894.53,1055.47,132,NA,NA,NA
894.11,1055.89,104,NA,NA,NA
893.59,1056.41,86,NA,NA,NA
893.03,1056.97,80,NA,NA,NA
892.51,1057.49,86,NA,NA,NA
892,1058,87,NA,NA,NA
891.44,1058.56,80,NA,NA,NA
890.86,1059.14,77,NA,NA,NA
890.27,1059.73,75,NA,NA,NA
889.7,1060.3,79,NA,NA,NA
889.12,1060.88,76,NA,NA,NA
888.53,1061.47,76,NA,NA,NA
887.95,1062.05,77,NA,NA,NA
887.38,1062.62,78,NA,NA,NA
886.79,1063.21,76,NA,NA,NA
886.21,1063.79,77,NA,NA,NA
885.63,1064.37,76,NA,NA,NA
885.03,1064.97,75,NA,NA,NA
884.43,1065.57,74,NA,NA,NA
883.83,1066.17,74,NA,NA,NA
883.23,1066.77,74,NA,NA,NA
882.65,1067.35,76,NA,NA,NA
882.07,1067.93,77,NA,NA,NA
881.49,1068.51,77,NA,NA,NA
880.89,1069.11,74,NA,NA,NA
880.29,1069.71,75,NA,NA,NA
879.72,1070.28,77,NA,NA,NA
879.13,1070.87,76,NA,NA,NA
878.58,1071.42,82,NA,NA,NA
878.07,1071.93,87,NA,NA,NA
877.58,1072.42,91,NA,NA,NA
877.04,1072.96,83,NA,NA,NA
876.39,1073.61,67,NA,NA,NA
875.74,1074.26,68,NA,NA,NA
875.11,1074.89,70,NA,NA,NA
874.51,1075.49,74,NA,NA,NA
873.95,1076.05,79,NA,NA,NA
873.4,1076.6,82,NA,NA,NA
872.86,1077.14,82,NA,NA,NA
872.33,1077.67,85,NA,NA,NA
871.83,1078.17,89,NA,NA,NA
871.28,1078.72,81,NA,NA,NA
870.67,1079.33,73,NA,NA,NA
870.03,1079.97,69,NA,NA,NA
869.37,1080.63,66,NA,NA,NA
868.69,1081.31,63,NA,NA,NA
867.96,1082.04,58,NA,NA,NA
867.23,1082.77,58,NA,NA,NA
866.53,1083.47,61,NA,NA,NA
865.8,1084.2,58,NA,NA,NA
865.09,1084.91,60,NA,NA,NA
864.43,1085.57,66,NA,NA,NA
863.75,1086.25,63,NA,NA,NA
863.01,1086.99,57,NA,NA,NA
862.29,1087.71,59,NA,NA,NA
861.62,1088.38,64,NA,NA,NA
860.97,1089.03,68,NA,NA,NA
860.34,1089.66,70,NA,NA,NA
859.73,1090.27,72,NA,NA,NA
859.12,1090.88,74,NA,NA,NA
858.55,1091.45,77,NA,NA,NA
857.97,1092.03,78,NA,NA,NA
857.41,1092.59,79,NA,NA,NA
856.84,1093.16,78,NA,NA,NA
856.25,1093.75,76,NA,NA,NA
855.68,1094.32,78,NA,NA,NA
855.11,1094.89,79,NA,NA,NA
854.55,1095.45,79,NA,NA,NA
853.99,1096.01,80,NA,NA,NA
853.43,1096.57,80,NA,NA,NA
852.86,1097.14,78,NA,NA,NA
852.23,1097.77,71,NA,NA,NA
851.57,1098.43,66,NA,NA,NA
850.9,1099.1,65,NA,NA,NA
850.24,1099.76,66,NA,NA,NA
849.59,1100.41,67,NA,NA,NA
848.94,1101.06,67,NA,NA,NA
848.28,1101.72,67,NA,NA,NA
847.6,1102.4,63,NA,NA,NA
846.95,1103.05,68,NA,NA,NA
846.32,1103.68,70,NA,NA,NA
845.7,1104.3,71,NA,NA,NA
845.11,1104.89,75,NA,NA,NA
844.55,1105.45,80,NA,NA,NA
844.02,1105.98,84,NA,NA,NA
843.57,1106.43,98,NA,NA,NA
843.14,1106.86,103,NA,NA,NA
842.71,1107.29,101,NA,NA,NA
842.28,1107.72,103,NA,NA,NA
841.8,1108.2,91,NA,NA,NA
841.21,1108.79,76,NA,NA,NA
840.55,1109.45,66,NA,NA,NA
839.85,1110.15,61,NA,NA,NA
839.15,1110.85,62,NA,NA,NA
838.4,1111.6,55,NA,NA,NA
837.63,1112.37,53,NA,NA,NA
836.85,1113.15,52,NA,NA,NA
836.06,1113.94,52,NA,NA,NA
835.27,1114.73,51,NA,NA,NA
834.51,1115.49,54,NA,NA,NA
833.77,1116.23,57,NA,NA,NA
833.06,1116.94,59,NA,NA,NA
832.36,1117.64,62,NA,NA,NA
831.66,1118.34,61,NA,NA,NA
830.98,1119.02,64,NA,NA,NA
830.32,1119.68,65,NA,NA,NA
829.66,1120.34,67,NA,NA,NA
828.99,1121.01,65,NA,NA,NA
828.35,1121.65,68,NA,NA,NA
827.73,1122.27,72,NA,NA,NA
827.13,1122.87,73,NA,NA,NA
826.52,1123.48,73,NA,NA,NA
825.88,1124.12,69,NA,NA,NA
825.24,1124.76,69,NA,NA,NA
824.59,1125.41,67,NA,NA,NA
823.92,1126.08,65,NA,NA,NA
823.25,1126.75,64,NA,NA,NA
822.58,1127.42,65,NA,NA,NA
821.89,1128.11,63,NA,NA,NA
821.19,1128.81,61,NA,NA,NA
820.47,1129.53,59,NA,NA,NA
819.78,1130.22,62,NA,NA,NA
819.13,1130.87,67,NA,NA,NA
818.48,1131.52,68,NA,NA,NA
817.82,1132.18,66,NA,NA,NA
817.17,1132.83,67,NA,NA,NA
816.53,1133.47,69,NA,NA,NA
815.89,1134.11,69,NA,NA,NA
815.25,1134.75,69,NA,NA,NA
814.59,1135.41,65,NA,NA,NA
813.9,1136.1,63,NA,NA,NA
813.24,1136.76,66,NA,NA,NA
812.57,1137.43,65,NA,NA,NA
811.87,1138.13,61,NA,NA,NA
811.17,1138.83,61,NA,NA,NA
810.47,1139.53,62,NA,NA,NA
809.81,1140.19,65,NA,NA,NA
809.17,1140.83,69,NA,NA,NA
808.56,1141.44,73,NA,NA,NA
807.98,1142.02,77,NA,NA,NA
807.4,1142.6,77,NA,NA,NA
806.82,1143.18,76,NA,NA,NA
806.19,1143.81,71,NA,NA,NA
805.52,1144.48,64,NA,NA,NA
804.84,1145.16,64,NA,NA,NA
804.13,1145.87,60,NA,NA,NA
803.44,1146.56,63,NA,NA,NA
802.78,1147.22,66,NA,NA,NA
802.15,1147.85,70,NA,NA,NA
801.57,1148.43,76,NA,NA,NA
801.04,1148.96,85,NA,NA,NA
800.53,1149.47,88,NA,NA,NA
799.93,1150.07,74,NA,NA,NA
799.31,1150.69,71,NA,NA,NA
798.65,1151.35,66,NA,NA,NA
797.97,1152.03,64,NA,NA,NA
797.3,1152.7,64,NA,NA,NA
796.63,1153.37,65,NA,NA,NA
795.97,1154.03,66,NA,NA,NA
795.31,1154.69,67,NA,NA,NA
794.7,1155.3,72,NA,NA,NA
794.11,1155.89,76,NA,NA,NA
793.5,1156.5,72,NA,NA,NA
792.83,1157.17,65,NA,NA,NA
792.14,1157.86,62,NA,NA,NA
791.44,1158.56,62,NA,NA,NA
790.78,1159.22,66,NA,NA,NA
790.13,1159.87,67,NA,NA,NA
789.46,1160.54,65,NA,NA,NA
788.78,1161.22,64,NA,NA,NA
788.13,1161.87,67,NA,NA,NA
787.47,1162.53,66,NA,NA,NA
786.8,1163.2,65,NA,NA,NA
786.16,1163.84,68,NA,NA,NA
785.52,1164.48,69,NA,NA,NA
784.86,1165.14,66,NA,NA,NA
784.24,1165.76,71,NA,NA,NA
783.66,1166.34,77,NA,NA,NA
783.22,1166.78,101,NA,NA,NA
782.7,1167.3,85,NA,NA,NA
782.1,1167.9,75,NA,NA,NA
781.5,1168.5,73,NA,NA,NA
780.92,1169.08,77,NA,NA,NA
780.35,1169.65,79,NA,NA,NA
779.84,1170.16,88,NA,NA,NA
779.38,1170.62,95,NA,NA,NA
779.1,1170.9,139,NA,NA,NA
778.69,1171.31,106,NA,NA,NA
778.12,1171.88,78,NA,NA,NA
777.57,1172.43,81,NA,NA,NA
776.94,1173.06,71,NA,NA,NA
776.34,1173.66,74,NA,NA,NA
775.76,1174.24,77,NA,NA,NA
775.11,1174.89,67,NA,NA,NA
774.4,1175.6,60,NA,NA,NA
773.66,1176.34,56,NA,NA,NA
772.88,1177.12,53,NA,NA,NA
772.09,1177.91,51,NA,NA,NA
771.31,1178.69,52,NA,NA,NA
770.55,1179.45,54,NA,NA,NA
769.8,1180.2,55,NA,NA,NA
769.06,1180.94,57,NA,NA,NA
768.34,1181.66,59,NA,NA,NA
767.62,1182.38,59,NA,NA,NA
766.94,1183.06,63,NA,NA,NA
766.3,1183.7,69,NA,NA,NA
765.67,1184.33,70,NA,NA,NA
765.05,1184.95,71,NA,NA,NA
764.45,1185.55,75,NA,NA,NA
763.85,1186.15,73,NA,NA,NA
763.24,1186.76,73,NA,NA,NA
762.67,1187.33,78,NA,NA,NA
762.14,1187.86,85,NA,NA,NA
761.64,1188.36,89,NA,NA,NA
761.12,1188.88,86,NA,NA,NA
760.62,1189.38,89,NA,NA,NA
760.13,1189.87,91,NA,NA,NA
759.61,1190.39,87,NA,NA,NA
759.08,1190.92,83,NA,NA,NA
758.56,1191.44,86,NA,NA,NA
758.09,1191.91,95,NA,NA,NA
757.72,1192.28,114,NA,NA,NA
757.35,1192.65,116,NA,NA,NA
756.93,1193.07,104,NA,NA,NA
756.5,1193.5,101,NA,NA,NA
756.07,1193.93,102,NA,NA,NA
755.6,1194.4,95,NA,NA,NA
755.13,1194.87,93,NA,NA,NA
754.62,1195.38,88,NA,NA,NA
754.09,1195.91,84,NA,NA,NA
753.53,1196.47,81,NA,NA,NA
752.97,1197.03,80,NA,NA,NA
752.41,1197.59,79,NA,NA,NA
751.83,1198.17,77,NA,NA,NA
751.26,1198.74,79,NA,NA,NA
750.65,1199.35,72,NA,NA,NA
749.99,1200.01,66,NA,NA,NA
749.34,1200.66,67,NA,NA,NA
748.7,1201.3,69,NA,NA,NA
748.05,1201.95,68,NA,NA,NA
747.44,1202.56,72,NA,NA,NA
746.85,1203.15,76,NA,NA,NA
