year (AD) [1-1],age (BP) [1-1],depth (unknown) [1-1],Ca (missing) [1-1],Al (missing) [1-1],Ti (missing) [1-1],Si (missing) [1-1],K (missing) [1-1],year (AD) [2-1],age (BP) [2-1],depth (unknown) [2-1],N (missing) [2-1],d15N (missing) [2-1],C/N (missing) [2-1],TOC (missing) [2-1],d13C (missing) [2-1],year (AD) [3-1],age (BP) [3-1],depth (unknown) [3-1],d18O (missing) [3-1],d13C (missing) [3-1],year (AD) [4-1],age (BP) [4-1],total (missing) [4-1],Th13C (missing) [4-1],std (missing) [4-1],year (AD) [5-1],age (BP) [5-1],MoistElements (missing) [5-1],DryElements (missing) [5-1],Thronshrub (missing) [5-1],Ailanthus (missing) [5-1],year (AD) [6-1],age (BP) [6-1],sedRate (missing) [6-1]
1317.513,632.487,174.5,4655.819,399.429,3764.598,9016.175,1678.474,-2702.34,4652.34,763,0.15,8.9,21,3.02,-15.9,-2702.338,4652.338,763,0.029,7.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2702.338,4652.338,1.584
1315.446,634.554,175,6800.455,430.378,3718.175,8834.353,1723.446,-2705.49,4655.49,763.5,0.15,9,20,2.93,-16.3,-2705.495,4655.495,763.5,-1.624,4.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2705.495,4655.495,1.584
1313.378,636.622,175.5,258.734,18.714,182.113,416.33,80.297,-2708.65,4658.65,764,0.18,8.2,19,3.44,-12.4,-2708.651,4658.651,764,-4.508,1.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2708.651,4658.651,1.584
1272.019,677.981,185.5,5456.612,383.472,4106.966,7710.051,1514.06,-2893.51,4843.51,787.5,0.13,10.1,20,2.73,-13.4,-2893.512,4843.512,787.5,-0.39,8.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2893.512,4843.512,1.271
1269.951,680.049,186,4962.886,333.664,4044.585,8242.462,1739.404,-2898.58,4848.58,788,0.17,9.5,19,3.32,-13.3,-2898.584,4848.584,788,-0.004,8.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2898.584,4848.584,0.986
1267.883,682.117,186.5,6780.628,373.317,4201.262,8220.218,1882.541,-2903.66,4853.66,788.5,0.19,7.7,21,4.02,-12,-2903.655,4853.655,788.5,-1.205,6.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2903.655,4853.655,0.986
1265.815,684.185,187,9667.062,461.81,3836.166,8078.048,1772.77,-2908.73,4858.73,789,0.14,7.6,21,2.96,-14.5,-2908.727,4858.727,789,-4.456,3.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2908.727,4858.727,0.986
1263.747,686.253,187.5,8245.847,362.678,4042.167,9137.552,1854.494,-2913.8,4863.8,789.5,0.16,7.7,21,3.25,-15,-2913.798,4863.798,789.5,-4.421,3.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2913.798,4863.798,0.986
1261.679,688.321,188,11379.385,369.448,4130.661,9672.381,1873.353,-2918.87,4868.87,790,0.14,8.9,20,2.73,-14.4,-2918.87,4868.87,790,-3.914,4.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2918.87,4868.87,0.986
1259.611,690.389,188.5,7767.596,435.697,4346.333,10111.463,1994.729,-2923.94,4873.94,790.5,0.12,7.9,21,2.47,-14.8,-2923.941,4873.941,790.5,-3.918,2.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2923.941,4873.941,0.986
1257.543,692.457,189,9447.037,430.378,4273.314,9638.531,1885.442,-2929.01,4879.01,791,0.13,8.6,21,2.77,-14.8,-2929.013,4879.013,791,0.445,8.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2929.013,4879.013,0.986
1255.475,694.525,189.5,7967.794,406.683,4101.163,9144.322,1929.447,-2934.08,4884.08,791.5,0.11,8.5,20,2.19,-14.1,-2934.084,4884.084,791.5,-7.23,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2934.084,4884.084,0.986
1253.407,696.593,190,6383.133,443.918,4309.098,9815.518,1843.371,-2939.16,4889.16,792,0.13,9.2,21,2.67,-13.5,-2939.156,4889.156,792,-1.269,7.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2939.156,4889.156,0.986
1251.339,698.661,190.5,5163.084,441.5,4486.085,9924.321,1968.616,-2944.23,4894.23,792.5,0.12,10.3,21,2.52,-12.7,-2944.227,4894.227,792.5,-1.205,7.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2944.227,4894.227,0.986
1249.271,700.729,191,8348.364,434.246,4364.225,9541.817,1999.565,-2949.3,4899.3,793,0.13,10.1,20,2.71,-12.4,-2949.299,4899.299,793,1.649,10.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2949.299,4899.299,0.986
1247.203,702.797,191.5,5790.759,472.932,4508.33,9750.236,2115.622,-2954.37,4904.37,793.5,0.12,10.7,20,2.4,-12.4,-2954.37,4904.37,793.5,-1.322,7.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2954.37,4904.37,0.986
1245.135,704.865,192,6435.359,457.458,4374.864,9640.465,1995.696,-2959.44,4909.44,794,0.13,10,20,2.64,-12.3,-2959.442,4909.442,794,2.633,11.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2959.442,4909.442,0.986
1243.067,706.933,192.5,7928.625,452.622,4387.437,9845.983,1996.663,-2964.51,4914.51,794.5,0.11,10.3,21,2.39,-12.3,-2964.514,4914.514,794.5,-1.83,5.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2964.514,4914.514,0.986
1240.999,709.001,193,10031.674,462.294,4323.122,9839.696,2186.707,-2969.59,4919.59,795,0.13,10.2,20,2.59,-12.5,-2969.585,4919.585,795,1.003,9.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2969.585,4919.585,0.986
1238.931,711.069,193.5,5501.584,514.036,4698.373,10738.171,2225.876,-2974.66,4924.66,795.5,0.13,9.8,20,2.69,-12.9,-2974.657,4924.657,795.5,-0.309,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2974.657,4924.657,0.986
1236.863,713.137,194,6458.087,447.786,4579.414,9721.705,2207.017,-2979.73,4929.73,796,0.13,9.8,20,2.74,-13.5,-2979.728,4929.728,796,0.95,9.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2979.728,4929.728,0.986
1234.795,715.205,194.5,4630.673,403.298,4257.84,9713.484,2199.763,-2984.8,4934.8,796.5,0.12,9.3,20,2.44,-13.6,-2984.8,4934.8,796.5,-4.505,3.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2984.8,4934.8,0.986
1232.727,717.273,195,7254.044,437.148,4416.935,9860.006,2122.875,-2989.87,4939.87,797,0.13,10,19,2.46,-12.1,-2989.871,4939.871,797,-0.968,7.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2989.871,4939.871,0.986
1230.66,719.34,195.5,8335.308,413.937,4457.555,9968.81,2142.218,-2994.94,4944.94,797.5,0.13,10.2,21,2.6,-11.9,-2994.943,4944.943,797.5,-1.082,6.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2994.943,4944.943,0.986
1228.592,721.408,196,9934.96,515.003,4506.879,10120.167,2114.171,-3000.01,4950.01,798,0.12,9.6,20,2.47,-12.3,-3000.014,4950.014,798,-3.367,3.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3000.014,4950.014,0.986
1226.524,723.476,196.5,7830.46,536.28,4378.249,10659.832,2056.626,-3005.09,4955.09,798.5,0.13,10.4,20,2.69,-12,-3005.086,4955.086,798.5,2.09,10.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3005.086,4955.086,0.986
1224.456,725.544,197,7710.535,459.392,4666.457,10317.948,2113.687,-3010.16,4960.16,799,0.13,10.9,20,2.57,-11.7,-3010.157,4960.157,799,-1.45,7.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3010.157,4960.157,0.986
1222.388,727.612,197.5,6818.83,525.158,4592.471,10146.764,2121.908,-3015.23,4965.23,799.5,0.14,10.6,23,3.12,-13.5,-3015.229,4965.229,799.5,-5.122,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3015.229,4965.229,0.986
1220.32,729.68,198,5236.103,518.388,4658.236,10343.093,2217.655,-3020.3,4970.3,800,0.16,10.7,20,3.27,-10.6,-3020.3,4970.3,800,1.354,8.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3020.3,4970.3,0.986
1218.252,731.748,198.5,6510.796,472.932,4504.461,10352.281,2242.801,-3025.37,4975.37,800.5,0.18,10,20,3.66,-9.2,-3025.372,4975.372,800.5,-3.071,4.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3025.372,4975.372,0.986
1216.184,733.816,199,5185.812,515.486,4578.447,10833.434,2158.66,-3030.44,4980.44,801,0.18,8.6,22,3.86,-9.9,-3030.443,4980.443,801,-2.42,7.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3030.443,4980.443,0.986
1214.116,735.884,199.5,4951.28,441.5,4427.09,10402.089,2256.341,-3035.51,4985.51,801.5,0.24,7.9,21,5.11,-16.3,-3035.515,4985.515,801.5,-3.709,3.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3035.515,4985.515,0.986
1212.048,737.952,200,5419.86,488.406,4812.495,10140.477,2249.087,-3040.59,4990.59,802,0.2,9.2,22,4.3,-14.9,-3040.586,4990.586,802,-1.801,5.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3040.586,4990.586,0.986
1209.98,740.02,200.5,5663.58,376.702,3917.406,8268.575,1775.188,-3045.66,4995.66,802.5,0.19,9.6,20,3.7,-14.1,-3045.657,4995.658,802.5,-4.004,4.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3045.657,4995.658,0.986
1207.912,742.088,201,5838.149,382.504,4449.817,8619.647,1906.236,-3050.73,5000.73,803,0.19,10.1,21,3.95,-11.8,-3050.729,5000.729,803,-4.566,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3050.729,5000.729,0.986
1205.844,744.156,201.5,5420.827,335.114,4089.074,9065.016,2073.551,-3055.8,5005.8,803.5,0.21,9.3,22,4.7,-13,-3055.8,5005.801,803.5,0.323,6.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3055.8,5005.801,0.986
1203.776,746.224,202,8618.197,394.594,4604.56,9380.304,2066.298,-3060.87,5010.87,804,0.23,8.4,22,5.06,-15.4,-3060.872,5010.872,804,-0.774,5.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3060.872,5010.872,0.986
1201.708,748.292,202.5,4899.538,429.894,4051.355,9139.97,2050.34,-3065.94,5015.94,804.5,0.27,7.9,22,5.72,-18.1,-3065.943,5015.944,804.5,-0.188,6.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3065.943,5015.944,0.986
1199.64,750.36,203,5808.651,529.51,4685.8,10550.062,2144.636,-3071.02,5021.02,805,0.16,10.3,21,3.52,-14.4,-3071.015,5021.015,805,-0.508,6.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3071.015,5021.015,0.986
1197.572,752.428,203.5,6798.037,467.613,4457.071,9990.57,2003.917,-3076.09,5026.09,805.5,0.15,11.2,21,3.22,-12.9,-3076.086,5026.087,805.5,0.082,8.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3076.086,5026.087,0.986
1195.504,754.496,204,4668.875,363.645,4177.084,8993.448,2198.796,-3081.16,5031.16,806,0.15,11,21,3.08,-12.9,-3081.158,5031.158,806,1.019,8.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3081.158,5031.158,0.986
1193.436,756.564,204.5,4849.247,416.838,4081.337,8841.606,2006.818,-3086.23,5036.23,806.5,0.2,10.2,21,4.2,-12.6,-3086.229,5036.23,806.5,-0.054,7.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3086.229,5036.23,0.986
1191.369,758.631,205,4029.595,396.528,4023.308,8887.062,1977.804,-3091.3,5041.3,807,0.18,11,21,3.77,-12.9,-3091.301,5041.301,807,2.181,10.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3091.301,5041.301,0.986
1189.301,760.699,205.5,4152.421,382.988,4081.337,8452.816,2119.49,-3096.37,5046.37,807.5,0.15,11,20,2.98,-10.7,-3096.372,5046.373,807.5,1.347,10.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3096.372,5046.373,0.986
1187.233,762.767,206,3815.373,380.087,4231.244,8390.919,2069.199,-3101.44,5051.44,808,0.15,11.2,20,3.02,-11.8,-3101.444,5051.444,808,2.87,12.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3101.444,5051.444,0.986
1185.165,764.835,206.5,5095.384,405.716,4097.294,8225.537,1898.499,-3106.52,5056.52,808.5,0.12,11.1,20,2.37,-12.1,-3106.515,5056.516,808.5,-4.411,4.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3106.515,5056.516,0.986
1183.097,766.903,207,4379.7,368.964,4046.519,8309.679,2070.65,-3111.59,5061.59,809,0.14,10.6,21,3.03,-10.5,-3111.587,5061.587,809,3.126,11.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3111.587,5061.587,0.986
1181.029,768.971,207.5,4374.864,484.538,4040.717,8538.891,1793.564,-3116.66,5066.66,809.5,0.15,9.7,21,3.05,-9.4,-3116.659,5066.658,809.5,-4.748,3.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3116.659,5066.658,0.986
1178.961,771.039,208,4457.555,323.025,4025.726,7649.121,1814.841,-3121.73,5071.73,810,0.14,9.9,21,2.84,-11.2,-3121.73,5071.73,810,-3.025,5.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3121.73,5071.73,0.986
1176.893,773.107,208.5,5102.638,344.786,3889.359,7628.811,1773.254,-3126.8,5076.8,810.5,0.15,10.8,21,3.1,-12.7,-3126.802,5076.801,810.5,1.496,8.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3126.802,5076.801,0.986
1174.825,775.175,209,3805.701,330.762,3603.085,6777.727,1598.685,-3131.87,5081.87,811,0.13,10.6,23,2.94,-13,-3131.873,5081.873,811,-2.133,7.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3131.873,5081.873,0.986
1172.757,777.243,209.5,3331.318,252.424,3390.314,6331.875,1620.445,-3136.94,5086.94,811.5,0.15,10.9,21,3.08,-12.8,-3136.945,5086.944,811.5,1.414,10.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3136.945,5086.944,0.986
1170.689,779.311,210,3221.548,223.893,3189.632,5943.567,1388.815,-3142.02,5092.02,812,0.12,10.2,21,2.59,-12.3,-3142.016,5092.016,812,-6.181,1.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3142.016,5092.016,0.986
1168.621,781.379,210.5,3033.922,255.325,3228.801,6508.378,1656.23,-3147.09,5097.09,812.5,0.19,10,21,3.96,-13.1,-3147.088,5097.087,812.5,-2.527,4.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3147.088,5097.087,0.986
1166.553,783.447,211,3841.486,272.734,3588.578,7085.761,1632.535,-3152.16,5102.16,813,0.26,8.9,21,5.61,-15.3,-3152.159,5102.159,813,-1.777,6.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3152.159,5102.159,0.986
1164.485,785.515,211.5,4049.421,273.217,3654.827,6500.157,1357.866,-3157.23,5107.23,813.5,0.23,9.5,21,4.74,-14.5,-3157.231,5107.23,813.5,-1.867,5.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3157.231,5107.23,0.986
1162.417,787.583,212,4346.333,270.316,3689.161,6787.398,1699.267,-3162.3,5112.3,814,0.24,8.5,22,5.15,-16.2,-3162.302,5112.302,814,-3.133,2.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3162.302,5112.302,0.986
1160.349,789.651,212.5,4209.966,173.118,3460.432,5461.931,1340.458,-3167.37,5117.37,814.5,0.2,9.7,21,4.21,-12.9,-3167.374,5117.373,814.5,-2.005,5.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3167.374,5117.373,0.986
1158.281,791.719,213,5331.367,314.805,3615.658,6290.771,1420.247,-3172.45,5122.45,815,0.2,10.1,21,4.22,-13.2,-3172.445,5122.445,815,-2.133,5.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3172.445,5122.445,0.986
1156.213,793.787,213.5,3908.702,240.335,3735.584,6087.188,1590.464,-3177.52,5127.52,815.5,0.22,10.3,21,4.55,-14.6,-3177.517,5127.516,815.5,1.016,8.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3177.517,5127.516,0.986
1154.145,795.855,214,4378.733,250.006,3951.74,6682.463,1613.675,-3182.59,5132.59,816,0.2,10.4,20,3.94,-14.4,-3182.588,5132.588,816,0.093,9.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3182.588,5132.588,0.986
1152.077,797.923,214.5,5475.471,332.697,4037.815,7082.376,1667.352,-3187.66,5137.66,816.5,0.22,10.8,21,4.41,-13.8,-3187.66,5137.659,816.5,-1.857,7.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3187.66,5137.659,0.986
1150.009,799.99,215,4103.581,263.546,3821.659,6210.015,1541.14,-3192.73,5142.73,817,0.15,12,21,3.21,-11.8,-3192.731,5142.731,817,-2.03,5.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3192.731,5142.731,0.986
1147.942,802.058,215.5,5054.281,210.837,3809.086,6382.166,1630.6,-3197.8,5147.8,817.5,0.17,11.8,21,3.54,-14.4,-3197.802,5147.802,817.5,-1.412,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3197.802,5147.802,0.986
1145.874,804.126,216,5338.62,310.936,3759.762,7130.25,1699.267,-3202.87,5152.87,818,0.18,12.1,21,3.75,-14.5,-3202.874,5152.874,818,-0.525,8.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3202.874,5152.874,0.986
1143.806,806.194,216.5,4671.293,260.645,3883.073,7080.442,1817.259,-3207.95,5157.95,818.5,0.17,12.3,22,3.89,-13.9,-3207.945,5157.945,818.5,-2.68,6.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3207.945,5157.945,0.986
1141.738,808.262,217,3926.11,322.542,3780.072,7150.076,1785.343,-3213.02,5163.02,819,0.21,13,21,4.55,-13.1,-3213.017,5163.017,819,2.174,11.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3213.017,5163.017,0.986
1139.67,810.33,217.5,3429.483,181.823,3270.872,5422.762,1506.323,-3218.09,5168.09,819.5,0.23,12.4,21,5.01,-13.4,-3218.088,5168.088,819.5,0.502,11.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3218.088,5168.088,0.986
1137.602,812.398,218,3305.206,193.428,3073.575,4057.642,1067.241,-3223.16,5173.16,820,0.19,12.8,20,3.67,-12.1,-3223.16,5173.16,820,0.254,11.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3223.16,5173.16,0.986
1135.534,814.466,218.5,2979.279,144.104,2866.607,3637.902,950.7,-3253.93,5203.93,820.5,0.27,13.7,13,3.46,-12.8,-3253.93,5203.93,820.5,-4.437,6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3253.93,5203.93,0.162
1133.466,816.534,219,3483.16,251.457,3372.906,5815.421,1412.026,-3284.66,5234.66,821,0.17,13.8,23,4.04,-10.9,-3284.66,5234.66,821,2.911,16.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3284.66,5234.66,0.163
1131.398,818.602,219.5,199.128,14.196,216.432,345.788,78.96,-3315.39,5265.39,821.5,0.17,15.1,25,4.27,-9.9,-3315.39,5265.39,821.5,6.459,20.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3315.39,5265.39,0.163
1102.447,847.553,226.5,5542.204,489.374,4112.285,8732.803,1765.517,-3346.12,5296.12,822,0.18,15.2,24,4.3,-10.7,-3346.12,5296.12,822,4.698,18.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3346.12,5296.12,0.163
1100.379,849.621,227,5779.637,490.341,4066.829,9449.938,1751.493,-3376.85,5326.85,822.5,0.25,14.3,17,4.13,-8.1,-3376.85,5326.85,822.5,-0.83,9.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3376.85,5326.85,0.163
1098.311,851.689,227.5,4877.778,455.04,4032.012,9324.21,1843.371,-3407.58,5357.58,823,0.23,14.3,22,4.97,-9,-3407.58,5357.58,823,-3.078,6.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3407.58,5357.58,0.163
1096.243,853.757,228,5485.626,415.871,3850.673,8972.171,1842.404,-3438.31,5388.31,823.5,0.25,14.1,20,4.96,-9.1,-3438.31,5388.31,823.5,0.154,10.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3438.31,5388.31,0.163
1094.175,855.825,228.5,4320.221,414.904,3847.288,8941.706,1908.653,-3469.04,5419.04,824,0.25,14.1,20,5.09,-8.3,-3469.04,5419.04,824,-3.844,4.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3469.04,5419.04,0.163
1092.107,857.893,229,3605.987,468.58,4171.764,9292.778,1957.978,-3499.77,5449.77,824.5,0.27,13.4,20,5.34,-7.9,-3499.77,5449.77,824.5,-2.207,6.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3499.77,5449.77,0.163
1090.039,859.961,229.5,3865.664,434.73,4025.726,8620.131,1875.771,-3530.5,5480.5,825,0.25,14.2,23,5.66,-8.1,-3530.5,5480.5,825,-4.876,4.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3530.5,5480.5,0.163
1087.971,862.029,230,4411.132,450.204,4202.229,9513.286,2009.72,-3561.23,5511.23,825.5,0.28,13.9,20,5.52,-8.5,-3561.23,5511.23,825.5,-1.246,9.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3561.23,5511.23,0.163
1085.903,864.097,230.5,4476.897,390.242,4069.247,9029.715,1835.634,-3591.96,5541.96,826,0.27,14.3,20,5.46,-7.8,-3591.96,5541.96,826,0.237,11.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3591.96,5541.96,0.163
1083.835,866.165,231,4615.199,422.157,3949.805,8779.709,1715.709,-3622.69,5572.69,826.5,0.22,13.9,24,5.24,-7.7,-3622.69,5572.69,826.5,-0.264,9.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3622.69,5572.69,0.163
1081.767,868.233,231.5,4523.804,337.532,3771.851,7840.132,1694.915,-3653.42,5603.42,827,0.25,14.2,20,4.97,-7.8,-3653.42,5603.42,827,3.053,14.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3653.42,5603.42,0.163
1079.699,870.301,232,4731.256,465.195,3982.205,8224.57,1764.549,-3684.15,5634.15,827.5,0.2,13.9,22,4.43,-6.4,-3684.15,5634.15,827.5,7.973,19.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3684.15,5634.15,0.163
1077.631,872.369,232.5,5343.94,382.988,4070.698,8783.094,1922.193,-3714.88,5664.88,828,0.18,15.3,19,3.35,-5.9,-3714.88,5664.88,828,4.346,15.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3714.88,5664.88,0.163
1075.563,874.437,233,5734.665,440.533,4144.201,8695.085,1982.64,-3745.61,5695.61,828.5,0.2,14.4,29,5.62,-9.9,-3745.61,5695.61,828.5,5.996,17.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3745.61,5695.61,0.163
1073.495,876.505,233.5,5611.838,397.495,4048.937,9148.19,1952.175,-3776.34,5726.34,829,0.24,14.4,19,4.59,-9.4,-3776.34,5726.34,829,1.463,11.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3776.34,5726.34,0.163
1071.427,878.573,234,4679.514,430.861,4118.088,9405.45,1978.288,-3807.07,5757.07,829.5,0.22,14.4,21,4.63,-8,-3807.07,5757.07,829.5,6.082,16.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3807.07,5757.07,0.163
1069.359,880.641,234.5,5347.808,471.481,4274.765,9589.69,1996.663,-3837.8,5787.8,830,0.3,13,21,6.17,-11,-3837.8,5787.8,830,6.533,18.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3837.8,5787.8,0.163
1067.292,882.708,235,5945.018,364.612,3969.632,8218.767,1736.986,-3868.53,5818.53,830.5,0.31,12.6,20,6.27,-12.3,-3868.53,5818.53,830.5,7.709,19.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3868.53,5818.53,0.163
1065.224,884.776,235.5,4841.993,344.302,4020.89,8208.129,1768.418,-3899.26,5849.26,831,0.28,11.9,23,6.57,-13,-3899.26,5849.26,831,3.493,16.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3899.26,5849.26,0.163
1063.156,886.844,236,5736.599,385.889,3900.965,8993.931,1823.061,-3929.99,5879.99,831.5,0.29,12.3,22,6.51,-13.6,-3929.99,5879.99,831.5,6.023,17.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3929.99,5879.99,0.163
1061.088,888.912,236.5,4268.478,437.148,3838.584,8855.146,1811.939,-3960.72,5910.72,832,0.29,12.1,20,5.7,-11.4,-3960.72,5910.72,832,7.514,18.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3960.72,5910.72,0.163
1059.02,890.98,237,4927.585,421.674,4067.797,9008.922,1841.921,-3991.45,5941.45,832.5,0.3,12.3,23,6.89,-13.4,-3991.45,5941.45,832.5,5.279,16.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3991.45,5941.45,0.163
1056.952,893.048,237.5,6716.313,370.899,3961.895,8919.945,1728.282,-4022.18,5972.18,833,0.29,12.3,21,5.99,-13.2,-4022.18,5972.18,833,3.626,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4022.18,5972.18,0.163
1054.884,895.116,238,5681.472,535.313,4361.324,9895.791,2095.795,-4052.91,6002.91,833.5,0.23,12.4,20,4.76,-12.9,-4052.91,6002.91,833.5,9.46,21.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4052.91,6002.91,0.163
1052.816,897.184,238.5,7323.678,461.81,4392.756,9780.701,1978.288,-4083.64,6033.64,834,0.26,12.2,21,5.48,-11.5,-4083.64,6033.64,834,6.535,18.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4083.64,6033.64,0.163
