year (AD),age (BP),d18O (permil),core (missing),compositeDepth (missing),calibrated (missing),TOC (missing),TIC (missing),TOTC (missing),d13C (permil)
-1530.175,3480.175,28.096,PLC98-4,46.5,CAL,1.77,3.5,1.73,4.069
-1538.586,3488.586,28.295,PLC98-4,47.5,CAL,1.52,3.49,1.97,4.053
-1546.993,3496.993,28.151,PLC98-4,48.5,CAL,1.61,3.25,1.64,4.034
-1555.396,3505.396,28.243,PLC98-4,49.5,CAL,1.72,3.47,1.75,3.987
-1563.793,3513.793,28.464,PLC98-4,50.5,CAL,1.84,3.68,1.84,4.285
-1572.187,3522.187,28.511,PLC98-4,51.5,CAL,1.98,3.79,1.81,4.258
-1580.575,3530.575,29.061,PLC98-4,52.5,CAL,2.06,3.91,1.85,4.536
-1588.959,3538.959,29.016,PLC98-4,53.5,CAL,2.01,3.91,1.9,4.426
-1597.339,3547.339,29.102,PLC98-4,54.5,CAL,1.95,3.7,1.75,4.412
-1605.714,3555.714,29.24,PLC98-4,55.5,CAL,1.91,4.03,2.12,4.372
-1614.084,3564.084,29.263,PLC98-4,56.5,CAL,1.98,4.18,2.2,4.476
-1622.45,3572.45,29.039,PLC98-4,57.5,CAL,2.16,4.32,2.16,4.332
-1630.811,3580.811,29.518,PLC98-4,58.5,CAL,2.16,4.4,2.24,4.621
-1639.168,3589.168,29.318,PLC98-4,59.5,CAL,2.29,4.51,2.22,4.554
-1647.52,3597.52,29.488,PLC98-4,60.5,CAL,2.39,4.78,2.39,4.532
-1655.868,3605.868,29.323,PLC98-4,61.5,CAL,2.43,4.91,2.48,4.324
-1664.211,3614.211,29.377,PLC98-4,62.5,CAL,2.37,4.77,2.4,4.494
-1672.549,3622.549,29.397,PLC98-4,63.5,CAL,2.37,4.64,2.27,4.45
-1680.883,3630.883,29.291,PLC98-4,64.5,CAL,2.4,4.72,2.32,4.453
-1689.213,3639.213,29.092,PLC98-4,65.5,CAL,2.4,4.72,2.32,4.447
-1697.537,3647.537,29.201,PLC98-4,66.5,CAL,2.38,4.61,2.23,4.48
-1705.858,3655.858,29.184,PLC98-4,67.5,CAL,2.42,4.48,2.06,4.552
-1714.173,3664.173,29.453,PLC98-4,68.5,CAL,2.31,4.34,2.03,4.642
-1722.484,3672.484,29.333,PLC98-4,69.5,CAL,2.3,4.3,2,4.679
-1730.791,3680.791,28.892,PLC98-4,70.5,CAL,2.42,4.51,2.09,4.557
-1739.093,3689.093,28.905,PLC98-4,71.5,CAL,2.42,4.65,2.23,4.528
-1747.39,3697.39,28.765,PLC98-4,72.5,CAL,2.42,4.51,2.09,4.543
-1755.683,3705.683,29.018,PLC98-4,73.5,CAL,2.37,4.58,2.21,4.629
-1763.971,3713.971,28.799,PLC98-4,74.5,CAL,2.49,4.71,2.22,4.54
-1772.255,3722.255,28.933,PLC98-4,75.5,CAL,2.51,4.73,2.22,4.563
-1780.534,3730.534,28.898,PLC98-4,76.5,CAL,2.6,4.76,2.16,4.633
-1788.809,3738.809,28.846,PLC98-4,77.5,CAL,2.56,4.8,2.24,4.56
-1797.079,3747.079,28.694,PLC98-4,78.5,CAL,2.61,4.54,1.93,4.477
-1805.344,3755.344,28.714,PLC98-4,79.5,CAL,2.33,4.57,2.24,4.348
-1813.605,3763.605,28.85,PLC98-4,80.5,CAL,2.35,4.44,2.09,4.601
-1821.861,3771.861,28.487,PLC98-4,81.5,CAL,2.44,4.58,2.14,4.438
-1830.113,3780.113,28.548,PLC98-4,82.5,CAL,2.11,4.23,2.12,4.342
-1838.36,3788.36,28.316,PLC98-4,83.5,CAL,2.2,4.26,2.06,4.264
-1846.603,3796.603,28.354,PLC98-4,84.5,CAL,2.06,4.18,2.12,4.27
-1854.841,3804.841,28.339,PLC98-4,85.5,CAL,2.06,4.1,2.04,4.295
-1863.075,3813.075,28.24,PLC98-4,86.5,CAL,2.03,4.08,2.05,4.189
-1871.303,3821.303,28.444,PLC98-4,87.5,CAL,2.09,4.13,2.04,4.243
-1879.528,3829.528,28.668,PLC98-4,88.5,CAL,2.2,4.11,1.91,4.326
-1887.748,3837.748,28.732,PLC98-4,89.5,CAL,2.11,4.28,2.17,4.337
-1895.963,3845.963,28.48,PLC98-4,90.5,CAL,2.16,4.35,2.19,4.269
-1904.174,3854.174,28.555,PLC98-4,91.5,CAL,1.97,4.48,2.51,4.325
-1912.38,3862.38,28.755,PLC98-4,92.5,CAL,2.01,4.31,2.3,4.4
-1920.581,3870.581,28.897,PLC98-4,93.5,CAL,2.05,4.43,2.38,4.487
-1928.778,3878.778,28.893,PLC98-4,94.5,CAL,2.17,4.46,2.29,4.411
-1936.971,3886.971,28.924,PLC98-4,95.5,CAL,2.2,4.61,2.41,4.438
-1945.158,3895.158,29.023,PLC98-4,96.5,CAL,2.34,4.83,2.49,4.563
-1953.342,3903.342,28.818,PLC98-4,97.5,CAL,2.38,4.89,2.51,4.53
-1961.52,3911.52,28.795,PLC98-4,98.5,CAL,2.19,4.68,2.49,4.513
-1969.695,3919.695,29,PLC98-4,99.5,CAL,2.2,4.72,2.52,4.532
-1977.864,3927.864,28.782,PLC98-4,100.5,CAL,2.3,4.72,2.42,4.405
-1986.029,3936.029,28.629,PLC98-4,101.5,CAL,2.33,4.56,2.23,4.468
-1994.19,3944.19,28.616,PLC98-4,102.5,CAL,1.96,4.37,2.41,4.339
-2002.346,3952.346,28.53,PLC98-4,103.5,CAL,1.69,4.45,2.76,4.17
-2010.497,3960.497,28.429,PLC98-4,104.5,CAL,1.6,4.18,2.58,3.956
-2018.644,3968.644,28.757,PLC98-4,105.5,CAL,1.58,4.09,2.51,4.007
-2026.786,3976.786,28.822,PLC98-4,106.5,CAL,1.53,4.17,2.64,3.945
-2034.924,3984.924,28.888,PLC98-4,107.5,CAL,1.86,4.28,2.42,4.156
-2043.057,3993.057,28.808,PLC98-4,108.5,CAL,1.98,4.23,2.25,4.241
-2051.185,4001.185,29.095,PLC98-4,109.5,CAL,2.03,4.26,2.23,4.452
-2059.309,4009.309,29.173,PLC98-4,110.5,CAL,1.85,4.23,2.38,4.325
-2067.429,4017.429,28.728,PLC98-4,111.5,CAL,2.03,4.29,2.26,4.181
-2075.543,4025.543,28.672,PLC98-4,112.5,CAL,2.16,4.3,2.14,4.158
-2083.654,4033.654,28.96,PLC98-4,113.5,CAL,1.94,4.12,2.18,4.159
-2091.759,4041.759,29.173,PLC98-4,114.5,CAL,1.92,3.92,2,4.414
-2099.861,4049.861,29.335,PLC98-4,115.5,CAL,2.18,4.38,2.2,4.455
-2107.957,4057.957,29.321,PLC98-4,116.5,CAL,1.68,4.28,2.6,4.467
-2116.049,4066.049,28.948,PLC98-4,117.5,CAL,1.69,3.81,2.12,4.305
-2124.137,4074.137,29.018,PLC98-4,118.5,CAL,1.56,3.67,2.11,4.262
-2132.219,4082.219,28.853,PLC98-4,119.5,CAL,1.47,3.58,2.11,4.028
-2140.298,4090.298,28.767,PLC98-4,120.5,CAL,1.34,3.46,2.12,3.94
-2148.372,4098.372,28.793,PLC98-4,121.5,CAL,1.48,3.74,2.26,4.059
-2156.441,4106.441,28.904,PLC98-4,122.5,CAL,1.63,3.75,2.12,4.182
-2164.505,4114.505,29.012,PLC98-4,123.5,CAL,1.71,3.88,2.17,4.122
-2172.565,4122.565,29.222,PLC98-4,124.5,CAL,1.84,4.02,2.18,4.282
-2180.621,4130.621,28.948,PLC98-4,125.5,CAL,1.83,3.94,2.11,4.152
-2188.672,4138.672,29.266,PLC98-4,126.5,CAL,1.75,3.76,2.01,4.379
-2196.718,4146.718,29.05,PLC98-4,127.5,CAL,1.82,3.79,1.97,4.269
-2204.76,4154.76,29.414,PLC98-4,128.5,CAL,2.01,4.08,2.07,4.544
-2212.797,4162.797,29.315,PLC98-4,129.5,CAL,1.85,4.16,2.31,4.476
-2220.83,4170.83,28.719,PLC98-4,130.5,CAL,1.95,4.08,2.13,4.166
-2228.858,4178.858,29.066,PLC98-4,131.5,CAL,2.11,4.19,2.08,4.605
-2236.882,4186.882,29.137,PLC98-4,132.5,CAL,1.9,4,2.1,4.537
-2244.901,4194.901,28.791,PLC98-4,133.5,CAL,1.72,3.81,2.09,4.309
-2252.915,4202.915,28.601,PLC98-4,134.5,CAL,1.52,3.69,2.17,4.143
-2260.925,4210.925,28.957,PLC98-4,135.5,CAL,1.71,4.02,2.31,4.36
-2268.93,4218.93,28.731,PLC98-4,136.5,CAL,2.17,4.25,2.08,4.422
-2276.931,4226.931,28.926,PLC98-4,137.5,CAL,2.24,4.49,2.25,4.509
-2284.927,4234.927,29.103,PLC98-4,138.5,CAL,2.19,4.5,2.31,4.511
-2292.919,4242.919,28.826,PLC98-4,139.5,CAL,2.28,4.46,2.18,4.451
-2300.906,4250.906,28.808,PLC98-4,140.5,CAL,2.11,4.32,2.21,4.373
-2308.888,4258.888,29.127,PLC98-4,141.5,CAL,2.07,4.18,2.11,4.651
-2316.866,4266.866,28.649,PLC98-4,142.5,CAL,1.95,4.04,2.09,4.283
-2324.839,4274.839,28.474,PLC98-4,143.5,CAL,2.22,4.28,2.06,4.43
-2332.808,4282.808,28.524,PLC98-4,144.5,CAL,2.03,4.17,2.14,4.407
-2340.772,4290.772,28.596,PLC98-4,145.5,CAL,1.65,3.87,2.22,4.366
-2348.732,4298.732,28.953,PLC98-4,146.5,CAL,1.86,3.9,2.04,4.63
-2356.687,4306.687,29.145,PLC98-4,147.5,CAL,1.98,4.07,2.09,4.632
-2364.638,4314.638,28.637,PLC98-4,148.5,CAL,2.02,4.08,2.06,4.285
-2372.584,4322.584,28.847,PLC98-4,149.5,CAL,1.84,3.9,2.06,4.422
-2380.525,4330.525,28.596,PLC98-4,150.5,CAL,1.6,3.5,1.9,4.291
-2388.462,4338.462,28.549,PLC98-4,151.5,CAL,2,3.86,1.86,4.436
-2396.394,4346.394,28.778,PLC98-4,152.5,CAL,1.76,3.68,1.92,4.434
-2404.322,4354.322,28.743,PLC98-4,153.5,CAL,1.68,3.33,1.65,4.468
-2412.245,4362.245,28.618,PLC98-4,154.5,CAL,1.55,3.42,1.87,4.39
-2420.164,4370.164,28.674,PLC98-4,155.5,CAL,1.67,3.58,1.91,4.278
-2428.078,4378.078,29.011,PLC98-4,156.5,CAL,1.73,3.68,1.95,4.319
-2435.987,4385.987,29.052,PLC98-4,157.5,CAL,1.91,3.93,2.02,4.206
-2443.892,4393.892,28.883,PLC98-4,158.5,CAL,2.01,4.04,2.03,4.222
-2451.792,4401.792,28.906,PLC98-4,159.5,CAL,2.01,4.09,2.08,4.281
-2459.688,4409.688,29.069,PLC98-4,160.5,CAL,2.09,4.2,2.11,4.268
-2467.579,4417.579,29.349,PLC98-4,161.5,CAL,2.26,4.4,2.14,4.642
-2475.466,4425.466,28.911,PLC98-4,162.5,CAL,2.35,4.45,2.1,4.355
-2483.348,4433.348,28.736,PLC98-4,163.5,CAL,2.42,4.56,2.14,4.364
-2491.226,4441.226,28.41,PLC98-4,164.5,CAL,2.45,4.57,2.12,4.346
-2499.098,4449.098,28.638,PLC98-4,165.5,CAL,2.26,4.31,2.05,4.345
-2506.967,4456.967,28.328,PLC98-4,166.5,CAL,2.14,4.22,2.08,4.095
-2514.831,4464.831,28.32,PLC98-4,167.5,CAL,1.84,3.88,2.04,3.887
-2522.69,4472.69,28.526,PLC98-4,168.5,CAL,1.8,3.83,2.03,4.001
-2530.545,4480.545,28.918,PLC98-4,169.5,CAL,2.02,4.06,2.04,4.421
-2538.395,4488.395,28.817,PLC98-4,170.5,CAL,1.88,4.05,2.17,4.121
-2546.24,4496.24,28.552,PLC98-4,171.5,CAL,1.94,3.97,2.03,3.981
-2554.081,4504.081,28.874,PLC98-4,172.5,CAL,1.98,4.04,2.06,4.153
-2561.918,4511.918,29.036,PLC98-4,173.5,CAL,2.09,4,1.91,4.415
-2569.75,4519.75,28.801,PLC98-4,174.5,CAL,2.12,4.04,1.92,4.311
-2577.577,4527.577,28.48,PLC98-4,175.5,CAL,2.28,4.09,1.81,4.182
-2585.4,4535.4,28.558,PLC98-4,176.5,CAL,2.2,4.09,1.89,4.24
-2593.218,4543.218,28.817,PLC98-4,177.5,CAL,2.39,4.17,1.78,4.244
-2601.031,4551.031,28.579,PLC98-4,178.5,CAL,2.33,4.11,1.78,4.252
-2608.84,4558.84,28.949,PLC98-4,179.5,CAL,2.34,4.15,1.81,4.341
-2616.645,4566.645,28.503,PLC98-4,180.5,CAL,2.24,4.07,1.83,4.246
-2624.445,4574.445,28.303,PLC98-4,181.5,CAL,2.14,3.87,1.73,4.222
-2632.24,4582.24,27.942,PLC98-4,182.5,CAL,2.22,3.82,1.6,4.234
-2640.031,4590.031,27.891,PLC98-4,183.5,CAL,2.31,3.93,1.62,3.746
-2647.817,4597.817,28.286,PLC98-4,184.5,CAL,1.98,3.58,1.6,4.28
-2655.599,4605.599,28.084,PLC98-4,185.5,CAL,1.66,3.36,1.7,4.131
-2663.376,4613.376,27.985,PLC98-4,186.5,CAL,1.98,3.71,1.73,4.174
-2671.148,4621.148,27.648,PLC98-4,187.5,CAL,2.15,3.91,1.76,4.202
-2678.916,4628.916,28.193,PLC98-4,188.5,CAL,1.75,3.71,1.96,4.182
-2686.68,4636.68,28.353,PLC98-4,189.5,CAL,1.49,3.57,2.08,3.902
-2694.439,4644.439,28.268,PLC98-4,190.5,CAL,1.28,3.36,2.08,3.62
-2702.193,4652.193,27.812,PLC98-4,191.5,CAL,1.09,3.23,2.14,3.308
-2709.943,4659.943,28.163,PLC98-4,192.5,CAL,1.31,3.47,2.16,3.902
-2717.688,4667.688,28.001,PLC98-4,193.5,CAL,1.43,3.76,2.33,3.825
-2725.428,4675.428,28.132,PLC98-4,194.5,CAL,1.27,3.43,2.16,3.746
-2733.164,4683.164,27.855,PLC98-4,195.5,CAL,1.34,3.55,2.21,3.683
-2740.896,4690.896,27.712,PLC98-4,196.5,CAL,1.36,3.62,2.26,3.621
-2748.623,4698.623,27.772,PLC98-4,197.5,CAL,1.7,3.87,2.17,3.928
-2756.345,4706.345,28.191,PLC98-4,198.5,CAL,1.69,3.74,2.05,3.94
-2764.063,4714.063,28.258,PLC98-4,199.5,CAL,1.54,3.62,2.08,3.94
-2771.776,4721.776,28.311,PLC98-4,200.5,CAL,1.53,3.61,2.08,3.849
-2779.485,4729.485,28.152,PLC98-4,201.5,CAL,1.75,3.68,1.93,3.977
-2787.189,4737.189,28.249,PLC98-4,202.5,CAL,1.81,3.74,1.93,4.012
-2794.888,4744.888,28.801,PLC98-4,203.5,CAL,1.35,3.14,1.79,3.916
-2802.583,4752.583,28.84,PLC98-4,204.5,CAL,1.81,3.63,1.82,4.349
-2810.274,4760.274,28.815,PLC98-4,205.5,CAL,2.11,3.83,1.72,4.341
-2817.959,4767.959,28.916,PLC98-4,206.5,CAL,2.19,3.89,1.7,4.515
-2825.641,4775.641,29.085,PLC98-4,207.5,CAL,2.1,3.79,1.69,4.461
-2833.317,4783.317,28.984,PLC98-4,208.5,CAL,1.93,3.59,1.66,4.531
-2840.989,4790.989,29.055,PLC98-4,209.5,CAL,1.99,3.66,1.67,4.409
-2848.657,4798.657,28.858,PLC98-4,210.5,CAL,1.99,3.57,1.58,4.448
-2856.32,4806.32,29.358,PLC98-4,211.5,CAL,1.94,3.66,1.72,4.382
-2863.978,4813.978,29.3,PLC98-4,212.5,CAL,1.88,3.7,1.82,4.252
-2871.632,4821.632,29.188,PLC98-4,213.5,CAL,2.15,3.93,1.78,4.423
-2879.282,4829.282,29.109,PLC98-4,214.5,CAL,2.11,3.83,1.72,4.296
-2886.926,4836.926,28.985,PLC98-4,215.5,CAL,2.06,3.86,1.8,4.235
-2894.567,4844.567,29.073,PLC98-4,216.5,CAL,2.26,4.03,1.77,4.197
-2902.202,4852.202,29.363,PLC98-4,217.5,CAL,2.02,3.76,1.74,4.384
-2909.833,4859.833,29.383,PLC98-4,218.5,CAL,1.76,3.49,1.73,4.109
-2917.46,4867.46,29.234,PLC98-4,219.5,CAL,2.06,3.84,1.78,4.171
-2925.082,4875.082,29.64,PLC98-4,220.5,CAL,2.25,4.03,1.78,4.355
-2932.699,4882.699,29.388,PLC98-4,221.5,CAL,1.85,3.64,1.79,4.543
-2940.312,4890.312,29.024,PLC98-4,222.5,CAL,1.99,3.79,1.8,4.366
-2947.92,4897.92,29.372,PLC98-4,223.5,CAL,2.39,4.12,1.73,4.724
-2955.524,4905.524,29.168,PLC98-4,224.5,CAL,2.28,4.02,1.74,4.461
-2963.123,4913.123,29.145,PLC98-4,225.5,CAL,1.95,3.73,1.78,4.265
-2970.717,4920.717,29.19,PLC98-4,226.5,CAL,2.05,3.83,1.78,4.385
-2978.307,4928.307,29.008,PLC98-4,227.5,CAL,2.17,3.88,1.71,4.314
-2985.893,4935.893,29.224,PLC98-4,228.5,CAL,2.28,3.97,1.69,4.41
-2993.473,4943.473,29.008,PLC98-4,229.5,CAL,2.1,3.82,1.72,4.178
-3001.05,4951.05,28.924,PLC98-4,230.5,CAL,1.79,3.5,1.71,4.192
-3008.621,4958.621,29.213,PLC98-4,231.5,CAL,1.95,3.72,1.77,4.445
-3016.189,4966.189,29.107,PLC98-4,232.5,CAL,2.21,3.91,1.7,4.295
-3023.751,4973.751,29.234,PLC98-4,233.5,CAL,2.23,4.04,1.81,4.062
-3031.309,4981.309,29.292,PLC98-4,234.5,CAL,2.3,3.96,1.66,4.338
-3038.863,4988.863,29.344,PLC98-4,235.5,CAL,2.04,3.83,1.79,4.233
-3046.412,4996.412,29.153,PLC98-4,236.5,CAL,1.91,3.74,1.83,4.263
-3053.956,5003.956,29.308,PLC98-4,237.5,CAL,1.86,3.64,1.78,4.158
-3061.496,5011.496,29.097,PLC98-4,238.5,CAL,2.01,3.82,1.81,4.09
-3069.031,5019.031,29.097,PLC98-4,239.5,CAL,2.01,3.82,1.81,4.09
-3076.562,5026.562,29.186,PLC98-4,240.5,CAL,1.91,3.7,1.79,3.942
-3084.088,5034.088,29.019,PLC98-4,241.5,CAL,1.82,3.49,1.67,3.861
-3091.609,5041.609,29.042,PLC98-4,242.5,CAL,1.84,3.56,1.72,3.909
-3099.126,5049.126,29.087,PLC98-4,243.5,CAL,1.78,3.45,1.67,4.032
-3106.638,5056.638,29.366,PLC98-4,244.5,CAL,1.77,3.4,1.63,4.061
-3114.146,5064.146,28.984,PLC98-4,245.5,CAL,1.85,3.25,1.4,3.932
-3121.65,5071.65,28.556,PLC98-4,246.5,CAL,1.56,3.13,1.57,3.776
-3129.148,5079.148,28.58,PLC98-4,247.5,CAL,1.35,2.83,1.48,3.636
-3136.642,5086.642,28.431,PLC98-4,248.5,CAL,1.18,2.71,1.53,3.495
-3144.132,5094.132,28.938,PLC98-4,249.5,CAL,1.14,2.67,1.53,3.488
-3151.617,5101.617,29.005,PLC98-4,250.5,CAL,1.34,2.76,1.42,3.742
-3159.097,5109.097,29.088,PLC98-4,251.5,CAL,1.45,3.05,1.6,3.794
-3166.573,5116.573,29.336,PLC98-4,252.5,CAL,1.48,3.08,1.6,3.841
-3174.045,5124.045,29.143,PLC98-4,253.5,CAL,1.33,2.94,1.61,3.649
-3181.511,5131.511,29.452,PLC98-4,254.5,CAL,1.52,3.16,1.64,3.914
-3188.973,5138.973,29.469,PLC98-4,255.5,CAL,1.76,3.42,1.66,4.162
-3196.431,5146.431,29.566,PLC98-4,256.5,CAL,2.1,3.77,1.67,4.164
-3203.884,5153.884,29.72,PLC98-4,257.5,CAL,1.97,3.79,1.82,4.206
-3211.333,5161.333,29.643,PLC98-4,258.5,CAL,1.98,3.76,1.78,4.282
-3218.777,5168.777,29.645,PLC98-4,259.5,CAL,2.35,4.04,1.69,4.304
-3226.216,5176.216,29.529,PLC98-4,260.5,CAL,2.57,4.36,1.79,4.266
-3233.651,5183.651,29.54,PLC98-4,261.5,CAL,2.22,4.17,1.95,4.388
-3241.081,5191.081,29.13,PLC98-4,262.5,CAL,1.51,3.56,2.05,4.23
-3248.507,5198.507,28.798,PLC98-4,263.5,CAL,1.49,3.55,2.06,4.154
-3255.928,5205.928,28.427,PLC98-4,264.5,CAL,1.75,3.72,1.97,4.003
-3263.344,5213.344,28.54,PLC98-4,265.5,CAL,1.98,3.85,1.87,4.222
-3270.756,5220.756,28.627,PLC98-4,266.5,CAL,2.24,4,1.76,4.475
-3278.164,5228.164,28.708,PLC98-4,267.5,CAL,1.98,3.85,1.87,4.378
-3285.566,5235.566,28.719,PLC98-4,268.5,CAL,2.14,4.04,1.9,4.41
-3292.965,5242.965,28.817,PLC98-4,269.5,CAL,2.37,4.13,1.76,4.533
-3300.358,5250.358,28.707,PLC98-4,270.5,CAL,1.91,3.66,1.75,4.325
-3307.748,5257.748,28.632,PLC98-4,271.5,CAL,1.85,3.51,1.66,4.155
-3315.132,5265.132,28.709,PLC98-4,272.5,CAL,1.61,3.49,1.88,4.122
-3322.512,5272.512,28.644,PLC98-4,273.5,CAL,1.46,3.27,1.81,4.052
-3329.888,5279.888,28.964,PLC98-4,274.5,CAL,1.92,3.49,1.57,4.582
-3337.259,5287.259,28.477,PLC98-4,275.5,CAL,1.94,3.58,1.64,4.305
-3344.625,5294.625,28.652,PLC98-4,276.5,CAL,1.89,3.6,1.71,4.379
-3355.666,5305.666,28.509,PLC98-4,278,CAL,1.65,3.23,1.58,4.313
-3370.371,5320.371,28.377,PLC98-4,280,CAL,1.48,2.99,1.51,4.085
-3385.058,5335.058,28.636,PLC98-4,282,CAL,1.98,3.53,1.55,4.158
-3399.727,5349.727,28.895,PLC98-4,284,CAL,1.96,3.56,1.6,4.422
-3414.378,5364.378,28.962,PLC98-4,286,CAL,1.72,3.33,1.61,4.37
-3429.01,5379.01,28.779,PLC98-4,288,CAL,1.67,3.25,1.58,4.053
-3443.624,5393.624,28.681,PLC98-4,290,CAL,1.61,3.35,1.74,3.894
-3458.22,5408.22,28.868,PLC98-4,292,CAL,1.81,3.47,1.66,4.183
-3472.797,5422.797,29.004,PLC98-4,294,CAL,1.98,3.72,1.74,4.323
-3487.356,5437.356,28.711,PLC98-4,296,CAL,2.04,3.7,1.66,4.189
-3501.897,5451.897,28.649,PLC98-4,298,CAL,1.76,3.35,1.59,4.13
-3516.42,5466.42,28.516,PLC98-4,300,CAL,1.76,3.36,1.6,4.004
-3530.924,5480.924,28.38,PLC98-4,302,CAL,1.73,3.35,1.62,3.824
-3545.411,5495.411,28.324,PLC98-4,304,CAL,1.71,3.38,1.67,3.793
-3559.879,5509.879,28.784,PLC98-4,306,CAL,1.86,3.49,1.63,4.043
-3574.328,5524.328,28.756,PLC98-4,308,CAL,1.81,3.4,1.59,4.126
-3588.76,5538.76,28.744,PLC98-4,310,CAL,1.65,3.31,1.66,3.99
-3603.173,5553.173,28.764,PLC98-4,312,CAL,1.7,3.34,1.64,3.914
-3617.568,5567.568,28.864,PLC98-4,314,CAL,1.88,3.45,1.57,4.181
-3631.945,5581.945,28.983,PLC98-4,316,CAL,1.83,3.44,1.61,4.372
-3646.303,5596.303,29.116,PLC98-4,318,CAL,1.93,3.58,1.65,4.49
-3660.643,5610.643,28.852,PLC98-4,320,CAL,1.89,3.5,1.61,4.425
-3674.965,5624.965,28.918,PLC98-4,322,CAL,1.68,3.3,1.62,4.453
-3689.269,5639.269,28.302,PLC98-4,324,CAL,1.69,3.09,1.4,3.915
-3703.554,5653.554,28.895,PLC98-4,326,CAL,1.68,3.23,1.55,4.169
-3717.821,5667.821,28.809,PLC98-4,328,CAL,1.71,3.21,1.5,4.189
-3732.07,5682.07,NA,PLC98-4,330,CAL,NA,NA,NA,NA
-3746.301,5696.301,28.746,PLC98-4,332,CAL,1.26,2.88,1.62,3.88
-3760.513,5710.513,28.838,PLC98-4,334,CAL,1.42,2.89,1.47,4.095
-3774.707,5724.707,28.635,PLC98-4,336,CAL,1.68,3.33,1.65,4.21
-3788.883,5738.883,28.828,PLC98-4,338,CAL,1.66,3.29,1.63,4.188
-3803.041,5753.041,28.933,PLC98-4,340,CAL,2.06,3.61,1.55,4.148
-3817.18,5767.18,28.986,PLC98-4,342,CAL,1.82,3.39,1.57,4.022
-3831.301,5781.301,28.523,PLC98-4,344,CAL,1.59,3.01,1.42,3.749
-3841.88,5791.88,28.527,PLC98-4,345.5,CAL,1.43,3.02,1.59,3.781
-3852.449,5802.449,29.037,PLC98-4,347,CAL,1.57,2.98,1.41,3.923
-3866.524,5816.524,29.009,PLC98-4,349,CAL,1.8,3.35,1.55,4.088
-3877.069,5827.069,28.936,PLC98-4,350.5,CAL,1.66,3.23,1.57,3.79
-3887.603,5837.603,28.973,PLC98-4,352,CAL,1.79,3.33,1.54,4.066
-3901.633,5851.633,28.512,PLC98-4,354,CAL,2.02,3.47,1.45,3.971
-3915.644,5865.644,28.557,PLC98-4,356,CAL,1.98,3.38,1.4,3.992
-3929.638,5879.638,28.552,PLC98-4,358,CAL,1.51,2.92,1.41,3.817
-3943.613,5893.613,28.251,PLC98-4,360,CAL,1.57,2.85,1.28,3.668
-3957.57,5907.57,28.787,PLC98-4,362,CAL,1.43,2.92,1.49,3.66
-3971.508,5921.508,28.841,PLC98-4,364,CAL,1.71,3.24,1.53,3.79
-3985.428,5935.428,28.632,PLC98-4,366,CAL,1.73,3.23,1.5,3.751
-3999.33,5949.33,29.02,PLC98-4,368,CAL,1.63,3.1,1.47,3.876
-4013.214,5963.214,28.803,PLC98-4,370,CAL,1.56,3.1,1.54,3.755
-4027.08,5977.08,28.529,PLC98-4,372,CAL,1.64,3.15,1.51,3.652
-4040.927,5990.927,28.636,PLC98-4,374,CAL,1.11,2.71,1.6,3.445
-4051.3,6001.3,29.231,PLC98-4,375.5,CAL,1.35,3.26,1.91,3.843
-4058.21,6008.21,29.06,PLC98-4,376.5,CAL,1.42,3.06,1.64,3.899
-4065.116,6015.116,29.16,PLC98-4,377.5,CAL,1.49,3.05,1.56,3.841
-4072.017,6022.017,28.962,PLC98-4,378.5,CAL,1.45,2.99,1.54,3.797
-4078.913,6028.913,28.914,PLC98-4,379.5,CAL,1.11,2.69,1.58,3.55
-4085.804,6035.804,29.142,PLC98-4,380.5,CAL,1.19,2.72,1.53,3.749
-4092.692,6042.692,28.953,PLC98-4,381.5,CAL,1.16,2.74,1.58,3.712
-4099.574,6049.574,29.136,PLC98-4,382.5,CAL,1.42,3.02,1.6,3.974
-4106.452,6056.452,29.055,PLC98-4,383.5,CAL,1.49,3.17,1.68,3.921
-4113.326,6063.326,29.15,PLC98-4,384.5,CAL,1.56,3.23,1.67,4.236
-4120.194,6070.194,29.233,PLC98-4,385.5,CAL,1.68,3.27,1.59,4.113
-4127.059,6077.059,28.923,PLC98-4,386.5,CAL,1.89,3.31,1.42,4.21
-4133.918,6083.918,29.016,PLC98-4,387.5,CAL,1.83,3.37,1.54,4.089
-4140.774,6090.774,28.94,PLC98-4,388.5,CAL,1.4,2.97,1.57,4.047
-4147.624,6097.624,28.951,PLC98-4,389.5,CAL,0.99,2.56,1.57,3.841
-4154.47,6104.47,28.574,PLC98-4,390.5,CAL,0.91,2.58,1.67,3.672
-4161.312,6111.312,28.608,PLC98-4,391.5,CAL,1.39,3.03,1.64,3.886
-4168.149,6118.149,28.541,PLC98-4,392.5,CAL,1.82,3.45,1.63,3.991
-4174.981,6124.981,28.4,PLC98-4,393.5,CAL,1.9,3.5,1.6,3.915
-4181.809,6131.809,28.373,PLC98-4,394.5,CAL,1.88,3.44,1.56,4.017
-4188.632,6138.632,28.3,PLC98-4,395.5,CAL,1.8,3.19,1.39,4.2
-4195.451,6145.451,28.283,PLC98-4,396.5,CAL,1.37,2.89,1.52,3.823
-4202.265,6152.265,28.572,PLC98-4,397.5,CAL,1.45,2.99,1.54,4.012
-4209.074,6159.074,28.61,PLC98-4,398.5,CAL,1.64,3.16,1.52,4.091
