year (AD),age (BP),temperature (degC),Uk37 (missing),Gruber (permil),TOC (percent)
-259733,261683,25.72,0.9,-0.63,1.12
-260465,262415,25.88,0.91,-1.32,1.06
-260952,262902,25.76,0.9,-0.45,1.15
-261684,263634,25.98,0.91,-0.95,0.98
-262172,264122,25.58,0.9,-0.72,1.27
-262904,264854,26.1,0.91,-0.6,0.91
-263391,265341,25.39,0.89,-0.69,0.96
-264123,266073,25.46,0.89,-1.12,1.13
-264611,266561,25.44,0.89,-0.33,1.14
-265343,267293,25.53,0.89,-0.99,0.88
-265830,267780,25.28,0.88,-0.48,1.01
-266562,268512,25.31,0.89,-0.48,0.75
-267050,269000,25.33,0.89,-0.31,0.74
-268400,270350,25.93,0.91,-0.54,0.71
-269300,271250,25.7,0.9,-0.56,0.79
-271550,273500,25.89,0.91,-0.6,0.68
-272900,274850,26.9,0.94,-1.09,0.66
-273800,275750,26.69,0.93,-0.89,0.52
-275150,277100,26.62,0.93,-1.36,0.56
-276050,278000,26.82,0.94,-0.7,0.65
-277400,279350,26.79,0.94,-0.99,0.73
-278300,280250,26.86,0.94,-1.03,0.74
-279650,281600,26.95,0.94,-1.2,0.86
-280550,282500,26.94,0.94,-0.81,1.06
-282800,284750,NA,-1.54,NA,NA
-284375,286325,26.79,0.94,-1.48,1.05
-285050,287000,26.9,0.94,-1.35,1.05
-286346,288296,26.92,0.94,-1.46,1.12
-286902,288852,26.86,0.94,-1.34,1.11
-288198,290148,26.85,0.94,-1.53,0.81
-288754,290704,26.79,0.94,-1.47,1.24
-290050,292000,26.77,0.94,-1.56,1.26
