depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d13C (permil),depth (m),age (BP),temperature (degC),depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d18O (permil),d18O (permil),depth (m),temperature (degC),temperature (degC),uncertainty.temperature (degC),uncertainty.temperature (degC),depth (m),age (BP),temperature (degC)
NA,NA,NA,8.86,17067,4.65,-0.23,NA,NA,NA,6.805,11323,10.6,1.475,1869,1.01,1.72,4.17,NA,NA,NA,NA,NA,1.525,2012,12.34
NA,NA,NA,8.87,17078,4.68,-0.21,NA,NA,NA,6.855,11436,10.6,1.485,1881,0.85,2.06,3.98,NA,NA,NA,NA,NA,1.535,2024,12.72
NA,NA,NA,8.88,17093,4.645,-0.21,NA,NA,NA,6.905,11549,6.3,1.495,1893,0.73,1.76,NA,NA,NA,NA,NA,NA,1.545,2035,12.23
NA,NA,NA,8.89,17110,4.66,-0.05,NA,NA,NA,6.955,11663,3.9,1.505,1905,1.05,NA,NA,NA,NA,NA,NA,NA,1.555,2046,12.52
NA,NA,NA,8.9,17120,4.6,-0.13,NA,NA,NA,7.005,11776,4.2,1.515,1918,0.98,1.82,NA,NA,NA,NA,NA,NA,1.565,2057,12.31
NA,NA,NA,8.91,17131,4.61,-0.16,NA,NA,NA,7.055,11889,4.4,1.525,1930,0.92,1.78,NA,NA,NA,NA,NA,NA,1.578,2071,12.84
NA,NA,NA,8.93,17142,4.8,-0.08,NA,NA,NA,7.105,12047,3.1,1.535,1942,0.99,1.63,NA,NA,NA,NA,NA,NA,1.585,2079,12.31
NA,NA,NA,8.94,17152,4.52,-0.23,NA,NA,NA,7.155,12384,4.3,1.545,1964,0.89,1.72,4.06,NA,NA,NA,NA,NA,1.595,2090,12.49
NA,NA,NA,8.95,17163,4.54,-0.02,NA,NA,NA,7.205,12720,3,1.555,1985,0.94,1.69,3.96,NA,NA,NA,NA,NA,1.605,2101,12.28
NA,NA,NA,8.96,17179,4.665,-0.165,NA,NA,NA,7.255,13057,4.4,1.565,2007,0.93,1.84,NA,NA,NA,NA,NA,NA,1.615,2112,12.21
NA,NA,NA,8.97,17195,4.62,-0.09,NA,NA,NA,7.305,13393,3.7,1.575,2028,1.15,1.68,4.19,NA,NA,NA,NA,NA,1.655,2157,12.06
NA,NA,NA,8.98,17206,4.64,-0.22,NA,NA,NA,7.355,13496,3.3,1.585,2050,0.92,1.97,3.95,NA,NA,NA,NA,NA,1.665,2168,12.46
NA,NA,NA,9.01,17227,4.55,-0.29,NA,NA,NA,7.405,13600,4.2,1.595,2072,0.96,1.49,NA,NA,NA,NA,NA,NA,1.675,2180,12.29
NA,NA,NA,9.02,17238,4.61,-0.2,NA,NA,NA,7.455,13703,4.7,1.605,2093,0.97,1.77,4.18,NA,NA,NA,NA,NA,1.685,2191,12.66
NA,NA,NA,9.03,17249,4.59,-0.08,NA,NA,NA,NA,NA,NA,1.615,2115,0.81,1.69,NA,NA,NA,NA,NA,NA,1.695,2202,12.64
NA,NA,NA,9.04,17265,4.46,-0.195,NA,NA,NA,NA,NA,NA,1.655,2201,1.28,1.57,4.21,NA,NA,NA,NA,NA,1.705,2214,12.49
NA,NA,NA,9.05,17281,4.6,-0.12,NA,NA,NA,NA,NA,NA,1.665,2223,1.06,1.84,4.17,NA,NA,NA,NA,NA,1.715,2225,12
NA,NA,NA,9.06,17291,4.64,-0.19,NA,NA,NA,NA,NA,NA,1.675,2244,1,2.03,4.1,NA,NA,NA,NA,NA,1.725,2236,12.43
NA,NA,NA,9.11,17334,4.68,-0.1,NA,NA,NA,NA,NA,NA,1.685,2266,0.99,1.83,4.28,NA,NA,NA,NA,NA,1.735,2247,12.49
NA,NA,NA,9.12,17351,4.67,-0.15,NA,NA,NA,NA,NA,NA,1.695,2287,1.25,1.6,4.14,NA,NA,NA,NA,NA,1.745,2259,11.67
NA,NA,NA,9.13,17366,4.66,-0.2,NA,NA,NA,NA,NA,NA,1.705,2309,1.22,1.9,4.2,NA,NA,NA,NA,NA,1.755,2270,12.11
NA,NA,NA,9.14,17377,4.63,-0.17,NA,NA,NA,NA,NA,NA,1.715,2324,0.99,1.85,4.1,NA,NA,NA,NA,NA,1.765,2282,11.85
NA,NA,NA,9.15,17388,4.57,-0.27,NA,NA,NA,NA,NA,NA,1.725,2338,1.34,2.14,4.21,NA,NA,NA,NA,NA,1.775,2293,12.05
NA,NA,NA,9.16,17398,4.64,-0.38,NA,NA,NA,NA,NA,NA,1.735,2353,0.99,1.75,4.24,NA,NA,NA,NA,NA,1.785,2304,12.2
NA,NA,NA,9.18,17409,4.61,-0.21,NA,NA,NA,NA,NA,NA,1.745,2368,1.23,1.92,4.36,NA,NA,NA,NA,NA,1.795,2316,12.16
NA,NA,NA,9.19,17420,4.61,-0.26,NA,NA,NA,NA,NA,NA,1.755,2382,1.21,1.9,4.53,NA,NA,NA,NA,NA,1.805,2327,10.81
NA,NA,NA,9.2,17430,4.6,-0.14,NA,NA,NA,NA,NA,NA,1.765,2397,1.1,1.7,4.42,NA,NA,NA,NA,NA,1.815,2339,12
NA,NA,NA,9.21,17447,4.535,-0.135,NA,NA,NA,NA,NA,NA,1.775,2412,1.28,1.99,4.37,NA,NA,NA,NA,NA,1.835,2362,11.98
NA,NA,NA,9.22,17463,4.62,-0.23,NA,NA,NA,NA,NA,NA,1.785,2426,1.27,1.92,3.97,NA,NA,NA,NA,NA,1.845,2374,11.87
NA,NA,NA,9.24,17484,4.69,-0.13,NA,NA,NA,NA,NA,NA,1.795,2441,1.07,2.15,4.34,NA,NA,NA,NA,NA,1.855,2385,11.8
NA,NA,NA,9.26,17495,4.57,-0.17,NA,NA,NA,NA,NA,NA,1.805,2456,0.7,NA,3.64,NA,NA,NA,NA,NA,1.865,2397,11.3
NA,NA,NA,9.27,17505,4.62,-0.25,NA,NA,NA,NA,NA,NA,1.815,2471,1.22,1.53,4.02,NA,NA,NA,NA,NA,1.885,2421,11.52
NA,NA,NA,9.28,17516,4.68,-0.12,NA,NA,NA,NA,NA,NA,1.825,2485,0.96,1.78,4.15,NA,NA,NA,NA,NA,1.895,2432,11.4
NA,NA,NA,9.29,17532,4.545,-0.265,NA,NA,NA,NA,NA,NA,1.835,2500,0.71,1.8,4.31,NA,NA,NA,NA,NA,1.915,2456,10.83
NA,NA,NA,9.3,17548,4.57,-0.41,NA,NA,NA,NA,NA,NA,1.845,2515,1.11,1.92,4.13,NA,NA,NA,NA,NA,1.925,2468,11.58
NA,NA,NA,9.31,17559,4.51,-0.35,NA,NA,NA,NA,NA,NA,1.855,2529,0.63,2.1,NA,NA,NA,NA,NA,NA,1.935,2480,11.14
NA,NA,NA,9.32,17569,4.46,-0.34,NA,NA,NA,NA,NA,NA,1.865,2544,0.83,2.15,4.16,NA,NA,NA,NA,NA,1.945,2492,10.93
NA,NA,NA,9.34,17580,4.5,-0.38,NA,NA,NA,NA,NA,NA,1.875,2559,1,1.9,3.82,NA,NA,NA,NA,NA,1.955,2505,10.86
NA,NA,NA,9.35,17591,4.24,-0.31,NA,NA,NA,NA,NA,NA,1.885,2573,1.29,1.8,4.23,NA,NA,NA,NA,NA,1.965,2517,10.23
NA,NA,NA,9.36,17602,4.72,-0.37,NA,NA,NA,NA,NA,NA,1.895,2588,0.56,2.03,4.17,NA,NA,NA,NA,NA,1.975,2529,10.35
NA,NA,NA,9.37,17612,4.49,-0.32,NA,NA,NA,NA,NA,NA,1.905,2603,1.29,2.09,4.4,NA,NA,NA,NA,NA,1.985,2542,10.58
NA,NA,NA,9.38,17628,4.43,-0.35,NA,NA,NA,NA,NA,NA,1.915,2617,1.66,2.04,4.31,NA,NA,NA,NA,NA,1.995,2554,10.06
NA,NA,NA,9.39,17644,4.58,-0.25,NA,NA,NA,NA,NA,NA,1.925,2632,1.52,2.13,4.43,NA,NA,NA,NA,NA,2.005,2566,10.25
NA,NA,NA,9.4,17655,4.53,-0.17,NA,NA,NA,NA,NA,NA,1.935,2647,1.52,2.22,4.38,NA,NA,NA,NA,NA,2.015,2579,9.35
NA,NA,NA,9.41,17666,4.54,-0.38,NA,NA,NA,NA,NA,NA,1.945,2661,1.79,2.07,4.36,NA,NA,NA,NA,NA,2.025,2592,10.34
NA,NA,NA,9.43,17676,4.56,-0.26,NA,NA,NA,NA,NA,NA,1.955,2676,1.34,2.23,4.35,NA,NA,NA,NA,NA,2.035,2604,10.34
NA,NA,NA,9.45,17698,4.5,-0.26,NA,NA,NA,NA,NA,NA,1.965,2691,1.83,2.08,4.39,NA,NA,NA,NA,NA,2.045,2617,10.69
NA,NA,NA,9.46,17715,4.68,-0.22,NA,NA,NA,NA,NA,NA,1.975,2706,1.6,2.35,4.34,NA,NA,NA,NA,NA,2.055,2630,9.82
NA,NA,NA,9.47,17730,4.62,-0.19,NA,NA,NA,NA,NA,NA,1.985,2720,1.71,2.17,4.34,NA,NA,NA,NA,NA,2.065,2643,10.37
NA,NA,NA,9.48,17741,4.54,-0.27,NA,NA,NA,NA,NA,NA,1.995,2735,1.6,2.31,4.38,NA,NA,NA,NA,NA,2.075,2656,10.76
NA,NA,NA,9.49,17751,4.62,-0.31,NA,NA,NA,NA,NA,NA,2.005,2750,1.39,2.11,4.09,NA,NA,NA,NA,NA,2.085,2669,10.3
NA,NA,NA,9.51,17762,4.49,-0.3,NA,NA,NA,NA,NA,NA,2.015,2764,1.29,1.84,3.62,NA,NA,NA,NA,NA,2.095,2682,10.5
NA,NA,NA,9.52,17773,4.6,-0.18,NA,NA,NA,NA,NA,NA,2.025,2779,1.26,2.14,3.82,NA,NA,NA,NA,NA,2.105,2695,10.44
NA,NA,NA,9.53,17783,4.71,-0.18,NA,NA,NA,NA,NA,NA,2.035,2794,1.41,1.93,3.64,NA,NA,NA,NA,NA,2.115,2709,10.42
NA,NA,NA,9.54,17799,4.56,-0.22,NA,NA,NA,NA,NA,NA,2.045,2808,1.1,1.94,4.08,NA,NA,NA,NA,NA,2.125,2722,11.51
NA,NA,NA,9.55,17815,4.62,-0.2,NA,NA,NA,NA,NA,NA,2.055,2823,2.05,1.91,4.42,NA,NA,NA,NA,NA,2.135,2736,11.65
NA,NA,NA,9.56,17826,4.54,-0.2,NA,NA,NA,NA,NA,NA,2.065,2838,1.32,2.02,3.78,NA,NA,NA,NA,NA,2.145,2749,11.61
NA,NA,NA,9.57,17837,4.45,-0.34,NA,NA,NA,NA,NA,NA,2.075,2852,1.33,1.94,3.92,NA,NA,NA,NA,NA,2.155,2763,10.86
NA,NA,NA,9.6,17858,4.59,-0.27,NA,NA,NA,NA,NA,NA,2.085,2867,1.35,1.95,3.89,NA,NA,NA,NA,NA,2.165,2777,11.14
NA,NA,NA,9.61,17869,4.4,-0.07,NA,NA,NA,NA,NA,NA,2.095,2882,1.32,1.9,3.86,NA,NA,NA,NA,NA,2.175,2790,10.94
NA,NA,NA,9.62,17885,4.525,-0.335,NA,NA,NA,NA,NA,NA,2.105,2896,1.24,2.18,NA,NA,NA,NA,NA,NA,2.185,2804,11.24
NA,NA,NA,9.63,17901,4.65,-0.18,NA,NA,NA,NA,NA,NA,2.115,2911,1.1,1.74,NA,NA,NA,NA,NA,NA,2.195,2819,11.4
NA,NA,NA,9.64,17912,4.54,-0.47,NA,NA,NA,NA,NA,NA,2.125,2926,1.28,1.94,NA,NA,NA,NA,NA,NA,2.205,2833,11.76
NA,NA,NA,9.65,17922,4.67,-0.03,NA,NA,NA,NA,NA,NA,2.135,2941,1.14,1.64,3.68,NA,NA,NA,NA,NA,2.255,2905,11.57
NA,NA,NA,9.66,17933,4.57,-0.17,NA,NA,NA,NA,NA,NA,2.145,2955,1.33,1.79,3.93,NA,NA,NA,NA,NA,2.295,2965,11.76
NA,NA,NA,9.68,17944,4.58,-0.16,NA,NA,NA,NA,NA,NA,2.155,2970,1.43,2.08,4.13,NA,NA,NA,NA,NA,2.305,2980,11.07
NA,NA,NA,9.69,17954,4.28,-0.03,NA,NA,NA,NA,NA,NA,2.165,2985,1.25,1.89,3.98,NA,NA,NA,NA,NA,2.355,3058,11.48
NA,NA,NA,9.7,17965,4.7,-0.04,NA,NA,NA,NA,NA,NA,2.175,2999,1.36,1.83,4,NA,NA,NA,NA,NA,2.405,3138,11.86
NA,NA,NA,9.71,17982,4.535,-0.18,NA,NA,NA,NA,NA,NA,2.185,3014,1.51,1.75,3.84,NA,NA,NA,NA,NA,2.455,3219,10.48
NA,NA,NA,9.72,17997,4.62,-0.2,NA,NA,NA,NA,NA,NA,2.195,3029,1.38,2.03,3.87,NA,NA,NA,NA,NA,2.505,3303,12.42
NA,NA,NA,9.73,18008,4.64,-0.02,NA,NA,NA,NA,NA,NA,2.205,3043,0.95,1.36,3.67,NA,NA,NA,NA,NA,2.555,3387,11.55
NA,NA,NA,9.76,18029,4.6,-0.27,NA,NA,NA,NA,NA,NA,2.215,3058,1.13,1.6,3.42,NA,NA,NA,NA,NA,2.605,3473,11.22
NA,NA,NA,9.77,18040,4.59,-0.14,NA,NA,NA,NA,NA,NA,2.225,3073,1.16,1.73,4.04,NA,NA,NA,NA,NA,2.655,3560,12.05
NA,NA,NA,9.78,18051,4.6,-0.26,NA,NA,NA,NA,NA,NA,2.235,3087,1.31,1.7,NA,NA,NA,NA,NA,NA,2.705,3646,11.02
NA,NA,NA,9.79,18067,4.28,-0.265,NA,NA,NA,NA,NA,NA,2.245,3102,1.22,1.58,3.95,NA,NA,NA,NA,NA,2.755,3733,9.72
NA,NA,NA,9.8,18083,4.53,-0.11,NA,NA,NA,NA,NA,NA,2.255,3117,0.96,1.78,NA,NA,NA,NA,NA,NA,2.805,3820,11.05
NA,NA,NA,9.81,18093,4.66,-0.13,NA,NA,NA,NA,NA,NA,2.265,3131,1.31,1.81,3.82,NA,NA,NA,NA,NA,2.855,3907,11.42
NA,NA,NA,9.82,18104,4.51,-0.26,NA,NA,NA,NA,NA,NA,2.275,3146,1.36,1.94,3.98,NA,NA,NA,NA,NA,2.905,3995,10.92
NA,NA,NA,9.84,18115,4.57,-0.07,NA,NA,NA,NA,NA,NA,2.285,3161,1.39,1.77,3.89,NA,NA,NA,NA,NA,2.955,4082,11.44
NA,NA,NA,9.85,18126,4.48,-0.15,NA,NA,NA,NA,NA,NA,2.295,3176,1.12,1.69,3.71,NA,NA,NA,NA,NA,3.005,4171,11.29
NA,NA,NA,9.86,18136,4.57,-0.09,NA,NA,NA,NA,NA,NA,2.315,3205,1.36,NA,3.51,NA,NA,NA,NA,NA,3.055,4260,9.92
NA,NA,NA,9.87,18147,4.59,-0.12,NA,NA,NA,NA,NA,NA,2.325,3220,1.3,1.63,3.74,NA,NA,NA,NA,NA,3.105,4349,10.93
NA,NA,NA,9.88,18163,4.545,-0.12,NA,NA,NA,NA,NA,NA,2.335,3234,1.33,1.6,3.76,NA,NA,NA,NA,NA,3.155,4439,10.89
NA,NA,NA,9.89,18179,4.58,-0.15,NA,NA,NA,NA,NA,NA,2.345,3249,1.34,1.78,3.68,NA,NA,NA,NA,NA,3.255,4620,11.52
NA,NA,NA,9.9,18190,4.67,-0.18,NA,NA,NA,NA,NA,NA,2.355,3264,NA,2.12,NA,NA,NA,NA,NA,NA,3.305,4712,11.07
NA,NA,NA,9.91,18200,4.67,-0.12,NA,NA,NA,NA,NA,NA,2.365,3278,1.18,1.74,3.74,NA,NA,NA,NA,NA,3.355,4803,11.69
NA,NA,NA,9.93,18211,4.57,-0.2,NA,NA,NA,NA,NA,NA,2.375,3293,1.21,1.65,3.76,NA,NA,NA,NA,NA,3.405,4894,11.02
NA,NA,NA,9.94,18222,4.55,-0.4,NA,NA,NA,NA,NA,NA,2.385,3308,1.15,1.84,4.06,NA,NA,NA,NA,NA,3.455,4986,9.31
NA,NA,NA,9.95,18233,4.51,-0.23,NA,NA,NA,NA,NA,NA,2.395,3322,1.26,1.71,3.88,NA,NA,NA,NA,NA,3.505,5076,10.25
NA,NA,NA,9.96,18248,4.585,-0.26,NA,NA,NA,NA,NA,NA,2.415,3352,1.15,1.71,NA,NA,NA,NA,NA,NA,3.555,5167,11.11
NA,NA,NA,9.97,18265,4.61,-0.29,NA,NA,NA,NA,NA,NA,2.425,3366,1.11,1.73,NA,NA,NA,NA,NA,NA,3.605,5256,10.52
NA,NA,NA,9.98,18275,4.59,-0.22,NA,NA,NA,NA,NA,NA,2.435,3381,1.03,1.82,3.84,NA,NA,NA,NA,NA,3.655,5345,9.23
NA,NA,NA,9.99,18286,4.4,-0.31,NA,NA,NA,NA,NA,NA,2.445,3396,1.19,1.83,3.81,NA,NA,NA,NA,NA,3.705,5432,9.61
NA,NA,NA,10.01,18297,4.55,-0.09,NA,NA,NA,NA,NA,NA,2.455,3411,NA,2.07,NA,NA,NA,NA,NA,NA,3.755,5519,11.2
NA,NA,NA,10.02,18307,4.59,-0.12,NA,NA,NA,NA,NA,NA,2.465,3425,1.41,2.11,3.63,NA,NA,NA,NA,NA,3.805,5605,10.62
NA,NA,NA,10.03,18318,4.69,-0.21,NA,NA,NA,NA,NA,NA,2.475,3440,1.13,1.83,3.53,NA,NA,NA,NA,NA,3.855,5690,10.77
NA,NA,NA,10.04,18334,4.59,-0.2,NA,NA,NA,NA,NA,NA,2.485,3455,1.27,1.81,3.72,NA,NA,NA,NA,NA,3.905,5775,10.65
NA,NA,NA,10.05,18350,4.62,-0.24,NA,NA,NA,NA,NA,NA,2.495,3469,1.3,1.79,3.65,NA,NA,NA,NA,NA,3.955,5859,10.16
NA,NA,NA,10.06,18361,4.69,-0.06,NA,NA,NA,NA,NA,NA,2.505,3484,1.46,2.02,4.32,NA,NA,NA,NA,NA,4.005,5943,11.15
NA,NA,NA,10.07,18372,4.74,-0.07,NA,NA,NA,NA,NA,NA,2.515,3499,1.3,1.81,3.79,NA,NA,NA,NA,NA,4.055,6026,10.57
NA,NA,NA,10.1,18393,4.85,-0.12,NA,NA,NA,NA,NA,NA,2.525,3513,1.19,1.78,3.61,NA,NA,NA,NA,NA,4.105,6109,11.28
NA,NA,NA,10.11,18404,4.54,-0.35,NA,NA,NA,NA,NA,NA,2.535,3528,1.16,2.18,3.96,NA,NA,NA,NA,NA,4.155,6192,10.92
NA,NA,NA,10.12,18419,4.71,-0.175,NA,NA,NA,NA,NA,NA,2.545,3543,1.25,2.19,4.02,NA,NA,NA,NA,NA,4.205,6275,11
NA,NA,NA,10.13,18436,4.61,-0.32,NA,NA,NA,NA,NA,NA,2.555,3557,1.64,2.17,NA,NA,NA,NA,NA,NA,4.255,6358,10.68
NA,NA,NA,10.14,18446,4.46,-0.26,NA,NA,NA,NA,NA,NA,2.565,3572,1.34,2.17,3.75,NA,NA,NA,NA,NA,4.305,6441,10.76
NA,NA,NA,10.15,18457,4.59,-0.3,NA,NA,NA,NA,NA,NA,2.575,3587,1.38,2.05,3.98,NA,NA,NA,NA,NA,4.355,6524,10.77
NA,NA,NA,10.16,18468,4.74,-0.29,NA,NA,NA,NA,NA,NA,2.585,3601,1.47,2.12,NA,NA,NA,NA,NA,NA,4.405,6607,10.69
NA,NA,NA,10.18,18478,4.63,-0.29,NA,NA,NA,NA,NA,NA,2.595,3616,1.39,2.14,3.96,NA,NA,NA,NA,NA,4.455,6690,10.31
NA,NA,NA,10.19,18489,4.62,-0.2,NA,NA,NA,NA,NA,NA,2.605,3631,1.79,2.4,3.97,NA,NA,NA,NA,NA,4.505,6774,10.24
NA,NA,NA,10.2,18500,4.49,-0.43,NA,NA,NA,NA,NA,NA,2.615,3646,1.18,2.22,NA,NA,NA,NA,NA,NA,4.555,6859,9.77
NA,NA,NA,10.21,18516,4.535,-0.235,NA,NA,NA,NA,NA,NA,2.625,3660,1.29,2.17,3.92,NA,NA,NA,NA,NA,4.605,6944,10.5
NA,NA,NA,10.22,18532,4.54,-0.27,NA,NA,NA,NA,NA,NA,2.635,3675,1.45,2.02,3.78,NA,NA,NA,NA,NA,4.655,7030,9.71
NA,NA,NA,10.23,18543,4.5,-0.31,NA,NA,NA,NA,NA,NA,2.645,3690,1.48,2.01,3.92,NA,NA,NA,NA,NA,4.705,7118,10.28
NA,NA,NA,10.24,18553,4.5,-0.15,NA,NA,NA,NA,NA,NA,2.655,3704,1.59,2.62,4.04,NA,NA,NA,NA,NA,4.755,7206,9.87
NA,NA,NA,10.26,18564,4.55,-0.28,NA,NA,NA,NA,NA,NA,2.665,3719,1.3,2.03,3.97,NA,NA,NA,NA,NA,4.805,7297,10.06
NA,NA,NA,10.27,18575,4.43,-0.32,NA,NA,NA,NA,NA,NA,2.675,3734,1.29,2.18,3.85,NA,NA,NA,NA,NA,4.855,7389,10.69
NA,NA,NA,10.28,18585,4.49,-0.26,NA,NA,NA,NA,NA,NA,2.685,3748,1.33,2.05,3.86,NA,NA,NA,NA,NA,4.905,7483,9.91
NA,NA,NA,10.29,18602,4.395,-0.25,NA,NA,NA,NA,NA,NA,2.695,3763,1.47,2.3,3.87,NA,NA,NA,NA,NA,4.955,7580,10.38
NA,NA,NA,10.3,18618,4.65,-0.16,NA,NA,NA,NA,NA,NA,2.705,3776,1.66,2.41,4.07,NA,NA,NA,NA,NA,5.005,7678,10
NA,NA,NA,10.31,18628,4.73,-0.08,NA,NA,NA,NA,NA,NA,2.715,3789,1.39,2.1,NA,NA,NA,NA,NA,NA,5.055,7780,10.2
NA,NA,NA,10.37,18682,4.56,-0.27,NA,NA,NA,NA,NA,NA,2.725,3802,1.46,2.16,3.89,NA,NA,NA,NA,NA,5.105,7883,10.08
NA,NA,NA,10.4,18724,4.61,-0.18,NA,NA,NA,NA,NA,NA,2.735,3816,1.44,2.2,3.99,NA,NA,NA,NA,NA,5.155,7990,11.07
NA,NA,NA,10.41,18735,4.23,-0.25,NA,NA,NA,NA,NA,NA,2.745,3829,1.46,2.05,4.02,NA,NA,NA,NA,NA,5.255,8210,10.89
NA,NA,NA,10.43,18746,4.77,-0.17,NA,NA,NA,NA,NA,NA,2.755,3842,1.97,2.19,4.32,NA,NA,NA,NA,NA,5.285,8277,10.42
NA,NA,NA,10.46,18789,4.16,-0.28,NA,NA,NA,NA,NA,NA,2.765,3855,1.67,2.13,4.02,NA,NA,NA,NA,NA,5.295,8300,9.36
NA,NA,NA,10.52,18842,4.36,-0.26,NA,NA,NA,NA,NA,NA,2.775,3868,1.81,2.2,3.93,NA,NA,NA,NA,NA,5.305,8322,9.86
NA,NA,NA,10.56,18896,4.63,-0.16,NA,NA,NA,NA,NA,NA,2.785,3881,1.54,2.28,3.9,NA,NA,NA,NA,NA,5.315,8345,10.01
NA,NA,NA,10.61,18938,4.55,-0.07,NA,NA,NA,NA,NA,NA,2.795,3895,1.48,2.1,NA,NA,NA,NA,NA,NA,5.325,8367,9.5
NA,NA,NA,10.62,18949,4.64,-0.08,NA,NA,NA,NA,NA,NA,2.805,3908,1.83,2.24,NA,NA,NA,NA,NA,NA,5.335,8390,9.2
NA,NA,NA,10.66,19003,4.47,-0.22,NA,NA,NA,NA,NA,NA,2.815,3921,1.34,2.01,NA,NA,NA,NA,NA,NA,5.345,8412,9.51
NA,NA,NA,10.71,19050,4.64,-0.16,NA,NA,NA,NA,NA,NA,2.825,3934,1.55,1.9,NA,NA,NA,NA,NA,NA,5.355,8435,9.34
NA,NA,NA,10.72,19067,4.65,-0.16,NA,NA,NA,NA,NA,NA,2.835,3947,1.42,2.17,NA,NA,NA,NA,NA,NA,5.365,8458,9.82
NA,NA,NA,10.78,19120,4.51,-0.22,NA,NA,NA,NA,NA,NA,2.845,3960,1.47,1.92,3.94,NA,NA,NA,NA,NA,5.375,8480,9.54
NA,NA,NA,10.79,19131,4.42,-0.24,NA,NA,NA,NA,NA,NA,2.855,3974,1.88,2.45,4.03,NA,NA,NA,NA,NA,5.385,8503,10.19
NA,NA,NA,10.8,19152,4.59,-0.11,NA,NA,NA,NA,NA,NA,2.865,3987,1.45,2.09,3.99,NA,NA,NA,NA,NA,5.395,8525,10.17
NA,NA,NA,10.81,19163,4.62,-0.06,NA,NA,NA,NA,NA,NA,2.875,4000,1.43,1.72,3.85,NA,NA,NA,NA,NA,5.405,8548,10.05
NA,NA,NA,10.82,19174,4.64,-0.28,NA,NA,NA,NA,NA,NA,2.885,4013,1.61,2.11,3.8,NA,NA,NA,NA,NA,5.455,8660,10.22
NA,NA,NA,10.87,19216,4.56,-0.08,NA,NA,NA,NA,NA,NA,2.895,4026,1.45,2.19,4.17,NA,NA,NA,NA,NA,5.505,8770,10
NA,NA,NA,10.9,19259,4.68,-0.17,NA,NA,NA,NA,NA,NA,2.905,4039,1.53,2.01,4.07,NA,NA,NA,NA,NA,5.555,8879,9.57
NA,NA,NA,10.91,19270,4.54,-0.22,NA,NA,NA,NA,NA,NA,2.915,4052,1.59,2.06,NA,NA,NA,NA,NA,NA,5.605,8987,10.9
NA,NA,NA,10.93,19281,4.57,-0.14,NA,NA,NA,NA,NA,NA,2.925,4066,1.25,2.05,NA,NA,NA,NA,NA,NA,5.655,9094,10.88
NA,NA,NA,10.94,19291,4.69,-0.29,NA,NA,NA,NA,NA,NA,2.935,4079,1.21,1.96,NA,NA,NA,NA,NA,NA,5.705,9198,11.21
NA,NA,NA,10.95,19302,4.41,-0.15,NA,NA,NA,NA,NA,NA,2.945,4092,1.41,2,4.08,NA,NA,NA,NA,NA,5.755,9301,11.03
NA,NA,NA,10.96,19318,4.67,-0.1,NA,NA,NA,NA,NA,NA,2.955,4105,1.78,2.3,4.28,NA,NA,NA,NA,NA,5.805,9402,10.53
NA,NA,NA,10.97,19334,4.58,-0.11,NA,NA,NA,NA,NA,NA,2.965,4118,1.4,NA,4.03,NA,NA,NA,NA,NA,5.855,9502,10.87
NA,NA,NA,10.98,19345,4.59,-0.11,NA,NA,NA,NA,NA,NA,2.975,4131,1.3,1.87,4.05,NA,NA,NA,NA,NA,5.905,9600,11.08
NA,NA,NA,10.99,19355,4.62,-0.25,NA,NA,NA,NA,NA,NA,2.985,4145,1.38,1.81,4.12,NA,NA,NA,NA,NA,5.955,9698,11.54
NA,NA,NA,11.01,19366,4.49,-0.13,NA,NA,NA,NA,NA,NA,2.995,4158,1.43,2.12,4.21,NA,NA,NA,NA,NA,6.005,9795,11.17
NA,NA,NA,11.02,19377,4.61,-0.09,NA,NA,NA,NA,NA,NA,3.005,4171,1.63,2.07,4.44,NA,NA,NA,NA,NA,6.055,9891,11.01
NA,NA,NA,11.03,19388,4.66,-0.23,NA,NA,NA,NA,NA,NA,3.015,4184,1.22,1.98,3.86,NA,NA,NA,NA,NA,6.105,9987,10.85
NA,NA,NA,11.04,19404,4.575,-0.245,NA,NA,NA,NA,NA,NA,3.025,4197,1.42,2.11,3.88,NA,NA,NA,NA,NA,6.155,10083,11.75
NA,NA,NA,11.05,19420,4.63,-0.14,NA,NA,NA,NA,NA,NA,3.035,4210,1.49,1.93,3.77,NA,NA,NA,NA,NA,6.205,10179,11.4
NA,NA,NA,11.06,19430,4.54,-0.31,NA,NA,NA,NA,NA,NA,3.045,4223,1.46,2.12,3.77,NA,NA,NA,NA,NA,6.255,10275,11.41
NA,NA,NA,11.07,19441,4.63,-0.2,NA,NA,NA,NA,NA,NA,3.055,4237,1.88,2.44,4.28,NA,NA,NA,NA,NA,6.305,10372,10.69
NA,NA,NA,11.09,19452,4.66,-0.23,NA,NA,NA,NA,NA,NA,3.065,4250,1.49,2.19,3.91,NA,NA,NA,NA,NA,6.355,10469,11.13
NA,NA,NA,11.1,19462,4.68,-0.12,NA,NA,NA,NA,NA,NA,3.075,4263,1.66,2.25,3.96,NA,NA,NA,NA,NA,6.405,10568,11.34
NA,NA,NA,11.11,19473,4.66,-0.28,NA,NA,NA,NA,NA,NA,3.085,4276,1.66,2.19,4.01,NA,NA,NA,NA,NA,6.455,10667,10.68
