depth (m),age (BP),d18O (permil),d18O (permil),d18O (permil),depth (m),age (BP),planktic.d18O (permil),depth (m),age (BP),temperature (degC),Uk37 (missing),depth (m),d18O (permil)
27.4,106530,NA,NA,3.615,12.4,48560,-1.41,26.8,104760,28.65,0.975,27.4,3.145
27.6,107120,NA,NA,3.931,12.5,49050,-1.56,26.9,105050,28.83,0.979,27.6,3.461
27.7,107420,NA,NA,3.982,12.6,49540,-1.74,27,105350,28.74,0.977,27.7,3.512
27.8,107690,NA,NA,3.619,12.7,50030,-1.65,27.1,105650,28.78,0.978,27.8,3.149
28,108220,NA,NA,3.718,12.8,50520,-1.6,27.2,105940,28.57,0.973,28,3.248
28.1,108480,NA,3.439,NA,12.9,51010,-1.64,27.3,106240,28.78,0.978,28.1,3.439
28.2,108750,NA,NA,3.749,13,51500,-1.77,27.4,106530,28.22,0.965,28.2,3.279
28.3,109010,NA,NA,3.672,13.1,51990,-1.89,27.5,106830,28,0.96,28.3,3.202
28.5,109540,NA,NA,3.731,13.2,52480,-1.68,27.6,107120,27.87,0.957,28.5,3.261
28.8,110340,NA,3.274,NA,13.3,53010,-1.51,27.7,107420,27.87,0.957,28.8,3.274
28.9,110610,NA,NA,3.612,13.4,53530,-1.68,27.8,107690,27.78,0.955,28.9,3.142
29,110870,NA,NA,3.597,13.5,54060,-1.26,27.9,107950,28.3,0.967,29,3.127
29.2,111400,NA,NA,3.492,13.6,54580,-1.4,28,108220,28.3,0.967,29.2,3.022
29.3,111670,NA,NA,3.382,13.7,55110,-1.34,28.1,108480,28.3,0.967,29.3,2.912
29.6,112460,NA,NA,3.156,13.8,55630,-1.55,28.2,108750,28,0.96,29.6,2.686
30.3,114320,NA,NA,2.907,13.9,56160,-1.53,28.3,109010,28.57,0.973,30.3,2.437
30.5,114850,2.876,NA,NA,14,56680,-1.55,28.4,109280,28.57,0.973,30.5,2.876
30.7,115390,2.843,NA,NA,14.1,57210,-1.53,28.5,109540,28.78,0.978,30.7,2.843
NA,NA,NA,NA,NA,14.2,57730,-1.57,28.6,109810,28.83,0.979,NA,NA
NA,NA,NA,NA,NA,14.3,58290,-1.52,28.7,110080,28.91,0.981,NA,NA
NA,NA,NA,NA,NA,14.4,58860,-1.4,28.8,110340,28.65,0.975,NA,NA
NA,NA,NA,NA,NA,14.5,59420,-1.27,28.9,110610,28.74,0.977,NA,NA
NA,NA,NA,NA,NA,14.6,59980,-1.05,29,110870,28.87,0.98,NA,NA
NA,NA,NA,NA,NA,14.7,60540,-1.22,29.1,111140,29.04,0.984,NA,NA
NA,NA,NA,NA,NA,14.8,61110,-1.16,29.2,111400,29,0.983,NA,NA
NA,NA,NA,NA,NA,14.9,61670,-1.32,29.25,111540,29.04,0.984,NA,NA
NA,NA,NA,NA,NA,15,62230,-1.14,29.38,111880,29.13,0.986,NA,NA
NA,NA,NA,NA,NA,15.1,62790,-1.11,29.5,112200,29.17,0.987,NA,NA
NA,NA,NA,NA,NA,15.2,63360,-1.03,29.6,112460,29.22,0.988,NA,NA
NA,NA,NA,NA,NA,15.3,64040,-1.13,29.7,112730,29.17,0.987,NA,NA
NA,NA,NA,NA,NA,15.4,64720,-1.3,29.8,113000,28.7,0.976,NA,NA
NA,NA,NA,NA,NA,15.5,65400,-1.21,29.9,113260,29.13,0.986,NA,NA
NA,NA,NA,NA,NA,15.6,66090,-1.49,29.95,113390,29.22,0.988,NA,NA
NA,NA,NA,NA,NA,15.7,66770,-1.65,30,113530,29.09,0.985,NA,NA
NA,NA,NA,NA,NA,15.8,67450,-1.55,30.1,113790,29.3,0.99,NA,NA
NA,NA,NA,NA,NA,15.9,68140,-1.82,30.2,114060,28.78,0.978,NA,NA
NA,NA,NA,NA,NA,16,68820,-1.9,30.3,114320,29.39,0.992,NA,NA
NA,NA,NA,NA,NA,16.1,69500,-1.66,30.4,114590,29.35,0.991,NA,NA
NA,NA,NA,NA,NA,16.2,70180,-1.54,30.5,114850,29.39,0.992,NA,NA
NA,NA,NA,NA,NA,16.3,70640,-1.61,30.6,115120,29.48,0.994,NA,NA
NA,NA,NA,NA,NA,16.4,71090,-1.59,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,16.5,71550,-1.83,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,16.6,72000,-1.97,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,16.7,72460,-1.89,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,16.8,72910,-2.16,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,16.9,73370,-2.07,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,17,73820,-2.01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,17.1,74280,-1.98,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,17.2,74730,-1.89,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,17.3,75190,-1.8,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,17.4,75640,-1.95,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,17.5,76100,-1.64,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,17.6,76550,-1.83,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,17.7,77010,-1.9,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,17.8,77460,-1.94,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,17.9,77910,-1.82,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,18,78370,-1.94,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,18.1,78820,-1.74,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,18.2,79280,-2.02,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,18.3,79730,-1.9,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,18.4,80020,-2.02,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,18.5,80320,-2.04,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,18.6,80610,-1.99,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,18.7,80900,-2.14,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,18.8,81190,-1.92,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,18.9,81480,-1.97,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,19,81770,-2.08,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,19.1,82060,-2.2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,19.2,82350,-2.14,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,19.3,82640,-2.26,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,19.4,82930,-2.27,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,19.5,83220,-2.2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,19.6,83510,-1.8,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,19.7,83800,-1.99,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,19.8,84100,-2.1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,19.9,84390,-1.81,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20,84680,-1.69,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20.1,84970,-1.59,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20.2,85260,-1.69,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20.3,85550,-1.53,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20.4,85840,-1.73,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20.5,86130,-1.64,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20.6,86420,-1.6,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20.7,86710,-1.82,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20.8,87010,-1.69,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20.9,87300,-1.84,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21,87600,-2.03,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21.1,87900,-2.01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21.2,88190,-2.16,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21.3,88490,-2.03,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21.4,88780,-2.12,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21.5,89080,-1.64,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21.6,89370,-1.8,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21.7,89670,-1.9,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21.8,89970,-1.89,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21.9,90260,-1.98,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22,90560,-1.92,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22.1,90850,-1.92,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22.2,91150,-1.93,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22.3,91450,-1.97,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22.4,91740,-2.01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22.5,92040,-2.06,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22.6,92330,-2.04,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22.7,92630,-2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22.8,92920,-2.14,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22.9,93220,-2.06,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23,93520,-2.19,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23.1,93810,-2.23,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23.2,94110,-1.98,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23.3,94400,-2.12,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23.4,94700,-2.17,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23.5,95000,-2.17,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23.6,95290,-2.18,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23.7,95590,-2.2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23.8,95880,-2.35,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23.9,96180,-1.95,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24,96470,-1.9,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24.1,96770,-2.24,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24.2,97070,-2.14,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24.3,97360,-2.01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24.4,97660,-1.97,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24.5,97950,-1.93,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24.6,98250,-1.99,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24.7,98550,-2.12,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24.8,98840,-2.18,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24.9,99140,-2.2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,25,99430,-1.99,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,25.1,99730,-1.93,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,25.2,100020,-2.04,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,25.3,100320,-2.22,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,25.4,100620,-1.95,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,25.5,100910,-2.09,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,25.6,101210,-2.15,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,25.7,101500,-2.07,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,25.8,101800,-2.2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,25.9,102100,-1.98,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,26,102390,-2.08,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,26.1,102690,-2.02,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,26.2,102980,-1.98,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,26.3,103280,-1.93,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,26.4,103570,-1.96,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,26.5,103870,-2.05,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,26.6,104170,-2.04,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,26.7,104460,-2.22,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,26.8,104760,-2.19,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,26.9,105050,-2.09,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,27,105350,-2.15,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,27.1,105650,-2.05,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,27.2,105940,-2.42,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,27.3,106240,-2.27,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,27.4,106530,-1.85,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,27.5,106830,-1.89,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,27.6,107120,-1.87,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,27.66,107300,-1.92,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,27.8,107690,-1.95,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,27.9,107950,-1.88,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,28,108220,-1.97,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,28.1,108480,-1.9,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,28.2,108750,-2.12,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,28.3,109010,-2.24,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,28.38,109230,-2.29,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,28.5,109540,-2.16,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,28.6,109810,-2.35,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,28.7,110080,-2.13,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,28.8,110340,-2.17,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,28.87,110530,-2.03,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,29,110870,-2.28,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,29.1,111140,-2.04,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,29.2,111400,-2.32,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,29.3,111670,-2.3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,29.4,111930,-2.3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,29.5,112200,-2.37,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,29.6,112460,-2.23,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,29.7,112730,-2.33,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,29.85,113130,-2.29,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,29.95,113390,-2.39,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,30.1,113790,-2.47,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,30.2,114060,-2.57,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,30.3,114320,-2.46,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,30.4,114590,-2.46,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,30.5,114850,-2.74,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,30.6,115120,-2.74,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,30.7,115390,-2.61,NA,NA,NA,NA,NA,NA
