depth (m),age (BP),temperature (degC),temperature (degC),temperature (degC),d13C (permil),d18O (permil),planktic.d13C (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.d13C (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),Uk37 (missing),C37.concentration (g),CaCO3 (percent)
11.53,15596,NA,14.5,21,-0.91,4.03,NA,NA,NA,0.7,1.76,1.14,0.737,1388,79.2
11.58,15620,NA,16.1,20.6,-1.06,4.07,NA,NA,NA,0.73,1.7,1.35,0.724,1505,NA
11.63,15643,21.8,16.5,20.8,-0.69,3.92,0.74,-0.17,3.11,0.72,1.92,1.43,0.731,1424,NA
11.68,15667,NA,14.3,20.7,-0.85,4.08,NA,NA,NA,0.78,1.82,1.1,0.726,1416,51.5
11.73,15690,NA,16.2,20.7,-0.75,4.07,0.67,-0.47,NA,0.76,1.8,1.37,0.728,1508,NA
11.78,15735,19.4,15.3,21,-0.64,4.15,NA,NA,2.48,0.82,1.7,1.24,0.737,1347,NA
11.83,15780,20.5,14.5,21.3,-0.8,4.1,NA,NA,2.74,0.64,1.87,1.14,0.748,1164,39
11.88,15824,NA,16.1,21.3,-0.87,4.31,1.24,-0.43,NA,0.75,1.92,1.35,0.748,1414,NA
11.93,15870,NA,14.2,20.7,-1,4.11,0.79,-0.11,NA,0.69,1.85,1.1,0.726,1478,NA
11.98,15916,NA,16.1,21.5,-1.1,4.26,0.7,0.02,NA,0.72,1.82,1.35,0.753,1418,29
12.03,15962,NA,15.8,21.2,-1.14,4.2,NA,NA,NA,0.56,1.74,1.31,0.742,1465,NA
12.08,16008,20.8,16.4,20.9,-0.97,4.06,0.78,-0.27,2.81,0.6,1.93,1.41,0.732,1451,NA
12.13,16054,NA,14.6,20.7,-0.91,4.15,NA,NA,NA,0.59,1.96,1.15,0.727,1282,212.9
12.18,16100,NA,16.4,21.1,-1.06,4.27,NA,NA,NA,0.57,1.86,1.41,0.741,1194,NA
12.23,16146,22.2,17.3,20.8,-1.09,4.09,0.87,-0.35,3.22,0.53,1.81,1.55,0.731,1093,NA
12.28,16192,21.4,14.6,20.8,-1.02,4.15,0.68,-0.04,3,0.76,1.93,1.15,0.731,1274,36.5
12.33,16238,NA,15.5,20.5,-1.11,4.06,0.94,-0.47,NA,0.66,1.93,1.26,0.72,833,NA
12.38,16284,22.3,15.3,20.9,-1.08,4.21,0.81,-0.27,3.26,0.77,1.86,1.24,0.734,1372,NA
12.43,16330,19.7,16.1,20.9,-0.81,4.21,NA,NA,2.55,0.73,1.89,1.36,0.734,1293,41.8
12.48,16376,NA,15.8,20.8,-0.8,4.22,0.73,-0.76,NA,0.61,1.95,1.32,0.731,1467,24.8
12.53,16422,18.1,17.7,20.8,-0.53,4.21,0.69,-0.44,2.19,0.84,1.95,1.63,0.731,1298,NA
12.58,16468,19.3,16.4,20.7,-0.81,4.31,NA,NA,2.45,0.83,1.96,1.4,0.726,1376,35.1
12.63,16513,20.4,15,20.7,-0.72,4.17,0.75,0.29,2.73,0.78,1.93,1.2,0.727,1458,NA
12.68,16559,18.5,18.2,21.1,-0.93,4.18,0.81,0.28,2.28,0.72,1.83,1.72,0.741,1333,NA
12.73,16605,19.7,14.9,21.2,-0.82,4.33,0.93,-0.1,2.56,0.78,1.8,1.19,0.744,1216,51.7
12.78,16651,19.7,16,20.8,-1.2,4.25,1.07,0.27,2.56,0.81,1.95,1.33,0.729,1346,NA
12.83,16697,19,16.5,21.3,-0.89,4.21,1,0.04,2.38,0.77,2,1.42,0.747,1204,NA
12.88,16743,21.1,15.2,20.8,-1.15,4.23,0.87,0.23,2.9,0.83,1.92,1.22,0.73,980,72.5
12.93,16789,20.8,17.1,21.1,-1.14,4.03,1.09,0.02,2.82,0.79,1.93,1.52,0.739,1275,NA
12.98,16835,20.5,17.6,20.7,-1.2,4.16,0.36,-0.34,2.76,0.77,1.98,1.61,0.727,1311,NA
13.03,16881,20.6,16.6,20.9,-1.63,4.27,0.78,-0.15,2.76,0.83,2.09,1.43,0.735,1387,32.5
13.08,16927,21.2,15.8,21.2,-1.04,4.29,0.75,-0.24,2.95,0.96,1.87,1.31,0.742,1323,NA
13.13,16973,21.6,15.1,21.2,-1.05,4.28,0.39,-0.02,3.05,0.83,2.08,1.21,0.744,926,NA
13.18,17019,21.7,15.7,21.6,-0.94,4.37,0.35,-0.15,3.07,0.5,2.03,1.29,0.756,1502,38.2
13.23,17065,20.4,16.9,21.2,-0.8,4.3,0.7,-0.18,2.73,0.77,1.97,1.49,0.742,1562,NA
13.28,17111,19.5,16.6,21,-0.89,4.41,0.44,-0.13,2.51,0.65,1.94,1.44,0.736,1462,NA
13.33,17157,21.2,15.4,21.1,-1.66,4.38,0.33,-0.03,2.92,0.74,2.06,1.25,0.739,1767,36.7
13.38,17203,22.2,18.1,21.1,-0.82,4.41,0.42,-0.11,3.23,0.81,2,1.71,0.739,1981,NA
13.43,17249,NA,17.5,20.9,-1.14,4.27,0.71,0.4,3.69,0.81,2.17,1.58,0.733,1714,NA
13.48,17295,22,15.2,21.5,-0.78,4.42,0.25,-0.18,3.16,0.89,2.04,1.22,0.753,1454,0
