depth (m),age (BP),temperature (degC),C37.concentration (g),depth (m),age (BP),temperature (degC),label (missing),planktic.d18O (permil),planktic.MgCa (mmol_mol)
6.39,16886,11.2,178,7.25,19460,NA,"161-976D-2H-4,125-126",3.08,NA
6.41,16946,11.3,200,7.29,19580,NA,"161-976D-2H-4,127-132",2.82,NA
6.43,17006,11.5,222,7.34,19720,NA,"161-976D-2H-4,133-136",3.07,NA
6.45,17066,11.8,186,7.38,19840,NA,"161-976D-2H-4,137-140",2.51,NA
6.47,17126,11.4,197,7.41,19930,13.06,"161-976D-2H-4,141-142",NA,2.07
6.49,17186,13.1,290,7.54,20310,NA,"161-976D-2H-5,2-7",3.24,NA
6.51,17246,13.3,385,7.59,20440,NA,"161-976D-2H-5,8-11",2.33,NA
6.53,17306,13.7,410,7.65,20590,NA,"161-976D-2H-5,12-18.5",3.06,NA
6.55,17366,13.3,418,7.72,20760,NA,"161-976D-2H-5,20.5-23",3.56,NA
6.57,17427,13.3,443,7.75,20860,13.16,"161-976D-2H-5,24-27",3.24,2.09
6.59,17487,13,504,7.79,20950,13.7,"161-976D-2H-5,27,5-31",3.44,2.2
6.61,17547,13.1,487,7.82,21040,17.28,"161-976D-2H-5,32-33",3.61,3.15
6.63,17607,13.3,441,7.85,21120,NA,"161-976D-2H-5,34-37",3.46,NA
6.65,17667,13.2,598,7.89,21220,15.47,"161-976D-2H-5,38-41",3.2,2.63
6.67,17727,13.2,559,7.93,21330,13.21,"161-976D-2H-5,42-45",NA,2.1
6.69,17787,13.4,485,7.97,21430,17.21,"161-976D-2H-5,46-49",3.28,3.13
6.71,17847,13.6,484,8,21510,NA,"161-976D-2H-5,50-51",2.53,NA
6.73,17907,13.5,469,8.05,21640,17.16,"161-976D-2H-5,54-57",3.32,3.11
6.75,17967,13.5,443,8.08,21720,NA,"161-976D-2H-5,58-59",3.49,NA
6.77,18027,13.6,428,8.11,21800,12.56,"161-976D-2H-5,60-63",3.19,1.97
6.79,18087,13.8,422,8.15,21900,12.15,"161-976D-2H-5,64-67",NA,1.89
6.81,18147,13.7,434,8.19,22010,12.64,"161-976D-2H-5,68-71",3.56,1.98
6.83,18207,13.6,366,8.22,22090,NA,"161-976D-2H-5,72-73",3.47,NA
6.85,18267,13.3,392,8.25,22160,13.59,"161-976D-2H-5,74-77",3.04,2.18
6.87,18327,13.3,450,8.29,22270,13.64,"161-976D-2H-5,78-81",NA,2.19
6.89,18387,13.1,520,8.32,22350,NA,"161-976D-2H-5,82-83",3.13,NA
6.91,18447,13.3,486,8.34,22400,NA,"161-976D-2H-5,84-85",3.36,NA
6.93,18507,13.4,477,8.36,22450,NA,"161-976D-2H-5,86-87",3.33,NA
6.95,18568,13.3,436,8.4,22540,13.47,"161-976D-2H-5,88-91.5",3.17,2.15
6.97,18628,13.3,461,8.43,22640,12.55,"161-976D-2H-5,92-95",NA,1.96
6.99,18688,13.4,461,8.46,22710,NA,"161-976D-2H-5,96-97",3.07,NA
7.01,18748,13.5,530,8.49,22790,16,"161-976D-2H-5,98-101",NA,2.77
7.03,18808,13.2,445,8.52,22870,NA,"161-976D-2H-5,102-103",3.31,NA
7.05,18868,13.4,506,8.58,23030,13.49,"161-976D-2H-5,108-109",3.03,2.16
7.07,18928,13.3,458,8.62,23130,16.19,"161-976D-2H-5,110-115",2.91,2.83
7.09,18988,13.2,532,8.68,23290,13.32,"161-976D-2H-5,116-121.5",NA,2.12
7.11,19048,13,538,8.72,23390,NA,"161-976D-2H-5,122-123",3.05,NA
7.13,19108,13.2,608,8.74,23450,NA,"161-976D-2H-5,124-125",3.19,NA
7.15,19168,12.7,556,8.77,23530,15.6,"161-976D-2H-5,126-129",2.98,2.66
7.17,19228,13.2,601,8.82,23660,15.45,"161-976D-2H-5,130-135",2.89,2.63
7.19,19288,13.4,580,8.86,23760,NA,"161-976D-2H-5,136-137",2.83,NA
7.21,19348,13,591,8.88,23810,NA,"161-976D-2H-5,138-139",4.01,NA
7.23,19408,12.5,560,8.92,23920,NA,"161-976D-2H-5,141-44",2.62,NA
7.25,19468,13.3,509,8.97,24040,NA,"161-976D-2H-5,145-149",2.82,NA
7.27,19528,12.5,634,9.01,24150,NA,"161-976D-2H-6,1-2",3.68,NA
7.29,19588,12.9,575,9.03,24210,15.48,"161-976D-2H-6,3-4",3.07,2.63
7.31,19648,13.2,505,9.05,24260,14.62,"161-976D-2H-6,5-6",2.79,2.42
7.33,19709,13.3,442,9.07,24310,15.59,"161-976D-2H-6,7-8",2.95,2.66
7.35,19769,13.4,379,9.09,24360,14.71,"161-976D-2H-6,9-10",2.94,2.44
7.37,19829,13.4,429,9.11,24420,13.12,"161-976D-2H-6,11.3-12.3",2.81,2.08
7.39,19889,13.4,493,9.13,24470,14.41,"161-976D-2H-6,13-14",3,2.37
7.52,20279,13.3,365,9.15,24520,17.11,"161-976D-2H-6,15-16",3.32,3.1
7.54,20336,13.3,382,9.17,24570,14.43,"161-976D-2H-6,17-18",3.17,2.37
7.56,20390,13.1,418,9.19,24620,14.29,"161-976D-2H-6,19-20",3.27,2.34
7.58,20444,13.1,474,35.91,104770,NA,"161-976C-5H-2,1-2",0.83,NA
7.62,20552,13.2,337,35.93,105010,15.51,"161-976C-5H-2,2-5",1.01,2.64
7.64,20607,13.3,378,35.97,105500,NA,"161-976C-5H-2,6-9",1.18,NA
7.66,20661,13.5,430,36.02,106130,13.37,"161-976C-5H-2,10-15",1.83,2.13
7.72,20823,12.8,508,36.07,106760,14.78,"161-976C-5H-2,16-19",1.25,2.45
7.74,20877,12.7,471,36.11,107280,13.23,"161-976C-5H-2,20-23",1.8,2.1
7.76,20931,12.7,523,36.15,107770,14.62,"161-976C-5H-2,24-27",1.94,2.42
7.8,21039,13,507,36.19,108310,NA,"161-976C-5H-2,28-31",1.59,NA
7.82,21093,12.6,495,36.23,108840,16.86,"161-976C-5H-2,32-35",2.03,3.02
7.84,21147,12.6,521,36.26,109240,14.25,"161-976C-5H-2,36-37",1.92,2.33
7.86,21202,12.5,417,36.28,109520,12.99,"161-976C-5H-2,38-39",1.73,2.05
7.88,21256,12.6,460,36.3,109800,14.79,"161-976C-5H-2,40-41",1.45,2.46
7.9,21310,12.6,514,36.32,110050,16.12,"161-976C-5H-2,42-43",1.48,2.81
7.92,21364,12.5,501,36.34,110320,NA,"161-976C-5H-2,44-45",1.66,NA
7.94,21418,12.5,489,36.36,110600,NA,"161-976C-5H-2,46-47",1.65,NA
7.96,21472,12.5,509,36.38,110870,15.37,"161-976C-5H-2,48-49",1.25,2.6
7.98,21526,12.4,460,36.4,111150,15.34,"161-976C-5H-2,50-51",1.63,2.6
8,21580,12.4,453,36.42,111430,15.68,"161-976C-5H-2,52-53",1.31,2.69
8.02,21634,12.2,433,36.44,111700,NA,"161-976C-5H-2,54-55",1.38,NA
8.04,21688,12.2,395,36.46,111970,16.28,"161-976C-5H-2,56-57",1.77,2.85
8.06,21742,12.5,355,36.48,112250,15.8,"161-976C-5H-2,58-59",1.34,2.72
8.08,21796,12.2,387,36.5,112530,16.64,"161-976C-5H-2,60-61",1.55,2.96
8.1,21851,11.8,387,36.52,112780,15.63,"161-976C-5H-2,62-63",1.36,2.67
8.12,21905,12.1,369,36.54,113060,16.6,"161-976C-5H-2,64-65",1.77,2.94
8.14,21959,12,360,36.56,113340,14.81,"161-976C-5H-2,66-67",1.55,2.46
8.16,22013,12.1,391,36.58,113600,16.86,"161-976C-5H-2,68-69",1.31,3.02
8.18,22067,12,422,36.6,113880,16.43,"161-976C-5H-2,70-71",1.47,2.9
8.2,22121,11.7,385,36.62,114160,18.67,"161-976C-5H-2,72-73",1.27,3.62
8.22,22175,12,342,36.64,114430,NA,"161-976C-5H-2,74-75",0.93,NA
8.24,22229,12.2,366,36.66,114700,16.16,"161-976C-5H-2,76-77",1.39,2.82
8.26,22283,12.1,363,36.68,114980,17.26,"161-976C-5H-2,78-79",0.77,3.15
8.28,22337,12,352,36.7,115260,14.95,"161-976C-5H-2,80-81",1.59,2.5
8.3,22391,11.9,362,36.72,115520,15.6,"161-976C-5H-2,82-83",1.37,2.67
8.32,22446,12,377,36.74,115800,16.03,"161-976C-5H-2,84-85",1.35,2.78
8.34,22500,11.9,358,36.76,116080,16.79,"161-976C-5H-2,86-87",0.88,3
8.36,22554,11.8,475,36.78,116330,15.84,"161-976C-5H-2,88-89",1.41,2.73
8.38,22608,11.7,410,36.8,116610,16.51,"161-976C-5H-2,90-91",NA,2.92
8.42,22716,11.6,433,36.82,116890,16.42,"161-976C-5H-2,92-93",1.11,2.89
8.44,22770,12,412,36.84,117160,NA,"161-976C-5H-2,94-95",1.1,NA
8.46,22824,11.8,538,36.86,117430,14.41,"161-976C-5H-2,96-97",1.05,2.37
8.48,22878,11.8,597,36.88,117500,18.53,"161-976C-5H-2,98-99",1.39,3.57
8.5,22932,11.8,614,36.9,117570,NA,"161-976C-5H-2,100-101",1.36,NA
8.52,22986,11.6,547,36.92,117640,19.59,"161-976C-5H-2,102-103",1.18,3.97
8.54,23041,11.7,534,36.94,117720,19.77,"161-976C-5H-2,104-105",0.88,4.04
8.56,23095,12.5,493,36.96,117790,18.25,"161-976C-5H-2,106-107",1.37,3.47
8.58,23149,12.2,469,36.98,117860,16.99,"161-976C-5H-2,108-109",1.23,3.06
8.6,23203,12,521,37,117930,18.6,"161-976C-5H-2,110-111",1.03,3.6
8.62,23257,12.1,465,37.02,118000,16.9,"161-976C-5H-2,112-113",1.25,3.03
8.64,23311,11.8,467,37.04,118070,18.53,"161-976C-5H-2,114-115",0.83,3.57
8.66,23365,11.6,405,37.06,118140,19.21,"161-976C-5H-2,116-117",1.26,3.82
8.68,23419,11.9,394,37.08,118220,15.14,"161-976C-5H-2,118-119",1.03,2.54
8.71,23487,11.8,456,37.1,118290,NA,"161-976C-5H-2,120-121",1.13,NA
8.72,23527,11.9,398,37.12,118360,18.65,"161-976C-5H-2,122-123",1.22,3.61
8.74,23581,12,389,37.14,118430,18.11,"161-976C-5H-2,124-125",1.22,3.43
8.76,23636,12,386,37.16,118500,17.98,"161-976C-5H-2,126-127",0.98,3.38
8.78,23690,11.9,335,37.18,118570,15.97,"161-976C-5H-2,128-129",1.39,2.76
8.8,23744,11.8,397,37.2,118650,NA,"161-976C-5H-2,130-131",1.19,NA
8.82,23798,11.8,366,37.22,118720,17.49,"161-976C-5H-2,132-133",1.27,3.22
8.84,23852,12.2,332,37.24,118780,16.49,"161-976C-5H-2,134-135",1.58,2.91
8.86,23906,11.2,318,37.26,118860,15.91,"161-976C-5H-2,136-137",1.24,2.75
8.88,23960,11.5,323,37.28,118930,15.93,"161-976C-5H-2,138-139",1.12,2.75
8.91,24041,10.7,414,37.3,119000,NA,"161-976C-5H-2,140-141",0.94,NA
8.93,24095,11,314,37.32,119070,16.85,"161-976C-5H-2,142-143",1.52,3.02
8.95,24149,11.2,160,37.36,119210,16.31,"161-976C-5H-2,146-147",1.23,2.86
8.98,24230,10.5,209,37.38,119280,19.63,"161-976C-5H-2,148-149",1.25,3.99
9.01,24312,10.4,485,37.4,119360,NA,"161-976C-5H-3,0-1",0.89,NA
9.03,24366,10.5,217,37.42,119430,17.57,"161-976C-5H-3,2-3",1.11,3.24
9.05,24420,11.3,247,37.44,119500,17.73,"161-976C-5H-3,4-5",1.14,3.3
9.07,24474,11.2,228,37.46,119570,17.42,"161-976C-5H-3,6-7",0.99,3.2
9.09,24528,11.4,200,37.48,119640,16.88,"161-976C-5H-3,8-9",0.87,3.03
9.11,24582,12.2,240,37.5,119710,NA,"161-976C-5H-3,10-11",0.89,NA
9.13,24636,12.6,233,37.52,119780,16.56,"161-976C-5H-3,12-13",0.62,2.93
9.15,24690,12.8,322,37.54,119860,18.33,"161-976C-5H-3,14-15",1.21,3.5
9.17,24744,12.6,326,37.56,119930,NA,"161-976C-5H-3,16-17",1.18,NA
9.19,24798,12.2,324,37.58,120000,NA,"161-976C-5H-3,18-19",1.04,NA
35.92,109518,17.8,880,37.6,120070,17.18,"161-976C-5H-3,20-21",0.92,3.12
35.94,109616,18,714,37.62,120140,18.27,"161-976C-5H-3,22-23",0.94,3.48
35.96,109714,18.4,726,37.64,120210,NA,"161-976C-5H-3,24-25",0.73,NA
35.98,109812,18,699,37.66,120290,NA,"161-976C-5H-3,26-27",1.08,NA
36,109910,15.1,440,37.68,120360,17.42,"161-976C-5H-3,28-29",0.91,3.2
36.02,110007,13.6,372,37.7,120420,16.29,"161-976C-5H-3,30-31",0.87,2.85
36.04,110105,14.9,585,37.72,120500,16.93,"161-976C-5H-3,32-33",0.89,3.04
36.06,110203,16.7,796,37.74,120570,16.55,"161-976C-5H-3,34-35",0.82,2.93
36.08,110301,16.3,677,37.76,120640,17.2,"161-976C-5H-3,36-37",0.81,3.13
36.1,110399,14,573,37.78,120710,NA,"161-976C-5H-3,38-39",0.65,NA
36.12,110497,13.2,570,37.8,120780,17.16,"161-976C-5H-3,40-41",0.86,3.11
36.14,110595,12.6,531,37.82,121470,17.75,"161-976C-5H-3,42-43",0.74,3.3
36.16,110693,14.3,635,37.84,121520,NA,"161-976C-5H-3,44-45",0.72,NA
36.18,110791,12.8,458,37.86,121570,19.23,"161-976C-5H-3,46-47",0.29,3.83
36.2,110889,13.4,416,37.88,121620,NA,"161-976C-5H-3,48-49",0.92,NA
36.22,110986,13.1,524,37.9,121660,16.95,"161-976C-5H-3,50-51",0.91,3.05
36.24,111084,12.6,477,37.92,121710,NA,"161-976C-5H-3,52-53",0.62,NA
36.26,111182,14.1,501,37.94,121760,19.79,"161-976C-5H-3,54-55",0.71,4.05
36.28,111280,13.6,551,37.98,121830,NA,"161-976C-5H-3,58-59",0.7,NA
36.3,111378,13.9,549,38,121870,20.28,"161-976C-5H-3,60-61",0.52,4.25
36.32,111476,14.7,461,38.02,121910,17.61,"161-976C-5H-3,62-63",0.49,3.26
36.34,111574,15.5,595,38.04,121950,17.38,"161-976C-5H-3,64-65",0.39,3.18
36.36,111672,15.8,516,38.06,121990,18.1,"161-976C-5H-3,66-67",0.41,3.42
36.38,111770,16,600,38.08,122030,18.56,"161-976C-5H-3,68-69",0.37,3.58
36.4,111868,15.5,569,38.1,122070,NA,"161-976C-5H-3,70-71",0.47,NA
36.42,111965,16.2,470,38.12,122110,19.1,"161-976C-5H-3,72-73",0.54,3.78
36.44,112063,16.9,597,38.14,122150,17.73,"161-976C-5H-3,74-75",0.38,3.3
36.46,112161,17.2,774,38.16,122180,18.08,"161-976C-5H-3,76-77",0.27,3.41
36.48,112259,17.1,709,38.18,122220,18.8,"161-976C-5H-3,78-79",0.25,3.67
36.5,112357,17.1,737,38.2,122260,19.19,"161-976C-5H-3,80-81",0.26,3.82
36.52,112455,17.2,913,38.22,122300,17.96,"161-976C-5H-3,82-83",0.28,3.37
36.54,112553,17.3,638,38.24,122340,19.29,"161-976C-5H-3,84-85",0.09,3.86
36.56,112651,17.8,576,38.26,122380,17.41,"161-976C-5H-3,86-87",-0.01,3.19
36.58,112749,17.8,645,38.28,122420,19.13,"161-976C-5H-3,88-89",0.31,3.79
36.6,112847,17.9,652,38.3,122460,18.3,"161-976C-5H-3,90-91",0.36,3.49
36.62,112944,18,632,38.32,122500,18.17,"161-976C-5H-3,92-93",0.38,3.45
36.64,113042,18.1,757,38.34,122530,16.62,"161-976C-5H-3,94-95",0.36,2.95
36.66,113140,17.9,369,38.36,122570,NA,"161-976C-5H-3,96-97",0.29,NA
36.68,113238,18.1,627,38.38,122610,NA,"161-976C-5H-3,98-99",0.33,NA
36.7,113336,17.9,691,38.4,122650,17.28,"161-976C-5H-3,100-101",0.46,3.15
36.72,113434,18.3,670,38.42,122690,NA,"161-976C-5H-3,102-103",0.24,NA
36.74,113532,18.1,1105,38.46,122770,NA,"161-976C-5H-3,106-107",0.34,NA
36.76,113630,17.9,879,38.48,122810,18.25,"161-976C-5H-3,108-109",-0.17,3.48
36.78,113728,18.4,1002,38.5,122850,17.67,"161-976C-5H-3,110-111",0.13,3.28
36.8,113825,18.4,968,38.52,122890,16.85,"161-976C-5H-3,112-113",0.18,3.02
36.82,113923,18.3,994,38.54,122920,19.32,"161-976C-5H-3,114-115",0.03,3.87
36.84,114021,18.6,718,38.56,122960,18.08,"161-976C-5H-3,116-117",0.07,3.41
36.86,114119,18.5,765,38.58,123000,17.62,"161-976C-5H-3,118-119",-0.2,3.26
36.88,114217,18.4,789,38.6,123040,NA,"161-976C-5H-3,120-121",0.07,NA
36.92,114413,18.5,528,38.62,123080,18.5,"161-976C-5H-3,122-123",0.16,3.56
36.94,114511,18.3,724,38.64,123120,NA,"161-976C-5H-3,124-125",0.14,NA
36.96,114609,18.5,701,38.66,123160,NA,"161-976C-5H-3,126-127",0.23,NA
36.98,114707,18.5,623,38.68,123200,NA,"161-976C-5H-3,128-129",0.08,NA
37,114804,18.6,650,38.7,123240,16.99,"161-976C-5H-3,130-131",0.06,3.06
37.02,114902,18.7,886,38.72,123270,16.62,"161-976C-5H-3,132-133",-0.08,2.95
37.04,115000,18.7,997,38.74,123310,NA,"161-976C-5H-3,134-135",-0.04,NA
37.06,115098,18.6,804,38.76,123350,NA,"161-976C-5H-3,136-137",-0.43,NA
37.08,115196,18.7,724,38.78,123390,16.14,"161-976C-5H-3,138-139",-0.66,2.81
37.1,115294,18.6,788,38.8,123430,NA,"161-976C-5H-3,140-141",-0.05,NA
37.12,115392,18.8,700,38.82,123470,17.15,"161-976C-5H-3,142-143",0.08,3.11
37.14,115490,18.7,655,38.84,123510,NA,"161-976C-5H-3,144-145",-0.04,NA
37.16,115588,18.6,623,38.86,123550,NA,"161-976C-5H-3,146-147",0.07,NA
37.18,115686,18.6,744,38.9,123620,NA,"161-976C-5H-4,0-1",0.24,NA
37.2,115783,18.9,870,38.92,123660,20.16,"161-976C-5H-4,2-3",0.53,4.2
37.22,115881,18.6,999,38.94,123740,NA,"161-976C-5H-4,4-5",0.17,NA
37.24,115979,18.6,916,38.96,123820,17.71,"161-976C-5H-4,6-7",0.12,3.29
37.26,116077,18.8,801,38.98,123900,NA,"161-976C-5H-4,8-9",-0.06,NA
37.28,116175,18.8,619,39,123970,19.94,"161-976C-5H-4,10-11",0.16,4.11
37.3,116273,18.5,761,39.02,124050,NA,"161-976C-5H-4,12-13",0.28,NA
37.32,116371,18.6,903,39.04,124130,18.37,"161-976C-5H-4,14-15",0.2,3.51
37.34,116469,18.8,593,39.07,124250,NA,"161-976C-5H-4,16-19",0.52,NA
37.36,116567,18.9,613,39.1,124370,NA,"161-976C-5H-4,20-21",0.34,NA
37.38,116664,18.9,969,39.13,124480,18.61,"161-976C-5H-4,22-25",0.12,3.6
37.4,116762,18.9,781,39.16,124590,18.17,"161-976C-5H-4,26-27",-0.07,3.44
37.42,116860,18.8,846,39.18,124670,NA,"161-976C-5H-4,28-29",0.33,NA
37.44,116958,18.8,974,39.2,124750,NA,"161-976C-5H-4,30-31",0.36,NA
37.46,117056,18.8,786,39.22,124820,NA,"161-976C-5H-4,32-33",0.05,NA
37.48,117154,18.9,612,39.24,124900,NA,"161-976C-5H-4,34-35",-0.11,NA
37.5,117252,19,657,39.26,124980,NA,"161-976C-5H-4,36-37",0.26,NA
37.52,117350,18.9,761,39.28,125060,NA,"161-976C-5H-4,38-39",0.12,NA
37.54,117448,19,923,39.3,125130,NA,"161-976C-5H-4,40-41",0,NA
37.56,117546,19.1,811,39.32,125210,NA,"161-976C-5H-4,42-43",0.26,NA
37.58,117643,19.1,858,39.34,125290,17.63,"161-976C-5H-4,44-45",0,3.27
37.6,117741,18.9,973,39.38,125450,NA,"161-976C-5H-4,48-49",0.18,NA
37.62,117839,19,1017,39.4,125520,NA,"161-976C-5H-4,50-51",0.38,NA
37.64,117937,19.4,851,39.42,125600,19.25,"161-976C-5H-4,52-53",0.43,3.84
37.66,118035,19.3,842,39.44,125650,16.88,"161-976C-5H-4,54-55",0.09,3.03
37.68,118133,19.5,703,39.46,125710,18.14,"161-976C-5H-4,56-57",0.41,3.43
37.7,118231,19.7,674,39.48,125760,NA,"161-976C-5H-4,58-59",0.43,NA
37.72,118329,19.7,791,39.5,125810,17.75,"161-976C-5H-4,60-61",-0.01,3.31
37.74,118427,19.7,699,39.52,125870,18.16,"161-976C-5H-4,62-63",0.16,3.44
37.76,118525,19.9,723,39.54,125930,NA,"161-976C-5H-4,64-65",0.49,NA
37.78,118622,19.9,743,39.56,125980,16.39,"161-976C-5H-4,66-67",0.02,2.88
37.8,118720,20,612,39.58,126030,17.87,"161-976C-5H-4,68-69",0.02,3.34
37.82,118818,20,781,39.62,126140,NA,"161-976C-5H-4,72-73",0.18,NA
37.84,118916,20,916,39.64,126200,NA,"161-976C-5H-4,74-75",-0.06,NA
37.86,119014,20.1,598,39.66,126250,17.69,"161-976C-5H-4,76-77",-0.04,3.29
37.88,119112,20,699,39.68,126300,NA,"161-976C-5H-4,78-79",0.5,NA
37.92,119308,20.3,596,39.7,126350,NA,"161-976C-5H-4,80-81",0.3,NA
37.94,119406,20.2,584,39.72,126400,18.26,"161-976C-5H-4,82-83",0.09,3.48
37.96,119504,20.3,743,39.74,126450,18.35,"161-976C-5H-4,84-85",0.04,3.51
37.98,119601,20.3,541,39.76,126490,18.04,"161-976C-5H-4,86-87",0.28,3.4
38,119699,20.5,537,39.78,126540,19.37,"161-976C-5H-4,88-89",0.12,3.88
38.02,119797,20.3,674,39.8,126650,NA,"161-976C-5H-4,90-91",0.05,NA
38.04,119895,20.5,534,39.83,126820,NA,"161-976C-5H-4,92-95",0.48,NA
38.06,119993,20.3,689,39.86,126990,NA,"161-976C-5H-4,96-97",0.19,NA
38.08,120091,20.4,689,39.88,127100,19.78,"161-976C-5H-4,98-99",0.07,4.05
38.1,120189,20.6,596,39.9,127220,NA,"161-976C-5H-4,100-101",0.83,NA
38.12,120287,20.4,783,39.92,127340,19.81,"161-976C-5H-4,102-103",0.19,4.06
38.14,120385,20.6,922,39.94,127450,NA,"161-976C-5H-4,104-105",0.41,NA
38.16,120482,20.4,1024,39.96,127560,21.66,"161-976C-5H-4,106-107",0.45,4.88
38.18,120580,20.4,977,39.98,127670,21.81,"161-976C-5H-4,108-109",0.47,4.96
38.2,120678,20.4,801,40,127790,NA,"161-976C-5H-4,110-111",0.44,NA
38.22,120776,20.7,505,40.02,127900,21.36,"161-976C-5H-4,112-113",0.65,4.74
38.24,120874,20.6,431,40.04,128010,19.32,"161-976C-5H-4,114-115",0.11,3.87
38.26,120972,20.6,672,40.06,128080,NA,"161-976C-5H-4,116-117",0.4,NA
38.28,121070,20.6,541,40.08,128140,NA,"161-976C-5H-4,118-119",0.51,NA
38.3,121168,20.6,286,40.1,128210,18.91,"161-976C-5H-4,120-121",0.47,3.71
38.32,121266,20.6,360,40.12,128280,18.86,"161-976C-5H-4,122-123",0.67,3.69
38.34,121364,20.8,487,40.14,128350,20.65,"161-976C-5H-4,124-125",0.31,4.42
38.36,121461,21,413,40.16,128420,21.9,"161-976C-5H-4,126-127",0.29,5
38.38,121559,20.9,533,40.18,128490,NA,"161-976C-5H-4,128-129",0.44,NA
38.4,121657,21.2,698,40.2,128550,18.7,"161-976C-5H-4,130-131",0.38,3.63
38.42,121755,21.2,895,40.25,128650,20.58,"161-976C-5H-4,134-136",0.38,4.38
38.44,121853,21.3,929,40.26,128680,NA,"161-976C-5H-4,136-137",0.82,NA
38.46,121951,21,594,40.28,128730,19.94,"161-976C-5H-4,138-139",0.79,4.11
38.48,122049,21.1,494,40.3,128790,NA,"161-976C-5H-4,140-141",0.72,NA
38.5,122147,21,304,40.32,128850,15.5,"161-976C-5H-4,142-143",0.95,2.64
38.52,122245,21.2,354,40.34,128960,16.13,"161-976C-5H-4,144-145",1.25,2.81
38.54,122343,21,482,40.36,129090,NA,"161-976C-5H-4,146-147",0.94,NA
38.56,122440,21.5,516,40.38,129210,14.4,"161-976C-5H-4,148-149",0.93,2.36
38.58,122538,21.8,910,40.4,129330,NA,"161-976C-5H-5,0-1",1.17,NA
38.6,122636,21.8,645,40.42,129450,13.94,"161-976C-5H-5,2-3",1.04,2.26
38.62,122734,21.7,527,40.44,129580,NA,"161-976C-5H-5,4-5",0.94,NA
38.64,122832,22,540,40.46,129700,14.88,"161-976C-5H-5,6-7",0.99,2.48
38.66,122930,22.1,597,40.48,129830,15.03,"161-976C-5H-5,8-9",0.82,2.52
38.68,123028,22,542,40.5,129950,NA,"161-976C-5H-5,10-11",0.93,NA
38.7,123126,22.1,566,40.52,130070,NA,"161-976C-5H-5,12-13",0.8,NA
38.72,123224,21.8,576,40.54,130200,NA,"161-976C-5H-5,14-15",0.9,NA
38.74,123321,21.7,612,40.56,130320,NA,"161-976C-5H-5,16-17",0.99,NA
38.76,123419,21.9,534,40.58,130450,14.54,"161-976C-5H-5,18-19",0.77,2.4
38.78,123517,21.5,511,40.6,130570,12.85,"161-976C-5H-5,20-21",1.04,2.02
38.8,123615,22,469,40.62,130610,17.77,"161-976C-5H-5,22-23",NA,3.31
38.82,123713,21.9,476,40.64,130640,NA,"161-976C-5H-5,24-25",0.82,NA
38.84,123811,21.9,484,40.66,130680,NA,"161-976C-5H-5,26-27",0.92,NA
38.86,123909,22,514,40.68,130710,NA,"161-976C-5H-5,28-29",1.15,NA
38.9,124105,22,610,40.7,130740,16.83,"161-976C-5H-5,30-31",0.9,3.01
38.92,124203,22,564,40.72,130770,NA,"161-976C-5H-5,32-33",1.01,NA
38.96,124398,21.9,625,40.74,130810,NA,"161-976C-5H-5,34-35",0.88,NA
38.98,124496,21.9,642,40.76,130850,NA,"161-976C-5H-5,36-37",0.77,NA
39,124594,21.9,631,40.8,130910,NA,"161-976C-5H-5,40-41",1.14,NA
39.02,124692,22,640,40.82,130950,15.2,"161-976C-5H-5,42-43",0.51,2.56
39.04,124790,21.9,548,40.85,131000,NA,"161-976C-5H-5,44-47",0.25,NA
39.06,124888,22.1,502,40.88,131060,17.12,"161-976C-5H-5,48-49",1.04,3.1
39.08,124986,22.1,671,40.9,131090,NA,"161-976C-5H-5,50-51",0.62,NA
39.1,125084,22.2,608,40.92,131120,NA,"161-976C-5H-5,52-53",0.86,NA
39.12,125182,21.7,715,40.95,131170,NA,"161-976C-5H-5,54-57",0.96,NA
39.14,125279,22.1,542,40.98,131220,NA,"161-976C-5H-5,58-59",1.04,NA
39.16,125377,22.2,592,41,131260,NA,"161-976C-5H-5,60-61",0.46,NA
39.18,125475,22.3,513,41.03,131310,NA,"161-976C-5H-5,62-65",0.72,NA
39.2,125573,22.4,498,41.06,131360,15.64,"161-976C-5H-5,66-67",1.45,2.68
39.22,125671,22.3,579,41.09,131410,NA,"161-976C-5H-5,68-69",0.93,NA
39.24,125769,22.5,616,41.12,131460,15.09,"161-976C-5H-5,72-73",1.43,2.53
39.26,125867,22.5,661,41.16,131530,NA,"161-976C-5H-5,76-77",1.18,NA
39.28,125965,22.5,509,41.18,131570,14.64,"161-976C-5H-5,78-79",1.14,2.42
39.3,126063,22.6,507,41.21,131620,16.32,"161-976C-5H-5,80-83",2.01,2.86
39.34,126258,22.6,526,41.24,131670,NA,"161-976C-5H-5,84-85",1.73,NA
39.36,126356,22.7,601,41.26,131710,NA,"161-976C-5H-5,86-87",1.66,NA
39.38,126454,22.6,596,41.28,131740,NA,"161-976C-5H-5,88-89",1.76,NA
39.4,126552,22.7,666,41.3,131780,15.71,"161-976C-5H-5,90-91",1.29,2.69
39.42,126650,22.8,678,41.32,131810,15.51,"161-976C-5H-5,92-93",1.56,2.64
39.44,126718,22.9,588,41.34,131850,NA,"161-976C-5H-5,94-95",1.9,NA
39.46,126786,22.8,766,41.36,131880,14.38,"161-976C-5H-5,96-97",2.3,2.36
39.48,126854,22.7,750,41.38,131910,NA,"161-976C-5H-5,98-99",1.51,NA
