year (AD),age (BP),d18O (permil),distance (cm),d13C (permil)
-3249.8,5199.8,-6.02,320,-4.36
-3258.1,5208.1,-5.93,320.5,-4.2
-3266.4,5216.4,-5.92,321,-4.49
-3274.7,5224.7,-6.01,321.5,-5.09
-3283,5233,-5.62,322,-5.04
-3290.6,5240.6,-5.83,322.5,-5.35
-3298.2,5248.2,-5.56,323,-4.9
-3305.8,5255.8,-5.91,323.5,-4.74
-3313.4,5263.4,-5.98,324,-5.22
-3321.1,5271.1,-5.42,324.5,-5.06
-3328.7,5278.7,-5.66,325,-4.96
-3336.3,5286.3,-5.71,325.5,-4.98
-3343.9,5293.9,-5.79,326,-5.29
-3351.5,5301.5,-5.56,326.5,-4.62
-3359.1,5309.1,-5.82,327,-4.23
-3366.7,5316.7,-5.5,327.5,-4.14
-3374.3,5324.3,-5.77,328,-4.29
-3382,5332,-5.82,328.5,-3.96
-3389.6,5339.6,-6.09,329,-4.38
-3397.2,5347.2,-5.88,329.5,-4.03
-3404.8,5354.8,-6.01,330,-4.74
-3412.4,5362.4,-6.02,330.5,-4.75
-3420,5370,-6,331,-4.76
-3427.6,5377.6,-6.07,331.5,-4.59
-3435.2,5385.2,-5.9,332,-4.44
-3442.9,5392.9,-5.75,332.5,-4.63
-3450.5,5400.5,-5.93,333,-4.92
-3458.1,5408.1,-5.78,333.5,-4.69
-3465.7,5415.7,-5.15,334,-4.05
-3473.3,5423.3,-5.23,334.5,-4.54
-3480.9,5430.9,-5.41,335,-4.46
-3488.5,5438.5,-5.67,335.5,-4.27
-3496.1,5446.1,-5.92,336,-4.35
-3503.8,5453.8,-6.59,336.5,-4.97
-3511.4,5461.4,-6.51,337,-4.82
-3519,5469,-6.22,337.5,-4.63
-3526.6,5476.6,-6.09,338,-4.53
-3534.2,5484.2,-5.81,338.5,-4.66
-3541.8,5491.8,-5.81,339,-4.89
-3549.4,5499.4,-6.16,339.5,-4.78
-3557,5507,-5.98,340,-4.64
-3564.7,5514.7,-6,340.5,-4.58
-3572.3,5522.3,-6.17,341,-4.25
-3579.9,5529.9,-5.75,341.5,-4.27
-3587.5,5537.5,-5.97,342,-4.52
-3595.1,5545.1,-5.97,342.5,-4.07
-3602.7,5552.7,-5.98,343,-4.08
-3610.3,5560.3,-6,343.5,-4.26
-3617.9,5567.9,-5.86,344,-3.86
-3625.6,5575.6,-6.17,344.5,-3.72
-3633.2,5583.2,-5.8,345,-3.15
-3640.8,5590.8,-5.92,345.5,-4.07
-3648.4,5598.4,-5.63,346,-4.69
-3656,5606,-6.09,346.5,-4.95
-3663.6,5613.6,-6.05,347,-4.41
-3671.2,5621.2,-5.79,347.5,-4.55
-3678.8,5628.8,-5.68,348,-4.57
-3686.5,5636.5,-5.62,348.5,-4.74
-3694.1,5644.1,-5.84,349,-4.66
-3701.7,5651.7,-6.14,349.5,-4.67
-3709.3,5659.3,-5.54,350,-3.61
-3716.9,5666.9,-5.62,350.5,-3.34
-3724.5,5674.5,-6.13,351,-4.07
-3732.1,5682.1,-4.79,351.5,-3.1
-3739.7,5689.7,-4.8,352,-3.26
-3747.4,5697.4,-5.14,352.5,-3.89
-3755,5705,-4.96,353,-3.96
-3762.6,5712.6,-5.15,353.5,-3.53
-3770.2,5720.2,-4.84,354,-3.97
-3777.8,5727.8,-5.56,354.5,-4.32
-3785.4,5735.4,-5.41,355,-4.33
-3793,5743,-5.43,355.5,-3.93
-3800.6,5750.6,-5.96,356,-4.11
-3808.3,5758.3,-6.03,356.5,-4.22
-3815.9,5765.9,-5.8,357,-4.12
-3823.5,5773.5,-5.84,357.5,-4.2
-3831.1,5781.1,-5.71,358,-4.3
-3838.7,5788.7,-5.42,358.5,-3.63
-3846.3,5796.3,-5.52,359,-3.58
-3853.9,5803.9,-5.72,359.5,-3.63
-3861.5,5811.5,-6.22,360,-3.78
-3869.2,5819.2,-4.93,360.5,-3.95
-3876.8,5826.8,-4.52,361,-4.2
-3884.4,5834.4,-4.96,361.5,-4.28
-3892,5842,-4.81,362,-4.25
-3899.6,5849.6,-5.11,362.5,-4.99
-3907.2,5857.2,-4.72,363,-4.2
-3914.8,5864.8,-4.81,363.5,-4.05
-3922.4,5872.4,-4.74,364,-4.52
-3930.1,5880.1,-4.37,364.5,-4.05
-3937.7,5887.7,-4.76,365,-4.29
-3945.3,5895.3,-4.25,365.5,-3.6
-3952.9,5902.9,-4.53,366,-3.43
-3960.5,5910.5,-4.76,366.5,-3.65
-3968.1,5918.1,-4.84,367,-3.57
-3975.7,5925.7,-4.86,367.5,-3.62
-3983.3,5933.3,-5.38,368,-4.78
-3990.9,5940.9,-5.11,368.5,-4.64
-3998.6,5948.6,-4.91,369,-3.16
-4006.2,5956.2,-5.03,369.5,-3.97
-4013.8,5963.8,-4.8,370,-4.14
-4021.4,5971.4,-4.6,370.5,-3.62
-4029,5979,-5.01,371,-3.79
-4036.6,5986.6,-5.03,371.5,-3.33
-4044.2,5994.2,-5.44,372,-4.38
-4051.8,6001.8,-5.2,372.5,-3.88
-4059.5,6009.5,-5.24,373,-4.43
-4067.1,6017.1,-4.96,373.5,-3.65
-4074.7,6024.7,-4.84,374,-3.06
-4082.3,6032.3,-4.95,374.5,-3.88
-4089.9,6039.9,-4.6,375,-3.88
-4097.5,6047.5,-4.34,375.5,-3.37
-4105.1,6055.1,-4.5,376,-3.26
-4112.7,6062.7,-4.5,376.5,-2.79
-4120.4,6070.4,-4.13,377,-2.31
-4128,6078,-4.45,377.5,-2.77
-4135.6,6085.6,-4.72,378,-2.94
-4143.2,6093.2,-4.67,378.5,-2.76
-4150.8,6100.8,-4.82,379,-2.92
-4158.4,6108.4,-4.81,379.5,-2.73
-4166,6116,-4.84,380,-2.4
-4173.6,6123.6,-5.46,380.5,-3.38
-4181.3,6131.3,-5.42,381,-3.94
-4188.9,6138.9,-5.54,381.5,-4.19
-4196.5,6146.5,-5.54,382,-4.34
-4204.1,6154.1,-5.75,382.5,-4.35
-4211.7,6161.7,-5.49,383,-3.59
-4219.3,6169.3,-5.91,383.5,-3.38
-4226.9,6176.9,-5.98,384,-3.75
-4234.5,6184.5,-5.45,384.5,-3.19
-4242.2,6192.2,-5.52,385,-3.1
-4249.8,6199.8,-4.67,385.5,-2.8
-4257.4,6207.4,-5.09,386,-3.47
-4265,6215,-5.34,386.5,-3.51
-4272.6,6222.6,-5.58,387,-3.17
-4280.2,6230.2,-5.48,387.5,-3.2
-4287.8,6237.8,-6.09,388,-3.64
-4295.4,6245.4,-6.14,388.5,-4.04
-4303.1,6253.1,-6.43,389,-4.5
-4310.7,6260.7,-6.31,389.5,-4.54
-4318.3,6268.3,-6.34,390,-4.75
-4325.9,6275.9,-5.7,390.5,-4.05
-4333.5,6283.5,-5.58,391,-4.18
-4341.1,6291.1,-5.83,391.5,-3.77
-4348.7,6298.7,-6.03,392,-4.32
-4356.3,6306.3,-5.74,392.5,-4.05
-4364,6314,-5.77,393,-4.24
-4371.6,6321.6,-5.51,393.5,-3.73
-4379.2,6329.2,-5.28,394,-3.9
-4386.8,6336.8,-5.36,394.5,-4.02
-4394.4,6344.4,-5.3,395,-3.32
-4402,6352,-5.58,395.5,-3.67
-4409.6,6359.6,-5.94,396,-4.14
-4417.2,6367.2,-6.11,396.5,-3.88
-4424.9,6374.9,-6.05,397,-4.6
-4432.5,6382.5,-5.97,397.5,-4.81
-4440.1,6390.1,-5.21,398,-4.24
-4447.7,6397.7,-5.66,398.5,-4.12
-4455.3,6405.3,-5.58,399,-4.06
-4462.9,6412.9,-5.49,399.5,-4.42
-4470.5,6420.5,-5.2,400,-4.02
-4478.1,6428.1,-5.32,400.5,-3.58
-4485.8,6435.8,-5.42,401,-3.66
-4493.4,6443.4,-5.69,401.5,-3.54
-4501,6451,-6.07,402,-3.46
-4508.6,6458.6,-6.21,402.5,-3.55
-4516.2,6466.2,-5.84,403,-3.65
-4523.8,6473.8,-5.58,403.5,-3.44
-4531.4,6481.4,-5.46,404,-3.52
-4539,6489,-5.33,404.5,-3.02
-4546.7,6496.7,-5.35,405,-3.6
-4554.3,6504.3,-5.23,405.5,-3.44
-4561.9,6511.9,-5.21,406,-3.29
-4569.5,6519.5,-5.01,406.5,-2.97
-4577.1,6527.1,-4.82,407,-2.5
-4584.7,6534.7,-4.63,407.5,-2.22
-4592.3,6542.3,-4.89,408,-2.54
-4599.9,6549.9,-4.73,408.5,-2.1
-4607.6,6557.6,-4.98,409,-2.28
-4615.2,6565.2,-4.55,409.5,-1.65
-4622.8,6572.8,-4.91,410,-2.33
-4630.4,6580.4,-5.23,410.5,-3.11
-4638,6588,-4.73,411.5,-2.69
