age (BP) [1-1],d13C (permil) [1-1],C/N (unitless) [1-1],TOC (mg/g) [1-1],MS (unitless) [1-1],SE (cm yr-1) [1-1],BSi (mg/g) [1-1],age (BP) [2-1],PC1 (unitless) [2-1]
470,NA,NA,10.937,782.968,0.658,NA,8655.129,-0.831
471,NA,NA,NA,NA,0.658,NA,8675.143,-0.699
471,NA,NA,10.774,764.581,0.662,50.4,8695.157,-0.792
472,NA,NA,NA,NA,0.667,NA,8715.171,-0.705
473,NA,NA,12.284,749.463,0.667,NA,8735.186,-0.807
474,NA,NA,NA,NA,0.671,NA,8755.2,-0.758
474,NA,NA,24.229,728.854,0.671,39.194,8775.214,-1.03
475,NA,NA,NA,NA,0.676,NA,8795.228,-0.998
476,NA,NA,22.042,706.235,0.676,NA,8815.242,-0.84
477,NA,NA,NA,NA,0.68,NA,8835.256,-0.727
477,NA,NA,11.982,687.085,0.685,48.416,8855.27,-0.747
478,NA,NA,NA,NA,0.69,NA,8875.284,-0.483
479,NA,NA,23.408,673.387,0.69,17.922,8895.298,-0.82
480,NA,NA,NA,NA,0.694,NA,8915.312,-1.045
480,-25.742,13.75,20.374,661.824,0.699,NA,8935.326,-1.031
481,NA,NA,NA,NA,0.699,NA,8955.341,-1.156
482,NA,NA,19.96,652.889,0.704,NA,8975.355,-1.248
482,NA,NA,NA,NA,0.709,NA,8995.369,-1.336
483,NA,NA,22.995,644.349,0.714,39.681,9015.383,-1.5
484,NA,NA,NA,NA,0.714,NA,9035.397,-1.675
484,NA,NA,21.935,638.83,0.719,NA,9055.411,-1.557
485,-26.101,11.464,NA,NA,0.725,NA,9075.425,-1.574
486,NA,NA,18.978,644.086,0.73,NA,9095.439,-1.803
487,NA,NA,NA,NA,0.735,NA,9115.453,-1.865
487,NA,NA,21.183,661.388,0.735,38.651,9135.467,-1.141
488,NA,NA,NA,NA,0.741,NA,9155.481,-0.415
489,NA,NA,15.666,686.229,0.746,NA,9175.495,-0.948
489,NA,NA,NA,NA,0.752,NA,9195.51,-1.39
490,NA,NA,17.598,713.305,0.758,23.505,9215.524,-1.31
491,NA,NA,NA,NA,0.758,NA,9235.538,-1.215
491,NA,NA,17.767,732.232,0.763,NA,9255.552,-1.518
492,NA,NA,NA,NA,0.769,NA,9275.566,-1.682
493,NA,NA,22.474,739.067,0.775,NA,9295.58,-1.335
493,NA,NA,NA,NA,0.775,NA,9315.594,-1.669
494,-25.806,15.429,15.653,739.724,0.781,44.711,9335.608,-1.702
494,NA,NA,NA,NA,0.787,NA,9355.622,-1.61
495,NA,NA,16.851,744.455,0.794,NA,9375.636,-2.081
496,-26.104,11.943,NA,NA,0.8,NA,9395.65,-2.21
496,NA,NA,10.967,752.342,0.8,NA,9415.665,-1.891
497,NA,NA,NA,NA,0.806,NA,9435.679,-2.094
498,NA,NA,12.776,756.548,0.813,NA,9455.693,-2.37
498,NA,NA,NA,NA,0.82,NA,9475.707,-2.52
499,NA,NA,13.359,752.999,0.82,75.815,9495.721,-2.124
499,NA,NA,NA,NA,0.826,NA,9515.735,-1.83
500,NA,NA,17.277,751.684,0.833,28.068,9535.749,-1.585
501,NA,NA,NA,NA,0.84,NA,9555.763,-1.333
501,NA,NA,13.213,753.656,0.84,NA,9575.777,-1.549
502,NA,NA,NA,NA,0.847,NA,9595.791,-1.355
502,NA,NA,9.501,760.359,0.855,NA,9615.805,-1.242
503,NA,NA,NA,NA,0.862,NA,9635.82,-1.385
504,NA,NA,8.989,767.457,0.862,45.11,9655.834,-1.545
504,NA,NA,NA,NA,0.885,NA,9675.848,-1.73
505,NA,NA,10.947,767.588,0.847,26.295,9695.862,-1.76
505,NA,NA,NA,NA,0.855,NA,9715.876,-0.327
506,-25.935,13.55,11.528,768.903,0.862,NA,9735.89,0.694
507,NA,NA,NA,NA,0.862,NA,9755.904,-0.805
507,NA,NA,21.887,774.949,0.87,NA,9775.918,-1.349
508,NA,NA,NA,NA,0.877,NA,9795.932,-1.24
508,NA,NA,23.771,774.029,0.885,30.751,9815.946,-0.968
509,NA,NA,NA,NA,0.893,NA,9835.96,-1.709
509,NA,NA,27.538,763.119,0.901,NA,9855.975,-1.833
510,NA,NA,NA,NA,0.909,NA,9875.989,-1.791
510,NA,NA,18.832,747.216,0.917,NA,9896.003,-2.46
511,-25.753,12.991,NA,NA,0.926,NA,9916.017,-2.127
512,NA,NA,21.956,729.735,0.935,NA,9936.031,-2.472
512,NA,NA,NA,NA,0.943,NA,NA,NA
513,NA,NA,20.517,708.705,0.952,44,NA,NA
513,NA,NA,NA,NA,0.962,NA,NA,NA
514,NA,NA,15.983,689.252,0.971,NA,NA,NA
514,NA,NA,NA,NA,0.98,NA,NA,NA
515,NA,NA,19.209,668.354,0.99,41.025,NA,NA
515,NA,NA,NA,NA,1,NA,NA,NA
516,NA,NA,20.216,644.827,1.01,NA,NA,NA
516,NA,NA,NA,NA,1.01,NA,NA,NA
517,-25.682,12.706,24.835,624.848,1.02,NA,NA,NA
517,NA,NA,NA,NA,1.031,NA,NA,NA
518,NA,NA,22.089,620.38,1.042,45.484,NA,NA
518,NA,NA,NA,NA,1.042,NA,NA,NA
519,NA,NA,18.653,628.003,1.053,NA,NA,NA
519,NA,NA,NA,NA,1.053,NA,NA,NA
520,NA,NA,27.953,635.626,1.02,NA,NA,NA
520,NA,NA,NA,NA,1.053,NA,NA,NA
521,NA,NA,17.156,642.198,1.053,NA,NA,NA
521,NA,NA,NA,NA,1.064,NA,NA,NA
521,NA,NA,18.879,649.033,1.075,43.16,NA,NA
522,NA,NA,NA,NA,1.087,NA,NA,NA
522,NA,NA,16.365,649.427,1.087,NA,NA,NA
523,NA,NA,NA,NA,1.099,NA,NA,NA
523,NA,NA,18.095,647.324,1.099,29.958,NA,NA
524,NA,NA,NA,NA,1.111,NA,NA,NA
524,NA,NA,17.376,647.193,1.111,NA,NA,NA
525,-26.557,12.008,NA,NA,1.124,NA,NA,NA
525,-25.458,15.2,12.725,651.136,1.124,NA,NA,NA
526,NA,NA,NA,NA,1.136,NA,NA,NA
526,NA,NA,15.109,658.759,1.149,NA,NA,NA
526,NA,NA,NA,NA,1.176,NA,NA,NA
527,NA,NA,15.103,667.171,1.19,51.255,NA,NA
527,NA,NA,NA,NA,1.19,NA,NA,NA
528,NA,NA,15.018,674.006,1.205,NA,NA,NA
528,-26.466,12.351,NA,NA,1.22,NA,NA,NA
529,NA,NA,13.193,680.577,1.22,NA,NA,NA
529,NA,NA,NA,NA,1.235,NA,NA,NA
529,NA,NA,13.161,689.121,1.235,NA,NA,NA
530,NA,NA,NA,NA,1.25,NA,NA,NA
530,NA,NA,11.906,698.584,1.266,67.48,NA,NA
531,NA,NA,NA,NA,1.282,NA,NA,NA
531,NA,NA,15.652,706.339,1.299,NA,NA,NA
531,NA,NA,NA,NA,1.316,NA,NA,NA
532,NA,NA,14.426,705.682,1.333,NA,NA,NA
532,NA,NA,NA,NA,1.351,NA,NA,NA
532,NA,NA,11.935,701.213,1.37,NA,NA,NA
533,NA,NA,NA,NA,1.408,NA,NA,NA
533,NA,NA,13.904,695.693,1.429,60.395,NA,NA
534,NA,NA,NA,NA,1.429,NA,NA,NA
534,-26.035,14.286,14.6,684.783,1.429,NA,NA,NA
534,NA,NA,NA,NA,1.282,NA,NA,NA
535,NA,NA,16.209,669.142,1.471,NA,NA,NA
535,NA,NA,NA,NA,1.471,NA,NA,NA
535,NA,NA,16.681,657.05,1.493,65.605,NA,NA
536,NA,NA,NA,NA,1.493,NA,NA,NA
536,NA,NA,12.628,650.873,1.493,NA,NA,NA
536,-26.83,10.961,NA,NA,1.493,NA,NA,NA
537,NA,NA,12.928,651.924,1.493,NA,NA,NA
537,NA,NA,NA,NA,1.493,NA,NA,NA
537,NA,NA,14.097,656.393,1.493,NA,NA,NA
538,NA,NA,NA,NA,1.493,NA,NA,NA
538,NA,NA,14.397,661.256,1.515,67.208,NA,NA
538,NA,NA,NA,NA,1.37,NA,NA,NA
539,NA,NA,13.372,666.908,1.563,NA,NA,NA
539,NA,NA,NA,NA,1.538,NA,NA,NA
539,NA,NA,13.314,673.743,1.515,NA,NA,NA
540,NA,NA,NA,NA,1.493,NA,NA,NA
540,NA,NA,12.724,679.92,1.493,NA,NA,NA
540,NA,NA,NA,NA,1.471,NA,NA,NA
541,-24.896,14.769,13.332,681.366,1.449,50.038,NA,NA
541,NA,NA,NA,NA,1.429,NA,NA,NA
541,NA,NA,15.642,672.954,1.493,NA,NA,NA
542,-26.29,13.055,NA,NA,1.389,NA,NA,NA
542,NA,NA,16.221,657.05,1.37,NA,NA,NA
542,NA,NA,NA,NA,1.351,NA,NA,NA
543,NA,NA,13.572,645.615,1.333,NA,NA,NA
543,NA,NA,NA,NA,1.316,NA,NA,NA
544,NA,NA,12.166,649.427,1.299,69.122,NA,NA
544,NA,NA,NA,NA,1.282,NA,NA,NA
544,NA,NA,10.668,669.8,1.282,NA,NA,NA
545,NA,NA,NA,NA,1.266,NA,NA,NA
545,NA,NA,13.132,694.115,1.124,NA,NA,NA
546,NA,NA,NA,NA,1.25,NA,NA,NA
546,NA,NA,15.798,707.916,1.235,NA,NA,NA
546,NA,NA,NA,NA,1.22,NA,NA,NA
547,NA,NA,12.103,700.556,1.205,47.724,NA,NA
547,NA,NA,NA,NA,1.205,NA,NA,NA
548,NA,NA,21.778,681.103,1.19,50.338,NA,NA
548,NA,NA,NA,NA,1.176,NA,NA,NA
548,-26.269,13.8,13.826,659.679,1.163,NA,NA,NA
549,NA,NA,NA,NA,1.163,NA,NA,NA
549,NA,NA,13.526,646.404,1.149,NA,NA,NA
550,NA,NA,NA,NA,1.136,NA,NA,NA
550,NA,NA,11.075,645.615,1.22,54.937,NA,NA
551,NA,NA,NA,NA,1.124,NA,NA,NA
551,NA,NA,11.721,652.844,1.111,NA,NA,NA
551,-26.741,11.835,NA,NA,1.099,NA,NA,NA
552,NA,NA,11.621,659.416,1.099,NA,NA,NA
552,NA,NA,NA,NA,1.087,NA,NA,NA
553,NA,NA,13.389,657.313,1.075,NA,NA,NA
553,NA,NA,NA,NA,1.064,NA,NA,NA
554,-26.159,17.75,15.207,644.958,1.064,48.454,NA,NA
554,NA,NA,NA,NA,1.053,NA,NA,NA
555,NA,NA,17.213,629.449,1.042,NA,NA,NA
555,NA,NA,NA,NA,1.042,NA,NA,NA
556,-27.233,10,16.208,620.38,1.031,NA,NA,NA
556,NA,NA,NA,NA,1.02,NA,NA,NA
557,NA,NA,15.607,619.779,0.952,NA,NA,NA
557,NA,NA,NA,NA,1.01,NA,NA,NA
558,NA,NA,17.449,617.282,1,NA,NA,NA
558,NA,NA,NA,NA,1,NA,NA,NA
559,NA,NA,16.732,587.062,0.99,57.701,NA,NA
559,NA,NA,NA,NA,0.99,NA,NA,NA
560,NA,NA,13.437,505.768,0.98,51.746,NA,NA
560,NA,NA,NA,NA,0.971,NA,NA,NA
561,NA,NA,NA,NA,0.971,NA,NA,NA
561,NA,NA,NA,NA,0.962,NA,NA,NA
562,NA,NA,NA,NA,0.952,NA,NA,NA
562,NA,NA,NA,NA,0.952,NA,NA,NA
563,NA,NA,NA,NA,0.943,NA,NA,NA
563,NA,NA,NA,NA,0.943,NA,NA,NA
564,-27.105,11.6,NA,NA,0.935,NA,NA,NA
564,NA,NA,NA,NA,0.926,NA,NA,NA
565,-27.425,11.455,13.879,NA,0.926,57.9,NA,NA
565,NA,NA,NA,NA,0.917,NA,NA,NA
566,NA,NA,8.726,531.928,0.935,NA,NA,NA
567,NA,NA,NA,NA,0.917,NA,NA,NA
567,NA,NA,8.944,621.892,0.909,NA,NA,NA
568,NA,NA,NA,NA,0.909,NA,NA,NA
568,NA,NA,8.277,699.841,0.901,56.248,NA,NA
569,NA,NA,NA,NA,0.893,NA,NA,NA
569,NA,NA,9.184,733.75,0.893,NA,NA,NA
570,NA,NA,NA,NA,0.885,NA,NA,NA
570,NA,NA,14.972,755.113,0.885,NA,NA,NA
571,NA,NA,NA,NA,0.877,NA,NA,NA
572,-27.379,11.833,10.442,767.983,0.877,NA,NA,NA
572,NA,NA,NA,NA,0.87,NA,NA,NA
573,NA,NA,10.23,775.737,0.87,61.077,NA,NA
573,NA,NA,NA,NA,0.862,NA,NA,NA
574,NA,NA,10.707,781.652,0.862,NA,NA,NA
574,NA,NA,NA,NA,0.855,NA,NA,NA
575,NA,NA,10.563,788.618,0.855,NA,NA,NA
576,NA,NA,NA,NA,0.84,NA,NA,NA
576,NA,NA,10.541,792.43,0.847,NA,NA,NA
577,NA,NA,NA,NA,0.847,NA,NA,NA
577,-27.755,10.833,11.045,785.989,0.84,54.736,NA,NA
578,NA,NA,NA,NA,0.84,NA,NA,NA
579,NA,NA,12.026,768.903,0.84,NA,NA,NA
579,NA,NA,NA,NA,0.833,NA,NA,NA
580,NA,NA,11.832,751.816,0.833,NA,NA,NA
580,NA,NA,NA,NA,0.826,NA,NA,NA
581,NA,NA,11.433,737.884,0.826,NA,NA,NA
582,NA,NA,NA,NA,0.82,NA,NA,NA
582,NA,NA,12.012,727.894,0.82,81.802,NA,NA
583,NA,NA,NA,NA,0.813,NA,NA,NA
583,-27.748,15.1,11.331,721.06,0.813,NA,NA,NA
584,NA,NA,NA,NA,0.813,NA,NA,NA
585,NA,NA,12.946,712.516,0.806,NA,NA,NA
585,NA,NA,NA,NA,0.806,NA,NA,NA
586,NA,NA,10.595,701.344,0.8,NA,NA,NA
587,NA,NA,NA,NA,0.8,NA,NA,NA
587,NA,NA,10.678,690.698,0.787,NA,NA,NA
588,NA,NA,NA,NA,0.794,NA,NA,NA
588,NA,NA,13.184,682.549,0.794,64.669,NA,NA
589,NA,NA,NA,NA,0.794,NA,NA,NA
590,-27.941,15.417,11.685,675.451,0.787,NA,NA,NA
590,NA,NA,NA,NA,0.787,NA,NA,NA
591,NA,NA,12.737,669.668,0.787,NA,NA,NA
592,NA,NA,NA,NA,0.787,NA,NA,NA
592,NA,NA,13.512,667.171,0.781,52.608,NA,NA
593,NA,NA,NA,NA,0.781,NA,NA,NA
593,NA,NA,12.314,671.114,0.794,NA,NA,NA
594,NA,NA,NA,NA,0.781,NA,NA,NA
595,NA,NA,14.676,679.92,0.775,NA,NA,NA
595,NA,NA,NA,NA,0.775,NA,NA,NA
596,-27.128,13.091,15.425,687.543,0.775,NA,NA,NA
597,NA,NA,NA,NA,0.769,NA,NA,NA
597,NA,NA,14.099,687.806,0.769,60.958,NA,NA
598,NA,NA,NA,NA,0.769,NA,NA,NA
599,NA,NA,13.664,683.863,0.769,NA,NA,NA
599,NA,NA,NA,NA,0.763,NA,NA,NA
600,NA,NA,16.388,680.577,0.763,NA,NA,NA
601,NA,NA,NA,NA,0.769,NA,NA,NA
601,NA,NA,17.715,681.76,0.763,NA,NA,NA
602,NA,NA,NA,NA,0.763,NA,NA,NA
603,-27.601,13.1,15.871,688.595,0.758,58.809,NA,NA
603,NA,NA,NA,NA,0.758,NA,NA,NA
604,NA,NA,14.602,698.978,0.758,NA,NA,NA
605,NA,NA,NA,NA,0.758,NA,NA,NA
605,NA,NA,15.741,708.573,0.758,NA,NA,NA
606,NA,NA,NA,NA,0.752,NA,NA,NA
607,NA,NA,15.079,713.699,0.752,NA,NA,NA
607,NA,NA,NA,NA,0.752,NA,NA,NA
608,NA,NA,15.404,716.459,0.752,77.507,NA,NA
609,NA,NA,NA,NA,0.752,NA,NA,NA
609,-27.212,13.333,16.212,719.745,0.746,NA,NA,NA
610,NA,NA,NA,NA,0.746,NA,NA,NA
611,NA,NA,12.12,726.186,0.746,NA,NA,NA
611,NA,NA,NA,NA,0.746,NA,NA,NA
612,NA,NA,14.072,730.523,0.746,NA,NA,NA
613,NA,NA,NA,NA,0.746,NA,NA,NA
613,NA,NA,16.617,726.317,0.746,NA,NA,NA
614,NA,NA,NA,NA,0.746,NA,NA,NA
615,NA,NA,14.512,718.3,0.741,60.397,NA,NA
615,NA,NA,NA,NA,0.741,NA,NA,NA
616,-27.328,12.667,15.026,709.625,0.741,NA,NA,NA
617,NA,NA,NA,NA,0.741,NA,NA,NA
617,NA,NA,16.783,699.11,0.741,NA,NA,NA
618,NA,NA,NA,NA,0.741,NA,NA,NA
619,NA,NA,13.182,686.492,0.741,56.187,NA,NA
619,NA,NA,NA,NA,0.741,NA,NA,NA
620,NA,NA,16.845,666.514,0.741,NA,NA,NA
621,NA,NA,NA,NA,0.741,NA,NA,NA
621,NA,NA,16.668,639.964,0.741,NA,NA,NA
622,NA,NA,NA,NA,0.741,NA,NA,NA
623,-27.389,12.769,19.318,617.488,0.741,NA,NA,NA
623,NA,NA,NA,NA,0.741,NA,NA,NA
624,NA,NA,19.98,605.264,0.741,64.108,NA,NA
625,NA,NA,NA,NA,0.735,NA,NA,NA
625,NA,NA,17.049,602.241,0.735,NA,NA,NA
626,NA,NA,NA,NA,0.735,NA,NA,NA
627,NA,NA,17.138,603.293,0.735,NA,NA,NA
627,NA,NA,NA,NA,0.735,NA,NA,NA
628,NA,NA,15.873,605.922,0.735,NA,NA,NA
629,NA,NA,NA,NA,0.735,NA,NA,NA
629,-27.47,12.455,15.915,610.056,0.735,64.338,NA,NA
630,NA,NA,NA,NA,0.735,NA,NA,NA
631,NA,NA,16.461,614.391,0.741,NA,NA,NA
631,NA,NA,NA,NA,0.741,NA,NA,NA
632,NA,NA,15.8,617.019,0.741,NA,NA,NA
633,NA,NA,NA,NA,0.741,NA,NA,NA
633,NA,NA,19.027,618.859,0.741,NA,NA,NA
634,NA,NA,NA,NA,0.741,NA,NA,NA
635,NA,NA,16.746,622.538,0.741,66.896,NA,NA
636,NA,NA,NA,NA,0.741,NA,NA,NA
636,-26.8,14.556,16.458,627.847,0.741,NA,NA,NA
637,NA,NA,NA,NA,0.741,NA,NA,NA
638,NA,NA,14.685,631.656,0.741,NA,NA,NA
638,NA,NA,NA,NA,0.741,NA,NA,NA
639,NA,NA,13.608,632.444,0.741,NA,NA,NA
640,NA,NA,NA,NA,0.741,NA,NA,NA
640,NA,NA,13.893,635.596,0.741,NA,NA,NA
641,NA,NA,NA,NA,0.746,NA,NA,NA
642,NA,NA,16.045,646.808,0.746,72.038,NA,NA
642,NA,NA,NA,NA,0.746,NA,NA,NA
643,-27.226,12.364,14.918,669.655,0.746,NA,NA,NA
644,NA,NA,NA,NA,0.741,NA,NA,NA
644,NA,NA,12.401,699.724,0.746,NA,NA,NA
645,NA,NA,NA,NA,0.746,NA,NA,NA
646,NA,NA,10.774,730.581,0.752,49.257,NA,NA
646,NA,NA,NA,NA,0.752,NA,NA,NA
647,NA,NA,13.755,746.075,0.752,NA,NA,NA
648,NA,NA,NA,NA,0.752,NA,NA,NA
648,NA,NA,17.757,731.237,0.752,NA,NA,NA
649,NA,NA,NA,NA,0.752,NA,NA,NA
650,-27.63,14.077,16.411,698.148,0.758,NA,NA,NA
650,NA,NA,NA,NA,0.758,NA,NA,NA
651,NA,NA,14.866,671.887,0.758,60.756,NA,NA
652,NA,NA,NA,NA,0.758,NA,NA,NA
652,NA,NA,15.817,657.575,0.758,NA,NA,NA
653,NA,NA,NA,NA,0.758,NA,NA,NA
654,NA,NA,15.153,653.46,0.763,39.985,NA,NA
654,NA,NA,NA,NA,0.752,NA,NA,NA
655,NA,NA,16.011,654.642,0.763,NA,NA,NA
656,NA,NA,NA,NA,0.763,NA,NA,NA
656,-26.543,11.444,13.501,657.794,0.769,NA,NA,NA
657,NA,NA,NA,NA,0.769,NA,NA,NA
657,NA,NA,13.467,662.481,0.769,76.712,NA,NA
658,NA,NA,NA,NA,0.769,NA,NA,NA
659,NA,NA,13.68,671.941,0.775,NA,NA,NA
659,NA,NA,NA,NA,0.775,NA,NA,NA
660,NA,NA,14.912,688.891,0.769,NA,NA,NA
661,NA,NA,NA,NA,0.775,NA,NA,NA
661,NA,NA,12.897,708.836,0.781,48.53,NA,NA
662,NA,NA,NA,NA,0.781,NA,NA,NA
663,-26.94,12.3,13.369,718.037,0.781,NA,NA,NA
663,NA,NA,NA,NA,0.787,NA,NA,NA
664,NA,NA,11.986,712.254,0.787,NA,NA,NA
665,NA,NA,NA,NA,0.813,NA,NA,NA
665,NA,NA,10.102,698.584,0.787,NA,NA,NA
666,NA,NA,NA,NA,0.794,NA,NA,NA
666,NA,NA,10.375,684.783,0.794,NA,NA,NA
667,NA,NA,NA,NA,0.794,NA,NA,NA
668,NA,NA,10.742,675.846,0.787,55.044,NA,NA
668,NA,NA,NA,NA,0.8,NA,NA,NA
669,-26.789,9.667,10.522,672.954,0.8,NA,NA,NA
670,NA,NA,NA,NA,0.806,NA,NA,NA
670,NA,NA,16.251,676.897,0.806,NA,NA,NA
671,NA,NA,NA,NA,0.82,NA,NA,NA
671,NA,NA,16.029,689.515,0.813,64.88,NA,NA
672,NA,NA,NA,NA,0.82,NA,NA,NA
673,NA,NA,11.941,711.465,0.82,NA,NA,NA
673,NA,NA,NA,NA,0.826,NA,NA,NA
674,NA,NA,12.031,733.809,0.685,NA,NA,NA
675,NA,NA,NA,NA,0.806,NA,NA,NA
675,-26.745,9.167,12.716,748.661,0.806,NA,NA,NA
676,NA,NA,NA,NA,0.8,NA,NA,NA
676,NA,NA,12.574,749.45,1.923,57.907,NA,NA
677,NA,NA,NA,NA,0.862,NA,NA,NA
677,NA,NA,10.983,746.821,0.855,NA,NA,NA
678,NA,NA,NA,NA,0.847,NA,NA,NA
678,NA,NA,9.834,747.479,0.654,NA,NA,NA
679,NA,NA,NA,NA,0.862,NA,NA,NA
680,NA,NA,10.666,751.29,0.862,NA,NA,NA
680,NA,NA,NA,NA,0.515,NA,NA,NA
681,-27.272,14,13.473,761.279,0.926,61.502,NA,NA
682,NA,NA,NA,NA,0.962,NA,NA,NA
682,NA,NA,10.724,775.212,9.091,NA,NA,NA
682,NA,NA,NA,NA,0.855,NA,NA,NA
683,NA,NA,11.738,784.806,0.82,NA,NA,NA
684,NA,NA,NA,NA,0.8,NA,NA,NA
684,NA,NA,10.822,783.886,0.781,NA,NA,NA
685,NA,NA,NA,NA,0.769,NA,NA,NA
686,NA,NA,12.052,779.68,0.621,67.43,NA,NA
686,NA,NA,NA,NA,0.862,NA,NA,NA
687,-27.964,12,10.015,780.995,0.855,NA,NA,NA
688,NA,NA,NA,NA,0.826,NA,NA,NA
688,NA,NA,9.473,793.875,0.813,NA,NA,NA
689,NA,NA,NA,NA,0.813,NA,NA,NA
689,NA,NA,10.699,813.591,0.781,49.922,NA,NA
690,NA,NA,NA,NA,0.781,NA,NA,NA
691,NA,NA,14.347,823.712,0.806,NA,NA,NA
691,NA,NA,NA,NA,0.8,NA,NA,NA
692,NA,NA,12.411,818.191,0.769,70.18,NA,NA
693,NA,NA,NA,NA,0.781,NA,NA,NA
693,-28.099,14.25,10.515,811.488,0.763,NA,NA,NA
694,NA,NA,NA,NA,0.758,NA,NA,NA
695,NA,NA,11.795,809.648,0.746,NA,NA,NA
695,NA,NA,NA,NA,0.746,NA,NA,NA
696,NA,NA,10.274,812.408,0.746,57.391,NA,NA
697,NA,NA,NA,NA,0.73,NA,NA,NA
697,-28.248,13.5,9.911,816.483,0.719,NA,NA,NA
698,NA,NA,NA,NA,0.709,NA,NA,NA
699,NA,NA,10.77,814.38,0.704,NA,NA,NA
699,NA,NA,NA,NA,0.685,NA,NA,NA
700,NA,NA,8.912,805.968,0.704,NA,NA,NA
701,NA,NA,NA,NA,0.704,NA,NA,NA
701,NA,NA,10.217,800.579,0.709,45.303,NA,NA
702,NA,NA,NA,NA,0.709,NA,NA,NA
703,NA,NA,12.26,802.287,0.714,NA,NA,NA
704,NA,NA,NA,NA,0.714,NA,NA,NA
704,NA,NA,9.907,810.305,0.714,NA,NA,NA
705,NA,NA,NA,NA,0.714,NA,NA,NA
706,NA,NA,10.922,813.328,0.746,NA,NA,NA
706,NA,NA,NA,NA,0.662,NA,NA,NA
707,-28.145,13.364,11.88,802.813,0.654,53.656,NA,NA
708,NA,NA,NA,NA,0.649,NA,NA,NA
709,NA,NA,13.322,780.6,0.641,NA,NA,NA
709,NA,NA,NA,NA,0.633,NA,NA,NA
710,NA,NA,12.232,753.13,0.629,NA,NA,NA
711,NA,NA,NA,NA,0.671,NA,NA,NA
712,NA,NA,11.89,730.129,0.617,NA,NA,NA
713,NA,NA,NA,NA,0.61,NA,NA,NA
713,NA,NA,12.857,716.065,0.602,70.356,NA,NA
714,NA,NA,NA,NA,0.595,NA,NA,NA
715,-28.797,10.833,12.345,710.808,0.588,NA,NA,NA
716,NA,NA,NA,NA,0.581,NA,NA,NA
717,NA,NA,11.795,711.728,0.575,NA,NA,NA
718,NA,NA,NA,NA,0.571,NA,NA,NA
719,NA,NA,15.361,716.197,0.565,71.185,NA,NA
719,NA,NA,NA,NA,0.562,NA,NA,NA
720,NA,NA,12.883,726.317,0.559,NA,NA,NA
721,NA,NA,NA,NA,0.552,NA,NA,NA
722,NA,NA,11.677,744.455,0.571,NA,NA,NA
723,NA,NA,NA,NA,0.541,NA,NA,NA
724,-27.302,10.5,10.294,766.931,0.538,NA,NA,NA
725,NA,NA,NA,NA,0.535,NA,NA,NA
726,NA,NA,10.079,787.172,0.529,NA,NA,NA
727,NA,NA,NA,NA,0.526,NA,NA,NA
728,NA,NA,11.228,798.607,0.524,43.318,NA,NA
729,NA,NA,NA,NA,0.521,NA,NA,NA
730,NA,NA,9.99,796.898,0.518,NA,NA,NA
731,NA,NA,NA,NA,0.513,NA,NA,NA
732,NA,NA,12.571,786.252,0.513,NA,NA,NA
732,NA,NA,NA,NA,0.508,NA,NA,NA
733,-27.611,11.182,14.108,778.235,0.535,NA,NA,NA
734,NA,NA,NA,NA,0.508,NA,NA,NA
735,NA,NA,11.43,774.291,0.505,59.042,NA,NA
736,NA,NA,NA,NA,0.5,NA,NA,NA
737,NA,NA,11.203,774.817,0.498,NA,NA,NA
738,NA,NA,NA,NA,0.495,NA,NA,NA
739,NA,NA,10.247,777.709,0.493,NA,NA,NA
740,NA,NA,NA,NA,0.488,NA,NA,NA
741,NA,NA,9.92,777.709,0.485,NA,NA,NA
742,NA,NA,NA,NA,0.483,NA,NA,NA
744,-27.12,11.5,11.278,774.16,0.481,63.796,NA,NA
745,NA,NA,NA,NA,0.478,NA,NA,NA
746,NA,NA,11.505,766.931,0.478,NA,NA,NA
747,NA,NA,NA,NA,0.476,NA,NA,NA
748,NA,NA,12.828,751.684,0.476,NA,NA,NA
749,NA,NA,NA,NA,0.474,NA,NA,NA
750,NA,NA,11.821,736.044,0.474,NA,NA,NA
751,NA,NA,NA,NA,0.472,NA,NA,NA
752,NA,NA,12.741,719.745,0.469,62.439,NA,NA
753,NA,NA,NA,NA,0.467,NA,NA,NA
754,-27.178,11.533,16.58,707.522,0.467,NA,NA,NA
755,NA,NA,NA,NA,0.467,NA,NA,NA
756,NA,NA,15.174,700.687,0.465,NA,NA,NA
757,NA,NA,NA,NA,0.465,NA,NA,NA
758,NA,NA,15.506,699.898,0.465,60.415,NA,NA
759,NA,NA,NA,NA,0.465,NA,NA,NA
760,NA,NA,13.403,702.921,0.469,NA,NA,NA
762,NA,NA,NA,NA,0.465,NA,NA,NA
763,NA,NA,13.768,705.287,0.465,NA,NA,NA
764,NA,NA,NA,NA,0.463,NA,NA,NA
765,NA,NA,13.469,698.584,0.463,39.639,NA,NA
766,NA,NA,NA,NA,0.463,NA,NA,NA
767,-27.677,11.357,13.729,683.469,0.463,NA,NA,NA
768,NA,NA,NA,NA,0.463,NA,NA,NA
769,NA,NA,16.103,668.617,0.463,NA,NA,NA
770,NA,NA,NA,NA,0.463,NA,NA,NA
771,NA,NA,14.503,659.679,0.463,42.497,NA,NA
772,NA,NA,NA,NA,0.463,NA,NA,NA
773,NA,NA,12.976,644.958,0.448,NA,NA,NA
