year (AD) [1-1],age (yr BP) [1-1],LOI550C (mass) [1-1],MassMagSus (m3kg1) [1-1],LOI950C (mass) [1-1],year (AD) [2-1],age (yr BP) [2-1],Ostracods (unitless) [2-1],Gastropods (unitless) [2-1],year (AD) [3-1],age (yr BP) [3-1],MolarCN (unitless) [3-1]
-4463.6,6413.6,52.38,0,4.64,-4463.6,6413.6,13.36,NA,-4463.6,6413.6,NA
-4503.47,6453.47,32.44,0.2,5.05,-4503.47,6453.47,NA,NA,-4503.47,6453.47,NA
-4543.07,6493.07,48.33,0,5.05,-4543.07,6493.07,16.48,NA,-4543.07,6493.07,NA
-4582.41,6532.41,68.55,-0.1,5.5,-4582.41,6532.41,NA,NA,-4582.41,6532.41,NA
-4621.47,6571.47,62.41,-0.1,5.13,-4621.47,6571.47,15.13,NA,-4621.47,6571.47,NA
-4660.27,6610.27,66.36,-0.1,4.13,-4660.27,6610.27,NA,NA,-4660.27,6610.27,NA
-4698.8,6648.8,54.62,0,5.24,-4698.8,6648.8,14.01,NA,-4698.8,6648.8,NA
-4737.06,6687.06,48.57,0,4.87,-4737.06,6687.06,NA,NA,-4737.06,6687.06,NA
-4775.06,6725.06,40.11,0,6.42,-4775.06,6725.06,0,0,-4775.06,6725.06,12.76
-4812.78,6762.78,50.37,0,5.05,-4812.78,6762.78,NA,NA,-4812.78,6762.78,NA
-4850.24,6800.24,39.23,0,6.28,-4850.24,6800.24,13.61,NA,-4850.24,6800.24,NA
-4887.43,6837.43,32.56,0.1,4.23,-4887.43,6837.43,NA,NA,-4887.43,6837.43,NA
-4924.36,6874.36,33.67,0.1,5.71,-4924.36,6874.36,12.54,NA,-4924.36,6874.36,NA
-4961.01,6911.01,39.25,0.1,6.11,-4961.01,6911.01,NA,NA,-4961.01,6911.01,NA
-4997.4,6947.4,48.57,0,6.49,-4997.4,6947.4,12.59,NA,-4997.4,6947.4,NA
-5033.52,6983.52,51.09,0,8.29,-5033.52,6983.52,NA,NA,-5033.52,6983.52,NA
-5069.37,7019.37,42.11,0,7.48,-5069.37,7019.37,11.83,NA,-5069.37,7019.37,NA
-5104.95,7054.95,36.05,0,15.46,-5104.95,7054.95,NA,NA,-5104.95,7054.95,NA
-5140.27,7090.27,29.31,0,23.51,-5140.27,7090.27,9.3,18,-5140.27,7090.27,9.25
-5175.32,7125.32,28.04,0,28.86,-5175.32,7125.32,NA,NA,-5175.32,7125.32,NA
-5210.1,7160.1,29.56,-0.1,32.88,-5210.1,7160.1,11.79,NA,-5210.1,7160.1,NA
-5244.61,7194.61,31.21,0,31.53,-5244.61,7194.61,NA,NA,-5244.61,7194.61,NA
-5278.85,7228.85,29.88,0,30.49,-5278.85,7228.85,8.96,NA,-5278.85,7228.85,NA
-5312.83,7262.83,29.76,-0.1,36.53,-5312.83,7262.83,NA,NA,-5312.83,7262.83,NA
-5346.54,7296.54,30.86,0,33.77,-5346.54,7296.54,9.79,NA,-5346.54,7296.54,NA
-5379.98,7329.98,30.43,0,35.82,-5379.98,7329.98,NA,NA,-5379.98,7329.98,NA
-5413.15,7363.15,29.53,-0.1,37.68,-5413.15,7363.15,10.52,NA,-5413.15,7363.15,NA
-5446.06,7396.06,31.61,0,35.33,-5446.06,7396.06,NA,NA,-5446.06,7396.06,NA
-5478.7,7428.7,31.11,0,36.62,-5478.7,7428.7,110.45,25,-5478.7,7428.7,8.93
-5511.07,7461.07,29.48,-0.1,36.78,-5511.07,7461.07,NA,NA,-5511.07,7461.07,NA
-5543.17,7493.17,30.06,0,35.47,-5543.17,7493.17,9.41,NA,-5543.17,7493.17,NA
-5575,7525,30.64,0,34.16,-5575,7525,NA,NA,-5575,7525,NA
-5606.57,7556.57,30.26,0,36.13,-5606.57,7556.57,7.92,NA,-5606.57,7556.57,NA
-5637.87,7587.87,29.02,0,37.68,-5637.87,7587.87,NA,NA,-5637.87,7587.87,NA
-5668.9,7618.9,30.43,0,32.11,-5668.9,7618.9,8.06,NA,-5668.9,7618.9,NA
-5699.66,7649.66,32.43,0,30.71,-5699.66,7649.66,NA,NA,-5699.66,7649.66,NA
-5730.16,7680.16,31.87,0,29.83,-5730.16,7680.16,9.5,NA,-5730.16,7680.16,NA
-5760.38,7710.38,31.11,0,30.3,-5760.38,7710.38,NA,NA,-5760.38,7710.38,NA
-5790.34,7740.34,31.52,0,27.17,-5790.34,7740.34,409.2,8,-5790.34,7740.34,9.24
-5820.04,7770.04,29.79,0,27.8,-5820.04,7770.04,NA,NA,-5820.04,7770.04,NA
-5849.46,7799.46,31.47,0,23.07,-5849.46,7799.46,9.83,NA,-5849.46,7799.46,NA
-5878.61,7828.61,31.43,0,28.57,-5878.61,7828.61,NA,NA,-5878.61,7828.61,NA
-5907.5,7857.5,25,0,40.43,-5907.5,7857.5,7.84,NA,-5907.5,7857.5,NA
-5936.12,7886.12,30.65,0,35.43,-5936.12,7886.12,NA,NA,-5936.12,7886.12,NA
-5964.48,7914.48,30.27,-0.1,38.08,-5964.48,7914.48,8.58,NA,-5964.48,7914.48,NA
-5992.56,7942.56,27.08,0,42.61,-5992.56,7942.56,NA,NA,-5992.56,7942.56,NA
-6020.38,7970.38,20.86,-0.1,42.54,-6020.38,7970.38,9.02,NA,-6020.38,7970.38,NA
-6047.93,7997.93,20.28,0,42.94,-6047.93,7997.93,NA,NA,-6047.93,7997.93,NA
-6075.21,8025.21,24.39,-0.1,39.91,-6075.21,8025.21,1353.85,13,-6075.21,8025.21,7.01
-6102.22,8052.22,24.64,-0.1,47.21,-6102.22,8052.22,NA,NA,-6102.22,8052.22,NA
-6128.97,8078.97,26.29,0,46.95,-6128.97,8078.97,7.68,NA,-6128.97,8078.97,NA
-6155.44,8105.44,21.96,0,42.48,-6155.44,8105.44,NA,NA,-6155.44,8105.44,NA
-6181.65,8131.65,22.49,0,48.93,-6181.65,8131.65,8.18,NA,-6181.65,8131.65,NA
-6207.6,8157.6,19.09,0,44.42,-6207.6,8157.6,NA,NA,-6207.6,8157.6,NA
-6233.27,8183.27,18.14,0,43.24,-6233.27,8183.27,8.45,NA,-6233.27,8183.27,NA
-6258.68,8208.68,20.26,0,36.04,-6258.68,8208.68,NA,NA,-6258.68,8208.68,NA
-6283.81,8233.81,26.05,0,30.66,-6283.81,8233.81,9.77,NA,-6283.81,8233.81,NA
-6308.69,8258.69,25.53,0,32.88,-6308.69,8258.69,NA,NA,-6308.69,8258.69,NA
-6333.29,8283.29,32.16,0.1,10.28,-6333.29,8283.29,2.56,3,-6333.29,8283.29,12.19
-6357.62,8307.62,33.33,0.1,6.31,-6357.62,8307.62,NA,NA,-6357.62,8307.62,NA
-6381.69,8331.69,42.35,0,4.01,-6381.69,8331.69,12.53,NA,-6381.69,8331.69,NA
-6405.49,8355.49,40.94,0,5.32,-6405.49,8355.49,NA,NA,-6405.49,8355.49,NA
-6429.02,8379.02,37.78,0,7.58,-6429.02,8379.02,11.76,NA,-6429.02,8379.02,NA
-6452.28,8402.28,27.8,0.1,7.13,-6452.28,8402.28,NA,NA,-6452.28,8402.28,NA
-6475.28,8425.28,31.5,0.1,5.68,-6475.28,8425.28,13.05,NA,-6475.28,8425.28,NA
-6498.01,8448.01,28.39,0.1,10.59,-6498.01,8448.01,NA,NA,-6498.01,8448.01,NA
-6520.47,8470.47,31.31,0.1,11.68,-6520.47,8470.47,9.83,NA,-6520.47,8470.47,NA
-6542.66,8492.66,39.68,0.1,4.81,-6542.66,8492.66,NA,NA,-6542.66,8492.66,NA
-6564.59,8514.59,46.34,0.1,4.16,-6564.59,8514.59,0,0,-6564.59,8514.59,12.53
-6586.24,8536.24,47.33,0,4.55,-6586.24,8536.24,NA,NA,-6586.24,8536.24,NA
-6607.63,8557.63,48.41,0,4.34,-6607.63,8557.63,12.69,NA,-6607.63,8557.63,NA
-6628.75,8578.75,51.33,0,4.55,-6628.75,8578.75,NA,NA,-6628.75,8578.75,NA
-6649.61,8599.61,62.3,-0.1,1.86,-6649.61,8599.61,13.68,NA,-6649.61,8599.61,NA
-6670.19,8620.19,69.23,-0.1,2.19,-6670.19,8620.19,NA,NA,-6670.19,8620.19,NA
-6690.51,8640.51,69.23,-0.1,2.5,-6690.51,8640.51,13.15,NA,-6690.51,8640.51,NA
-6710.56,8660.56,69.57,-0.1,4.94,-6710.56,8660.56,NA,NA,-6710.56,8660.56,NA
-6730.34,8680.34,63.74,-0.1,7.49,-6730.34,8680.34,13.29,NA,-6730.34,8680.34,NA
-6749.86,8699.86,60.22,-0.1,9.78,-6749.86,8699.86,NA,NA,-6749.86,8699.86,NA
-6769.1,8719.1,59.05,-0.1,4.33,-6769.1,8719.1,0,0,-6769.1,8719.1,13.37
-6788.08,8738.08,58.59,-0.1,6.89,-6788.08,8738.08,NA,NA,-6788.08,8738.08,NA
-6806.79,8756.79,55.96,0,6.26,-6806.79,8756.79,12.59,NA,-6806.79,8756.79,NA
-6825.23,8775.23,47.76,0,5.09,-6825.23,8775.23,NA,NA,-6825.23,8775.23,NA
-6843.41,8793.41,46.27,-0.1,6.78,-6843.41,8793.41,12.15,NA,-6843.41,8793.41,NA
-6861.32,8811.32,45.97,0,5.5,-6861.32,8811.32,NA,NA,-6861.32,8811.32,NA
-6878.96,8828.96,44.36,0,5.13,-6878.96,8828.96,12.77,NA,-6878.96,8828.96,NA
-6896.33,8846.33,42.65,0,5.01,-6896.33,8846.33,NA,NA,-6896.33,8846.33,NA
-6913.43,8863.43,40.56,0,4.77,-6913.43,8863.43,11.02,NA,-6913.43,8863.43,NA
-6930.27,8880.27,39.47,0,5.98,-6930.27,8880.27,NA,NA,-6930.27,8880.27,NA
-6946.83,8896.83,40.56,0,6.36,-6946.83,8896.83,1.41,0,-6946.83,8896.83,11.77
-6963.14,8913.14,40.69,0,7.84,-6963.14,8913.14,NA,NA,-6963.14,8913.14,NA
-6979.17,8929.17,41.07,0.1,5.41,-6979.17,8929.17,13.74,NA,-6979.17,8929.17,NA
-6994.93,8944.93,41.32,0,8.17,-6994.93,8944.93,NA,NA,-6994.93,8944.93,NA
-7010.43,8960.43,38.69,0,9.47,-7010.43,8960.43,14.36,NA,-7010.43,8960.43,NA
-7025.66,8975.66,36.54,0,7.28,-7025.66,8975.66,NA,NA,-7025.66,8975.66,NA
-7040.62,8990.62,34.62,0,7.28,-7040.62,8990.62,11.91,NA,-7040.62,8990.62,NA
-7055.31,9005.31,41.98,0,8.67,-7055.31,9005.31,NA,NA,-7055.31,9005.31,NA
-7069.74,9019.74,50.41,-0.1,5.63,-7069.74,9019.74,10.12,NA,-7069.74,9019.74,NA
-7083.9,9033.9,52.89,-0.1,7.51,-7083.9,9033.9,NA,NA,-7083.9,9033.9,NA
-7097.79,9047.79,51.75,0,5.98,-7097.79,9047.79,0,0,-7097.79,9047.79,10.07
-7111.41,9061.41,50,0,7.58,-7111.41,9061.41,NA,NA,-7111.41,9061.41,NA
-7124.76,9074.76,54.46,0,6.09,-7124.76,9074.76,10.06,NA,-7124.76,9074.76,NA
-7137.85,9087.85,45.99,0.1,6.64,-7137.85,9087.85,NA,NA,-7137.85,9087.85,NA
-7150.67,9100.67,40.38,0.2,5.83,-7150.67,9100.67,10.21,NA,-7150.67,9100.67,NA
-7163.22,9113.22,34.32,0.1,8.07,-7163.22,9113.22,NA,NA,-7163.22,9113.22,NA
-7175.5,9125.5,41.86,0,7.05,-7175.5,9125.5,9.03,NA,-7175.5,9125.5,NA
-7187.51,9137.51,48.82,0.2,7.16,-7187.51,9137.51,NA,NA,-7187.51,9137.51,NA
-7199.26,9149.26,42.45,0.4,6.54,-7199.26,9149.26,11.33,NA,-7199.26,9149.26,NA
-7210.74,9160.74,25.84,0.7,7.61,-7210.74,9160.74,NA,NA,-7210.74,9160.74,NA
-7221.95,9171.95,17.33,1.1,6.22,-7221.95,9171.95,0,0,-7221.95,9171.95,10.77
-7232.9,9182.9,12.63,1.1,4.78,-7232.9,9182.9,NA,NA,-7232.9,9182.9,NA
-7243.57,9193.57,12.14,1.2,4.33,-7243.57,9193.57,12.03,NA,-7243.57,9193.57,NA
-7253.98,9203.98,11.47,1,4.92,-7253.98,9203.98,NA,NA,-7253.98,9203.98,NA
-7264.12,9214.12,13.95,0.8,7.93,-7264.12,9214.12,11.05,NA,-7264.12,9214.12,NA
-7273.99,9223.99,16.41,0.7,8.74,-7273.99,9223.99,NA,NA,-7273.99,9223.99,NA
-7283.6,9233.6,19.02,1,8.37,-7283.6,9233.6,10.53,NA,-7283.6,9233.6,NA
-7292.93,9242.93,16.42,1,6.68,-7292.93,9242.93,NA,NA,-7292.93,9242.93,NA
-7302,9252,12.99,1.2,6.09,-7302,9252,10.67,NA,-7302,9252,NA
-7310.8,9260.8,9.17,1.3,6.13,-7310.8,9260.8,NA,NA,-7310.8,9260.8,NA
-7319.34,9269.34,9.12,1.5,5.87,-7319.34,9269.34,1.5,0,-7319.34,9269.34,10.68
-7327.6,9277.6,8.82,1.9,5.9,-7327.6,9277.6,NA,NA,-7327.6,9277.6,NA
-7335.6,9285.6,9.19,2.4,5.32,-7335.6,9285.6,12.1,NA,-7335.6,9285.6,NA
-7343.33,9293.33,6.07,2.2,3.94,-7343.33,9293.33,NA,NA,-7343.33,9293.33,NA
-7350.79,9300.79,3.75,2.5,3.23,-7350.79,9300.79,11.45,NA,-7350.79,9300.79,NA
-7357.99,9307.99,3.36,3,2.75,-7357.99,9307.99,NA,NA,-7357.99,9307.99,NA
-7364.91,9314.91,3.26,3,3.3,-7364.91,9314.91,10.63,NA,-7364.91,9314.91,NA
-7371.57,9321.57,3.3,3.4,3.34,-7371.57,9321.57,NA,NA,-7371.57,9321.57,NA
-7377.96,9327.96,3.65,3.1,3.21,-7377.96,9327.96,10.67,NA,-7377.96,9327.96,NA
-7384.09,9334.09,3.4,3.6,2.66,-7384.09,9334.09,NA,NA,-7384.09,9334.09,NA
-7389.94,9339.94,3.39,3.3,3.3,-7389.94,9339.94,0,0,-7389.94,9339.94,10.18
-7395.53,9345.53,3.25,3.6,3.41,-7395.53,9345.53,NA,NA,NA,NA,NA
-7400.85,9350.85,2.94,3.3,2.51,-7400.85,9350.85,9.61,NA,NA,NA,NA
-7405.9,9355.9,3.21,3.2,2.97,-7405.9,9355.9,NA,NA,NA,NA,NA
