depth (m) [1-1],age (yr BP) [1-1],Temperature (degC) [1-1],Core (unitless) [1-1],Sample interval (cm) [1-1],UK37 (unitless) [1-1],UK37_error (1sigma) [1-1],U371sigmaUncertainty- (unitless) [1-1],K37s (Âµg/g) [1-1],Temperature_uncertainty_plus (degC) [1-1],Temperature_uncertainty_minus (degC) [1-1],depth (m) [1-2],age (yr BP) [1-2],BSI (percentByWeight) [1-2],depth (m) [1-3],age (yr BP) [1-3],Al (percent) [1-3],Mn (ppm) [1-3],Co (ppm) [1-3],Cr (ppm) [1-3],U (ppm) [1-3],Mo (ppm) [1-3],Cd (ppm) [1-3],Mo_xs (ppm) [1-3],U_xs (ppm) [1-3],depth (m) [1-4],age (yr BP) [1-4],TOC (percent) [1-4],TN (percent) [1-4],d13C (permil) [1-4],dN15 (permil) [1-4],dN15_corrected (permil) [1-4],depth (m) [1-5],age (yr BP) [1-5],d13C_benthic (permil) [1-5],d18O_benthic (permil) [1-5],depth (m) [1-6],age (yr BP) [1-6],d18O_plank (permil) [1-6],d13C_plank (permil) [1-6],depth (m) [1-7],age (yr BP) [1-7],d18O_Gb (permil) [1-7],d13C_Gb (permil) [1-7]
6.575,13950,9.7,EW0408-85JC,-1,0.367,0.013,0.015,0.89,0.4,0.43,3.47,6230,6.87,6.22,11588,7.83,775,14.8,94,2,1.61,0.22,0.12,-0.74,3.47,6234.2,0.82,0.08,-23.14,4.36,4.84,3.68,6785.59,-1,3.21,3.63,6631.67,1.82,0.78,3.73,6939.5098,1.91,0.08
6.62,14110,11.2,EW0408-85JC,-1,0.42,0.026,0.026,1.45,0.77,0.78,3.52,6330,6.03,6.27,11783,7.9,812,16.6,102,2,1.53,0.27,0.03,-0.77,3.52,6331.2,0.72,0.06,-23.31,4.22,4.85,3.73,6939.51,-1.03,3.31,3.68,6785.59,1.62,0.72,3.78,7093.43137,1.77,0.06
6.635,14150,9.3,EW0408-85JC,-1,0.356,0.013,0.014,1.15,0.38,0.42,3.57,6460,6.19,6.32,11978,7.62,853,17.9,101,1.9,1.37,0.24,-0.08,-0.77,3.57,6462.35,0.78,0.07,-23.2,4.59,5.16,3.78,7093.43,-1.01,3.31,3.73,6939.51,1.91,0.73,3.83,7247.35294,1.9,0.17
6.685,14290,9.8,EW0408-85JC,-1,0.372,0.013,0.014,1.54,0.38,0.4,3.62,6620,6.71,6.39,12251,7.38,753,15.9,92,2.5,1.61,0.28,0.21,-0.08,3.62,6616.27,0.78,0.07,-23.05,4.58,4.99,3.83,7247.35,-0.95,3.37,3.78,7093.43,1.77,0.59,3.88,7401.27451,1.73,-0.09
6.705,14350,10.1,EW0408-85JC,-1,0.381,0.013,0.013,1.3,0.37,0.38,3.67,6770,6.23,6.42,12450,7.29,718,15.2,93,2.6,1.89,0.33,0.5,0.05,3.67,6770.2,0.82,0.07,-23.15,4.54,5.05,3.88,7401.27,-1.3,3.29,3.83,7247.35,1.59,0.6,3.94,7585.98039,2.03,0.19
6.725,14450,10.1,EW0408-85JC,-1,0.381,0.012,0.013,1.14,0.36,0.37,3.72,6920,5.73,6.49,13370,7.49,748,15.6,97,3.4,2.88,0.58,1.46,0.78,3.72,6924.12,0.88,0.08,-23.02,4.69,5.08,3.94,7585.98,-1.26,3.33,3.88,7401.27,1.69,0.64,3.99,7739.90196,1.84,-0.02
6.735,14500,9.8,EW0408-85JC,-1,0.373,0.013,0.013,0.86,0.37,0.39,3.77,7080,6.04,6.52,13644.44,7.42,746,16.1,96,2.7,2.84,0.51,1.43,0.1,3.77,7078.04,0.82,0.08,-22.9,4.68,4.96,3.99,7739.9,-1.25,3.4,3.94,7585.98,1.83,0.6,4.05,7940,1.95,0.2
6.755,14600,9.8,EW0408-85JC,-1,0.371,0.012,0.013,1.21,0.36,0.37,3.82,7230,6.93,6.57,13930,7.47,775,17,92,3.7,2.95,0.67,1.53,1.09,3.82,7231.96,0.83,0.07,-23.25,4.68,5.32,4.05,7940,-0.97,3.44,3.99,7739.9,1.88,0.62,4.1,8001.2,1.64,-0.12
6.785,14750,9.9,EW0408-85JC,-1,0.374,0.029,0.032,NA,0.86,0.94,3.87,7390,6.74,6.62,14114,8.06,826,17.5,99,3.4,3.61,0.8,2.08,0.58,3.87,7385.88,0.86,0.08,-23.17,4.96,5.56,4.1,8001.2,-1.13,3.41,4.05,7940,2,0.33,4.15,8069.2,1.96,-0.16
6.815,14900,8.6,EW0408-85JC,-1,0.331,0.013,0.014,0.59,0.38,0.42,3.92,7540,6.53,6.68,14276,7.95,817,16.9,92,3.1,2.7,0.59,1.19,0.32,3.92,7539.8,0.82,0.07,-22.28,4.49,4.49,4.15,8069.2,-0.99,3.38,4.1,8001.2,1.69,0.36,4.2,8137.2,2.05,0.1
6.845,15070,8.5,EW0408-85JC,-1,0.328,0.015,0.02,0.19,0.45,0.58,3.97,7690,7.25,6.72,14426,7.71,810,18.4,92,2.8,2.62,0.83,1.16,0.1,3.97,7693.73,0.84,0.08,-22.13,4.98,4.98,4.2,8137.2,-1.05,3.42,4.15,8069.2,1.61,0.46,4.25,8205.2,1.56,-0.21
6.865,15210,6.7,EW0408-85JC,-1,0.266,0.019,0.034,0.17,0.55,0.99,4.02,7850,7.02,6.76,14620,7.62,790,17.2,93,2.9,2.64,0.65,1.19,0.23,4.02,7847.65,0.77,0.07,-22.42,4.33,4.2,4.25,8205.2,-0.95,3.43,4.2,8137.2,1.76,0.45,4.3,8273.2,1.81,-0.09
6.875,15280,7.8,EW0408-85JC,-1,0.304,0.023,0.038,0.15,0.67,1.11,4.07,7970,7.06,6.82,14931.11,6.61,596,13.5,66,2.6,1.9,0.33,0.64,0.29,4.07,7967.2,0.74,0.07,-22.53,4.61,4.56,4.3,8273.2,-1.06,3.43,4.25,8205.2,1.7,0.57,4.35,8341.2,1.93,-0.02
6.905,15480,7.2,EW0408-85JC,-1,0.285,0.018,0.029,0.23,0.53,0.85,4.12,8040,6.69,6.87,15247.27,7.12,674,12.2,74,1.6,1.02,0.21,-0.33,-0.89,4.12,8035.2,0.77,0.07,-22.51,4.82,4.75,4.35,8341.2,-1.03,3.35,4.3,8273.2,1.8,0.56,4.4,8409.2,1.87,-0.13
6.93,15600,5.6,EW0408-85JC,-1,0.23,0.031,0.055,NA,0.9,1.61,4.17,8100,7.58,6.92,15555.71,7.41,686,12,75,2.6,1.02,0.19,-0.39,0.01,4.17,8103.2,0.76,0.07,-22.67,4.01,4.06,4.4,8409.2,-1.14,3.38,4.35,8341.2,1.75,0.51,4.45,8477.2,1.67,-0.13
6.945,15680,6.5,EW0408-85JC,-1,0.259,0.017,0.03,0.2,0.5,0.88,4.22,8170,6.7,6.97,15795,7.56,750,13.6,81,1.9,0.99,0.17,-0.45,-0.75,4.22,8171.2,0.86,0.08,-22.85,4.61,4.83,4.45,8477.2,-1.28,3.4,4.4,8409.2,1.73,0.52,4.5,8545.2,1.57,-0.09
6.975,15820,6.3,EW0408-85JC,-1,0.252,0.021,0.043,0.13,0.62,1.26,4.27,8240,6.31,7.22,16514.55,7.49,649,16.9,74,1.9,1.16,0.24,-0.26,-0.72,4.27,8239.2,0.77,0.08,-22.86,4.51,4.73,4.5,8545.2,-1.27,3.37,4.45,8477.2,1.76,0.44,4.55,8620,1.69,-0.21
7.015,16010,6.2,EW0408-85JC,-1,0.25,0.017,0.029,1.83,0.5,0.85,4.32,8310,6.41,7.32,16687.86,7.54,645,16.3,73,1.5,0.96,0.2,-0.47,-1.14,4.32,8307.2,0.74,0.07,-23.13,4.32,4.79,4.55,8620,-0.91,3.33,4.5,8545.2,1.67,0.43,4.6,8674,1.78,-0.18
7.085,16230,6.1,EW0408-85JC,-1,0.248,0.022,0.046,0.07,0.65,1.36,4.37,8380,7.26,7.42,16834.29,7.71,655,16.6,73,1.9,0.96,0.17,-0.5,-0.8,4.37,8375.2,0.65,0.07,-22.81,4.42,4.59,4.6,8674,-1.07,3.37,4.55,8620,1.95,0.25,4.65,8734,1.65,-0.32
7.255,16590,5.3,EW0408-85JC,-1,0.22,0.018,0.039,0.19,0.52,1.15,4.42,8440,6.56,7.52,16980.71,8.11,698,17.8,76,1.7,1.02,0.23,-0.52,-1.14,4.42,8443.2,0.76,0.06,-23.76,4.13,5.26,4.65,8734,-1.23,3.4,4.6,8674,1.85,0.37,4.7,8794,1.63,-0.13
7.455,16890,3.5,EW0408-85JC,-1,0.16,0.04,0.131,0.05,1.16,3.84,4.47,8510,6.6,7.62,17022.8,8.28,731,19.6,85,2.1,1.43,0.16,-0.14,-0.8,4.47,8511.2,0.79,0.07,-23.75,4.39,5.6,4.7,8794,-1.18,3.39,4.65,8734,1.58,0.42,4.75,8854,1.81,-0.24
7.555,17010,3.3,EW0408-85JC,-1,0.15,0.028,0.082,0.07,0.82,2.42,4.52,8580,6.62,7.72,17038.8,7.63,652,16.6,74,1.6,0.97,0.18,-0.48,-1.07,4.52,8579.2,0.86,0.08,-23.5,4.25,5.09,4.75,8854,-1.18,3.48,4.7,8794,1.72,0.23,4.8,8914,1.83,-0.28
7.655,17030,4.5,EW0408-85JC,-1,0.19,0.057,0.165,0.04,1.68,4.85,4.57,8640,6.79,7.82,17054.8,7.81,683,17.5,75,1.6,0.99,0.17,-0.49,-1.13,4.57,8644,0.81,0.08,-23.64,4.23,5.24,4.8,8914,-1.17,3.45,4.75,8854,1.87,0.23,4.85,8974,1.7,-0.25
7.805,17050,4.4,EW0408-85JC,-1,0.187,0.012,0.024,0.19,0.34,0.7,4.62,8700,7.54,7.92,17070.8,7.95,695,18.3,80,1.7,1.15,0.16,-0.36,-1.08,4.62,8704,0.85,0.08,-23.68,4.35,5.44,4.85,8974,-1.11,3.41,4.8,8914,1.76,0.24,4.9,9034,1.73,-0.34
7.955,17080,6,EW0408-85JC,-1,0.244,0.033,0.059,0.1,0.98,1.72,4.67,8760,6.99,8.02,17086.8,7.94,708,18,80,1.7,1.14,0.17,-0.37,-1.08,4.67,8764,0.91,0.09,-23.63,4.46,5.53,4.9,9034,-0.89,3.39,4.85,8974,1.74,0.21,4.95,9094,1.84,-0.16
8.005,17080,3.4,EW0408-85JC,-1,0.156,0.016,0.052,0.11,0.46,1.53,4.72,8820,6.97,8.21,17103.6,8.01,682,18.2,80,1.6,1.08,0.17,-0.44,-1.2,4.72,8824,0.86,0.08,-23.66,4.4,5.48,4.95,9094,-1.21,3.46,4.9,9034,1.69,0.29,5,9154,1.68,-0.5
8.255,17110,3.5,EW0408-85JC,-1,0.156,0.01,0.023,0.18,0.29,0.68,4.77,8880,6.55,8.42,17120.4,8.33,694,19.3,84,1.5,1.24,0.13,-0.34,-1.42,4.77,8884,0.83,0.07,-24.11,4.02,5.6,5,9154,-0.98,3.3,4.95,9094,1.78,0.37,5.05,9220,1.74,-0.33
8.555,17130,5.4,EW0408-85JC,-1,0.224,0.053,0.124,0.05,1.55,3.64,4.82,8940,5.85,8.62,17136.4,8.32,720,19.7,85,1.6,0.97,0.12,-0.61,-1.31,4.82,8944,0.75,0.06,-24.21,3.86,5.52,5.05,9220,-1.02,3.52,5,9154,1.61,0.38,5.1,9285.7,1.98,-0.43
9.005,17170,4.6,EW0408-85JC,-1,0.195,0.023,0.066,0.07,0.67,1.93,4.87,9000,6.07,8.82,17152.4,8.07,701,19.3,84,1.5,1.79,0.13,0.26,-1.32,4.87,9004,0.81,0.07,-24.25,3.71,5.34,5.1,9285.7,-1.12,3.47,5.05,9220,1.71,0.13,5.15,9358.7,1.76,-0.51
9.255,17190,4.6,EW0408-85JC,-1,0.196,0.014,0.031,0.09,0.41,0.91,4.92,9060,5.94,9.02,17168.4,8,681,18.9,81,1.5,1.02,0.12,-0.5,-1.3,4.92,9064,0.76,0.07,-24.07,3.96,5.44,5.15,9358.7,-1.16,3.52,5.1,9285.7,1.56,-0.02,5.2,9431.7,1.95,-0.42
9.545,17210,5.3,EW0408-85JC,-1,0.22,0.042,0.095,0.05,1.25,2.8,4.97,9120,6.74,9.22,17184.69,8.45,722,20.7,88,1.5,1.18,0.15,-0.43,-1.46,4.97,9124,0.78,0.08,-24.02,4.46,6.12,5.2,9431.7,-1.01,3.4,5.15,9358.7,1.73,0.14,5.25,9504.7,1.84,-0.37
10.005,17260,4.1,EW0408-85JC,-1,0.179,0.017,0.049,0.09,0.5,1.45,5.02,9180,6.75,9.42,17201.02,8.5,730,20,87,1.5,1.03,0.12,-0.59,-1.48,5.02,9184,0.76,0.07,-23.79,4.26,5.47,5.25,9504.7,-1.15,3.45,5.2,9431.7,1.71,0.08,5.3,9577.7,1.82,-0.52
10.255,17280,4.6,EW0408-85JC,-1,0.194,0.011,0.022,0.25,0.33,0.63,5.07,9250,6.29,9.62,17219,8.1,668,18.6,79,1.5,1.05,0.17,-0.49,-1.34,5.07,9249.2,0.83,0.09,-23.56,4.94,6.05,5.3,9577.7,-1.17,3.46,5.25,9504.7,1.85,0.02,5.4,9723.7,1.68,-0.49
10.515,17310,5.1,EW0408-85JC,-1,0.21,0.072,0.194,0.07,2.12,5.7,5.12,9320,5.09,9.82,17239,8.19,682,19.4,85,1.5,1.02,0.14,-0.54,-1.37,5.12,9322.2,0.65,0.06,-23.81,4.3,5.56,5.35,9650.7,-1.06,3.44,5.3,9577.7,1.77,0.15,5.46,9811.3,1.53,-0.61
11.195,17390,4.5,EW0408-85JC,-1,0.191,0.013,0.027,0.12,0.37,0.8,5.17,9400,6.25,10.02,17259,8.37,737,19.4,87,1.4,0.86,0.12,-0.73,-1.53,5.17,9395.2,0.78,0.08,-23.55,4.62,5.62,5.4,9723.7,-1.11,3.52,5.35,9650.7,1.65,0.12,5.51,9884.3,1.82,-0.54
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22,9470,5.85,10.22,17279,7.98,715,19.1,84,1.7,1.05,0.22,-0.47,-1.09,5.22,9468.2,0.76,0.07,-23.76,4.74,6.08,5.46,9811.3,-1.12,3.42,5.4,9723.7,1.55,0.04,5.55,9950,1.61,-0.55
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27,9540,5.64,10.42,17299,8.01,731,19,82,1.6,1.22,0.15,-0.3,-1.2,5.27,9541.2,0.82,0.07,-23.71,4.82,6.12,5.51,9884.3,-1.2,3.34,5.46,9811.3,1.49,0.12,5.61,10051.75,1.83,-0.52
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32,9610,5.82,10.62,17320.8,8.16,761,19.5,87,1.9,1.53,0.17,-0.02,-0.96,5.32,9614.2,0.72,0.06,-24.04,4.83,6.7,5.55,9950,-0.93,3.41,5.51,9884.3,1.54,0.16,5.66,10144.25,1.6,-0.63
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37,9690,6.66,10.82,17344.8,8.23,761,19.6,89,2,1.75,0.19,0.19,-0.88,5.4,9731,0.86,0.08,-24.54,4.3,6.91,5.61,10051.75,-1.18,3.42,5.55,9950,1.82,0.04,5.71,10236.75,1.64,-0.43
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,9730,5.86,11.02,17368.8,8.19,748,19.6,86,1.7,0.96,0.13,-0.6,-1.17,5.43,9774.8,0.96,0.09,-24.09,4.97,7.02,5.66,10144.25,-1.13,3.45,5.61,10051.75,1.62,0.12,5.75,10320,1.75,-0.34
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.43,9770,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47,9833.2,0.94,0.09,-23.93,5.02,6.78,5.71,10236.75,-0.7,3.57,5.66,10144.25,1.73,0.06,5.78,10388,1.71,-0.54
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47,9830,5.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52,9906.2,0.96,0.09,-23.85,4.84,6.37,5.75,10320,-0.79,3.46,5.71,10236.75,1.41,0.06,5.81,10444.6667,1.82,-0.28
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52,9910,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.57,9987,0.96,0.1,-23.8,5.24,6.84,5.78,10388,-0.92,3.51,5.75,10320,1.55,0.24,5.83,10501.3333,1.58,-0.41
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.57,9990,5.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62,10079.5,0.86,0.08,-24.07,4.63,6.46,5.81,10444.67,-1.11,3.47,5.78,10388,1.6,0.2,5.86,10558,1.79,-0.26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62,10080,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67,10172,0.81,0.08,-23.98,4.83,6.59,5.83,10501.33,-1.1,3.6,5.81,10444.67,1.65,0.23,5.88,10614.6667,2.01,-0.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67,10170,5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.72,10264.5,0.59,0.06,-24.4,4.68,7.24,5.86,10558,-1.08,3.59,5.83,10501.33,1.86,0.46,5.9,10648.6667,1.95,-0.26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.72,10260,6.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77,10365.33,0.74,0.09,-23.94,5.5,7.48,5.88,10614.67,-1.07,3.71,5.86,10558,1.75,0.27,5.93,10722.1429,1.96,-0.34
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77,10370,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.82,10478.67,0.64,0.08,-24,5.8,8.05,5.9,10648.67,-0.9,3.6,5.88,10614.67,1.81,0.42,5.96,10773.9286,2.08,-0.13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.82,10480,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.87,10592,0.6,0.08,-23.82,6.14,8.12,5.93,10722.14,-1.08,3.6,5.9,10648.67,1.88,0.48,5.99,10846.4286,2.02,-0.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.87,10590,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92,10701.43,0.72,0.08,-23.63,5.86,7.36,5.96,10773.93,-0.97,3.56,5.93,10722.14,1.8,0.31,6.01,10887.8571,1.87,-0.05
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92,10700,6.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97,10805,0.78,0.1,-23.48,6.29,7.62,5.99,10846.43,-0.93,3.64,5.96,10773.93,1.84,0.25,6.04,10950,1.89,0.07
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97,10810,7.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02,10908.57,0.89,0.11,-23.17,6.68,7.54,6.01,10887.86,-0.98,3.69,5.99,10846.43,1.79,0.39,6.07,11050,2.1,-0.06
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02,10910,9.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07,11070,0.96,0.12,-23.27,6.3,7.26,6.04,10950,-0.91,3.72,6.01,10887.86,1.88,0.42,6.13,11264.5455,1.86,0.02
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07,11070,10.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.12,11248.18,0.63,0.08,-23.07,5.59,6.15,6.07,11050,-1.16,3.6,6.04,10950,2.09,0.51,6.15,11330,1.9,-0.02
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.12,11250,6.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17,11411.82,0.68,0.08,-22.97,5.77,6.21,6.09,11150,-1.12,3.64,6.07,11050,2.09,0.53,6.17,11411.8182,1.81,-0.07
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17,11410,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22,11588,0.58,0.07,-22.72,5.54,5.68,6.13,11264.55,-1.12,3.88,6.09,11150,2.21,0.5,6.2,11510,2.17,-0.09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22,11590,5.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27,11783,0.55,0.06,-22.75,5.73,5.9,6.15,11330,-1.18,3.64,6.13,11264.55,2.33,0.58,6.22,11588,1.98,-0.18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27,11780,6.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32,11978,0.43,0.05,-22.71,5.53,5.65,6.2,11510,-1.23,3.91,6.15,11330,2.29,0.49,6.25,11685.5,2.18,-0.08
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32,11980,6.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.37,12173,0.62,0.05,-22.67,3.97,4.02,6.22,11588,-1.17,3.85,6.17,11411.82,2.41,0.57,6.27,11783,2.09,-0.06
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.37,12170,5.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.42,12450,0.97,0.08,-23,4.86,5.26,6.27,11783,-1.51,3.62,6.2,11510,2.57,0.45,6.3,11900,2.12,-0.42
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.42,12450,5.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47,13050,1.07,0.09,-23.52,5.23,6.36,6.3,11900,-1.18,3.85,6.22,11588,2.45,0.4,6.33,11997.5,2.1,-0.59
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47,13050,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.52,13644.44,1.14,0.11,-22.78,5.66,5.87,6.35,12075.5,-1.34,3.86,6.25,11685.5,2.71,0.47,6.35,12075.5,2.21,-0.23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.52,13640,10.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,13930,1.16,0.11,-23.06,6.02,6.62,6.37,12153.5,-1.13,3.93,6.27,11783,2.75,0.42,6.37,12153.5,2.14,-0.31
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,13930,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.62,14114,1.15,0.1,-23.33,6.02,7.03,6.4,12290,-0.99,3.97,6.3,11900,2.65,0.24,6.4,12290,2.46,-0.29
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.62,14110,8.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,14249,1.15,0.11,-23.01,5.77,6.27,6.42,12450,-1.42,3.97,6.33,11997.5,2.61,0.14,6.42,12450,2.33,-0.24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,14250,9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.72,14426,1.03,0.09,-23.25,5.32,6.07,6.45,12650,-1.21,3.91,6.35,12075.5,2.61,0.05,6.45,12650,2.36,-0.13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.72,14430,9.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77,14670,1.05,0.1,-23.13,5.55,6.18,6.47,12970,-1.2,4,6.37,12153.5,2.59,0.07,6.47,12970,2.6,-0.14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77,14670,10.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.82,14931.11,0.48,0.02,-24.07,3.67,5.02,6.5,13450,-1.48,3.79,6.4,12290,2.61,0.17,6.5,13450,2.59,-0.13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.82,14930,3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87,15247.27,0.47,0.03,-24.03,4.01,5.47,6.52,13644.44,-1.5,3.91,6.42,12450,2.64,0.37,6.52,13644.4444,2.37,-0.06
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87,15250,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92,15555.71,0.51,0.03,-24.23,2.87,3.98,6.54,13800,-1.26,4.03,6.45,12650,2.66,0.31,6.54,13800,2.42,-0.23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92,15560,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.97,15795,0.48,0.03,-23.93,3.5,4.59,6.57,13908.33,-1.2,3.91,6.47,12970,2.7,0.25,6.57,13908.3333,2.17,-0.03
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.97,15800,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,16514.55,0.67,0.04,-24.42,3.22,4.79,6.6,14060,-1.11,3.97,6.5,13450,2.44,0.11,6.6,14060,2.49,-0.21
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.02,16030,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32,16687.86,0.6,0.04,-24.49,3.41,5.23,6.62,14114,-1.48,3.81,6.52,13644.44,2.46,0.16,6.62,14114,1.74,-0.42
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07,16190,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.42,16834.29,0.55,0.03,-24.63,2.91,4.55,6.65,14181.5,-1.16,3.89,6.54,13800,2.68,0.2,6.65,14181.5,2.18,-0.07
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.12,16300,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52,16980.71,0.61,0.04,-24.74,2.6,4.12,6.7,14316.5,-0.97,3.12,6.57,13908.33,2.19,0.07,6.67,14249,2.41,-0.15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.17,16410,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,17022.8,0.5,0.03,-24.7,2.93,4.69,6.74,14498,-1.15,3.7,6.6,14060,2.39,0.21,6.7,14316.5,1.99,-0.08
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,16510,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,17038.8,0.41,0.02,-24.56,2.44,3.6,6.75,14570,-1.08,3.59,6.62,14114,2.32,0.11,6.71,14354,2.12,-0.36
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,16610,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.82,17054.8,0.44,0.03,-24.72,2.97,4.8,6.8,14820,-1.05,4.2,6.65,14181.5,1.84,0.1,6.74,14498,2.13,-0.3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32,16690,3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92,17070.8,0.55,0.04,-24.88,3.21,5.59,6.8,14820,-0.91,4.18,6.67,14249,2.05,0.26,6.75,14546,2.27,-0.11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.37,16760,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.02,17086.8,0.45,0.03,-24.76,3.16,5.25,6.83,14958.89,-1.19,4.16,6.7,14316.5,2.03,0.19,6.75,14570,2.68,0.06
