year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],Actinocyclus_curvatulus (unitless) [1-1],Roperia_tesselata (unitless) [1-1],CAL (unitless) [1-1],Actinocyclus_octonarius (unitless) [1-1],Actinoptychus_spp. (unitless) [1-1],Azpeitia_nodulifer (unitless) [1-1],Coscinodiscus_spp. (unitless) [1-1],Cyclotella_spp. (unitless) [1-1],Stephanopyxis_spp. (unitless) [1-1],Number_counted (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],CAL (unitless) [2-1],Dictyocha_acueata (unitless) [2-1],D_aff_D_aculeata (unitless) [2-1],D_aspinosa (unitless) [2-1],D_calida (unitless) [2-1],D_calida_ampliata (unitless) [2-1],D_perlaevis (unitless) [2-1],D_stapedia (unitless) [2-1],Ds_speculum (unitless) [2-1],Octactis_pulchra_(lrg) (unitless) [2-1],O_pulchra_(med) (unitless) [2-1],O_pulchra_(small) (unitless) [2-1],O_pulchra_(thick) (unitless) [2-1],Numbe_counted (unitless) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],BSI (%) [3-1],CAL (unitless) [3-1],%Al (%) [3-1],%Si (%) [3-1],%Fe (%) [3-1],%Ti (%) [3-1],%Mg (%) [3-1],%K (%) [3-1],%P (%) [3-1],Ba (ppm) (unitless) [3-1],Sr (ppm) (unitless) [3-1],% Total C (%) [3-1],%TIC (%) [3-1],%TOC (%) [3-1],%CaCO3 (%) [3-1]
-3678.25,5628.25,490.5,6,22,CAL,3.5,32,2,18.5,15,1,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-8316.7,10266.7,960,12.21,CAL,5.84,24.9,2.57,0.26,1.42,2.18,0.09,473,259,4.13,0.63,3.5,5.25
-3722.11,5672.11,495.5,6.5,15.5,CAL,7,23.5,4,18,25.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-8483.3,10433.3,970,20.25,CAL,4.94,25.6,2.25,0.23,1.41,1.93,0.07,356,171,3.14,0.12,3.02,1
-3765.96,5715.96,500.5,6.9,26.7,CAL,4,22.8,1,16.8,21.8,0,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-8650,10600,980,16.41,CAL,5.29,25,2.37,0.25,1.46,2.06,0.07,405,197,3.42,0.23,3.19,1.92
-3809.82,5759.82,505.5,8.5,34.7,CAL,1.9,15.5,0.5,9.9,29.1,0,213,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-8816.7,10766.7,990,16.99,CAL,5.24,25.1,2.32,0.25,1.49,2.01,0.12,381,177,3.09,0.1,2.99,0.83
-3853.68,5803.68,510.5,5.4,29.1,CAL,3.9,26.1,1,11.8,22.7,0,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-8983.3,10933.3,1000,11.4,CAL,5.77,24.3,2.68,0.27,1.48,2.21,0.08,434,234,3.66,0.46,3.2,3.83
-3897.54,5847.54,515.5,7,37.5,CAL,2.5,26.5,3,16,7.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-9150,11100,1010,15.84,CAL,5.64,25.9,2.28,0.24,1.39,2.26,0.14,431,171,3,0.03,2.97,0.25
-3941.4,5891.4,520.5,6,18.4,CAL,5,20.9,11.4,20.9,17.4,0,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-9316.7,11266.7,1020,12.12,CAL,5.49,23.7,2.2,0.24,1.29,2.12,0.07,467,189,3.13,0.01,3.12,0.08
-3985.26,5935.26,525.5,7,17.5,CAL,1.5,47.5,3,13.5,10,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-9483.3,11433.3,1030,16.04,CAL,5.31,24.9,2.35,0.25,1.38,2.08,0.07,398,223,3.13,0.39,2.74,3.25
-4029.12,5979.12,530.5,4.5,75.5,CAL,0,4,0.5,2,13,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-9650,11600,1040,10.69,CAL,6.08,25,2.39,0.26,1.39,2.33,0.09,440,171,3.16,0.02,3.14,0.17
-4072.98,6022.98,535.5,4.5,13.5,CAL,5.5,17.5,13,14.5,31.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-9816.7,11766.7,1050,6.15,CAL,5.56,21.2,2.45,0.25,1.28,2.1,0.09,694,387,4.87,1.63,3.24,13.58
-4116.84,6066.84,540.5,2.5,48.8,CAL,4,16.4,2,12.4,13.4,0.5,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-9983.3,11933.3,1060,4.84,CAL,5.68,21,2.41,0.26,1.32,2.18,0.11,469,423,4.79,1.78,3.01,14.83
-4160.7,6110.7,545.5,8.8,8.3,CAL,2.2,35.5,3.5,24.6,14.9,2.2,228,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-10150,12100,1070,4.48,CAL,5.73,21,2.43,0.25,1.32,2.22,0.11,425,377,4.74,1.47,3.27,12.25
-4204.56,6154.56,550.5,5.2,27.8,CAL,11.3,12.9,16.9,11.7,14.1,0,248,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-10316.7,12266.7,1080,6.37,CAL,5.65,21.6,2.42,0.25,1.33,2.31,0.1,438,349,4.47,1.29,3.18,10.75
-4248.42,6198.42,555.5,6.5,22.6,CAL,10.1,14.5,26.2,8.9,11.3,0,248,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-10483.3,12433.3,1090,5.55,CAL,5.4,20.4,2.3,0.24,1.45,2.13,0.1,384,373,4.54,1.35,3.19,11.25
-4292.28,6242.28,560.5,9.2,24.8,CAL,12.8,17,0,22,13.8,0.5,218,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-10693.1,12643.1,1100,6.01,CAL,5.7,21.6,2.5,0.25,1.28,2.36,0.12,427,404,4.79,1.62,3.17,13.5
-4336.14,6286.14,565.5,7.8,31.8,CAL,5.5,19.4,0,15.2,20.3,0,217,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-10865.5,12815.5,1110,6.36,CAL,5.47,21,2.31,0.24,1.25,2.31,0.13,458,420,4.79,1.61,3.18,13.42
-4380,6330,570.5,3.2,62.9,CAL,3.6,11.3,0,10.5,8.5,0,248,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-10999.1,12949.1,1120,7.09,CAL,5.55,21.6,2.33,0.25,1.31,2.42,0.1,413,383,4.58,1.47,3.11,12.25
-4423.86,6373.86,575.5,8.1,30.3,CAL,10,18.1,1.8,19,12.7,0,221,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11088.4,13038.4,1130,25.26,CAL,4.7,27.1,1.9,0.2,1.26,2.23,0.08,335,188,3.26,0.23,3.03,1.92
-4467.72,6417.72,580.5,11.5,34,CAL,4,15,0.5,17,18,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11177.7,13127.7,1140,12.07,CAL,5.89,25,2.39,0.26,1.38,2.71,0.12,458,188,3.47,0.02,3.45,0.17
-4511.58,6461.58,585.5,14.5,27,CAL,3,27.5,0.5,18,9.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11267,13217,1150,20.68,CAL,4.88,25.6,1.98,0.22,1.26,2.2,0.25,350,168,2.68,0.03,2.65,0.25
-4555.44,6505.44,590.5,5,40.6,CAL,5.9,11.4,0,15.8,21.3,0,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11356.3,13306.3,1160,24.61,CAL,4.85,27.3,2.13,0.22,1.34,2.15,0.09,366,168,2.66,0.01,2.65,0.08
-4599.3,6549.3,595.5,11.3,20.7,CAL,3.4,26.1,0,24.6,13.8,0,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11445.5,13395.5,1170,21.41,CAL,4.93,26.1,2.04,0.22,1.34,2.18,0.1,365,167,3.56,0.01,3.55,0.08
-4643.16,6593.16,600.5,10,17.5,CAL,2,36.5,0,12,21,1,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11534.8,13484.8,1180,23.09,CAL,5,27.1,2.18,0.22,1.23,2.31,0.08,363,160,2.7,0.02,2.68,0.17
-4687.02,6637.02,605.5,3.2,20.7,CAL,2.3,25.7,2.3,32.4,11.7,1.8,222,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11624.1,13574.1,1190,21.99,CAL,4.91,26.3,1.84,0.21,1.22,2.25,0.1,352,153,2.67,0,2.67,0
-4730.88,6680.88,610.5,4.8,1.9,CAL,6.2,41.4,1,25.7,18.6,0.5,210,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11713.4,13663.4,1200,35.62,CAL,3.54,28,1.55,0.16,1.2,1.73,0.07,254,130,2.24,0,2.24,0
-4774.74,6724.74,615.5,3.6,32,CAL,1.8,36,1.3,16,9.3,0,225,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11802.7,13752.7,1210,22.67,CAL,5.18,27.5,1.95,0.24,1.24,2.01,0.1,395,159,2.57,0,2.57,0
-4818.6,6768.6,620.5,7.7,11.1,CAL,2.6,46.8,0.4,20,11.1,0.4,235,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11892,13842,1220,23.74,CAL,4.79,26.7,1.91,0.21,1.21,1.83,0.07,360,149,2.85,0,2.85,0
-4862.46,6812.46,625.5,4.3,31.2,CAL,2.6,27.3,0.4,24.7,9.5,0,231,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-11981.3,13931.3,1230,30.66,CAL,3.56,25.8,2.15,0.16,1.18,1.44,0.09,259,147,2.2,0.01,2.19,0.08
-4906.32,6856.32,630.5,7.4,43.6,CAL,5.9,13.9,0,9.9,19.3,0,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-12070.5,14020.5,1240,18.5,CAL,4.97,24.9,2.19,0.22,1.5,1.88,0.1,337,170,2.61,0,2.61,0
-4950.18,6900.18,635.5,3.9,3.4,CAL,1,46.8,0.5,29.8,14.6,0,205,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-12159.8,14109.8,1250,23.38,CAL,4.87,26.8,2.15,0.23,1.29,1.81,0.1,518,172,3.06,0.01,3.05,0.08
-4994.04,6944.04,640.5,1.5,87,CAL,0,3.5,0,3.5,4.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-12249.1,14199.1,1260,23.36,CAL,4.54,25.7,1.86,0.21,1.27,1.74,0.08,318,174,2.41,0,2.41,0
-5037.89,6987.89,645.5,7.5,6.2,CAL,1.8,43.8,0.9,23.5,14.2,2.2,226,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-12338.4,14288.4,1270,18.3,CAL,5.24,25.7,2.07,0.23,1.26,2.01,0.08,430,180,3.38,0.02,3.36,0.17
-5081.75,7031.75,650.5,3.5,35,CAL,3,21,10.5,15,11.5,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-12427.7,14377.7,1280,26.56,CAL,4.4,26.7,1.97,0.2,1.22,1.76,0.11,360,182,2.75,0.22,2.53,1.83
-5125.61,7075.61,655.5,2.8,5.6,CAL,3.2,42.9,7.5,28.2,9.1,0.8,252,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-12517,14467,1290,21.19,CAL,4.93,26,2.04,0.22,1.28,1.89,0.06,370,204,3.01,0.38,2.63,3.17
-5169.47,7119.47,660.5,2.7,7.2,CAL,1.8,39.9,0.9,18.4,28.7,0.4,223,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-12606.3,14556.3,1300,29.37,CAL,3.83,26.1,1.71,0.17,1.12,1.54,0.07,286,250,3.24,0.76,2.48,6.33
-5213.33,7163.33,665.5,4.7,15.5,CAL,4.7,26.2,0.9,27.5,20.6,0,233,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-12695.5,14645.5,1310,2.95,CAL,5.73,20.3,2.53,0.27,1.36,2.21,0.09,416,428,4.92,1.81,3.11,15.08
-5257.19,7207.19,670.5,2.7,14.2,CAL,4.4,32.3,0.4,24.3,21.2,0.4,226,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-12784.8,14734.8,1320,2.67,CAL,6.01,21.1,2.57,0.28,1.32,2.31,0.09,523,397,4.12,1.42,2.7,11.83
-5301.05,7251.05,675.5,8.7,20.6,CAL,7.3,23.4,0,23.4,15.6,0.9,218,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-12972.3,14922.3,1341,9.24,CAL,4.86,20.3,2.12,0.21,1.25,1.92,0.11,408,415,5.06,1.73,3.33,14.42
-5344.91,7294.91,680.5,2,57.6,CAL,5.3,16.3,0,6.5,12.2,0,245,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-13061.6,15011.6,1351,3.44,CAL,5.39,19.4,2.57,0.26,1.34,2.11,0.29,508,498,5.65,1.99,3.66,16.58
-5388.77,7338.77,685.5,2.1,52.6,CAL,3.8,17.9,0,15.8,7.3,0.4,234,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-13150.9,15100.9,1361,7.92,CAL,5.95,23.3,2.97,0.31,1.34,2.27,0.14,584,296,3.68,0.57,3.11,4.75
-5432.63,7382.63,690.5,7.5,38,CAL,5,16,0,29,4,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-13240.2,15190.2,1371,8.28,CAL,5.96,23.5,2.92,0.31,1.39,2.33,0.36,514,289,3.7,0.65,3.05,5.42
-5476.49,7426.49,695.5,10,18,CAL,5,27,0.5,31.5,8,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5520.35,7470.35,700.5,2.9,46.8,CAL,3.9,18,1,22.4,3.9,1,205,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5564.21,7514.21,705.5,6.5,10.2,CAL,4.1,42.3,0,22,15,0,246,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5608.07,7558.07,710.5,7.1,17.5,CAL,3.3,34.2,0.4,23.8,13.8,0,240,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5651.93,7601.93,715.5,10.4,37.3,CAL,4.5,18.4,0,17.4,7,5,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5695.79,7645.79,720.5,5,21.3,CAL,7,32.2,0,20.5,13.6,0.4,258,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5739.65,7689.65,725.5,3,15,CAL,4.5,42.5,0,24,11,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5783.51,7733.51,730.5,3.3,70.5,CAL,1.8,11.8,0,8.3,4.3,0.3,400,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5827.37,7777.37,735.5,2.7,14.7,CAL,3.6,33.5,0,28.6,15.6,1.3,224,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5871.23,7821.23,740.5,8,16.5,CAL,3,32.5,1,22.5,16,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5915.09,7865.09,745.5,1.5,49.5,CAL,7.4,17.8,0,9.9,13.9,0,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5958.95,7908.95,750.5,4,36.1,CAL,2.5,29.2,2.5,16.8,8.9,0,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6002.81,7952.81,755.5,4.7,8.5,CAL,12.3,30.8,0,27,16.1,0.5,211,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6046.67,7996.67,760.5,5.4,20.7,CAL,11.3,29.1,0,13.8,19.7,0,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6090.53,8040.53,765.5,4.4,72.4,CAL,1,9.9,0,2.5,9.4,0.5,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6134.39,8084.39,770.5,7.4,13.3,CAL,12.8,25.6,0.5,15.8,21.7,3,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6178.25,8128.25,775.5,4.7,3.8,CAL,6.4,34.2,0.9,20.1,29.9,0,234,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6222.11,8172.11,780.5,4.9,30.7,CAL,5.4,16.6,1.5,15.1,25.4,0.5,205,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6265.96,8215.96,785.5,6.5,21.9,CAL,16.4,19.9,0.5,21.4,12.4,1,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6309.82,8259.82,790.5,5.5,22.9,CAL,6,34.3,0,23.4,5,3,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6353.68,8303.68,795.5,6.5,27.5,CAL,8.5,28,1,19,7.5,2,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6397.54,8347.54,800.5,5,48.5,CAL,8,12.5,0.5,17.5,8,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6441.4,8391.4,805.5,6.4,25.7,CAL,5,31.7,1,19.8,9.4,1,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6485.26,8435.26,810.5,3.4,14.5,CAL,6.3,39.6,0,17.9,17.4,1,207,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6529.12,8479.12,815.5,4.3,46.4,CAL,3.8,20.4,0.5,18,6.6,0,211,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6572.98,8522.98,820.5,10.7,11.2,CAL,8.8,37.1,2,22,8.3,0,205,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6616.84,8566.84,825.5,1.7,11.9,CAL,6.4,28.4,0.8,25,25.4,0.4,236,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6660.7,8610.7,830.5,4,47.5,CAL,2,27.2,0,17.8,1.5,0,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6704.56,8654.56,835.5,10.5,6.2,CAL,1.9,29.5,0,41,10.5,0.5,210,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6748.42,8698.42,840.5,2.9,23.4,CAL,5.4,39,0,25.9,3.4,0,205,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6792.28,8742.28,845.5,5,6.5,CAL,36.8,23.4,0.5,26.4,1.5,0,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6836.14,8786.14,850.5,5,33,CAL,2,27,0,21.5,10.5,1,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6880,8830,855.5,2,26.5,CAL,2,48.5,0,14.2,6.9,0,204,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6923.86,8873.86,860.5,3.2,7.7,CAL,3.6,49.1,0,28.2,7.7,0.5,220,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6967.72,8917.72,865.5,1.5,22.8,CAL,1.5,42.7,0,8.7,22.8,0,206,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7011.58,8961.58,870.5,7.5,5,CAL,3,49.3,0.5,25.4,9.5,0,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8150,10100,950.5,7.5,24.5,CAL,3,43.5,0,11.5,10,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8233.33,10183.33,955.5,5,44.5,CAL,1,33,0,12,4.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8316.67,10266.67,960.5,9,10,CAL,3,52.7,1.5,18.4,1.5,4,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8400,10350,965.5,5.4,26.2,CAL,5.9,32.2,1,20.3,8.9,0,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8483.33,10433.33,970.5,10.9,5,CAL,2,45.5,0.5,28.2,5.9,2,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8566.67,10516.67,975.5,13.3,12.8,CAL,10.3,29.1,0,19.7,14.3,0.5,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8650,10600,980.5,15,16,CAL,1.5,39.5,0.5,24.5,3,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8733.33,10683.33,985.5,11.5,4,CAL,2,49.5,11.5,21,0.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8816.67,10766.67,990.5,6.5,6.5,CAL,1,49.8,15.9,14.4,6,0,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8900,10850,995.5,7.4,1.5,CAL,2.5,46,10.4,26.7,4,1.5,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8983.33,10933.33,1000.5,4,2,CAL,3,40.3,23.4,27.4,0,0,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
