depth (cm) [1-1],age (yr BP) [1-1],BSI (percent) [1-1],depth (cm) [1-2],age (yr BP) [1-2],LOI (percent) [1-2],depth (cm) [1-3],age (yr BP) [1-3],quartz (percent) [1-3],feldspar (percent) [1-3],pyrite (percent) [1-3]
504,9653.6,35.4,NA,NA,NA,NA,NA,NA,NA,NA
505,9659.7,33.1,NA,NA,NA,NA,NA,NA,NA,NA
506,9665.8,34.2,NA,NA,NA,NA,NA,NA,NA,NA
508,9677.8,36.4,NA,NA,NA,NA,NA,NA,NA,NA
510,9689.7,35.5,NA,NA,NA,NA,NA,NA,NA,NA
512,9701.5,38.2,NA,NA,NA,NA,NA,NA,NA,NA
514,9713.1,38.6,NA,NA,NA,NA,NA,NA,NA,NA
515,9718.9,33.7,NA,NA,NA,NA,NA,NA,NA,NA
516,9724.6,31.2,NA,NA,NA,NA,NA,NA,NA,NA
517,9730.4,27.8,NA,NA,NA,NA,NA,NA,NA,NA
518,9736.1,35.9,NA,NA,NA,NA,NA,NA,NA,NA
520,9747.4,32.8,NA,NA,NA,NA,NA,NA,NA,NA
521,9753,33.4,NA,NA,NA,NA,NA,NA,NA,NA
522,9758.6,32.3,NA,NA,NA,NA,NA,NA,NA,NA
524,9769.7,37.2,NA,NA,NA,NA,NA,NA,NA,NA
525,9775.2,26.7,NA,NA,NA,NA,NA,NA,NA,NA
526,9780.8,29,NA,NA,NA,NA,NA,NA,NA,NA
527,9786.3,30.7,NA,NA,NA,NA,NA,NA,NA,NA
528,9791.8,35,NA,NA,NA,NA,NA,NA,NA,NA
530,9802.7,30.5,NA,NA,NA,NA,NA,NA,NA,NA
531,9808.2,28.1,NA,NA,NA,NA,NA,NA,NA,NA
532,9813.6,34.1,NA,NA,NA,NA,NA,NA,NA,NA
534,9824.5,36.1,NA,NA,NA,NA,NA,NA,NA,NA
535,9829.9,32.8,NA,NA,NA,NA,NA,NA,NA,NA
536,9835.3,37.4,NA,NA,NA,NA,NA,NA,NA,NA
538,9846.1,33.8,NA,NA,NA,NA,NA,NA,NA,NA
538,9846.1,38.5,NA,NA,NA,NA,NA,NA,NA,NA
540,9856.9,41.8,NA,NA,NA,NA,NA,NA,NA,NA
541,9862.3,43.9,NA,NA,NA,NA,NA,NA,NA,NA
542,9867.7,41.4,NA,NA,NA,NA,NA,NA,NA,NA
544,9878.5,31.8,NA,NA,NA,NA,NA,NA,NA,NA
545,9883.9,26.8,NA,NA,NA,NA,NA,NA,NA,NA
546,9889.3,33.5,NA,NA,NA,NA,NA,NA,NA,NA
548,9900.2,36,NA,NA,NA,NA,NA,NA,NA,NA
550,9911,31.9,NA,NA,NA,NA,NA,NA,NA,NA
552,9922,35.9,NA,NA,NA,NA,NA,NA,NA,NA
554,9932.9,39.9,NA,NA,NA,NA,NA,NA,NA,NA
555,9938.5,35.7,NA,NA,NA,NA,NA,NA,NA,NA
556,9944,39.5,NA,NA,NA,NA,NA,NA,NA,NA
557,9949.5,42.8,NA,NA,NA,NA,NA,NA,NA,NA
558,9955.1,41,NA,NA,NA,NA,NA,NA,NA,NA
560,9966.3,45.9,NA,NA,NA,NA,NA,NA,NA,NA
562,9977.6,43.2,NA,NA,NA,NA,NA,NA,NA,NA
564,9988.9,43.6,NA,NA,NA,NA,NA,NA,NA,NA
565,9994.7,37.3,NA,NA,NA,NA,NA,NA,NA,NA
566,10000.4,46.7,NA,NA,NA,NA,NA,NA,NA,NA
568,10012,48.4,NA,NA,NA,NA,NA,NA,NA,NA
570,10023.7,48.6,NA,NA,NA,NA,NA,NA,NA,NA
572,10035.6,48.1,NA,NA,NA,NA,NA,NA,NA,NA
574,10047.6,48.4,NA,NA,NA,NA,NA,NA,NA,NA
575,10053.7,39.4,NA,NA,NA,NA,NA,NA,NA,NA
576,10059.8,40,NA,NA,NA,NA,NA,NA,NA,NA
578,10072.1,45.8,NA,NA,NA,NA,NA,NA,NA,NA
580,10084.5,49.1,NA,NA,NA,NA,NA,NA,NA,NA
582,10097.2,44.8,NA,NA,NA,NA,NA,NA,NA,NA
584,10110.1,44.5,NA,NA,NA,NA,NA,NA,NA,NA
585,10116.6,42.2,NA,NA,NA,NA,NA,NA,NA,NA
586,10123.1,47.9,NA,NA,NA,NA,NA,NA,NA,NA
588,10136.3,49.8,NA,NA,NA,NA,NA,NA,NA,NA
590,10149.8,39.9,NA,NA,NA,NA,NA,NA,NA,NA
592,10163.5,44.1,NA,NA,NA,NA,NA,NA,NA,NA
593,10170.4,40.7,NA,NA,NA,NA,NA,NA,NA,NA
594,10177.4,50.4,NA,NA,NA,NA,NA,NA,NA,NA
595,10184.5,44.8,NA,NA,NA,NA,NA,NA,NA,NA
596,10191.6,47.2,NA,NA,NA,NA,NA,NA,NA,NA
598,10206,46.6,NA,NA,NA,NA,NA,NA,NA,NA
600,10220.7,45.6,NA,NA,NA,NA,NA,NA,NA,NA
602,10235.5,50.3,NA,NA,NA,NA,NA,NA,NA,NA
604,10250.7,43.4,NA,NA,NA,NA,NA,NA,NA,NA
605,10258.3,41.3,NA,NA,NA,NA,NA,NA,NA,NA
606,10266,41,NA,NA,NA,NA,NA,NA,NA,NA
608,10281.5,34.9,NA,NA,NA,NA,NA,NA,NA,NA
609,10289.3,35.5,NA,NA,NA,NA,NA,NA,NA,NA
611,10305.2,42.4,NA,NA,NA,NA,NA,NA,NA,NA
612,10313.2,33.9,NA,NA,NA,NA,NA,NA,NA,NA
613,10321.2,28.1,NA,NA,NA,NA,NA,NA,NA,NA
614,10329.3,34.1,NA,NA,NA,NA,NA,NA,NA,NA
615,10337.4,33.7,NA,NA,NA,NA,NA,NA,NA,NA
616,10345.6,34.6,NA,NA,NA,NA,NA,NA,NA,NA
618,10362.1,38.2,NA,NA,NA,NA,NA,NA,NA,NA
620,10378.7,39.5,NA,NA,NA,NA,NA,NA,NA,NA
622,10395.6,32.1,NA,NA,NA,NA,NA,NA,NA,NA
624,10412.5,17.9,NA,NA,NA,NA,NA,NA,NA,NA
625,10421.1,31.3,NA,NA,NA,NA,NA,NA,NA,NA
626,10429.7,29.4,NA,NA,NA,NA,NA,NA,NA,NA
628,10446.9,17.7,NA,NA,NA,NA,NA,NA,NA,NA
629,10455.6,13.4,NA,NA,NA,NA,NA,NA,NA,NA
630,10464.3,13.2,NA,NA,NA,NA,NA,NA,NA,NA
632,10481.9,13.6,NA,NA,NA,NA,NA,NA,NA,NA
633,10490.7,13.2,NA,NA,NA,NA,NA,NA,NA,NA
634,10499.6,13.2,NA,NA,NA,NA,NA,NA,NA,NA
635,10508.4,12.8,NA,NA,NA,NA,NA,NA,NA,NA
636,10517.4,14,NA,NA,NA,NA,NA,NA,NA,NA
637,10526.3,22.9,NA,NA,NA,NA,NA,NA,NA,NA
638,10535.3,20.1,NA,NA,NA,NA,NA,NA,NA,NA
640,10553.3,12,NA,NA,NA,NA,NA,NA,NA,NA
642,10571.4,8,NA,NA,NA,NA,NA,NA,NA,NA
644,10589.6,6.3,NA,NA,NA,NA,NA,NA,NA,NA
645,10598.7,4.2,NA,NA,NA,NA,NA,NA,NA,NA
646,10607.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA
649,10635.5,5.4,NA,NA,NA,NA,NA,NA,NA,NA
650,10644.7,10.6,NA,NA,NA,NA,NA,NA,NA,NA
654,10681.9,6.4,NA,NA,NA,NA,NA,NA,NA,NA
655,10691.2,4.6,NA,NA,NA,NA,NA,NA,NA,NA
656,10700.5,3,NA,NA,NA,NA,NA,NA,NA,NA
658,10719.2,2.4,NA,NA,NA,NA,NA,NA,NA,NA
664,10775.6,4.5,NA,NA,NA,NA,NA,NA,NA,NA
671,10841.6,8.4,NA,NA,NA,NA,NA,NA,NA,NA
675,10877.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA
