year (AD),age (BP),d18OG_bul (permil),d18ON_pac (permil),cor_depth_cm (cm),x14Cage (yr BP)
-8119,10069,0.416,1.195,715,9800
-8122,10072,0.464,0.943,716,9799
-8124,10074,0.46,1.26,717,9798
-8127,10077,0.387,1.065,718,9797
-8129,10079,0.527,0.985,719,9796
-8132,10082,0.48,1.086,720,9795
-8134,10084,0.386,1.094,721,9794
-8137,10087,0.067,1.12,722,9793
-8139,10089,0.301,1.02,723,9792
-8142,10092,0.276,0.828,724,9791
-8145,10095,0.208,1.225,725,9790
-8147,10097,0.67,1.255,726,9789
-8150,10100,0.719,1.104,727,9788
-8152,10102,0.479,1.119,728,9787
-8155,10105,0.354,1.364,729,9786
-8157,10107,0.236,0.948,730,9785
-8160,10110,0.194,1.028,731,9784
-8163,10113,0.245,0.948,732,9783
-8165,10115,0.234,1.194,733,9782
-8168,10118,0.222,0.892,734,9781
-8170,10120,0.296,1.19,735,9780
-8173,10123,0.182,1.074,736,9779
-8175,10125,0.431,1.091,737,9778
-8178,10128,0.206,0.954,738,9777
-8180,10130,0.379,0.942,739,9776
-8183,10133,-0.142,1.042,740,9775
-8186,10136,0.55,1.022,741,9774
-8188,10138,0.584,1.41,742,9773
-8191,10141,0.554,1.076,743,9772
-8193,10143,0.588,1.168,744,9771
-8196,10146,0.467,0.864,745,9770
-8198,10148,0.278,1.065,746,9769
-8201,10151,0.321,1.096,747,9768
-8203,10153,0.018,1.071,748,9767
-8206,10156,0.306,0.975,749,9766
-8209,10159,0.085,0.879,750,9765
-8211,10161,0.087,0.851,751,9764
-8214,10164,0.409,1.179,752,9763
-8216,10166,0.192,1.109,753,9762
-8219,10169,0.026,1.084,754,9761
-8221,10171,0.269,1.145,755,9760
-8224,10174,0.524,1.119,756,9759
-8227,10177,0.269,1.181,757,9758
-8229,10179,0.372,1.283,758,9757
-8232,10182,0.325,1.275,759,9756
-8234,10184,0.21,1.092,760,9755
-8237,10187,0.156,1.077,761,9754
-8239,10189,0.296,1.136,762,9753
-8242,10192,0.286,1.072,763,9752
-8244,10194,0.592,1,764,9751
-8247,10197,0.226,1,765,9750
-8250,10200,0.372,1.286,766,9749
-8252,10202,-0.068,0.969,767,9748
-8255,10205,0.263,0.874,768,9748
-8257,10207,0.394,0.935,769,9747
-8260,10210,0.018,0.911,770,9746
-8262,10212,0.288,1.084,771,9745
-8265,10215,0.405,0.997,772,9744
-8268,10218,0.455,0.993,773,9744
-8270,10220,0.425,1.037,774,9743
-8273,10223,0.275,0.886,775,9742
-8275,10225,0.124,1.103,776,9741
-8278,10228,-0.03,0.963,777,9740
-8281,10231,0.49,0.864,778,9740
-8283,10233,0.523,0.816,779,9739
-8286,10236,-0.03,1.014,780,9738
-8288,10238,0.359,0.944,781,9737
-8291,10241,0.274,1.073,782,9736
-8293,10243,0.262,1.292,783,9736
-8296,10246,0.496,1.166,784,9735
-8299,10249,0.237,1.028,785,9734
-8301,10251,-0.053,1.182,786,9733
-8304,10254,0.352,0.898,787,9732
-8306,10256,0.113,0.979,788,9732
-8309,10259,0.332,1.007,789,9731
-8314,10264,0.4,1.108,791,9729
-8317,10267,0.292,1.092,792,9728
-8319,10269,-0.02,1.23,793,9728
-8322,10272,0.436,0.895,794,9727
-8324,10274,0.153,0.897,795,9726
-8327,10277,0.278,1.097,796,9725
-8330,10280,0.23,1.035,797,9724
-8332,10282,0.527,1.136,798,9724
-8335,10285,0.242,0.305,799,9723
-8337,10287,0.106,1.03,800,9722
-8340,10290,0.184,1.199,801,9721
-8342,10292,0.159,1.109,802,9720
-8345,10295,0.164,0.956,803,9720
-8348,10298,0.201,1.074,804,9719
-8350,10300,0.138,0.977,805,9718
-8353,10303,0.383,1.077,806,9717
-8355,10305,0.306,0.871,807,9716
-8358,10308,0.187,1.148,808,9716
-8361,10311,0.338,1.047,809,9715
-8363,10313,0.309,0.949,810,9714
-8366,10316,0.289,0.771,811,9713
-8368,10318,0.07,0.843,812,9712
-8371,10321,0.432,0.971,813,9712
-8373,10323,0.059,0.78,814,9711
-8376,10326,0.185,0.49,815,9710
-8379,10329,0.252,0.903,816,9710
-8381,10331,0.425,0.942,817,9710
-8384,10334,0.148,0.895,818,9710
-8386,10336,0.331,1.177,819,9710
-8389,10339,0.224,1.043,820,9710
-8391,10341,0.417,0.991,821,9710
-8394,10344,0.261,0.887,822,9710
-8396,10346,-0.059,0.915,823,9710
-8399,10349,0.114,0.975,824,9710
-8402,10352,0.376,0.817,825,9710
-8404,10354,0.609,1.119,826,9710
-8407,10357,0.026,0.813,827,9710
-8409,10359,0.51,0.848,828,9710
-8412,10362,-0.098,1.043,829,9710
-8414,10364,-0.04,1.096,830,9710
-8417,10367,0.143,1.066,831,9710
-8420,10370,-0.22,1.176,832,9710
-8422,10372,0.39,1.076,833,9710
-8425,10375,0.243,0.974,834,9710
-8427,10377,0.038,0.969,835,9710
-8430,10380,-0.034,1.098,836,9710
-8432,10382,-0.082,1.006,837,9710
-8435,10385,-0.276,1.038,838,9710
-8437,10387,0.001,1.1,839,9710
-8440,10390,0.201,0.867,840,9710
-8443,10393,0.324,0.891,841,9710
-8445,10395,0.213,0.807,842,9710
-8448,10398,-0.12,1.017,843,9710
-8450,10400,0.363,0.925,844,9710
-8453,10403,0.31,1.067,845,9710
-8455,10405,0.16,0.784,846,9710
-8458,10408,0.238,1.103,847,9710
-8460,10410,0.423,0.93,848,9710
-8463,10413,0.216,0.946,849,9710
-8466,10416,0.165,1.12,850,9710
-8468,10418,0.214,1.01,851,9710
-8471,10421,0.302,1.018,852,9710
-8473,10423,-0.411,0.926,853,9710
-8476,10426,0.231,1.095,854,9710
-8478,10428,0.48,1.012,855,9710
-8481,10431,0.132,0.76,856,9710
-8484,10434,-0.032,0.875,857,9710
-8486,10436,-0.181,0.923,858,9710
-8489,10439,-0.041,0.714,859,9710
-8491,10441,-0.042,0.921,860,9710
-8494,10444,0.01,0.626,861,9710
-8496,10446,0.096,1.039,862,9710
-8499,10449,0.349,0.711,863,9710
-8501,10451,-0.052,0.711,864,9710
-8504,10454,0.159,0.878,865,9710
-8507,10457,0.414,0.79,866,9713
-8509,10459,0.355,0.73,867,9715
-8512,10462,0.402,0.833,868,9718
-8514,10464,0.351,1.068,869,9720
-8517,10467,0.018,1.039,870,9723
-8520,10470,0.082,1.026,871,9725
-8522,10472,0.508,0.995,872,9728
-8525,10475,0.382,1.041,873,9730
-8527,10477,-0.059,0.9,874,9733
-8530,10480,0.276,1.202,875,9735
-8533,10483,0.156,0.862,876,9738
-8535,10485,0.283,0.914,877,9740
-8538,10488,0.222,0.935,878,9743
-8540,10490,0.101,1.092,879,9745
-8543,10493,0.452,1.155,880,9748
-8546,10496,0.228,0.933,881,9750
-8548,10498,0.355,0.882,882,9753
-8551,10501,0.34,0.93,883,9755
-8553,10503,0.394,0.866,884,9758
-8556,10506,0.467,1.15,885,9760
-8559,10509,0.388,1.079,886,9767
-8561,10511,0.442,1.17,887,9774
-8564,10514,0.236,1.316,888,9781
-8566,10516,0.165,1.054,889,9788
-8571,10521,0.21,0.871,891,9802
-8574,10524,0.217,-9999,892,9809
-8592,10542,0.075,0.998,899,9858
-8595,10545,0.103,0.841,900,9865
-8597,10547,0.571,0.845,901,9872
-8600,10550,0.204,0.97,902,9879
-8602,10552,0.195,0.751,903,9886
-8605,10555,0.059,0.783,904,9893
-8607,10557,0.222,1.13,905,9900
-8610,10560,-0.04,0.847,906,9907
-8612,10562,-0.095,0.654,907,9914
-8615,10565,0.547,0.892,908,9921
-8618,10568,0.021,1.061,909,9928
-8620,10570,0.25,1.02,910,9935
-8623,10573,0.517,1.023,911,9942
-8625,10575,0.096,0.978,912,9949
-8628,10578,0.237,0.816,913,9956
-8630,10580,-0.097,0.942,914,9963
-8633,10583,0.012,1.058,915,9970
-8636,10586,0.168,1.102,916,9969
-8638,10588,0.125,1.054,917,9968
-8641,10591,0.084,0.804,918,9967
-8643,10593,0.198,0.938,919,9966
-8646,10596,0.191,0.875,920,9965
-8648,10598,0.041,0.611,921,9964
-8651,10601,0.172,0.881,922,9963
-8654,10604,0.202,0.89,923,9962
-8656,10606,0.478,0.859,924,9961
-8659,10609,0.195,1.137,925,9960
-8661,10611,0.228,1.015,926,9959
-8664,10614,0.218,0.9,927,9958
-8666,10616,0.275,0.935,928,9957
-8669,10619,0.354,0.815,929,9956
-8672,10622,0.273,0.966,930,9955
-8674,10624,0.14,-9999,931,9954
-8677,10627,0.022,0.773,932,9953
-8679,10629,0.525,1.112,933,9952
-8682,10632,0.239,0.726,934,9951
-8684,10634,0.149,0.894,935,9950
-8687,10637,0.631,0.925,936,9949
-8690,10640,0.385,1.121,937,9948
-8692,10642,0.308,0.715,938,9947
-8695,10645,0.317,0.831,939,9946
-8697,10647,0.039,0.956,940,9944
-8700,10650,0.244,1.288,941,9943
-8702,10652,0.284,1.175,942,9942
-8705,10655,0.365,1.064,943,9941
-8708,10658,0.7,1.182,944,9940
-8710,10660,-9999,0.992,945,9939
-8713,10663,0.559,-9999,946,9938
-8759,10709,0.079,0.982,964,9920
-8762,10712,-0.05,0.963,965,9926
-8764,10714,0.48,0.743,966,9931
-8767,10717,0.538,1.229,967,9937
-8769,10719,0.491,0.86,968,9943
-8772,10722,0.537,1.156,969,9949
-8774,10724,0.025,1.007,970,9954
-8777,10727,0.628,1.041,971,9960
-8779,10729,0.501,0.941,972,9966
-8782,10732,0.552,1.128,973,9971
-8784,10734,0.557,0.848,974,9977
-8787,10737,-0.128,0.911,975,9983
-8789,10739,0.165,0.906,976,9989
-8792,10742,0.208,1.212,977,9994
-8799,10749,0.189,0.826,980,10011
-8802,10752,0.372,1.033,981,10017
-8804,10754,0.378,1.017,982,10023
-8807,10757,0.429,0.848,983,10029
-8809,10759,0.583,1.016,984,10034
-8812,10762,0.486,1.312,985,10040
-8815,10765,0.59,1.083,986,10045
-8817,10767,0.546,0.973,987,10049
-8820,10770,0.647,1.081,988,10054
-8822,10772,0.862,1.274,989,10059
-8825,10775,0.301,1.303,990,10063
-8828,10778,0.668,0.966,991,10068
-8830,10780,0.482,1.407,992,10073
-8833,10783,0.664,1.307,993,10077
-8835,10785,0.509,1.154,994,10082
-8838,10788,0.538,1.082,995,10087
-8841,10791,0.476,1.026,996,10091
-8843,10793,0.318,1.274,997,10096
-8846,10796,0.072,0.911,998,10101
-8848,10798,0.393,1,999,10105
-8851,10801,0.617,1.307,1000,10110
-8854,10804,0.52,0.933,1001,10115
-8856,10806,0.292,1.044,1002,10119
-8859,10809,0.372,1.079,1003,10124
-8861,10811,0.476,0.897,1004,10129
-8864,10814,0.405,1.119,1005,10133
-8867,10817,0.536,1.278,1006,10138
-8869,10819,0.46,0.954,1007,10143
-8872,10822,0.34,1.097,1008,10147
-8874,10824,0.211,1.045,1009,10152
-8877,10827,0.314,1.061,1010,10157
-8880,10830,0.411,1.045,1011,10161
-8882,10832,0.648,0.883,1012,10166
-8885,10835,0.466,0.885,1013,10171
-8887,10837,0.714,1.055,1014,10175
-8890,10840,0.434,1.215,1015,10180
-8893,10843,0.46,0.779,1016,10184
-8895,10845,0.61,1.159,1017,10188
-8898,10848,0.811,1,1018,10193
-8900,10850,0.823,0.877,1019,10197
-8903,10853,0.218,1.142,1020,10201
-8905,10855,0.425,1.072,1021,10205
-8908,10858,0.395,1.023,1022,10209
-8910,10860,0.666,1.019,1023,10214
-8913,10863,0.414,1.121,1024,10218
-8916,10866,0.508,0.995,1025,10222
-8918,10868,0.974,0.961,1026,10226
-8921,10871,0.434,0.923,1027,10230
-8923,10873,0.507,1.255,1028,10235
-8926,10876,0.465,1.014,1029,10239
-8928,10878,0.073,1.102,1030,10243
-8931,10881,0.73,1.047,1031,10247
-8934,10884,0.686,1.145,1032,10251
-8936,10886,0.414,0.897,1033,10256
-8939,10889,0.442,1.005,1034,10260
-8941,10891,0.365,1.508,1035,10264
-8944,10894,0.612,1.247,1036,10268
-8946,10896,0.588,0.94,1037,10272
-8949,10899,0.845,0.833,1038,10277
-8951,10901,0.276,0.835,1039,10281
-8954,10904,0.318,1.021,1040,10285
-8957,10907,0.912,1.048,1041,10289
-8959,10909,0.565,1.016,1042,10293
-8962,10912,0.546,0.927,1043,10298
-8964,10914,0.663,1.227,1044,10302
-8967,10917,0.939,1.4,1045,10306
-8969,10919,0.778,1.266,1046,10310
-8972,10922,0.737,1.024,1047,10314
-8974,10924,0.722,1.062,1048,10319
-8977,10927,0.602,1.037,1049,10323
-8980,10930,0.552,1.277,1050,10327
-8982,10932,0.361,1.168,1051,10331
-8985,10935,0.793,1.018,1052,10335
-8987,10937,0.531,1.279,1053,10340
-8990,10940,0.456,1.134,1054,10344
-8992,10942,0.333,1.227,1055,10348
-8995,10945,0.081,1.283,1056,10352
-8998,10948,0.561,1.208,1057,10356
-9003,10953,0.521,1.293,1059,10365
-9005,10955,0.654,1.541,1060,10369
-9008,10958,0.324,1.263,1061,10373
-9010,10960,0.687,1.561,1062,10377
-9013,10963,0.458,1.387,1063,10382
-9015,10965,0.385,1.582,1064,10386
-9018,10968,0.526,1.581,1065,10390
