year (AD),age (yr BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
-12350,14300,206.696784922395,154.5,258.893569844789
-12400,14350,210.598577235772,158.923641906874,262.273512564671
-12450,14400,211.042036215817,158.923641906874,263.16043052476
-12500,14450,211.485495195861,158.923641906874,264.047348484848
-12550,14500,208.470620842572,154.5,262.441241685144
-12600,14550,212.37241315595,159.071461566888,265.673364745011
-12650,14600,216.274205469327,163.67987804878,268.868532889874
-12700,14650,220.175997782705,168.325249445676,272.026746119734
-12750,14700,217.161123429416,163.753787878788,270.568458980044
-12800,14750,217.60458240946,163.864652623799,271.344512195122
-12850,14800,226.693874722838,175.866107723577,277.521641722099
-12900,14850,227.137333702883,175.866107723577,278.408559682188
-12950,14900,224.122459349593,171.146826496674,277.098092202513
-13000,14950,212.461751662971,154.5,270.423503325942
-13050,15000,212.905210643016,154.5,271.310421286031
-13100,15050,213.34866962306,154.5,272.19733924612
-13150,15100,213.792128603104,154.5,273.084257206208
-13200,15150,214.235587583149,154.5,273.971175166297
-13250,15200,214.679046563193,154.5,274.858093126386
-13300,15250,215.122505543237,154.5,275.745011086475
-13350,15300,215.565964523282,154.5,276.631929046563
-13400,15350,216.009423503326,154.5,277.518847006652
-13450,15400,216.45288248337,154.5,278.405764966741
-13500,15450,216.896341463415,154.5,279.292682926829
-13550,15500,217.339800443459,154.5,280.179600886918
-13600,15550,217.783259423503,154.5,281.066518847007
-13650,15600,218.226718403548,154.5,281.953436807095
-13700,15650,218.670177383592,154.5,282.840354767184
-13750,15700,219.113636363636,154.5,283.727272727273
-13800,15750,219.557095343681,154.5,284.614190687361
-13850,15800,220.000554323725,154.5,285.50110864745
-13900,15850,220.444013303769,154.5,286.388026607539
-13950,15900,220.887472283814,154.5,287.274944567627
-14000,15950,221.330931263858,154.5,288.161862527716
-14050,16000,221.774390243902,154.5,289.048780487805
-14100,16050,222.217849223947,154.5,289.935698447894
-14150,16100,222.661308203991,154.5,290.822616407982
-14200,16150,223.104767184035,154.5,291.709534368071
-14250,16200,223.54822616408,154.5,292.59645232816
-14300,16250,223.991685144124,154.5,293.483370288248
-14350,16300,224.435144124169,154.5,294.370288248337
-14400,16350,224.878603104213,154.5,295.257206208426
-14450,16400,225.322062084257,154.5,296.144124168514
-14500,16450,225.765521064302,154.5,297.031042128603
-14550,16500,226.208980044346,154.5,297.917960088692
-14600,16550,226.65243902439,154.5,298.80487804878
-14650,16600,227.09589800443501,154.5,299.691796008869
-14700,16650,227.539356984479,154.5,300.578713968958
-14750,16700,227.982815964523,154.5,301.465631929047
-14800,16750,228.426274944568,154.5,302.352549889135
-14850,16800,228.869733924612,154.5,303.239467849224
-14900,16850,229.313192904656,154.5,304.126385809313
-14950,16900,229.756651884701,154.5,305.013303769401
-15000,16950,230.200110864745,154.5,305.90022172949
-15050,17000,230.643569844789,154.5,306.787139689579
-15100,17050,231.087028824834,154.5,307.674057649667
-15150,17100,231.530487804878,154.5,308.560975609756
-15200,17150,231.973946784922,154.5,309.447893569845
-15250,17200,232.417405764967,154.5,310.334811529933
-15300,17250,232.860864745011,154.5,311.221729490022
-15350,17300,233.304323725055,154.5,312.108647450111
-15400,17350,233.7477827051,154.5,312.9955654102
-15450,17400,234.191241685144,154.5,313.882483370288
-15500,17450,234.634700665188,154.5,314.769401330377
-15550,17500,238.536492978566,161.251801552106,315.821184405026
-15600,17550,238.979951958611,161.251801552106,316.708102365115
-15650,17600,239.423410938655,161.251801552106,317.595020325203
-15700,17650,236.408536585366,154.5,318.317073170732
-15750,17700,236.85199556541,154.5,319.20399113082
-15800,17750,264.882483370288,209.833333333333,319.931633407243
-15850,17800,292.765151515152,265.166666666667,320.363636363636
-15900,17850,320.5,320.5,320.5
-15950,17900,320.5,320.5,320.5
