year (AD) [1-1],age (yr BP) [1-1],d18O (permil) [1-1],depth (unitless) [1-2],age (yr BP) [1-2],d13C (permil) [1-2],d18O (permil) [1-2]
-32500,34450,-13.86,65.3,1668.343533,-5.1074,-11.6422
-32550,34500,-13.64,65.5,1671.7041,-4.5614,-11.6472
-32600,34550,-13.44,65.7,1675.064668,-4.1852,-11.5202
-32650,34600,-13.37,65.9,1678.425235,-4.0052,-11.3852
-32700,34650,-13.3,66.1,1681.785802,-4.2778,-11.4848
-32750,34700,-13.23,66.3,1685.14637,-4.4992,-11.7442
-32800,34750,-13.21,66.5,1688.506937,-4.8752,-12.0162
-32850,34800,-13.23,66.7,1691.867505,-4.6732,-11.8882
-32900,34850,-13.24,66.9,1695.228072,-4.6722,-11.8332
-32950,34900,-13.27,67.1,1698.58864,-4.5462,-11.7622
-33000,34950,-13.45,67.3,1701.949207,-4.2572,-11.6872
-33050,35000,-13.63,67.5,1705.309775,-3.8652,-11.7332
-33100,35050,-13.81,67.7,1708.670342,-2.9872,-11.4872
-33150,35100,-13.89,67.9,1712.030909,-2.7472,-11.2902
-33200,35150,-13.88,68.1,1715.391477,-3.3252,-11.4502
-33250,35200,-13.87,68.3,1718.752044,-4.5852,-11.7672
-33300,35250,-13.86,68.5,1722.112612,-5.3382,-11.8382
-33350,35300,-13.87,68.7,1725.473179,-5.7412,-11.8412
-33400,35350,-13.88,68.9,1728.833747,-5.9112,-12.0142
-33450,35400,-13.9,69.1,1732.194314,-5.7552,-11.9942
-33500,35450,-13.85,69.3,1735.554882,-6.0132,-12.1012
-33550,35500,-13.74,69.5,1738.915449,-5.9862,-11.9612
-33600,35550,-13.62,69.7,1742.276016,-5.8192,-12.0332
-33650,35600,-13.51,69.9,1745.636584,-5.9372,-12.0432
-33700,35650,-13.48,70.1,1748.997151,-5.9392,-12.0702
-33750,35700,-13.47,70.3,1752.357719,-5.2492,-11.8622
-33800,35750,-13.46,70.5,1755.718286,-4.6302,-11.7582
-33850,35800,-13.44,70.7,1759.078854,-5.0942,-11.8892
-33900,35850,-13.4,70.9,1762.439421,-4.6492000000000004,-11.9972
-33950,35900,-13.36,71.1,1765.799988,-4.3262,-11.7602
-34000,35950,-13.32,71.3,1769.160556,-4.9422,-11.9822
-34050,36000,-13.22,71.5,1772.521123,-4.8062,-11.7002
-34100,36050,-13.09,71.7,1775.881691,-4.4732,-11.2812
-34150,36100,-12.97,71.9,1779.242258,-4.5042,-11.4552
-34200,36150,-12.9,72.1,1782.602826,-4.1592,-11.3512
-34250,36200,-13,72.3,1785.963393,-4.1872,-11.2442
-34300,36250,-13.1,72.5,1789.323961,-4.7712,-11.5962
-34350,36300,-13.2,72.7,1792.684528,-3.7342,-10.5982
-34400,36350,-13.25,72.9,1796.045095,-4.4432,-11.2152
-34450,36400,-13.26,73.1,1799.405663,-5.2248,-11.7778
-34500,36450,-13.28,73.3,1802.76623,-5.4702,-11.7742
-34550,36500,-13.3,73.5,1806.126798,-5.6722,-12.0412
-34600,36550,-13.35,73.7,1809.487365,-5.7186,-12.0264
-34650,36600,-13.39,73.9,1812.847933,-5.5596,-11.8404
-34700,36650,-13.43,74.1,1816.2085,-5.3296,-11.8954
-34750,36700,-13.45,74.3,1819.569068,-4.9496,-11.9734
-34800,36750,-13.46,74.5,1822.929635,-4.4296,-11.4764
-34850,36800,-13.46,74.7,1826.290202,-4.3136,-11.6544
-34900,36850,-13.46,74.9,1829.65077,-4.5246,-11.7014
-34950,36900,-13.37,75.1,1833.594979,-4.6836,-11.8334
-35000,36950,-13.28,75.3,1838.12283,-5.0056,-11.7974
-35050,37000,-13.19,75.5,1842.650681,-5.3956,-12.0804
-35100,37050,-13.12,75.7,1847.178531,-5.3666,-12.0974
-35150,37100,-13.05,75.9,1851.706382,-5.4346,-11.9174
-35200,37150,-12.98,76.1,1856.234233,-5.0326,-12.1114
-35250,37200,-12.91,76.3,1860.762084,-4.8056,-12.2064
-35300,37250,-12.95,76.5,1865.289935,-4.6896,-12.0434
-35350,37300,-12.99,76.7,1869.817785,-4.9406,-12.0424
-35400,37350,-13.03,76.9,1874.345636,-5.0796,-12.1134
-35450,37400,-13.07,77.1,1878.873487,-5.0736,-11.9434
-35500,37450,-13.11,77.3,1883.401338,-4.9256,-11.6894
-35550,37500,-13.07,77.5,1887.929189,-4.7696,-11.8374
-35600,37550,-13,77.7,1892.457039,-4.4686,-11.6314
-35650,37600,-12.94,77.9,1896.98489,-3.8966,-11.6544
-35700,37650,-12.88,78.1,1901.512741,-3.1286,-11.7814
-35750,37700,-12.82,78.3,1906.040592,-3.3316,-11.5814
-35800,37750,-12.82,78.5,1910.568443,-3.2696,-11.4404
-35850,37800,-12.86,78.7,1915.096293,-3.4226,-11.5174
-35900,37850,-12.91,78.9,1919.624144,-3.9916,-11.5464
-35950,37900,-12.95,79.1,1924.151995,-4.5326,-11.5914
-36000,37950,-13,79.3,1928.679846,-4.5016,-11.8294
-36050,38000,-13.05,79.5,1933.207697,-3.5896,-11.4954
-36100,38050,-13.11,79.7,1937.735547,-3.6476,-11.4824
-36150,38100,-13.17,79.9,1942.263398,-4.7246,-11.7994
-36200,38150,-13.23,80.1,1946.791249,-5.4226,-12.1294
-36250,38200,-13.29,80.3,1951.3191,-5.4516,-12.0204
-36300,38250,-13.32,80.5,1955.846951,-5.6526,-12.1514
-36350,38300,-13.22,80.7,1960.374801,-5.8826,-12.1584
-36400,38350,-13.12,80.9,1964.902652,-5.9606,-12.3634
-36450,38400,-13.03,81.1,1969.430503,-5.7326,-12.1854
-36500,38450,-12.93,81.3,1973.958354,-5.4746,-12.2064
-36550,38500,-12.83,81.5,1978.486205,-5.2956,-12.1484
-36600,38550,-12.78,81.7,1983.014055,-5.31225,-11.84825
-36650,38600,-12.73,81.9,1987.541906,-4.63425,-11.44725
-36700,38650,-12.68,82.1,1992.069757,-4.77925,-11.53325
-36750,38700,-12.63,82.3,1996.597608,-4.68825,-11.45725
-36800,38750,-12.58,82.5,2001.125459,-5.36925,-11.67425
-36850,38800,-12.68,82.7,2005.653309,-5.19925,-11.68425
-36900,38850,-12.83,82.9,2010.18116,-4.86625,-11.69625
-36950,38900,-12.98,83.1,2014.709011,-4.79825,-11.81525
-37000,38950,-13.13,83.3,2019.236862,-4.98425,-11.91925
-37050,39000,-13.28,83.5,2023.764712,-5.03325,-11.83325
-37100,39050,-13.32,83.7,2028.292563,-4.98025,-11.86825
-37150,39100,-13.26,83.9,2032.820414,-4.52425,-11.43325
-37200,39150,-13.2,84.1,2037.584826,-4.46225,-11.57025
-37250,39200,-13.14,84.3,2042.5858,-4.38925,-11.51025
-37300,39250,-13.08,84.5,2047.586774,-4.55825,-11.58925
-37350,39300,-13.06,84.7,2052.587747,-4.46225,-11.50825
-37400,39350,-13.12,84.9,2057.588721,-4.63925,-11.67725
-37450,39400,-13.18,85,2060.089208,-4.57325,-11.25625
-37500,39450,-13.24,85.5,2072.591642,-4.44425,-11.12225
-37550,39500,-13.3,86,2085.094076,-3.70825,-11.09925
-37600,39550,-13.35,86.5,2097.59651,-4.0724,-11.3096
-37650,39600,-13.28,87,2110.098944,-5.1524,-11.7096
-37700,39650,-13.21,87.5,2122.601378,-6.1654,-12.2586
-37750,39700,-13.13,88,2135.103813,-5.9784,-12.2856
-37800,39750,-13.06,88.5,2147.606247,-5.6124,-12.1576
-37850,39800,-12.99,89,2160.108681,-5.1394,-11.7716
-37900,39850,-13.06,89.5,2172.611115,-2.9814,-11.1436
-37950,39900,-13.14,90,2185.113549,-4.4724,-11.1796
-38000,39950,-13.22,90.5,2197.615983,-4.5584,-11.1986
-38050,40000,-13.3,91,2210.118417,-4.7474,-11.3606
-38100,40050,-13.38,91.5,2222.620852,-4.3314,-11.5526
-38150,40100,-13.39,92,2235.123286,-5.1884,-11.9226
-38200,40150,-13.36,92.5,2247.62572,-5.9214,-12.2196
-38250,40200,-13.34,93,2260.128154,-6.1464,-12.1516
-38300,40250,-13.31,93.5,2272.630588,-6.1534,-12.1306
-38350,40300,-13.29,94,2285.133022,-6.0354,-12.1866
-38400,40350,-13.25,94.5,2297.635456,-5.5424,-11.9996
-38450,40400,-13.22,95,2310.13789,-3.1444,-11.4416
-38500,40450,-13.18,95.5,2322.640325,-2.6264,-11.1186
-38550,40500,-13.14,96,2335.142759,-2.1004,-11.1016
-38600,40550,-13.1,96.5,2347.645193,-4.7484,-11.9976
-38650,40600,-13.06,97,2360.147627,-5.1104,-11.9226
-38700,40650,-13,97.5,2372.650061,-5.3814,-11.9726
-38750,40700,-12.94,98,2385.152495,-5.2384,-11.7956
-38800,40750,-12.88,98.5,2397.654929,-5.2394,-12.0496
-38850,40800,-12.82,99,2410.157364,-4.8194,-12.1776
-38900,40850,-12.77,99.5,2422.659798,-5.0664,-12.1686
-38950,40900,-12.9,100,2435.162232,-4.9624,-12.2246
-39000,40950,-13.02,100.5,2447.664666,-5.3804,-12.2426
-39050,41000,-13.15,101,2460.1671,-5.8254,-11.8786
-39100,41050,-13.27,101.5,2472.669534,-5.3014,-12.0416
-39150,41100,-13.4,102,2485.171968,-2.8864,-11.1206
-39200,41150,-13.39,102.5,2497.674403,-5.0994,-11.5456
-39250,41200,-13.35,103,2510.176837,-6.6314,-12.1366
-39300,41250,-13.32,103.5,2522.679271,-6.8754,-12.1596
-39350,41300,-13.29,104,2535.181705,-6.7294,-12.2566
-39400,41350,-13.25,104.5,2547.684139,-6.6294,-12.2356
-39450,41400,-13.22,105,2560.186573,-5.4454,-11.9936
-39500,41450,-13.18,105.5,2572.689007,-3.1574,-11.4116
-39550,41500,-13.15,106,2585.191442,-4.7994,-11.6016
-39600,41550,-13.11,106.5,2605.191634,-4.57825,-11.54825
-39650,41600,-13.08,107,2625.191826,-4.97225,-11.68925
-39700,41650,-13.09,107.5,2645.192018,-3.48,-11.15
-39750,41700,-13.16,108.5,2685.192402,-3.56025,-11.50775
-39800,41750,-13.24,109,2705.192594,-3.85725,-11.71275
-39850,41800,-13.31,109.5,2725.192786,-5.44525,-12.18975
-39900,41850,-13.38,110,2745.192979,-6.29225,-12.08575
-39950,41900,-13.44,110.5,2765.193171,-6.40425,-12.23775
-40000,41950,-13.44,111,2785.193363,-5.54325,-12.06575
-40050,42000,-13.45,111.5,2805.193555,-4.09325,-11.44875
-40100,42050,-13.45,112,2825.193747,-4.88225,-11.61475
-40150,42100,-13.46,112.5,2845.1939389999998,-4.59325,-11.48975
-40200,42150,-13.46,113,2865.194131,-3.24925,-11.37775
-40250,42200,-13.41,113.5,2885.194324,-5.02925,-11.86675
-40300,42250,-13.36,114,2905.194516,-3.29525,-11.10475
-40350,42300,-13.31,114.5,2925.194708,-4.16325,-11.55775
-40400,42350,-13.26,115,2945.1949,-2.97625,-11.28575
-40450,42400,-13.21,115.5,2965.195092,-1.76025,-10.90775
-40500,42450,-13.55,116,2985.195284,-2.19425,-10.83675
-40550,42500,-13.78,116.5,3005.195476,-2.31825,-10.86075
-40600,42550,-13.45,117,3025.195669,-3.87225,-11.36975
-40650,42600,-13.14,117.5,3045.195861,-4.16625,-11.37375
-40700,42650,-13.19,118,3065.196053,-2.95525,-11.14975
-40750,42700,-13.13,118.5,3085.196245,-3.06925,-10.83075
-40800,42750,-12.91,119,3105.196437,-3.83625,-11.27675
-40850,42800,-13.42,119.5,3125.196629,-4.05925,-11.26175
-40900,42850,-13.56,120,3145.196821,-4.46225,-11.42575
-40950,42900,-13.58,120.5,3165.197014,-5.12425,-11.62075
-41000,42950,-13.27,121,3185.197206,-4.74825,-11.43975
-41050,43000,-13.2,121.5,3205.197398,-4.96625,-10.85075
-41100,43050,-13.2,122,3225.19759,-3.68125,-11.23575
-41150,43100,-13.39,122.5,3245.197782,-2.71125,-10.75375
-41200,43150,-13.62,123,3265.197974,-4.65625,-11.03675
-41250,43200,-13.52,123.5,3285.198166,-4.54325,-10.98875
-41300,43250,-13.41,124,3305.198359,-4.09925,-11.28075
-41350,43300,-13.44,124.5,3325.198551,-3.86525,-11.39175
-41400,43350,-13.55,125,3345.198743,-5.53725,-11.86875
-41450,43400,-13.73,125.5,3365.198935,-4.84225,-11.82575
-41500,43450,-13.74,126,3385.199127,-3.13225,-11.37675
-41550,43500,-13.91,126.5,3405.199319,-2.319166667,-11.0555
-41600,43550,-14.05,127,3425.199511,-1.608166667,-10.8885
-41650,43600,-14.04,127.5,3445.199704,-3.932166667,-11.0655
-41700,43650,-13.94,128,3465.199896,-4.707166667,-11.3805
-41750,43700,-13.77,128.5,3485.200088,-5.573166667,-11.8615
-41800,43750,-13.62,129,3505.20028,-5.455166667,-11.7155
-41850,43800,-13.94,129.5,3525.200472,-5.683166667,-11.9395
-41900,43850,-13.48,130,3545.200664,-5.664166667,-11.8245
-41950,43900,-13.34,130.5,3565.200856,-5.515166667,-11.9135
-42000,43950,-13.22,131,3585.201049,-4.224166667,-11.4905
-42050,44000,-13.1,131.5,3605.201241,-4.932166667,-11.8345
-42100,44050,-13.29,132,3625.201433,-4.375166667,-11.4355
-42150,44100,-13.49,132.5,3645.201625,-3.495166667,-11.4755
-42200,44150,-13.69,133,3665.201817,-2.885166667,-11.1765
-42250,44200,-13.61,133.5,3685.202009,-2.678166667,-11.1155
-42300,44250,-13.53,134,3705.202201,-3.720166667,-11.0905
-42350,44300,-13.46,134.5,3744.668289,-5.339166667,-12.1605
-42400,44350,-13.67,135,3784.134377,-5.566166667,-11.9845
-42450,44400,-13.89,135.5,3823.600466,-5.702166667,-12.0245
-42500,44450,-14.08,136,3863.066554,-3.099166667,-11.4065
-42550,44500,-13.99,136.5,3902.532642,-4.329166667,-11.0715
-42600,44550,-13.91,137,3941.99873,-3.837166667,-11.1325
-42650,44600,-13.83,137.5,3981.464818,-3.916166667,-11.2255
-42700,44650,-13.91,138,4020.930906,-2.603166667,-10.9005
-42750,44700,-13.99,138.5,4060.396994,-3.063166667,-10.9695
-42800,44750,-14.05,139,4099.863082,-2.126166667,-10.5645
-42850,44800,-13.91,139.5,4139.32917,-2.981166667,-10.7755
-42900,44850,-13.76,140,4178.795258,-3.562166667,-11.1245
-42950,44900,-13.63,140.5,4218.261346,-3.318166667,-10.9045
-43000,44950,-13.57,141,4257.727434,-2.776166667,-10.6905
-43050,45000,-13.51,141.5,4297.193522,-2.168166667,-10.7535
-43100,45050,-13.47,142,4336.65961,-2.695166667,-11.0405
-43150,45100,-13.48,142.5,4376.125698,-2.420166667,-10.6235
-43200,45150,-13.49,143,4415.591786,-2.013166667,-10.9815
-43250,45200,-13.51,143.5,4455.057874,-1.910166667,-10.7115
-43300,45250,-13.57,144,4494.523962,-2.399166667,-11.0735
-43350,45300,-13.63,144.5,4533.99005,-2.013166667,-10.9205
-43400,45350,-13.68,145,4573.456138,-2.254166667,-10.7165
-43450,45400,-13.68,145.5,4612.922226,-3.038166667,-10.9325
-43500,45450,-13.68,146,4652.388314,-3.023166667,-10.8355
-43550,45500,-13.67,146.5,4691.854402,-3.22425,-11.1715
-43600,45550,-13.66,147,4731.32049,-3.29825,-11.1945
-43650,45600,-13.66,147.5,4770.786579,-2.72525,-10.5795
-43700,45650,-13.63,148,4810.252667,-2.95625,-10.4125
-43750,45700,-13.57,148.5,4849.718755,-2.75125,-10.4785
-43800,45750,-13.51,149,4889.184843,-3.26825,-10.6735
-43850,45800,-13.44,149.5,4928.650931,-3.06025,-10.7375
-43900,45850,-13.35,150,4968.117019,-2.35725,-10.7565
-43950,45900,-13.25,150.5,5007.583107,-3.13525,-11.0735
-44000,45950,-13.19,151,5047.049195,-3.11425,-11.2825
-44050,46000,-13.22,151.5,5086.515283,-2.80925,-11.0085
-44100,46050,-13.24,152,5125.981371,-2.61625,-10.7185
-44150,46100,-13.26,152.5,5165.447459,-2.89725,-10.8205
-44200,46150,-13.29,153,5204.913547,-3.95925,-10.7685
-44250,46200,-13.24,153.5,5244.379635,-4.29625,-11.0585
-44300,46250,-13.19,154,5283.845723,-3.3895,-10.3785
-44350,46300,-13.15,154.25,5303.578767,-3.1825,-10.4495
-44400,46350,-13.1,154.5,5323.311811,-3.3895,-10.3305
-44450,46400,-13.09,154.75,5343.044855,-3.3675,-10.3675
-44500,46450,-13.11,155,5362.777899,-2.8325,-10.2545
-44550,46500,-13.12,155.25,5433.493606,-2.985,-10.75133333
-44600,46550,-13.14,155.5,5504.209313,-2.847,-10.54133333
-44650,46600,-13.15,155.75,5574.92502,-2.56,-10.67433333
-44700,46650,-13.17,156,5645.640727,-2.363,-10.49533333
-44750,46700,-13.18,156.25,5716.356434,-1.985,-10.34733333
-44800,46750,-13.19,156.5,5787.072141,-1.806,-10.39033333
-44850,46800,-13.2,156.75,5857.787848,-1.973,-10.51333333
-44900,46850,-13.16,157,5928.503555,-2.389,-10.57533333
-44950,46900,-13.12,157.25,5999.219262,-1.818,-10.13033333
-45000,46950,-13.08,157.5,6069.934969,-1.593,-9.872333333
-45050,47000,-13.04,157.75,6140.650675,-1.503,-10.03533333
-45100,47050,-12.98,158,6211.366382,-1.8035,-9.9035
-45150,47100,-12.91,158.25,6282.082089,-1.947,-10.13933333
-45200,47150,-12.84,158.5,6352.797796,-2.286,-10.37833333
-45250,47200,-12.77,158.75,6423.513503,-2.86,-10.72733333
-45300,47250,-12.72,159,6494.22921,-1.939,-10.13433333
-45350,47300,-12.71,159.25,6564.944917,-1.808,-10.03433333
-45400,47350,-12.7,159.5,6635.660624,-2.329,-10.23833333
-45450,47400,-12.7,159.75,6706.376331,-2.385,-10.73833333
-45500,47450,-12.69,160,6777.092038,-3.552,-11.21233333
-45550,47500,-12.68,160.25,6847.807745,-3.034,-11.06733333
-45600,47550,-12.66,160.5,6918.523452,-2.874,-10.85033333
-45650,47600,-12.64,160.75,6989.239159,-3.023,-11.13633333
-45700,47650,-12.62,161,7059.954866,-3.851,-11.47833333
-45750,47700,-12.63,161.25,7130.670573,-3.193,-11.06433333
-45800,47750,-12.68,161.5,7201.38628,-2.912,-11.00433333
-45850,47800,-12.73,161.75,7272.101986,-2.68,-10.57633333
-45900,47850,-12.78,162,7342.817693,-2.539,-10.56933333
-45950,47900,-12.81,162.25,7413.5334,-2.422,-10.71933333
-46000,47950,-12.8,162.5,7484.249107,-2.925,-10.73033333
-46050,48000,-12.78,162.75,7554.964814,-3.004,-10.90733333
-46100,48050,-12.76,163,7625.680521,-2.993,-10.60433333
-46150,48100,-12.75,163.25,7696.396228,-2.383,-10.27733333
-46200,48150,-12.75,163.5,7767.111935,-1.675,-10.00333333
-46250,48200,-12.75,163.75,7837.827642,-1.616,-9.617333333
-46300,48250,-12.76,164,7908.543349,-1.632,-9.579333333
-46350,48300,-12.76,164.25,7979.259056,-1.625,-9.463333333
-46400,48350,-12.79,164.5,8049.974763,-2.158,-9.5936
-46450,48400,-12.85,164.75,8120.69047,-2.134,-10.0206
-46500,48450,-12.91,165,8191.406177,-1.863,-9.7296
-46550,48500,-12.96,165.25,8262.121884,-1.68,-9.5276
-46600,48550,-13.02,165.5,8332.837591,-1.405,-9.1246
-46650,48600,-13.13,165.75,8403.553297,-1.612,-9.7066
-46700,48650,-13.24,166,8474.269004,-1.838,-9.6896
-46750,48700,-13.35,166.25,8524.574764,-1.525,-9.5576
-46800,48750,-13.45,166.5,8574.880523,-1.604,-9.4186
-46850,48800,-13.49,166.75,8625.186282,-1.6975,-9.6255
-46900,48850,-13.5,167,8675.492041,-1.51,-9.5806
-46950,48900,-13.52,167.25,8725.797801,-1.597,-9.4686
-47000,48950,-13.53,167.5,8776.10356,-1.514,-9.5026
-47050,49000,-13.56,167.75,8826.409319,-1.851,-9.7536
-47100,49050,-13.6,168,8876.715078,-2.6005,-9.7475
-47150,49100,-13.64,168.25,8927.020838,-2.7,-10.1686
-47200,49150,-13.68,168.5,8977.326597,-2.754,-10.0906
-47250,49200,-13.71,168.75,9027.632356,-2.658,-9.8906
-47300,49250,-13.66,169,9077.938115,-2.251,-9.8326
-47350,49300,-13.61,169.25,9128.243875,-2.12,-9.8866
-47400,49350,-13.56,169.5,9178.549634,-1.713,-10.0646
-47450,49400,-13.52,169.75,9228.855393,-1.706,-10.0526
-47500,49450,-13.51,170,9279.161152,-1.934,-10.0326
-47550,49500,-13.53,170.25,9329.466912,-2.372,-10.0756
-47600,49550,-13.54,170.5,9379.772671,-2.718,-10.1056
-47650,49600,-13.55,170.75,9430.07843,-2.767,-10.1716
-47700,49650,-13.5,171,9480.384189,-2.879,-10.2766
-47750,49700,-13.36,171.25,9530.689948,-2.695,-9.9326
-47800,49750,-13.22,171.5,9580.995708,-2.559,-10.4406
-47850,49800,-13.09,171.75,9631.301467,-3.039,-10.6266
-47900,49850,-12.97,171.85,9651.423771,-3.533,-10.4376
-47950,49900,-13.02,171.95,9671.546074,-2.996,-10.5886
-48000,49950,-13.08,172.05,9691.668378,-2.856,-10.4146
-48050,50000,-13.14,172.15,9711.790682,-2.72,-10.1666
-48100,50050,-13.2,172.25,9731.912985,-2.596,-10.3596
-48150,50100,-13.21,172.35,9752.035289,-2.82,-10.5146
-48200,50150,-13.21,172.45,9772.157593,-2.935,-10.4596
-48250,50200,-13.22,172.55,9792.279897,-2.694,-10.6496
-48300,50250,-13.22,172.65,9812.4022,-2.562,-10.3966
-48350,50300,-13.22,172.75,9832.524504,-2.848,-10.6336
-48400,50350,-13.23,172.85,9852.646808,-3.069166667,-10.7638
-48450,50400,-13.24,172.95,9872.769111,-3.055166667,-10.7458
-48500,50450,-13.24,173.05,9892.891415,-3.140166667,-10.6948
-48550,50500,-13.24,173.15,9913.013719,-3.125166667,-11.0058
-48600,50550,-13.17,173.25,9933.136022,-2.936166667,-10.9848
-48650,50600,-13.09,173.35,9953.258326,-3.311166667,-11.0248
-48700,50650,-13.01,173.45,9973.38063,-3.632166667,-11.2348
-48750,50700,-12.93,173.55,9993.502933,-3.538166667,-11.0618
-48800,50750,-12.93,173.65,10013.62524,-3.246166667,-11.0858
-48850,50800,-12.96,173.75,10033.74754,-3.535166667,-10.9548
-48900,50850,-12.99,173.85,10053.86984,-4.344166667,-10.9278
-48950,50900,-13.03,173.95,10073.99215,-3.797166667,-10.6808
-49000,50950,-13.03,174.05,10094.11445,-3.433166667,-10.6968
-49050,51000,-12.96,174.15,10114.23676,-3.112166667,-10.9738
-49100,51050,-12.89,174.25,10134.35906,-2.930166667,-11.0138
-49150,51100,-12.82,174.35,10154.48136,-2.547166667,-11.1198
-49200,51150,-12.76,174.45,10174.60367,-2.612166667,-10.8208
-49250,51200,-12.85,174.55,10194.72597,-3.148166667,-10.9898
-49300,51250,-12.94,174.65,10214.84827,-3.491166667,-10.9118
-49350,51300,-13.03,174.75,10234.97058,-3.594166667,-10.8978
-49400,51350,-13.12,174.85,10255.09288,-3.580166667,-10.9418
-49450,51400,-13.1,174.95,10275.21519,-3.713166667,-11.0078
-49500,51450,-13.03,175.05,10295.33749,-3.622166667,-10.9248
-49550,51500,-12.96,175.15,10315.45979,-3.771166667,-10.9338
-49600,51550,-12.88,175.25,10335.5821,-3.856166667,-10.8258
-49650,51600,-12.84,175.35,10355.7044,-3.453166667,-10.6528
-49700,51650,-12.87,175.45,10375.8267,-3.241166667,-10.6578
-49750,51700,-12.89,175.55,10395.94901,-2.959166667,-10.5538
-49800,51750,-12.92,175.65,10416.07131,-3.074166667,-10.5508
-49850,51800,-12.95,175.75,10436.19361,-3.288166667,-10.5798
-49900,51850,-12.87,175.85,10456.31592,-2.7495,-10.6735
-49950,51900,-12.78,175.95,10476.43822,-2.896166667,-10.3768
-50000,51950,-12.69,176.05,10496.56053,-2.765166667,-10.7148
-50050,52000,-12.61,176.15,10516.68283,-2.583166667,-10.5728
-50100,52050,-12.58,176.25,10536.80513,-2.548166667,-10.4938
-50150,52100,-12.59,176.35,10556.92744,-2.600166667,-10.1418
-50200,52150,-12.6,176.45,10577.04974,-2.831166667,-10.2968
-50250,52200,-12.61,176.55,10597.17204,-2.717166667,-10.5658
-50300,52250,-12.58,176.65,10617.29435,-2.974166667,-10.7568
-50350,52300,-12.47,176.75,10637.41665,-3.105166667,-10.6808
-50400,52350,-12.35,176.85,10657.53896,-3.109,-10.56566667
-50450,52400,-12.24,176.95,10677.66126,-3.323,-10.49866667
-50500,52450,-12.13,177.05,10697.78356,-3.586,-10.68266667
-50550,52500,-12.12,177.15,10717.90587,-3.548,-11.14766667
-50600,52550,-12.12,177.25,10738.02817,-3.318,-10.97366667
-50650,52600,-12.13,177.35,10758.15047,-3.257,-10.74366667
-50700,52650,-12.13,177.45,10778.27278,-3.449,-10.98566667
-50750,52700,-12.18,177.55,10798.39508,-3.208,-11.26466667
-50800,52750,-12.25,177.65,10818.51738,-3.344,-10.92266667
-50850,52800,-12.32,177.75,10838.63969,-3.336,-10.87466667
-50900,52850,-12.17,177.85,10858.76199,-3.535,-11.22266667
-50950,52900,-12.02,177.95,10878.8843,-3.076,-11.14466667
-51000,52950,-11.86,178.05,10899.0066,-2.967,-11.27466667
-51050,53000,-11.96,178.15,10919.1289,-3.145,-11.27566667
-51100,53050,-12.3,178.25,10939.25121,-3.424,-11.52266667
-51150,53100,-12.64,178.35,10959.37351,-3.726,-11.31166667
-51200,53150,-12.78,178.45,10979.49581,-4.174,-11.41466667
-51250,53200,-12.9,178.55,10999.61812,-4.466,-11.23566667
-51300,53250,-13.01,178.65,11019.74042,-4.651,-11.27366667
-51350,53300,-13.13,178.75,11039.86273,-4.341,-11.09566667
-51400,53350,-13.13,178.85,11059.98503,-3.943,-11.41566667
-51450,53400,-13.04,178.95,11080.10733,-4.044,-10.99966667
-51500,53450,-12.95,179.05,11100.22964,-3.849,-11.06866667
-51550,53500,-12.86,179.15,11120.35194,-3.355,-11.34166667
-51600,53550,-12.79,179.25,11140.47424,-3.034,-11.32566667
-51650,53600,-12.77,179.35,11160.59655,-2.768,-11.25566667
-51700,53650,-12.75,179.45,11180.71885,-2.796,-11.32866667
-51750,53700,-12.73,179.55,11200.84116,-2.629,-11.21866667
-51800,53750,-12.7,179.65,11220.96346,-2.388,-11.32366667
-51850,53800,-12.75,179.75,11241.08576,-2.134,-11.06166667
-51900,53850,-12.8,179.85,11261.20807,-2.16,-11.24066667
-51950,53900,-12.84,179.95,11281.33037,-2.302,-11.33066667
-52000,53950,-12.8,180.05,11301.45267,-2.38,-11.32666667
-52050,54000,-12.76,180.15,11321.57498,-2.563,-11.51466667
-52100,54050,-12.73,180.25,11341.69728,-2.725,-11.47366667
-52150,54100,-12.69,180.35,11361.81958,-2.737,-11.29566667
-52200,54150,-12.66,180.45,11381.94189,-2.893,-11.29566667
-52250,54200,-12.67,180.55,11402.06419,-3.206,-11.27866667
-52300,54250,-12.7,180.65,11422.1865,-3.208,-11.37666667
-52350,54300,-12.73,180.75,11442.3088,-2.642,-11.32466667
-52400,54350,-12.79,180.85,11462.4311,-2.4214,-10.92125
-52450,54400,-12.85,180.95,11482.55341,-2.6095,-10.8525
-52500,54450,-12.9,181.05,11516.82188,-2.3974,-10.97725
-52550,54500,-12.96,181.15,11565.23653,-1.9894,-11.06125
-52600,54550,-13.02,181.25,11613.65117,-2.1334,-11.14325
-52650,54600,-12.85,181.35,11662.06582,-2.2654,-11.31725
-52700,54650,-12.67,181.45,11710.48046,-2.0254,-11.62925
-52750,54700,-12.53,181.55,11758.89511,-1.9474,-11.77225
-52800,54750,-12.45,181.65,11807.30975,-2.0904,-11.98125
-52850,54800,-12.36,181.75,11855.7244,-2.2784,-12.21425
-52900,54850,-12.38,181.85,11904.13904,-2.4124,-12.33925
-52950,54900,-12.45,181.95,11952.55369,-2.1684,-12.27025
-53000,54950,-12.52,182.05,12000.96833,-2.1764,-12.21425
-53050,55000,-12.74,182.15,12049.38298,-2.1064,-12.13425
-53100,55050,-12.96,182.25,12097.79762,-2.2744,-12.22625
