year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],SumDiatoms (number/cm2) [1-1],CAL (unitless) [1-1],Acinocyclus. curvatulus (unitless) [1-1],A. octonarius (unitless) [1-1],Actinoptychus spp. (unitless) [1-1],Azpeitia nodulifer (unitless) [1-1],Az. tabularis (unitless) [1-1],Coscinodiscus spp. (unitless) [1-1],Cyclotella spp. (unitless) [1-1],Hemidiscus cuneiformis (unitless) [1-1],Paralia sulcata (unitless) [1-1],Roperia tesselata (unitless) [1-1],Stephanopyxis spp. (unitless) [1-1],Thalassiosira spp. (unitless) [1-1],Chaetoceros spores (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],percentOpal (percent) [2-1],CAL (unitless) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],CAL (unitless) [3-1],LSR (cm/ky) (unitless) [3-1],Bulk MAR (unitless) [3-1],% Al (unitless) [3-1],% Fe (unitless) [3-1],% Mg (unitless) [3-1],% Ca (unitless) [3-1],% Ca-detr (unitless) [3-1],% Ca-ex (unitless) [3-1],% CaCO3-ex (unitless) [3-1],% Na (unitless) [3-1],% K (unitless) [3-1],% P (unitless) [3-1],% Ti (unitless) [3-1],% Mn (unitless) [3-1],ppm Mn (unitless) [3-1],ppm As (unitless) [3-1],ppm Ba (unitless) [3-1],ppm Be (unitless) [3-1],ppm Cd (unitless) [3-1],ppm Co (unitless) [3-1],ppm Cr (unitless) [3-1],ppm Cu (unitless) [3-1],ppm La (unitless) [3-1],ppm Mo (unitless) [3-1],ppm Ni (unitless) [3-1],ppm Pb (unitless) [3-1],ppm Sc (unitless) [3-1],ppm Sr (unitless) [3-1],ppm V (unitless) [3-1],ppm Y (unitless) [3-1],ppm Zr (unitless) [3-1],ppm Zn (unitless) [3-1],% TC (unitless) [3-1],% IC (unitless) [3-1],CaCO3-IC (unitless) [3-1],% OC (unitless) [3-1],ppm Cd/% Mn (unitless) [3-1],ppmBa/%Al (unitless) [3-1],OC-MAR (g) (unitless) [3-1],OC-MAR (mg) (unitless) [3-1],Cd MAR (ug/cm2/ky) (unitless) [3-1],Mo MAR (ug/cm2/ky) (unitless) [3-1],Mn/Mo (unitless) [3-1]
-6236.7135,8186.7135,220.5,13001,CAL,0,0,0,0,0,0,3250,0,9751,0,0,0,0,-6909,8859,265,4.51,CAL,-6068.6085,8018.6085,215,CAL,29.74331519,10.1772999,2.76,1.6,1.2,12.2,1.01016,11.18984,27.9746,3.27,0.83,0.15,0.14,0.0127,127,-3,882,0.6,6,6,120,60.9,13.2,19,110,-2,5.4,604,81,13.3,28.5,119,15.49,3.71,30.91666667,11.78,472.4409449,319.5652174,1.198885928,1198.885928,61.06379941,193.3686981,6.684210526
-6572.9235,8522.9235,230.5,0,CAL,0,0,0,0,0,0,0,0,0,0,0,0,0,-7077,9027,270,4.72,CAL,-6236.7135,8186.7135,220,CAL,29.74331519,11.98106541,2.93,1.81,1.21,12.9,1.0723800000000001,11.82762,29.56905,3.19,0.89,0.16,0.14,0.0132,132,10,716,0.6,5,8,115,59.6,13.6,20,106,-2,5.6,633,79,13.9,28.7,118,14.73,3.78,31.5,10.95,378.7878788,244.3686007,1.311926662,1311.926662,59.90532703,239.6213081,6.6
-6909.1335,8859.1335,240.5,0,CAL,0,0,0,0,0,0,0,0,0,0,0,0,0,-7245,9195,275,2.59,CAL,-6404.8185,8354.8185,225,CAL,29.74331519,10.52596591,3.08,1.85,1.25,12.7,1.12728,11.57272,28.9318,3.13,0.91,0.17,0.15,0.014,140,5,1030,0.7,6,7,115,64.4,14.8,22,111,4,5.9,624,82,14.1,32.8,122,14.73,3.67,30.58333333,11.06,428.5714286,334.4155844,1.16417183,1164.17183,63.15579548,231.5712501,6.363636364
-7245.3435,9195.3435,250.5,7270,CAL,0,0,0,0,0,0,0,0,7270,0,0,0,0,-7413,9363,280,5.33,CAL,-6572.9235,8522.9235,230,CAL,29.74331519,11.58591059,3.03,1.81,1.21,13.9,1.10898,12.79102,31.97755,3.07,0.9,0.15,0.15,0.0136,136,6,813,0.6,6,7,121,56.7,14.9,22,110,4,5.9,663,77,13.9,30.5,119,13.86,4.09,34.08333333,9.77,441.1764706,268.3168317,1.131943465,1131.943465,69.51546355,254.890033,6.181818182
-7581.5535,9531.5535,260.5,11831,CAL,0,0,0,0,0,0,7887,0,3944,0,0,0,0,-7582,9532,285,5.22,CAL,-6741.0285,8691.0285,235,CAL,29.74331519,11.61845275,2.61,1.71,1.09,14.3,0.95526,13.34474,33.36185,3.09,0.77,0.13,0.12,0.0114,114,7,868,0.5,8,8,95,50.1,12.4,24,99,-2,4.8,662,78,11.7,25.3,105,14.13,4.39,36.58333333,9.74,701.754386,332.5670498,1.131637298,1131.637298,92.94762202,278.8428661,4.75
-7917.7635,9867.7635,270.5,6534,CAL,0,0,0,0,0,0,6534,0,0,0,0,0,0,-7750,9700,290,5.51,CAL,-6909.1335,8859.1335,240,CAL,29.74331519,11.52547515,2.77,1.73,1.15,14.9,1.01382,13.88618,34.71545,3.03,0.85,0.14,0.14,0.0121,121,14,792,0.6,6,7,99,54.9,13.4,23,99,3,5.5,718,74,13.3,29.1,108,13.7,4.52,37.66666667,9.18,495.8677686,285.9205776,1.058038619,1058.038619,69.1528509,265.0859284,5.260869565
-8253.9735,10203.9735,280.5,31432,CAL,0,0,0,12573,0,0,12573,0,6286,0,0,0,132013,-8086,10036,300,6.38,CAL,-7077.2385,9027.2385,245,CAL,29.74331519,10.71657,2.74,1.56,1.12,15.7,1.00284,14.69716,36.7429,3,0.89,0.15,0.13,0.0116,116,-3,742,0.6,5,4,92,52.2,12.7,19,91,-2,5.6,749,69,13.3,27.9,115,13.74,4.6,38.33333333,9.14,431.0344828,270.8029197,0.979494498,979.4944981,53.58285,203.61483,6.105263158
-8422.0785,10372.0785,285.5,46647,CAL,0,0,0,31098,0,3887,7775,0,3887,0,0,0,299320,-8254,10204,305,5.96,CAL,-7245.3435,9195.3435,250,CAL,29.74331519,10.67473008,2.9,1.62,1.18,14.8,1.0614,13.7386,34.3465,3.12,0.95,0.14,0.14,0.0121,121,4,789,0.6,7,6,102,62.8,13,24,98,-2,5.8,715,79,13.4,30.3,111,13.71,4.41,36.75,9.3,578.5123967,272.0689655,0.992749897,992.7498974,74.72311056,256.1935219,5.041666667
-8590.1835,10540.1835,290.5,89636,CAL,0,3735,3735,29879,3735,14939,18674,0,11204,0,0,3735,104575,-8422,10372,310,7.77,CAL,-7413.4485,9363.4485,255,CAL,29.74331519,11.79046132,3.06,1.9,1.23,14.3,1.11996,13.18004,32.9501,3.28,1.02,0.15,0.15,0.0129,129,12,752,0.7,9,6,107,58.8,15,29,106,5,6.5,667,86,14.9,34.4,120,13.77,4.02,33.5,9.75,697.6744186,245.751634,1.149569979,1149.569979,106.1141519,341.9233782,4.448275862
-8691.0465,10641.0465,292.5,289856,CAL,0,0,2958,59154,26619,65070,79858,2958,23662,0,0,29577,1490683,-8590,10540,315,5.93,CAL,-7581.5535,9531.5535,260,CAL,29.74331519,11.77651468,3.33,1.9,1.27,12.5,1.21878,11.28122,28.20305,3.38,1.1,0.16,0.16,0.0142,142,11,627,0.8,8,9,112,65.6,15.5,27,106,7,6.8,605,92,15.8,33,124,13.77,3.56,29.66666667,10.21,563.3802817,188.2882883,1.202382149,1202.382149,94.21211743,317.9658963,5.259259259
-8825.5305,10775.5305,297.5,228840,CAL,0,0,13461,70671,13461,63941,33653,0,20192,0,0,13461,235571,-8691,10641,322,7.11,CAL,-7749.6585,9699.6585,265,CAL,29.74331519,10.00529134,3.15,1.79,1.24,14.3,1.1529,13.1471,32.86775,3.33,1.03,0.16,0.15,0.0133,133,7,553,0.7,7,8,109,59.9,15.2,31,102,6,6.4,687,92,15.9,33.9,122,13.79,4.05,33.75,9.74,526.3157895,175.5555556,0.974515376,974.5153761,70.03703935,310.1640314,4.290322581
-8993.6355,10943.6355,302.5,218746,CAL,0,0,16827,40384,16827,50480,47114,10096,13461,0,0,23557,4617197,-8994,10944,327,7.21,CAL,-7917.7635,9867.7635,270,CAL,29.74331519,11.40460427,3.16,1.8,1.23,15.2,1.15656,14.04344,35.1086,3.36,1.08,0.18,0.16,0.0135,135,6,541,0.8,6,7,102,56.2,15.8,25,93,6,6.5,736,92,15.9,33.7,116,13.13,4.24,35.33333333,8.89,444.4444444,171.2025316,1.013869319,1013.869319,68.42762559,285.1151066,5.4
-9161.7405,11111.7405,307.5,239246,CAL,4601,0,13803,73614,0,78215,36807,0,18403,0,0,13803,772947,-9162,11112,332,7.21,CAL,-8085.8685,10035.8685,275,CAL,29.74331519,10.86533417,3.19,1.76,1.25,14.1,1.16754,12.93246,32.33115,3.43,1.12,0.17,0.16,0.0134,134,6,522,0.8,7,8,111,61.3,15.5,25,102,8,6.8,683,97,16.8,34.6,122,13.82,3.91,32.58333333,9.91,522.3880597,163.6363636,1.076754616,1076.754616,76.05733916,271.6333542,5.36
-9329.8455,11279.8455,312.5,144998,CAL,0,0,0,46136,3295,13182,32954,0,32954,0,0,16477,945790,-9330,11280,337,6.22,CAL,-8253.9735,10203.9735,280,CAL,29.74331519,11.50687963,3.02,1.71,1.16,16.1,1.10532,14.99468,37.4867,3.11,1.06,0.17,0.15,0.013,130,8,526,0.7,4,7,93,50.4,14.2,17,83,4,6.2,794,78,15.1,30.8,105,12.89,4.57,38.08333333,8.32,307.6923077,174.1721854,0.957372385,957.3723851,46.02751852,195.6169537,7.647058824
-9497.9505,11447.9505,317.5,163365,CAL,0,0,17379,45186,13903,24331,27807,0,6952,0,3476,24331,11605839,-9498,11448,342,7.54,CAL,-8422.0785,10372.0785,285,CAL,29.74331519,10.90717409,3.63,1.96,1.33,11.4,1.32858,10.07142,25.17855,3.56,1.22,0.18,0.18,0.0152,152,-3,550,0.8,8,8,117,72.6,16.9,23,103,10,7.4,570,105,17.2,37.6,124,13.04,3.16,26.33333333,9.88,526.3157895,151.5151515,1.0776288,1077.6288,87.2573927,250.865004,6.608695652
-9666.0555,11616.0555,322.5,158731,CAL,0,0,3307,39683,23148,16534,26455,3307,13228,0,0,33069,5902778,-9666,11616,347,5.69,CAL,-8590.1835,10540.1835,290,CAL,29.74331519,11.44644419,3.43,1.93,1.24,14.9,1.25538,13.64462,34.11155,3.11,1.11,0.17,0.17,0.0147,147,4,541,0.7,4,5,105,72.5,15.6,16,88,4,6.8,736,89,15.5,33.1,110,12.53,4.16,34.66666667,8.37,272.1088435,157.7259475,0.958067378,958.0673784,45.78577675,183.143107,9.1875
-9834.1605,11784.1605,327.5,129305,CAL,2487,0,12433,32326,4973,22380,22380,0,12433,0,0,19893,295909,-9834,11784,352,4.41,CAL,-8691.0465,10641.0465,293,CAL,29.74331519,10.07502454,2.81,1.7,1.06,15.5,1.02846,14.47154,36.17885,2.88,0.94,0.15,0.14,0.0125,125,10,469,0.6,4,6,90,52.9,14.2,12,78,7,5.7,750,77,14.2,30,96.6,12.6,4.62,38.5,7.98,320,166.9039146,0.803986958,803.9869582,40.30009815,120.9002945,10.41666667
-10002.2655,11952.2655,332.5,6718,CAL,0,0,0,3359,0,0,3359,0,0,0,0,0,352734,-10002,11952,357,4,CAL,-8825.5305,10775.5305,297,CAL,29.74331519,9.85187829,2.99,1.64,1.11,16.7,1.09434,15.60566,39.01415,2.88,1,0.17,0.15,0.0134,134,-3,513,0.7,3,6,89,49.2,14.4,11,74,5,6,848,76,14.7,31.2,95.2,12.52,4.88,40.66666667,7.64,223.880597,171.5719064,0.752683501,752.6835014,29.55563487,108.3706612,12.18181818
-10170.3705,12120.3705,337.5,4270,CAL,0,0,0,2135,0,0,0,0,0,0,0,2135,74738,-10170,12120,362,4.94,CAL,-8993.6355,10943.6355,302,CAL,29.74331519,11.71143036,3.23,1.79,1.2,14.2,1.18218,13.01782,32.54455,3.26,1.07,0.18,0.16,0.0141,141,5,513,0.6,5,7,103,54.9,14.8,15,86,-2,6.5,663,94,15.6,32.3,103,13.07,4.08,34,8.99,354.6099291,158.8235294,1.052857589,1052.857589,58.55715178,175.6714553,9.4
-10338.4755,12288.4755,342.5,2287,CAL,0,0,0,0,0,0,0,0,2287,0,0,0,128051,-10338,12288,367,2.54,CAL,-9161.7405,11111.7405,307,CAL,29.74331519,10.0843223,3.13,1.74,1.18,13,1.14558,11.85442,29.63605,3.12,1.02,0.22,0.16,0.0136,136,4,478,0.8,5,7,110,56.1,15.2,15,88,6,6.4,634,98,15.5,34.3,112,13.24,3.79,31.58333333,9.45,367.6470588,152.715655,0.952968457,952.9684572,50.42161149,151.2648345,9.066666667
-10674.6855,12624.6855,352.5,2445,CAL,0,0,0,0,0,0,2445,0,0,0,0,0,102696,-10507,12457,372,4.61,CAL,-9329.8455,11279.8455,312,CAL,29.74331519,9.386990274,3.14,1.72,1.2,14.1,1.14924,12.95076,32.3769,3.07,1.03,0.16,0.16,0.014,140,8,486,0.7,6,7,92,47,15.7,12,75,6,6.5,677,90,14.8,36.2,94.7,12.26,4.25,35.41666667,8.01,428.5714286,154.7770701,0.751897921,751.8979209,56.32194164,112.6438833,11.66666667
-11010.8955,12960.8955,362.5,9159,CAL,0,0,0,0,0,3053,3053,0,3053,0,0,0,235043,-10843,12793,382,4.2,CAL,-9497.9505,11447.9505,317,CAL,29.74331519,12.17631837,3.25,1.83,1.21,12.1,1.1895,10.9105,27.27625,3.14,1.05,0.18,0.17,0.014,140,3,484,0.7,5,5,101,57,16.2,15,83,5,6.7,577,97,16.6,38.2,101,12.6,3.61,30.08333333,8.99,357.1428571,148.9230769,1.094651022,1094.651022,60.88159186,182.6447756,9.333333333
-11347.1055,13297.1055,372.5,7518,CAL,0,0,0,2506,0,0,2506,0,0,0,0,2506,87719,-11011,12961,387,1.38,CAL,-9666.0555,11616.0555,322,CAL,29.74331519,9.386990274,2.96,1.64,1.12,15.8,1.08336,14.71664,36.7916,2.96,0.97,0.17,0.15,0.0126,126,7,481,0.6,4,6,96,50.3,14.2,11,71,3,6,749,78,15.5,35.1,91.4,12.29,4.76,39.66666667,7.53,317.4603175,162.5,0.706840368,706.8403676,37.5479611,103.256893,11.45454545
-11683.3155,13633.3155,382.5,22260,CAL,0,3180,0,3180,0,3180,3180,0,6360,0,0,3180,267112,-11179,13129,392,3.97,CAL,-9834.1605,11784.1605,327,CAL,29.74331519,11.71143036,3.58,1.84,1.23,14.1,1.31028,12.78972,31.9743,2.55,1.15,0.23,0.19,0.0155,155,-3,537,0.8,3,7,94,50.5,17.1,8,64,4,7.2,682,59,18.7,42.1,93.8,10.89,4.23,35.25,6.66,193.5483871,150,0.779981262,779.9812617,35.13429107,93.69144285,19.375
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11347,13297,397,3.14,CAL,-10002.2655,11952.2655,332,CAL,29.74331519,14.96564647,3.43,1.86,1.16,14.7,1.25538,13.44462,33.61155,2.38,1.07,0.2,0.18,0.015,150,-3,525,0.7,2,8,86,46.1,17.2,6,57,6,6.6,708,51,17.3,39.9,83.8,10.37,4.46,37.16666667,5.91,133.3333333,153.0612245,0.884469706,884.4697064,29.93129294,89.79387883,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11515,13465,402,4.53,CAL,-10170.3705,12120.3705,337,CAL,29.74331519,15.43053449,3.44,1.78,1.17,14.6,1.25904,13.34096,33.3524,2.43,1.1,0.18,0.19,0.0149,149,-3,515,0.7,2,6,87,45.1,16.2,6,56,5,6.6,703,50,17.4,39,82.5,10.4,4.47,37.25,5.93,134.2281879,149.7093023,0.915030695,915.0306951,30.86106897,92.58320692,24.83333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10338.4755,12288.4755,342,CAL,29.74331519,14.03587044,3.52,1.83,1.22,14.9,1.28832,13.61168,34.0292,2.57,1.12,0.17,0.19,0.0153,153,-3,532,0.8,1,7,91,46.6,16.2,6,58,-2,6.8,725,51,17.7,39,86.3,10.34,4.53,37.75,5.81,65.35947712,151.1363636,0.815484072,815.4840725,14.03587044,84.21522263,25.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10506.5805,12456.5805,347,CAL,29.74331519,15.43053449,3.54,1.87,1.2,14.6,1.29564,13.30436,33.2609,2.43,1.12,0.16,0.19,0.0154,154,-3,505,0.7,2,6,90,48.5,15.6,6,59,-2,6.7,698,52,17.4,37.9,88.4,10.26,4.4,36.66666667,5.86,129.8701299,142.6553672,0.904229321,904.229321,30.86106897,92.58320692,25.66666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10674.6855,12624.6855,352,CAL,29.74331519,14.50075845,3.45,1.82,1.16,14.7,1.2627,13.4373,33.59325,2.42,1.05,0.16,0.18,0.015,150,7,512,0.7,2,6,88,46.4,17.6,6,60,6,6.5,698,51,17.1,39.4,84.1,10.4,4.36,36.33333333,6.04,133.3333333,148.4057971,0.875845811,875.8458107,29.00151691,87.00455073,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10842.7905,12792.7905,357,CAL,29.74331519,13.57098242,3.53,1.83,1.18,14.3,1.29198,13.00802,32.52005,2.43,1.05,0.15,0.18,0.015,150,5,472,0.7,2,6,89,46.5,16.9,6,59,2,6.5,693,52,16.9,40.2,87.1,10.53,4.25,35.41666667,6.28,133.3333333,133.7110482,0.852257696,852.2576961,27.14196484,81.42589453,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11010.8955,12960.8955,362,CAL,29.74331519,15.43053449,3.63,1.89,1.21,14.8,1.32858,13.47142,33.67855,2.46,1.09,0.16,0.19,0.0156,156,-3,518,0.7,2,6,90,47.6,16.9,6,61,2,6.8,717,53,17.4,41.2,86.9,10.41,4.37,36.41666667,6.04,128.2051282,142.6997245,0.932004283,932.004283,30.86106897,92.58320692,26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11179.0005,13129.0005,367,CAL,29.74331519,15.43053449,3.51,1.84,1.18,14.4,1.28466,13.11534,32.78835,2.41,1.07,0.16,0.19,0.0151,151,-3,490,0.7,2,7,90,47.6,15.4,5,58,-2,6.4,693,53,17.3,38.1,88.2,10.47,4.33,36.08333333,6.14,132.4503311,139.6011396,0.947434818,947.4348175,30.86106897,77.15267244,30.2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11347.1055,13297.1055,372,CAL,29.74331519,15.43053449,3.54,1.8,1.19,14.1,1.29564,12.80436,32.0109,2.39,1.1,0.16,0.19,0.015,150,-3,497,0.8,3,7,87,47.3,16.7,5,58,4,6.8,684,53,17.4,40.6,84.8,10.33,4.39,36.58333333,5.94,200,140.3954802,0.916573749,916.5737486,46.29160346,77.15267244,30
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11515.2105,13465.2105,377,CAL,29.74331519,14.03587044,3.59,1.92,1.2,14.7,1.31394,13.38606,33.46515,2.34,1.14,0.16,0.19,0.0156,156,3,508,0.8,2,8,95,47.9,18.3,6,63,10,7.2,698,56,18.1,42.7,90,10.48,4.32,36,6.16,128.2051282,141.5041783,0.864609619,864.609619,28.07174088,84.21522263,26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11683.3155,13633.3155,382,CAL,29.74331519,12.17631837,3.63,1.92,1.23,14,1.32858,12.67142,31.67855,2.52,1.13,0.16,0.19,0.0156,156,-3,498,0.8,3,7,95,49.4,16.6,7,64,3,6.8,676,57,17.6,40.5,91.1,10.52,4.22,35.16666667,6.3,192.3076923,137.1900826,0.767108057,767.1080575,36.52895512,85.23422861,22.28571429
