d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1]
-3.14,1540.12,NA,1539.71
-3.24,1540.04,NA,1539.62
-3.17,1539.96,NA,1539.54
-3.4,1539.87,NA,1539.46
-3.6,1539.79,NA,1539.37
-3.81,1539.71,NA,1539.29
-3.81,1539.62,NA,1539.21
-3.66,1539.54,NA,1539.12
-3.59,1539.46,NA,1539.04
-3.47,1539.37,NA,1538.96
-3.25,1539.29,NA,1538.87
-3.2,1539.21,NA,1538.79
-3.3,1539.12,NA,1538.71
-3.42,1539.04,NA,1538.62
-3.56,1538.96,NA,1538.54
-3.7,1538.87,NA,1538.46
-3.66,1538.79,NA,1538.37
-3.64,1538.71,NA,1538.29
-3.48,1538.62,NA,1538.21
-3.32,1538.54,NA,1538.12
-3.2,1538.46,NA,1538.04
-3.21,1538.37,NA,1537.96
-3.23,1538.29,NA,1537.87
-3.13,1538.21,NA,1537.79
-3.58,1538.12,NA,1537.71
-3.76,1538.04,NA,1537.62
-3.92,1537.96,NA,1537.54
-4.04,1537.87,NA,1537.46
-3.83,1537.79,NA,1537.37
-4.13,1537.71,NA,1537.29
-3.93,1537.62,NA,1537.21
-3.77,1537.54,NA,1537.12
-3.24,1537.46,NA,1537.04
-3.34,1537.37,NA,1536.96
-3.23,1537.29,NA,1536.87
-2.95,1537.21,NA,1536.79
-3.07,1537.12,NA,1536.71
-3.18,1537.04,NA,1536.62
-3.11,1536.96,NA,1536.54
-3.28,1536.87,NA,1536.46
-3.57,1536.79,NA,1536.37
-3.66,1536.71,NA,1536.29
-3.7,1536.62,NA,1536.21
-3.61,1536.54,NA,1536.12
-3.63,1536.46,NA,1536.04
-3.56,1536.37,NA,1535.96
-3.49,1536.29,NA,1535.87
-3.22,1536.21,NA,1535.79
-3.26,1536.12,NA,1535.71
-3.31,1536.04,NA,1535.62
-3.5,1535.96,NA,1535.54
-3.63,1535.87,NA,1535.46
-3.84,1535.79,NA,1535.37
-3.75,1535.71,NA,1535.29
-3.66,1535.62,NA,1535.21
-3.56,1535.54,NA,1535.12
-3.34,1535.46,NA,1535.04
-3.2,1535.37,NA,1534.96
-3.22,1535.29,NA,1534.87
-3.03,1535.21,NA,1534.79
-3.14,1535.12,NA,1534.71
-3.24,1535.04,NA,1534.62
-3.65,1534.96,NA,1534.54
-3.84,1534.87,NA,1534.46
-3.93,1534.79,NA,1534.37
-3.94,1534.71,NA,1534.29
-3.83,1534.62,NA,1534.21
-3.63,1534.54,NA,1534.12
-3.47,1534.46,NA,1534.04
-3.13,1534.37,NA,1533.96
-2.95,1534.29,NA,1533.87
-2.53,1534.21,NA,1533.79
-3.03,1534.12,NA,1533.71
-3.21,1534.04,NA,1533.62
-3.42,1533.96,NA,1533.54
-3.3,1533.87,NA,1533.46
-3.57,1533.79,NA,1533.37
-3.58,1533.71,NA,1533.29
-3.57,1533.62,NA,1533.21
-3.62,1533.54,NA,1533.12
-3.44,1533.46,NA,1533.04
-3.17,1533.37,NA,1532.96
-3.3,1533.29,NA,1532.87
-2.97,1533.21,NA,1532.79
-3.1,1533.12,NA,1532.71
-3.25,1533.04,NA,1532.62
-3.3,1532.96,NA,1532.54
-3.45,1532.87,NA,1532.46
-3.67,1532.79,NA,1532.37
-3.8,1532.71,NA,1532.29
-3.64,1532.62,NA,1532.21
-3.68,1532.54,NA,1532.12
-3.63,1532.46,NA,1532.04
-3.51,1532.37,NA,1531.96
-3.26,1532.29,9.04,1531.87
-3.18,1532.21,9.01,1531.79
-3.25,1532.12,8.98,1531.71
-3.44,1532.04,9.12,1531.62
-3.65,1531.96,9.12,1531.54
-3.9,1531.87,9.24,1531.46
-3.84,1531.79,9.26,1531.37
-3.86,1531.71,9.24,1531.29
-3.57,1531.62,9.23,1531.21
-3.49,1531.54,9.25,1531.12
-3.3,1531.46,9.18,1531.04
-3.06,1531.37,9.12,1530.96
-3.01,1531.29,9.12,1530.87
-2.97,1531.21,9.05,1530.79
-3.19,1531.12,9.08,1530.71
-3.29,1531.04,9.08,1530.62
-3.75,1530.96,9.14,1530.54
-3.7,1530.87,9.16,1530.46
-3.85,1530.79,9.14,1530.37
-3.7,1530.71,9.11,1530.29
-3.59,1530.62,9.18,1530.21
-3.62,1530.54,9.13,1530.12
-3.71,1530.46,9.15,1530.04
-3.6,1530.37,9.2,1529.96
-3.45,1530.29,9.07,1529.87
-3.29,1530.21,9.02,1529.79
-3.5,1530.12,8.94,1529.71
-3.41,1530.04,8.91,1529.62
-3.43,1529.96,8.92,1529.54
-3.39,1529.87,9.03,1529.46
-3.61,1529.79,9.04,1529.37
-3.94,1529.71,9.13,1529.29
-3.95,1529.62,9.18,1529.21
-3.66,1529.54,9.26,1529.12
-3.9,1529.46,9.28,1529.04
-3.62,1529.37,9.15,1528.96
-3.33,1529.29,9.03,1528.87
-2.94,1529.21,8.99,1528.79
-3.14,1529.12,8.94,1528.71
-3.18,1529.04,NA,NA
-3.25,1528.96,NA,NA
-3.72,1528.87,NA,NA
-3.92,1528.79,NA,NA
-3.95,1528.71,NA,NA
-3.92,1528.62,NA,NA
-3.9,1528.54,NA,NA
-3.52,1528.46,NA,NA
-3.23,1528.37,NA,NA
-3.23,1528.29,NA,NA
-3.21,1528.21,NA,NA
-3.49,1528.12,NA,NA
-3.73,1528.04,NA,NA
-3.68,1527.96,NA,NA
-3.71,1527.87,NA,NA
-3.65,1527.79,NA,NA
-3.62,1527.71,NA,NA
-3.56,1527.62,NA,NA
-3.32,1527.54,NA,NA
-3.12,1527.46,NA,NA
-3.03,1527.37,NA,NA
-2.95,1527.29,NA,NA
-2.88,1527.21,NA,NA
-3.27,1527.12,NA,NA
-3.47,1527.04,NA,NA
-3.83,1526.96,NA,NA
-3.92,1526.87,NA,NA
-4.1,1526.79,NA,NA
-3.99,1526.71,NA,NA
-3.91,1526.62,NA,NA
-3.83,1526.54,NA,NA
-3.49,1526.46,NA,NA
-3.22,1526.37,NA,NA
-3.21,1526.29,NA,NA
-3.14,1526.21,NA,NA
-3.21,1526.12,NA,NA
-3.26,1526.04,NA,NA
-3.26,1525.96,NA,NA
-3.51,1525.87,NA,NA
-3.69,1525.79,NA,NA
-3.88,1525.71,NA,NA
-3.84,1525.62,NA,NA
-3.86,1525.54,NA,NA
-3.69,1525.46,NA,NA
-3.5,1525.37,NA,NA
-3.31,1525.29,NA,NA
-3.16,1525.21,NA,NA
-3.34,1525.12,NA,NA
-3.38,1525.04,NA,NA
-3.88,1524.96,NA,NA
-4.14,1524.87,NA,NA
-4.05,1524.79,NA,NA
-4.03,1524.71,NA,NA
-3.84,1524.62,NA,NA
-3.8,1524.54,NA,NA
-3.53,1524.46,NA,NA
-3.32,1524.38,NA,NA
-3.16,1524.29,NA,NA
-3.04,1524.21,NA,NA
-3.22,1524.13,NA,NA
-3.51,1524.04,NA,NA
-3.61,1523.96,NA,NA
-3.87,1523.88,NA,NA
-3.92,1523.79,NA,NA
-4.2,1523.71,NA,NA
-4.06,1523.63,NA,NA
-3.79,1523.54,NA,NA
-3.53,1523.46,NA,NA
-3.44,1523.38,NA,NA
-3.3,1523.29,NA,NA
-3.2,1523.21,NA,NA
-3.35,1523.13,NA,NA
-3.68,1523.04,NA,NA
-3.78,1522.96,NA,NA
-3.86,1522.88,NA,NA
-3.96,1522.79,NA,NA
-3.96,1522.71,NA,NA
-4.05,1522.63,NA,NA
-3.93,1522.54,NA,NA
-3.8,1522.46,NA,NA
-3.63,1522.38,NA,NA
-3.52,1522.29,NA,NA
-3.18,1522.21,NA,NA
-3.24,1522.13,NA,NA
-3.32,1522.04,NA,NA
-3.35,1521.96,NA,NA
-3.8,1521.88,NA,NA
-4.07,1521.79,NA,NA
-4.13,1521.71,NA,NA
-4.15,1521.63,NA,NA
-3.93,1521.54,NA,NA
-3.78,1521.46,NA,NA
-3.56,1521.38,NA,NA
-3.36,1521.29,NA,NA
-3.25,1521.21,NA,NA
-3.62,1521.13,NA,NA
-3.8,1521.04,NA,NA
-4.07,1520.96,NA,NA
-4.17,1520.88,NA,NA
-4.18,1520.79,NA,NA
-4.14,1520.71,NA,NA
-4.02,1520.63,NA,NA
-3.94,1520.54,NA,NA
-3.57,1520.46,NA,NA
-3.4,1520.38,NA,NA
-3.33,1520.29,NA,NA
-3.29,1520.21,NA,NA
-3.43,1520.13,NA,NA
-3.57,1520.04,NA,NA
-3.92,1519.96,NA,NA
-4.03,1519.88,NA,NA
-4.16,1519.79,NA,NA
-4.24,1519.71,NA,NA
-4.08,1519.63,NA,NA
-3.97,1519.54,NA,NA
-3.7,1519.46,NA,NA
-3.27,1519.38,NA,NA
-3.25,1519.29,NA,NA
-3.15,1519.21,NA,NA
