deuteriumExcess (permil),year (AD),depth (m)
NA,-1539.14,617.1
NA,-1542.92,617.65
NA,-1546.64,618.2
NA,-1550.33,618.75
NA,-1553.97,619.3
NA,-1557.57,619.85
NA,-1561.16,620.4
NA,-1564.79,620.95
NA,-1568.33,621.5
NA,-1571.9,622.05
NA,-1575.52,622.6
NA,-1579.14,623.15
NA,-1582.78,623.7
NA,-1586.45,624.25
NA,-1590.12,624.8
NA,-1593.82,625.35
NA,-1597.47,625.9
NA,-1601.14,626.45
NA,-1604.85,627
NA,-1608.6,627.55
NA,-1612.27,628.1
NA,-1615.99,628.65
NA,-1619.63,629.2
NA,-1623.32,629.75
NA,-1626.93,630.3
NA,-1630.52,630.85
NA,-1634.07,631.4
NA,-1637.64,631.95
NA,-1641.17,632.5
NA,-1644.72,633.05
NA,-1648.29,633.6
NA,-1651.79,634.15
NA,-1655.29,634.7
NA,-1658.81,635.25
NA,-1662.35,635.8
NA,-1665.95,636.35
NA,-1669.71,636.9
NA,-1673.51,637.45
NA,-1677.35,638
NA,-1681.21,638.55
NA,-1684.98,639.1
NA,-1688.71,639.65
NA,-1692.45,640.2
NA,-1696.17,640.75
NA,-1699.86,641.3
NA,-1703.54,641.85
NA,-1707.2,642.4
NA,-1710.77,642.95
NA,-1714.31,643.5
NA,-1717.85,644.05
NA,-1721.39,644.6
NA,-1724.85,645.15
NA,-1728.32,645.7
NA,-1731.8,646.25
NA,-1735.24,646.8
NA,-1738.69,647.35
NA,-1742.19,647.9
NA,-1745.78,648.45
NA,-1749.36,649
NA,-1753.04,649.55
NA,-1756.76,650.1
NA,-1760.45,650.65
NA,-1764.05,651.2
NA,-1767.63,651.75
NA,-1771.15,652.3
NA,-1774.6,652.85
NA,-1778.09,653.4
NA,-1781.6,653.95
NA,-1785.08,654.5
NA,-1788.62,655.05
NA,-1792.19,655.6
NA,-1795.74,656.15
NA,-1799.3,656.7
NA,-1802.93,657.25
NA,-1806.51,657.8
NA,-1810.14,658.35
NA,-1813.75,658.9
NA,-1817.43,659.45
NA,-1821.15,660
NA,-1824.94,660.55
NA,-1828.73,661.1
NA,-1832.52,661.65
NA,-1836.34,662.2
NA,-1840.07,662.75
NA,-1843.81,663.3
NA,-1847.59,663.85
NA,-1851.34,664.4
NA,-1855.02,664.95
NA,-1858.73,665.5
NA,-1862.39,666.05
NA,-1866.07,666.6
NA,-1869.8,667.15
NA,-1873.52,667.7
NA,-1877.19,668.25
NA,-1880.89,668.8
NA,-1884.5,669.35
NA,-1888.17,669.9
NA,-1891.92,670.45
NA,-1895.74,671
NA,-1899.58,671.55
NA,-1903.53,672.1
NA,-1907.32,672.65
NA,-1911.06,673.2
NA,-1914.74,673.75
NA,-1918.43,674.3
NA,-1922.1,674.85
NA,-1925.84,675.4
NA,-1929.67,675.95
NA,-1933.53,676.5
NA,-1937.35,677.05
NA,-1941.16,677.6
NA,-1944.9,678.15
NA,-1948.6,678.7
NA,-1952.32,679.25
NA,-1956.11,679.8
NA,-1959.91,680.35
NA,-1963.74,680.9
NA,-1967.56,681.45
NA,-1971.38,682
NA,-1975.09,682.55
NA,-1978.76,683.1
NA,-1982.56,683.65
NA,-1986.38,684.2
NA,-1990.17,684.75
NA,-1993.93,685.3
NA,-1997.69,685.85
NA,-2001.4,686.4
NA,-2005.06,686.95
NA,-2008.79,687.5
NA,-2012.64,688.05
NA,-2016.54,688.6
NA,-2020.35,689.15
NA,-2024.16,689.7
NA,-2027.94,690.25
NA,-2031.59,690.8
NA,-2035.2,691.35
NA,-2038.92,691.9
NA,-2042.68,692.45
NA,-2046.39,693
NA,-2050.16,693.55
NA,-2053.99,694.1
NA,-2057.75,694.65
NA,-2061.59,695.2
NA,-2065.38,695.75
NA,-2069.17,696.3
NA,-2072.85,696.85
NA,-2076.46,697.4
NA,-2080,697.95
NA,-2083.63,698.5
NA,-2087.19,699.05
NA,-2090.84,699.6
NA,-2094.53,700.15
NA,-2098.23,700.7
NA,-2101.91,701.25
NA,-2105.7,701.8
NA,-2109.52,702.35
NA,-2113.36,702.9
NA,-2117.22,703.45
NA,-2121.08,704
NA,-2124.88,704.55
NA,-2128.64,705.1
NA,-2132.37,705.65
NA,-2136.06,706.2
NA,-2139.74,706.75
NA,-2143.52,707.3
NA,-2147.34,707.85
NA,-2151.26,708.4
NA,-2155.23,708.95
NA,-2159.26,709.5
NA,-2163.33,710.05
NA,-2167.35,710.6
NA,-2171.29,711.15
NA,-2175.18,711.7
NA,-2178.99,712.25
NA,-2182.72,712.8
NA,-2186.47,713.35
NA,-2190.17,713.9
NA,-2193.86,714.45
NA,-2197.62,715
NA,-2201.35,715.55
NA,-2205.09,716.1
NA,-2208.91,716.65
NA,-2212.82,717.2
NA,-2216.62,717.75
NA,-2220.4,718.3
NA,-2224.08,718.85
NA,-2227.76,719.4
NA,-2231.44,719.95
NA,-2235.19,720.5
NA,-2238.97,721.05
NA,-2242.85,721.6
NA,-2246.65,722.15
NA,-2250.39,722.7
NA,-2254.17,723.25
NA,-2257.98,723.8
NA,-2261.8,724.35
NA,-2265.59,724.9
NA,-2269.35,725.45
NA,-2272.97,726
NA,-2276.57,726.55
NA,-2280.21,727.1
NA,-2283.89,727.65
NA,-2287.62,728.2
NA,-2291.41,728.75
NA,-2295.15,729.3
NA,-2298.83,729.85
NA,-2302.59,730.4
NA,-2306.38,730.95
NA,-2310.22,731.5
NA,-2314.13,732.05
NA,-2318.06,732.6
NA,-2321.95,733.15
NA,-2325.83,733.7
NA,-2329.74,734.25
NA,-2333.66,734.8
NA,-2337.6,735.35
NA,-2341.5,735.9
NA,-2345.35,736.45
NA,-2349.14,737
NA,-2352.9,737.55
NA,-2356.56,738.1
NA,-2360.22,738.65
NA,-2363.96,739.2
NA,-2367.7,739.75
NA,-2371.46,740.3
NA,-2375.33,740.85
NA,-2379.17,741.4
NA,-2382.99,741.95
NA,-2386.82,742.5
NA,-2390.57,743.05
NA,-2394.29,743.6
NA,-2398,744.15
NA,-2401.68,744.7
NA,-2405.39,745.25
NA,-2409.14,745.8
NA,-2412.98,746.35
NA,-2416.93,746.9
NA,-2420.91,747.45
NA,-2424.84,748
NA,-2428.76,748.55
NA,-2432.64,749.1
NA,-2436.48,749.65
NA,-2440.39,750.2
NA,-2444.29,750.75
NA,-2448.28,751.3
NA,-2452.34,751.85
NA,-2456.44,752.4
NA,-2460.39,752.95
NA,-2464.45,753.5
NA,-2468.4,754.05
NA,-2472.25,754.6
NA,-2475.98,755.15
NA,-2479.78,755.7
NA,-2483.54,756.25
NA,-2487.35,756.8
NA,-2491.12,757.35
NA,-2494.94,757.9
NA,-2498.71,758.45
NA,-2502.48,759
NA,-2506.12,759.55
NA,-2509.78,760.1
NA,-2513.43,760.65
NA,-2517.09,761.2
NA,-2520.75,761.75
NA,-2524.57,762.3
NA,-2528.38,762.85
NA,-2532.29,763.4
NA,-2536.22,763.95
NA,-2540.14,764.5
NA,-2544.08,765.05
NA,-2548.12,765.6
NA,-2552.08,766.15
NA,-2556,766.7
NA,-2559.88,767.25
NA,-2563.72,767.8
NA,-2567.51,768.35
NA,-2571.35,768.9
NA,-2575.28,769.45
NA,-2579.27,770
NA,-2583.25,770.55
NA,-2587.2,771.1
NA,-2591.07,771.65
NA,-2594.92,772.2
NA,-2598.73,772.75
NA,-2602.51,773.3
NA,-2606.27,773.85
NA,-2609.97,774.4
NA,-2613.69,774.95
NA,-2617.41,775.5
NA,-2621.13,776.05
NA,-2624.88,776.6
NA,-2628.68,777.15
NA,-2632.46,777.7
NA,-2636.24,778.25
NA,-2640.02,778.8
NA,-2643.76,779.35
NA,-2647.56,779.9
NA,-2651.37,780.45
NA,-2655.17,781
NA,-2658.98,781.55
NA,-2662.84,782.1
NA,-2666.7,782.65
NA,-2670.51,783.2
NA,-2674.42,783.75
NA,-2678.37,784.3
NA,-2682.38,784.85
NA,-2686.38,785.4
NA,-2690.36,785.95
NA,-2694.25,786.5
NA,-2698.07,787.05
NA,-2701.81,787.6
NA,-2705.61,788.15
NA,-2709.47,788.7
NA,-2713.37,789.25
NA,-2717.46,789.8
NA,-2721.71,790.35
NA,-2725.87,790.9
NA,-2729.99,791.45
NA,-2734,792
NA,-2737.94,792.55
NA,-2741.79,793.1
NA,-2745.61,793.65
NA,-2749.43,794.2
NA,-2753.31,794.75
NA,-2757.1,795.3
NA,-2760.91,795.85
NA,-2764.73,796.4
NA,-2768.6,796.95
NA,-2772.47,797.5
NA,-2776.42,798.05
NA,-2780.32,798.6
NA,-2784.29,799.15
NA,-2788.25,799.7
NA,-2792.22,800.25
NA,-2796.15,800.8
NA,-2800.07,801.35
NA,-2803.9,801.9
NA,-2807.75,802.45
NA,-2811.59,803
NA,-2815.44,803.55
NA,-2819.28,804.1
NA,-2823.16,804.65
NA,-2827,805.2
NA,-2830.92,805.75
NA,-2834.83,806.3
NA,-2838.72,806.85
NA,-2842.62,807.4
NA,-2846.52,807.95
NA,-2850.41,808.5
NA,-2854.32,809.05
NA,-2858.26,809.6
NA,-2862.25,810.15
NA,-2866.26,810.7
NA,-2870.21,811.25
NA,-2874.16,811.8
NA,-2878.08,812.35
NA,-2881.92,812.9
NA,-2885.75,813.45
NA,-2889.64,814
NA,-2893.55,814.55
NA,-2897.54,815.1
NA,-2901.59,815.65
NA,-2905.64,816.2
NA,-2909.54,816.75
NA,-2913.5,817.3
NA,-2917.46,817.85
NA,-2921.37,818.4
NA,-2925.23,818.95
NA,-2929.18,819.5
NA,-2933.07,820.05
NA,-2937.02,820.6
NA,-2940.89,821.15
NA,-2944.82,821.7
NA,-2948.69,822.25
NA,-2952.52,822.8
NA,-2956.29,823.35
NA,-2960.18,823.9
NA,-2964.06,824.45
NA,-2967.95,825
NA,-2971.85,825.55
NA,-2975.73,826.1
NA,-2979.61,826.65
NA,-2983.48,827.2
NA,-2987.33,827.75
NA,-2991.17,828.3
NA,-2994.99,828.85
NA,-2998.78,829.4
NA,-3002.6,829.95
NA,-3006.44,830.5
NA,-3010.35,831.05
NA,-3014.24,831.6
NA,-3018.21,832.15
NA,-3022.21,832.7
NA,-3026.24,833.25
NA,-3030.16,833.8
NA,-3034.18,834.35
NA,-3038.2,834.9
NA,-3042.1,835.45
NA,-3045.96,836
NA,-3049.94,836.55
NA,-3053.86,837.1
NA,-3057.76,837.65
NA,-3061.7,838.2
NA,-3065.75,838.75
NA,-3069.73,839.3
NA,-3073.72,839.85
NA,-3077.71,840.4
NA,-3081.69,840.95
NA,-3085.66,841.5
NA,-3089.72,842.05
NA,-3093.71,842.6
NA,-3097.65,843.15
NA,-3101.57,843.7
NA,-3105.53,844.25
NA,-3109.47,844.8
NA,-3113.4,845.35
NA,-3117.44,845.9
NA,-3121.57,846.45
NA,-3125.59,847
NA,-3129.66,847.55
NA,-3133.75,848.1
NA,-3137.72,848.65
NA,-3141.62,849.2
NA,-3145.52,849.75
NA,-3149.42,850.3
NA,-3153.35,850.85
NA,-3157.38,851.4
NA,-3161.52,851.95
NA,-3165.62,852.5
NA,-3169.73,853.05
NA,-3173.81,853.6
NA,-3177.85,854.15
NA,-3181.84,854.7
NA,-3185.92,855.25
NA,-3190,855.8
NA,-3194.11,856.35
NA,-3198.17,856.9
NA,-3202.26,857.45
NA,-3206.25,858
NA,-3210.14,858.55
NA,-3214,859.1
NA,-3217.86,859.65
NA,-3221.64,860.2
NA,-3225.48,860.75
NA,-3229.39,861.3
NA,-3233.4,861.85
NA,-3237.37,862.4
NA,-3241.37,862.95
NA,-3245.4,863.5
NA,-3249.45,864.05
NA,-3253.41,864.6
NA,-3257.4,865.15
NA,-3261.47,865.7
NA,-3265.53,866.25
NA,-3269.55,866.8
NA,-3273.57,867.35
NA,-3277.64,867.9
NA,-3281.67,868.45
NA,-3285.66,869
NA,-3289.62,869.55
NA,-3293.6,870.1
NA,-3297.57,870.65
NA,-3301.58,871.2
NA,-3305.6,871.75
NA,-3309.69,872.3
NA,-3313.83,872.85
NA,-3318.05,873.4
NA,-3322.25,873.95
NA,-3326.55,874.5
NA,-3330.83,875.05
NA,-3335.07,875.6
NA,-3339.21,876.15
NA,-3343.33,876.7
NA,-3347.34,877.25
NA,-3351.36,877.8
NA,-3355.35,878.35
NA,-3359.43,878.9
NA,-3363.54,879.45
NA,-3367.67,880
NA,-3371.93,880.55
NA,-3376.24,881.1
NA,-3380.45,881.65
NA,-3384.68,882.2
NA,-3388.85,882.75
NA,-3392.97,883.3
NA,-3397.1,883.85
NA,-3401.28,884.4
NA,-3405.37,884.95
NA,-3409.54,885.5
NA,-3413.67,886.05
NA,-3417.76,886.6
NA,-3421.85,887.15
NA,-3425.99,887.7
NA,-3430.09,888.25
NA,-3434.17,888.8
NA,-3438.35,889.35
NA,-3442.54,889.9
NA,-3446.75,890.45
NA,-3450.92,891
NA,-3455.01,891.55
NA,-3459.01,892.1
NA,-3463.02,892.65
NA,-3466.97,893.2
NA,-3470.95,893.75
NA,-3474.99,894.3
NA,-3479.1,894.85
NA,-3483.18,895.4
NA,-3487.3,895.95
NA,-3491.46,896.5
NA,-3495.59,897.05
NA,-3499.72,897.6
NA,-3503.81,898.15
NA,-3507.91,898.7
NA,-3512.03,899.25
NA,-3516.07,899.8
NA,-3520.1,900.35
NA,-3524.16,900.9
NA,-3528.23,901.45
NA,-3532.17,902
NA,-3536.24,902.55
NA,-3540.26,903.1
NA,-3544.25,903.65
NA,-3548.26,904.2
NA,-3552.41,904.75
NA,-3556.52,905.3
NA,-3560.64,905.85
NA,-3564.74,906.4
NA,-3568.84,906.95
NA,-3572.88,907.5
NA,-3576.91,908.05
NA,-3580.93,908.6
NA,-3584.93,909.15
NA,-3588.94,909.7
NA,-3592.98,910.25
NA,-3596.96,910.8
NA,-3600.99,911.35
NA,-3605.11,911.9
NA,-3609.18,912.45
NA,-3613.33,913
NA,-3617.59,913.55
NA,-3621.9,914.1
NA,-3626.22,914.65
NA,-3630.55,915.2
NA,-3634.7,915.75
NA,-3638.85,916.3
NA,-3642.93,916.85
NA,-3646.99,917.4
NA,-3651.18,917.95
NA,-3655.48,918.5
NA,-3659.68,919.05
NA,-3663.84,919.6
NA,-3667.95,920.15
NA,-3671.94,920.7
NA,-3675.88,921.25
NA,-3679.88,921.8
NA,-3683.98,922.35
NA,-3688.08,922.9
NA,-3692.31,923.45
NA,-3696.62,924
NA,-3700.98,924.55
NA,-3705.27,925.1
NA,-3709.6,925.65
NA,-3713.9,926.2
NA,-3718.2,926.75
NA,-3722.46,927.3
NA,-3726.65,927.85
NA,-3730.83,928.4
NA,-3735,928.95
NA,-3739.2,929.5
NA,-3743.44,930.05
NA,-3747.72,930.6
NA,-3752.02,931.15
NA,-3756.22,931.7
NA,-3760.36,932.25
NA,-3764.43,932.8
NA,-3768.54,933.35
NA,-3772.74,933.9
NA,-3776.97,934.45
NA,-3781.17,935
NA,-3785.4,935.55
NA,-3789.65,936.1
NA,-3793.77,936.65
NA,-3797.84,937.2
NA,-3801.95,937.75
NA,-3806.14,938.3
NA,-3810.26,938.85
NA,-3814.42,939.4
NA,-3818.62,939.95
NA,-3822.8,940.5
NA,-3826.93,941.05
NA,-3831.11,941.6
NA,-3835.31,942.15
NA,-3839.52,942.7
NA,-3843.75,943.25
NA,-3847.95,943.8
NA,-3852.14,944.35
NA,-3856.28,944.9
NA,-3860.54,945.45
NA,-3864.84,946
NA,-3869.13,946.55
NA,-3873.41,947.1
NA,-3877.78,947.65
NA,-3882.07,948.2
NA,-3886.26,948.75
NA,-3890.52,949.3
NA,-3894.73,949.85
NA,-3898.87,950.4
NA,-3902.9,950.95
NA,-3906.93,951.5
NA,-3910.88,952.05
NA,-3914.79,952.6
NA,-3918.82,953.15
NA,-3922.87,953.7
NA,-3926.95,954.25
NA,-3931.14,954.8
NA,-3935.37,955.35
NA,-3939.49,955.9
NA,-3943.59,956.45
NA,-3947.76,957
NA,-3951.87,957.55
NA,-3956.04,958.1
NA,-3960.21,958.65
NA,-3964.55,959.2
NA,-3968.81,959.75
NA,-3973.06,960.3
NA,-3977.27,960.85
NA,-3981.59,961.4
NA,-3985.83,961.95
NA,-3990.16,962.5
NA,-3994.54,963.05
NA,-3998.99,963.6
NA,-4003.25,964.15
NA,-4007.53,964.7
NA,-4011.73,965.25
NA,-4015.95,965.8
NA,-4020.15,966.35
NA,-4024.52,966.9
NA,-4028.84,967.45
NA,-4033.21,968
NA,-4037.65,968.55
NA,-4042.02,969.1
NA,-4046.34,969.65
NA,-4050.75,970.2
NA,-4055.1,970.75
NA,-4059.3,971.3
NA,-4063.6,971.85
NA,-4067.94,972.4
NA,-4072.24,972.95
NA,-4076.68,973.5
NA,-4081.24,974.05
NA,-4085.68,974.6
NA,-4090.06,975.15
NA,-4094.41,975.7
NA,-4098.61,976.25
NA,-4102.79,976.8
NA,-4107.03,977.35
NA,-4111.32,977.9
NA,-4115.67,978.45
NA,-4120.07,979
NA,-4124.53,979.55
NA,-4129.06,980.1
NA,-4133.42,980.65
NA,-4137.75,981.2
NA,-4142.03,981.75
NA,-4146.28,982.3
NA,-4150.45,982.85
NA,-4154.64,983.4
NA,-4158.81,983.95
NA,-4162.97,984.5
NA,-4167.1,985.05
NA,-4171.21,985.6
NA,-4175.41,986.15
NA,-4179.63,986.7
NA,-4183.94,987.25
NA,-4188.21,987.8
NA,-4192.52,988.35
NA,-4196.88,988.9
NA,-4201.25,989.45
NA,-4205.66,990
NA,-4210.13,990.55
NA,-4214.57,991.1
NA,-4218.9,991.65
NA,-4223.22,992.2
NA,-4227.56,992.75
NA,-4231.91,993.3
NA,-4236.19,993.85
NA,-4240.49,994.4
NA,-4244.76,994.95
NA,-4248.96,995.5
NA,-4253.15,996.05
NA,-4257.44,996.6
NA,-4261.79,997.15
NA,-4266.15,997.7
NA,-4270.59,998.25
NA,-4275.11,998.8
NA,-4279.58,999.35
NA,-4283.99,999.9
NA,-4288.37,1000.45
NA,-4292.68,1001
NA,-4296.94,1001.55
NA,-4301.26,1002.1
NA,-4305.65,1002.65
NA,-4310.11,1003.2
NA,-4314.56,1003.75
NA,-4319.06,1004.3
NA,-4323.46,1004.85
NA,-4327.8,1005.4
NA,-4332.11,1005.95
NA,-4336.46,1006.5
NA,-4340.78,1007.05
NA,-4345.14,1007.6
NA,-4349.56,1008.15
NA,-4353.97,1008.7
NA,-4358.34,1009.25
NA,-4362.66,1009.8
NA,-4366.97,1010.35
NA,-4371.25,1010.9
NA,-4375.57,1011.45
NA,-4379.94,1012
NA,-4384.38,1012.55
NA,-4388.85,1013.1
NA,-4393.38,1013.65
NA,-4397.91,1014.2
NA,-4402.36,1014.75
NA,-4406.77,1015.3
NA,-4411.11,1015.85
NA,-4415.37,1016.4
NA,-4419.62,1016.95
NA,-4423.89,1017.5
NA,-4428.18,1018.05
NA,-4432.54,1018.6
NA,-4436.96,1019.15
NA,-4441.25,1019.7
NA,-4445.55,1020.25
NA,-4449.82,1020.8
NA,-4454.03,1021.35
NA,-4458.22,1021.9
NA,-4462.56,1022.45
NA,-4466.92,1023
NA,-4471.26,1023.55
NA,-4475.69,1024.1
NA,-4480.13,1024.65
NA,-4484.46,1025.2
NA,-4488.78,1025.75
NA,-4493.14,1026.3
NA,-4497.46,1026.85
NA,-4501.83,1027.4
NA,-4506.26,1027.95
NA,-4510.6,1028.5
NA,-4514.92,1029.05
NA,-4519.27,1029.6
NA,-4523.58,1030.15
NA,-4527.91,1030.7
NA,-4532.32,1031.25
NA,-4536.68,1031.8
NA,-4541.02,1032.35
NA,-4545.43,1032.9
NA,-4549.88,1033.45
NA,-4554.47,1034
NA,-4559.09,1034.55
NA,-4563.83,1035.1
NA,-4568.49,1035.65
NA,-4573.05,1036.2
NA,-4577.45,1036.75
NA,-4582.01,1037.3
NA,-4586.46,1037.85
NA,-4590.96,1038.4
NA,-4595.49,1038.95
NA,-4600.03,1039.5
NA,-4604.43,1040.05
NA,-4608.87,1040.6
NA,-4613.21,1041.15
NA,-4617.5,1041.7
NA,-4621.78,1042.25
NA,-4626.09,1042.8
NA,-4630.39,1043.35
NA,-4634.74,1043.9
NA,-4639.2,1044.45
NA,-4643.59,1045
NA,-4647.99,1045.55
NA,-4652.41,1046.1
NA,-4656.89,1046.65
NA,-4661.41,1047.2
NA,-4665.9,1047.75
NA,-4670.41,1048.3
NA,-4674.85,1048.85
NA,-4679.24,1049.4
NA,-4683.57,1049.95
NA,-4688.03,1050.5
NA,-4692.47,1051.05
NA,-4696.97,1051.6
NA,-4701.46,1052.15
NA,-4705.93,1052.7
NA,-4710.33,1053.25
NA,-4714.71,1053.8
NA,-4719.06,1054.35
NA,-4723.37,1054.9
NA,-4727.76,1055.45
NA,-4732.21,1056
NA,-4736.62,1056.55
NA,-4741.05,1057.1
NA,-4745.56,1057.65
NA,-4749.95,1058.2
NA,-4754.32,1058.75
NA,-4758.76,1059.3
NA,-4763.25,1059.85
NA,-4767.72,1060.4
NA,-4772.18,1060.95
NA,-4776.66,1061.5
NA,-4781.1,1062.05
NA,-4785.54,1062.6
NA,-4790.05,1063.15
NA,-4794.68,1063.7
NA,-4799.31,1064.25
NA,-4803.96,1064.8
NA,-4808.59,1065.35
NA,-4813.14,1065.9
NA,-4817.63,1066.45
NA,-4822.04,1067
NA,-4826.48,1067.55
NA,-4830.88,1068.1
NA,-4835.29,1068.65
NA,-4839.72,1069.2
NA,-4844.16,1069.75
NA,-4848.65,1070.3
NA,-4853.1,1070.85
NA,-4857.6,1071.4
NA,-4862.07,1071.95
NA,-4866.56,1072.5
NA,-4871.02,1073.05
NA,-4875.55,1073.6
NA,-4880.07,1074.15
NA,-4884.64,1074.7
NA,-4889.23,1075.25
NA,-4893.73,1075.8
NA,-4898.27,1076.35
NA,-4902.78,1076.9
NA,-4907.3,1077.45
NA,-4911.84,1078
NA,-4916.49,1078.55
NA,-4921.06,1079.1
NA,-4925.62,1079.65
NA,-4930.1,1080.2
NA,-4934.56,1080.75
NA,-4938.96,1081.3
NA,-4943.38,1081.85
NA,-4947.79,1082.4
NA,-4952.2,1082.95
NA,-4956.64,1083.5
NA,-4961.17,1084.05
NA,-4965.7,1084.6
NA,-4970.3,1085.15
NA,-4975.04,1085.7
NA,-4979.84,1086.25
NA,-4984.53,1086.8
NA,-4989.19,1087.35
NA,-4993.8,1087.9
NA,-4998.36,1088.45
NA,-5002.82,1089
NA,-5007.32,1089.55
NA,-5011.84,1090.1
NA,-5016.37,1090.65
NA,-5020.95,1091.2
NA,-5025.56,1091.75
NA,-5030.16,1092.3
NA,-5034.82,1092.85
NA,-5039.46,1093.4
NA,-5044.02,1093.95
NA,-5048.58,1094.5
NA,-5053.25,1095.05
NA,-5057.83,1095.6
NA,-5062.42,1096.15
NA,-5067.1,1096.7
NA,-5071.76,1097.25
NA,-5076.34,1097.8
NA,-5081.02,1098.35
NA,-5085.63,1098.9
NA,-5090.15,1099.45
NA,-5094.66,1100
NA,-5099.27,1100.55
NA,-5103.8,1101.1
NA,-5108.42,1101.65
NA,-5113.13,1102.2
NA,-5117.83,1102.75
NA,-5122.45,1103.3
NA,-5127.13,1103.85
NA,-5131.82,1104.4
NA,-5136.52,1104.95
NA,-5141.25,1105.5
NA,-5145.92,1106.05
NA,-5150.51,1106.6
NA,-5155.1,1107.15
NA,-5159.69,1107.7
NA,-5164.32,1108.25
NA,-5168.98,1108.8
NA,-5173.8,1109.35
NA,-5178.59,1109.9
NA,-5183.27,1110.45
NA,-5187.94,1111
NA,-5192.68,1111.55
NA,-5197.32,1112.1
NA,-5201.95,1112.65
NA,-5206.59,1113.2
NA,-5211.28,1113.75
NA,-5215.91,1114.3
NA,-5220.56,1114.85
NA,-5225.23,1115.4
NA,-5230,1115.95
NA,-5234.72,1116.5
NA,-5239.45,1117.05
NA,-5244.14,1117.6
NA,-5248.89,1118.15
NA,-5253.65,1118.7
NA,-5258.33,1119.25
NA,-5263,1119.8
NA,-5267.67,1120.35
NA,-5272.26,1120.9
NA,-5276.79,1121.45
NA,-5281.35,1122
NA,-5286.02,1122.55
NA,-5290.65,1123.1
NA,-5295.39,1123.65
NA,-5300.2,1124.2
NA,-5305,1124.75
NA,-5309.73,1125.3
NA,-5314.48,1125.85
NA,-5319.21,1126.4
NA,-5323.95,1126.95
NA,-5328.7,1127.5
NA,-5333.4,1128.05
NA,-5338.15,1128.6
NA,-5342.93,1129.15
NA,-5347.57,1129.7
NA,-5352.21,1130.25
NA,-5356.89,1130.8
NA,-5361.59,1131.35
NA,-5366.29,1131.9
NA,-5371.07,1132.45
NA,-5375.79,1133
NA,-5380.55,1133.55
NA,-5385.24,1134.1
NA,-5389.89,1134.65
NA,-5394.46,1135.2
NA,-5399.02,1135.75
NA,-5403.56,1136.3
NA,-5408.11,1136.85
NA,-5412.71,1137.4
NA,-5417.41,1137.95
NA,-5422.09,1138.5
NA,-5426.83,1139.05
NA,-5431.55,1139.6
NA,-5436.27,1140.15
NA,-5440.87,1140.7
NA,-5445.53,1141.25
NA,-5450.17,1141.8
NA,-5454.93,1142.35
NA,-5459.66,1142.9
NA,-5464.4,1143.45
NA,-5469.12,1144
NA,-5473.8,1144.55
NA,-5478.34,1145.1
NA,-5482.87,1145.65
NA,-5487.46,1146.2
NA,-5491.98,1146.75
NA,-5496.56,1147.3
NA,-5501.23,1147.85
NA,-5505.84,1148.4
NA,-5510.5,1148.95
NA,-5515.28,1149.5
NA,-5520.03,1150.05
NA,-5524.74,1150.6
NA,-5529.54,1151.15
NA,-5534.33,1151.7
NA,-5539.1,1152.25
NA,-5543.9,1152.8
NA,-5548.8,1153.35
NA,-5553.68,1153.9
NA,-5558.63,1154.45
NA,-5563.52,1155
NA,-5568.41,1155.55
NA,-5573.1,1156.1
NA,-5577.77,1156.65
NA,-5582.38,1157.2
NA,-5587.04,1157.75
NA,-5591.69,1158.3
NA,-5596.42,1158.85
NA,-5601.15,1159.4
NA,-5605.87,1159.95
NA,-5610.51,1160.5
NA,-5615.09,1161.05
NA,-5619.66,1161.6
NA,-5624.2,1162.15
NA,-5628.77,1162.7
NA,-5633.36,1163.25
NA,-5638.11,1163.8
NA,-5642.86,1164.35
NA,-5647.67,1164.9
NA,-5652.51,1165.45
NA,-5657.3,1166
NA,-5661.95,1166.55
NA,-5666.6,1167.1
NA,-5671.22,1167.65
NA,-5675.76,1168.2
NA,-5680.37,1168.75
NA,-5684.98,1169.3
NA,-5689.61,1169.85
NA,-5694.31,1170.4
NA,-5699.12,1170.95
NA,-5703.88,1171.5
NA,-5708.67,1172.05
NA,-5713.43,1172.6
NA,-5718.19,1173.15
NA,-5722.95,1173.7
NA,-5727.64,1174.25
NA,-5732.31,1174.8
NA,-5736.99,1175.35
NA,-5741.65,1175.9
NA,-5746.23,1176.45
NA,-5750.94,1177
NA,-5755.71,1177.55
NA,-5760.5,1178.1
NA,-5765.28,1178.65
NA,-5770.17,1179.2
NA,-5774.98,1179.75
NA,-5779.74,1180.3
NA,-5784.5,1180.85
NA,-5789.27,1181.4
NA,-5793.95,1181.95
NA,-5798.7,1182.5
NA,-5803.48,1183.05
NA,-5808.19,1183.6
NA,-5812.77,1184.15
NA,-5817.35,1184.7
NA,-5821.91,1185.25
NA,-5826.46,1185.8
NA,-5831.11,1186.35
NA,-5835.9,1186.9
NA,-5840.67,1187.45
NA,-5845.42,1188
NA,-5850.18,1188.55
NA,-5854.93,1189.1
NA,-5859.63,1189.65
NA,-5864.41,1190.2
NA,-5869.18,1190.75
NA,-5873.91,1191.3
NA,-5878.6,1191.85
NA,-5883.39,1192.4
NA,-5888.21,1192.95
NA,-5893.07,1193.5
NA,-5898.08,1194.05
NA,-5903.2,1194.6
NA,-5908.26,1195.15
NA,-5913.2,1195.7
NA,-5918.16,1196.25
NA,-5923.11,1196.8
NA,-5927.96,1197.35
NA,-5932.82,1197.9
