Mg_Ca (mmol/mol),year (AD),depth (cm),temperature (degC),d18O (permil),d18O (per mil),Mg_Ca (mmol/mol) [2-1],year (AD) [2-1],depth (cm) [2-1],temperature (degC) [2-1],dD (permil) [3-1],year (AD) [3-1],depth (cm) [3-1]
3.47,-75410,1930.5,25.37,0.62,-1.5,NA,NA,NA,NA,NA,NA,NA
3.6,-75480,1932.5,25.78,0.53,-1.67,NA,NA,NA,NA,NA,NA,NA
3.74,-75580,1935.5,26.2,0.71,-1.58,NA,NA,NA,NA,NA,NA,NA
3.58,-75640,1937.5,25.73,0.63,-1.56,NA,NA,NA,NA,NA,NA,NA
3.33,-75740,1940.5,24.91,0.65,-1.37,NA,NA,NA,NA,NA,NA,NA
3.55,-75810,1942.5,25.63,0.65,-1.52,NA,NA,NA,NA,NA,NA,NA
3.24,-75910,1945.5,24.6,0.45,-1.5,NA,NA,NA,NA,NA,NA,NA
3.46,-75970,1947.5,25.34,0.77,-1.33,NA,NA,NA,NA,NA,NA,NA
3.25,-76070,1950.5,24.66,0.47,-1.5,NA,NA,NA,NA,NA,NA,NA
3.23,-76140,1952.5,24.58,0.3,-1.65,NA,NA,NA,NA,NA,NA,NA
3.39,-76220,1955.5,25.12,0.6,-1.47,NA,NA,NA,NA,NA,NA,NA
3.44,-76260,1957.5,25.28,0.41,-1.68,NA,NA,NA,NA,NA,NA,NA
3.24,-76310,1960.5,24.61,0.08,-1.88,NA,NA,NA,NA,NA,NA,NA
3.52,-76350,1962.5,25.52,0.04,-2.11,NA,NA,NA,NA,NA,NA,NA
3.21,-76400,1965.5,24.5,-0.05,-1.98,NA,NA,NA,NA,NA,NA,NA
3.15,-76440,1967.5,24.31,0.03,-1.86,NA,NA,NA,NA,NA,NA,NA
3.03,-76500,1970.5,23.87,0.23,-1.57,NA,NA,NA,NA,NA,NA,NA
3.12,-76530,1972.5,24.21,0.01,-1.86,NA,NA,NA,NA,NA,NA,NA
3.11,-76590,1975.5,24.16,-0.54,-2.41,NA,NA,NA,NA,NA,NA,NA
3.62,-76620,1977.5,25.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.25,-76680,1980.5,24.66,-0.87,-2.83,NA,NA,NA,NA,NA,NA,NA
3.35,-76730,1982.5,24.98,-0.54,-2.57,NA,NA,NA,NA,NA,NA,NA
3.51,-76810,1985.5,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.33,-76860,1987.5,24.92,-0.43,-2.45,NA,NA,NA,NA,NA,NA,NA
3.24,-76940,1990.5,24.61,-0.75,-2.71,NA,NA,NA,NA,NA,NA,NA
3.46,-76990,1992.5,25.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.21,-77070,1995.5,24.51,-0.14,-2.07,NA,NA,NA,NA,NA,NA,NA
3.33,-77120,1997.5,24.91,-0.37,-2.39,NA,NA,NA,NA,NA,NA,NA
3.43,-77200,2000.5,25.25,-0.11,-2.2,NA,NA,NA,NA,NA,NA,NA
3.13,-77250,2002.5,24.25,-0.38,-2.26,NA,NA,NA,NA,NA,NA,NA
3.35,-77330,2005.5,24.98,-0.3,-2.33,NA,NA,NA,NA,NA,NA,NA
3.25,-77380,2007.5,24.65,-0.42,-2.39,NA,NA,NA,NA,NA,NA,NA
3.08,-77450,2010.5,24.03,-0.49,-2.33,NA,NA,NA,NA,NA,NA,NA
3.32,-77510,2012.5,24.87,-0.37,-2.38,NA,NA,NA,NA,NA,NA,NA
3.51,-77580,2015.5,25.49,-0.71,-2.85,NA,NA,NA,NA,NA,NA,NA
3.06,-77630,2017.5,23.99,-0.71,-2.54,NA,NA,NA,NA,NA,NA,NA
3.01,-77710,2020.5,23.79,-0.91,-2.7,NA,NA,NA,NA,NA,NA,NA
3.1,-77760,2022.5,24.13,-0.74,-2.6,NA,NA,NA,NA,NA,NA,NA
3.17,-77840,2025.5,24.37,-0.7,-2.6,NA,NA,NA,NA,NA,NA,NA
3.3,-77890,2027.5,24.83,-0.51,-2.51,NA,NA,NA,NA,NA,NA,NA
3.22,-77970,2030.5,24.54,-0.55,-2.49,NA,NA,NA,NA,NA,NA,NA
3.2,-78090,2032.5,24.48,-0.28,-2.21,NA,NA,NA,NA,NA,NA,NA
3.42,-78260,2035.5,25.21,-0.25,-2.34,NA,NA,NA,NA,NA,NA,NA
NA,-78370,2037.5,NA,NA,-2.2,NA,NA,NA,NA,NA,NA,NA
3.27,-78550,2040.5,24.71,-0.44,-2.42,NA,NA,NA,NA,NA,NA,NA
3.27,-78660,2042.5,24.71,-0.73,-2.7,NA,NA,NA,NA,NA,NA,NA
3.23,-78830,2045.5,24.56,-0.5,-2.45,NA,NA,NA,NA,NA,NA,NA
3.25,-78950,2047.5,24.66,-0.62,-2.58,NA,NA,NA,NA,NA,NA,NA
3.24,-79120,2050.5,24.62,-0.8,-2.76,NA,NA,NA,NA,NA,NA,NA
3.24,-79240,2052.5,24.63,-0.65,-2.61,NA,NA,NA,NA,NA,NA,NA
3.43,-79410,2055.5,25.24,-0.51,-2.6,NA,NA,NA,NA,NA,NA,NA
3.05,-79520,2057.5,23.94,-0.82,-2.64,NA,NA,NA,NA,NA,NA,NA
3.32,-79700,2060.5,24.87,-0.3,-2.31,NA,NA,NA,NA,NA,NA,NA
3.31,-79810,2062.5,24.86,-0.27,-2.27,NA,NA,NA,NA,NA,NA,NA
3.49,-79990,2065.5,25.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.37,-80100,2067.5,25.04,-0.43,-2.48,NA,NA,NA,NA,NA,NA,NA
3.43,-80270,2070.5,25.24,-0.68,-2.76,NA,NA,NA,NA,NA,NA,NA
3.23,-80390,2072.5,24.59,-0.33,-2.28,NA,NA,NA,NA,NA,NA,NA
3.44,-80560,2075.5,25.28,-0.28,-2.38,NA,NA,NA,NA,NA,NA,NA
3.71,-80680,2077.5,26.12,0.01,-2.26,NA,NA,NA,NA,NA,NA,NA
3.58,-80850,2080.5,25.72,-0.58,-2.76,NA,NA,NA,NA,NA,NA,NA
NA,-80960,2082.5,NA,NA,-2.39,NA,NA,NA,NA,NA,NA,NA
3.49,-81140,2085.5,25.42,-0.67,-2.8,NA,NA,NA,NA,NA,NA,NA
3.46,-81250,2087.5,25.35,-0.81,-2.92,NA,NA,NA,NA,NA,NA,NA
3.33,-81420,2090.5,24.91,-0.2,-2.22,NA,NA,NA,NA,NA,NA,NA
3.79,-81540,2092.5,26.36,-0.39,-2.71,NA,NA,NA,NA,NA,NA,NA
3.42,-81710,2095.5,25.23,-0.85,-2.94,NA,NA,NA,NA,NA,NA,NA
3.49,-81830,2097.5,25.45,-0.64,-2.78,NA,NA,NA,NA,NA,NA,NA
3.68,-82000,2100.5,26.02,-0.89,-3.14,NA,NA,NA,NA,NA,NA,NA
3.8,-82120,2102.5,26.38,-0.71,-3.04,NA,NA,NA,NA,NA,NA,NA
3.93,-82290,2105.5,26.76,-0.74,-3.14,NA,NA,NA,NA,NA,NA,NA
3.87,-82400,2107.5,26.59,-0.46,-2.83,NA,NA,NA,NA,NA,NA,NA
3.51,-82580,2110.5,25.5,-0.74,-2.88,NA,NA,NA,NA,NA,NA,NA
3.76,-82690,2112.5,26.28,-0.47,-2.78,NA,NA,NA,NA,NA,NA,NA
3.89,-82860,2115.5,26.65,-0.53,-2.91,NA,NA,NA,NA,NA,NA,NA
3.74,-82980,2117.5,26.2,-0.7,-2.98,NA,NA,NA,NA,NA,NA,NA
3.91,-83150,2120.5,26.69,-0.36,-2.75,NA,NA,NA,NA,NA,NA,NA
3.64,-83270,2122.5,25.89,-0.55,-2.77,NA,NA,NA,NA,NA,NA,NA
3.94,-83440,2125.5,26.79,-0.3,-2.71,NA,NA,NA,NA,NA,NA,NA
3.63,-83530,2127.5,25.88,-0.04,-2.26,NA,NA,NA,NA,NA,NA,NA
3.71,-83680,2130.5,26.12,0.26,-2.01,NA,NA,NA,NA,NA,NA,NA
3.64,-83770,2132.5,25.89,0.09,-2.14,NA,NA,NA,NA,NA,NA,NA
3.75,-83910,2135.5,26.23,0.19,-2.1,NA,NA,NA,NA,NA,NA,NA
3.73,-84000,2137.5,26.16,0.15,-2.13,NA,NA,NA,NA,NA,NA,NA
3.68,-84150,2140.5,26.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.53,-84240,2142.5,25.57,0.49,-1.66,NA,NA,NA,NA,NA,NA,NA
3.53,-84380,2145.5,25.56,0.2,-1.95,NA,NA,NA,NA,NA,NA,NA
3.83,-84470,2147.5,26.47,0.68,-1.66,NA,NA,NA,NA,NA,NA,NA
3.6,-84710,2152.5,25.78,0.6,-1.6,NA,NA,NA,NA,NA,NA,NA
3.64,-84850,2155.5,25.92,0.84,-1.39,NA,NA,NA,NA,NA,NA,NA
3.46,-84940,2157.5,25.34,0.64,-1.47,NA,NA,NA,NA,NA,NA,NA
3.67,-85080,2160.5,25.99,0.81,-1.43,NA,NA,NA,NA,NA,NA,NA
3.53,-85180,2162.5,25.56,0.65,-1.5,NA,NA,NA,NA,NA,NA,NA
3.47,-85320,2165.5,25.37,0.63,-1.49,NA,NA,NA,NA,NA,NA,NA
3.65,-85410,2167.5,25.95,0.97,-1.26,NA,NA,NA,NA,NA,NA,NA
3.56,-85550,2170.5,25.65,0.83,-1.35,NA,NA,NA,NA,NA,NA,NA
3.64,-85650,2172.5,25.9,0.86,-1.36,NA,NA,NA,NA,NA,NA,NA
3.84,-85790,2175.5,26.5,0.78,-1.57,NA,NA,NA,NA,NA,NA,NA
3.52,-85880,2177.5,25.54,0.59,-1.56,NA,NA,NA,NA,NA,NA,NA
3.47,-86020,2180.5,25.38,0.71,-1.4,NA,NA,NA,NA,NA,NA,NA
3.46,-86260,2185.5,25.34,0.68,-1.43,NA,NA,NA,NA,NA,NA,NA
3.51,-86490,2190.5,25.51,-0.14,-2.28,NA,NA,NA,NA,NA,NA,NA
3.59,-86620,2195.5,25.76,-0.12,-2.32,NA,NA,NA,NA,NA,NA,NA
NA,-86760,2200.5,NA,NA,-2.24,NA,NA,NA,NA,NA,NA,NA
3.52,-86890,2205.5,25.53,0.03,-2.12,NA,NA,NA,NA,NA,NA,NA
3.41,-87030,2210.5,25.17,-0.2,-2.27,NA,NA,NA,NA,NA,NA,NA
3.53,-87160,2215.5,25.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.44,-87290,2220.5,25.28,-0.08,-2.17,NA,NA,NA,NA,NA,NA,NA
3.39,-87430,2225.5,25.12,-0.04,-2.1,NA,NA,NA,NA,NA,NA,NA
3.3,-87560,2230.5,24.81,0.12,-1.87,NA,NA,NA,NA,NA,NA,NA
3.35,-87700,2235.5,24.99,0.07,-1.96,NA,NA,NA,NA,NA,NA,NA
3.55,-87830,2240.5,25.62,0.27,-1.9,NA,NA,NA,NA,NA,NA,NA
3.42,-87960,2245.5,25.2,0.21,-1.87,NA,NA,NA,NA,NA,NA,NA
3.56,-88100,2250.5,25.65,0.34,-1.83,NA,NA,NA,NA,NA,NA,NA
3.55,-88230,2255.5,25.64,0.39,-1.78,NA,NA,NA,NA,NA,NA,NA
3.4,-88360,2260.5,25.16,0.49,-1.58,NA,NA,NA,NA,NA,NA,NA
3.31,-88500,2265.5,24.85,0.46,-1.55,NA,NA,NA,NA,NA,NA,NA
3.48,-88630,2270.5,25.4,0.38,-1.74,NA,NA,NA,NA,NA,NA,NA
3.47,-88770,2275.5,25.36,0.51,-1.6,NA,NA,NA,NA,NA,NA,NA
3.32,-88900,2280.5,24.87,0.44,-1.57,NA,NA,NA,NA,NA,NA,NA
3.6,-89080,2285.5,25.77,0.79,-1.41,NA,NA,NA,NA,NA,NA,NA
3.53,-89370,2290.5,25.58,0.6,-1.56,NA,NA,NA,NA,NA,NA,NA
3.51,-89660,2295.5,25.5,0.7,-1.45,NA,NA,NA,NA,NA,NA,NA
3.43,-89940,2300.5,25.25,0.63,-1.46,NA,NA,NA,NA,NA,NA,NA
3.41,-90230,2305.5,25.19,0.33,-1.75,NA,NA,NA,NA,NA,NA,NA
3.33,-90510,2310.5,24.91,0.2,-1.81,NA,NA,NA,NA,NA,NA,NA
3.52,-90800,2315.5,25.53,0.4,-1.75,NA,NA,NA,NA,NA,NA,NA
3.27,-91090,2320.5,24.71,0.21,-1.77,NA,NA,NA,NA,NA,NA,NA
3.25,-91370,2325.5,24.66,0.27,-1.7,NA,NA,NA,NA,NA,NA,NA
3.47,-91660,2330.5,25.38,0.2,-1.92,NA,NA,NA,NA,NA,NA,NA
3.33,-91940,2335.5,24.92,0.2,-1.82,NA,NA,NA,NA,NA,NA,NA
3.48,-92230,2340.5,25.4,0.21,-1.91,NA,NA,NA,NA,NA,NA,NA
3.48,-92510,2345.5,25.42,0.34,-1.79,NA,NA,NA,NA,NA,NA,NA
3.4,-92800,2350.5,25.15,0.01,-2.06,NA,NA,NA,NA,NA,NA,NA
3.71,-93370,2360.5,26.12,0.2,-2.07,NA,NA,NA,NA,NA,NA,NA
3.48,-93660,2365.5,25.42,-0.02,-2.15,NA,NA,NA,NA,NA,NA,NA
3.39,-93940,2370.5,25.1,-0.11,-2.17,NA,NA,NA,NA,NA,NA,NA
3.69,-94230,2375.5,26.07,0.03,-2.23,NA,NA,NA,NA,NA,NA,NA
3.52,-94520,2380.5,25.52,0,-2.15,NA,NA,NA,NA,NA,NA,NA
3.59,-94800,2385.5,25.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.92,-95090,2390.5,26.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.31,-95370,2395.5,24.85,-0.33,-2.33,NA,NA,NA,NA,NA,NA,NA
3.5,-95660,2400.5,25.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.27,-95950,2405.5,24.73,-0.23,-2.22,NA,NA,NA,NA,NA,NA,NA
3.64,-96230,2410.5,25.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.5,-96520,2415.5,25.48,-0.36,-2.49,NA,NA,NA,NA,NA,NA,NA
3.29,-96800,2420.5,24.77,-0.43,-2.42,NA,NA,NA,NA,NA,NA,NA
3.47,-97090,2425.5,25.38,-0.15,-2.27,NA,NA,NA,NA,NA,NA,NA
NA,-97370,2430.5,NA,NA,-3.03,NA,NA,NA,NA,NA,NA,NA
3.92,-97660,2435.5,26.73,-0.39,-2.79,NA,NA,NA,NA,NA,NA,NA
3.6,-97950,2440.5,25.8,-0.44,-2.64,NA,NA,NA,NA,NA,NA,NA
3.6,-98230,2445.5,25.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.81,-98520,2450.5,26.42,-0.18,-2.51,NA,NA,NA,NA,NA,NA,NA
3.77,-98800,2455.5,26.3,-0.35,-2.66,NA,NA,NA,NA,NA,NA,NA
3.95,-99090,2460.5,26.82,-0.75,-3.17,NA,NA,NA,NA,NA,NA,NA
3.72,-99380,2465.5,26.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-99660,2470.5,NA,NA,-2.72,NA,NA,NA,NA,NA,NA,NA
3.98,-99950,2475.5,26.91,0.17,-2.26,NA,NA,NA,NA,NA,NA,NA
4.1,-100230,2480.5,27.22,-0.43,-2.93,NA,NA,NA,NA,NA,NA,NA
4.06,-100800,2490.5,27.12,-0.13,-2.61,NA,NA,NA,NA,NA,NA,NA
4.05,-101090,2495.5,27.09,-0.46,-2.93,NA,NA,NA,NA,NA,NA,NA
4.08,-101380,2500.5,27.19,0,-2.49,NA,NA,NA,NA,NA,NA,NA
3.99,-101660,2505.5,26.93,0.05,-2.39,NA,NA,NA,NA,NA,NA,NA
4.07,-101950,2510.5,27.16,-0.31,-2.8,NA,NA,NA,NA,NA,NA,NA
3.96,-102230,2515.5,26.85,0.03,-2.39,NA,NA,NA,NA,NA,NA,NA
3.97,-102520,2520.5,26.86,-0.05,-2.48,NA,NA,NA,NA,NA,NA,NA
3.98,-102710,2525.5,26.91,0.5,-1.93,NA,NA,NA,NA,NA,NA,NA
3.97,-102900,2530.5,26.86,0.43,-2,NA,NA,NA,NA,NA,NA,NA
4.12,-103090,2535.5,27.29,0.52,-2,NA,NA,NA,NA,NA,NA,NA
3.96,-103270,2540.5,26.85,0.66,-1.76,NA,NA,NA,NA,NA,NA,NA
4.05,-103460,2545.5,27.08,0.73,-1.74,NA,NA,NA,NA,NA,NA,NA
4.04,-103650,2550.5,27.06,0.36,-2.11,NA,NA,NA,NA,NA,NA,NA
3.94,-103840,2555.5,26.79,0.37,-2.04,NA,NA,NA,NA,NA,NA,NA
3.81,-104030,2560.5,26.42,0.62,-1.71,NA,NA,NA,NA,NA,NA,NA
4.26,-104230,2565.5,27.66,-0.12,-2.71,NA,NA,NA,NA,NA,NA,NA
4.11,-104450,2570.5,27.26,0.29,-2.22,NA,NA,NA,NA,NA,NA,NA
3.98,-104680,2575.5,26.89,-0.24,-2.67,NA,NA,NA,NA,NA,NA,NA
4.04,-104900,2580.5,27.05,-0.07,-2.54,NA,NA,NA,NA,NA,NA,NA
3.81,-105120,2585.5,26.41,-0.36,-2.69,NA,NA,NA,NA,NA,NA,NA
4.05,-105340,2590.5,27.1,0.12,-2.35,NA,NA,NA,NA,NA,NA,NA
4.02,-105560,2595.5,27.01,-0.45,-2.9,NA,NA,NA,NA,NA,NA,NA
3.66,-105780,2600.5,25.98,-0.5,-2.74,NA,NA,NA,NA,NA,NA,NA
4.49,-106000,2605.5,28.23,0.02,-2.69,NA,NA,NA,NA,NA,NA,NA
4.25,-106220,2610.5,27.62,-0.39,-2.97,NA,NA,NA,NA,NA,NA,NA
NA,-106440,2615.5,29.23,0.03,-2.88,NA,NA,NA,NA,NA,NA,NA
4.45,-106660,2620.5,28.14,-0.39,-3.08,NA,NA,NA,NA,NA,NA,NA
4.4,-106720,2625.5,28.02,0.04,-2.63,NA,NA,NA,NA,NA,NA,NA
4.25,-106790,2630.5,27.62,0.1,-2.48,NA,NA,NA,NA,NA,NA,NA
4.46,-106850,2635.5,28.15,0.65,-2.05,NA,NA,NA,NA,NA,NA,NA
3.75,-106920,2640.5,26.25,1.02,-1.27,NA,NA,NA,NA,NA,NA,NA
3.77,-107220,2645.5,26.31,0.87,-1.44,NA,NA,NA,NA,NA,NA,NA
3.79,-107610,2650.5,26.37,0.99,-1.33,NA,NA,NA,NA,NA,NA,NA
3.77,-108000,2655.5,26.29,0.85,-1.46,NA,NA,NA,NA,NA,NA,NA
3.63,-108390,2660.5,25.86,0.7,-1.52,NA,NA,NA,NA,NA,NA,NA
3.67,-108780,2665.5,26.01,0.63,-1.62,NA,NA,NA,NA,NA,NA,NA
3.77,-109170,2670.5,26.28,0.62,-1.69,NA,NA,NA,NA,NA,NA,NA
3.79,-109560,2675.5,26.37,0.34,-1.99,NA,NA,NA,NA,NA,NA,NA
3.83,-109950,2680.5,26.47,0.27,-2.07,NA,NA,NA,NA,NA,NA,NA
3.58,-110340,2685.5,25.71,0.16,-2.02,NA,NA,NA,NA,NA,NA,NA
3.85,-110730,2690.5,26.52,0.22,-2.14,NA,NA,NA,NA,NA,NA,NA
3.55,-111120,2695.5,25.64,0.13,-2.04,NA,NA,NA,NA,NA,NA,NA
3.78,-111510,2700.5,26.33,-0.19,-2.51,NA,NA,NA,NA,NA,NA,NA
3.56,-111890,2705.5,25.65,0.07,-2.1,NA,NA,NA,NA,NA,NA,NA
4.07,-112280,2710.5,27.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.94,-112670,2715.5,26.77,0.19,-2.22,NA,NA,NA,NA,NA,NA,NA
3.55,-113060,2720.5,25.63,-0.12,-2.29,NA,NA,NA,NA,NA,NA,NA
3.72,-113450,2725.5,26.16,0.01,-2.27,NA,NA,NA,NA,NA,NA,NA
3.6,-113510,2730.5,25.79,0.28,-1.93,NA,NA,NA,NA,NA,NA,NA
3.78,-113560,2735.5,26.32,0.49,-1.82,NA,NA,NA,NA,NA,NA,NA
3.6,-113620,2740.5,25.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.77,-113830,2745.5,26.3,0.12,-2.19,NA,NA,NA,NA,NA,NA,NA
4.07,-114040,2750.5,27.14,0.65,-1.83,NA,NA,NA,NA,NA,NA,NA
3.8,-114250,2755.5,26.4,0.6,-1.72,NA,NA,NA,NA,NA,NA,NA
3.67,-114460,2760.5,26,0.54,-1.71,NA,NA,NA,NA,NA,NA,NA
3.55,-114660,2765.5,25.63,0.41,-1.75,NA,NA,NA,NA,NA,NA,NA
3.57,-114870,2770.5,25.68,0.28,-1.9,NA,NA,NA,NA,NA,NA,NA
3.78,-115080,2775.5,26.33,0.62,-1.7,NA,NA,NA,NA,NA,NA,NA
3.66,-115290,2780.5,25.97,0.5,-1.74,NA,NA,NA,NA,NA,NA,NA
3.7,-115500,2785.5,26.1,0.43,-1.84,NA,NA,NA,NA,NA,NA,NA
3.61,-115710,2790.5,25.81,0.32,-1.89,NA,NA,NA,NA,NA,NA,NA
3.56,-115920,2795.5,25.66,0.34,-1.84,NA,NA,NA,NA,NA,NA,NA
3.9,-116130,2800.5,26.69,0.38,-2.01,NA,NA,NA,NA,NA,NA,NA
4.03,-116340,2805.5,27.03,0.37,-2.09,NA,NA,NA,NA,NA,NA,NA
4.06,-116550,2810.5,27.13,0.43,-2.05,NA,NA,NA,NA,NA,NA,NA
3.8,-116750,2815.5,26.39,0.39,-1.93,NA,NA,NA,NA,NA,NA,NA
4,-116960,2820.5,26.95,0.53,-1.91,NA,NA,NA,NA,NA,NA,NA
3.77,-117170,2825.5,26.3,-0.05,-2.36,NA,NA,NA,NA,NA,NA,NA
3.89,-117380,2830.5,26.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.68,-117590,2835.5,26.04,0.12,-2.13,NA,NA,NA,NA,NA,NA,NA
4.14,-117740,2840.5,27.33,0.56,-1.96,NA,NA,NA,NA,NA,NA,NA
3.63,-117890,2845.5,25.87,0.22,-2,NA,NA,NA,NA,NA,NA,NA
3.74,-118040,2850.5,26.22,0.1,-2.19,NA,NA,NA,NA,NA,NA,NA
3.75,-118190,2855.5,26.24,0.34,-1.95,NA,NA,NA,NA,NA,NA,NA
3.57,-118340,2860.5,25.71,-0.03,-2.22,NA,NA,NA,NA,NA,NA,NA
3.95,-118490,2865.5,26.83,0.42,-1.99,NA,NA,NA,NA,NA,NA,NA
3.93,-118640,2870.5,26.76,-0.01,-2.41,NA,NA,NA,NA,NA,NA,NA
3.91,-118790,2875.5,26.71,0.26,-2.13,NA,NA,NA,NA,NA,NA,NA
NA,-118940,2880.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.94,-119090,2885.5,26.8,0.07,-2.34,NA,NA,NA,NA,NA,NA,NA
3.63,-119240,2890.5,25.86,-0.01,-2.22,NA,NA,NA,NA,NA,NA,NA
3.68,-119390,2895.5,26.02,-0.15,-2.4,NA,NA,NA,NA,NA,NA,NA
3.86,-119540,2900.5,26.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.71,-119690,2905.5,26.1,-0.2,-2.47,NA,NA,NA,NA,NA,NA,NA
4.11,-119840,2910.5,27.27,-0.25,-2.76,NA,NA,NA,NA,NA,NA,NA
3.76,-119990,2915.5,26.26,-0.16,-2.46,NA,NA,NA,NA,NA,NA,NA
4.15,-120140,2920.5,27.35,-0.27,-2.79,NA,NA,NA,NA,NA,NA,NA
4,-120290,2925.5,26.94,-0.32,-2.76,NA,NA,NA,NA,NA,NA,NA
4.03,-120440,2930.5,27.05,-0.51,-2.97,NA,NA,NA,NA,NA,NA,NA
3.71,-120590,2935.5,26.1,-0.63,-2.9,NA,NA,NA,NA,NA,NA,NA
4.05,-120740,2940.5,27.09,-0.21,-2.68,NA,NA,NA,NA,NA,NA,NA
4.12,-120890,2945.5,27.29,-0.4,-2.91,NA,NA,NA,NA,NA,NA,NA
3.91,-121040,2950.5,26.71,-0.48,-2.88,NA,NA,NA,NA,NA,NA,NA
4.26,-121190,2955.5,27.66,-0.37,-2.96,NA,NA,NA,NA,NA,NA,NA
4.28,-121340,2960.5,27.7,-0.24,-2.84,NA,NA,NA,NA,NA,NA,NA
3.98,-121490,2965.5,26.91,-0.31,-2.75,NA,NA,NA,NA,NA,NA,NA
4.29,-121640,2970.5,27.72,-0.3,-2.9,NA,NA,NA,NA,NA,NA,NA
4.21,-121790,2975.5,27.53,-0.34,-2.9,NA,NA,NA,NA,NA,NA,NA
4.44,-122400,2995.5,28.1,-0.28,-2.96,NA,NA,NA,NA,NA,NA,NA
4.52,-122550,3000.5,28.31,-0.02,-2.75,NA,NA,NA,NA,NA,NA,NA
4.23,-122700,3005.5,27.57,-0.21,-2.78,NA,NA,NA,NA,NA,NA,NA
4.29,-122850,3010.5,27.73,-0.12,-2.73,NA,NA,NA,NA,NA,NA,NA
4.03,-123000,3015.5,27.04,-0.33,-2.79,NA,NA,NA,NA,NA,NA,NA
4.25,-123150,3020.5,27.62,-0.32,-2.9,NA,NA,NA,NA,NA,NA,NA
3.98,-123300,3025.5,26.91,-0.58,-3.01,NA,NA,NA,NA,NA,NA,NA
4.25,-123450,3030.5,27.62,-0.63,-3.21,NA,NA,NA,NA,NA,NA,NA
4.28,-123600,3035.5,27.7,-0.6,-3.2,NA,NA,NA,NA,NA,NA,NA
4.14,-123750,3040.5,27.35,-0.09,-2.61,NA,NA,NA,NA,NA,NA,NA
3.97,-123900,3045.5,26.88,-0.31,-2.74,NA,NA,NA,NA,NA,NA,NA
4.08,-124050,3050.5,27.16,-0.18,-2.66,NA,NA,NA,NA,NA,NA,NA
4.02,-124200,3055.5,27.02,-0.15,-2.61,NA,NA,NA,NA,NA,NA,NA
4.17,-124350,3060.5,27.41,-0.04,-2.58,NA,NA,NA,NA,NA,NA,NA
3.99,-124500,3065.5,26.92,-0.27,-2.71,NA,NA,NA,NA,NA,NA,NA
4.33,-124650,3070.5,27.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.16,-124800,3075.5,27.39,0.5,-2.03,NA,NA,NA,NA,NA,NA,NA
4.2,-124950,3080.5,27.5,0.62,-1.94,NA,NA,NA,NA,NA,NA,NA
4.5,-125100,3085.5,28.26,0.69,-2.02,NA,NA,NA,NA,NA,NA,NA
4.21,-125250,3090.5,27.52,0.56,-2,NA,NA,NA,NA,NA,NA,NA
3.86,-125400,3095.5,26.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.77,-125550,3100.5,26.3,0.46,-1.85,NA,NA,NA,NA,NA,NA,NA
3.97,-125700,3105.5,26.86,0.4,-2.03,NA,NA,NA,NA,NA,NA,NA
3.88,-125850,3110.5,26.61,0.74,-1.63,NA,NA,NA,NA,NA,NA,NA
3.89,-126000,3115.5,26.64,0.83,-1.55,NA,NA,NA,NA,NA,NA,NA
3.7,-126150,3120.5,26.08,1.1,-1.17,NA,NA,NA,NA,NA,NA,NA
3.96,-126300,3125.5,26.85,1.16,-1.26,NA,NA,NA,NA,NA,NA,NA
3.95,-126450,3130.5,26.82,1.46,-0.95,NA,NA,NA,NA,NA,NA,NA
3.68,-126600,3135.5,26.04,1.48,-0.78,NA,NA,NA,NA,NA,NA,NA
3.7,-126750,3140.5,26.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,-126900,3145.5,26.95,1.74,-0.7,NA,NA,NA,NA,NA,NA,NA
3.68,-127550,3155.5,26.02,1.57,-0.68,NA,NA,NA,NA,NA,NA,NA
3.68,-128050,3160.5,26.02,1.65,-0.6,NA,NA,NA,NA,NA,NA,NA
3.57,-128550,3165.5,25.69,1.69,-0.49,NA,NA,NA,NA,NA,NA,NA
3.35,-129050,3170.5,24.99,1.6,-0.44,NA,NA,NA,NA,NA,NA,NA
3.5,-129550,3175.5,25.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.23,-130050,3180.5,24.56,1.55,-0.39,NA,NA,NA,NA,NA,NA,NA
