d18O (permil),year (AD),depth (cm),d13C (permil)
-8.37,-414,83,-11.23
-8.46,-418,83.1,-11.47
-8.54,-421,83.21,-11.23
-8.32,-425,83.31,-10.8
-8.18,-429,83.42,-10.52
-8.22,-433,83.53,-10.09
-8.42,-436,83.63,-10.39
-8.63,-440,83.74,-10.34
-8.63,-444,83.84,-10.49
-8.8,-447,83.94,-10.59
-9.3,-451,84.04,-10.37
-9.08,-454,84.14,-9.72
-8.74,-458,84.24,-9.94
-8.62,-462,84.34,-9.82
-8.92,-465,84.44,-9.26
-8.91,-469,84.53,-9.26
-8.9,-472,84.63,-9.58
-8.65,-476,84.73,-9.56
-8.3,-479,84.83,-10.28
-9.08,-483,84.93,-10.8
-8.85,-486,85.03,-11.05
-8.86,-490,85.13,-11.34
-8.99,-493,85.23,-11.33
-8.94,-497,85.33,-11.4
-9.05,-500,85.42,-11.45
-8.98,-504,85.52,-11.48
-8.83,-507,85.62,-11.13
-8.83,-511,85.72,-11.29
-8.76,-514,85.82,-11.1
-8.49,-518,85.92,-10.63
-9.13,-521,86.02,-10.61
-9.07,-525,86.12,-10.81
-8.43,-528,86.22,-10.31
-8.2,-532,86.31,-10.61
-8.41,-535,86.41,-10.37
-8.34,-539,86.51,-10.34
-8.22,-542,86.61,-10.15
-8.44,-546,86.71,-10.55
-8.15,-549,86.81,-10.64
-8.45,-553,86.91,-11.02
-8.38,-567,87.3,-11.32
-8.39,-585,87.8,-10.78
-8.56,-602,88.29,-11.28
-8.82,-620,88.79,-11.3
-9.12,-637,89.28,-10.72
-9.1,-655,89.78,-10.84
-8.44,-673,90.27,-10.9
-8.52,-690,90.76,-11.42
-8.66,-717,91.26,-10.43
-9.06,-733,91.75,-11.13
-8.95,-748,92.25,-10.93
-8.54,-764,92.74,-10.59
-8.24,-779,93.24,-9.87
-7.97,-794,93.73,-10
-8.59,-810,94.23,-10.82
-8.19,-825,94.72,-9.45
-8.61,-840,95.21,-11.85
-8.45,-856,95.71,-11.43
-8.85,-871,96.2,-11.56
-8.54,-887,96.7,-11.13
-8.69,-902,97.19,-12
-8.96,-917,97.69,-12.04
-8.4,-933,98.18,-11.35
-9.03,-945,98.58,-10.94
-8.88,-954,98.86,-11.68
-8.97,-967,99.27,-11.29
-8.87,-979,99.68,-11.14
-9.01,-992,100.09,-11.96
-8.98,-1019,100.97,-11.58
-8.64,-1034,101.43,-10.18
-9,-1048,101.9,-10.5
-9.02,-1063,102.37,-10.89
-9.17,-1077,102.83,-11.01
-9.12,-1092,103.3,-11.19
-9.41,-1108,103.8,-11.77
-8.67,-1123,104.3,-10.92
-8.84,-1139,104.8,-11.89
-8.35,-1154,105.3,-11.31
-8.48,-1170,105.8,-10.56
-8.28,-1185,106.3,-10.55
-8.68,-1216,107.3,-11.26
-8.26,-1232,107.8,-10.38
-8.27,-1248,108.3,-10.35
-8.15,-1263,108.8,-10.07
-8.11,-1291,109.3,-10.3
-8.67,-1321,109.8,-10.67
-8.65,-1350,110.3,-11.24
-8.62,-1379,110.8,-11.06
-8.28,-1409,111.3,-10.84
-8.25,-1438,111.8,-11.71
-8.86,-1467,112.3,-11.52
-8.8,-1497,112.8,-11.6
-8.57,-1526,113.3,-11.66
-8.49,-1555,113.8,-11.86
-8.43,-1585,114.3,-11.88
-8.17,-1614,114.8,-10.49
-8.33,-1643,115.3,-11.27
-8.56,-1673,115.8,-11.43
-8.38,-1702,116.3,-11.06
-8.61,-1731,116.8,-10.94
-8.84,-1761,117.3,-10.96
-9.01,-1790,117.8,-10.46
-8.73,-1819,118.3,-11.53
-9.03,-1849,118.8,-11.14
-9.24,-1878,119.3,-11.61
-9,-1907,119.8,-11.5
-8.95,-1937,120.3,-11.28
-9.13,-1966,120.8,-11.63
-9.29,-1979,121.3,-11.45
-8.89,-1993,121.8,-11.1
-8.5,-2006,122.3,-10.44
-9.7,-2019,122.8,-11.69
-8.99,-2033,123.3,-10.68
-8.96,-2046,123.8,-11.87
-9.25,-2059,124.3,-11.75
-9.33,-2072,124.78,-11.86
-8.93,-2085,125.27,-11.8
-9.01,-2098,125.75,-11.16
-9.27,-2111,126.23,-11.52
-8.52,-2123,126.72,-10.89
-8.57,-2136,127.2,-12.03
-8.51,-2150,127.73,-10.99
-8.51,-2165,128.27,-10.54
-9.43,-2179,128.8,-11.7
-8.21,-2193,129.33,-10.33
-8.73,-2207,129.87,-10.86
-9.17,-2221,130.4,-11.53
-8.63,-2236,130.95,-10.86
-8.47,-2247,131.5,-10.1
-8.43,-2261,132.05,-11.06
-8.64,-2276,132.6,-11.06
-8.65,-2291,133.15,-11.09
-8.75,-2305,133.7,-11.25
-8.87,-2322,134.33,-10.7
-8.61,-2339,134.96,-10.46
-9,-2356,135.59,-11.48
-9.06,-2372,136.22,-11.72
-8.07,-2389,136.85,-9.79
-8.85,-2406,137.48,-11.02
-8.58,-2423,138.11,-9.85
-8.87,-2439,138.74,-10.21
-8.39,-2456,139.37,-9.55
-9.26,-2473,140,-11.42
-9.1,-2486,140.5,-11.67
-8.73,-2500,141,-11.57
-8.78,-2513,141.5,-11.46
-8.86,-2526,142,-11.77
-9.26,-2550,142.5,-11.12
-9.39,-2575,143,-10.63
-9.24,-2600,143.5,-11.52
-8.75,-2625,144,-10.52
-9.23,-2649,144.5,-10.9
-9.02,-2674,145,-11.48
-8.81,-2702,145.56,-10.69
-9.25,-2730,146.12,-11.31
-8.92,-2758,146.68,-10.94
-8.84,-2786,147.24,-10.69
-9.29,-2814,147.8,-11.07
-9.11,-2841,148.36,-10.39
-8.95,-2869,148.92,-11.04
-8.9,-2897,149.48,-11.53
-9.44,-2925,150.04,-11.74
-9.35,-2953,150.6,-11.03
-9.95,-2976,151.06,-11.69
-9.7,-2999,151.52,-11.93
-9.37,-3022,151.98,-11.65
-9.1,-3044,152.44,-11.29
-9.62,-3067,152.9,-12.12
-9.78,-3090,153.36,-12.21
-9.36,-3113,153.82,-11.13
-9.64,-3137,154.28,-10.93
-9.65,-3151,154.74,-11.08
-9.54,-3163,155.11,-10.71
-9.42,-3175,155.49,-10.71
-10.07,-3187,155.87,-11.71
-9.72,-3199,156.25,-12.17
-9.18,-3211,156.63,-11.16
-9.35,-3223,157.01,-11.61
-9.15,-3237,157.48,-10.29
-10.19,-3251,157.9,-11.32
-10.31,-3264,158.33,-11.99
-9.5,-3278,158.75,-10.92
-10.26,-3291,159.18,-11.34
-9.93,-3304,159.6,-10.69
-9.59,-3318,160.03,-11.6
-8.8,-3331,160.46,-9.9
-9.41,-3347,160.96,-10.31
-9.63,-3363,161.46,-10.86
-9.61,-3378,161.96,-11.22
-9.58,-3394,162.46,-11.31
-9.47,-3410,162.96,-10.96
-9.6,-3426,163.46,-11.5
-10.08,-3442,163.96,-11.93
-9.98,-3457,164.46,-11.82
-10.15,-3473,164.96,-11.93
-8.94,-3489,165.46,-10.68
-9.25,-3505,165.96,-10.91
-9.75,-3523,166.46,-11.02
-9.6,-3552,166.96,-11.59
-10.01,-3582,167.46,-11.81
-9.44,-3611,167.96,-11.39
-9.27,-3640,168.46,-11.63
-9.3,-3669,168.96,-10.9
-10.04,-3699,169.46,-12
-9.75,-3725,169.91,-10.4
-10.4,-3751,170.36,-11.9
-9.57,-3778,170.81,-10.32
-9.71,-3804,171.26,-10.76
-9.91,-3830,171.71,-11.1
-9.97,-3857,172.16,-11.84
-9.82,-3883,172.61,-11.08
-10.1,-3909,173.06,-11.38
-9.87,-3936,173.51,-11.48
-9.45,-3962,173.96,-11.03
-9.07,-3988,174.41,-9.74
-9.31,-4014,174.86,-10.31
-9.54,-4050,175.46,-10.7
-9.11,-4085,176.06,-9.39
-9.81,-4120,176.66,-11.84
-9.26,-4155,177.26,-10.7
-9.77,-4204,177.86,-11.93
-9.95,-4258,178.46,-11.4
-10.17,-4310,179.02,-11.97
-9.98,-4361,179.59,-12.03
-9.04,-4413,180.15,-10.99
-9.85,-4465,180.72,-11.74
-9.63,-4516,181.29,-11.14
-9.54,-4568,181.86,-10.95
-9.18,-4613,182.36,-10.75
-9.08,-4659,182.86,-10.88
-8.87,-4704,183.36,-9.66
-8.77,-4760,183.86,-9.57
-10.21,-4770,184.36,-11.02
-10.16,-4780,184.86,-11.64
-10.29,-4787,185.26,-12.12
-9.76,-4795,185.66,-11.86
-9.28,-4803,186.06,-10.57
-9.13,-4811,186.46,-9.67
-9.18,-4819,186.86,-11.11
-8.72,-4827,187.26,-9.75
-9.13,-4835,187.66,-10.34
-9.34,-4843,188.06,-10.88
-9.7,-4850,188.46,-11.53
-9.5,-4858,188.86,-11.2
-10.15,-4866,189.26,-12.28
-10.33,-4874,189.66,-11.86
-9.85,-4882,190.06,-11.7
-9.18,-4890,190.46,-10.56
-9.96,-4898,190.86,-12.24
-9.93,-4905,191.26,-12.12
-9.61,-4913,191.66,-11.65
-9.92,-4921,192.06,-11.67
-9.88,-4931,192.56,-11.72
-9.36,-4941,193.06,-11.02
-9.54,-4950,193.56,-10.86
-9.43,-4965,194.06,-11.31
-9.67,-4981,194.56,-11.62
-9.51,-4996,195.06,-11.17
-9.12,-5008,195.46,-10.85
-8.79,-5020,195.86,-9.98
-9.99,-5032,196.26,-12.19
-10.44,-5044,196.66,-12.68
-10.32,-5056,197.06,-12.38
-10.2,-5068,197.46,-11.47
-9.96,-5081,197.86,-11.92
-8.98,-5093,198.26,-10.69
-8.84,-5105,198.66,-8.47
-9.27,-5117,199.06,-10.57
-9.18,-5129,199.46,-9.62
-9.71,-5141,199.86,-11.14
-9.66,-5152,200.21,-10.9
-9.43,-5163,200.56,-10.56
-9.81,-5173,200.91,-11.32
-9.74,-5184,201.26,-11.16
-10.01,-5194,201.61,-11.12
-10.35,-5205,201.96,-11.69
-9.64,-5218,202.37,-11.37
-10.3,-5230,202.79,-11.47
-10.05,-5243,203.2,-10.34
-9.93,-5256,203.62,-10.15
-10.46,-5268,204.04,-11
-9.55,-5281,204.46,-10.7
-9.5,-5295,204.92,-11.14
-9.44,-5309,205.39,-10.28
-9.04,-5323,205.86,-9.77
-9.18,-5337,206.32,-8.59
-9.04,-5352,206.79,-8.61
-9.39,-5366,207.26,-10.14
-9.3,-5378,207.67,-9.95
-9.18,-5391,208.09,-9.49
-9.34,-5407,208.5,-9.42
-9.55,-5424,208.92,-10.22
-10.1,-5442,209.34,-11.51
-10.56,-5459,209.76,-11.93
-10.05,-5478,210.22,-10.67
-10.56,-5497,210.68,-11.5
-9.75,-5516,211.14,-10.58
-9.8,-5535,211.6,-11.02
-9.43,-5554,212.06,-10.29
-9.24,-5572,212.52,-9.57
-9.61,-5591,212.98,-10.32
-10.31,-5610,213.44,-11.81
-10.22,-5629,213.9,-11.7
-9.97,-5648,214.36,-10.97
-10.17,-5675,215,-10.92
-9.86,-5701,215.64,-11.83
-9.82,-5727,216.28,-11.03
-9.65,-5754,216.92,-10.75
-10.08,-5793,218.2,-11.6
-10.22,-5809,218.84,-11.42
-9.9,-5825,219.48,-11.27
-10.05,-5840,220.12,-11.21
-8.9,-5856,220.76,-10.12
-9.09,-5867,221.19,-10.5
-10.05,-5878,221.62,-11.3
-9.07,-5888,222.05,-10.37
-9.59,-5899,222.48,-10.43
-9.41,-5910,222.91,-11.13
-9.88,-5920,223.34,-11.43
-9.8,-5931,223.77,-11.09
-9.88,-5942,224.2,-11.22
-9.76,-5952,224.63,-10.74
-9.71,-5963,225.06,-11.52
-9.72,-5975,225.53,-11.02
-9.44,-5986,226,-10.8
-9.34,-5998,226.47,-10.34
-9.38,-6010,226.94,-10.45
-9.59,-6021,227.41,-10.65
-9.96,-6033,227.88,-11.59
-8.95,-6059,228.35,-9.35
-9.36,-6084,228.82,-10.37
-9.49,-6110,229.29,-10.53
-9.15,-6135,229.76,-8.69
-9.8,-6167,230.36,-11.3
-8.99,-6199,230.96,-9.17
-9.02,-6231,231.56,-10.34
-8.66,-6264,232.16,-8.68
-8.54,-6296,232.76,-7.4
-8.84,-6328,233.36,-9.01
-9.31,-6360,233.96,-8.39
-9.12,-6392,234.56,-9.1
-9.05,-6425,235.16,-9.23
-9.42,-6457,235.76,-8.4
-9.06,-6486,236.3,-8.49
-10.43,-6510,236.75,-10.52
-9.89,-6534,237.2,-9.57
-9.7,-6558,237.65,-9.52
-8.59,-6582,238.1,-8.11
-9.11,-6607,238.55,-9.66
-9.09,-6631,239,-10.56
-9.31,-6655,239.45,-9.48
-8.82,-6679,239.9,-8.74
-9.38,-6701,240.26,-8.53
-9.7,-6732,240.76,-11.14
-9.25,-6764,241.26,-9.19
-9.85,-6795,241.76,-11.77
-10.09,-6827,242.26,-11.93
-9.92,-6858,242.76,-10
-9.36,-6890,243.26,-8.82
-9.06,-6921,243.76,-9.42
-9.16,-6953,244.26,-8.83
-9.76,-6984,244.76,-8.97
-9.03,-7016,245.26,-8.86
-9.58,-7047,245.76,-10.88
-9.86,-7079,246.26,-11.4
-9.96,-7110,246.76,-11.42
-9.15,-7173,247.76,-9.09
-9.2,-7205,248.26,-8.89
-9.56,-7236,248.76,-8.72
-9.32,-7268,249.26,-7.53
-9.2,-7299,249.76,-7.47
-9.25,-7331,250.26,-8.96
-8.31,-7362,250.76,-5.4
-8.63,-7425,251.76,-6.24
-8.23,-7457,252.26,-4.57
-8.37,-7488,252.76,-4.51
-8.01,-7520,253.26,-3.65
