d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1],d18O (permil) [2-1]
1.02,1947.46,8.98,1947.54,-4.76
1.06,1947.38,8.93,1947.46,-4.78
0.98,1947.29,8.94,1947.38,-4.72
1.08,1947.21,8.94,1947.29,-4.78
0.99,1947.13,8.92,1947.21,-4.74
0.99,1947.04,8.94,1947.13,-4.77
0.92,1946.96,8.92,1947.04,-4.82
0.77,1946.88,8.9,1946.96,-4.94
0.82,1946.79,8.91,1946.88,-5.07
0.74,1946.71,8.88,1946.79,-5.09
0.67,1946.63,8.84,1946.71,-5.27
0.89,1946.54,8.87,1946.63,-5.27
0.86,1946.46,8.83,1946.54,-5.13
0.72,1946.38,8.84,1946.46,-5.15
0.82,1946.29,8.94,1946.38,-5.04
0.97,1946.21,9.03,1946.29,-4.73
0.94,1946.13,9.02,1946.21,-4.61
0.85,1946.04,9.03,1946.13,-4.61
0.77,1945.96,9.05,1946.04,-4.66
0.79,1945.88,9.04,1945.96,-4.76
0.79,1945.79,9.03,1945.88,-4.76
0.8,1945.71,9.03,1945.79,-4.77
0.81,1945.63,8.99,1945.71,-4.85
0.83,1945.54,8.96,1945.63,-4.91
0.87,1945.46,9,1945.54,-4.79
0.76,1945.38,8.96,1945.46,-4.85
0.94,1945.29,9.05,1945.38,-4.75
0.81,1945.21,9,1945.29,-4.69
0.98,1945.13,9.06,1945.21,-4.67
0.84,1945.04,9.03,1945.13,-4.57
0.91,1944.96,9.07,1945.04,-4.62
1.05,1944.88,9,1944.96,-4.71
0.86,1944.79,8.93,1944.88,-4.74
1,1944.71,8.97,1944.79,-4.83
0.97,1944.63,8.91,1944.71,-4.85
0.98,1944.54,8.91,1944.63,-4.87
0.89,1944.46,8.91,1944.54,-4.86
0.84,1944.38,8.95,1944.46,-4.86
0.85,1944.29,8.98,1944.38,-4.85
0.94,1944.21,8.98,1944.29,-4.84
1.05,1944.13,8.96,1944.21,-4.78
1.11,1944.04,8.97,1944.13,-4.66
0.95,1943.96,8.94,1944.04,-4.65
1.01,1943.88,8.99,1943.96,-4.7
0.96,1943.79,9,1943.88,-4.63
0.94,1943.71,8.93,1943.79,-4.84
0.89,1943.63,8.91,1943.71,-4.91
0.72,1943.54,8.92,1943.63,-4.93
0.9,1943.46,8.97,1943.54,-4.97
0.92,1943.38,8.95,1943.46,-4.85
0.78,1943.29,8.93,1943.38,-4.88
0.84,1943.21,9.01,1943.29,-4.82
0.81,1943.13,9,1943.21,-4.78
0.87,1943.04,9.05,1943.13,-4.7
0.87,1942.96,9.01,1943.04,-4.74
0.83,1942.88,8.99,1942.96,-4.77
0.78,1942.79,8.98,1942.88,-4.85
0.84,1942.71,8.97,1942.79,-4.92
0.74,1942.63,8.93,1942.71,-4.95
0.85,1942.54,8.91,1942.63,-5.11
0.75,1942.46,8.93,1942.54,-4.94
0.79,1942.38,8.91,1942.46,-5.09
0.6,1942.29,8.92,1942.38,-5.04
0.75,1942.21,8.99,1942.29,-5.05
0.84,1942.13,8.97,1942.21,-4.94
0.89,1942.04,8.9,1942.13,-5.04
0.96,1941.96,8.83,1942.04,-5.13
0.88,1941.88,8.78,1941.96,-5.19
0.8,1941.79,8.8,1941.88,-5.23
0.91,1941.71,8.82,1941.79,-5.26
0.69,1941.63,8.79,1941.71,-5.22
0.86,1941.54,8.85,1941.63,-5.29
0.66,1941.46,8.81,1941.54,-5.22
0.74,1941.38,8.88,1941.46,-5.25
0.67,1941.29,8.89,1941.38,-5.15
0.69,1941.21,8.91,1941.29,-5.17
0.8,1941.13,8.91,1941.21,-5.15
0.81,1941.04,8.89,1941.13,-5.08
0.74,1940.96,8.88,1941.04,-5.11
0.7,1940.88,8.91,1940.96,-5.1
0.73,1940.79,8.94,1940.88,-5.07
0.61,1940.71,8.89,1940.79,-5.16
0.79,1940.63,8.9,1940.71,-5.26
0.76,1940.54,8.84,1940.63,-5.22
0.85,1940.46,8.88,1940.54,-5.15
0.65,1940.38,8.92,1940.46,-4.97
0.65,1940.29,9.04,1940.38,-4.89
0.73,1940.21,9.04,1940.29,-4.88
0.82,1940.13,9.03,1940.21,-4.83
0.86,1940.04,9.02,1940.13,-4.76
0.85,1939.96,8.96,1940.04,-4.86
0.81,1939.88,8.98,1939.96,-4.83
0.8,1939.79,8.96,1939.88,-4.92
0.83,1939.71,8.95,1939.79,-4.94
0.86,1939.63,8.94,1939.71,-4.95
0.73,1939.54,8.92,1939.63,-4.97
0.7,1939.46,9.01,1939.54,-4.87
0.72,1939.38,9.04,1939.46,-4.83
0.82,1939.29,9.03,1939.38,-4.84
0.78,1939.21,9.01,1939.29,-4.78
1.07,1939.13,8.99,1939.21,-4.87
0.93,1939.04,8.94,1939.13,-4.7
0.78,1938.96,9,1939.04,-4.7
0.86,1938.88,9.01,1938.96,-4.83
1.08,1938.79,8.92,1938.88,-4.95
0.97,1938.71,8.86,1938.79,-4.89
0.72,1938.63,8.87,1938.71,-4.98
0.86,1938.54,8.96,1938.63,-5
0.96,1938.46,8.92,1938.54,-4.95
0.83,1938.38,8.88,1938.46,-4.95
0.79,1938.29,8.93,1938.38,-4.97
0.85,1938.21,8.97,1938.29,-4.92
0.88,1938.13,8.98,1938.21,-4.83
0.94,1938.04,8.97,1938.13,-4.81
0.9,1937.96,8.95,1938.04,-4.82
0.76,1937.88,8.93,1937.96,-4.91
0.79,1937.79,8.89,1937.88,-5.13
0.84,1937.71,8.91,1937.79,-5.06
0.81,1937.63,8.95,1937.71,-4.91
0.82,1937.54,8.92,1937.63,-5
0.75,1937.46,8.92,1937.54,-4.99
0.83,1937.38,8.96,1937.46,-4.97
0.88,1937.29,8.95,1937.38,-4.92
0.87,1937.21,8.92,1937.29,-4.95
0.95,1937.13,8.94,1937.21,-4.91
0.88,1937.04,8.92,1937.13,-4.87
0.77,1936.96,8.93,1937.04,-4.92
0.76,1936.88,8.95,1936.96,-4.98
0.5,1936.79,8.97,1936.88,-4.95
0.54,1936.71,9.04,1936.79,-5.04
0.58,1936.63,9.02,1936.71,-5.03
0.79,1936.54,9.01,1936.63,-5.02
0.87,1936.46,8.89,1936.54,-5.09
0.84,1936.38,8.94,1936.46,-4.9
0.85,1936.29,8.95,1936.38,-4.91
0.87,1936.21,8.96,1936.29,-4.88
0.93,1936.13,8.97,1936.21,-4.83
0.93,1936.04,8.95,1936.13,-4.82
0.95,1935.96,8.97,1936.04,-4.78
0.82,1935.88,8.93,1935.96,-4.84
0.69,1935.79,8.95,1935.88,-4.92
0.79,1935.71,8.91,1935.79,-5.16
0.8,1935.63,8.87,1935.71,-5.15
0.89,1935.54,8.89,1935.63,-5.1
0.84,1935.46,8.92,1935.54,-4.93
0.88,1935.38,8.97,1935.46,-4.87
0.84,1935.29,8.99,1935.38,-4.76
0.61,1935.21,9,1935.29,-4.79
0.65,1935.13,9.04,1935.21,-4.92
0.83,1935.04,9.1,1935.13,-4.74
0.73,1934.96,9.03,1935.04,-4.74
0.64,1934.88,9.05,1934.96,-4.78
0.61,1934.79,9.06,1934.88,-4.85
0.5,1934.71,9.04,1934.79,-4.92
0.47,1934.63,9.07,1934.71,-4.95
0.7,1934.54,9.09,1934.63,-4.95
0.63,1934.46,9.07,1934.54,-4.77
0.53,1934.38,9.08,1934.46,-4.8
0.65,1934.29,9.15,1934.38,-4.73
0.68,1934.21,9.12,1934.29,-4.68
0.71,1934.13,9.13,1934.21,-4.64
0.62,1934.04,9.14,1934.13,-4.58
0.57,1933.96,9.14,1934.04,-4.66
0.58,1933.88,9.13,1933.96,-4.74
0.78,1933.79,9.14,1933.88,-4.71
0.59,1933.71,9.08,1933.79,-4.65
0.66,1933.63,9.11,1933.71,-4.77
0.75,1933.54,9.08,1933.63,-4.79
0.7,1933.46,9.04,1933.54,-4.79
0.69,1933.38,9.07,1933.46,-4.76
0.53,1933.29,9.06,1933.38,-4.8
0.49,1933.21,9.09,1933.29,-4.88
0.57,1933.13,9.11,1933.21,-4.87
0.58,1933.04,9.14,1933.13,-4.73
0.52,1932.96,9.1,1933.04,-4.81
0.72,1932.88,9.07,1932.96,-4.94
0.66,1932.79,8.99,1932.88,-4.92
0.44,1932.71,9.02,1932.79,-4.92
0.42,1932.63,9.07,1932.71,-5.03
0.52,1932.54,9.04,1932.63,-5.11
0.62,1932.46,9.05,1932.54,-4.99
0.68,1932.38,9.07,1932.46,-4.84
0.5,1932.29,9.09,1932.38,-4.73
0.55,1932.21,9.13,1932.29,-4.81
0.69,1932.13,9.13,1932.21,-4.78
0.58,1932.04,9.07,1932.13,-4.77
0.57,1931.96,9.09,1932.04,-4.84
0.6,1931.88,9.04,1931.96,-4.96
0.79,1931.79,9.06,1931.88,-4.89
0.65,1931.71,8.98,1931.79,-4.88
0.38,1931.63,8.98,1931.71,-5.02
0.45,1931.54,9.07,1931.63,-5.08
0.53,1931.46,9.08,1931.54,-4.99
0.63,1931.38,9.07,1931.46,-4.94
0.74,1931.29,9.04,1931.38,-4.89
0.83,1931.21,9.04,1931.29,-4.79
0.89,1931.13,9.03,1931.21,-4.71
0.88,1931.04,9.01,1931.13,-4.7
0.44,1930.96,8.99,1931.04,-4.77
0.74,1930.88,9.01,1930.96,-5.16
0.76,1930.79,8.84,1930.88,-5.26
0.65,1930.71,8.81,1930.79,-5.33
0.43,1930.63,8.86,1930.71,-5.3
0.66,1930.54,8.94,1930.63,-5.33
0.78,1930.46,8.93,1930.54,-5.13
0.72,1930.38,8.92,1930.46,-5.03
0.76,1930.29,8.94,1930.38,-5.06
0.84,1930.21,8.96,1930.29,-4.95
0.77,1930.13,8.93,1930.21,-4.95
0.79,1930.04,8.97,1930.13,-4.93
0.79,1929.96,8.97,1930.04,-4.91
0.86,1929.88,8.93,1929.96,-5
0.74,1929.79,8.89,1929.88,-5.03
0.69,1929.71,8.94,1929.79,-5.03
0.81,1929.63,8.94,1929.71,-5.08
0.77,1929.54,8.91,1929.63,-5.03
0.61,1929.46,8.94,1929.54,-5
0.7,1929.38,8.99,1929.46,-5.05
0.86,1929.29,9,1929.38,-4.93
0.73,1929.21,9.02,1929.29,-4.72
0.76,1929.13,9.07,1929.21,-4.74
0.81,1929.04,9.06,1929.13,-4.71
0.86,1928.96,9.05,1929.04,-4.71
0.86,1928.88,9.01,1928.96,-4.73
0.76,1928.79,9.02,1928.88,-4.72
0.64,1928.71,9.01,1928.79,-4.85
0.56,1928.63,8.99,1928.71,-5.01
0.68,1928.54,9.01,1928.63,-5.04
0.59,1928.46,8.97,1928.54,-5.03
0.67,1928.38,9.02,1928.46,-4.98
0.52,1928.29,9.04,1928.38,-4.86
0.58,1928.21,9.08,1928.29,-4.91
0.65,1928.13,9.1,1928.21,-4.8
0.74,1928.04,9.13,1928.13,-4.67
0.63,1927.96,9.09,1928.04,-4.66
0.67,1927.88,9.1,1927.96,-4.76
0.77,1927.79,9.02,1927.88,-4.91
0.56,1927.71,9,1927.79,-4.87
0.7,1927.63,9,1927.71,-5.07
0.74,1927.54,8.93,1927.63,-5.1
0.63,1927.46,8.94,1927.54,-5.02
0.61,1927.38,9.01,1927.46,-4.97
0.56,1927.29,9.06,1927.38,-4.86
0.6,1927.21,9.12,1927.29,-4.78
0.79,1927.13,9.13,1927.21,-4.71
0.81,1927.04,9.06,1927.13,-4.69
0.77,1926.96,9.05,1927.04,-4.7
0.47,1926.88,9.04,1926.96,-4.76
0.77,1926.79,9.1,1926.88,-4.91
0.81,1926.71,9.06,1926.79,-4.72
0.76,1926.63,9.03,1926.71,-4.74
0.74,1926.54,9.04,1926.63,-4.77
0.73,1926.46,9.06,1926.54,-4.74
0.65,1926.38,9.04,1926.46,-4.81
0.63,1926.29,9.04,1926.38,-4.88
0.68,1926.21,9.05,1926.29,-4.88
0.74,1926.13,9.08,1926.21,-4.76
0.84,1926.04,9.1,1926.13,-4.64
0.96,1925.96,9.07,1926.04,-4.62
0.76,1925.88,9.01,1925.96,-4.64
0.64,1925.79,9.04,1925.88,-4.78
0.68,1925.71,9,1925.79,-4.98
0.62,1925.63,8.94,1925.71,-5.1
0.62,1925.54,8.97,1925.63,-5.07
0.64,1925.46,9.06,1925.54,-4.87
0.44,1925.38,9.04,1925.46,-4.89
0.62,1925.29,9.13,1925.38,-4.87
0.62,1925.21,9.13,1925.29,-4.69
0.65,1925.13,9.18,1925.21,-4.58
0.79,1925.04,9.17,1925.13,-4.58
0.78,1924.96,9.1,1925.04,-4.6
0.72,1924.88,9.11,1924.96,-4.58
0.8,1924.79,9.1,1924.88,-4.66
0.61,1924.71,9.06,1924.79,-4.68
0.55,1924.63,9.06,1924.71,-4.87
0.61,1924.54,9.04,1924.63,-4.99
0.54,1924.46,9.08,1924.54,-4.82
0.71,1924.38,9.13,1924.46,-4.77
0.85,1924.29,9.07,1924.38,-4.75
0.83,1924.21,8.99,1924.29,-4.8
0.89,1924.13,9.01,1924.21,-4.76
0.78,1924.04,9.01,1924.13,-4.71
0.77,1923.96,9.05,1924.04,-4.73
0.73,1923.88,9.03,1923.96,-4.78
0.79,1923.79,9.02,1923.88,-4.84
0.65,1923.71,8.95,1923.79,-4.95
0.73,1923.63,8.96,1923.71,-5.07
0.76,1923.54,8.86,1923.63,-5.22
0.9,1923.46,8.95,1923.54,-4.99
0.76,1923.38,8.93,1923.46,-4.9
1.01,1923.29,8.99,1923.38,-4.88
0.88,1923.21,8.94,1923.29,-4.75
0.92,1923.13,9,1923.21,-4.75
0.78,1923.04,9.02,1923.13,-4.66
0.69,1922.96,9.08,1923.04,-4.66
0.76,1922.88,9.11,1922.96,-4.66
0.89,1922.79,9.06,1922.88,-4.72
0.94,1922.71,9,1922.79,-4.74
0.94,1922.63,8.98,1922.71,-4.74
0.9,1922.54,8.97,1922.63,-4.76
0.91,1922.46,9,1922.54,-4.72
0.83,1922.38,9.01,1922.46,-4.69
0.86,1922.29,9.02,1922.38,-4.75
0.83,1922.21,9.01,1922.29,-4.74
0.8,1922.13,9.05,1922.21,-4.68
0.69,1922.04,9.09,1922.13,-4.62
0.87,1921.96,9.08,1922.04,-4.74
0.83,1921.88,9.06,1921.96,-4.62
0.81,1921.79,9.07,1921.88,-4.64
0.76,1921.71,9.04,1921.79,-4.72
0.74,1921.63,9,1921.71,-4.87
0.83,1921.54,8.98,1921.63,-4.93
0.94,1921.46,9,1921.54,-4.81
1,1921.38,8.92,1921.46,-4.89
0.99,1921.29,8.93,1921.38,-4.78
0.86,1921.21,9,1921.29,-4.64
1.11,1921.13,9.04,1921.21,-4.67
0.86,1921.04,8.98,1921.13,-4.56
1.03,1920.96,9.05,1921.04,-4.65
1.04,1920.88,8.97,1920.96,-4.66
1.09,1920.79,8.94,1920.88,-4.74
1.01,1920.71,8.92,1920.79,-4.72
0.85,1920.63,8.93,1920.71,-4.78
0.85,1920.54,8.99,1920.63,-4.8
0.89,1920.46,9,1920.54,-4.78
0.94,1920.38,8.96,1920.46,-4.84
1.02,1920.29,8.95,1920.38,-4.81
0.96,1920.21,8.97,1920.29,-4.68
0.95,1920.13,8.96,1920.21,-4.77
1.07,1920.04,8.97,1920.13,-4.75
1.01,1919.96,8.95,1920.04,-4.68
0.84,1919.88,8.92,1919.96,-4.8
0.94,1919.79,8.92,1919.88,-4.98
0.97,1919.71,8.85,1919.79,-5.05
0.98,1919.63,8.86,1919.71,-5
0.95,1919.54,8.89,1919.63,-4.92
0.81,1919.46,8.91,1919.54,-4.9
0.81,1919.38,8.93,1919.46,-4.98
0.86,1919.29,8.98,1919.38,-4.87
0.66,1919.21,9.03,1919.29,-4.69
0.73,1919.13,9.08,1919.21,-4.77
0.76,1919.04,9.08,1919.13,-4.7
0.65,1918.96,9.09,1919.04,-4.64
0.57,1918.88,9.07,1918.96,-4.8
0.43,1918.79,9.06,1918.88,-4.91
0.51,1918.71,9.06,1918.79,-5.06
0.5,1918.63,8.95,1918.71,-5.24
0.62,1918.54,8.92,1918.63,-5.33
0.67,1918.46,8.91,1918.54,-5.22
0.79,1918.38,8.97,1918.46,-5.02
0.68,1918.29,8.99,1918.38,-4.87
0.84,1918.21,9.09,1918.29,-4.74
0.79,1918.13,9.09,1918.21,-4.57
0.79,1918.04,9.11,1918.13,-4.57
0.68,1917.96,9.15,1918.04,-4.49
0.86,1917.88,9.15,1917.96,-4.59
0.68,1917.79,9.08,1917.88,-4.57
0.66,1917.71,9.11,1917.79,-4.69
0.66,1917.63,9.14,1917.71,-4.64
0.72,1917.54,9.12,1917.63,-4.69
0.75,1917.46,9.1,1917.54,-4.67
0.83,1917.38,9.12,1917.46,-4.59
0.85,1917.29,9.11,1917.38,-4.54
0.65,1917.21,9.08,1917.29,-4.58
0.77,1917.13,9.15,1917.21,-4.63
0.64,1917.04,9.16,1917.13,-4.47
0.9,1916.96,9.21,1917.04,-4.48
0.77,1916.88,9.07,1916.96,-4.57
0.76,1916.79,9.07,1916.88,-4.7
0.71,1916.71,9.06,1916.79,-4.71
0.56,1916.63,9.05,1916.71,-4.8
0.62,1916.54,9.04,1916.63,-4.96
0.66,1916.46,9.06,1916.54,-4.85
0.66,1916.38,9.07,1916.46,-4.8
0.82,1916.29,9.07,1916.38,-4.8
0.94,1916.21,9.04,1916.29,-4.71
0.95,1916.13,9.02,1916.21,-4.64
0.86,1916.04,9.01,1916.13,-4.64
0.82,1915.96,9.01,1916.04,-4.74
0.7,1915.88,9,1915.96,-4.81
0.73,1915.79,9.01,1915.88,-4.9
0.88,1915.71,8.95,1915.79,-5.03
0.8,1915.63,8.87,1915.71,-5.05
0.86,1915.54,8.88,1915.63,-5.1
0.77,1915.46,8.88,1915.54,-5.06
0.83,1915.38,8.95,1915.46,-4.98
0.76,1915.29,8.94,1915.38,-4.94
0.76,1915.21,8.93,1915.29,-5.03
0.82,1915.13,8.96,1915.21,-4.97
0.77,1915.04,8.97,1915.13,-4.89
0.81,1914.96,8.94,1915.04,-4.99
0.62,1914.88,8.9,1914.96,-5.05
0.57,1914.79,8.86,1914.88,-5.34
0.5,1914.71,8.86,1914.79,-5.39
0.48,1914.63,8.88,1914.71,-5.41
0.61,1914.54,8.87,1914.63,-5.46
0.69,1914.46,8.92,1914.54,-5.21
0.74,1914.38,8.96,1914.46,-5.03
0.97,1914.29,8.97,1914.38,-4.95
0.83,1914.21,8.95,1914.29,-4.79
0.96,1914.13,8.97,1914.21,-4.87
0.9,1914.04,8.96,1914.13,-4.77
0.89,1913.96,8.96,1914.04,-4.81
0.88,1913.88,8.95,1913.96,-4.86
0.84,1913.79,8.93,1913.88,-4.91
0.94,1913.71,8.93,1913.79,-4.96
0.79,1913.63,8.93,1913.71,-4.86
0.72,1913.54,8.93,1913.63,-5.02
0.93,1913.46,8.96,1913.54,-5.01
0.97,1913.38,8.98,1913.46,-4.73
0.97,1913.29,9,1913.38,-4.66
0.89,1913.21,9.03,1913.29,-4.58
0.89,1913.13,9.07,1913.21,-4.57
0.97,1913.04,9.07,1913.13,-4.57
0.94,1912.96,9.03,1913.04,-4.58
0.85,1912.88,9.01,1912.96,-4.67
0.88,1912.79,8.99,1912.88,-4.81
0.83,1912.71,8.97,1912.79,-4.83
0.65,1912.63,8.94,1912.71,-4.94
0.76,1912.54,8.96,1912.63,-5.07
0.78,1912.46,9,1912.54,-4.87
0.84,1912.38,9,1912.46,-4.85
0.89,1912.29,9.01,1912.38,-4.76
0.93,1912.21,9.03,1912.29,-4.67
0.95,1912.13,9.02,1912.21,-4.65
0.89,1912.04,9.01,1912.13,-4.64
0.69,1911.96,9.02,1912.04,-4.69
0.94,1911.88,9.02,1911.96,-4.88
0.74,1911.79,8.96,1911.88,-4.78
0.89,1911.71,8.98,1911.79,-4.94
0.84,1911.63,8.82,1911.71,-5.16
0.95,1911.54,8.88,1911.63,-5.07
0.81,1911.46,8.89,1911.54,-4.95
0.85,1911.38,8.91,1911.46,-5.02
0.89,1911.29,8.96,1911.38,-4.86
0.76,1911.21,9.01,1911.29,-4.7
0.79,1911.13,9.04,1911.21,-4.78
0.92,1911.04,9.02,1911.13,-4.79
0.95,1910.96,8.99,1911.04,-4.73
0.89,1910.88,9,1910.96,-4.68
0.98,1910.79,9.04,1910.88,-4.64
1.01,1910.71,9.02,1910.79,-4.6
0.91,1910.63,8.98,1910.71,-4.66
0.97,1910.54,8.99,1910.63,-4.74
0.94,1910.46,8.99,1910.54,-4.68
0.85,1910.38,9.02,1910.46,-4.65
0.88,1910.29,9.06,1910.38,-4.64
0.93,1910.21,9.07,1910.29,-4.59
1.03,1910.13,9.07,1910.21,-4.54
1.05,1910.04,9.05,1910.13,-4.48
0.91,1909.96,9.04,1910.04,-4.48
1.01,1909.88,9.07,1909.96,-4.55
0.61,1909.79,9.04,1909.88,-4.51
0.73,1909.71,9.06,1909.79,-4.87
0.73,1909.63,8.99,1909.71,-4.92
0.63,1909.54,8.99,1909.63,-4.92
0.88,1909.46,9.03,1909.54,-4.92
0.84,1909.38,8.95,1909.46,-4.86
0.86,1909.29,8.97,1909.38,-4.86
0.9,1909.21,9,1909.29,-4.77
1.09,1909.13,9.02,1909.21,-4.69
1.01,1909.04,8.99,1909.13,-4.57
0.9,1908.96,8.99,1909.04,-4.64
0.93,1908.88,9.02,1908.96,-4.68
0.89,1908.79,9,1908.88,-4.69
0.9,1908.71,8.93,1908.79,-4.89
0.84,1908.63,8.91,1908.71,-4.95
0.86,1908.54,8.94,1908.63,-4.93
0.83,1908.46,8.95,1908.54,-4.88
0.83,1908.38,8.96,1908.46,-4.88
0.99,1908.29,8.99,1908.38,-4.83
1,1908.21,8.97,1908.29,-4.71
0.95,1908.13,8.96,1908.21,-4.72
0.89,1908.04,8.98,1908.13,-4.72
0.74,1907.96,9.02,1908.04,-4.7
0.64,1907.88,9,1907.96,-4.89
0.7,1907.79,8.97,1907.88,-5.07
0.76,1907.71,8.96,1907.79,-5.03
0.86,1907.63,8.92,1907.71,-5.07
0.91,1907.54,8.85,1907.63,-5.13
0.98,1907.46,8.84,1907.54,-5.11
1.01,1907.38,8.84,1907.46,-5.03
0.99,1907.29,8.85,1907.38,-4.97
0.94,1907.21,8.85,1907.29,-4.99
0.97,1907.13,8.88,1907.21,-4.98
0.95,1907.04,8.9,1907.13,-4.9
0.87,1906.96,8.9,1907.04,-4.91
0.96,1906.88,8.94,1906.96,-4.9
0.79,1906.79,8.94,1906.88,-4.81
0.87,1906.71,8.96,1906.79,-4.94
0.7,1906.63,8.93,1906.71,-4.92
0.77,1906.54,8.95,1906.63,-5.05
0.81,1906.46,8.95,1906.54,-4.97
0.89,1906.38,8.97,1906.46,-4.89
0.85,1906.29,8.95,1906.38,-4.85
0.83,1906.21,8.93,1906.29,-4.93
0.94,1906.13,8.95,1906.21,-4.92
1.1,1906.04,8.93,1906.13,-4.87
0.84,1905.96,8.85,1906.04,-4.88
0.83,1905.88,8.93,1905.96,-4.95
0.78,1905.79,8.94,1905.88,-4.95
0.72,1905.71,8.92,1905.79,-5.04
0.61,1905.63,8.87,1905.71,-5.23
0.66,1905.54,8.84,1905.63,-5.39
0.61,1905.46,8.83,1905.54,-5.37
0.74,1905.38,8.81,1905.46,-5.47
0.79,1905.29,8.85,1905.38,-5.24
0.86,1905.21,8.93,1905.29,-5
1.02,1905.13,8.96,1905.21,-4.87
0.88,1905.04,8.94,1905.13,-4.76
0.98,1904.96,8.93,1905.04,-4.91
0.98,1904.88,8.93,1904.96,-4.81
0.9,1904.79,8.95,1904.88,-4.77
0.95,1904.71,8.86,1904.79,-5.06
0.8,1904.63,8.86,1904.71,-5.01
0.94,1904.54,8.9,1904.63,-5.07
0.97,1904.46,8.94,1904.54,-4.83
1.02,1904.38,8.95,1904.46,-4.78
0.93,1904.29,8.96,1904.38,-4.71
1.05,1904.21,8.95,1904.29,-4.82
1.2,1904.13,8.96,1904.21,-4.67
1.17,1904.04,8.96,1904.13,-4.51
1.03,1903.96,8.95,1904.04,-4.58
0.99,1903.88,8.89,1903.96,-4.85
0.99,1903.79,8.89,1903.88,-4.89
0.89,1903.71,8.89,1903.79,-4.89
0.58,1903.63,8.88,1903.71,-5.01
0.71,1903.54,8.95,1903.63,-5.17
0.79,1903.46,8.95,1903.54,-5.04
0.85,1903.38,8.94,1903.46,-4.98
0.81,1903.29,8.92,1903.38,-4.96
0.78,1903.21,8.92,1903.29,-5.01
0.87,1903.13,8.92,1903.21,-5.04
0.9,1903.04,8.91,1903.13,-4.96
0.93,1902.96,8.91,1903.04,-4.94
0.87,1902.88,8.86,1902.96,-5.03
0.76,1902.79,8.85,1902.88,-5.12
0.84,1902.71,8.87,1902.79,-5.19
0.8,1902.63,8.83,1902.71,-5.19
0.73,1902.54,8.84,1902.63,-5.2
0.78,1902.46,8.91,1902.54,-5.11
0.88,1902.38,8.94,1902.46,-4.99
0.93,1902.29,8.96,1902.38,-4.85
0.99,1902.21,8.99,1902.29,-4.71
1.05,1902.13,9.02,1902.21,-4.6
1.09,1902.04,9,1902.13,-4.58
1.05,1901.96,8.97,1902.04,-4.61
1.08,1901.88,8.98,1901.96,-4.62
1.06,1901.79,8.95,1901.88,-4.67
0.98,1901.71,8.89,1901.79,-4.83
1,1901.63,8.88,1901.71,-4.94
0.93,1901.54,8.86,1901.63,-4.96
0.93,1901.46,8.91,1901.54,-4.9
1.05,1901.38,8.94,1901.46,-4.85
0.9,1901.29,8.95,1901.38,-4.7
0.94,1901.21,8.98,1901.29,-4.77
0.93,1901.13,8.99,1901.21,-4.71
0.86,1901.04,8.99,1901.13,-4.72
0.82,1900.96,8.99,1901.04,-4.79
0.73,1900.88,8.93,1900.96,-4.98
0.69,1900.79,8.95,1900.88,-5.02
0.81,1900.71,8.94,1900.79,-5.07
0.77,1900.63,8.92,1900.71,-5.01
0.76,1900.54,8.9,1900.63,-5.09
0.74,1900.46,8.91,1900.54,-5.08
0.71,1900.38,8.92,1900.46,-5.08
0.68,1900.29,8.95,1900.38,-5.04
0.71,1900.21,8.98,1900.29,-4.99
0.77,1900.13,9,1900.21,-4.92
0.73,1900.04,9.01,1900.13,-4.83
0.69,1899.96,9.03,1900.04,-4.83
0.66,1899.88,8.98,1899.96,-4.98
0.7,1899.79,8.96,1899.88,-5.06
0.65,1899.71,8.9,1899.79,-5.17
0.6,1899.63,8.87,1899.71,-5.29
0.8,1899.54,8.87,1899.63,-5.35
1.03,1899.46,8.86,1899.54,-5.16
1.19,1899.38,8.84,1899.46,-4.98
0.97,1899.29,8.87,1899.38,-4.74
0.8,1899.21,8.96,1899.29,-4.75
0.99,1899.13,9.07,1899.21,-4.67
0.94,1899.04,9.08,1899.13,-4.46
1,1898.96,9.05,1899.04,-4.57
0.8,1898.88,9.01,1898.96,-4.6
0.76,1898.79,9.02,1898.88,-4.77
0.86,1898.71,9,1898.79,-4.86
0.84,1898.63,8.98,1898.71,-4.81
0.83,1898.54,8.96,1898.63,-4.87
0.84,1898.46,9.01,1898.54,-4.76
0.81,1898.38,9.05,1898.46,-4.67
0.79,1898.29,9.09,1898.38,-4.61
0.79,1898.21,9.1,1898.29,-4.6
0.88,1898.13,9.1,1898.21,-4.6
0.82,1898.04,9.08,1898.13,-4.56
0.66,1897.96,9.07,1898.04,-4.65
0.7,1897.88,9.05,1897.96,-4.85
0.8,1897.79,9.02,1897.88,-4.88
0.82,1897.71,8.99,1897.79,-4.86
0.79,1897.63,8.96,1897.71,-4.91
0.73,1897.54,8.97,1897.63,-4.92
0.79,1897.46,9.02,1897.54,-4.85
0.85,1897.38,9.02,1897.46,-4.79
0.82,1897.29,9.04,1897.38,-4.69
0.81,1897.21,9.06,1897.29,-4.67
0.85,1897.13,9.05,1897.21,-4.69
0.84,1897.04,9.04,1897.13,-4.68
0.94,1896.96,9.01,1897.04,-4.76
0.92,1896.88,8.94,1896.96,-4.83
0.81,1896.79,8.93,1896.88,-4.86
