d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1]
-3.42,1922.13,9.17,1922.13
-3.56,1922.04,9.07,1922.04
-3.78,1921.96,8.98,1921.96
-3.86,1921.88,9.13,1921.88
-4,1921.79,9.05,1921.79
-3.69,1921.71,8.94,1921.71
-3.93,1921.63,9.04,1921.63
-3.94,1921.54,9.05,1921.54
-3.95,1921.46,9.09,1921.46
-3.5,1921.38,8.93,1921.38
-3.39,1921.29,9.03,1921.29
-3.25,1921.21,9.21,1921.21
-3.27,1921.13,9.28,1921.13
-3.37,1921.04,9.24,1921.04
-3.44,1920.96,9.23,1920.96
-3.37,1920.88,9.3,1920.88
-3.53,1920.79,9.25,1920.79
-3.56,1920.71,9.2,1920.71
-3.78,1920.63,9.19,1920.63
-3.93,1920.54,9.09,1920.54
-4.08,1920.46,9.05,1920.46
-3.94,1920.38,9,1920.38
-3.52,1920.29,9.08,1920.29
-3.06,1920.21,8.99,1920.21
-3.51,1920.13,9.13,1920.13
-3.38,1920.04,9.17,1920.04
-3.37,1919.96,8.94,1919.96
-3.22,1919.88,9.21,1919.88
-3.76,1919.79,9.02,1919.79
-4.06,1919.71,9.05,1919.71
-3.67,1919.63,9.07,1919.63
-3.76,1919.54,9.09,1919.54
-3.93,1919.46,9.22,1919.46
-3.87,1919.38,8.99,1919.38
-3.61,1919.29,9.08,1919.29
-2.79,1919.21,9.17,1919.21
-3.19,1919.13,9.21,1919.13
-3.34,1919.04,9.19,1919.04
-3.56,1918.96,9.12,1918.96
-3.29,1918.88,8.94,1918.88
-3.73,1918.79,8.93,1918.79
-3.91,1918.71,8.98,1918.71
-3.98,1918.63,8.86,1918.63
-4.18,1918.54,8.89,1918.54
-3.85,1918.46,8.93,1918.46
-3.42,1918.38,9.13,1918.38
-3.24,1918.29,9.15,1918.29
-3.05,1918.21,9.15,1918.21
-3.11,1918.13,9.14,1918.13
-3.28,1918.04,9.15,1918.04
-3.41,1917.96,9.15,1917.96
-3.48,1917.88,9.12,1917.88
-3.67,1917.79,9.13,1917.79
-3.88,1917.71,9.1,1917.71
-3.75,1917.63,9.09,1917.63
-3.41,1917.54,9.03,1917.54
-3.57,1917.46,9.01,1917.46
-3.23,1917.38,9.12,1917.38
-3.04,1917.29,9.18,1917.29
-2.88,1917.21,9.09,1917.21
-3.01,1917.13,9.13,1917.13
-3.2,1917.04,9.01,1917.04
-3.34,1916.96,9.09,1916.96
-3.48,1916.88,9.21,1916.88
-3.73,1916.79,9.21,1916.79
-3.82,1916.71,9.11,1916.71
-3.84,1916.63,8.94,1916.63
-3.88,1916.54,9.01,1916.54
-3.63,1916.46,9.16,1916.46
-3.24,1916.38,9.16,1916.38
-2.98,1916.29,9.2,1916.29
-2.79,1916.21,9.25,1916.21
-2.81,1916.13,9.29,1916.13
-2.94,1916.04,9.26,1916.04
-3.09,1915.96,9.24,1915.96
-3.29,1915.88,9.14,1915.88
-3.37,1915.79,9.06,1915.79
-3.5,1915.71,9.1,1915.71
-3.74,1915.63,9.1,1915.63
-3.64,1915.54,9.01,1915.54
-3.47,1915.46,9.07,1915.46
-3.37,1915.38,9.15,1915.38
-2.95,1915.29,9.17,1915.29
-2.89,1915.21,9.1,1915.21
-3.01,1915.13,9.23,1915.13
-3.21,1915.04,9.24,1915.04
-3.28,1914.96,9.2,1914.96
-3.5,1914.88,9.15,1914.88
-3.66,1914.79,9.13,1914.79
-3.91,1914.71,9.14,1914.71
-3.8,1914.63,8.97,1914.63
-3.83,1914.54,9.08,1914.54
-3.65,1914.46,9.13,1914.46
-3.39,1914.38,9.15,1914.38
-3.08,1914.29,9.22,1914.29
-2.86,1914.21,9.19,1914.21
-3.06,1914.13,9.25,1914.13
-3.24,1914.04,9.08,1914.04
-3.35,1913.96,9.06,1913.96
-3.45,1913.88,9.18,1913.88
-3.57,1913.79,9.13,1913.79
-3.66,1913.71,9.12,1913.71
-3.79,1913.63,9.09,1913.63
-3.59,1913.54,9.05,1913.54
-3.45,1913.46,9.12,1913.46
-3.2,1913.38,9.18,1913.38
-3,1913.29,9.24,1913.29
-2.93,1913.21,9.28,1913.21
-2.97,1913.13,9.25,1913.13
-3.05,1913.04,9.2,1913.04
-3.16,1912.96,9.15,1912.96
-3.28,1912.88,9.2,1912.88
-3.26,1912.79,9.17,1912.79
-3.41,1912.71,9.16,1912.71
-3.58,1912.63,9.03,1912.63
-3.76,1912.54,9.04,1912.54
-3.88,1912.46,9.02,1912.46
-3.79,1912.38,9.07,1912.38
-3.7,1912.29,9.13,1912.29
-3.29,1912.21,9.31,1912.21
-3.54,1912.13,9.07,1912.13
-3.65,1912.04,9.07,1912.04
-3.59,1911.96,9.09,1911.96
-3.68,1911.88,9.08,1911.88
-3.87,1911.79,9.05,1911.79
-4.05,1911.71,9.02,1911.71
-4.2,1911.63,9,1911.63
-4.11,1911.54,9.04,1911.54
-3.82,1911.46,9.05,1911.46
-3.63,1911.38,9.04,1911.38
-3.4,1911.29,9.11,1911.29
-3.21,1911.21,9.27,1911.21
-3.45,1911.13,9.2,1911.13
-3.48,1911.04,9.18,1911.04
-3.66,1910.96,9.06,1910.96
-3.8,1910.88,9.03,1910.88
-3.77,1910.79,9.08,1910.79
-3.68,1910.71,9.13,1910.71
-3.59,1910.63,9.18,1910.63
-3.5,1910.54,9.22,1910.54
-3.4,1910.46,9.19,1910.46
-3.3,1910.38,9.17,1910.38
-3.19,1910.29,9.21,1910.29
-3.08,1910.21,9.23,1910.21
-3.22,1910.13,9.09,1910.13
-3.08,1910.04,9.18,1910.04
-3.23,1909.96,9.2,1909.96
-3.3,1909.88,9.19,1909.88
-3.32,1909.79,9.19,1909.79
-3.4,1909.71,9.14,1909.71
-3.51,1909.63,9.11,1909.63
-3.59,1909.54,9.13,1909.54
-3.62,1909.46,9.14,1909.46
-3.47,1909.38,9.14,1909.38
-3.3,1909.29,9.2,1909.29
-3.13,1909.21,9.23,1909.21
-3.16,1909.13,9.15,1909.13
-3.29,1909.04,9.2,1909.04
-3.26,1908.96,9.21,1908.96
-3.38,1908.88,9.22,1908.88
-3.41,1908.79,9.1,1908.79
-3.52,1908.71,9.14,1908.71
-3.4,1908.63,9.18,1908.63
-3.66,1908.54,8.98,1908.54
-3.64,1908.46,9.17,1908.46
-3.63,1908.38,9.15,1908.38
-3.36,1908.29,9.18,1908.29
-3.18,1908.21,8.96,1908.21
-3.22,1908.13,9.13,1908.13
-3.26,1908.04,9.1,1908.04
-3.15,1907.96,9.15,1907.96
-3.31,1907.88,9.09,1907.88
-3.41,1907.79,9.08,1907.79
-3.38,1907.71,9.1,1907.71
-3.48,1907.63,9.16,1907.63
-3.5,1907.54,9.22,1907.54
-3.26,1907.46,9.21,1907.46
-3.22,1907.38,9.16,1907.38
-3.32,1907.29,9.23,1907.29
-3.13,1907.21,9.17,1907.21
-3.14,1907.13,9.16,1907.13
-3.25,1907.04,9.11,1907.04
-3.33,1906.96,8.94,1906.96
-3.27,1906.88,9.13,1906.88
-3.18,1906.79,9.13,1906.79
-3.31,1906.71,9.16,1906.71
-3.5,1906.63,9.08,1906.63
-3.6,1906.54,9.11,1906.54
-3.84,1906.46,9.03,1906.46
-3.44,1906.38,9.11,1906.38
-3.34,1906.29,9.11,1906.29
-3.23,1906.21,9.14,1906.21
-3.35,1906.13,9.16,1906.13
-3.45,1906.04,9.13,1906.04
-3.6,1905.96,9.06,1905.96
-3.76,1905.88,8.95,1905.88
-3.97,1905.79,9.07,1905.79
-4.04,1905.71,9.05,1905.71
-3.98,1905.63,9.13,1905.63
-4.13,1905.54,9.04,1905.54
-4.21,1905.46,9,1905.46
-4.12,1905.38,9.11,1905.38
-3.82,1905.29,9.14,1905.29
-3.3,1905.21,9.14,1905.21
-3.52,1905.13,9.16,1905.13
-3.74,1905.04,9.16,1905.04
-3.77,1904.96,9.15,1904.96
-3.93,1904.88,9.02,1904.88
-4.09,1904.79,8.99,1904.79
-4.31,1904.71,9.03,1904.71
-4.05,1904.63,9.04,1904.63
-3.94,1904.54,9.05,1904.54
-3.52,1904.46,9.07,1904.46
-3.47,1904.38,9.11,1904.38
-3.39,1904.29,9.16,1904.29
-3.3,1904.21,9.07,1904.21
-3.42,1904.13,9.03,1904.13
-3.57,1904.04,9.02,1904.04
-3.73,1903.96,9.02,1903.96
-3.88,1903.88,9.02,1903.88
-3.97,1903.79,9.01,1903.79
-3.94,1903.71,9,1903.71
-3.84,1903.63,8.98,1903.63
-3.73,1903.54,8.97,1903.54
-3.6,1903.46,9.01,1903.46
-3.5,1903.38,9.05,1903.38
-3.44,1903.29,9.11,1903.29
-3.42,1903.21,9.19,1903.21
-3.54,1903.13,9.16,1903.13
-3.53,1903.04,9.18,1903.04
-3.71,1902.96,9.13,1902.96
-3.9,1902.88,9.1,1902.88
-4.06,1902.79,9.07,1902.79
-4.11,1902.71,9.06,1902.71
-4.01,1902.63,9.06,1902.63
-3.63,1902.54,9.06,1902.54
-3.53,1902.46,9.08,1902.46
-3.62,1902.38,9.1,1902.38
-3.5,1902.29,9.12,1902.29
-3.28,1902.21,9.17,1902.21
-3.35,1902.13,9.25,1902.13
-3.48,1902.04,9.24,1902.04
-3.5,1901.96,9.21,1901.96
-3.9,1901.88,9.13,1901.88
-4.1,1901.79,9.08,1901.79
-4.15,1901.71,9.08,1901.71
-4.18,1901.63,9.05,1901.63
-4.1,1901.54,9.04,1901.54
-3.79,1901.46,9.08,1901.46
-3.51,1901.38,9.16,1901.38
-3.49,1901.29,9.19,1901.29
-3.38,1901.21,9.24,1901.21
-3.49,1901.13,9.21,1901.13
-3.48,1901.04,9.19,1901.04
-3.6,1900.96,9.18,1900.96
-3.78,1900.88,9.16,1900.88
-3.92,1900.79,9.13,1900.79
-4.03,1900.71,9.1,1900.71
-4.04,1900.63,9.09,1900.63
-4.06,1900.54,9.09,1900.54
-3.99,1900.46,9.07,1900.46
-3.79,1900.38,9.07,1900.38
-3.5,1900.29,9.12,1900.29
-3.26,1900.21,9.17,1900.21
-3.3,1900.13,9.18,1900.13
-3.33,1900.04,9.19,1900.04
-3.55,1899.96,9.17,1899.96
-3.53,1899.88,9.14,1899.88
-3.79,1899.79,9.11,1899.79
-3.77,1899.71,9.07,1899.71
-3.83,1899.63,9.07,1899.63
-3.72,1899.54,9.09,1899.54
-3.52,1899.46,9.16,1899.46
-3.45,1899.38,9.2,1899.38
-3.27,1899.29,9.23,1899.29
-3.26,1899.21,9.27,1899.21
-3.34,1899.13,9.29,1899.13
-3.37,1899.04,9.26,1899.04
-3.46,1898.96,9.25,1898.96
-3.56,1898.88,9.2,1898.88
-3.69,1898.79,9.18,1898.79
-3.91,1898.71,9.11,1898.71
-4.07,1898.63,9.06,1898.63
-4.08,1898.54,9.04,1898.54
-3.8,1898.46,9.08,1898.46
-3.38,1898.38,9.13,1898.38
-3.3,1898.29,9.21,1898.29
-3.18,1898.21,9.18,1898.21
-3.39,1898.13,9.19,1898.13
-3.55,1898.04,9.16,1898.04
-3.72,1897.96,9.09,1897.96
-3.9,1897.88,9.1,1897.88
-3.94,1897.79,9.08,1897.79
-3.99,1897.71,9.04,1897.71
-3.97,1897.63,9.03,1897.63
-3.98,1897.54,9.06,1897.54
-3.76,1897.46,9.09,1897.46
-3.38,1897.38,9.1,1897.38
-3.33,1897.29,9.19,1897.29
-3.3,1897.21,9.23,1897.21
-3.39,1897.13,9.22,1897.13
-3.46,1897.04,9.21,1897.04
-3.6,1896.96,9.15,1896.96
-3.78,1896.88,9.11,1896.88
-3.89,1896.79,9.09,1896.79
-4.02,1896.71,9.06,1896.71
-4.06,1896.63,9.03,1896.63
-3.96,1896.54,9.06,1896.54
-3.79,1896.46,9.09,1896.46
-3.56,1896.38,9.12,1896.38
-3.33,1896.29,9.21,1896.29
-3.28,1896.21,9.25,1896.21
-3.34,1896.13,9.22,1896.13
-3.49,1896.04,9.23,1896.04
-3.57,1895.96,9.22,1895.96
-3.68,1895.88,9.19,1895.88
-3.95,1895.79,9.13,1895.79
-4.13,1895.71,9.09,1895.71
-4.15,1895.63,9.09,1895.63
-4.11,1895.54,9.07,1895.54
-4.03,1895.46,9.1,1895.46
-3.7,1895.38,9.18,1895.38
-3.43,1895.29,9.22,1895.29
-3.24,1895.21,9.26,1895.21
-3.29,1895.13,9.3,1895.13
-3.41,1895.04,9.24,1895.04
-3.5,1894.96,9.19,1894.96
-3.67,1894.88,9.13,1894.88
-3.75,1894.79,9.09,1894.79
-3.74,1894.71,9.11,1894.71
-3.72,1894.63,9.11,1894.63
-3.98,1894.54,9.08,1894.54
-3.72,1894.46,9.09,1894.46
-3.42,1894.38,9.14,1894.38
-3.24,1894.29,9.22,1894.29
-3.14,1894.21,9.23,1894.21
-3.31,1894.13,9.21,1894.13
-3.38,1894.04,9.11,1894.04
-3.62,1893.96,9.15,1893.96
-3.82,1893.88,9.17,1893.88
-3.84,1893.79,9.13,1893.79
-4.04,1893.71,9.14,1893.71
-4.05,1893.63,9.07,1893.63
-3.87,1893.54,9.05,1893.54
-3.87,1893.46,9.03,1893.46
-3.69,1893.38,9.1,1893.38
-3.5,1893.29,9.18,1893.29
-3.21,1893.21,9.16,1893.21
-3.25,1893.13,9.21,1893.13
-3.46,1893.04,9.24,1893.04
-3.58,1892.96,9.19,1892.96
-3.78,1892.88,9.15,1892.88
-3.91,1892.79,9.13,1892.79
-3.97,1892.71,9.12,1892.71
-4.02,1892.63,9.09,1892.63
-4.05,1892.54,9.08,1892.54
-3.72,1892.46,9.09,1892.46
-3.44,1892.38,9.16,1892.38
-3.32,1892.29,9.2,1892.29
-3.26,1892.21,9.22,1892.21
-3.35,1892.13,9.23,1892.13
-3.52,1892.04,9.2,1892.04
-3.68,1891.96,9.17,1891.96
-3.82,1891.88,9.13,1891.88
-3.89,1891.79,9.11,1891.79
-3.85,1891.71,9.09,1891.71
-3.86,1891.63,9.09,1891.63
-3.75,1891.54,9.11,1891.54
-3.42,1891.46,9.18,1891.46
-3.33,1891.38,9.22,1891.38
-3.39,1891.29,9.21,1891.29
-3.27,1891.21,9.24,1891.21
-3.3,1891.13,9.21,1891.13
-3.4,1891.04,9.19,1891.04
-3.43,1890.96,9.17,1890.96
-3.45,1890.88,9.15,1890.88
-3.53,1890.79,9.13,1890.79
-3.63,1890.71,9.13,1890.71
-3.67,1890.63,9.09,1890.63
-3.67,1890.54,9.09,1890.54
-3.59,1890.46,9.11,1890.46
-3.47,1890.38,9.13,1890.38
-3.34,1890.29,9.16,1890.29
-3.21,1890.21,9.18,1890.21
-3.22,1890.13,9.23,1890.13
-3.34,1890.04,9.22,1890.04
-3.54,1889.96,9.23,1889.96
-3.76,1889.88,9.2,1889.88
-3.86,1889.79,9.14,1889.79
-3.91,1889.71,9.13,1889.71
-3.95,1889.63,9.11,1889.63
-3.98,1889.54,9.09,1889.54
-4.01,1889.46,9.11,1889.46
-3.95,1889.38,9.16,1889.38
-3.51,1889.29,9.18,1889.29
-3.32,1889.21,9.21,1889.21
-3.33,1889.13,9.26,1889.13
-3.44,1889.04,9.24,1889.04
-3.56,1888.96,9.19,1888.96
-3.75,1888.88,9.18,1888.88
-3.93,1888.79,9.13,1888.79
-4.02,1888.71,9.14,1888.71
-4.02,1888.63,9.09,1888.63
-3.91,1888.54,9.1,1888.54
-3.7,1888.46,9.07,1888.46
-3.58,1888.38,9.1,1888.38
-3.38,1888.29,9.13,1888.29
-3.19,1888.21,9.18,1888.21
-3.28,1888.13,9.17,1888.13
-3.18,1888.04,9.26,1888.04
-3.4,1887.96,9.27,1887.96
-3.58,1887.88,9.25,1887.88
-3.76,1887.79,9.22,1887.79
-3.93,1887.71,9.18,1887.71
-3.98,1887.63,9.13,1887.63
-3.95,1887.54,9.09,1887.54
-3.89,1887.46,9.07,1887.46
-3.59,1887.38,9.06,1887.38
-3.32,1887.29,9.03,1887.29
-3.26,1887.21,9.1,1887.21
-3.44,1887.13,9.15,1887.13
-3.6,1887.04,9.19,1887.04
-3.66,1886.96,9.18,1886.96
-3.85,1886.88,9.12,1886.88
-3.85,1886.79,9.09,1886.79
-3.98,1886.71,9.1,1886.71
-3.89,1886.63,9.08,1886.63
-3.88,1886.54,9.07,1886.54
-3.46,1886.46,9.08,1886.46
-3.25,1886.38,9.13,1886.38
-3.19,1886.29,9.18,1886.29
-3.26,1886.21,9.22,1886.21
-3.31,1886.13,9.22,1886.13
-3.53,1886.04,9.19,1886.04
-3.79,1885.96,9.16,1885.96
-3.92,1885.88,9.11,1885.88
-3.9,1885.79,9.08,1885.79
-3.91,1885.71,9.08,1885.71
-3.92,1885.63,9,1885.63
-3.77,1885.54,9.02,1885.54
-3.54,1885.46,9.06,1885.46
-3.4,1885.38,9.1,1885.38
-3.39,1885.29,9.15,1885.29
-3.26,1885.21,9.17,1885.21
-3.37,1885.13,9.19,1885.13
-3.54,1885.04,9.18,1885.04
-3.69,1884.96,9.15,1884.96
-3.76,1884.88,9.13,1884.88
-3.85,1884.79,9.09,1884.79
-3.92,1884.71,9.09,1884.71
-3.92,1884.63,9.1,1884.63
-3.77,1884.54,9.07,1884.54
-3.65,1884.46,9.08,1884.46
-3.43,1884.38,9.08,1884.38
-3.23,1884.29,9.09,1884.29
-3.14,1884.21,9.13,1884.21
-3.25,1884.13,9.18,1884.13
-3.32,1884.04,9.19,1884.04
-3.41,1883.96,9.16,1883.96
-3.62,1883.88,9.12,1883.88
-3.76,1883.79,9.07,1883.79
-3.73,1883.71,9.05,1883.71
-3.97,1883.63,9.03,1883.63
-3.81,1883.54,9.04,1883.54
-3.55,1883.46,9.07,1883.46
-3.2,1883.38,9.17,1883.38
-3.07,1883.29,9.24,1883.29
-3.04,1883.21,9.26,1883.21
-3.16,1883.13,9.22,1883.13
-3.26,1883.04,9.18,1883.04
-3.39,1882.96,9.16,1882.96
-3.5,1882.88,9.11,1882.88
-3.7,1882.79,9.07,1882.79
-3.84,1882.71,9.03,1882.71
-3.85,1882.63,9.01,1882.63
-3.75,1882.54,9.02,1882.54
-3.65,1882.46,9.04,1882.46
-3.42,1882.38,9.09,1882.38
-3.17,1882.29,9.17,1882.29
-3.12,1882.21,9.18,1882.21
-3.24,1882.13,9.19,1882.13
-3.41,1882.04,9.15,1882.04
-3.74,1881.96,9.09,1881.96
-4,1881.88,9.06,1881.88
-4.06,1881.79,9.03,1881.79
-4.14,1881.71,9.02,1881.71
-4.06,1881.63,9.02,1881.63
-3.95,1881.54,9.03,1881.54
-3.81,1881.46,9.07,1881.46
-3.66,1881.38,9.11,1881.38
-3.36,1881.29,9.15,1881.29
-3.16,1881.21,9.22,1881.21
-3.22,1881.13,9.23,1881.13
-3.2,1881.04,9.23,1881.04
-3.26,1880.96,9.22,1880.96
-3.38,1880.88,9.2,1880.88
-3.47,1880.79,9.15,1880.79
-3.51,1880.71,9.11,1880.71
-3.62,1880.63,9.09,1880.63
-3.68,1880.54,9.07,1880.54
-3.67,1880.46,9.05,1880.46
-3.62,1880.38,9.03,1880.38
-3.5,1880.29,9.01,1880.29
-3.16,1880.21,9.06,1880.21
-3.18,1880.13,9.17,1880.13
-3.21,1880.04,9.18,1880.04
-3.32,1879.96,9.16,1879.96
-3.55,1879.88,9.14,1879.88
-3.69,1879.79,9.1,1879.79
-3.8,1879.71,9.04,1879.71
-3.92,1879.63,8.98,1879.63
-3.9,1879.54,9,1879.54
-3.88,1879.46,8.99,1879.46
-3.73,1879.38,9.03,1879.38
-3.48,1879.29,9.09,1879.29
-3.23,1879.21,9.16,1879.21
-3.31,1879.13,9.2,1879.13
-3.37,1879.04,9.19,1879.04
-3.47,1878.96,9.17,1878.96
-3.59,1878.88,9.14,1878.88
-3.67,1878.79,9.1,1878.79
-3.73,1878.71,9.07,1878.71
-3.8,1878.63,9.03,1878.63
-3.8,1878.54,9.02,1878.54
-3.73,1878.46,9.05,1878.46
-3.57,1878.38,9.11,1878.38
-3.32,1878.29,9.16,1878.29
-3.18,1878.21,9.23,1878.21
-3.19,1878.13,9.27,1878.13
-3.44,1878.04,9.19,1878.04
-3.56,1877.96,9.16,1877.96
-3.71,1877.88,9.11,1877.88
-3.8,1877.79,9.06,1877.79
-3.88,1877.71,9.02,1877.71
-3.9,1877.63,9,1877.63
-3.81,1877.54,9.02,1877.54
-3.68,1877.46,9.1,1877.46
-3.38,1877.38,9.15,1877.38
-3.14,1877.29,9.2,1877.29
-2.98,1877.21,9.25,1877.21
-3.15,1877.13,9.25,1877.13
-3.2,1877.04,9.24,1877.04
-3.27,1876.96,9.2,1876.96
-3.37,1876.88,9.16,1876.88
-3.5,1876.79,9.12,1876.79
-3.79,1876.71,9.09,1876.71
-3.84,1876.63,9.04,1876.63
-3.84,1876.54,9,1876.54
-3.8,1876.46,9,1876.46
-3.65,1876.38,9.03,1876.38
-3.36,1876.29,9.09,1876.29
-2.97,1876.21,9.2,1876.21
-3.16,1876.13,9.19,1876.13
-3.24,1876.04,9.2,1876.04
-3.45,1875.96,9.14,1875.96
-3.63,1875.88,9.1,1875.88
-3.81,1875.79,9.06,1875.79
-4.05,1875.71,9,1875.71
-3.96,1875.63,9.03,1875.63
-4.02,1875.54,9,1875.54
-3.88,1875.46,9.03,1875.46
-3.59,1875.38,9.1,1875.38
-3.32,1875.29,9.17,1875.29
-3.15,1875.21,9.24,1875.21
-3.28,1875.13,9.22,1875.13
-3.26,1875.04,9.19,1875.04
-3.3,1874.96,9.17,1874.96
-3.36,1874.88,9.14,1874.88
-3.5,1874.79,9.11,1874.79
-3.7,1874.71,9.07,1874.71
-3.78,1874.63,9.02,1874.63
-3.7,1874.54,9,1874.54
-3.6,1874.46,9.01,1874.46
-3.41,1874.38,9.06,1874.38
-3.17,1874.29,9.15,1874.29
-3.08,1874.21,9.17,1874.21
-3.3,1874.13,9.18,1874.13
-3.52,1874.04,9.14,1874.04
-3.73,1873.96,9.1,1873.96
-4.11,1873.88,9.07,1873.88
-3.99,1873.79,8.94,1873.79
-3.61,1873.71,9,1873.71
-3.97,1873.63,9.02,1873.63
-3.99,1873.54,9,1873.54
-3.82,1873.46,8.99,1873.46
-3.56,1873.38,9.02,1873.38
-3.29,1873.29,9.13,1873.29
-3.11,1873.21,9.17,1873.21
-3.25,1873.13,9.18,1873.13
-3.51,1873.04,9.15,1873.04
-3.6,1872.96,9.12,1872.96
-3.7,1872.88,9.11,1872.88
-3.75,1872.79,9.07,1872.79
-3.83,1872.71,8.99,1872.71
-3.93,1872.63,8.96,1872.63
-3.88,1872.54,8.98,1872.54
-3.72,1872.46,8.98,1872.46
-3.63,1872.38,9.03,1872.38
-3.16,1872.29,9.13,1872.29
-3.13,1872.21,9.18,1872.21
-3.29,1872.13,9.17,1872.13
-3.54,1872.04,9.11,1872.04
-3.64,1871.96,9.07,1871.96
-3.9,1871.88,8.99,1871.88
-3.86,1871.79,8.98,1871.79
-4.03,1871.71,8.97,1871.71
-4.01,1871.63,8.96,1871.63
-3.9,1871.54,8.97,1871.54
-3.64,1871.46,9.05,1871.46
-3.33,1871.38,9.1,1871.38
-3.37,1871.29,9.16,1871.29
-3.14,1871.21,9.18,1871.21
-3.31,1871.13,9.18,1871.13
-3.54,1871.04,9.15,1871.04
-3.36,1870.96,9.03,1870.96
-3.47,1870.88,8.98,1870.88
-3.53,1870.79,8.98,1870.79
-3.57,1870.71,8.99,1870.71
-3.59,1870.63,8.99,1870.63
-3.67,1870.54,8.97,1870.54
-3.73,1870.46,8.92,1870.46
-3.48,1870.38,8.95,1870.38
-3.12,1870.29,9.07,1870.29
-2.79,1870.21,9.13,1870.21
-2.94,1870.13,9.14,1870.13
-3.1,1870.04,9.12,1870.04
-3.34,1869.96,9.07,1869.96
-3.51,1869.88,9.02,1869.88
-3.53,1869.79,9,1869.79
-3.54,1869.71,8.98,1869.71
-3.62,1869.63,9.02,1869.63
-3.71,1869.54,9.02,1869.54
-3.71,1869.46,9.01,1869.46
-3.54,1869.38,9,1869.38
-3.23,1869.29,9.01,1869.29
-2.96,1869.21,9.09,1869.21
-3.03,1869.13,9.18,1869.13
-3.08,1869.04,9.15,1869.04
-3.12,1868.96,9.09,1868.96
-3.17,1868.88,9.06,1868.88
-3.27,1868.79,9.06,1868.79
-3.46,1868.71,9.07,1868.71
-3.65,1868.63,9.04,1868.63
-3.7,1868.54,9.01,1868.54
-3.59,1868.46,8.98,1868.46
-3.48,1868.38,8.98,1868.38
-3.43,1868.29,9,1868.29
-3.11,1868.21,9,1868.21
-3.18,1868.13,9.1,1868.13
-3.09,1868.04,9.1,1868.04
-3.43,1867.96,9,1867.96
-3.74,1867.88,8.99,1867.88
-3.84,1867.79,9.03,1867.79
-3.83,1867.71,9.03,1867.71
-3.86,1867.63,9.01,1867.63
-3.85,1867.54,9,1867.54
-3.69,1867.46,9.01,1867.46
-3.56,1867.38,9.05,1867.38
-3.46,1867.29,9.1,1867.29
-3.21,1867.21,9.2,1867.21
-3.25,1867.13,NA,NA
-3.38,1867.04,NA,NA
-3.52,1866.96,NA,NA
-3.53,1866.88,NA,NA
-3.74,1866.79,NA,NA
-3.75,1866.71,NA,NA
-3.65,1866.63,NA,NA
-3.56,1866.54,NA,NA
-3.47,1866.46,NA,NA
-3.36,1866.38,NA,NA
-3.21,1866.29,NA,NA
-2.99,1866.21,NA,NA
-3,1866.13,NA,NA
-3.06,1866.04,NA,NA
-3,1865.96,NA,NA
-3.2,1865.88,NA,NA
-3.44,1865.79,NA,NA
-3.59,1865.71,NA,NA
-3.73,1865.63,NA,NA
-3.77,1865.54,NA,NA
-3.59,1865.46,NA,NA
-3.36,1865.38,NA,NA
-3.25,1865.29,NA,NA
-3.22,1865.21,NA,NA
-3.25,1865.13,NA,NA
-3.4,1865.04,NA,NA
-3.51,1864.96,NA,NA
-3.57,1864.88,NA,NA
-3.59,1864.79,NA,NA
-3.5,1864.71,NA,NA
-3.4,1864.63,NA,NA
-3.77,1864.54,NA,NA
-3.87,1864.46,NA,NA
-3.77,1864.38,NA,NA
-3.64,1864.29,NA,NA
-2.98,1864.21,NA,NA
-3.33,1864.13,NA,NA
-3.19,1864.04,NA,NA
-3.2,1863.96,NA,NA
-3.45,1863.88,NA,NA
-3.73,1863.79,NA,NA
-3.82,1863.71,NA,NA
-3.46,1863.63,NA,NA
-3.53,1863.54,NA,NA
-3.64,1863.46,NA,NA
-3.61,1863.38,NA,NA
-3.33,1863.29,NA,NA
-2.71,1863.21,NA,NA
-3.06,1863.13,NA,NA
-3.11,1863.04,NA,NA
-3.29,1862.96,NA,NA
-3.33,1862.88,NA,NA
-3.28,1862.79,NA,NA
-3.35,1862.71,NA,NA
-3.42,1862.63,NA,NA
-3.4,1862.54,NA,NA
-3.47,1862.46,NA,NA
-3.16,1862.38,NA,NA
-3.03,1862.29,NA,NA
-2.96,1862.21,NA,NA
-3.26,1862.13,NA,NA
-3.38,1862.04,NA,NA
-3.44,1861.96,NA,NA
-3.69,1861.88,NA,NA
-3.85,1861.79,NA,NA
-3.91,1861.71,NA,NA
-3.86,1861.63,NA,NA
-3.69,1861.54,NA,NA
-3.58,1861.46,NA,NA
-3.61,1861.38,NA,NA
-3.46,1861.29,NA,NA
-3.36,1861.21,NA,NA
-3.58,1861.13,NA,NA
-3.76,1861.04,NA,NA
-3.74,1860.96,NA,NA
-3.98,1860.88,NA,NA
-4.05,1860.79,NA,NA
-4.09,1860.71,NA,NA
-4.15,1860.63,NA,NA
-4.1,1860.54,NA,NA
-4.15,1860.46,NA,NA
-4,1860.38,NA,NA
-3.78,1860.29,NA,NA
-2.8,1860.21,NA,NA
-3.19,1860.13,NA,NA
-3.29,1860.04,NA,NA
-3.29,1859.96,NA,NA
-3.37,1859.88,NA,NA
-3.46,1859.79,NA,NA
-3.6,1859.71,NA,NA
-3.68,1859.63,NA,NA
