dD (permil),dDUncertainty (permil),year (AD),depth (cm),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty ()
-139,0.1,768,428,-166,0.2,-153,0.2,-153,0.5,-143,3.4,-168,3.4
NA,NA,757,430,-156,8,-143,0.1,-148,4.3,-142,1.5,-159,1
NA,NA,747,432,NA,NA,-148,9,-150,1.1,-140,8.7,NA,NA
-139,1,737,434,-165,5.9,-149,10,-151,2.7,-143,5.8,-161,3.4
NA,NA,727,436,-167,0.7,-153,1.1,-148,1.6,-144,0.6,-168,0
NA,NA,717,438,-141,0.4,-135,2.8,-135,1,-134,0.2,-149,2
NA,NA,707,440,-153,0.6,-146,0.2,-149,5.4,NA,NA,-155,0.4
NA,NA,697,442,-169,1.1,-154,0.3,-148,4.5,-145,0.6,-163,2.3
NA,NA,687,444,-167,0.6,-147,1.4,-142,0.2,-144,0.6,-157,0.1
NA,NA,680,446,-155,0.4,-140,2,-134,1,NA,NA,-151,1.6
-138,8,675,448,-156,2.3,-146,0.5,-142,5.9,-147,1.7,-155,2.1
-142,6.6,670,450,-165,9.9,-153,1.4,-148,6.3,-145,0.4,-164,1.1
-151,4.8,665,452,-175,2.7,-159,1.5,-158,0.6,NA,NA,-176,0.6
NA,NA,659,454,-157,1.6,-146,0.4,-140,1.1,-136,4.2,-156,0
NA,NA,654,456,-159,1.6,-148,1.3,-143,1.3,-137,4.1,-157,0.4
NA,NA,649,458,-160,2,-149,1.4,-148,4.6,NA,NA,-158,3
NA,NA,644,460,-152,1.9,-142,0.9,-140,2,-136,4.3,-154,1
NA,NA,639,462,-151,NA,-148,1.3,-146,3,-141,2.8,-157,1.3
NA,NA,634,464,-161,0.9,-155,0.7,-149,3.2,-151,7.8,-171,1.3
NA,NA,628,466,-167,2.2,-157,0.4,-152,1.8,NA,NA,-175,3.1
-138,4,623,468,-168,2.9,-157,0,-148,0.5,-144,1.1,-177,0.2
NA,NA,618,470,-157,2,-150,0.6,-147,0.3,-144,3.9,-166,1.3
NA,NA,613,472,NA,NA,NA,NA,NA,NA,NA,NA,-163,1.8
NA,NA,608,474,-160,0.6,-142,0.3,-142,2.1,-139,0.6,-159,1
NA,NA,603,476,-147,0.5,-134,2.5,-132,0.4,-126,0.1,-142,0.4
-142,0.5,597,478,-160,1.9,-142,0.2,-142,1.5,-143,1.4,-147,0.3
-140,4.3,592,480,-168,0.8,-151,1.7,-145,8.2,NA,NA,-165,0.7
NA,NA,587,482,-140,2.5,-117,NA,-129,4.6,-128,2.1,-141,0.6
-133,3.2,582,484,NA,NA,NA,NA,-139,2.2,-138,1.6,-157,0.6
NA,NA,577,486,-142,6,-117,6.6,-115,2.1,-125,4.9,-124,2.4
-145,0.5,571,488,-175,1.7,-153,0.5,-149,0.7,-148,0.5,-174,0.7
NA,NA,566,490,-175,0.6,-157,0.4,-151,1.5,-142,1.9,-175,0.5
-150,0.7,561,492,-170,NA,-157,3.7,-153,0.6,-158,NA,-171,1.8
-152,4.6,556,494,-179,0.2,NA,NA,-154,0,-162,0.2,-182,0.8
-158,0.3,551,496,NA,NA,NA,NA,NA,NA,-160,NA,-180,1.1
NA,NA,546,498,-165,1.7,-149,1.3,-151,1.9,-138,1.1,-166,0.8
NA,NA,540,500,-164,2,-139,0.7,-136,0.3,-132,4.1,-147,0.6
NA,NA,535,502,-168,0.5,-140,1.1,-146,2.6,-136,0.6,-155,1.3
NA,NA,530,504,-165,3,-144,2.9,-153,3.2,NA,NA,-162,0.7
-149,0.3,525,506,NA,NA,NA,NA,-152,1.2,-145,1.4,-171,0.3
-149,5.7,520,508,-170,1,-152,0,-157,0.1,-144,0.8,-170,2
-138,8.8,515,510,-169,NA,-154,NA,-151,1.1,-143,1.2,-171,0.8
-140,0.5,509,512,-177,0.3,-158,1,-153,1.1,-142,1,-177,1.3
-138,3.3,504,514,-169,0.9,-152,1.7,-150,0.2,NA,NA,-169,1.6
-139,3.9,499,516,-170,0.6,-155,0.7,-150,0.7,-138,0.3,-170,1
NA,NA,489,520,-170,0.2,-153,0.7,-148,3.1,-139,0.6,-170,2.6
NA,NA,484,522,-165,4.9,-149,0.1,-151,1.5,NA,NA,-167,2.2
NA,NA,478,524,-179,1.2,-160,1.3,-157,0.7,-150,2,-186,5.5
NA,NA,472,526,-167,0.8,-153,1.6,-150,0.7,-136,7.8,-168,1.3
NA,NA,460,528,-170,1.5,-153,0.8,-151,0.5,-153,0.9,-167,0.8
NA,NA,449,530,-160,1.9,-142,0.4,-144,0.8,-138,4,-164,1.1
NA,NA,438,532,-164,1.6,-152,1.4,-152,1.1,-150,4.5,-166,0.1
NA,NA,426,534,-156,NA,NA,NA,-146,4.7,NA,NA,-156,0.7
NA,NA,415,536,-160,0.2,-148,0.1,-149,0.5,NA,NA,-158,1.4
NA,NA,404,538,-165,0.1,-150,1.2,-149,0.2,-141,0.5,-163,0.6
NA,NA,392,540,-160,2.7,-152,0.3,-150,0.2,-143,4.8,-162,1.4
-137,0.5,381,542,-170,1.6,-154,0.9,-152,2.5,NA,NA,-167,1
NA,NA,370,544,-173,0,-153,1.2,-150,0.9,-142,6.8,-168,2.3
NA,NA,358,546,-176,2.9,-155,4.5,-148,0.9,-139,3.8,-182,0.2
NA,NA,347,548,-170,1.4,-156,0.4,-154,2.2,-151,0.3,-163,2.2
NA,NA,336,550,-170,0.7,-157,3.2,-151,0.2,-141,2.2,-164,0.1
NA,NA,324,552,-161,0.5,NA,NA,-149,2.7,-142,0.8,-163,4.9
NA,NA,313,554,-171,1.1,-155,0.1,-148,3.3,-150,3.5,-175,1
NA,NA,301,556,-175,0,-155,0.6,-150,0.8,-133,NA,-175,2.9
NA,NA,290,558,-168,1.5,-143,0.2,-140,3.5,-132,3.1,-156,3.5
NA,NA,279,560,-164,1,-148,1.7,-150,1.1,-144,2.7,-164,1.4
NA,NA,267,562,-161,3.7,-143,1.5,-140,0.9,NA,NA,-166,0.1
NA,NA,256,564,-174,0.9,-153,0.2,-152,1.9,-146,2.3,-176,0.4
NA,NA,245,566,-166,1.4,-149,1.1,-148,0.5,-142,1,-163,1.1
NA,NA,233,568,-160,0.2,-149,0.1,-148,0.2,-140,1.6,-161,1.5
NA,NA,222,570,-172,2.1,-152,0.8,-152,2,-147,1.9,-169,1.5
-133,5.8,211,572,-159,2.3,-143,3.2,-148,1.1,NA,NA,-162,2.9
-149,8.3,199,574,-171,1.5,-154,0.1,-152,0.2,-148,1.2,-173,3
-143,3.3,188,576,-176,1.1,-155,2.3,-152,2.6,-154,2.2,-185,1.4
-141,1,178,578,NA,NA,NA,NA,-149,2.3,NA,NA,-180,2.5
NA,NA,171,580,-171,0.7,-154,3.7,-146,0.4,-144,0.4,-170,0.1
-131,7.8,164,582,-164,0.8,-151,0.8,-150,2.6,-149,0.3,-167,3.1
NA,NA,157,584,-162,5.2,-154,1.1,-150,3.7,-145,0.7,-161,4.1
-136,4.1,150,586,-171,1,-157,0.1,-149,0.6,-142,0.3,-174,2.5
NA,NA,143,588,-150,1.4,-135,0.8,-139,3.3,NA,NA,-158,1.3
NA,NA,136,590,-150,5.9,-129,0.4,-132,1.1,-126,4.7,-162,0.3
-136,1.4,129,592,-171,1.7,-147,4.9,-148,3.7,-143,1.1,-177,1.8
-129,3.1,122,594,NA,NA,-139,5.4,-140,5.1,NA,NA,-158,7.4
NA,NA,115,596,-158,4.8,-149,0.8,-148,3.2,-143,1.1,-159,4
NA,NA,108,598,-147,3.2,-138,2.3,-137,0.9,-136,4.9,-150,6
NA,NA,101,600,-155,0.4,-146,1,-149,0.8,-148,5.4,-156,1.2
NA,NA,94,602,-147,0.6,-138,0.8,-138,4.7,-129,0.7,-138,9
NA,NA,87,604,-132,2.2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,80,606,-153,2.3,-141,4.5,-137,6.7,-127,5.6,NA,NA
NA,NA,73,608,-159,1.4,-145,1,-141,2.7,NA,NA,-168,2.3
NA,NA,66,610,-169,0.5,-151,2.9,-143,0,-130,1.7,-171,4.8
NA,NA,59,612,-162,0.8,NA,NA,-143,3.6,-141,2.1,-175,3.2
NA,NA,52,614,-163,0.1,-144,0.5,-142,1.9,-133,2.2,-179,3.5
NA,NA,45,616,-147,2.5,-138,1.2,NA,NA,NA,NA,-157,0.5
NA,NA,38,618,-170,0.7,-153,0.7,-153,1.3,-144,1.7,-174,0.2
NA,NA,34,619,-161,0.9,-144,0.7,NA,NA,-130,1.5,-164,2.9
NA,NA,31,620,-151,3.2,-143,2.2,-151,0.1,NA,NA,-159,7.1
-151,NA,24,622,-160,9.3,-144,4.2,-139,8.2,-140,7.7,-169,6.6
NA,NA,17,624,NA,NA,-139,8.8,-161,4.9,NA,NA,-153,2.3
NA,NA,10,626,NA,NA,-153,2.4,-156,0.3,-149,2.9,-162,0.5
NA,NA,3,628,-164,4.2,-152,5.7,-148,8.3,-130,9.8,-171,7.9
NA,NA,-4,630,-162,7.4,-149,0.6,-147,2.9,-150,6.1,-172,5.5
NA,NA,-11,632,-149,1,-146,1.9,-144,2.6,NA,NA,-154,1.2
NA,NA,-18,634,-158,2.8,-144,3.9,-145,2.6,-136,4.9,-165,3.2
NA,NA,-25,636,-163,5.6,NA,NA,-167,8.4,-149,6.7,-154,1.7
-145,8.7,-32,638,-159,1.9,-156,3.9,-153,4.6,-149,2.7,-160,2.9
NA,NA,-39,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-46,642,-158,6.5,NA,NA,NA,NA,-163,NA,-167,0.2
NA,NA,-54,644,-149,1.1,-142,0.6,NA,NA,NA,NA,-149,0.2
NA,NA,-62,646,-152,2.1,-141,0.8,NA,NA,NA,NA,-143,0.3
NA,NA,-95,654,-162,1.5,-154,4.1,-160,6.5,-149,4.3,-161,2.5
-159,NA,-103,656,-160,6.1,-150,6.1,NA,NA,NA,NA,-148,2.4
-159,4.8,-111,658,-167,NA,-155,6.5,-155,8.2,-149,7.1,-162,7.4
-157,5.8,-119,660,-171,0.5,-161,2,-162,1.6,-157,1.3,-167,1.6
NA,NA,-127,662,-165,3.5,-149,5.2,-151,3.6,NA,NA,-160,4.4
-134,3.7,-136,664,-163,1.4,-156,0.1,-155,2,-150,1.4,-162,2.5
NA,NA,-144,666,-161,1.3,-153,5.3,-147,2.5,-142,2.8,-159,1.9
NA,NA,-152,668,-158,4.6,-143,1.5,NA,NA,-124,5.8,-148,7.8
NA,NA,-160,670,-156,8.5,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-168,672,-166,2.1,-153,10,-158,4.3,NA,NA,-165,2.8
NA,NA,-176,674,-169,5,-153,4.5,-151,3.3,-137,7.9,-161,1.7
NA,NA,-184,676,-167,1.1,-154,3.2,-155,0.5,-150,3,-165,3
NA,NA,-193,678,NA,NA,-161,2.2,-160,3.1,-156,2.5,-167,1
-155,2.6,-201,680,-184,3.1,-157,0.5,-155,0.3,-156,0.7,-161,2
-137,6.8,-209,682,-174,NA,-159,3.2,-159,3.3,-156,1.6,-171,1.4
NA,NA,-217,684,-169,NA,-149,2,-148,2.8,-151,6,-160,3.4
-145,2.6,-225,686,NA,NA,-163,0.1,-161,1,-154,0.2,-173,2.6
NA,NA,-233,688,-184,0.7,-157,0.7,-155,1.4,-157,0.2,-168,3.1
NA,NA,-241,690,-191,5.4,-156,1.5,-157,7.4,-153,4,-171,1.2
-149,8.3,-250,692,NA,NA,-157,2.3,-156,0.8,-153,3.8,-169,1.8
NA,NA,-258,694,NA,NA,-150,2.6,-152,1.1,-148,1,-165,1.8
-148,NA,-266,696,-184,1,-151,0,-155,0.3,-154,0.2,-154,2.5
NA,NA,-274,698,NA,NA,-152,0.8,-153,1.9,-139,8.9,-159,4.7
NA,NA,-282,700,-173,2.8,-152,2.2,-147,0.8,-149,3.3,-167,1.9
NA,NA,-290,702,-168,3.6,-152,1.6,-145,3,-140,0.4,-167,1.1
NA,NA,-298,704,-169,4.5,-155,6.7,-155,2.6,-138,6.7,-162,4.2
NA,NA,-307,706,-159,2.9,-146,9,-152,9.8,NA,NA,-153,6.1
-152,9.5,-315,708,NA,NA,-153,0.3,-153,1.6,-158,0.6,-163,0.1
-150,5.9,-323,710,NA,NA,-150,7.9,-153,0.2,-151,7.5,-161,6
-149,NA,-331,712,-196,7.5,-155,4.8,-155,4.7,-165,3.2,-155,2.3
NA,NA,-339,714,NA,NA,-151,1.9,-151,0.3,NA,NA,-168,1.9
NA,NA,-347,716,NA,NA,-152,1.4,-147,1.1,-147,1.6,-151,0.4
NA,NA,-355,718,-170,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-364,720,-142,5.1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-372,722,-186,NA,-145,0.7,-146,4.5,-149,0.3,-153,1.5
-148,0.4,-380,724,-194,2.8,-155,0.6,-154,0.3,-152,1.5,-168,1.3
-139,0.8,-388,726,NA,NA,-153,0.8,-150,3.1,-147,1.7,-168,4.5
NA,NA,-396,728,NA,NA,-151,0.5,-150,1,-150,0.8,-148,4.6
-146,0.9,-404,730,NA,NA,-154,1.2,-152,1.8,-147,3,-161,1.8
-144,5.3,-412,732,-165,NA,-155,2.3,-154,2.5,-155,0.7,-166,5.2
-146,4.9,-421,734,NA,NA,-154,0.9,-156,3.4,-154,1.4,-164,0.6
NA,NA,-429,736,NA,NA,-154,0.6,-157,2.9,-152,1.6,-159,2.7
-147,1.5,-437,738,-189,NA,-156,0.8,-155,1.6,-154,0.1,-171,2.6
-141,3,-445,740,-184,NA,-154,0.6,-153,0.6,-145,1.1,-167,2.2
-149,1.1,-453,742,-172,NA,-156,NA,-157,2.7,-158,0.2,-173,8.8
NA,NA,-461,744,-169,NA,NA,NA,-153,0,-146,0.4,-158,1.3
-140,6.9,-469,746,-199,NA,-154,1.5,-154,1.7,-146,2.4,-165,3.7
-142,3.5,-478,748,NA,NA,-155,1.3,-152,0.1,-148,0.6,-169,1.8
-144,1.4,-486,750,NA,NA,-157,0.2,-154,0.4,-152,1.4,-173,0.8
NA,NA,-494,752,-194,0.6,-149,0.9,-147,2.1,-149,4.5,-159,5.4
NA,NA,-502,754,-198,0,-148,4.2,-147,4.3,-147,0.1,-156,4.2
-152,NA,-510,756,-174,NA,-154,6.4,-147,8.3,-144,1,-166,4.8
-145,1.2,-518,758,NA,NA,-154,2.2,-153,0.7,-151,1.9,-168,1.9
-165,NA,-526,760,NA,NA,-157,7.3,-158,5.4,-157,2.6,-144,1.2
-144,1.5,-535,762,-202,NA,-156,1.5,-154,1.4,-154,7.9,-173,0.9
-149,0.4,-543,764,NA,NA,-156,0.3,-154,0.5,-151,9.4,-175,2.7
-142,3.5,-551,766,-191,2.3,-155,0.2,-153,0.6,-147,1.9,-166,1.5
NA,NA,-559,768,-174,NA,-158,0.2,-161,0.4,-149,2.4,-166,0.4
-151,1,-567,770,-175,NA,-157,0.9,-153,1.1,-151,2.4,-177,0.6
-141,6,-575,772,NA,NA,-152,3.3,-152,1,-152,0.9,-173,4.9
-146,4.5,-583,774,-185,NA,-159,1.2,-155,0.3,-153,0.9,-179,1.1
NA,NA,-591,776,-173,6.2,-155,0.1,-151,1.7,-140,9.5,-174,1.3
-135,9.9,-600,778,-191,4.7,-156,2.4,-152,1.6,-143,1.5,-174,1
-135,2.4,-608,780,-191,3.8,-156,1.3,-155,0.4,-147,0.9,-179,1.2
NA,NA,-616,782,-180,5.1,-156,2.3,-151,0.2,-145,1.9,-179,2.2
-156,NA,-624,784,NA,NA,NA,NA,-154,0.1,-151,0.4,-174,0.8
NA,NA,-632,786,-189,9.9,-149,0.6,NA,NA,-129,7.8,-177,0.8
-134,2.2,-640,788,NA,NA,-155,3,-150,2,-146,1,-179,1.9
NA,NA,-648,790,-184,5.1,-154,0.3,-153,0.1,-144,2.5,-181,1
NA,NA,-657,792,-167,5.3,NA,NA,-158,5.4,-153,6.9,-175,1.7
NA,NA,-665,794,-177,7.4,-154,1.4,-151,0.4,-140,3.6,-174,1.7
-148,4.8,-673,796,NA,NA,-162,1.5,-159,0.1,NA,NA,-175,3.4
NA,NA,-681,798,-174,NA,-159,2.1,-156,3.5,-146,0.1,-182,0.7
NA,NA,-689,800,-170,0.3,NA,NA,NA,NA,NA,NA,-156,3.5
NA,NA,-697,802,-171,8.8,-152,1.6,NA,NA,-133,1.8,-161,8.2
NA,NA,-705,804,-175,4.3,-156,2.4,-151,4,-142,0.6,-173,2
NA,NA,-714,806,-176,5.1,-149,0.6,-146,2.8,-139,3.2,-171,2
NA,NA,-722,808,-174,1.3,-149,0.9,-146,4.1,-131,2.5,-153,0.7
NA,NA,-730,810,-172,2.3,-153,3.9,-146,2.9,-132,8.5,-172,2.6
NA,NA,-734,811,-161,3.2,-137,0.9,NA,NA,NA,NA,NA,NA
NA,NA,-738,812,-138,3.8,-123,2,-121,1.3,-118,6.4,-127,2.2
NA,NA,-746,814,-138,0.2,-129,0.7,-126,5.1,-125,2.9,-144,3.5
NA,NA,-754,816,NA,NA,NA,NA,-148,4.5,NA,NA,-138,1.8
NA,NA,-762,818,-139,2.2,-129,1.6,-128,0.7,-137,5.5,-140,1.3
NA,NA,-771,820,-154,NA,NA,NA,NA,NA,-177,NA,-144,NA
NA,NA,-779,822,-159,5.1,-143,2.2,-140,2.4,-127,5.1,-155,0.9
NA,NA,-787,824,-159,NA,-138,NA,-155,NA,-149,NA,-158,NA
NA,NA,-795,826,NA,NA,-120,6.8,-101,3.1,NA,NA,-116,2.3
NA,NA,-803,828,-147,2.7,-138,0.9,-132,1.4,-140,0.1,-141,0.5
-142,4.2,-811,830,-170,1.6,-150,0.8,-152,1.1,-148,0.2,-172,0.4
NA,NA,-819,832,-154,NA,NA,NA,NA,NA,-146,NA,-136,NA
NA,NA,-828,834,-151,2,-142,1.7,-139,0.5,-140,0.7,-162,1.3
NA,NA,-836,836,-135,NA,NA,NA,NA,NA,-187,NA,-129,NA
NA,NA,-844,838,-152,1.9,-142,1.4,-140,2.2,-134,3.4,-164,2.5
NA,NA,-852,840,-148,4,-144,1.8,-142,1.6,-141,4,-152,2.4
-147,7.6,-860,842,-148,2.7,-138,0.6,-139,0.1,-153,3.7,-174,0.3
NA,NA,-868,844,-143,2.4,-140,0.8,-128,2.3,-129,0.3,-149,0.4
NA,NA,-876,846,-128,9.9,-124,4.6,-127,1.9,-127,4.4,-153,2.3
NA,NA,-885,848,-149,7.6,-141,2,-132,0.3,-131,0.7,-149,0.2
NA,NA,-893,850,-143,3.3,-139,0.8,-134,1.5,-135,3.6,-152,1.8
NA,NA,-901,852,-151,0.7,-155,2.8,-150,1.8,-147,3.5,-150,1.8
-138,4.5,-909,854,-162,5.6,-151,2.2,-151,0.8,-136,2.7,-162,0.5
NA,NA,-917,856,-155,4.6,-153,2.5,-151,4.9,-143,1.5,-156,0.8
-140,5.1,-925,858,-162,5.7,-155,1.7,-146,6.5,-144,0.9,-163,3.5
NA,NA,-933,860,-155,2.7,-151,1.1,-147,0.7,-138,3,-155,0.5
-142,5.7,-942,862,-164,1.9,-154,1,-151,0.5,-142,1.2,-166,3.2
-138,1.2,-950,864,-163,1.9,-152,3.1,-148,3.3,-140,1.9,-158,6.1
-141,1,-958,866,-169,1.3,-158,3,-155,2.4,-142,2.3,-166,3
NA,NA,-966,868,-168,4.8,-150,2.4,-146,2.3,-140,1.6,-165,1.6
NA,NA,-974,870,-174,1.2,-153,1.8,-152,1.9,-146,2.7,-177,1.1
NA,NA,-982,872,-166,1.7,-146,0.7,-143,2.6,-134,6.2,-166,0.8
