d18O (permil),year (AD)
-4.9,1798.291
-5.07,1798.125
-4.93,1797.958
-4.34,1797.791
-4.07,1797.625
-4.36,1797.458
-4.82,1797.291
-4.94,1797.125
-4.58,1796.958
-4.16,1796.791
-4.03,1796.625
-4.56,1796.458
-4.8,1796.291
-4.75,1796.125
-4.53,1795.958
-4.29,1795.791
-4.02,1795.625
-4.11,1795.458
-4.68,1795.291
-4.93,1795.125
-4.81,1794.958
-4.53,1794.791
-4.16,1794.625
-4.37,1794.458
-4.78,1794.291
-4.79,1794.125
-4.57,1793.958
-4.35,1793.791
-4.09,1793.625
-4.35,1793.458
-4.93,1793.291
-5.01,1793.125
-4.67,1792.958
-4.12,1792.791
-4.01,1792.625
-4.45,1792.458
-4.77,1792.291
-4.91,1792.125
-4.79,1791.958
-4.46,1791.791
-4.15,1791.625
-4.2,1791.458
-4.66,1791.291
-4.93,1791.125
-4.78,1790.958
-4.4,1790.791
-4.05,1790.625
-4.25,1790.458
-4.68,1790.291
-4.89,1790.125
-4.67,1789.958
-4.38,1789.791
-4.03,1789.625
-4.19,1789.458
-4.59,1789.291
-5.02,1789.125
-4.43,1788.958
-4.14,1788.791
-3.97,1788.625
-4.15,1788.458
-4.75,1788.291
-4.83,1788.125
-4.49,1787.958
-4.19,1787.791
-3.91,1787.625
-4.17,1787.458
-4.72,1787.291
-4.95,1787.125
-4.49,1786.958
-4,1786.791
-3.95,1786.625
-4.34,1786.458
-4.98,1786.291
-4.98,1786.125
-4.45,1785.958
-4.08,1785.791
-4.07,1785.625
-4.34,1785.458
-4.53,1785.291
-4.64,1785.125
-4.37,1784.958
-4.13,1784.791
-3.94,1784.625
-4.47,1784.458
-4.92,1784.291
-4.91,1784.125
-4.61,1783.958
-4.36,1783.791
-4.23,1783.625
-4.39,1783.458
-4.91,1783.291
-5.08,1783.125
-4.89,1782.958
-4.56,1782.791
-4.12,1782.625
-4.33,1782.458
-4.92,1782.291
-4.98,1782.125
-4.46,1781.958
-4.28,1781.791
-4.01,1781.625
-4.53,1781.458
-4.84,1781.291
-4.78,1781.125
-4.5,1780.958
-4.22,1780.791
-3.87,1780.625
-4.06,1780.458
-4.39,1780.291
-4.86,1780.125
-4.68,1779.958
-4.29,1779.791
-3.69,1779.625
-3.9,1779.458
-4.48,1779.291
-5.43,1779.125
-4.8,1778.958
-4.24,1778.791
-3.76,1778.625
-4.19,1778.458
-4.83,1778.291
-5.05,1778.125
-4.84,1777.958
-4.44,1777.791
-3.97,1777.625
-4.15,1777.458
-4.52,1777.291
-4.73,1777.125
-4.63,1776.958
-4.29,1776.791
-4.06,1776.625
-4.55,1776.458
-4.86,1776.291
-4.99,1776.125
-4.73,1775.958
-4.38,1775.791
-3.93,1775.625
-4.19,1775.458
-4.8,1775.291
-4.96,1775.125
-4.7,1774.958
-4.35,1774.791
-3.99,1774.625
-4.51,1774.458
-4.8,1774.291
-4.89,1774.125
-4.68,1773.958
-4.27,1773.791
-4.19,1773.625
-4.38,1773.458
-4.63,1773.291
-4.96,1773.125
-4.8,1772.958
-4.41,1772.791
-3.78,1772.625
-3.89,1772.458
-4.58,1772.291
-4.85,1772.125
-4.65,1771.958
-4.37,1771.791
-4.14,1771.625
-4.72,1771.458
-4.93,1771.291
-4.97,1771.125
-4.83,1770.958
-4.48,1770.791
-4.19,1770.625
-4.45,1770.458
-4.95,1770.291
-5.1,1770.125
-4.73,1769.958
-4.24,1769.791
-4.17,1769.625
-4.5,1769.458
-4.88,1769.291
-5.32,1769.125
-4.9,1768.958
-4.37,1768.791
-3.73,1768.625
-4.05,1768.458
-4.83,1768.291
-4.91,1768.125
-4.32,1767.958
-4.02,1767.791
-4.01,1767.625
-4.4,1767.458
-4.75,1767.291
-4.68,1767.125
-4.36,1766.958
-4.11,1766.791
-4.02,1766.625
-4.35,1766.458
-4.8,1766.291
-4.85,1766.125
-4.55,1765.958
-4.17,1765.791
-3.75,1765.625
-4.35,1765.458
-4.66,1765.291
-4.65,1765.125
-4.42,1764.958
-4.1,1764.791
-3.8,1764.625
-4.15,1764.458
-4.69,1764.291
-4.77,1764.125
-4.48,1763.958
-4.16,1763.791
-3.79,1763.625
-4.41,1763.458
-4.66,1763.291
-4.72,1763.125
-4.58,1762.958
-4.25,1762.791
