d18O (permil),year (AD),depth (mm),year (AD) [1-2],d18O (permil) [1-2],depth (mm) [1-2],d18O (permil) [1-2],d18O (permil) [1-3],year (AD) [1-3],d18O (permil) [1-3]
-5.6389,1982.166667,220.5,1982.166667,-4.992,203.6,NA,NA,NA,NA
-5.609,1982.083333,220.9,1982.083333,-5.078,205.5,NA,NA,NA,NA
-5.6106,1982,221.4,1982,-4.828,207.5,NA,NA,NA,NA
NA,1981.916667,NA,1981.916667,-5.218,208.1,NA,NA,NA,NA
NA,1981.833333,NA,1981.833333,-5.613,208.6,NA,NA,NA,NA
NA,1981.75,NA,1981.75,-5.885,209,NA,NA,NA,NA
NA,1981.666667,NA,1981.666667,-5.999,209.3,NA,NA,NA,NA
NA,1981.583333,NA,1981.583333,-6.041,209.6,NA,NA,NA,NA
NA,1981.5,NA,1981.5,-5.937,209.9,NA,NA,NA,NA
NA,1981.416667,NA,1981.416667,-5.9,210.2,NA,NA,NA,NA
NA,1981.333333,NA,1981.333333,-5.894,210.5,NA,NA,NA,NA
NA,1981.25,NA,1981.25,-5.333,211.5,NA,NA,NA,NA
NA,1981.166667,NA,1981.166667,-5.032,212.6,NA,NA,NA,NA
NA,1981.083333,NA,1981.083333,-5.032,213.8,NA,NA,NA,NA
NA,1981,NA,1981,-4.789,215,NA,NA,NA,NA
-4.8784,1980.916667,227.7,1980.916667,-4.802,215.5,NA,NA,NA,NA
-5.1107,1980.833333,228.2,1980.833333,-5.558,216.1,NA,NA,NA,NA
-5.2641,1980.75,228.6,1980.75,-5.612,216.2,NA,NA,NA,NA
-5.5749,1980.666667,228.9,1980.666667,-5.665,216.4,NA,NA,NA,NA
-5.7565,1980.583333,229.3,1980.583333,-5.744,216.6,NA,NA,NA,NA
-5.8852,1980.5,229.6,1980.5,-5.873,216.7,NA,NA,NA,NA
-5.7452,1980.416667,230,1980.416667,-6.002,216.9,NA,NA,NA,NA
-5.6252,1980.333333,230.7,1980.333333,-5.526,217.6,NA,NA,NA,NA
-5.4476,1980.25,231.4,1980.25,-5.396,219.2,NA,NA,NA,NA
-5.1554,1980.166667,231.8,1980.166667,-5.097,219.7,NA,NA,NA,NA
-5.0123,1980.083333,232.2,1980.083333,-5.067,219.9,NA,NA,NA,NA
-4.9287,1980,232.5,1980,-5.053,220,NA,NA,NA,NA
-4.5505,1979.916667,233.2,1979.916667,-5.2,220.5,NA,NA,NA,NA
-4.9533,1979.833333,233.8,1979.833333,-4.773,221,NA,NA,NA,NA
-5.1809,1979.75,234.3,1979.75,-5.034,221.4,NA,NA,NA,NA
-5.4134,1979.666667,234.8,1979.666667,-5.094,221.6,NA,NA,NA,NA
-5.5706,1979.583333,235.2,1979.583333,-4.906,221.8,NA,NA,NA,NA
-5.557,1979.5,235.7,1979.5,-4.858,222.1,NA,NA,NA,NA
-5.4693,1979.416667,236.1,1979.416667,-5.292,222.3,NA,NA,NA,NA
-5.6236,1979.333333,236.6,1979.333333,-5.727,222.5,NA,NA,NA,NA
-5.3522,1979.25,237.3,1979.25,-5.436,223.1,NA,NA,NA,NA
-5.1815,1979.166667,238,1979.166667,-5.193,223.6,NA,NA,NA,NA
-5.0108,1979.083333,238.4,1979.083333,-4.847,224.3,NA,NA,NA,NA
-4.9098,1979,238.8,1979,-4.62,224.9,NA,NA,NA,NA
-5.0881,1978.916667,239.7,1978.916667,-4.682,225.6,NA,NA,NA,NA
-5.6335,1978.833333,240.9,1978.833333,-5.847,227,NA,NA,NA,NA
-4.9709,1978.75,242.1,1978.75,-5.283,228.3,NA,NA,NA,NA
-5.887,1978.666667,243,1978.666667,-5.696,229.2,NA,NA,NA,NA
-5.3911,1978.583333,243.9,1978.583333,-5.79,229.7,NA,NA,NA,NA
-5.6826,1978.5,244.8,1978.5,-5.927,230.3,NA,NA,NA,NA
-5.3038,1978.416667,245.6,1978.416667,-5.925,230.9,NA,NA,NA,NA
-5.3202,1978.333333,246.5,1978.333333,-5.786,231.6,NA,NA,NA,NA
-5.47,1978.25,246.9,1978.25,-5.377,235,NA,NA,NA,NA
-5.3517,1978.166667,247.4,1978.166667,-4.73,236.8,NA,NA,NA,NA
-5.2423,1978.083333,248,1978.083333,-4.74,238.1,NA,NA,NA,NA
-5.0069,1978,248.5,1978,-4.94,238.6,NA,NA,NA,NA
-5.0319,1977.916667,248.9,1977.916667,-5.58,239.2,NA,NA,NA,NA
-5.3117,1977.833333,249.4,1977.833333,-5.66,239.8,NA,NA,NA,NA
-6.0039,1977.75,250.3,1977.75,-5.52,240.7,NA,NA,NA,NA
-5.9058,1977.666667,251.2,1977.666667,-5.07,241.6,NA,NA,NA,NA
-5.7119,1977.583333,252.2,1977.583333,-5.08,242.6,NA,NA,NA,NA
-5.1354,1977.5,253.1,1977.5,-5.1,243.5,NA,NA,NA,NA
-5.3477,1977.416667,254,1977.416667,-5.38,244.5,NA,NA,NA,NA
-5.4206,1977.333333,254.6,1977.333333,-5.15,245.4,NA,NA,NA,NA
-5.3618,1977.25,255.3,1977.25,NA,246.3,NA,NA,NA,NA
-5.1435,1977.166667,256.1,1977.166667,NA,247.3,NA,NA,NA,NA
-4.923,1977.083333,256.8,1977.083333,NA,248.2,NA,NA,NA,NA
-4.9881,1977,257.2,1977,NA,NA,NA,NA,NA,NA
