d18O (permil),year (AD),d13C (permil),d18O (permil) [2-1],year (AD) [2-1],d13C (permil) [2-1]
-5.8779,1989.5,-1.5983,-5.8636,1989.5,-2.4488
-5.862,1989.42,-1.3616,-5.7439,1989.42,-2.5835
-5.864,1989.33,-1.7482,-5.7023,1989.33,-2.0034
-5.846,1989.25,-1.2433,-5.6256,1989.25,-2.0491
-5.6775,1989.17,-1.0961,-5.5555,1989.17,-2.0136
-5.8049,1989.08,-1.7107,-5.7357,1989.08,-2.4461
-5.8474,1989,-1.7822,-5.7731,1989,-2.5159
-5.9581,1988.92,-2.2196,-5.7576,1988.92,-2.614
-5.9492,1988.83,-2.15,-5.802,1988.83,-3.3477
-5.8834,1988.75,-2.2808,-6.028,1988.75,-2.5366
-6.0041,1988.67,-1.7081,-5.8927,1988.67,-2.3217
-5.9688,1988.58,-1.5579,-5.8875,1988.58,-2.6002
-5.8979,1988.5,-1.8214,-5.8726,1988.5,-2.73
-6.0455,1988.42,-2.0012,-5.7952,1988.42,-2.7126
-5.8526,1988.33,-1.8323,-5.6768,1988.33,-2.5111
-5.8092,1988.25,-1.907,-5.5046,1988.25,-1.8589
-5.54,1988.17,-1.7007,-5.4696,1988.17,-1.9751
-5.6002,1988.08,-1.6994,-5.6206,1988.08,-2.3027
-5.698,1988,-1.752,-5.7723,1988,-2.4183
-5.7598,1987.92,-1.6898,-5.6908,1987.92,-2.1949
-5.7785,1987.83,-1.848,-5.7572,1987.83,-2.0613
-5.83,1987.75,-1.966,-5.7657,1987.75,-2.2161
-5.799,1987.67,-1.648,-5.6873,1987.67,-2.6597
-5.9125,1987.58,-1.7724,-5.8121,1987.58,-2.8696
-5.8736,1987.5,-1.6369,-5.6565,1987.5,-2.5897
-5.6531,1987.42,-1.5443,-5.5364,1987.42,-2.3894
-5.6961,1987.33,-1.6569,-5.6107,1987.33,-2.4969
-5.6849,1987.25,-1.7658,-5.6028,1987.25,-2.3505
-5.4475,1987.17,-1.7884,-5.5077,1987.17,-2.1476
-5.5645,1987.08,-2.0294,-5.655,1987.08,-2.2115
-5.5799,1987,-2.2328,-5.7937,1987,-2.3762
-5.7601,1986.92,-2.1476,-5.6818,1986.92,-2.1893
-5.8377,1986.83,-1.9006,-5.7846,1986.83,-2.2045
-5.8874,1986.75,-2.0876,-5.8055,1986.75,-2.3034
-5.8384,1986.67,-2.0032,-5.8085,1986.67,-2.3454
-5.9116,1986.58,-2.0534,-5.7196,1986.58,-2.4867
-5.861,1986.5,-1.9837,-5.7951,1986.5,-2.759
-5.8053,1986.42,-1.7744,-5.8362,1986.42,-2.8164
-5.6877,1986.33,-1.8536,-5.7218,1986.33,-2.3697
-5.7694,1986.25,-1.8656,-5.712,1986.25,-1.8545
-5.6598,1986.17,-1.9888,-5.5844,1986.17,-1.9042
-5.8651,1986.08,-2.2373,-5.7025,1986.08,-2.2834
-5.8609,1986,-1.9706,-5.6961,1986,-2.3053
-5.9024,1985.92,-2.1038,-5.7971,1985.92,-2.0839
-5.9509,1985.83,-1.9722,-5.8644,1985.83,-2.0235
-6.0016,1985.75,-2.0572,-5.7616,1985.75,-2.488
-5.8152,1985.67,-2.1169,-5.9199,1985.67,-2.6191
-5.7345,1985.58,-2.1787,-5.8682,1985.58,-2.8171
