d18O (permil),year (AD),depth (mm),d18O (permil) [1-2],year (AD) [1-2],depth (mm) [1-2],d18O (permil) [1-3],year (AD) [1-3],depth (mm) [1-3]
NA,NA,NA,-8.59,50.37,205,-8.26,-11520,74
NA,NA,NA,-8.39,50.88,206,-8.23,-11520,74.2
NA,NA,NA,-8.3,51.4,207,-8.21,-11530,74.4
NA,NA,NA,-7.34,51.91,208,-8.1,-11530,74.6
NA,NA,NA,-8.51,52.42,209,-8.14,-11540,74.8
NA,NA,NA,-8.11,52.94,210,-8.14,-11540,75
NA,NA,NA,-8.72,53.45,211,-8.17,-11540,75.2
NA,NA,NA,-8.94,53.96,212,-8.02,-11550,75.4
NA,NA,NA,-8.81,54.48,213,-7.94,-11550,75.6
NA,NA,NA,-8.86,54.99,214,-8.1,-11560,75.8
NA,NA,NA,-8.85,55.5,215,-8.16,-11560,76
NA,NA,NA,-8.4,56.02,216,-8.13,-11560,76.2
NA,NA,NA,-8.42,56.53,217,-8.08,-11570,76.4
NA,NA,NA,-8.55,57.05,218,-8.03,-11570,76.6
NA,NA,NA,-8.05,57.56,219,-8.23,-11580,76.8
NA,NA,NA,-8.69,58.07,220,-8.05,-11580,77
NA,NA,NA,-8.82,58.59,221,-8.03,-11580,77.2
NA,NA,NA,-8.9,59.1,222,-8.37,-11590,77.4
NA,NA,NA,-8.8,59.37,222.5,-8.22,-11590,77.6
NA,NA,NA,-8.09,59.64,223,-8.1,-11600,77.8
NA,NA,NA,-7.54,59.91,223.5,-8.19,-11600,78
NA,NA,NA,-7.68,60.19,224,-8.28,-11600,78.2
NA,NA,NA,-7.62,60.46,224.5,-8.24,-11610,78.4
NA,NA,NA,-7.8,60.73,225,-8.22,-11610,78.6
NA,NA,NA,-7.59,61,225.5,-8,-11620,78.8
NA,NA,NA,-7.04,61.27,226,-7.87,-11620,79
NA,NA,NA,-7.27,61.54,226.5,-8.09,-11620,79.2
NA,NA,NA,-7.13,61.81,227,-8.31,-11630,79.4
NA,NA,NA,-7.02,62.09,227.5,-8.18,-11630,79.6
NA,NA,NA,-6.94,62.36,228,-8.14,-11640,79.8
NA,NA,NA,-7.3,62.63,228.5,-8.11,-11640,80
NA,NA,NA,-7.19,62.9,229,-8.12,-11640,80.2
NA,NA,NA,-6.92,63.17,229.5,-8.2,-11650,80.4
NA,NA,NA,-6.35,63.44,230,-8.15,-11650,80.6
NA,NA,NA,-6.6,63.71,230.5,-8.12,-11660,80.8
NA,NA,NA,-6.48,63.99,231,-8.06,-11660,81
NA,NA,NA,-6.76,64.26,231.5,-7.87,-11660,81.2
NA,NA,NA,-6.81,64.53,232,-8.02,-11670,81.4
NA,NA,NA,-6.93,64.8,232.5,-8.05,-11670,81.6
NA,NA,NA,-7.22,65.07,233,-8.07,-11680,81.8
NA,NA,NA,-6.72,65.34,233.5,-8.32,-11680,82
NA,NA,NA,-6.35,65.61,234,-8.14,-11680,82.2
NA,NA,NA,-5.86,65.89,234.5,-8.26,-11690,82.4
NA,NA,NA,-5.6,112.9,235,-8.24,-11690,82.6
NA,NA,NA,-5.65,113.1,235.5,-8.22,-11700,82.8
NA,NA,NA,-5.21,113.2,236,-8.22,-11700,83
NA,NA,NA,-5.63,113.3,236.5,-8.27,-11700,83.2
NA,NA,NA,-5.67,113.5,237,-8.17,-11710,83.4
NA,NA,NA,-5.48,113.6,237.5,-8.22,-11710,83.6
NA,NA,NA,-5.36,113.8,238,-8.2,-11720,83.8
NA,NA,NA,-5.44,113.9,238.5,-8.29,-11720,84
NA,NA,NA,-5.85,114,239,-8.18,-11720,84.2
NA,NA,NA,-4.83,114.2,239.5,-8.19,-11730,84.4
NA,NA,NA,-4.53,114.3,240,-8.39,-11730,84.6
NA,NA,NA,-5.41,115.6,240.5,-8.36,-11740,84.8
NA,NA,NA,-4.87,116.9,241,-8.38,-11740,85
NA,NA,NA,-5.22,118.2,241.5,-8.05,-11740,85.2
NA,NA,NA,-6.46,119.6,242,-8.16,-11750,85.4
NA,NA,NA,-8.09,120.9,242.5,-8.28,-11750,85.6
NA,NA,NA,-8.12,122.2,243,-8.25,-11760,85.8
NA,NA,NA,-8.22,123.5,243.5,-8.2,-11760,86
NA,NA,NA,-8.05,124.8,244,-8.26,-11760,86.2
NA,NA,NA,-8.08,124.9,244.5,-8.3,-11770,86.4
NA,NA,NA,-8.15,125,245,-8.17,-11770,86.6
NA,NA,NA,-7.94,125.1,245.5,-8.21,-11780,86.8
NA,NA,NA,-8.11,125.2,246,-8.2,-11780,87
NA,NA,NA,-8.32,125.3,246.5,-8.36,-11780,87.2
NA,NA,NA,-8.22,125.4,247,-8.22,-11790,87.4
NA,NA,NA,-8.53,125.5,247.5,-8.32,-11790,87.6
NA,NA,NA,-8.31,125.6,248,-8.2,-11800,87.8
NA,NA,NA,-8.59,125.7,248.5,-8.21,-11800,88
NA,NA,NA,-8.64,125.9,249,-8.18,-11800,88.21
NA,NA,NA,-8.76,126,249.5,-8.18,-11810,88.42
NA,NA,NA,-8.53,126.1,250,-8.08,-11810,88.62
NA,NA,NA,-8.5,126.2,250.5,-8.26,-11820,88.83
NA,NA,NA,-8.05,126.3,251,-8.17,-11820,89.04
NA,NA,NA,-8.01,126.4,251.5,-8.02,-11820,89.25
NA,NA,NA,-8.5,126.5,252,-8.13,-11830,89.46
NA,NA,NA,-8.43,126.6,252.5,-8.14,-11830,89.66
NA,NA,NA,-8.07,126.7,253,-7.95,-11840,89.87
NA,NA,NA,-8.08,126.8,253.5,-8.12,-11840,90.08
NA,NA,NA,-8.92,126.9,254,-8.21,-11850,90.29
NA,NA,NA,-8.67,127.1,254.5,-8.16,-11850,90.5
NA,NA,NA,-8.78,127.2,255,-8.17,-11860,90.7
NA,NA,NA,-8.83,127.4,255.5,-8.04,-11870,90.91
NA,NA,NA,-8.83,127.5,256,-8.08,-11870,91.12
NA,NA,NA,-8.8,127.7,256.5,-8.13,-11880,91.33
NA,NA,NA,-8.72,127.8,257,-8.07,-11880,91.54
NA,NA,NA,-8.29,128,257.5,-8.06,-11890,91.74
NA,NA,NA,-8.22,128.1,258,-8.06,-11900,91.95
NA,NA,NA,-8.41,128.3,258.5,-8.02,-11900,92.16
NA,NA,NA,-8.06,128.4,259,-8.04,-11910,92.37
NA,NA,NA,-8.1,128.6,259.5,-8.02,-11920,92.58
NA,NA,NA,-7.66,128.9,260,-7.85,-11920,92.78
NA,NA,NA,-7.44,129.1,260.5,-8.04,-11930,92.99
NA,NA,NA,-6.2,129.3,261,-8.11,-11930,93.2
NA,NA,NA,-5.88,129.5,261.5,-8.07,-11940,93.41
NA,NA,NA,-5.21,129.7,262,-8.02,-11950,93.62
NA,NA,NA,-5.55,129.8,262.5,-8,-11950,93.82
NA,NA,NA,-5.65,130,263,-7.91,-11960,94.03
NA,NA,NA,-5.45,130.2,263.5,-7.95,-11970,94.24
NA,NA,NA,-5.67,130.4,264,-7.87,-11970,94.45
NA,NA,NA,-5.12,131.1,266,-7.79,-11980,94.66
NA,NA,NA,-4.67,131.8,268,-7.88,-11980,94.86
NA,NA,NA,-5.11,133,270,-7.93,-11990,95.07
NA,NA,NA,-4.7,134.2,272,-7.89,-12000,95.28
NA,NA,NA,-5.26,135.3,274,-7.81,-12000,95.49
NA,NA,NA,-6.31,136.5,276,-7.83,-12010,95.7
NA,NA,NA,-6.19,136.8,278,-7.86,-12020,95.9
NA,NA,NA,-6.04,137,280,-7.76,-12020,96.11
NA,NA,NA,-5.66,137.3,282,-7.55,-12030,96.32
NA,NA,NA,-6.68,137.5,284,-7.77,-12030,96.53
NA,NA,NA,-6.17,137.8,286,-7.75,-12040,96.74
NA,NA,NA,-6.08,138,288,-7.65,-12050,96.94
NA,NA,NA,-5.94,138.3,290,-7.62,-12050,97.15
NA,NA,NA,-5.58,141.2,291,-7.46,-12060,97.36
NA,NA,NA,-6.09,144,292,-7.52,-12070,97.57
NA,NA,NA,-7.18,146.9,293,-7.45,-12070,97.78
NA,NA,NA,-7,147,294,-7.56,-12080,97.98
NA,NA,NA,-6.17,147.2,295,-7.37,-12080,98.19
NA,NA,NA,-6.62,147.3,296,-7.45,-12090,98.4
NA,NA,NA,-6.82,147.4,297,-7.4,-12100,98.61
NA,NA,NA,-6.63,147.6,298,-7.39,-12100,98.82
NA,NA,NA,-6.93,147.7,299,-7.37,-12110,99.02
NA,NA,NA,-6.18,147.8,300,-7.17,-12120,99.23
NA,NA,NA,-5.37,148,301,-7.33,-12120,99.44
NA,NA,NA,-5.6,148.1,302,-7.27,-12130,99.65
NA,NA,NA,-6.03,148.2,303,-7.3,-12130,99.86
NA,NA,NA,-6.77,148.4,304,-7.38,-12140,100.06
NA,NA,NA,NA,NA,NA,-7.46,-12150,100.27
NA,NA,NA,NA,NA,NA,-7.4,-12150,100.48
NA,NA,NA,NA,NA,NA,-7.51,-12160,100.69
NA,NA,NA,NA,NA,NA,-7.52,-12170,100.9
NA,NA,NA,NA,NA,NA,-7.62,-12170,101.1
NA,NA,NA,NA,NA,NA,-7.57,-12180,101.31
NA,NA,NA,NA,NA,NA,-7.44,-12180,101.52
NA,NA,NA,NA,NA,NA,-7.59,-12190,101.73
NA,NA,NA,NA,NA,NA,-7.5,-12200,101.94
NA,NA,NA,NA,NA,NA,-7.77,-12200,102.14
NA,NA,NA,NA,NA,NA,-7.75,-12210,102.35
NA,NA,NA,NA,NA,NA,-7.76,-12220,102.56
NA,NA,NA,NA,NA,NA,-7.61,-12220,102.77
NA,NA,NA,NA,NA,NA,-7.87,-12230,102.98
NA,NA,NA,NA,NA,NA,-7.77,-12230,103.18
NA,NA,NA,NA,NA,NA,-7.73,-12240,103.39
NA,NA,NA,NA,NA,NA,-7.92,-12250,103.6
NA,NA,NA,NA,NA,NA,-7.77,-12250,103.81
NA,NA,NA,NA,NA,NA,-8.04,-12260,104.02
NA,NA,NA,NA,NA,NA,-7.96,-12270,104.22
NA,NA,NA,NA,NA,NA,-7.96,-12270,104.43
NA,NA,NA,NA,NA,NA,-7.92,-12280,104.64
NA,NA,NA,NA,NA,NA,-7.98,-12280,104.85
NA,NA,NA,NA,NA,NA,-7.91,-12290,105.06
NA,NA,NA,NA,NA,NA,-8.02,-12300,105.26
NA,NA,NA,NA,NA,NA,-7.9,-12300,105.47
NA,NA,NA,NA,NA,NA,-7.88,-12310,105.68
NA,NA,NA,NA,NA,NA,-7.95,-12320,105.89
NA,NA,NA,NA,NA,NA,-8,-12320,106.1
NA,NA,NA,NA,NA,NA,-7.99,-12330,106.3
NA,NA,NA,NA,NA,NA,-8,-12330,106.51
NA,NA,NA,NA,NA,NA,-7.87,-12340,106.72
NA,NA,NA,NA,NA,NA,-7.92,-12350,106.93
NA,NA,NA,NA,NA,NA,-7.95,-12350,107.14
NA,NA,NA,NA,NA,NA,-8.03,-12360,107.34
NA,NA,NA,NA,NA,NA,-8.08,-12370,107.55
NA,NA,NA,NA,NA,NA,-8.21,-12370,107.76
NA,NA,NA,NA,NA,NA,-8.27,-12380,107.97
NA,NA,NA,NA,NA,NA,-7.98,-12380,108.18
NA,NA,NA,NA,NA,NA,-8.09,-12390,108.38
NA,NA,NA,NA,NA,NA,-7.95,-12400,108.59
NA,NA,NA,NA,NA,NA,-8.06,-12400,108.8
NA,NA,NA,NA,NA,NA,-8,-12410,109.01
NA,NA,NA,NA,NA,NA,-7.97,-12420,109.22
NA,NA,NA,NA,NA,NA,-7.84,-12420,109.42
NA,NA,NA,NA,NA,NA,-8.02,-12430,109.63
NA,NA,NA,NA,NA,NA,-8.03,-12430,109.84
NA,NA,NA,NA,NA,NA,-7.89,-12440,110.05
NA,NA,NA,NA,NA,NA,-7.92,-12450,110.26
NA,NA,NA,NA,NA,NA,-7.95,-12450,110.46
NA,NA,NA,NA,NA,NA,-7.98,-12460,110.67
NA,NA,NA,NA,NA,NA,-7.8,-12460,110.88
NA,NA,NA,NA,NA,NA,-7.8,-12470,111.09
NA,NA,NA,NA,NA,NA,-7.78,-12470,111.3
NA,NA,NA,NA,NA,NA,-7.94,-12480,111.5
NA,NA,NA,NA,NA,NA,-7.75,-12480,111.71
NA,NA,NA,NA,NA,NA,-7.67,-12490,111.92
NA,NA,NA,NA,NA,NA,-7.75,-12490,112.13
NA,NA,NA,NA,NA,NA,-7.77,-12500,112.34
NA,NA,NA,NA,NA,NA,-7.72,-12500,112.54
NA,NA,NA,NA,NA,NA,-7.68,-12510,112.75
NA,NA,NA,NA,NA,NA,-7.6,-12510,112.96
NA,NA,NA,NA,NA,NA,-7.45,-12520,113.17
NA,NA,NA,NA,NA,NA,-7.38,-12530,113.38
NA,NA,NA,NA,NA,NA,-7.44,-12530,113.58
NA,NA,NA,NA,NA,NA,-7.44,-12540,113.79
NA,NA,NA,NA,NA,NA,-7.27,-12540,114
NA,NA,NA,NA,NA,NA,-7.29,-12550,114.21
NA,NA,NA,NA,NA,NA,-7.18,-12550,114.42
NA,NA,NA,NA,NA,NA,-7.08,-12560,114.62
NA,NA,NA,NA,NA,NA,-7.24,-12560,114.83
NA,NA,NA,NA,NA,NA,-7.23,-12570,115.04
NA,NA,NA,NA,NA,NA,-7.29,-12570,115.25
NA,NA,NA,NA,NA,NA,-7.29,-12580,115.46
NA,NA,NA,NA,NA,NA,-7.17,-12580,115.66
NA,NA,NA,NA,NA,NA,-7.16,-12590,115.87
NA,NA,NA,NA,NA,NA,-7.14,-12590,116.08
NA,NA,NA,NA,NA,NA,-7.06,-12600,116.29
NA,NA,NA,NA,NA,NA,-7.08,-12600,116.5
NA,NA,NA,NA,NA,NA,-7.02,-12610,116.7
NA,NA,NA,NA,NA,NA,-7.03,-12620,116.91
NA,NA,NA,NA,NA,NA,-7.02,-12620,117.12
NA,NA,NA,NA,NA,NA,-7.02,-12630,117.33
NA,NA,NA,NA,NA,NA,-7.1,-12630,117.54
NA,NA,NA,NA,NA,NA,-6.93,-12640,117.74
NA,NA,NA,NA,NA,NA,-6.88,-12640,117.95
NA,NA,NA,NA,NA,NA,-6.95,-12650,118.16
NA,NA,NA,NA,NA,NA,-6.91,-12650,118.37
NA,NA,NA,NA,NA,NA,-6.67,-12660,118.58
NA,NA,NA,NA,NA,NA,-6.75,-12660,118.78
NA,NA,NA,NA,NA,NA,-6.77,-12670,118.99
NA,NA,NA,NA,NA,NA,-6.74,-12670,119.2
NA,NA,NA,NA,NA,NA,-6.84,-12680,119.41
NA,NA,NA,NA,NA,NA,-6.69,-12680,119.62
NA,NA,NA,NA,NA,NA,-6.71,-12690,119.82
NA,NA,NA,NA,NA,NA,-6.49,-12700,120.03
NA,NA,NA,NA,NA,NA,-6.51,-12700,120.24
NA,NA,NA,NA,NA,NA,-6.49,-12710,120.45
NA,NA,NA,NA,NA,NA,-6.57,-12710,120.66
NA,NA,NA,NA,NA,NA,-6.67,-12720,120.86
NA,NA,NA,NA,NA,NA,-6.5,-12720,121.07
NA,NA,NA,NA,NA,NA,NA,-12730,121.28
NA,NA,NA,NA,NA,NA,-6.36,-12730,121.49
NA,NA,NA,NA,NA,NA,-6.38,-12740,121.7
NA,NA,NA,NA,NA,NA,-6.42,-12740,121.9
NA,NA,NA,NA,NA,NA,-6.56,-12750,122.11
NA,NA,NA,NA,NA,NA,-6.35,-12750,122.32
NA,NA,NA,NA,NA,NA,-6.32,-12760,122.53
NA,NA,NA,NA,NA,NA,-6.33,-12760,122.74
NA,NA,NA,NA,NA,NA,-6.39,-12770,122.94
NA,NA,NA,NA,NA,NA,-6.21,-12770,123.15
NA,NA,NA,NA,NA,NA,-6.22,-12780,123.36
NA,NA,NA,NA,NA,NA,-6.12,-12790,123.57
NA,NA,NA,NA,NA,NA,-6.18,-12790,123.78
NA,NA,NA,NA,NA,NA,-6.15,-12800,123.98
NA,NA,NA,NA,NA,NA,-6.23,-12800,124.19
NA,NA,NA,NA,NA,NA,-6.15,-12810,124.4
NA,NA,NA,NA,NA,NA,-6.17,-12810,124.61
NA,NA,NA,NA,NA,NA,-6.14,-12820,124.82
NA,NA,NA,NA,NA,NA,-6.24,-12820,125.02
NA,NA,NA,NA,NA,NA,-5.89,-12830,125.23
NA,NA,NA,NA,NA,NA,-6.09,-12830,125.44
NA,NA,NA,NA,NA,NA,-5.87,-12840,125.65
NA,NA,NA,NA,NA,NA,-5.95,-12840,125.86
NA,NA,NA,NA,NA,NA,-5.93,-12850,126.06
NA,NA,NA,NA,NA,NA,-5.95,-12850,126.27
NA,NA,NA,NA,NA,NA,-5.98,-12860,126.48
NA,NA,NA,NA,NA,NA,-5.91,-12870,126.69
NA,NA,NA,NA,NA,NA,-6,-12870,126.9
NA,NA,NA,NA,NA,NA,-6.12,-12880,127.1
NA,NA,NA,NA,NA,NA,-6,-12880,127.31
NA,NA,NA,NA,NA,NA,-5.92,-12890,127.52
NA,NA,NA,NA,NA,NA,-5.95,-12890,127.73
NA,NA,NA,NA,NA,NA,-5.92,-12900,127.94
NA,NA,NA,NA,NA,NA,-5.96,-12900,128.14
NA,NA,NA,NA,NA,NA,-6.01,-12910,128.35
NA,NA,NA,NA,NA,NA,-5.94,-12910,128.56
NA,NA,NA,NA,NA,NA,-6.01,-12920,128.77
NA,NA,NA,NA,NA,NA,-5.9,-12920,128.98
NA,NA,NA,NA,NA,NA,-6.07,-12930,129.18
NA,NA,NA,NA,NA,NA,-6.09,-12930,129.39
NA,NA,NA,NA,NA,NA,-5.91,-12940,129.6
NA,NA,NA,NA,NA,NA,-5.81,-12940,129.81
NA,NA,NA,NA,NA,NA,-5.66,-12950,130.02
NA,NA,NA,NA,NA,NA,-5.78,-12960,130.22
NA,NA,NA,NA,NA,NA,-5.67,-12970,130.43
NA,NA,NA,NA,NA,NA,-5.55,-12980,130.64
NA,NA,NA,NA,NA,NA,-5.56,-12990,130.85
NA,NA,NA,NA,NA,NA,-5.52,-13000,131.06
NA,NA,NA,NA,NA,NA,-5.56,-13000,131.26
NA,NA,NA,NA,NA,NA,-5.83,-13010,131.47
NA,NA,NA,NA,NA,NA,-5.69,-13020,131.68
NA,NA,NA,NA,NA,NA,-5.72,-13030,131.89
NA,NA,NA,NA,NA,NA,-5.87,-13040,132.1
NA,NA,NA,NA,NA,NA,-5.87,-13050,132.3
NA,NA,NA,NA,NA,NA,-5.73,-13060,132.51
NA,NA,NA,NA,NA,NA,-5.98,-13070,132.72
NA,NA,NA,NA,NA,NA,-5.98,-13080,132.93
NA,NA,NA,NA,NA,NA,-5.97,-13090,133.14
NA,NA,NA,NA,NA,NA,-5.74,-13100,133.34
NA,NA,NA,NA,NA,NA,-5.84,-13100,133.55
NA,NA,NA,NA,NA,NA,-5.67,-13110,133.76
NA,NA,NA,NA,NA,NA,-5.89,-13120,133.97
NA,NA,NA,NA,NA,NA,-5.8,-13130,134.18
NA,NA,NA,NA,NA,NA,-5.75,-13140,134.38
NA,NA,NA,NA,NA,NA,-5.78,-13150,134.59
NA,NA,NA,NA,NA,NA,-5.87,-13160,134.8
NA,NA,NA,NA,NA,NA,-5.97,-13170,135.01
NA,NA,NA,NA,NA,NA,-5.81,-13180,135.22
NA,NA,NA,NA,NA,NA,-5.91,-13190,135.42
NA,NA,NA,NA,NA,NA,-5.81,-13190,135.63
NA,NA,NA,NA,NA,NA,NA,-13200,135.84
NA,NA,NA,NA,NA,NA,-5.99,-13210,136.05
NA,NA,NA,NA,NA,NA,-6.03,-13220,136.26
NA,NA,NA,NA,NA,NA,-6.02,-13230,136.46
NA,NA,NA,NA,NA,NA,-6.18,-13240,136.67
NA,NA,NA,NA,NA,NA,-6.1,-13250,136.88
NA,NA,NA,NA,NA,NA,-5.99,-13260,137.09
NA,NA,NA,NA,NA,NA,-5.97,-13270,137.3
NA,NA,NA,NA,NA,NA,-5.85,-13280,137.5
NA,NA,NA,NA,NA,NA,-5.8,-13290,137.71
NA,NA,NA,NA,NA,NA,-5.77,-13290,137.92
NA,NA,NA,NA,NA,NA,-5.48,-13300,138.13
NA,NA,NA,NA,NA,NA,-5.48,-13310,138.34
NA,NA,NA,NA,NA,NA,-5.62,-13320,138.54
NA,NA,NA,NA,NA,NA,-5.69,-13330,138.75
NA,NA,NA,NA,NA,NA,-5.77,-13340,138.96
NA,NA,NA,NA,NA,NA,-5.76,-13350,139.17
NA,NA,NA,NA,NA,NA,-5.73,-13360,139.38
NA,NA,NA,NA,NA,NA,-5.81,-13370,139.58
NA,NA,NA,NA,NA,NA,-5.84,-13380,139.79
NA,NA,NA,NA,NA,NA,-5.89,-13390,140
NA,NA,NA,NA,NA,NA,-5.87,-13390,140.2
NA,NA,NA,NA,NA,NA,-6.07,-13400,140.4
NA,NA,NA,NA,NA,NA,-6.01,-13410,140.6
NA,NA,NA,NA,NA,NA,-6.14,-13420,140.8
NA,NA,NA,NA,NA,NA,-5.87,-13430,141
NA,NA,NA,NA,NA,NA,-5.91,-13440,141.2
NA,NA,NA,NA,NA,NA,-6.04,-13450,141.4
NA,NA,NA,NA,NA,NA,-6.33,-13460,141.6
NA,NA,NA,NA,NA,NA,-6.28,-13470,141.8
NA,NA,NA,NA,NA,NA,-6.35,-13480,142
NA,NA,NA,NA,NA,NA,-6.28,-13490,142.3
NA,NA,NA,NA,NA,NA,-6.12,-13490,142.6
NA,NA,NA,NA,NA,NA,-6.48,-13500,142.9
NA,NA,NA,NA,NA,NA,-6.19,-13510,143.2
NA,NA,NA,NA,NA,NA,-6.15,-13520,143.5
NA,NA,NA,NA,NA,NA,-5.84,-13530,143.8
NA,NA,NA,NA,NA,NA,-5.62,-13540,144.1
NA,NA,NA,NA,NA,NA,-5.81,-13550,144.4
NA,NA,NA,NA,NA,NA,-5.64,-13560,144.7
NA,NA,NA,NA,NA,NA,-5.53,-13570,145
NA,NA,NA,NA,NA,NA,-5.71,-13580,145.3
NA,NA,NA,NA,NA,NA,-5.66,-13580,145.6
NA,NA,NA,NA,NA,NA,-5.88,-13590,145.9
NA,NA,NA,NA,NA,NA,-5.43,-13600,146.2
NA,NA,NA,NA,NA,NA,-5.53,-13610,146.5
NA,NA,NA,NA,NA,NA,-5.55,-13620,146.7
NA,NA,NA,NA,NA,NA,-5.56,-13630,146.9
NA,NA,NA,NA,NA,NA,-5.5,-13640,147.1
NA,NA,NA,NA,NA,NA,-5.17,-13650,147.3
NA,NA,NA,NA,NA,NA,-5.13,-13660,147.5
NA,NA,NA,NA,NA,NA,-5.15,-13670,147.7
NA,NA,NA,NA,NA,NA,-5.39,-13680,147.9
NA,NA,NA,NA,NA,NA,-5.36,-13680,148.1
NA,NA,NA,NA,NA,NA,-5.37,-13690,148.3
NA,NA,NA,NA,NA,NA,-5.47,-13700,148.5
NA,NA,NA,NA,NA,NA,-5.85,-13710,148.7
NA,NA,NA,NA,NA,NA,-5.92,-13720,148.9
NA,NA,NA,NA,NA,NA,-5.94,-13730,149.1
NA,NA,NA,NA,NA,NA,-5.67,-13740,149.3
NA,NA,NA,NA,NA,NA,-5.54,-13750,149.5
NA,NA,NA,NA,NA,NA,-5.46,-13760,149.7
NA,NA,NA,NA,NA,NA,-5.73,-13770,149.9
NA,NA,NA,NA,NA,NA,-5.83,-13780,150.1
NA,NA,NA,NA,NA,NA,-5.98,-13780,150.3
NA,NA,NA,NA,NA,NA,-5.98,-13790,150.5
NA,NA,NA,NA,NA,NA,-5.91,-13800,150.7
NA,NA,NA,NA,NA,NA,-5.26,-13810,150.9
NA,NA,NA,NA,NA,NA,-5.61,-13820,151.1
NA,NA,NA,NA,NA,NA,-5.14,-13830,151.3
NA,NA,NA,NA,NA,NA,-5.54,-13840,151.5
NA,NA,NA,NA,NA,NA,-5.85,-13850,152.13
NA,NA,NA,NA,NA,NA,-5.69,-13860,152.38
NA,NA,NA,NA,NA,NA,-5.83,-13870,152.63
NA,NA,NA,NA,NA,NA,-5.59,-13880,152.88
NA,NA,NA,NA,NA,NA,-5.4,-13880,153.13
NA,NA,NA,NA,NA,NA,-5.43,-13890,153.38
NA,NA,NA,NA,NA,NA,-5.21,-13900,153.63
NA,NA,NA,NA,NA,NA,-5.18,-13910,153.88
NA,NA,NA,NA,NA,NA,-5.12,-13920,154.08
NA,NA,NA,NA,NA,NA,-5.16,-13930,154.25
NA,NA,NA,NA,NA,NA,-5.1,-13940,154.42
NA,NA,NA,NA,NA,NA,-5.11,-13950,154.58
NA,NA,NA,NA,NA,NA,-5.03,-13960,154.75
NA,NA,NA,NA,NA,NA,-4.96,-13970,154.92
NA,NA,NA,NA,NA,NA,-4.76,-13970,155.13
NA,NA,NA,NA,NA,NA,-4.74,-13980,155.38
NA,NA,NA,NA,NA,NA,-4.74,-13990,155.63
NA,NA,NA,NA,NA,NA,-4.77,-14000,155.88
NA,NA,NA,NA,NA,NA,-4.78,-14010,156.1
NA,NA,NA,NA,NA,NA,-4.7,-14020,156.3
NA,NA,NA,NA,NA,NA,-4.84,-14030,156.5
NA,NA,NA,NA,NA,NA,-4.73,-14040,156.7
NA,NA,NA,NA,NA,NA,-4.86,-14050,156.9
NA,NA,NA,NA,NA,NA,-4.85,-14060,157.1
NA,NA,NA,NA,NA,NA,-4.96,-14070,157.3
NA,NA,NA,NA,NA,NA,-4.94,-14070,157.5
NA,NA,NA,NA,NA,NA,-5,-14080,157.7
NA,NA,NA,NA,NA,NA,-4.9,-14090,157.9
NA,NA,NA,NA,NA,NA,-4.91,-14100,158.1
NA,NA,NA,NA,NA,NA,-4.85,-14110,158.3
NA,NA,NA,NA,NA,NA,-4.82,-14120,158.5
NA,NA,NA,NA,NA,NA,-4.76,-14130,158.7
NA,NA,NA,NA,NA,NA,-5.01,-14140,158.9
NA,NA,NA,NA,NA,NA,-5.38,-14140,159.07
NA,NA,NA,NA,NA,NA,-5.37,-14150,159.27
NA,NA,NA,NA,NA,NA,-6,-14160,159.47
NA,NA,NA,NA,NA,NA,-5.84,-14170,159.67
NA,NA,NA,NA,NA,NA,-5.65,-14170,159.87
NA,NA,NA,NA,NA,NA,-5.59,-14180,160.2
NA,NA,NA,NA,NA,NA,-5.77,-14190,160.4
NA,NA,NA,NA,NA,NA,-5.71,-14200,160.6
NA,NA,NA,NA,NA,NA,-5.94,-14210,160.8
NA,NA,NA,NA,NA,NA,-5.92,-14210,161
NA,NA,NA,NA,NA,NA,-5.97,-14220,161.4
NA,NA,NA,NA,NA,NA,-6.09,-14230,161.8
NA,NA,NA,NA,NA,NA,-5.99,-14240,162.14
NA,NA,NA,NA,NA,NA,-6.08,-14240,162.43
NA,NA,NA,NA,NA,NA,-6.04,-14250,162.72
NA,NA,NA,NA,NA,NA,-6.57,-14260,163
NA,NA,NA,NA,NA,NA,-6.41,-14270,163.1
NA,NA,NA,NA,NA,NA,-6.15,-14280,163.3
NA,NA,NA,NA,NA,NA,-6.3,-14280,163.5
NA,NA,NA,NA,NA,NA,-6.26,-14290,163.7
NA,NA,NA,NA,NA,NA,-6.36,-14300,163.9
NA,NA,NA,NA,NA,NA,-6.23,-14310,164.14
NA,NA,NA,NA,NA,NA,-6.26,-14310,164.43
NA,NA,NA,NA,NA,NA,-6.25,-14320,164.72
NA,NA,NA,NA,NA,NA,-6.3,-14330,165
NA,NA,NA,NA,NA,NA,-6.22,-14340,165.4
NA,NA,NA,NA,NA,NA,-5.89,-14350,165.6
