Sample ID (unitless),year (AD),d18O (per mil),Sr/Ca (mmol/mol),d18Osw (per mil)
698,1891.25,-5.08,8.77,0.1
699,1891.11,-4.98,8.79,0.13
700,1890.98,-4.94,8.82,0.06
701,1890.84,-4.53,8.86,0.31
702,1890.71,-4.84,8.86,0.02
703,1890.57,-4.85,8.86,0.01
704,1890.44,-4.96,8.83,-0.01
705,1890.3,-4.92,8.8,0.13
706,1890.17,-4.84,8.8,0.23
707,1890.02,-4.81,8.8,0.25
708,1889.88,-4.84,8.85,0.05
709,1889.74,-4.71,8.9,-0.01
710,1889.6,-4.63,8.91,0.04
711,1889.45,-4.65,8.88,0.12
712,1889.31,-4.93,8.8,0.12
713,1889.17,-4.94,8.75,0.31
714,1889.04,-5.04,8.78,0.11
715,1888.9,-4.73,8.81,0.3
716,1888.77,-4.85,8.85,0.03
717,1888.64,-4.72,8.84,0.19
718,1888.51,-4.63,8.88,0.15
719,1888.38,-4.84,8.8,0.23
720,1888.25,-4.86,8.79,0.24
721,1888.11,-4.91,NA,NA
722,1887.98,-4.93,8.8,0.12
723,1887.84,-4.87,8.87,-0.08
724,1887.71,-4.76,8.91,-0.09
725,1887.57,-4.67,8.89,0.08
726,1887.44,-4.52,8.93,0.08
727,1887.3,-4.79,8.85,0.08
728,1887.17,-4.78,8.78,0.36
729,1887.06,-4.71,8.82,0.3
730,1886.94,-4.65,8.85,0.23
731,1886.83,-4.66,8.91,0
732,1886.72,-4.6,8.94,-0.05
733,1886.61,-4.61,8.93,-0.01
734,1886.5,-4.85,8.87,-0.05
735,1886.39,-4.74,8.89,0
736,1886.28,-4.97,8.83,-0.01
737,1886.17,-4.94,8.82,0.07
738,1886.08,-4.88,8.81,0.14
739,1885.98,-4.75,8.83,0.2
740,1885.89,-4.76,8.93,-0.16
741,1885.8,-4.61,8.97,-0.18
742,1885.71,-4.4,8.99,-0.05
743,1885.62,-4.74,8.89,-0.01
744,1885.53,-4.92,8.83,0.05
745,1885.44,-4.93,8.84,-0.01
746,1885.35,-4.84,8.84,0.08
747,1885.26,-5.03,8.81,0
748,1885.17,-5.1,8.79,0.01
749,1885.02,-4.96,8.85,-0.06
750,1884.88,-4.8,8.92,-0.17
751,1884.74,-4.56,8.97,-0.14
752,1884.6,-4.6,8.94,-0.04
753,1884.45,-4.74,8.93,-0.15
754,1884.31,-4.92,8.9,-0.23
755,1884.17,-4.9,8.91,-0.24
756,1884.04,-4.65,8.9,0.07
757,1883.92,-4.6,8.94,-0.04
758,1883.79,-4.4,8.97,0.03
759,1883.67,-4.24,9.03,-0.02
760,1883.54,-4.22,9.1,-0.25
761,1883.42,-4.24,9.09,-0.25
762,1883.29,-4.54,8.99,-0.17
763,1883.17,-4.6,8.98,-0.21
764,1882.99,-4.54,8.99,-0.17
765,1882.81,-4.41,9.09,-0.39
766,1882.63,-4.24,9.09,-0.24
767,1882.44,-4.8,8.94,-0.26
768,1882.26,-4.89,8.87,-0.07
769,1882.08,-5.13,8.82,-0.15
770,1881.93,-4.99,8.83,-0.03
771,1881.78,-4.97,8.91,-0.3
772,1881.63,-4.72,9.02,-0.48
773,1881.47,-4.63,9.04,-0.46
774,1881.32,-4.76,8.95,-0.24
775,1881.17,-4.99,8.9,-0.29
776,1880.97,-4.77,8.92,-0.14
777,1880.77,-4.54,9.03,-0.32
778,1880.57,-4.65,9.01,-0.34
779,1880.37,-4.78,8.92,-0.15
780,1880.17,-4.88,8.82,0.1
781,1880,-4.89,8.86,-0.04
782,1879.83,-4.76,8.91,-0.11
783,1879.67,-4.47,8.91,0.19
784,1879.5,-4.25,9.01,0.04
785,1879.33,-4.52,8.94,0.01
786,1879.17,-4.58,8.89,0.14
787,1878.92,-4.45,8.98,-0.06
788,1878.67,-4.17,8.99,0.2
789,1878.42,-4.49,8.89,0.25
790,1878.17,-4.57,8.86,0.28
791,1877.97,-4.51,8.9,0.18
792,1877.77,-4.64,8.93,-0.05
793,1877.57,-4.59,8.89,0.13
794,1877.37,-4.82,8.86,0.03
795,1877.17,-4.75,8.84,0.15
796,1876.97,-4.55,8.96,-0.08
797,1876.77,-4.07,9.06,0.06
798,1876.57,-4.34,8.99,0.03
799,1876.37,-4.73,8.9,-0.04
800,1876.17,-4.84,8.83,0.11
801,1875.95,-4.58,8.88,0.19
802,1875.73,-4.32,9.01,-0.04
803,1875.52,-4.25,9.04,-0.07
804,1875.3,-4.48,8.97,-0.06
805,1875.08,-4.67,8.91,-0.02
806,1874.83,-4.5,8.93,0.07
807,1874.58,-4.53,8.95,-0.01
808,1874.33,-4.47,8.96,0.02
809,1874.08,-4.58,8.9,0.11
810,1873.9,-4.62,8.9,0.07
811,1873.72,-4.26,9.01,0.04
812,1873.53,-4.31,9,0.04
813,1873.35,-4.48,8.94,0.08
814,1873.17,-4.61,8.9,0.11
815,1872.92,-4.3,9.02,-0.03
816,1872.67,-4.2,8.98,0.22
817,1872.42,-4.59,8.9,0.12
818,1872.17,-4.68,8.82,0.29
819,1871.97,-4.77,8.83,0.17
820,1871.77,-4.49,8.93,0.09
821,1871.57,-4.55,8.94,-0.01
822,1871.37,-4.77,8.84,0.15
823,1871.17,-4.97,8.79,0.13
824,1870.97,-4.82,8.87,0
825,1870.77,-4.64,8.9,0.05
826,1870.57,-4.67,8.9,0.02
827,1870.37,-4.74,8.83,0.21
828,1870.17,-4.79,8.84,0.14
829,1869.98,-4.73,8.83,0.23
830,1869.8,-4.68,8.85,0.22
831,1869.62,-4.44,8.92,0.19
832,1869.43,-4.91,8.86,-0.08
833,1869.25,-5.09,8.76,0.13
834,1869.03,-4.83,8.85,0.06
835,1868.82,-4.84,8.9,-0.14
836,1868.6,-4.72,8.89,0
837,1868.38,-5.01,8.82,-0.02
838,1868.17,-4.42,8.78,0.7
839,1867.92,-5.03,8.84,-0.09
840,1867.67,-4.83,8.83,0.11
841,1867.42,-4.63,8.87,0.16
842,1867.17,-4.8,8.88,-0.01
843,1866.83,-4.78,8.86,0.06
844,1866.5,-4.48,8.96,-0.02
845,1866.17,-4.52,8.91,0.14
846,1866.04,-4.39,8.95,0.12
847,1865.92,-4.21,9.02,0.05
848,1865.79,-4.22,9.01,0.08
849,1865.67,-4.26,9.01,0.06
850,1865.54,-4.43,8.98,-0.02
851,1865.42,-4.69,8.86,0.15
852,1865.29,-4.57,8.89,0.15
853,1865.17,-4.89,8.84,0.01
854,1865.06,-4.89,8.83,0.06
855,1864.96,-4.71,8.87,0.12
856,1864.86,-4.69,8.88,0.09
857,1864.76,-4.65,8.95,-0.14
858,1864.66,-4.82,8.94,-0.27
859,1864.56,-4.69,8.94,-0.12
860,1864.45,-4.76,8.94,-0.21
861,1864.35,-4.74,8.87,0.06
862,1864.25,-4.94,8.87,-0.14
863,1864.14,-4.71,8.88,0.06
864,1864.03,-4.82,8.86,0.04
865,1863.93,-4.7,8.88,0.07
866,1863.82,-4.59,8.95,-0.08
867,1863.71,-4.66,8.93,-0.08
868,1863.6,-4.72,8.92,-0.1
869,1863.49,-4.7,8.92,-0.05
870,1863.38,-4.56,8.93,0.04
871,1863.28,-4.81,8.87,0.01
872,1863.17,-4.85,8.81,0.17
873,1863.05,-4.85,8.87,-0.06
874,1862.94,-4.77,8.91,-0.11
875,1862.82,-4.66,8.92,-0.03
876,1862.71,-4.41,8.98,-0.01
877,1862.59,-4.45,9,-0.12
878,1862.48,-4.48,8.97,-0.05
879,1862.36,-4.69,8.94,-0.13
880,1862.25,-4.74,8.87,0.06
881,1862.11,-4.39,8.95,0.13
882,1861.98,-4.46,8.95,0.04
883,1861.84,-4.24,8.98,0.18
884,1861.71,-4.26,8.99,0.1
885,1861.57,-4.42,8.93,0.15
886,1861.44,-4.34,8.96,0.12
887,1861.3,-4.48,8.97,-0.03
888,1861.17,-4.49,8.92,0.13
889,1860.98,-4.47,8.95,0.05
890,1860.8,-4.35,9,-0.03
891,1860.62,-4.3,9,0.03
892,1860.43,-4.62,8.91,0.04
893,1860.25,-4.58,8.92,0.03
894,1860.08,-4.73,8.92,-0.11
895,1859.92,NA,8.98,NA
896,1859.75,-4.36,9.02,-0.1
897,1859.58,-4.59,8.92,0.04
898,1859.42,-4.59,8.94,-0.03
899,1859.25,-4.67,8.89,0.07
900,1858.89,-4.49,8.97,-0.06
901,1858.53,-4.56,8.94,0
902,1858.17,-4.6,8.87,0.21
903,1857.92,-4.37,9,-0.02
904,1857.67,-4.16,9.09,-0.15
905,1857.42,-4.47,9,-0.16
906,1857.17,-4.54,8.97,-0.1
907,1856.92,-4.33,9.07,-0.26
908,1856.67,-4.25,9.03,-0.04
909,1856.42,-4.62,8.89,0.11
910,1856.17,-4.66,8.86,0.17
911,1855.97,-4.51,8.9,0.19
912,1855.77,-4.5,8.93,0.1
913,1855.57,-4.48,8.93,0.09
914,1855.37,-4.82,8.88,-0.03
915,1855.17,-4.75,8.83,0.23
916,1855.04,-4.76,8.89,-0.01
917,1854.9,-4.57,8.91,0.1
918,1854.77,-4.57,8.94,-0.01
919,1854.64,-4.65,8.9,0.07
920,1854.51,-4.8,8.85,0.08
921,1854.38,-4.68,8.86,0.15
922,1854.25,-4.75,8.82,0.25
923,1854.03,-4.51,8.93,0.07
924,1853.82,-4.51,8.93,0.07
925,1853.6,-4.6,8.92,0.02
926,1853.38,-4.59,8.86,0.27
927,1853.17,-4.68,8.87,0.13
928,1853.06,-4.61,8.86,0.22
929,1852.94,-4.64,8.91,0.01
930,1852.83,-4.33,8.94,0.23
931,1852.72,-4.18,9.01,0.11
932,1852.61,-4.31,NA,NA
933,1852.5,-4.4,NA,NA
934,1852.39,-4.56,8.92,0.06
935,1852.28,-4.77,8.85,0.11
936,1852.17,-4.97,8.84,-0.05
937,1852,-4.65,8.9,0.05
938,1851.83,-4.56,8.94,-0.01
939,1851.67,-4.48,8.92,0.14
940,1851.5,-4.74,8.92,-0.1
941,1851.33,-4.86,8.91,-0.19
942,1851.17,-4.87,8.87,-0.06
943,1850.92,-4.54,9.01,-0.24
944,1850.67,-4.51,9.04,-0.34
945,1850.42,-4.52,8.98,-0.11
946,1850.17,-4.8,8.88,-0.04
947,1850.02,-4.7,8.9,0
948,1849.88,-4.55,8.92,0.07
949,1849.74,-4.65,8.93,-0.06
950,1849.6,-4.83,8.88,-0.05
951,1849.45,-4.85,8.85,0.03
952,1849.31,-4.82,8.82,0.19
953,1849.17,-4.8,8.8,0.26
954,1849,-4.65,8.89,0.07
955,1848.83,-4.4,8.89,0.32
956,1848.67,-4.68,8.87,0.13
957,1848.5,-4.5,8.92,0.13
958,1848.33,-4.62,8.89,0.11
959,1848.17,-4.78,8.84,0.15
960,1848,-4.65,8.87,0.17
961,1847.83,-4.5,8.91,0.16
962,1847.67,-4.39,8.91,0.26
963,1847.5,-4.59,8.88,0.17
964,1847.33,-4.63,8.85,0.27
965,1847.17,-4.77,8.81,0.28
966,1847.02,-4.73,8.84,0.18
967,1846.88,-4.64,8.86,0.22
968,1846.74,-4.54,8.92,0.07
969,1846.6,-4.44,8.97,0
970,1846.45,-4.52,8.95,0.01
971,1846.31,-4.59,8.91,0.07
972,1846.17,-4.86,8.82,0.13
973,1846.02,-4.98,8.84,-0.07
974,1845.88,-4.77,8.87,0.04
975,1845.74,-4.72,8.96,-0.22
976,1845.6,-4.64,8.92,-0.02
977,1845.45,-4.7,8.92,-0.08
978,1845.31,-4.85,8.88,-0.06
979,1845.17,-4.7,8.9,-0.01
980,1844.97,-4.79,8.88,-0.02
981,1844.77,-4.46,9.04,-0.29
982,1844.57,-4.61,8.96,-0.13
983,1844.37,-4.62,8.88,0.14
984,1844.17,-4.6,8.84,0.31
985,1843.92,-4.57,8.93,0.01
986,1843.67,-4.46,8.96,0.02
987,1843.42,-4.8,8.87,0.02
988,1843.17,-4.94,8.84,-0.01
989,1843,-4.75,8.87,0.07
990,1842.83,-4.6,8.91,0.07
991,1842.67,-4.47,8.96,0.01
992,1842.5,-4.6,8.91,0.06
993,1842.33,-4.68,8.86,0.16
994,1842.17,-4.86,8.84,0.05
995,1842.04,-4.8,8.86,0.04
996,1841.92,-4.63,8.94,-0.07
997,1841.79,-4.58,8.97,-0.15
998,1841.67,-4.73,8.89,0.01
999,1841.54,-4.88,8.87,-0.07
1000,1841.42,-4.87,8.88,-0.1
1001,1841.29,-4.86,8.8,0.19
1002,1841.17,-4.88,8.8,0.17
1003,1841.07,-4.7,8.82,0.3
1004,1840.97,-4.55,8.91,0.13
1005,1840.87,-4.4,8.98,0
1006,1840.77,-4.2,9.01,0.11
1007,1840.67,-4.31,9.01,0
1008,1840.57,-4.31,8.98,0.09
1009,1840.47,-4.31,9,0.02
1010,1840.37,-4.45,8.94,0.09
1011,1840.27,-4.41,8.92,0.2
1012,1840.17,-4.53,8.92,0.1
1013,1840.06,-4.49,8.93,0.09
1014,1839.94,-4.26,8.98,0.14
1015,1839.83,-4.28,9.02,-0.01
1016,1839.72,-4.13,9.03,0.08
1017,1839.61,-4.54,9.02,-0.28
1018,1839.5,-4.41,8.98,0
1019,1839.39,-4.59,8.96,-0.11
1020,1839.28,-4.89,8.93,-0.29
1021,1839.17,-4.8,8.89,-0.06
1022,1839.04,-4.67,8.94,-0.1
1023,1838.92,-4.58,8.94,-0.04
1024,1838.79,-4.8,8.92,-0.16
1025,1838.67,-4.6,8.94,-0.06
1026,1838.54,-4.58,8.97,-0.13
1027,1838.42,-4.74,8.94,-0.18
1028,1838.29,-4.87,8.86,-0.04
1029,1838.17,-4.79,8.81,0.24
1030,1837.97,-4.67,8.85,0.22
1031,1837.77,-4.54,8.93,0.04
1032,1837.57,-4.69,8.9,0
1033,1837.37,-4.75,8.84,0.17
1034,1837.17,-4.81,8.81,0.21
1035,1837,-4.8,8.83,0.16
1036,1836.83,-4.67,8.91,-0.02
1037,1836.67,-4.52,8.96,-0.05
1038,1836.5,-4.62,8.92,-0.01
1039,1836.33,-4.92,8.85,-0.03
1040,1836.17,-4.91,8.81,0.12
1041,1835.97,-4.87,8.88,-0.09
1042,1835.77,-4.59,8.87,0.2
1043,1835.57,-4.6,8.89,0.12
1044,1835.37,-4.92,8.88,-0.14
1045,1835.17,-4.99,8.82,0.01
1046,1835,-4.76,8.93,-0.19
1047,1834.83,-4.63,8.97,-0.19
1048,1834.67,-4.67,8.91,-0.02
1049,1834.5,-4.73,8.89,0
1050,1834.33,-5.01,8.8,0.04
1051,1834.17,-5.15,8.8,-0.09
1052,1834.02,-5.05,8.81,-0.02
1053,1833.88,-4.84,8.86,0
1054,1833.74,-4.68,8.95,-0.15
1055,1833.6,-4.77,8.91,-0.11
1056,1833.45,-4.91,8.85,-0.02
1057,1833.31,-4.99,8.85,-0.12
1058,1833.17,-5.01,8.8,0.04
1059,1833.06,-4.9,8.81,0.12
1060,1832.94,-4.85,8.85,0.04
1061,1832.83,-4.75,8.88,0.03
1062,1832.72,-4.6,8.91,0.07
1063,1832.61,-4.63,8.91,0.05
1064,1832.5,-4.88,8.89,-0.15
1065,1832.39,-4.71,8.88,0.06
1066,1832.28,-4.63,8.84,0.28
1067,1832.17,-4.71,8.83,0.25
1068,1832.04,-4.73,8.82,0.25
1069,1831.92,-4.74,8.92,-0.11
1070,1831.79,-4.54,8.92,0.1
1071,1831.67,-4.74,8.85,0.15
1072,1831.54,-4.69,8.85,0.2
1073,1831.42,-4.96,8.79,0.12
1074,1831.29,-4.83,8.77,0.35
1075,1831.17,-4.85,8.76,0.38
1076,1831,-4.77,8.76,0.45
1077,1830.83,-4.6,8.91,0.06
1078,1830.67,-4.36,8.87,0.44
1079,1830.5,-4.72,8.92,-0.09
1080,1830.33,-4.62,8.84,0.32
1081,1830.17,-4.69,8.83,0.28
1082,1830.06,-4.66,8.9,0.04
1083,1829.94,-4.59,8.89,0.14
1084,1829.83,-4.62,8.92,-0.01
1085,1829.72,-4.33,8.97,0.11
1086,1829.61,-4.4,8.99,-0.02
1087,1829.5,-4.46,8.93,0.11
1088,1829.39,-4.73,8.95,-0.19
1089,1829.28,-4.54,8.85,0.32
1090,1829.17,-4.75,8.82,0.24
1091,1829.02,-4.52,8.85,0.35
1092,1828.88,-4.63,8.92,0
1093,1828.74,-4.39,8.97,0.05
1094,1828.6,-4.49,8.99,-0.11
1095,1828.45,-4.6,8.89,0.14
1096,1828.31,-4.83,8.82,0.16
1097,1828.17,-4.95,8.81,0.07
1098,1828.04,-4.54,8.82,0.44
1099,1827.92,-4.69,8.88,0.08
1100,1827.79,-4.51,8.92,0.12
1101,1827.67,-4.94,8.92,-0.3
1102,1827.54,-4.81,8.88,-0.02
1103,1827.42,-4.91,8.9,-0.21
1104,1827.29,-4.84,8.87,-0.04
1105,1827.17,-5.05,8.83,-0.09
1106,1826.97,-4.53,8.89,0.22
1107,1826.77,-4.68,8.94,-0.13
1108,1826.57,-4.54,8.97,-0.1
1109,1826.37,-4.71,8.9,-0.01
1110,1826.17,-4.85,8.84,0.06
1111,1826,-4.63,8.85,0.26
1112,1825.83,-4.69,8.93,-0.09
1113,1825.67,-4.68,8.9,0.01
1114,1825.5,-4.75,8.86,0.09
1115,1825.33,-4.78,8.85,0.12
1116,1825.17,-4.85,8.83,0.11
1117,1825,-4.76,8.87,0.04
1118,1824.83,-4.67,8.92,-0.03
1119,1824.67,-4.67,8.86,0.16
1120,1824.5,-4.97,8.86,-0.14
1121,1824.33,-5.06,8.87,-0.26
1122,1824.17,-4.94,8.83,0
1123,1824.08,-4.79,8.87,0.01
1124,1824,-4.61,8.88,0.15
1125,1823.92,-4.61,8.87,0.18
1126,1823.83,-4.55,8.91,0.12
1127,1823.75,-4.39,8.93,0.21
1128,1823.67,-4.47,8.98,-0.06
1129,1823.58,-4.47,8.97,-0.04
1130,1823.5,-4.57,8.95,-0.06
1131,1823.42,-4.66,8.93,-0.07
1132,1823.33,-4.63,8.88,0.15
1133,1823.25,-4.63,8.86,0.23
1134,1823.17,-4.76,8.85,0.13
1135,1823.07,-4.73,8.86,0.1
1136,1822.97,-4.57,8.94,-0.02
1137,1822.87,-4.53,8.96,-0.06
1138,1822.77,-4.7,8.96,-0.22
1139,1822.67,-4.62,8.95,-0.11
1140,1822.57,-4.63,8.92,0.01
1141,1822.47,-4.64,8.84,0.27
1142,1822.37,-4.58,8.87,0.22
1143,1822.27,-4.73,8.88,0.05
1144,1822.17,-4.74,8.81,0.27
1145,1822.02,-4.94,8.81,0.08
1146,1821.88,-4.69,8.89,0.03
1147,1821.74,-4.56,8.94,0.01
1148,1821.6,-4.5,8.92,0.12
1149,1821.45,-4.74,8.88,0.01
1150,1821.31,-4.74,8.9,-0.03
1151,1821.17,-4.74,8.84,0.16
1152,1821,-4.64,8.9,0.07
1153,1820.83,-4.28,8.99,0.1
1154,1820.67,-4.64,8.98,-0.22
1155,1820.5,-4.57,8.95,-0.04
1156,1820.33,-4.87,8.87,-0.07
1157,1820.17,-4.67,8.86,0.18
1158,1819.97,-4.7,8.89,0.03
1159,1819.77,-4.23,9.05,-0.08
1160,1819.57,-4.52,9,-0.19
1161,1819.37,-4.65,8.93,-0.05
1162,1819.17,-4.65,8.88,0.14
1163,1819,-4.6,8.93,-0.02
1164,1818.83,-4.4,8.98,0
1165,1818.67,-4.7,8.98,-0.3
1166,1818.5,-4.77,8.93,-0.19
1167,1818.33,-5,8.86,-0.15
1168,1818.17,-4.97,8.82,0.02
1169,1817.97,-4.62,8.89,0.1
1170,1817.77,-4.48,8.92,0.13
1171,1817.57,-4.51,8.94,0.04
1172,1817.37,-4.97,8.83,0
1173,1817.17,-5.13,8.78,0.02
1174,1817.02,-4.95,8.87,-0.16
1175,1816.88,-4.73,8.86,0.13
1176,1816.74,-4.71,8.87,0.11
1177,1816.6,-4.48,8.89,0.24
1178,1816.45,-4.56,8.87,0.23
1179,1816.31,-4.82,8.8,0.25
1180,1816.17,-4.85,8.75,0.39
1181,1816,-4.47,8.9,0.24
1182,1815.83,-4.27,8.92,0.38
1183,1815.67,-4.49,8.89,0.25
1184,1815.5,-4.56,8.86,0.28
1185,1815.33,-4.61,8.88,0.16
1186,1815.17,-4.81,8.8,0.27
1187,1815.08,-4.66,8.83,0.3
1188,1815,-4.67,8.84,0.26
1189,1814.92,-4.58,8.85,0.32
1190,1814.83,-4.53,8.89,0.21
1191,1814.75,-4.33,8.91,0.34
1192,1814.67,-4.38,8.91,0.29
1193,1814.58,-4.41,8.93,0.17
1194,1814.5,-4.35,8.93,0.23
1195,1814.42,-4.54,8.93,0.04
1196,1814.33,-4.61,8.91,0.04
1197,1814.25,-4.62,8.87,0.18
1198,1814.17,-4.7,8.85,0.2
1199,1814,-4.58,NA,NA
1200,1813.83,-4.49,8.93,0.1
1201,1813.67,-4.45,8.98,-0.06
1202,1813.5,-4.44,8.93,0.15
1203,1813.33,-4.86,8.85,0.01
1204,1813.17,-4.79,8.85,0.09
1205,1813.02,-4.88,8.9,-0.2
1206,1812.88,-4.82,8.84,0.09
1207,1812.74,-4.8,8.91,-0.12
1208,1812.6,-4.55,8.89,0.18
1209,1812.45,-4.61,8.9,0.08
1210,1812.31,-4.76,8.87,0.03
1211,1812.17,-4.74,8.85,0.15
1212,1812.02,-4.74,NA,NA
1213,1811.88,-4.64,8.91,0.01
1214,1811.74,-4.5,8.9,0.19
1215,1811.6,-4.5,8.86,0.34
1216,1811.45,-4.75,NA,NA
1217,1811.31,-4.77,8.81,0.25
1218,1811.17,-4.92,8.76,0.28
1219,1811,-4.62,8.91,0.05
1220,1810.83,-4.36,8.93,0.23
1221,1810.67,-4.64,8.84,0.29
1222,1810.5,-4.88,8.82,0.1
1223,1810.33,-5.15,8.75,0.1
1224,1810.17,-4.89,8.7,0.55
1225,1809.97,-4.99,8.8,0.06
1226,1809.77,-4.73,8.8,0.32
1227,1809.57,-4.65,NA,NA
1228,1809.37,-4.74,8.86,0.11
1229,1809.17,-4.97,8.74,0.3
1230,1809.04,-5.02,8.78,0.12
1231,1808.92,-4.99,8.78,0.16
1232,1808.79,-4.74,8.82,0.25
1233,1808.67,-4.78,8.83,0.18
1234,1808.54,-4.75,8.85,0.15
1235,1808.42,-4.82,8.8,0.23
1236,1808.29,-4.96,8.78,0.19
1237,1808.17,-4.9,8.77,0.26
