d18O (permil),year (AD),Sr_Ca (mmol/mol)
-4.3036,1919.87,8.931
-4.3684,1919.78,8.881
-4.192,1919.7,8.881
-4.1903,1919.62,8.8752
-4.348,1919.53,8.8747
-4.2455,1919.45,8.9015
-4.016,1919.37,8.9347
-3.9297,1919.28,8.9557
-3.978,1919.2,8.994
-3.9127,1919.12,8.953
-3.9612,1919.03,8.9138
-4.099,1918.95,8.876
-4.1851,1918.87,8.8649
-4.2528,1918.78,8.8557
-4.306,1918.7,8.848
-4.3018,1918.62,8.8705
-4.2743,1918.53,8.899
-4.2555,1918.45,8.9035
-4.1683,1918.37,8.9163
-3.9758,1918.28,8.9652
-3.83,1918.2,9.006
-3.7525,1918.12,8.9985
-3.8623,1918.03,8.9803
-4.0335,1917.95,8.945
-4.1993,1917.87,8.9083
-4.3113,1917.78,8.8815
-4.298,1917.7,8.844
-4.2472,1917.62,8.8673
-4.1023,1917.53,8.8993
-3.9685,1917.45,8.929
-3.8457,1917.37,8.9333
-3.7232,1917.28,8.9097
-3.674,1917.2,8.908
-3.7032,1917.12,8.933
-3.7557,1917.03,8.922
-3.8795,1916.95,8.912
-4.087,1916.87,8.9003
-4.291,1916.78,8.8773
-4.241,1916.7,8.859
-4.2993,1916.62,8.9159
-4.2597,1916.53,8.9378
-4.143,1916.45,8.932
-4.0027,1916.37,8.9306
-3.8947,1916.28,8.9332
-3.812,1916.2,8.939
-3.8022,1916.12,8.9277
-3.7924,1916.03,8.9164
-3.8865,1915.95,8.896
-3.985,1915.87,8.8752
-4.0845,1915.78,8.8556
-4.184,1915.7,8.836
-4.3954,1915.62,8.8671
-4.3546,1915.53,8.8939
-4.219,1915.45,8.954
-4.2275,1915.37,8.9241
-4.0145,1915.28,8.9528
-3.933,1915.2,8.971
-3.8772,1915.12,8.9685
-3.8593,1915.03,8.9327
-3.94,1914.95,8.895
-4.1007,1914.87,8.8733
-4.2478,1914.78,8.8683
-4.217,1914.7,8.86
-4.3462,1914.62,8.8808
-4.3556,1914.53,8.8922
-4.271,1914.45,8.896
-4.037,1914.37,8.9203
-3.9171,1914.28,8.9472
-3.887,1914.2,8.976
-3.8634,1914.12,8.967
-3.9603,1914.03,8.9501
-4.152,1913.95,8.927
-4.2888,1913.87,8.9221
-4.3497,1913.78,8.9204
-4.351,1913.7,8.921
-4.2152,1913.62,8.9268
-4.106,1913.53,8.9307
-3.9145,1913.45,8.95
-3.774,1913.37,8.9573
-3.7802,1913.28,8.9505
-3.711,1913.2,9.023
-3.8041,1913.12,8.9647
-3.8973,1913.03,8.9063
-4.002,1912.95,8.897
-4.1065,1912.87,8.8893
-4.1937,1912.78,8.8706
-4.281,1912.7,8.852
-4.3581,1912.62,8.8666
-4.3087,1912.53,8.882
-4.16,1912.45,8.898
-3.9663,1912.37,8.9306
-3.8491,1912.28,8.954
-3.792,1912.2,8.97
-3.7663,1912.12,8.9658
-3.788,1912.03,8.9536
-3.847,1911.95,8.935
-4.0324,1911.87,8.9211
-4.2095,1911.78,8.9024
-4.38,1911.7,8.88
-4.3583,1911.62,8.8908
-4.36,1911.53,8.889
-4.371,1911.45,8.899
-4.2747,1911.37,8.9267
-4.0452,1911.28,8.9628
-3.941,1911.2,8.987
-3.891,1911.12,8.967
-3.9743,1911.03,8.9183
-4.1485,1910.95,8.88
-4.3047,1910.87,8.864
-4.3803,1910.78,8.8653
-4.472,1910.7,8.872
-4.3903,1910.62,8.8728
-4.2913,1910.53,8.9043
-4.1715,1910.45,8.9345
-4.024,1910.37,8.954
-3.9052,1910.28,8.966
-4.001,1910.2,8.976
-3.9093,1910.12,8.9448
-3.8801,1910.03,8.9131
-3.9,1909.95,8.881
-4.0472,1909.87,8.8636
-4.2179,1909.78,8.8553
-4.407,1909.7,8.854
-4.5378,1909.62,8.8632
-4.532,1909.53,8.8697
-4.405,1909.45,8.8925
-4.2513,1909.37,8.9207
-4.144,1909.28,8.9407
-4.034,1909.2,8.964
-4.0604,1909.12,8.9574
-4.1206,1909.03,8.9176
-4.083,1908.95,8.904
-4.3452,1908.87,8.877
-4.2748,1908.78,8.853
-4.607,1908.7,8.884
-4.5078,1908.62,8.8582
-4.2053,1908.53,8.8577
-4.0245,1908.45,8.9125
-3.959,1908.37,8.9707
-3.8858,1908.28,8.9912
-3.78,1908.2,9.037
-3.9009,1908.12,8.9993
-3.871,1908.03,8.9417
-3.981,1907.95,8.905
-4.3244,1907.87,8.8751
-4.4353,1907.78,8.8813
-4.463,1907.7,8.857
-4.4137,1907.62,8.8619
-4.2682,1907.53,8.8715
-4.047,1907.45,8.885
-3.7963,1907.37,8.9697
-3.6673,1907.28,9.0052
-3.634,1907.2,9.002
-3.4556,1907.12,8.9808
-3.4942,1907.03,8.9714
-3.7225,1906.95,8.919
-4.035,1906.87,8.8709
-4.0914,1906.78,8.8302
-4.209,1906.7,8.849
-4.2776,1906.62,8.8584
-4.2527,1906.53,8.8443
-4.201,1906.45,8.869
-3.9221,1906.37,8.9664
-3.7973,1906.28,8.9833
-3.708,1906.2,8.986
-3.747,1906.12,8.9474
-4.073,1906.03,8.9066
-4.043,1905.95,8.872
-4.2979,1905.87,8.8733
-4.4701,1905.78,8.8557
-4.52,1905.7,8.814
-4.2633,1905.62,8.8365
-4.1627,1905.53,8.877
-4.0515,1905.45,8.9185
-3.85,1905.37,8.951
-3.6082,1905.28,8.9735
-3.549,1905.2,8.996
-3.6448,1905.12,8.9654
-3.7714,1905.03,8.9215
-3.922,1904.95,8.867
-4.1067,1904.87,8.858
-4.1668,1904.78,8.8515
-4.129,1904.7,8.847
-4.1546,1904.62,8.8872
-4.1184,1904.53,8.9159
-3.851,1904.45,8.94
-3.7617,1904.37,8.9207
-3.6793,1904.28,9.0133
-3.611,1904.2,9.023
-3.5339,1904.12,9.0038
-3.6801,1904.03,8.9751
-3.801,1903.95,8.961
-4.0992,1903.87,8.883
-4.2548,1903.78,8.833
-4.325,1903.7,8.838
-4.1964,1903.62,8.857
-4.2556,1903.53,8.832
-4.243,1903.45,8.89
-3.9575,1903.37,8.927
-3.9195,1903.28,8.978
-4.119,1903.2,9.011
-3.8224,1903.12,8.9648
-4.0569,1903.03,8.9375
-4.2005,1902.95,8.9185
-4.2834,1902.87,8.9279
-4.3341,1902.78,8.8915
-4.241,1902.7,8.877
-4.2977,1902.62,8.9162
-4.1363,1902.53,8.9507
-4.0375,1902.45,8.968
-3.9543,1902.37,8.9777
-3.7908,1902.28,8.9893
-3.68,1902.2,8.991
-3.8242,1902.12,9.0002
-3.943,1902.03,8.942
-4.147,1901.95,8.89
-4.329,1901.87,8.854
-4.3575,1901.78,8.828
-4.27,1901.7,8.838
-4.3919,1901.62,8.8742
-4.2401,1901.53,8.8529
-4.071,1901.45,8.93
-4.1281,1901.37,8.9362
-3.9569,1901.28,8.9418
-3.892,1901.2,8.974
-3.7818,1901.12,8.9541
-3.9262,1901.03,8.9319
-4.009,1900.95,8.876
-4.1237,1900.87,8.8524
-4.2923,1900.78,8.8876
-4.417,1900.7,8.825
-4.2395,1900.62,8.8242
-4.1667,1900.53,8.8653
-4.137,1900.45,8.9075
-4.1547,1900.37,8.9283
-4.1735,1900.28,8.9342
-3.981,1900.2,8.97
-3.9143,1900.12,8.9558
-3.9797,1900.03,8.9417
-4.032,1899.95,8.9265
-4.1267,1899.87,8.9157
-4.314,1899.78,8.8937
-4.434,1899.7,8.797
-4.3769,1899.62,8.8624
-4.3731,1899.53,8.8226
-4.265,1899.45,8.847
-4.1703,1899.37,8.9157
-3.9287,1899.28,8.9593
-3.858,1899.2,9.027
-3.8213,1899.12,9.0128
-3.842,1899.03,8.9753
-3.8855,1898.95,8.941
-4.017,1898.87,8.8863
-4.2485,1898.78,8.8168
-4.386,1898.7,8.846
-4.4661,1898.62,8.8296
-4.2929,1898.53,8.8434
-4.344,1898.45,8.88
-4.395,1898.37,8.8673
-4.196,1898.28,8.8987
-3.989,1898.2,8.995
-3.8813,1898.12,8.9663
-3.912,1898.03,8.9669
-3.957,1897.95,8.9175
-4.0491,1897.87,8.878
-4.3321,1897.78,8.8467
-4.337,1897.7,8.823
-4.476,1897.62,8.8322
-4.451,1897.53,8.8359
-4.12,1897.45,8.866
-3.896,1897.37,8.8978
-3.846,1897.28,8.9182
-3.799,1897.2,8.911
-4.0431,1897.12,8.8817
-3.8718,1897.03,8.8993
-4.098,1896.95,8.873
-4.1644,1896.87,8.7779
-4.1746,1896.78,8.8241
-4.137,1896.7,8.765
-4.1862,1896.62,8.7933
-4.238,1896.53,8.813
-4.1085,1896.45,8.836
-3.902,1896.37,8.876
-3.7962,1896.28,8.9243
-3.827,1896.2,8.926
-3.8103,1896.12,8.9545
-3.7998,1896.03,8.9555
-3.794,1895.95,8.935
-3.8065,1895.87,8.9496
-3.8874,1895.78,8.9136
-4.022,1895.7,8.838
