d18O (permil),year (AD),Sr_Ca (mmol/mol),d13C (permil)
-4.76,1943.01,8.754,-0.73
-4.73,1942.94,8.843,-0.78
-4.71,1942.87,8.814,-0.74
-4.57,1942.8,8.812,-0.7
-4.56,1942.73,8.834,-0.86
-4.57,1942.66,8.917,-0.94
-4.57,1942.6,8.923,-0.95
-4.56,1942.53,8.88,-0.97
-4.51,1942.46,8.857,-1.01
-4.66,1942.39,8.851,-1.06
-4.81,1942.32,8.84,-0.9
-4.86,1942.25,8.837,-0.77
-4.92,1942.18,8.802,-0.76
-4.96,1942.11,8.83,-0.67
-4.96,1942.04,8.794,-0.67
-4.99,1941.97,8.831,-0.63
-4.8,1941.91,8.851,-0.72
-4.56,1941.84,8.881,-0.73
-4.54,1941.77,8.882,-0.74
-4.41,1941.7,8.964,-0.78
-4.34,1941.62,9.002,-1.06
-4.31,1941.55,8.987,-1.05
-4.36,1941.49,8.951,-1.14
-4.46,1941.42,8.932,-1.13
-4.59,1941.35,8.912,-0.91
-4.69,1941.29,8.868,-0.74
-4.79,1941.22,8.779,-0.75
-4.92,1941.15,8.802,-0.69
-4.99,1941.09,8.784,-0.61
-4.92,1941.02,8.801,-0.43
-4.82,1940.89,8.781,-0.55
-4.66,1940.82,8.818,-0.91
-4.58,1940.75,8.877,-0.94
-4.47,1940.69,8.906,-1.12
-4.47,1940.62,8.937,-1.13
-4.58,1940.56,8.893,-1.22
-4.61,1940.49,8.876,-1.08
-4.5,1940.43,8.831,-1.12
-4.39,1940.36,8.838,-1.15
-4.52,1940.3,8.814,-1.05
-4.66,1940.23,8.847,-0.81
-4.65,1940.17,8.815,-0.6
-4.8,1940.1,8.799,-0.78
-4.84,1940.04,8.86,-0.79
-4.77,1939.98,8.854,-0.99
-4.67,1939.91,8.844,-1.09
-4.52,1939.85,8.842,-0.97
-4.6,1939.78,8.851,-0.72
-4.62,1939.72,8.882,-0.99
-4.65,1939.65,8.903,-1.11
-4.72,1939.59,8.877,-0.82
-4.87,1939.52,8.914,-0.76
-4.88,1939.46,8.881,-0.74
-4.94,1939.41,8.876,-0.67
-4.87,1939.37,8.841,-0.55
-4.86,1939.32,8.812,-0.6
-4.9,1939.27,8.792,-0.44
-4.93,1939.23,8.787,-0.57
-4.93,1939.18,8.797,-0.74
-4.92,1939.13,8.803,-0.81
-4.85,1939.09,8.795,-0.81
-4.7,1939.04,8.794,-0.72
-4.73,1938.87,8.835,-0.82
-4.69,1938.71,8.886,-0.95
-4.66,1938.66,8.879,-0.94
-4.65,1938.62,8.805,-0.89
-4.66,1938.56,8.839,-0.88
-4.7,1938.49,8.864,-0.89
-4.8,1938.43,8.835,-0.9
-4.95,1938.37,8.777,-0.71
-4.9,1938.31,8.776,-0.71
-4.92,1938.25,8.777,-0.75
-4.97,1938.19,8.759,-0.74
-5.01,1938.13,8.793,-0.72
-5,1938.07,8.774,-0.65
-4.9,1938.01,8.792,-0.72
-4.63,1937.95,8.813,-0.77
-4.36,1937.89,8.86,-0.74
-4.47,1937.83,8.822,-0.73
-4.49,1937.77,8.906,-0.94
-4.5,1937.71,8.932,-0.84
-4.57,1937.63,8.877,-0.86
-4.68,1937.56,8.868,-0.9
-4.83,1937.48,8.857,-1
-4.85,1937.4,8.813,-1.12
-4.91,1937.33,8.854,-1.12
-4.86,1937.25,8.85,-0.76
-4.85,1937.17,8.83,-0.69
-4.84,1937.1,8.809,-0.72
-4.7,1937.02,8.836,-0.88
-4.6,1936.94,8.813,-0.82
-4.55,1936.87,8.824,-0.77
-4.55,1936.79,8.928,-0.8
-4.62,1936.73,8.898,-0.88
-4.67,1936.68,8.873,-0.93
-4.69,1936.62,8.928,-0.96
-4.74,1936.56,8.873,-0.95
-4.82,1936.51,8.834,-0.93
-4.88,1936.45,8.851,-0.94
-4.94,1936.39,8.823,-0.96
-4.99,1936.34,8.793,-0.99
-5.05,1936.28,8.78,-0.95
-5.06,1936.22,8.805,-0.7
-4.99,1936.16,8.803,-0.59
-5,1936.11,8.832,-0.77
-4.92,1936.05,8.873,-0.7
-4.85,1935.99,8.85,-0.5
-4.72,1935.94,8.837,-0.65
-4.78,1935.88,8.848,-0.72
-4.75,1935.82,8.874,-0.78
-4.7,1935.77,8.894,-0.97
-4.69,1935.71,8.903,-1.12
-4.77,1935.54,8.896,-1.11
-4.78,1935.37,8.825,-1
-4.88,1935.33,8.828,-0.95
-4.92,1935.26,8.842,-0.92
-4.94,1935.23,8.795,-0.89
-4.97,1935.19,8.791,-0.83
-4.95,1935.16,8.757,-0.83
-4.97,1935.12,8.789,-0.8
-4.93,1935.08,8.795,-0.63
-4.96,1935.05,8.795,-0.51
-4.97,1935.01,8.829,-0.49
-4.93,1934.98,8.823,-0.49
-4.79,1934.94,8.846,-0.53
-4.64,1934.91,8.895,-0.59
-4.53,1934.87,8.824,-0.63
-4.51,1934.71,8.981,-0.48
-4.49,1934.64,8.96,-0.65
-4.52,1934.56,8.966,-0.71
-4.65,1934.49,8.932,-0.8
-4.76,1934.41,8.927,-0.8
-4.86,1934.34,8.874,-0.79
-4.98,1934.27,8.862,-0.6
-5.05,1934.19,8.855,-0.73
-5.08,1934.12,8.811,-0.77
-5.06,1934.06,8.839,-0.86
-4.94,1934,8.854,-0.69
-4.96,1933.94,8.869,-0.97
-4.92,1933.89,8.858,-0.89
-4.87,1933.83,8.886,-0.64
-4.66,1933.77,8.929,-0.62
-4.64,1933.71,8.969,-0.61
-4.74,1933.64,8.966,-0.75
-4.85,1933.58,8.937,-0.84
-4.85,1933.51,8.944,-0.65
-4.93,1933.45,8.899,-0.6
-5.02,1933.38,8.873,-0.47
-5.08,1933.32,8.925,-0.42
-5.13,1933.25,8.856,-0.31
-5.15,1933.19,8.861,-0.33
-5.2,1933.12,8.808,-0.36
-5.12,1933.06,8.819,-0.49
-5,1933.01,8.835,-0.62
-4.88,1932.95,8.871,-0.69
-4.76,1932.9,8.892,-0.73
-4.62,1932.79,8.898,-0.75
-4.56,1932.73,8.952,-0.67
-4.54,1932.68,8.985,-0.58
-4.53,1932.62,8.994,-0.56
-4.67,1932.5,8.986,-0.79
-4.81,1932.44,8.921,-0.87
-4.87,1932.38,8.929,-0.73
-4.99,1932.26,8.868,-0.56
-4.94,1932.2,8.835,-0.37
-4.95,1932.12,8.859,-0.37
-4.95,1932.06,8.848,-0.31
-4.81,1931.99,8.891,-0.31
-4.7,1931.91,8.906,-0.41
-4.66,1931.85,8.907,-0.4
-4.66,1931.78,8.914,-0.42
-4.65,1931.7,8.946,-0.49
-4.64,1931.63,8.934,-0.6
-4.54,1931.57,8.94,-0.77
-4.49,1931.49,8.953,-0.89
-4.5,1931.42,8.886,-0.81
-4.56,1931.35,8.846,-0.74
-4.7,1931.28,8.884,-0.65
-4.74,1931.21,8.877,-0.4
-4.81,1931.14,8.862,-0.4
-4.81,1931.06,8.864,-0.23
-4.72,1930.99,8.919,-0.15
-4.61,1930.92,8.968,-0.47
-4.46,1930.85,8.995,-0.54
-4.33,1930.78,9.019,-0.61
-4.38,1930.71,9.026,-0.73
-4.38,1930.64,8.985,-0.81
-4.44,1930.55,8.984,-0.99
-4.64,1930.41,8.947,-1.02
-4.8,1930.32,8.905,-0.85
-4.88,1930.25,8.894,-0.69
-4.87,1930.18,8.882,-0.58
-4.84,1930.1,8.899,-0.42
-4.85,1930.02,8.866,-0.47
-4.86,1929.97,8.873,-0.56
-4.85,1929.9,8.888,-0.56
-4.84,1929.85,8.886,-0.43
-4.78,1929.79,8.939,-0.35
-4.7,1929.74,8.922,-0.34
-4.67,1929.68,8.941,-0.39
-4.65,1929.62,8.939,-0.46
-4.61,1929.57,8.975,-0.42
-4.62,1929.51,8.925,-0.42
-4.7,1929.45,8.94,-0.7
-4.72,1929.39,8.914,-0.68
-4.77,1929.34,8.89,-0.65
-4.83,1929.28,8.917,-0.34
-4.89,1929.23,8.861,-0.15
-4.96,1929.15,8.914,-0.32
-4.9,1929.07,8.907,-0.3
-4.84,1929,8.906,-0.46
-4.76,1928.93,8.909,-0.5
-4.68,1928.84,8.916,-0.44
-4.69,1928.77,8.955,-0.49
-4.75,1928.7,8.956,-0.62
-4.86,1928.61,9.047,-0.76
-4.86,1928.54,8.992,-0.74
