depth (cm),year (AD),d18O (permil),year (AD) [1-2],d18O (permil) [1-2]
118.7,1899.57,-4.34,1897.92,-4.27
118.9,1899.42,-4.7,1897.75,-4.03
119.1,1899.28,-4.97,1897.58,-4.27
119.3,1899.14,-4.65,1897.42,-4.79
119.5,1898.99,-4.22,1897.25,-4.74
119.7,1898.85,-4.2,1897.08,-4.37
119.9,1898.71,-4.13,1896.92,-4.03
120.1,1898.54,-4.35,1896.75,-3.92
120.3,1898.37,-4.75,1896.58,-4.39
120.5,1898.21,-4.89,1896.42,-4.56
120.7,1898.04,-4.44,1896.25,-4.52
121.1,1897.71,-3.97,1896.08,-4.3
121.3,1897.57,-4.31,1895.92,-4.19
121.5,1897.42,-4.79,1895.75,-3.97
121.7,1897.28,-4.8,1895.58,-4.34
121.9,1897.14,-4.52,1895.42,-4.52
122.1,1896.99,-4.12,1895.25,-4.58
122.3,1896.85,-3.96,1895.08,-4.33
122.5,1896.71,-3.9,1894.92,-4.14
122.7,1896.57,-4.46,1894.75,-4.07
122.9,1896.42,-4.56,1894.58,-4.32
123.1,1896.28,-4.59,1894.42,-4.62
123.3,1896.14,-4.26,1894.25,-4.77
123.5,1895.99,-4.37,1894.08,-4.71
123.7,1895.85,-4.04,1893.92,-4.41
123.9,1895.71,-3.95,1893.75,-4.16
124.1,1895.54,-4.47,1893.58,-4.25
124.3,1895.37,-4.54,1893.42,-4.34
124.5,1895.21,-4.59,1893.25,-4.61
124.7,1895.04,-4.25,1893.08,-4.44
124.9,1894.87,-4.11,1892.92,-4.24
125.1,1894.71,-4.05,1892.75,-4.05
125.3,1894.51,-4.49,1892.58,-4.14
125.5,1894.31,-4.78,1892.42,-4.46
125.7,1894.11,-4.76,1892.25,-4.72
125.9,1893.91,-4.39,1892.08,-4.63
126.1,1893.71,-4.09,1891.92,-4.17
126.3,1893.54,-4.31,1891.75,-4.01
126.5,1893.37,-4.35,1891.58,-4.01
126.7,1893.21,-4.7,1891.42,-4.46
126.9,1893.04,-4.36,1891.25,-4.56
127.1,1892.87,-4.2,1891.08,-4.43
127.3,1892.71,-4,1890.92,-4.3
127.5,1892.51,-4.23,1890.75,-4.13
127.7,1892.31,-4.73,1890.58,-4.29
127.9,1892.11,-4.7,1890.42,-4.66
128.1,1891.91,-4.15,1890.25,-4.84
128.3,1891.71,-3.97,1890.08,-4.63
128.4,1891.63,-3.99,1889.92,-4.29
128.5,1891.55,-4.03,1889.75,-4.05
128.6,1891.48,-4.2,1889.58,-4.25
128.7,1891.4,-4.53,1889.42,-4.68
128.9,1891.25,-4.56,1889.25,-4.88
129,1891.17,-4.6,1889.08,-4.49
129.1,1891.09,-4.45,1888.92,-4.2
129.2,1891.02,-4.32,1888.75,-4.07
129.3,1890.94,-4.31,1888.58,-4.42
129.4,1890.86,-4.26,1888.42,-4.89
129.5,1890.78,-4.18,1888.25,-4.73
129.6,1890.71,-4.08,1888.08,-4.61
129.7,1890.61,-4.27,1887.92,-4.06
129.8,1890.51,-4.37,1887.75,-3.5
129.9,1890.41,-4.69,1887.58,-4.33
130,1890.31,-4.96,1887.42,-4.51
130.1,1890.21,-4.76,1887.25,-4.23
130.2,1890.11,-4.67,1887.08,-4.12
130.3,1890.01,-4.49,1886.92,-4.01
130.4,1889.91,-4.27,1886.75,-3.63
130.5,1889.81,-4.19,1886.58,-4.07
130.6,1889.71,-3.95,1886.42,-4.56
130.7,1889.63,-4.17,1886.25,-4.44
130.8,1889.55,-4.3,1886.08,-4.3
130.9,1889.48,-4.49,1885.92,-4.03
131,1889.4,-4.73,1885.75,-3.99
131.1,1889.32,-4.85,1885.58,-4.07
131.2,1889.25,-4.89,1885.42,-4.34
131.3,1889.17,-4.63,1885.25,-4.52
131.4,1889.09,-4.54,1885.08,-4.27
131.5,1889.02,-4.16,1884.92,-4.11
131.6,1888.94,-4.22,1884.75,-3.97
131.7,1888.86,-4.16,1884.58,-4.13
131.8,1888.78,-4.1,1884.42,-4.25
131.9,1888.71,-4.05,1884.25,-4.5
132,1888.64,-4.2,1884.08,-4.44
132.1,1888.57,-4.5,1883.92,-4.1
132.2,1888.49,-4.78,1883.75,-3.96
132.3,1888.42,-4.88,1883.58,-4.02
132.4,1888.35,-4.91,1883.42,-4.34
132.5,1888.28,-4.72,1883.25,-4.58
132.6,1888.21,-4.73,1883.08,-4.49
132.7,1888.14,-5.33,1882.92,-4.33
132.8,1888.07,-4.36,1882.75,-3.87
132.9,1887.99,-4.06,1882.58,-3.91
133,1887.92,-4.08,1882.42,-4.35
133.1,1887.85,-3.82,1882.25,-4.67
133.3,1887.71,-3.36,1882.08,-4.58
133.35,1887.66,-3.9,1881.92,-4.32
133.45,1887.57,-4.43,1881.75,-4.34
133.55,1887.47,-4.3,1881.58,-4.36
133.65,1887.37,-4.67,1881.42,-4.56
133.75,1887.28,-4.21,1881.25,-4.96
133.85,1887.18,-4.28,1881.08,-4.67
133.95,1887.09,-4.11,1880.92,-4.45
134.05,1886.99,-4.16,1880.75,-4.3
134.15,1886.9,-3.97,1880.58,-4.5
134.25,1886.8,-3.86,1880.42,-4.84
134.35,1886.71,-3.45,1880.25,-4.9
134.45,1886.61,-4.05,1880.08,-4.73
134.55,1886.51,-4.14,1879.92,-4.49
134.65,1886.41,-4.61,1879.75,-4.33
134.75,1886.31,-4.49,1879.58,-4.31
134.85,1886.21,-4.39,1879.42,-4.58
134.95,1886.11,-4.34,1879.25,-5.07
135.05,1886.01,-4.19,1879.08,-5.03
135.15,1885.91,-4.01,NA,NA
135.25,1885.81,-4.04,NA,NA
135.35,1885.71,-3.95,NA,NA
135.45,1885.62,-4.05,NA,NA
135.55,1885.54,-4.1,NA,NA
135.65,1885.46,-4.31,NA,NA
135.75,1885.37,-4.36,NA,NA
135.85,1885.29,-4.49,NA,NA
135.95,1885.21,-4.54,NA,NA
136.05,1885.12,-4.38,NA,NA
136.15,1885.04,-4.15,NA,NA
136.25,1884.96,-4.11,NA,NA
136.35,1884.87,-4.11,NA,NA
136.55,1884.71,-3.92,NA,NA
136.65,1884.6,-4.13,NA,NA
136.75,1884.49,-4.14,NA,NA
136.95,1884.26,-4.51,NA,NA
137.05,1884.15,-4.45,NA,NA
137.15,1884.04,-4.43,NA,NA
137.25,1883.93,-4.1,NA,NA
137.35,1883.82,-4.06,NA,NA
137.45,1883.71,-3.9,NA,NA
137.55,1883.62,-4,NA,NA
137.65,1883.54,-4.04,NA,NA
137.75,1883.46,-4.14,NA,NA
137.85,1883.37,-4.54,NA,NA
137.95,1883.29,-4.55,NA,NA
138.05,1883.21,-4.62,NA,NA
138.15,1883.12,-4.48,NA,NA
138.25,1883.04,-4.49,NA,NA
138.35,1882.96,-4.41,NA,NA
138.45,1882.87,-4.24,NA,NA
138.55,1882.79,-4.04,NA,NA
138.65,1882.71,-3.71,NA,NA
138.75,1882.62,-3.8,NA,NA
138.95,1882.46,-4.24,NA,NA
139.05,1882.37,-4.46,NA,NA
139.15,1882.29,-4.66,NA,NA
139.25,1882.21,-4.68,NA,NA
139.35,1882.12,-4.67,NA,NA
139.45,1882.04,-4.5,NA,NA
139.55,1881.96,-4.28,NA,NA
139.75,1881.79,-4.43,NA,NA
139.85,1881.71,-4.26,NA,NA
139.95,1881.63,-4.29,NA,NA
140.05,1881.55,-4.41,NA,NA
140.15,1881.48,-4.57,NA,NA
140.25,1881.4,-4.56,NA,NA
140.35,1881.32,-4.81,NA,NA
140.45,1881.25,-4.97,NA,NA
140.55,1881.17,-4.91,NA,NA
140.65,1881.09,-4.7,NA,NA
140.75,1881.02,-4.43,NA,NA
140.85,1880.94,-4.48,NA,NA
140.95,1880.86,-4.37,NA,NA
141.15,1880.71,-4.28,NA,NA
141.25,1880.62,-4.48,NA,NA
141.35,1880.54,-4.53,NA,NA
141.45,1880.46,-4.9,NA,NA
141.55,1880.37,-4.77,NA,NA
141.65,1880.29,-4.87,NA,NA
141.75,1880.21,-4.93,NA,NA
141.95,1880.04,-4.67,NA,NA
142.15,1879.87,-4.43,NA,NA
142.35,1879.71,-4.3,NA,NA
142.55,1879.54,-4.31,NA,NA
142.75,1879.37,-4.67,NA,NA
142.95,1879.21,-5.21,NA,NA
143.15,1879.04,-4.97,NA,NA
143.35,1878.87,-4.42,NA,NA
143.55,1878.71,-4.11,NA,NA
143.75,NA,-4.2,NA,NA
143.95,NA,-4.34,NA,NA
