d18O (permil),year (AD),depth (cm),core (),d18O (permil)
-1.68,1317.36,50.5,PL07-71 BC,-1.172
-1.62,1313.19,50.6,PL07-71 BC,-1.017
-1.44,1309.19,50.7,PL07-71 BC,-1.248
-1.71,1305.36,50.8,PL07-71 BC,-1.37
-1.63,1301.69,50.9,PL07-71 BC,-1.313
-1.52,1298.18,51,PL07-71 BC,-1.42
-1.75,1294.83,51.1,PL07-71 BC,-1.376
-1.7,1291.64,51.2,PL07-71 BC,-1.316
-1.5,1288.58,51.3,PL07-71 BC,-1.384
-1.31,1285.67,51.4,PL07-71 BC,-1.38
-1.37,1282.9,51.5,PL07-71 BC,-1.273
-1.76,1280.26,51.6,PL07-71 BC,-1.304
-1.74,1277.76,51.7,PL07-71 BC,-1.226
-1.93,1275.37,51.8,PL07-71 BC,-1.319
-2.29,1273.11,51.9,PL07-71 BC,-1.348
-1.39,1270.97,52,PL07-71 BC,-1.268
-1.61,1268.94,52.1,PL07-71 BC,-1.275
-1.55,1267.02,52.2,PL07-71 BC,-1.23
-1.75,1265.2,52.3,PL07-71 BC,-1.222
-1.92,1263.49,52.4,PL07-71 BC,-1.148
-1.59,1261.88,52.5,PL07-71 BC,-1.265
-1.3,1260.36,52.6,PL07-71 BC,-1.227
-1.08,1258.93,52.7,PL07-71 BC,-1.147
-1.61,1257.59,52.8,PL07-71 BC,-1.321
-1.98,1256.33,52.9,PL07-71 BC,-1.364
-1.31,1255.16,53,PL07-71 BC,-1.243
-1.52,1254.06,53.1,PL07-71 BC,-1.256
-1.65,1253.03,53.2,PL07-71 BC,-1.384
-1.27,1252.07,53.3,PL07-71 BC,-1.314
-1.69,1251.18,53.4,PL07-71 BC,-1.202
-1.91,1248.02,53.5,PL07-71 BC,-1.435
NA,1247.31,53.6,PL07-71 BC,-1.151
NA,1246.66,53.7,PL07-71 BC,-1.057
-1.944,1246.06,53.8,PL07-71 BC,-1.194
-1.776,1245.51,53.9,PL07-71 BC,-1.361
-1.95,1245,54,PL07-71 BC,-1.387
-1.577,1244.52,54.1,PL07-71 BC,-1.2
-1.783,1244.09,54.2,PL07-71 BC,-1.307
-1.692,1243.69,54.3,PL07-71 BC,-1.416
-1.762,1243.33,54.4,PL07-71 BC,-1.462
-1.873,1242.99,54.5,PL07-71 BC,-1.382
-1.906,1242.68,54.6,PL07-71 BC,-1.189
-2.122,1242.39,54.7,PL07-71 BC,-1.392
-1.685,1242.12,54.8,PL07-71 BC,-1.214
-1.728,1241.88,54.9,PL07-71 BC,-1.457
-1.881,1241.65,55,PL07-71 BC,-1.532
-2.224,1241.43,55.1,PL07-71 BC,-1.494
-1.918,1241.23,55.2,PL07-71 BC,-1.35
-2.099,1241.03,55.3,PL07-71 BC,-1.307
-2.171,1240.85,55.4,PL07-71 BC,-1.479
-1.866,1240.67,55.5,PL07-71 BC,-1.147
-1.77,1240.49,55.6,PL07-71 BC,-1.182
-2.01,1240.32,55.7,PL07-71 BC,-1.388
-1.972,1240.15,55.8,PL07-71 BC,-1.253
-1.804,1239.98,55.9,PL07-71 BC,-1.355
-2.043,1239.81,56,PL07-71 BC,-1.333
-1.907,1239.63,56.1,PL07-71 BC,-1.294
-2.182,1239.45,56.2,PL07-71 BC,-1.463
-2.22,1239.26,56.3,PL07-71 BC,-1.232
-1.688,1239.06,56.4,PL07-71 BC,-1.259
-1.91,1238.86,56.5,PL07-71 BC,-1.28
-1.561,1238.64,16.5,CAR 7-2,-1.212
-1.804,1238.42,16.6,CAR 7-2,-1.395
-1.455,1238.18,16.7,CAR 7-2,-1.219
-1.812,1237.93,16.8,CAR 7-2,-1.354
-1.626,1237.67,16.9,CAR 7-2,-1.361
-1.796,1237.39,17,CAR 7-2,-1.396
-1.708,1237.1,17.1,CAR 7-2,-1.356
-1.805,1236.79,17.2,CAR 7-2,-1.66
-1.193,1236.46,17.3,CAR 7-2,-1.373
-1.882,1236.12,17.4,CAR 7-2,-1.347
-1.749,1235.76,17.5,CAR 7-2,-1.38
-1.539,1235.38,17.6,CAR 7-2,-1.39
-1.839,1234.98,17.7,CAR 7-2,-1.522
-1.991,1234.56,17.8,CAR 7-2,-1.277
-1.595,1234.13,17.9,CAR 7-2,-1.371
-1.594,1233.67,18,CAR 7-2,-1.23
-1.795,1233.2,18.1,CAR 7-2,-1.516
-1.562,1232.7,18.2,CAR 7-2,-1.372
-1.622,1232.18,18.3,CAR 7-2,-1.306
-1.907,1231.65,18.4,CAR 7-2,-1.295
-1.46,1231.09,18.5,CAR 7-2,-1.517
-1.752,1230.51,18.6,CAR 7-2,-1.17
-1.581,1229.91,18.7,CAR 7-2,-0.929
-1.596,1229.29,18.8,CAR 7-2,-1.238
-2.001,1228.66,18.9,CAR 7-2,-1.346
-1.888,1228,19,CAR 7-2,-1.402
-1.402,1227.32,19.1,CAR 7-2,-1.271
-1.573,1226.62,19.2,CAR 7-2,-1.439
-1.869,1225.9,19.3,CAR 7-2,-1.257
-2.066,1225.16,19.4,CAR 7-2,-1.304
-1.974,1224.4,19.5,CAR 7-2,-1.054
-1.57,1223.63,19.6,CAR 7-2,-1.217
-1.689,1222.83,19.7,CAR 7-2,-1.362
-1.817,1222.02,19.8,CAR 7-2,-1.221
-1.97,1221.19,19.9,CAR 7-2,-1.153
-2.398,1220.35,20,CAR 7-2,-1.261
-2.081,1219.48,20.1,CAR 7-2,-1.079
-1.892,1218.6,20.2,CAR 7-2,-1.217
-1.776,1217.71,20.3,CAR 7-2,-1.134
-1.94,1216.79,20.4,CAR 7-2,-1.304
-1.418,1215.87,20.5,CAR 7-2,-1.05
-2.059,1214.93,20.6,CAR 7-2,-1.02
-1.544,1213.98,20.7,CAR 7-2,-1.342
-2.087,1213.01,20.8,CAR 7-2,-1.142
-2.097,1212.03,20.9,CAR 7-2,-0.985
-1.602,1211.04,21,CAR 7-2,-1.332
-1.746,1210.04,21.1,CAR 7-2,-1.139
-1.55,1209.03,21.2,CAR 7-2,-1.124
-1.728,1208,21.3,CAR 7-2,-1.237
-1.666,1206.97,21.4,CAR 7-2,-1.132
-1.444,1205.93,21.5,CAR 7-2,-1.127
-1.776,1204.88,21.6,CAR 7-2,-1.23
-1.631,1203.83,21.7,CAR 7-2,-1.05
-1.909,1202.77,21.8,CAR 7-2,-1.221
-1.875,1201.7,21.9,CAR 7-2,-1.134
-1.095,1200.63,22,CAR 7-2,-1.084
-1.344,1199.55,22.1,CAR 7-2,-1.314
-1.749,1198.47,22.2,CAR 7-2,-1.309
-1.181,1197.38,22.3,CAR 7-2,-0.924
-1.395,1196.3,22.4,CAR 7-2,-1.294
-1.447,1195.21,22.5,CAR 7-2,-1.018
-1.646,1194.12,22.6,CAR 7-2,-1.163
-1.186,1193.03,22.7,CAR 7-2,-1.313
-1.184,1191.94,22.8,CAR 7-2,-1.203
-1.95,1190.85,22.9,CAR 7-2,-0.98
-1.858,1189.76,23,CAR 7-2,-1.267
-1.754,1188.68,23.1,CAR 7-2,-1.092
-1.67,1187.6,23.2,CAR 7-2,-1.052
-1.915,1186.52,23.3,CAR 7-2,-1.283
-1.527,1185.44,23.4,CAR 7-2,-1.339
-1.49,1184.37,23.5,CAR 7-2,-1.182
-1.539,1183.3,23.6,CAR 7-2,-1.154
-1.646,1182.24,23.7,CAR 7-2,-1.257
-1.701,1181.19,23.8,CAR 7-2,-1.432
-1.418,1180.14,23.9,CAR 7-2,-1.264
-1.487,1179.1,24,CAR 7-2,-1.34
-1.963,1178.07,24.1,CAR 7-2,-1.452
-1.788,1177.05,24.2,CAR 7-2,-1.343
-1.618,1176.03,24.3,CAR 7-2,-0.968
-1.735,1175.02,24.4,CAR 7-2,-1.067
-1.481,1174.03,24.5,CAR 7-2,-1.348
-1.344,1173.04,24.6,CAR 7-2,-1.241
-1.713,1172.06,24.7,CAR 7-2,-1.177
-1.817,1171.09,24.8,CAR 7-2,-1
-1.43,1170.13,24.9,CAR 7-2,-1.209
-1.32,1169.18,25,CAR 7-2,-1.286
-1.685,1168.25,25.1,CAR 7-2,-1.288
-1.007,1167.32,25.2,CAR 7-2,-1.21
-1.849,1166.41,25.3,CAR 7-2,-0.773
-1.467,1165.5,25.4,CAR 7-2,-1.468
-1.354,1164.61,25.5,CAR 7-2,-1.011
-1.431,1163.73,25.6,CAR 7-2,-1.173
-1.439,1162.86,25.7,CAR 7-2,-1.113
-1.746,1162,25.8,CAR 7-2,-1.188
-1.683,1160.83,25.9,CAR 7-2,-1.391
-1.311,1159.66,26,CAR 7-2,-1.262
-1.216,1158.49,26.1,CAR 7-2,-1.248
-1.915,1157.32,26.2,CAR 7-2,-1.226
-1.122,1156.15,26.3,CAR 7-2,-1.299
-1.61,1154.98,26.4,CAR 7-2,-1.321
-1.547,1153.81,26.5,CAR 7-2,-0.994
-1.532,1152.64,26.6,CAR 7-2,-1.196
-1.792,1151.47,26.7,CAR 7-2,-1.28
-1.651,1150.3,26.8,CAR 7-2,-1.248
-1.811,1149.13,26.9,CAR 7-2,-1.173
-1.521,1147.96,27,CAR 7-2,-1.09
-1.451,1146.8,27.1,CAR 7-2,-1.078
-1.541,1145.63,27.2,CAR 7-2,-1.295
-1.701,1144.46,27.3,CAR 7-2,-1.119
-1.951,1143.29,27.4,CAR 7-2,-1.249
-1.461,1142.12,27.5,CAR 7-2,-1.025
-1.751,1140.95,27.6,CAR 7-2,-1.089
-2.011,1139.78,27.7,CAR 7-2,-1.11
-1.511,1138.61,27.8,CAR 7-2,-1.056
-1.621,1137.44,27.9,CAR 7-2,-0.81
-1.591,1136.27,28,CAR 7-2,-0.745
-1.63,1135.1,28.1,CAR 7-2,-1.16
-1.64,1133.93,28.2,CAR 7-2,-1.099
-1.913,1132.76,28.3,CAR 7-2,-0.925
-1.398,1131.6,28.4,CAR 7-2,-0.615
-1.282,1130.43,28.5,CAR 7-2,-0.949
-1.512,1129.26,28.6,CAR 7-2,-1.071
-1.918,1128.09,28.7,CAR 7-2,-1.019
-1.803,1126.92,28.8,CAR 7-2,-0.985
-1.56,1125.75,28.9,CAR 7-2,-0.811
-1.177,1124.58,29,CAR 7-2,-0.736
-1.946,1123.41,29.1,CAR 7-2,-0.828
-1.819,1122.24,29.2,CAR 7-2,-1.396
-1.792,1121.07,29.3,CAR 7-2,-0.88
-1.615,1119.9,29.4,CAR 7-2,-0.776
-1.885,1118.73,29.5,CAR 7-2,-1.023
-1.952,1117.56,29.6,CAR 7-2,-1.389
-1.565,1116.39,29.7,CAR 7-2,-1.242
-1.948,1115.23,29.8,CAR 7-2,-0.986
-1.907,1114.06,29.9,CAR 7-2,-1.142
-1.862,1112.89,30,CAR 7-2,-1.336
-1.649,1111.72,30.1,CAR 7-2,-0.974
-2.385,1110.55,30.2,CAR 7-2,-1.162
-1.901,1109.38,30.3,CAR 7-2,-1.181
-2.051,1108.21,30.4,CAR 7-2,-0.697
-1.682,1107.04,30.5,CAR 7-2,-0.98
-1.66,1105.87,30.6,CAR 7-2,-0.811
-1.656,1104.7,30.7,CAR 7-2,-1.287
-1.824,1103.53,30.8,CAR 7-2,-0.87
-1.31,1102.1,30.9,CAR 7-2,-1.132
-1.871,1100.66,31,CAR 7-2,-0.84
-1.811,1099.22,31.1,CAR 7-2,-1.142
-2.109,1097.78,31.2,CAR 7-2,-1.082
-1.681,1096.33,31.3,CAR 7-2,-1.044
-1.859,1094.88,31.4,CAR 7-2,-1.305
-2.048,1093.42,31.5,CAR 7-2,-1.295
-1.749,1091.96,31.6,CAR 7-2,-1.115
-1.234,1090.5,31.7,CAR 7-2,-1.351
-1.282,1089.04,31.8,CAR 7-2,-1.133
-1.756,1087.57,31.9,CAR 7-2,-1.234
-1.457,1086.1,32,CAR 7-2,-1.311
-1.421,1084.62,32.1,CAR 7-2,-1.047
-1.921,1083.14,32.2,CAR 7-2,-1.322
-1.345,1081.66,32.3,CAR 7-2,-1.184
-2.104,1080.18,32.4,CAR 7-2,-1.116
-1.564,1078.69,32.5,CAR 7-2,-1.155
-1.721,1077.2,32.6,CAR 7-2,-1.367
-1.319,1075.71,32.7,CAR 7-2,-1.332
-2.055,1074.21,32.8,CAR 7-2,-1.127
-1.535,1072.71,32.9,CAR 7-2,-1.134
-2.039,1071.21,33,CAR 7-2,-0.925
-1.733,1069.7,33.1,CAR 7-2,-1.096
-1.722,1068.19,33.2,CAR 7-2,-0.92
-2.042,1066.68,33.3,CAR 7-2,-1.182
-1.501,1065.17,33.4,CAR 7-2,-1.014
-1.726,1063.65,33.5,CAR 7-2,-1.19
-1.468,1062.13,33.6,CAR 7-2,-1.109
-1.955,1060.61,33.7,CAR 7-2,-1.151
-1.27,1059.09,33.8,CAR 7-2,-1.29
-1.716,1057.56,33.9,CAR 7-2,-1.134
-2.013,1056.03,34,CAR 7-2,-1.066
-0.984,1054.49,34.1,CAR 7-2,-1.033
-1.753,1052.96,34.2,CAR 7-2,-1.089
-1.331,1051.42,34.3,CAR 7-2,-1.211
-1.864,1049.88,34.4,CAR 7-2,-1.141
-1.669,1048.34,34.5,CAR 7-2,-1.209
-1.652,1046.79,34.6,CAR 7-2,-1.341
-1.503,1045.24,34.7,CAR 7-2,-1.083
-1.718,1043.69,34.8,CAR 7-2,-0.961
-1.753,1042.14,34.9,CAR 7-2,-1.452
-1.351,1040.58,35,CAR 7-2,-1.281
-1.91,1039.03,35.1,CAR 7-2,-1.139
-1.738,1037.46,35.2,CAR 7-2,-1
-1.965,1035.9,35.3,CAR 7-2,-1.061
-1.801,1034.34,35.4,CAR 7-2,-1.242
-1.888,1032.77,35.5,CAR 7-2,-1.344
-1.824,1031.2,35.6,CAR 7-2,-1.232
-2.074,1029.63,35.7,CAR 7-2,-1.123
-1.858,1028.05,35.8,CAR 7-2,-1.514
-1.814,1026.48,35.9,CAR 7-2,-1.427
-1.787,1024.9,36,CAR 7-2,-0.924
-1.711,1023.32,36.1,CAR 7-2,-0.985
-1.776,1021.74,36.2,CAR 7-2,-1.096
-1.748,1020.15,36.3,CAR 7-2,-0.949
-2.048,1018.57,36.4,CAR 7-2,-0.652
-1.461,1016.98,36.5,CAR 7-2,-0.957
-1.614,1015.39,36.6,CAR 7-2,-1.259
-2.001,1013.79,36.7,CAR 7-2,-1.142
-1.928,1012.2,36.8,CAR 7-2,-1.041
-1.843,1010.6,36.9,CAR 7-2,-0.776
-1.546,1009,37,CAR 7-2,-0.691
-1.736,1007.4,37.1,CAR 7-2,-1.108
-2.053,1005.8,37.2,CAR 7-2,-1.083
-1.808,1004.19,37.3,CAR 7-2,-1.164
-1.696,1002.58,37.4,CAR 7-2,-0.823
-1.31,1000.98,37.5,CAR 7-2,-1.017
-1.998,999.37,37.6,CAR 7-2,-1.215
-1.911,997.75,37.7,CAR 7-2,-1.149
-1.791,996.14,37.8,CAR 7-2,-1.231
-1.55,994.52,37.9,CAR 7-2,-1.097
-1.567,992.91,38,CAR 7-2,-1.234
-1.853,991.29,38.1,CAR 7-2,-1.184
-2.136,989.66,38.2,CAR 7-2,-1.359
-1.763,988.04,38.3,CAR 7-2,-0.917
-1.963,986.42,38.4,CAR 7-2,-1.074
-1.757,984.79,38.5,CAR 7-2,-1.11
-1.841,983.16,38.6,CAR 7-2,-1.051
-1.72,981.53,38.7,CAR 7-2,-1.203
-1.465,979.9,38.8,CAR 7-2,-0.966
-1.62,978.27,38.9,CAR 7-2,-0.846
-1.678,976.63,39,CAR 7-2,-0.908
-2.005,974.99,39.1,CAR 7-2,-1.043
-1.755,973.36,39.2,CAR 7-2,-1.029
-1.966,971.72,39.3,CAR 7-2,-0.979
-2.192,970.08,39.4,CAR 7-2,-0.99
-1.478,968.43,39.5,CAR 7-2,-1
-1.977,966.79,39.6,CAR 7-2,-1.277
-1.669,965.14,39.7,CAR 7-2,-1.15
-1.812,963.5,39.8,CAR 7-2,-1.102
-1.53,961.85,39.9,CAR 7-2,-1.255
-1.938,960.2,40,CAR 7-2,-0.981
-1.83,958.54,40.1,CAR 7-2,-1.067
-1.849,956.89,40.2,CAR 7-2,-1.144
-1.819,955.24,40.3,CAR 7-2,-1.066
-1.89,953.58,40.4,CAR 7-2,-1.07
-1.841,951.92,40.5,CAR 7-2,-1.131
-1.636,950.26,40.6,CAR 7-2,-1.145
-1.826,948.6,40.7,CAR 7-2,-1.195
-1.796,946.94,40.8,CAR 7-2,-0.951
-2.045,945.28,40.9,CAR 7-2,-1.127
-1.718,943.61,41,CAR 7-2,-1.093
-2.033,941.95,41.1,CAR 7-2,-0.923
-1.89,940.28,41.2,CAR 7-2,-1.174
-1.704,938.61,41.3,CAR 7-2,-1.274
-1.85,936.94,41.4,CAR 7-2,-1.311
-1.948,935.27,41.5,CAR 7-2,-1.292
-1.671,933.6,41.6,CAR 7-2,-1.011
-1.792,931.92,41.7,CAR 7-2,-1.12
-2.017,930.25,41.8,CAR 7-2,-1.024
-1.878,928.57,41.9,CAR 7-2,-1.258
-1.767,926.89,42,CAR 7-2,-1.255
-1.543,925.22,42.1,CAR 7-2,-0.933
-2.104,923.54,42.2,CAR 7-2,-1.132
-2.126,921.85,42.3,CAR 7-2,-0.969
-2.019,920.17,42.4,CAR 7-2,-0.897
-1.565,918.49,42.5,CAR 7-2,-1.22
-1.836,916.8,42.6,CAR 7-2,-1.007
-2.079,915.12,42.7,CAR 7-2,-1.372
-1.739,913.43,42.8,CAR 7-2,-1.136
-1.783,911.74,42.9,CAR 7-2,-0.745
-1.707,910.05,43,CAR 7-2,-1.255
-2.25,908.36,43.1,CAR 7-2,-1.259
-1.969,906.67,43.2,CAR 7-2,-1.078
-2.164,904.98,43.3,CAR 7-2,-1.002
-1.592,903.28,43.4,CAR 7-2,-1.309
-1.953,901.59,43.5,CAR 7-2,-1.404
-1.948,899.89,43.6,CAR 7-2,-1.234
-2.07,898.19,43.7,CAR 7-2,-1.09
-1.761,896.49,43.8,CAR 7-2,-1.154
-1.697,894.79,43.9,CAR 7-2,-0.973
-1.98,893.09,44,CAR 7-2,-1.189
-1.776,891.39,44.1,CAR 7-2,-1.216
-1.676,889.69,44.2,CAR 7-2,-1.351
-1.84,887.99,44.3,CAR 7-2,-0.953
-2.098,886.28,44.4,CAR 7-2,-1.148
-1.926,884.57,44.5,CAR 7-2,-1.276
-1.908,882.87,44.6,CAR 7-2,-0.998
-1.788,881.16,44.7,CAR 7-2,-1.077
-1.759,879.45,44.8,CAR 7-2,-1.11
-1.865,877.74,44.9,CAR 7-2,-1.186
-1.947,876.03,45,CAR 7-2,-1.392
-2.032,874.32,45.1,CAR 7-2,-1.457
-1.759,872.6,45.2,CAR 7-2,-1.272
-2.158,870.89,45.3,CAR 7-2,-1.125
-1.903,869.18,45.4,CAR 7-2,-1.084
-2.048,867.46,45.5,CAR 7-2,-1.204
-1.47,865.74,45.6,CAR 7-2,-1.109
-1.849,864.02,45.7,CAR 7-2,-1.042
-2.103,862.31,45.8,CAR 7-2,-1.219
NA,860.59,45.9,CAR 7-2,-1.295
-1.948,858.87,46,CAR 7-2,-1.162
-1.894,857.14,46.1,CAR 7-2,-1.063
-1.832,855.42,46.2,CAR 7-2,-1.168
-1.951,853.7,46.3,CAR 7-2,-1.085
-1.712,851.97,46.4,CAR 7-2,-1.113
-1.716,850.25,46.5,CAR 7-2,-1.3
-2.054,848.52,46.6,CAR 7-2,-1.236
-2.392,846.79,46.7,CAR 7-2,-0.929
-2.114,845.07,46.8,CAR 7-2,-1.019
-1.591,843.34,46.9,CAR 7-2,-1.024
-1.931,841.61,47,CAR 7-2,-1.145
-1.716,839.88,47.1,CAR 7-2,-1.134
-1.846,838.14,47.2,CAR 7-2,-1.191
-1.947,836.41,47.3,CAR 7-2,-1.136
-1.946,834.68,47.4,CAR 7-2,-0.971
-2.117,832.94,47.5,CAR 7-2,-1.221
-1.825,831.21,47.6,CAR 7-2,-1.37
-2.013,829.47,47.7,CAR 7-2,-1.01
-1.798,827.74,47.8,CAR 7-2,-1.249
-1.901,826,47.9,CAR 7-2,-1.179
-1.797,824.26,48,CAR 7-2,-1.29
-1.892,822.52,48.1,CAR 7-2,-1.199
-2.002,820.78,48.2,CAR 7-2,-1.348
-1.898,819.04,48.3,CAR 7-2,-1.188
-1.756,817.3,48.4,CAR 7-2,-1.266
-1.986,815.56,48.5,CAR 7-2,-1.196
-1.869,813.81,48.6,CAR 7-2,-1.08
-2.156,812.07,48.7,CAR 7-2,-0.903
-2.094,810.32,48.8,CAR 7-2,-1.453
-2.342,808.58,48.9,CAR 7-2,-1.083
-1.764,806.83,49,CAR 7-2,-1.363
-2.037,805.08,49.1,CAR 7-2,-1.22
-2.081,803.33,49.2,CAR 7-2,-0.869
-1.93,801.58,49.3,CAR 7-2,-1.254
-1.77,799.83,49.4,CAR 7-2,-1.152
-1.951,798.08,49.5,CAR 7-2,-1.246
-1.691,796.33,49.6,CAR 7-2,-1.218
-1.666,794.58,49.7,CAR 7-2,-1.217
-1.939,792.82,49.8,CAR 7-2,-1.268
-2.023,791.07,49.9,CAR 7-2,-1.226
-1.93,789.32,50,CAR 7-2,-1.332
-1.707,787.56,50.1,CAR 7-2,-1.017
-1.774,785.8,50.2,CAR 7-2,-1.004
-1.774,784.05,50.3,CAR 7-2,-1.155
-1.801,782.29,50.4,CAR 7-2,-1.103
-1.871,780.53,50.5,CAR 7-2,-0.982
-2.162,778.77,50.6,CAR 7-2,-1.27
-1.63,777.01,50.7,CAR 7-2,-0.827
-1.742,775.25,50.8,CAR 7-2,-1.045
-2.036,773.49,50.9,CAR 7-2,-0.741
-1.929,771.72,51,CAR 7-2,-0.719
-1.52,769.96,51.1,CAR 7-2,-1.069
-1.828,768.2,51.2,CAR 7-2,-0.884
-1.521,766.43,51.3,CAR 7-2,-0.929
-1.659,764.66,51.4,CAR 7-2,-1.08
-1.579,762.9,51.5,CAR 7-2,-1.066
-1.917,761.13,51.6,CAR 7-2,-0.941
-1.817,759.36,51.7,CAR 7-2,-1.142
-1.679,757.59,51.8,CAR 7-2,-0.932
-1.849,755.82,51.9,CAR 7-2,-0.788
-1.815,754.05,52,CAR 7-2,-1.177
-2.081,752.28,52.1,CAR 7-2,-1.044
-1.857,750.51,52.2,CAR 7-2,-1.395
-1.802,748.74,52.3,CAR 7-2,-0.966
-2.013,746.96,52.4,CAR 7-2,-1.015
-1.756,745.19,52.5,CAR 7-2,-1.421
-1.657,743.41,52.6,CAR 7-2,-1.082
-1.777,741.64,52.7,CAR 7-2,-1.007
-1.773,739.86,52.8,CAR 7-2,-1.192
-1.607,738.08,52.9,CAR 7-2,-1.125
-1.858,736.31,53,CAR 7-2,-1.17
-1.942,734.53,53.1,CAR 7-2,-1.263
-1.939,732.75,53.2,CAR 7-2,-1.136
-1.97,730.97,53.3,CAR 7-2,-1.093
-1.666,729.19,53.4,CAR 7-2,-0.811
-1.919,727.41,53.5,CAR 7-2,-0.981
-1.731,725.62,53.6,CAR 7-2,-1.257
-1.597,723.84,53.7,CAR 7-2,-1.337
-1.599,722.06,53.8,CAR 7-2,-0.745
-1.661,720.27,53.9,CAR 7-2,-1.056
-2.067,718.49,54,CAR 7-2,-1.055
-2.196,716.7,54.1,CAR 7-2,-1.298
-2.148,714.91,54.2,CAR 7-2,-0.972
-2.026,713.13,54.3,CAR 7-2,-1.304
-1.9,711.34,54.4,CAR 7-2,-1.208
-2.085,709.55,54.5,CAR 7-2,-1.233
-1.731,707.76,54.6,CAR 7-2,-1.19
-1.876,705.97,54.7,CAR 7-2,-1.256
-1.979,704.18,54.8,CAR 7-2,-1.257
-1.736,702.38,54.9,CAR 7-2,-0.891
-1.796,700.59,55,CAR 7-2,-1.25
-1.747,698.8,55.1,CAR 7-2,-1.222
-2.136,697,55.2,CAR 7-2,-1.15
-1.691,695.21,55.3,CAR 7-2,-1.076
-2.094,693.41,55.4,CAR 7-2,-1.065
-2.028,691.61,55.5,CAR 7-2,-1.23
-1.888,689.82,55.6,CAR 7-2,-1.081
-1.887,688.02,55.7,CAR 7-2,-1.321
-1.754,686.22,55.8,CAR 7-2,-1.143
-1.875,684.42,55.9,CAR 7-2,-1.341
-1.668,682.62,56,CAR 7-2,-0.899
-1.595,680.82,56.1,CAR 7-2,-1.066
-2.038,679.02,56.2,CAR 7-2,-1.28
-2.08,677.21,56.3,CAR 7-2,-1.127
-2.299,675.41,56.4,CAR 7-2,-0.938
-1.829,673.61,56.5,CAR 7-2,-1.173
-1.823,671.8,56.6,CAR 7-2,-1.162
-1.647,670,56.7,CAR 7-2,-1.268
-1.807,668.19,56.8,CAR 7-2,-1.313
-2.113,666.38,56.9,CAR 7-2,-0.854
-2.071,664.58,57,CAR 7-2,-1.187
-1.707,662.77,57.1,CAR 7-2,-1.127
-1.972,660.96,57.2,CAR 7-2,-1.229
-2.194,659.15,57.3,CAR 7-2,-0.971
-1.981,657.34,57.4,CAR 7-2,-1.24
-1.896,655.52,57.5,CAR 7-2,-1.148
-1.843,653.71,57.6,CAR 7-2,-1.132
-1.817,651.9,57.7,CAR 7-2,-1.316
-2.102,650.09,57.8,CAR 7-2,-1.078
-1.709,648.27,57.9,CAR 7-2,-1.01
-1.966,646.46,58,CAR 7-2,-1.169
-1.68,644.64,58.1,CAR 7-2,-1.259
-1.998,642.82,58.2,CAR 7-2,-1.117
-1.67,641,58.3,CAR 7-2,-1.3
-1.769,639.19,58.4,CAR 7-2,-1.295
-2.124,637.37,58.5,CAR 7-2,-1.211
-1.946,635.55,58.6,CAR 7-2,-1.182
-1.913,633.73,58.7,CAR 7-2,-1.301
-1.737,631.91,58.8,CAR 7-2,-1.218
-1.897,630.08,58.9,CAR 7-2,-1.295
-1.771,628.26,59,CAR 7-2,-1.359
-1.723,626.44,59.1,CAR 7-2,-1.382
-1.617,624.61,59.2,CAR 7-2,-1.267
-1.995,622.79,59.3,CAR 7-2,-1.284
-1.472,620.96,59.4,CAR 7-2,-1.38
-1.932,619.13,59.5,CAR 7-2,-1.351
-1.562,617.31,59.6,CAR 7-2,-1.48
-1.758,615.48,59.7,CAR 7-2,-1.213
-1.754,613.65,59.8,CAR 7-2,-1.427
-1.92,611.82,59.9,CAR 7-2,-1.354
-1.807,609.99,60,CAR 7-2,-1.502
-1.855,608.16,60.1,CAR 7-2,-1.38
-1.812,606.33,60.2,CAR 7-2,-1.493
-1.782,604.49,60.3,CAR 7-2,-1.294
-2.064,602.66,60.4,CAR 7-2,-1.227
-1.715,600.82,60.5,CAR 7-2,-1.215
-2.149,598.99,60.6,CAR 7-2,-1.234
-1.751,597.15,60.7,CAR 7-2,-1.286
-1.869,595.32,60.8,CAR 7-2,-0.988
-1.651,593.48,60.9,CAR 7-2,-1.248
-1.592,591.64,61,CAR 7-2,-1.216
-1.975,589.8,61.1,CAR 7-2,-1.161
-1.571,587.96,61.2,CAR 7-2,-0.985
-1.736,586.12,61.3,CAR 7-2,-1.184
-1.704,584.28,61.4,CAR 7-2,-1.017
-1.574,582.44,61.5,CAR 7-2,-1.328
-1.711,580.59,61.6,CAR 7-2,-1.258
-1.614,578.75,61.7,CAR 7-2,-1.092
-2.104,576.91,61.8,CAR 7-2,-0.973
-1.6,575.06,61.9,CAR 7-2,-1.063
-1.693,573.21,62,CAR 7-2,-1.394
-1.651,571.37,62.1,CAR 7-2,-1.268
-2.123,569.52,62.2,CAR 7-2,-1.026
-1.959,567.67,62.3,CAR 7-2,-1.309
-1.772,565.82,62.4,CAR 7-2,-1.328
-2.033,563.97,62.5,CAR 7-2,-1.236
-1.72,562.12,62.6,CAR 7-2,-1.338
-1.58,560.27,62.7,CAR 7-2,-1.314
-1.738,558.42,62.8,CAR 7-2,-1.126
-1.853,556.56,62.9,CAR 7-2,-1.194
-1.633,554.71,63,CAR 7-2,-1.324
-1.907,552.86,63.1,CAR 7-2,-1.355
-1.659,551,63.2,CAR 7-2,-1.1
