dD (permil),year (AD)
-143.88,1343
-150.68,1342
-156.155,1341
-154.65,1340
-144.5,1339
-159.795,1338
-153.53,1337
-146.11,1336
-138.565,1335
-143.18,1334
-144.05,1333
-153.805,1332
-161.35,1331
-165.53,1330
-173.71,1329
-151.295,1328
-155.91,1327
-147.54,1326
-159.295,1325
-136.04,1324
-149.87,1323
-153.19,1322
-125.12,1321
-146.16,1320
-155.305,1319
-155.07,1318
-128.48,1317
-131.09,1316
-151.93,1315
-151.81,1314
-146.44,1313
-157.87,1312
-141.04,1311
-171.56,1310
-160.645,1309
-156.35,1308
-142.425,1307
-150.96,1306
-149.49,1305
-165.24,1304
-151.56,1303
-155.81,1302
-148.75,1301
-162.675,1300
-159.52,1299
-144.17,1298
-147.985,1297
-166.92,1296
-132.45,1295
-138.92,1294
-138.835,1293
-139.24,1292
-159.75,1291
-156.78,1290
-147.46,1289
-155.69,1288
-158.92,1287
-156.07,1286
-155.55,1285
-152.03,1284
-161.66,1283
-170.18,1282
-153.16,1281
-154.29,1280
-142.37,1279
-130.31,1278
-155.46,1277
-147.42,1276
-138.64,1275
-137.23,1274
-147.74,1273
-158.68,1272
-155.64,1271
-153.48,1270
-153.03,1269
-145.91,1268
-150.7,1267
-151.82,1266
-161.77,1265
-140.92,1264
-163.02,1263
-148.83,1262
-154.52,1261
-149.69,1260
-154.92,1259
-162.6,1258
-150.2,1257
-147.4,1256
-143.5,1255
-142.3,1254
-144.6,1253
-135.8,1252
-137.1,1251
-152.9,1250
-147.2,1249
-160.6,1248
-163.6,1247
-155.3,1246
-147.6,1245
-151.5,1244
-154,1243
-142.8,1242
-147.1,1241
-148.7,1240
-152.9,1239
-146.9,1238
-157.5,1237
-153,1236
-162.2,1235
-148.8,1234
-162.3,1233
-142.6,1232
-156.8,1231
-153.2,1230
-147.5,1229
-155.8,1228
-167,1227
-153.3,1226
-155.1,1225
-147.8,1224
-141.9,1223
-153.5,1222
-147.5,1221
-153.3,1220
-164.9,1219
-163.6,1218
-151,1217
-152.9,1216
-144.9,1215
-149.1,1214
-154.9,1213
-147,1212
-144.5,1211
-156.9,1210
-155.2,1209
-147.3,1208
-144.9,1207
-166.1,1206
-153.6,1205
-149,1204
-153.9,1203
-169.3,1202
-160.1,1201
-142.9,1200
-149.6,1199
-154.4,1198
-148.6,1197
-162.3,1196
-154.1,1195
-154.9,1194
-153.8,1193
-157.4,1192
-161.5,1191
-168.7,1190
-153.6,1189
-152.8,1188
-152.5,1187
-151.6,1186
-144,1185
-149.1,1184
-157.4,1183
-165.4,1182
-157.1,1181
-153.5,1180
-156.6,1179
-149.1,1178
-149.3,1177
-156.1,1176
-157.9,1175
-145.5,1174
-151.4,1173
-151.3,1172
-150.4,1171
-146.7,1170
-157.6,1169
-154,1168
-146.1,1167
-152.1,1166
-148.9,1165
-155.2,1164
-147.6,1163
-150.9,1162
-156.8,1161
-153,1160
-160.8,1159
-162.2,1158
-147.1,1157
-163.3,1156
-154.4,1155
-159.9,1154
-153.6,1153
-147,1152
-148.8,1151
-168.5,1150
-154.2,1149
-150.3,1148
-140.4,1147
-166.9,1146
-148.7,1145
-151.7,1144
-152.5,1143
-147.8,1142
-147.5,1141
-133.7,1140
-147.5,1139
-143.1,1138
-151.9,1137
-148.8,1136
-160,1135
-155.3,1134
-159.2,1133
-161,1132
-153.1,1131
-135.2,1130
-154.4,1129
-142.6,1128
-144.9,1127
-151.2,1126
-156.8,1125
-155.3,1124
-145.8,1123
-148.7,1122
-145.1,1121
-143.7,1120
-149.9,1119
-145.5,1118
-151.6,1117
-155.1,1116
-128.6,1115
-151.4,1114
-164.1,1113
-170.1,1112
-146.3,1111
-156.6,1110
-166.9,1109
-146.8,1108
-155.7,1107
-161.7,1106
-165.7,1105
-138.9,1104
-159.4,1103
-136.5,1102
-132.9,1101
-147.4,1100
-145.5,1099
-157,1098
-150.6,1097
-151,1096
-158.05,1095
-165.1,1094
-154.2,1093
-147.2,1092
-139.9,1091
-145.8,1090
-146.8,1089
-150.4,1088
-154.9,1087
-160,1086
-165.1,1085
-147.3,1084
-152.7,1083
-140.7,1082
-143.1,1081
-142,1080
-138.6,1079
-135.2,1078
-138.3,1077
-144,1076
-157.6,1075
-158.1,1074
-158.6,1073
-162.9,1072
-157.7,1071
-164.8,1070
-159.25,1069
-153.7,1068
-163.5,1067
-142.5,1066
-146.3,1065
-150.1,1064
-158.6,1063
-165.5,1062
-163.9,1061
-162.3,1060
-157.9,1059
-152.7,1058
-147.8,1057
-142.9,1056
-146.5,1055
-153.1,1054
-155.45,1053
-157.8,1052
-163.4,1051
-156.95,1050
-150.5,1049
-142.5,1048
-144.2,1047
-147.7,1046
-151.2,1045
-155.9,1044
-148.8,1043
-153.4,1042
-158,1041
-153.6,1040
-148.1,1039
-142.6,1038
-166.8,1037
-159.1,1036
-151.4,1035
-157.7,1034
-163.7,1033
-159.15,1032
-154.6,1031
-142.6,1030
-149.45,1029
-156.3,1028
-147.7,1027
-151.5,1026
-155.3,1025
-157.1,1024
-159.25,1023
-161.4,1022
-149.7,1021
-145.85,1020
-142,1019
-152.8,1018
-158,1017
-147.55,1016
-137.1,1015
-147.6,1014
-143.1,1013
-138.6,1012
-140.4,1011
-145.4,1010
-150.4,1009
-150.3,1008
-150.2,1007
-150.4,1006
-151.75,1005
-153.1,1004
-148.6,1003
-143.6,1002
-138.6,1001
-151.6,1000
-150.4,999
-149.2,998
-140.6,997
-151.9,996
-163.2,995
-163.2,994
-159.1,993
-155,992
-151.1,991
-147.2,990
-141.5,989
-144.05,988
-146.6,987
-138.9,986
-143,985
-147.1,984
-152.6,983
-158.1,982
-144.3,981
-144.85,980
-145.4,979
-144.8,978
-149.2,977
-153.6,976
-156.6,975
-159.6,974
-147.7,973
-149.15,972
-150.6,971
-161.1,970
-153.45,969
-145.8,968
-145.4,967
-145,966
-158.2,965
-157.75,964
-157.3,963
-159,962
-160.7,961
-158.2,960
-160.4,959
-162.6,958
-155.05,957
-147.5,956
-155.1,955
-156.05,954
-157,953
-154.6,952
-152.2,951
-155.8,950
-159.4,949
-153.5,948
-151.05,947
-148.6,946
-155.75,945
-162.9,944
-162.6,943
-155.1,942
-147.6,941
-146.2,940
-144.8,939
-145.55,938
-146.3,937
-149.4,936
-146.7,935
-144,934
-147.15,933
-150.3,932
-142.95,931
-135.6,930
-159.7,929
-154.1,928
-148.5,927
-149.4,926
-150.3,925
-148.15,924
-146,923
-147.7,922
-150.55,921
-153.4,920
-159,919
-164.6,918
-153.65,917
-142.7,916
-143.4,915
-144.1,914
-155.8,913
-160.85,912
-165.9,911
-161.6,910
-157.3,909
-155.6,908
-153.9,907
-152,906
-150.1,905
-144.15,904
-138.2,903
-154.5,902
-153.35,901
-152.2,900
-147.95,899
-143.7,898
-148.35,897
-153,896
-153.85,895
-154.7,894
-151.85,893
-149,892
-154.1,891
-159.2,890
-156.1,889
-153,888
-142.4,887
-148.75,886
-155.1,885
-156.8,884
-158.5,883
-152.5,882
-146.5,881
-153.45,880
-160.4,879
-155.3,878
-150.2,877
-153.6,876
-157,875
-155.45,874
-153.9,873
-149.55,872
-145.2,871
-143,870
-140.8,869
-147.4,868
-154,867
-149,866
-149.45,865
-149.9,864
-148.65,863
-147.4,862
-152.45,861
-157.5,860
-156.55,859
-155.6,858
-148.75,857
-141.9,856
-144.75,855
-147.6,854
-152.85,853
-158.1,852
-154.45,851
-150.8,850
-158.7,849
-166.6,848
-155.3,847
-144,846
-143.8,845
-143.6,844
-147.25,843
-150.9,842
-151.3,841
-151.7,840
-148.85,839
-146,838
-150.65,837
-155.3,836
-152.65,835
-150,834
-145.55,833
-141.1,832
-144.45,831
-147.8,830
-148.55,829
-149.3,828
-145.1,827
-140.9,826
-143.266666666667,825
-145.633333333333,824
-148,823
-145.85,822
-143.7,821
-146.1,820
-148.5,819
-148.1,818
-147.7,817
-147.25,816
-146.8,815
-149.7,814
-152.6,813
-149.45,812
-146.3,811
-147.65,810
-149,809
-147.25,808
-145.5,807
-148.75,806
-152,805
-152.15,804
-152.3,803
-153.866666666667,802
-155.433333333333,801
