d18O (permil),year (AD),depth (cm),year (AD),d18O (permil),year (AD)
-4.517,1913.83,NA,1913.83,-4.517,1913.83
-4.4677,1913.67,NA,1913.67,-4.4677,1913.67
-4.4185,1913.5,NA,1913.5,-4.4185,1913.5
-4.413,1913.33,NA,1913.33,-4.413,1913.33
-4.6246,1913.17,NA,1913.17,-4.6246,1913.17
-4.7704,1913,NA,1913,-4.7704,1913
-4.6375,1912.83,NA,1912.83,-4.6375,1912.83
-4.4822,1912.67,NA,1912.67,-4.4822,1912.67
-4.4598,1912.5,NA,1912.5,-4.4598,1912.5
-4.5214,1912.33,NA,1912.33,-4.5214,1912.33
-4.5966,1912.17,NA,1912.17,-4.5966,1912.17
-4.6612,1912,NA,1912,-4.6612,1912
-4.6891,1911.83,NA,1911.83,-4.6891,1911.83
-4.7072,1911.67,NA,1911.67,-4.7072,1911.67
-4.7225,1911.5,NA,1911.5,-4.7225,1911.5
-4.6712,1911.33,NA,1911.33,-4.6712,1911.33
-4.3557,1911.17,NA,1911.17,-4.3557,1911.17
-3.9945,1911,NA,1911,-3.9945,1911
-4.1043,1910.83,NA,1910.83,-4.1043,1910.83
-4.2113,1910.67,NA,1910.67,-4.2113,1910.67
-4.1925,1910.5,NA,1910.5,-4.1925,1910.5
-4.1667,1910.33,NA,1910.33,-4.1667,1910.33
-4.1793,1910.17,NA,1910.17,-4.1793,1910.17
-4.2822,1910,NA,1910,-4.2822,1910
-4.4112,1909.83,NA,1909.83,-4.4112,1909.83
-4.4403,1909.67,NA,1909.67,-4.4403,1909.67
-4.304,1909.5,NA,1909.5,-4.304,1909.5
-4.127,1909.33,NA,1909.33,-4.127,1909.33
-4.0452,1909.17,NA,1909.17,-4.0452,1909.17
-4.0732,1909,NA,1909,-4.0732,1909
-4.1092,1908.83,NA,1908.83,-4.1092,1908.83
-4.1689,1908.67,NA,1908.67,-4.1689,1908.67
-4.1962,1908.5,NA,1908.5,-4.1962,1908.5
-4.1148,1908.33,NA,1908.33,-4.1148,1908.33
-4.0756,1908.17,NA,1908.17,-4.0756,1908.17
-4.2467,1908,NA,1908,-4.2467,1908
-4.3088,1907.83,NA,1907.83,-4.3088,1907.83
-4.2445,1907.67,NA,1907.67,-4.2445,1907.67
-4.2496,1907.5,NA,1907.5,-4.2496,1907.5
-4.2074,1907.33,NA,1907.33,-4.2074,1907.33
-4.2898,1907.17,NA,1907.17,-4.2898,1907.17
-4.4634,1907,NA,1907,-4.4634,1907
-4.4942,1906.83,NA,1906.83,-4.4942,1906.83
-4.2087,1906.67,NA,1906.67,-4.2087,1906.67
-4.2704,1906.5,NA,1906.5,-4.2704,1906.5
-4.3867,1906.33,NA,1906.33,-4.3867,1906.33
-4.4008,1906.17,NA,1906.17,-4.4008,1906.17
-4.4806,1906,NA,1906,-4.4806,1906
-4.5973,1905.83,NA,1905.83,-4.5973,1905.83
-4.6076,1905.67,NA,1905.67,-4.6076,1905.67
-4.5902,1905.5,NA,1905.5,-4.5902,1905.5
-4.7396,1905.33,NA,1905.33,-4.7396,1905.33
-4.7851,1905.17,NA,1905.17,-4.7851,1905.17
-4.7728,1905,NA,1905,-4.7728,1905
-4.7307,1904.83,NA,1904.83,-4.7307,1904.83
-4.6101,1904.67,NA,1904.67,-4.6101,1904.67
-4.3606,1904.5,NA,1904.5,-4.3606,1904.5
-4.3195,1904.33,NA,1904.33,-4.3195,1904.33
-4.3447,1904.17,NA,1904.17,-4.3447,1904.17
-4.4555,1904,NA,1904,-4.4555,1904
-4.5318,1903.83,NA,1903.83,-4.5318,1903.83
-4.4716,1903.67,NA,1903.67,-4.4716,1903.67
-4.4395,1903.5,NA,1903.5,-4.4395,1903.5
-4.4541,1903.33,NA,1903.33,-4.4541,1903.33
-4.6017,1903.17,NA,1903.17,-4.6017,1903.17
-4.7181,1903,NA,1903,-4.7181,1903
-4.7805,1902.83,NA,1902.83,-4.7805,1902.83
-4.7897,1902.67,NA,1902.67,-4.7897,1902.67
-4.7039,1902.5,NA,1902.5,-4.7039,1902.5
-4.5461,1902.33,NA,1902.33,-4.5461,1902.33
-4.3814,1902.17,NA,1902.17,-4.3814,1902.17
-4.3486,1902,NA,1902,-4.3486,1902
-4.4523,1901.83,NA,1901.83,-4.4523,1901.83
-4.3852,1901.67,NA,1901.67,-4.3852,1901.67
-4.3775,1901.5,NA,1901.5,-4.3775,1901.5
-4.4059,1901.33,NA,1901.33,-4.4059,1901.33
-4.1791,1901.17,NA,1901.17,-4.1791,1901.17
-3.9532,1901,NA,1901,-3.9532,1901
-4.1963,1900.83,NA,1900.83,-4.1963,1900.83
-4.4182,1900.67,NA,1900.67,-4.4182,1900.67
-4.5582,1900.5,NA,1900.5,-4.5582,1900.5
-4.6983,1900.33,NA,1900.33,-4.6983,1900.33
-4.7937,1900.17,NA,1900.17,-4.7937,1900.17
-4.7555,1900,NA,1900,-4.7555,1900
-4.7115,1899.83,NA,1899.83,-4.7115,1899.83
-4.6504,1899.67,NA,1899.67,-4.6504,1899.67
-4.5571,1899.5,NA,1899.5,-4.5571,1899.5
-4.3938,1899.33,NA,1899.33,-4.3938,1899.33
-4.3114,1899.17,NA,1899.17,-4.3114,1899.17
-4.261,1899,NA,1899,-4.261,1899
-4.2698,1898.83,NA,1898.83,-4.2698,1898.83
-4.1987,1898.67,NA,1898.67,-4.1987,1898.67
-4.0093,1898.5,NA,1898.5,-4.0093,1898.5
-3.7523,1898.33,NA,1898.33,-3.7523,1898.33
-3.9449,1898.17,NA,1898.17,-3.9449,1898.17
-4.0916,1898,NA,1898,-4.0916,1898
-4.1558,1897.83,NA,1897.83,-4.1558,1897.83
-4.2018,1897.67,NA,1897.67,-4.2018,1897.67
-4.2455,1897.5,NA,1897.5,-4.2455,1897.5
-4.3467,1897.33,NA,1897.33,-4.3467,1897.33
-4.4791,1897.17,NA,1897.17,-4.4791,1897.17
-4.6113,1897,NA,1897,-4.6113,1897
-4.684,1896.83,NA,1896.83,-4.684,1896.83
-4.5483,1896.67,NA,1896.67,-4.5483,1896.67
-4.267,1896.5,NA,1896.5,-4.267,1896.5
-3.9484,1896.33,NA,1896.33,-3.9484,1896.33
-4.0693,1896.17,NA,1896.17,-4.0693,1896.17
-4.3151,1896,NA,1896,-4.3151,1896
-4.412,1895.83,NA,1895.83,-4.412,1895.83
-4.3131,1895.67,NA,1895.67,-4.3131,1895.67
-4.2673,1895.5,NA,1895.5,-4.2673,1895.5
-4.3362,1895.33,NA,1895.33,-4.3362,1895.33
-4.4264,1895.17,NA,1895.17,-4.4264,1895.17
-4.441,1895,NA,1895,-4.441,1895
-4.4303,1894.83,NA,1894.83,-4.4303,1894.83
-4.4113,1894.67,NA,1894.67,-4.4113,1894.67
-4.3668,1894.5,NA,1894.5,-4.3668,1894.5
-4.3397,1894.33,NA,1894.33,-4.3397,1894.33
-4.3308,1894.17,NA,1894.17,-4.3308,1894.17
-4.3177,1894,NA,1894,-4.3177,1894
-4.3485,1893.83,NA,1893.83,-4.3485,1893.83
-4.3582,1893.67,NA,1893.67,-4.3582,1893.67
-4.3216,1893.5,NA,1893.5,-4.3216,1893.5
-4.3325,1893.33,NA,1893.33,-4.3325,1893.33
-4.3336,1893.17,NA,1893.17,-4.3336,1893.17
-4.2688,1893,NA,1893,-4.2688,1893
-4.1619,1892.83,NA,1892.83,-4.1619,1892.83
-4.1578,1892.67,NA,1892.67,-4.1578,1892.67
-4.2181,1892.5,NA,1892.5,-4.2181,1892.5
-4.2765,1892.33,NA,1892.33,-4.2765,1892.33
-4.3517,1892.17,NA,1892.17,-4.3517,1892.17
-4.4145,1892,NA,1892,-4.4145,1892
-4.4519,1891.83,NA,1891.83,-4.4519,1891.83
-4.4869,1891.67,NA,1891.67,-4.4869,1891.67
-4.5036,1891.5,NA,1891.5,-4.5036,1891.5
-4.4263,1891.33,NA,1891.33,-4.4263,1891.33
-4.3309,1891.17,NA,1891.17,-4.3309,1891.17
-4.2118,1891,NA,1891,-4.2118,1891
-4.2047,1890.83,NA,1890.83,-4.2047,1890.83
-4.2493,1890.67,NA,1890.67,-4.2493,1890.67
-4.2718,1890.5,NA,1890.5,-4.2718,1890.5
-4.2752,1890.33,NA,1890.33,-4.2752,1890.33
-4.1487,1890.17,NA,1890.17,-4.1487,1890.17
-4.0986,1890,NA,1890,-4.0986,1890
-4.1606,1889.83,NA,1889.83,-4.1606,1889.83
-4.2167,1889.67,NA,1889.67,-4.2167,1889.67
-4.3281,1889.5,NA,1889.5,-4.3281,1889.5
-4.4335,1889.33,NA,1889.33,-4.4335,1889.33
-4.5104,1889.17,NA,1889.17,-4.5104,1889.17
-4.8032,1889,NA,1889,-4.8032,1889
-4.7625,1888.83,NA,1888.83,-4.7625,1888.83
-4.6021,1888.67,NA,1888.67,-4.6021,1888.67
-4.4883,1888.5,NA,1888.5,-4.4883,1888.5
-4.5282,1888.33,NA,1888.33,-4.5282,1888.33
-4.5649,1888.17,NA,1888.17,-4.5649,1888.17
-4.4668,1888,NA,1888,-4.4668,1888
-4.3705,1887.83,NA,1887.83,-4.3705,1887.83
-4.2821,1887.67,NA,1887.67,-4.2821,1887.67
-4.1994,1887.5,NA,1887.5,-4.1994,1887.5
-4.1341,1887.33,NA,1887.33,-4.1341,1887.33
-4.1209,1887.17,NA,1887.17,-4.1209,1887.17
-4.1076,1887,NA,1887,-4.1076,1887
-4.1137,1886.83,NA,1886.83,-4.1137,1886.83
-4.1767,1886.67,NA,1886.67,-4.1767,1886.67
-4.2352,1886.5,NA,1886.5,-4.2352,1886.5
-4.2585,1886.33,NA,1886.33,-4.2585,1886.33
-4.2092,1886.17,NA,1886.17,-4.2092,1886.17
-4.2504,1886,NA,1886,-4.2504,1886
-4.3269,1885.83,NA,1885.83,-4.3269,1885.83
-4.318,1885.67,NA,1885.67,-4.318,1885.67
-4.3194,1885.5,NA,1885.5,-4.3194,1885.5
-4.2828,1885.33,NA,1885.33,-4.2828,1885.33
-4.2185,1885.17,NA,1885.17,-4.2185,1885.17
-4.1677,1885,NA,1885,-4.1677,1885
-4.1577,1884.83,NA,1884.83,-4.1577,1884.83
-4.1756,1884.67,NA,1884.67,-4.1756,1884.67
-4.2121,1884.5,NA,1884.5,-4.2121,1884.5
-4.2455,1884.33,NA,1884.33,-4.2455,1884.33
-4.251,1884.17,NA,1884.17,-4.251,1884.17
-4.2021,1884,NA,1884,-4.2021,1884
-4.1851,1883.83,NA,1883.83,-4.1851,1883.83
-4.2413,1883.67,NA,1883.67,-4.2413,1883.67
-4.2759,1883.5,NA,1883.5,-4.2759,1883.5
-4.2389,1883.33,NA,1883.33,-4.2389,1883.33
-4.0393,1883.17,NA,1883.17,-4.0393,1883.17
-3.8749,1883,NA,1883,-3.8749,1883
-3.8388,1882.83,NA,1882.83,-3.8388,1882.83
-3.9671,1882.67,NA,1882.67,-3.9671,1882.67
-4.1227,1882.5,NA,1882.5,-4.1227,1882.5
-4.2342,1882.33,NA,1882.33,-4.2342,1882.33
-4.1502,1882.17,NA,1882.17,-4.1502,1882.17
-4.0884,1882,NA,1882,-4.0884,1882
-4.1055,1881.83,NA,1881.83,-4.1055,1881.83
-4.1176,1881.67,NA,1881.67,-4.1176,1881.67
-4.1221,1881.5,NA,1881.5,-4.1221,1881.5
-4.1307,1881.33,NA,1881.33,-4.1307,1881.33
-4.1405,1881.17,NA,1881.17,-4.1405,1881.17
-4.1401,1881,NA,1881,-4.1401,1881
-4.1217,1880.83,NA,1880.83,-4.1217,1880.83
-4.0626,1880.67,NA,1880.67,-4.0626,1880.67
-4.0252,1880.5,NA,1880.5,-4.0252,1880.5
-4.0276,1880.33,NA,1880.33,-4.0276,1880.33
-3.8744,1880.17,NA,1880.17,-3.8744,1880.17
-3.8287,1880,NA,1880,-3.8287,1880
-4.0324,1879.83,NA,1879.83,-4.0324,1879.83
-4.1182,1879.67,NA,1879.67,-4.1182,1879.67
-4.1503,1879.5,NA,1879.5,-4.1503,1879.5
-4.2197,1879.33,NA,1879.33,-4.2197,1879.33
-4.3296,1879.17,NA,1879.17,-4.3296,1879.17
-4.4364,1879,NA,1879,-4.4364,1879
-4.4882,1878.83,NA,1878.83,-4.4882,1878.83
-4.5002,1878.67,NA,1878.67,-4.5002,1878.67
-4.5528,1878.5,NA,1878.5,-4.5528,1878.5
-4.6287,1878.33,NA,1878.33,-4.6287,1878.33
-4.6443,1878.17,NA,1878.17,-4.6443,1878.17
-4.6555,1878,NA,1878,-4.6555,1878
-4.6372,1877.83,NA,1877.83,-4.6372,1877.83
-4.6237,1877.67,NA,1877.67,-4.6237,1877.67
-4.6248,1877.5,NA,1877.5,-4.6248,1877.5
-4.6003,1877.33,NA,1877.33,-4.6003,1877.33
-4.4989,1877.17,NA,1877.17,-4.4989,1877.17
-4.4152,1877,NA,1877,-4.4152,1877
-4.3845,1876.83,NA,1876.83,-4.3845,1876.83
-4.3641,1876.67,NA,1876.67,-4.3641,1876.67
-4.3742,1876.5,NA,1876.5,-4.3742,1876.5
-4.398,1876.33,NA,1876.33,-4.398,1876.33
-4.4624,1876.17,NA,1876.17,-4.4624,1876.17
-4.501,1876,NA,1876,-4.501,1876
-4.462,1875.83,NA,1875.83,-4.462,1875.83
-4.4684,1875.67,NA,1875.67,-4.4684,1875.67
-4.5454,1875.5,NA,1875.5,-4.5454,1875.5
-4.4451,1875.33,NA,1875.33,-4.4451,1875.33
-4.4,1875.17,NA,1875.17,-4.4,1875.17
-4.345,1875,NA,1875,-4.345,1875
-4.3353,1874.83,NA,1874.83,-4.3353,1874.83
-4.4914,1874.67,NA,1874.67,-4.4914,1874.67
-4.5867000000000004,1874.5,NA,1874.5,-4.5867000000000004,1874.5
-4.3591,1874.33,NA,1874.33,-4.3591,1874.33
-4.2096,1874.17,NA,1874.17,-4.2096,1874.17
-4.2739,1874,NA,1874,-4.2739,1874
-4.2758,1873.83,NA,1873.83,-4.2758,1873.83
-4.2729,1873.67,NA,1873.67,-4.2729,1873.67
-4.2594,1873.5,NA,1873.5,-4.2594,1873.5
-4.2301,1873.33,NA,1873.33,-4.2301,1873.33
-4.2017,1873.17,NA,1873.17,-4.2017,1873.17
-4.1834,1873,NA,1873,-4.1834,1873
-4.1761,1872.83,NA,1872.83,-4.1761,1872.83
-4.2243,1872.67,NA,1872.67,-4.2243,1872.67
-4.2353,1872.5,NA,1872.5,-4.2353,1872.5
-4.2818,1872.33,NA,1872.33,-4.2818,1872.33
-4.3162,1872.17,NA,1872.17,-4.3162,1872.17
-4.3274,1872,NA,1872,-4.3274,1872
-4.3488,1871.83,NA,1871.83,-4.3488,1871.83
-4.3244,1871.67,NA,1871.67,-4.3244,1871.67
-4.3043,1871.5,NA,1871.5,-4.3043,1871.5
-4.2908,1871.33,NA,1871.33,-4.2908,1871.33
-4.2832,1871.17,NA,1871.17,-4.2832,1871.17
-4.2864,1871,NA,1871,-4.2864,1871
-4.3064,1870.83,NA,1870.83,-4.3064,1870.83
-4.311,1870.67,NA,1870.67,-4.311,1870.67
-4.3451,1870.5,NA,1870.5,-4.3451,1870.5
-4.3614,1870.33,NA,1870.33,-4.3614,1870.33
-4.2551,1870.17,NA,1870.17,-4.2551,1870.17
-4.1348,1870,NA,1870,-4.1348,1870
-4.1584,1869.83,NA,1869.83,-4.1584,1869.83
-4.1924,1869.67,NA,1869.67,-4.1924,1869.67
-4.2311,1869.5,NA,1869.5,-4.2311,1869.5
-4.2927,1869.33,NA,1869.33,-4.2927,1869.33
-4.4411,1869.17,NA,1869.17,-4.4411,1869.17
-4.5159,1869,NA,1869,-4.5159,1869
-4.4393,1868.83,NA,1868.83,-4.4393,1868.83
-4.289,1868.67,NA,1868.67,-4.289,1868.67
-4.1456,1868.5,NA,1868.5,-4.1456,1868.5
-4.1505,1868.33,NA,1868.33,-4.1505,1868.33
-4.2852,1868.17,NA,1868.17,-4.2852,1868.17
-4.335,1868,NA,1868,-4.335,1868
-4.3824,1867.83,NA,1867.83,-4.3824,1867.83
-4.4159,1867.67,NA,1867.67,-4.4159,1867.67
-4.3844,1867.5,NA,1867.5,-4.3844,1867.5
-4.2867,1867.33,NA,1867.33,-4.2867,1867.33
-4.2278,1867.17,NA,1867.17,-4.2278,1867.17
-4.2094,1867,NA,1867,-4.2094,1867
-4.3019,1866.83,NA,1866.83,-4.3019,1866.83
-4.4048,1866.67,NA,1866.67,-4.4048,1866.67
-4.5101,1866.5,NA,1866.5,-4.5101,1866.5
-4.6059,1866.33,NA,1866.33,-4.6059,1866.33
-4.5832,1866.17,NA,1866.17,-4.5832,1866.17
-4.499,1866,NA,1866,-4.499,1866
-4.4209,1865.83,NA,1865.83,-4.4209,1865.83
-4.3937,1865.67,NA,1865.67,-4.3937,1865.67
-4.4308,1865.5,NA,1865.5,-4.4308,1865.5
-4.5809,1865.33,NA,1865.33,-4.5809,1865.33
-4.5075,1865.17,NA,1865.17,-4.5075,1865.17
-4.4927,1865,NA,1865,-4.4927,1865
-4.6117,1864.83,NA,1864.83,-4.6117,1864.83
-4.5749,1864.67,NA,1864.67,-4.5749,1864.67
-4.4747,1864.5,NA,1864.5,-4.4747,1864.5
-4.406,1864.33,NA,1864.33,-4.406,1864.33
-4.3888,1864.17,NA,1864.17,-4.3888,1864.17
-4.4169,1864,NA,1864,-4.4169,1864
-4.4563,1863.83,NA,1863.83,-4.4563,1863.83
-4.4486,1863.67,NA,1863.67,-4.4486,1863.67
-4.3823,1863.5,NA,1863.5,-4.3823,1863.5
-4.3581,1863.33,NA,1863.33,-4.3581,1863.33
-4.3218,1863.17,NA,1863.17,-4.3218,1863.17
-4.2164,1863,NA,1863,-4.2164,1863
-4.1087,1862.83,NA,1862.83,-4.1087,1862.83
-4.2082,1862.67,NA,1862.67,-4.2082,1862.67
-4.3019,1862.5,NA,1862.5,-4.3019,1862.5
-4.2883,1862.33,NA,1862.33,-4.2883,1862.33
-4.2614,1862.17,NA,1862.17,-4.2614,1862.17
-4.2432,1862,NA,1862,-4.2432,1862
-4.2648,1861.83,NA,1861.83,-4.2648,1861.83
-4.3085,1861.67,NA,1861.67,-4.3085,1861.67
-4.3087,1861.5,NA,1861.5,-4.3087,1861.5
-4.2588,1861.33,NA,1861.33,-4.2588,1861.33
-4.2202,1861.17,NA,1861.17,-4.2202,1861.17
-4.2098,1861,NA,1861,-4.2098,1861
-4.1947,1860.83,NA,1860.83,-4.1947,1860.83
-4.1447,1860.67,NA,1860.67,-4.1447,1860.67
-4.1005,1860.5,NA,1860.5,-4.1005,1860.5
-4.0494,1860.33,NA,1860.33,-4.0494,1860.33
-4.0138,1860.17,NA,1860.17,-4.0138,1860.17
-4.0495,1860,NA,1860,-4.0495,1860
-4.0862,1859.83,NA,1859.83,-4.0862,1859.83
-4.1064,1859.67,NA,1859.67,-4.1064,1859.67
-4.034,1859.5,NA,1859.5,-4.034,1859.5
-3.9669,1859.33,NA,1859.33,-3.9669,1859.33
-3.9091,1859.17,NA,1859.17,-3.9091,1859.17
-3.9216,1859,NA,1859,-3.9216,1859
-4.1917,1858.83,NA,1858.83,-4.1917,1858.83
-4.38,1858.67,NA,1858.67,-4.38,1858.67
-4.4279,1858.5,NA,1858.5,-4.4279,1858.5
-4.406,1858.33,NA,1858.33,-4.406,1858.33
-4.329,1858.17,NA,1858.17,-4.329,1858.17
-4.2425,1858,NA,1858,-4.2425,1858
-4.1765,1857.83,NA,1857.83,-4.1765,1857.83
-4.1804,1857.67,NA,1857.67,-4.1804,1857.67
-4.1686,1857.5,NA,1857.5,-4.1686,1857.5
-4.0936,1857.33,NA,1857.33,-4.0936,1857.33
-3.9714,1857.17,NA,1857.17,-3.9714,1857.17
-3.9116,1857,NA,1857,-3.9116,1857
-4.0392,1856.83,NA,1856.83,-4.0392,1856.83
-4.1668,1856.67,NA,1856.67,-4.1668,1856.67
-4.2564,1856.5,NA,1856.5,-4.2564,1856.5
-4.2319,1856.33,NA,1856.33,-4.2319,1856.33
-4.2075,1856.17,NA,1856.17,-4.2075,1856.17
-4.1877,1856,NA,1856,-4.1877,1856
-4.2096,1855.83,NA,1855.83,-4.2096,1855.83
-4.326,1855.67,NA,1855.67,-4.326,1855.67
-4.3796,1855.5,NA,1855.5,-4.3796,1855.5
-4.1279,1855.33,NA,1855.33,-4.1279,1855.33
-4.0002,1855.17,NA,1855.17,-4.0002,1855.17
-4.2722,1855,NA,1855,-4.2722,1855
-4.2743,1854.83,NA,1854.83,-4.2743,1854.83
-4.1868,1854.67,NA,1854.67,-4.1868,1854.67
-4.3055,1854.5,NA,1854.5,-4.3055,1854.5
-4.4477,1854.33,NA,1854.33,-4.4477,1854.33
-4.4059,1854.17,NA,1854.17,-4.4059,1854.17
-4.3163,1854,NA,1854,-4.3163,1854
-4.2356,1853.83,NA,1853.83,-4.2356,1853.83
-4.2704,1853.67,NA,1853.67,-4.2704,1853.67
-4.3611,1853.5,NA,1853.5,-4.3611,1853.5
-4.3996,1853.33,NA,1853.33,-4.3996,1853.33
-4.3953,1853.17,NA,1853.17,-4.3953,1853.17
-4.4026,1853,NA,1853,-4.4026,1853
-4.5031,1852.83,NA,1852.83,-4.5031,1852.83
-4.4805,1852.67,NA,1852.67,-4.4805,1852.67
-4.4829,1852.5,NA,1852.5,-4.4829,1852.5
-4.5362,1852.33,NA,1852.33,-4.5362,1852.33
-4.5578,1852.17,NA,1852.17,-4.5578,1852.17
-4.4555,1852,NA,1852,-4.4555,1852
-4.4699,1851.83,NA,1851.83,-4.4699,1851.83
-4.5255,1851.67,NA,1851.67,-4.5255,1851.67
-4.6306,1851.5,NA,1851.5,-4.6306,1851.5
-4.8209,1851.33,NA,1851.33,-4.8209,1851.33
-4.6638,1851.17,NA,1851.17,-4.6638,1851.17
-4.5177,1851,NA,1851,-4.5177,1851
-4.4072,1850.83,NA,1850.83,-4.4072,1850.83
-4.3395,1850.67,NA,1850.67,-4.3395,1850.67
-4.3094,1850.5,NA,1850.5,-4.3094,1850.5
-4.3559,1850.33,NA,1850.33,-4.3559,1850.33
-4.46,1850.17,NA,1850.17,-4.46,1850.17
-4.4662,1850,NA,1850,-4.4662,1850
-4.5441,1849.83,NA,1849.83,-4.5441,1849.83
-4.5262,1849.67,NA,1849.67,-4.5262,1849.67
-4.5007,1849.5,NA,1849.5,-4.5007,1849.5
-4.3248,1849.33,NA,1849.33,-4.3248,1849.33
-4.1919,1849.17,NA,1849.17,-4.1919,1849.17
-4.2036,1849,NA,1849,-4.2036,1849
-4.2067,1848.83,NA,1848.83,-4.2067,1848.83
-4.2941,1848.67,NA,1848.67,-4.2941,1848.67
-4.317,1848.5,NA,1848.5,-4.317,1848.5
-4.2412,1848.33,NA,1848.33,-4.2412,1848.33
-4.2624,1848.17,NA,1848.17,-4.2624,1848.17
-4.3347,1848,NA,1848,-4.3347,1848
-4.289,1847.83,NA,1847.83,-4.289,1847.83
-4.1341,1847.67,NA,1847.67,-4.1341,1847.67
-4.03,1847.5,NA,1847.5,-4.03,1847.5
-4.103,1847.33,NA,1847.33,-4.103,1847.33
-4.2472,1847.17,NA,1847.17,-4.2472,1847.17
-4.2571,1847,NA,1847,-4.2571,1847
-4.2317,1846.83,NA,1846.83,-4.2317,1846.83
-4.2717,1846.67,NA,1846.67,-4.2717,1846.67
-4.4308,1846.5,NA,1846.5,-4.4308,1846.5
-4.7137,1846.33,NA,1846.33,-4.7137,1846.33
-4.6036,1846.17,NA,1846.17,-4.6036,1846.17
-4.6485,1846,NA,1846,-4.6485,1846
-4.6712,1845.83,NA,1845.83,-4.6712,1845.83
-4.7177,1845.67,NA,1845.67,-4.7177,1845.67
-4.5609,1845.5,NA,1845.5,-4.5609,1845.5
-4.3372,1845.33,NA,1845.33,-4.3372,1845.33
-4.1459,1845.17,NA,1845.17,-4.1459,1845.17
-4.1123,1845,NA,1845,-4.1123,1845
-4.1561,1844.83,NA,1844.83,-4.1561,1844.83
-4.2763,1844.67,NA,1844.67,-4.2763,1844.67
-4.3543,1844.5,NA,1844.5,-4.3543,1844.5
-4.3094,1844.33,NA,1844.33,-4.3094,1844.33
-4.4178,1844.17,NA,1844.17,-4.4178,1844.17
-4.4864,1844,NA,1844,-4.4864,1844
-4.5483,1843.83,NA,1843.83,-4.5483,1843.83
-4.4161,1843.67,NA,1843.67,-4.4161,1843.67
-4.3408,1843.5,NA,1843.5,-4.3408,1843.5
-4.3374,1843.33,NA,1843.33,-4.3374,1843.33
-4.3596,1843.17,NA,1843.17,-4.3596,1843.17
-4.391,1843,NA,1843,-4.391,1843
-4.393,1842.83,NA,1842.83,-4.393,1842.83
-4.4157,1842.67,NA,1842.67,-4.4157,1842.67
-4.3308,1842.5,NA,1842.5,-4.3308,1842.5
-4.2857,1842.33,NA,1842.33,-4.2857,1842.33
-4.2551,1842.17,NA,1842.17,-4.2551,1842.17
-4.2678,1842,NA,1842,-4.2678,1842
-4.2388,1841.83,NA,1841.83,-4.2388,1841.83
-4.2354,1841.67,NA,1841.67,-4.2354,1841.67
-4.2675,1841.5,NA,1841.5,-4.2675,1841.5
-4.3525,1841.33,NA,1841.33,-4.3525,1841.33
-4.2365,1841.17,NA,1841.17,-4.2365,1841.17
-4.2636,1841,NA,1841,-4.2636,1841
-4.2752,1840.83,NA,1840.83,-4.2752,1840.83
-4.315,1840.67,NA,1840.67,-4.315,1840.67
-4.3615,1840.5,NA,1840.5,-4.3615,1840.5
-4.5927,1840.33,NA,1840.33,-4.5927,1840.33
-4.7834,1840.17,NA,1840.17,-4.7834,1840.17
-4.6914,1840,NA,1840,-4.6914,1840
