d18O (permil),year (AD),d18O (permil) [1-2],year (AD) [1-2],depthice (m) [1-2],depthwe (m) [1-2]
-38,1403,-38,1403,89.2,62.08
-38.5,1402,-38.5,1402,89.32,62.19
-38.6,1401,-38.6,1401,89.44,62.29
-39,1400,-39,1400,89.55,62.39
-38.6,1399,-38.6,1399,89.67,62.49
-36.8,1398,-36.8,1398,89.79,62.59
-35.3,1397,-35.3,1397,89.9,62.69
-34.9,1396,-34.9,1396,90.02,62.79
-35.4,1395,-35.4,1395,90.13,62.89
-36.2,1394,-36.2,1394,90.25,62.99
-36.4,1393,-36.4,1393,90.37,63.09
-37.1,1392,-37.1,1392,90.48,63.19
-38.5,1391,-38.5,1391,90.6,63.29
-38.7,1390,-38.7,1390,90.72,63.39
-38,1389,-38,1389,90.83,63.5
-37.6,1388,-37.6,1388,90.95,63.6
-38,1387,-38,1387,91.06,63.7
-38.9,1386,-38.9,1386,91.18,63.8
-38.2,1385,-38.2,1385,91.3,63.9
-37.4,1384,-37.4,1384,91.41,64
-37.9,1383,-37.9,1383,91.53,64.1
-38,1382,-38,1382,91.64,64.2
-37.6,1381,-37.6,1381,91.76,64.3
-37.8,1380,-37.8,1380,91.88,64.4
-38.3,1379,-38.3,1379,91.99,64.5
-38.1,1378,-38.1,1378,92.11,64.6
-37.7,1377,-37.7,1377,92.22,64.71
-37.5,1376,-37.5,1376,92.34,64.81
-37.9,1375,-37.9,1375,92.45,64.91
-38.4,1374,-38.4,1374,92.57,65.01
-37.9,1373,-37.9,1373,92.69,65.11
-37.2,1372,-37.2,1372,92.8,65.21
-36.7,1371,-36.7,1371,92.92,65.31
-36.5,1370,-36.5,1370,93.03,65.41
-36.6,1369,-36.6,1369,93.15,65.51
-36.4,1368,-36.4,1368,93.26,65.61
-35.8,1367,-35.8,1367,93.38,65.71
-35.7,1366,-35.7,1366,93.5,65.81
-35.9,1365,-35.9,1365,93.61,65.91
-36.2,1364,-36.2,1364,93.73,66.02
-36.9,1363,-36.9,1363,93.84,66.12
-36.9,1362,-36.9,1362,93.96,66.22
-37.3,1361,-37.3,1361,94.07,66.32
-37.6,1360,-37.6,1360,94.19,66.42
-37.3,1359,-37.3,1359,94.31,66.52
-37.5,1358,-37.5,1358,94.42,66.62
-37.8,1357,-37.8,1357,94.54,66.72
-37.1,1356,-37.1,1356,94.65,66.82
-36.8,1355,-36.8,1355,94.77,66.92
-37.5,1354,-37.5,1354,94.88,67.02
-36.8,1353,-36.8,1353,95,67.12
-35.9,1352,-35.9,1352,95.11,67.23
-36.1,1351,-36.1,1351,95.23,67.33
-36.5,1350,-36.5,1350,95.35,67.43
-36.6,1349,-36.6,1349,95.46,67.53
-36.8,1348,-36.8,1348,95.58,67.63
-36.7,1347,-36.7,1347,95.69,67.73
-35.9,1346,-35.9,1346,95.81,67.83
-35.6,1345,-35.6,1345,95.92,67.93
-36.4,1344,-36.4,1344,96.04,68.03
-37.5,1343,-37.5,1343,96.15,68.13
-37.5,1342,-37.5,1342,96.27,68.23
-38,1341,-38,1341,96.38,68.33
-39.2,1340,-39.2,1340,96.5,68.43
-39.5,1339,-39.5,1339,96.61,68.54
-38.4,1338,-38.4,1338,96.73,68.64
-37.1,1337,-37.1,1337,96.85,68.74
-36.5,1336,-36.5,1336,96.96,68.84
-36.4,1335,-36.4,1335,97.08,68.94
-36.6,1334,-36.6,1334,97.19,69.04
-37.2,1333,-37.2,1333,97.31,69.14
-37.5,1332,-37.5,1332,97.42,69.24
-37.4,1331,-37.4,1331,97.54,69.34
-37.3,1330,-37.3,1330,97.65,69.44
-36.7,1329,-36.7,1329,97.77,69.54
-35.8,1328,-35.8,1328,97.88,69.64
-35.3,1327,-35.3,1327,98,69.74
-35.2,1326,-35.2,1326,98.11,69.85
-36.1,1325,-36.1,1325,98.23,69.95
-36.7,1324,-36.7,1324,98.34,70.05
-36.2,1323,-36.2,1323,98.46,70.15
-35.8,1322,-35.8,1322,98.57,70.25
-36.4,1321,-36.4,1321,98.69,70.35
-37.5,1320,-37.5,1320,98.8,70.45
-37.7,1319,-37.7,1319,98.92,70.55
-37.5,1318,-37.5,1318,99.03,70.65
-37.3,1317,-37.3,1317,99.15,70.75
-37.1,1316,-37.1,1316,99.26,70.85
-36.9,1315,-36.9,1315,99.38,70.95
-37.6,1314,-37.6,1314,99.49,71.06
-38,1313,-38,1313,99.61,71.16
-37.7,1312,-37.7,1312,99.72,71.26
-36.9,1311,-36.9,1311,99.84,71.36
-36.3,1310,-36.3,1310,99.95,71.46
-36.2,1309,-36.2,1309,100.07,71.56
-36.7,1308,-36.7,1308,100.18,71.66
-37.3,1307,-37.3,1307,100.3,71.76
-36.6,1306,-36.6,1306,100.41,71.86
-36.1,1305,-36.1,1305,100.53,71.96
-36.9,1304,-36.9,1304,100.64,72.06
-38.1,1303,-38.1,1303,100.76,72.16
-37.9,1302,-37.9,1302,100.87,72.26
-36.9,1301,-36.9,1301,100.99,72.37
-37.3,1300,-37.3,1300,101.1,72.47
-38.2,1299,-38.2,1299,101.22,72.57
-37.8,1298,-37.8,1298,101.33,72.67
-36.6,1297,-36.6,1297,101.45,72.77
-37.1,1296,-37.1,1296,101.56,72.87
-38.1,1295,-38.1,1295,101.68,72.97
-38.4,1294,-38.4,1294,101.79,73.07
-38.2,1293,-38.2,1293,101.91,73.17
-37.3,1292,-37.3,1292,102.02,73.27
-36.4,1291,-36.4,1291,102.14,73.37
-36,1290,-36,1290,102.25,73.47
-36.6,1289,-36.6,1289,102.37,73.58
-37.4,1288,-37.4,1288,102.48,73.68
-36.9,1287,-36.9,1287,102.6,73.78
-36.1,1286,-36.1,1286,102.71,73.88
-35.3,1285,-35.3,1285,102.83,73.98
-35.5,1284,-35.5,1284,102.94,74.08
-35.6,1283,-35.6,1283,103.05,74.18
-35.7,1282,-35.7,1282,103.17,74.28
-36.1,1281,-36.1,1281,103.28,74.38
-36.6,1280,-36.6,1280,103.4,74.48
-36.8,1279,-36.8,1279,103.51,74.58
-36,1278,-36,1278,103.63,74.68
-36.3,1277,-36.3,1277,103.74,74.78
-37.2,1276,-37.2,1276,103.86,74.89
-37.9,1275,-37.9,1275,103.97,74.99
-37.7,1274,-37.7,1274,104.09,75.09
-37,1273,-37,1273,104.2,75.19
-35.9,1272,-35.9,1272,104.32,75.29
-35.2,1271,-35.2,1271,104.43,75.39
-35.2,1270,-35.2,1270,104.54,75.49
-35.8,1269,-35.8,1269,104.66,75.59
-36.7,1268,-36.7,1268,104.77,75.69
-37.3,1267,-37.3,1267,104.89,75.79
-37.9,1266,-37.9,1266,105,75.89
-38.2,1265,-38.2,1265,105.12,75.99
-38.3,1264,-38.3,1264,105.23,76.1
-37.6,1263,-37.6,1263,105.35,76.2
-36.4,1262,-36.4,1262,105.46,76.3
-35.9,1261,-35.9,1261,105.58,76.4
-36.6,1260,-36.6,1260,105.69,76.5
-37.8,1259,-37.8,1259,105.8,76.6
-38.4,1258,-38.4,1258,105.92,76.7
-37.9,1257,-37.9,1257,106.03,76.8
-36.7,1256,-36.7,1256,106.15,76.9
-36,1255,-36,1255,106.26,77
-36.7,1254,-36.7,1254,106.37,77.1
-37.1,1253,-37.1,1253,106.49,77.2
-37,1252,-37,1252,106.6,77.3
-36.4,1251,-36.4,1251,106.72,77.4
-35.8,1250,-35.8,1250,106.83,77.5
-36.1,1249,-36.1,1249,106.94,77.6
-36.6,1248,-36.6,1248,107.06,77.7
-36.8,1247,-36.8,1247,107.17,77.8
-36.4,1246,-36.4,1246,107.28,77.9
-36.1,1245,-36.1,1245,107.4,78
-37.2,1244,-37.2,1244,107.51,78.1
-38.6,1243,-38.6,1243,107.63,78.21
-38.9,1242,-38.9,1242,107.74,78.31
-38.4,1241,-38.4,1241,107.85,78.41
-38.2,1240,-38.2,1240,108.02,78.51
-38,1239,-38,1239,108.13,78.61
-37,1238,-37,1238,108.25,78.71
-36.3,1237,-36.3,1237,108.36,78.81
-36.4,1236,-36.4,1236,108.47,78.91
-36.7,1235,-36.7,1235,108.59,79.01
-36.8,1234,-36.8,1234,108.7,79.11
-36.6,1233,-36.6,1233,108.81,79.21
-36.1,1232,-36.1,1232,108.93,79.31
-36.3,1231,-36.3,1231,109.04,79.41
-36.7,1230,-36.7,1230,109.16,79.51
-36.5,1229,-36.5,1229,109.27,79.61
-35.6,1228,-35.6,1228,109.38,79.71
-34.5,1227,-34.5,1227,109.5,79.81
-34.6,1226,-34.6,1226,109.61,79.91
-36.1,1225,-36.1,1225,109.72,80.01
-37.3,1224,-37.3,1224,109.84,80.11
-37.6,1223,-37.6,1223,109.95,80.21
-37,1222,-37,1222,110.07,80.31
-36.9,1221,-36.9,1221,110.18,80.41
-36.7,1220,-36.7,1220,110.29,80.51
-36.7,1219,-36.7,1219,110.41,80.61
-37,1218,-37,1218,110.52,80.71
-36.7,1217,-36.7,1217,110.63,80.82
-36.3,1216,-36.3,1216,110.75,80.92
-36.6,1215,-36.6,1215,110.86,81.02
-36.7,1214,-36.7,1214,110.97,81.12
-36.2,1213,-36.2,1213,111.09,81.22
-36.4,1212,-36.4,1212,111.2,81.32
-37.6,1211,-37.6,1211,111.32,81.42
-39,1210,-39,1210,111.43,81.52
-38.7,1209,-38.7,1209,111.54,81.62
-37.4,1208,-37.4,1208,111.66,81.72
-36.5,1207,-36.5,1207,111.77,81.82
-35.6,1206,-35.6,1206,111.88,81.92
-35,1205,-35,1205,112,82.02
-35.1,1204,-35.1,1204,112.11,82.12
-36.2,1203,-36.2,1203,112.22,82.22
-36.6,1202,-36.6,1202,112.34,82.32
-36.6,1201,-36.6,1201,112.45,82.42
-37.2,1200,-37.2,1200,112.56,82.52
-37.4,1199,-37.4,1199,112.68,82.62
-36.8,1198,-36.8,1198,112.79,82.72
-36.4,1197,-36.4,1197,112.91,82.82
-36.5,1196,-36.5,1196,113.02,82.92
-37.4,1195,-37.4,1195,113.13,83.02
-38.3,1194,-38.3,1194,113.25,83.12
-38.6,1193,-38.6,1193,113.36,83.22
-37.9,1192,-37.9,1192,113.47,83.32
-36.7,1191,-36.7,1191,113.59,83.42
-36.9,1190,-36.9,1190,113.7,83.53
-38,1189,-38,1189,113.81,83.63
-38.4,1188,-38.4,1188,113.93,83.73
-37,1187,-37,1187,114.04,83.83
-35.6,1186,-35.6,1186,114.15,83.93
-34.8,1185,-34.8,1185,114.27,84.03
-34.5,1184,-34.5,1184,114.38,84.13
-34.1,1183,-34.1,1183,114.49,84.23
-33.8,1182,-33.8,1182,114.61,84.33
-34.7,1181,-34.7,1181,114.72,84.43
-35.4,1180,-35.4,1180,114.83,84.53
-35.6,1179,-35.6,1179,114.95,84.63
-35.9,1178,-35.9,1178,115.06,84.73
-36.2,1177,-36.2,1177,115.17,84.83
-36.2,1176,-36.2,1176,115.29,84.93
-36.1,1175,-36.1,1175,115.4,85.03
-35.7,1174,-35.7,1174,115.51,85.13
-35.8,1173,-35.8,1173,115.63,85.23
-36.5,1172,-36.5,1172,115.74,85.33
-37.5,1171,-37.5,1171,115.85,85.43
-38.3,1170,-38.3,1170,115.97,85.53
-37.7,1169,-37.7,1169,116.08,85.63
-37.6,1168,-37.6,1168,116.19,85.73
-38,1167,-38,1167,116.31,85.83
-37.8,1166,-37.8,1166,116.42,85.93
-37.5,1165,-37.5,1165,116.53,86.03
-37.1,1164,-37.1,1164,116.65,86.14
-35.9,1163,-35.9,1163,116.76,86.24
-35.6,1162,-35.6,1162,116.87,86.34
-35.5,1161,-35.5,1161,116.99,86.44
-34.5,1160,-34.5,1160,117.1,86.54
-34.2,1159,-34.2,1159,117.21,86.64
-34.9,1158,-34.9,1158,117.33,86.74
-35.6,1157,-35.6,1157,117.44,86.84
-36,1156,-36,1156,117.55,86.94
-36,1155,-36,1155,117.67,87.04
-35.6,1154,-35.6,1154,117.78,87.14
-35.7,1153,-35.7,1153,117.89,87.24
-35.3,1152,-35.3,1152,118,87.34
-34.8,1151,-34.8,1151,118.12,87.44
-35.3,1150,-35.3,1150,118.23,87.54
-35.8,1149,-35.8,1149,118.34,87.64
-36.2,1148,-36.2,1148,118.46,87.74
-35.8,1147,-35.8,1147,118.57,87.84
-35.9,1146,-35.9,1146,118.68,87.94
-36.8,1145,-36.8,1145,118.8,88.04
-37.1,1144,-37.1,1144,118.91,88.14
-36.6,1143,-36.6,1143,119.02,88.24
-35.9,1142,-35.9,1142,119.14,88.34
-36.3,1141,-36.3,1141,119.25,88.44
-37.3,1140,-37.3,1140,119.36,88.54
-37.8,1139,-37.8,1139,119.48,88.64
-37.1,1138,-37.1,1138,119.59,88.75
-36.1,1137,-36.1,1137,119.7,88.85
-36.1,1136,-36.1,1136,119.82,88.95
-36.3,1135,-36.3,1135,119.93,89.05
-36.3,1134,-36.3,1134,120.04,89.15
-36,1133,-36,1133,120.15,89.25
-35.7,1132,-35.7,1132,120.27,89.35
-36.2,1131,-36.2,1131,120.38,89.45
-36.7,1130,-36.7,1130,120.49,89.55
-36.8,1129,-36.8,1129,120.61,89.65
-36.8,1128,-36.8,1128,120.72,89.75
-36.8,1127,-36.8,1127,120.83,89.85
-36.3,1126,-36.3,1126,120.95,89.95
-35.2,1125,-35.2,1125,121.06,90.05
-35.1,1124,-35.1,1124,121.17,90.15
-35.6,1123,-35.6,1123,121.29,90.25
-35.9,1122,-35.9,1122,121.4,90.35
-36.1,1121,-36.1,1121,121.51,90.45
-37.5,1120,-37.5,1120,121.62,90.55
-38.2,1119,-38.2,1119,121.74,90.65
-37.1,1118,-37.1,1118,121.85,90.75
-35.7,1117,-35.7,1117,121.96,90.85
-35.2,1116,-35.2,1116,122.08,90.95
-35.9,1115,-35.9,1115,122.19,91.05
-37.7,1114,-37.7,1114,122.3,91.15
-38.5,1113,-38.5,1113,122.41,91.25
-37.5,1112,-37.5,1112,122.53,91.36
-36.4,1111,-36.4,1111,122.64,91.46
-36.3,1110,-36.3,1110,122.75,91.56
-36.7,1109,-36.7,1109,122.87,91.66
-37.1,1108,-37.1,1108,122.98,91.76
-37.4,1107,-37.4,1107,123.09,91.86
-37.1,1106,-37.1,1106,123.21,91.96
-36,1105,-36,1105,123.32,92.06
-35.4,1104,-35.4,1104,123.43,92.16
-35.7,1103,-35.7,1103,123.54,92.26
-36.9,1102,-36.9,1102,123.66,92.36
-37.7,1101,-37.7,1101,123.77,92.46
-37.7,1100,-37.7,1100,123.88,92.56
-37.3,1099,-37.3,1099,124,92.66
-36.2,1098,-36.2,1098,124.11,92.76
-35.2,1097,-35.2,1097,124.22,92.86
-35.2,1096,-35.2,1096,124.33,92.96
-35.5,1095,-35.5,1095,124.45,93.06
-36.2,1094,-36.2,1094,124.56,93.16
-36.5,1093,-36.5,1093,124.67,93.26
-36.6,1092,-36.6,1092,124.79,93.36
-36.9,1091,-36.9,1091,124.9,93.46
-37.4,1090,-37.4,1090,125.01,93.56
-38.4,1089,-38.4,1089,125.13,93.66
-39.4,1088,-39.4,1088,125.24,93.76
-39.5,1087,-39.5,1087,125.35,93.86
-38.5,1086,-38.5,1086,125.46,93.97
-37.3,1085,-37.3,1085,125.58,94.07
-36,1084,-36,1084,125.69,94.17
-35.7,1083,-35.7,1083,125.8,94.27
-36.2,1082,-36.2,1082,125.91,94.37
-36.5,1081,-36.5,1081,126.09,94.47
-36.4,1080,-36.4,1080,126.2,94.57
-35.5,1079,-35.5,1079,126.31,94.67
-35.1,1078,-35.1,1078,126.43,94.77
-35.8,1077,-35.8,1077,126.54,94.87
-36.9,1076,-36.9,1076,126.65,94.97
-36.8,1075,-36.8,1075,126.76,95.07
-35.5,1074,-35.5,1074,126.88,95.17
-34.4,1073,-34.4,1073,126.99,95.27
-35.1,1072,-35.1,1072,127.1,95.37
-36.4,1071,-36.4,1071,127.22,95.47
-37.2,1070,-37.2,1070,127.33,95.57
-37.2,1069,-37.2,1069,127.44,95.67
-36.5,1068,-36.5,1068,127.55,95.77
-35.9,1067,-35.9,1067,127.67,95.87
-35.6,1066,-35.6,1066,127.78,95.97
-35.7,1065,-35.7,1065,127.89,96.07
-36.9,1064,-36.9,1064,128,96.17
-37.8,1063,-37.8,1063,128.12,96.27
-36.8,1062,-36.8,1062,128.23,96.37
-35.9,1061,-35.9,1061,128.34,96.47
-36.4,1060,-36.4,1060,128.46,96.57
-37,1059,-37,1059,128.57,96.68
-37,1058,-37,1058,128.68,96.78
-37.2,1057,-37.2,1057,128.79,96.88
-37.4,1056,-37.4,1056,128.91,96.98
-36.7,1055,-36.7,1055,129.02,97.08
-36.6,1054,-36.6,1054,129.13,97.18
-36.8,1053,-36.8,1053,129.24,97.28
-36.4,1052,-36.4,1052,129.36,97.38
-35.5,1051,-35.5,1051,129.47,97.48
-35,1050,-35,1050,129.58,97.58
-35,1049,-35,1049,129.7,97.68
-35.2,1048,-35.2,1048,129.81,97.78
-35.1,1047,-35.1,1047,129.92,97.88
-34.9,1046,-34.9,1046,130.03,97.98
-35.2,1045,-35.2,1045,130.15,98.08
-36,1044,-36,1044,130.26,98.18
-36.5,1043,-36.5,1043,130.37,98.28
-37,1042,-37,1042,130.48,98.38
-37.5,1041,-37.5,1041,130.6,98.48
-37.5,1040,-37.5,1040,130.71,98.58
-36.6,1039,-36.6,1039,130.82,98.68
-36.4,1038,-36.4,1038,130.93,98.78
-36.6,1037,-36.6,1037,131.05,98.88
-36.3,1036,-36.3,1036,131.16,98.98
-36.1,1035,-36.1,1035,131.27,99.08
-36.1,1034,-36.1,1034,131.39,99.18
-35.9,1033,-35.9,1033,131.5,99.29
-35.8,1032,-35.8,1032,131.61,99.39
-36.7,1031,-36.7,1031,131.72,99.49
-37.3,1030,-37.3,1030,131.84,99.59
-36.7,1029,-36.7,1029,131.95,99.69
-35.9,1028,-35.9,1028,132.06,99.79
-35.3,1027,-35.3,1027,132.17,99.89
-34.9,1026,-34.9,1026,132.29,99.99
-35.5,1025,-35.5,1025,132.4,100.09
-36.5,1024,-36.5,1024,132.51,100.19
-37,1023,-37,1023,132.62,100.29
-37.3,1022,-37.3,1022,132.74,100.39
-37.7,1021,-37.7,1021,132.85,100.49
-37,1020,-37,1020,132.96,100.59
-36.5,1019,-36.5,1019,133.07,100.69
-36.4,1018,-36.4,1018,133.19,100.79
NA,1017,NA,1017,133.3,100.89
NA,1016,NA,1016,133.41,100.99
NA,1015,NA,1015,133.52,101.09
NA,1014,NA,1014,133.64,101.19
NA,1013,NA,1013,133.75,101.29
-35.5,1012,-35.5,1012,133.86,101.39
-36.1,1011,-36.1,1011,133.97,101.49
-36.1,1010,-36.1,1010,134.09,101.59
-35.8,1009,-35.8,1009,134.2,101.69
-36.3,1008,-36.3,1008,134.31,101.8
-36.9,1007,-36.9,1007,134.42,101.9
-36.9,1006,-36.9,1006,134.54,102
-37.2,1005,-37.2,1005,134.65,102.1
-37.6,1004,-37.6,1004,134.76,102.2
-37.2,1003,-37.2,1003,134.87,102.3
-36.6,1002,-36.6,1002,134.99,102.4
-36.8,1001,-36.8,1001,135.1,102.5
-37.5,1000,-37.5,1000,135.21,102.6
-37.6,999,-37.6,999,135.32,102.7
-36.5,998,-36.5,998,135.44,102.8
-35.4,997,-35.4,997,135.55,102.9
-36.3,996,-36.3,996,135.66,103
-36.8,995,-36.8,995,135.77,103.1
-37.7,994,-37.7,994,135.89,103.2
-38.7,993,-38.7,993,136,103.3
-39.4,992,-39.4,992,136.11,103.4
-39,991,-39,991,136.22,103.5
-37.7,990,-37.7,990,136.34,103.6
-36,989,-36,989,136.45,103.7
-34.9,988,-34.9,988,136.56,103.8
-35.4,987,-35.4,987,136.67,103.9
-37.1,986,-37.1,986,136.79,104
-38.2,985,-38.2,985,136.9,104.1
-37.7,984,-37.7,984,137.01,104.2
-36.7,983,-36.7,983,137.12,104.3
-36.1,982,-36.1,982,137.24,104.41
-36.9,981,-36.9,981,137.35,104.51
-36.4,980,-36.4,980,137.46,104.61
-35,979,-35,979,137.57,104.71
-33.8,978,-33.8,978,137.69,104.81
-34.1,977,-34.1,977,137.8,104.91
-35.4,976,-35.4,976,137.91,105.01
-36.2,975,-36.2,975,138.02,105.11
-36.4,974,-36.4,974,138.14,105.21
-37,973,-37,973,138.25,105.31
-36.7,972,-36.7,972,138.36,105.41
-36.4,971,-36.4,971,138.47,105.51
-36.6,970,-36.6,970,138.59,105.61
-36.5,969,-36.5,969,138.7,105.71
-35.3,968,-35.3,968,138.81,105.81
-34.5,967,-34.5,967,138.92,105.91
-35.6,966,-35.6,966,139.04,106.01
-35.7,965,-35.7,965,139.15,106.11
-34.5,964,-34.5,964,139.26,106.21
-33.9,963,-33.9,963,139.37,106.31
-33.8,962,-33.8,962,139.48,106.41
-34.1,961,-34.1,961,139.6,106.51
-35.4,960,-35.4,960,139.71,106.61
-36,959,-36,959,139.82,106.71
-35.9,958,-35.9,958,139.93,106.81
-36.4,957,-36.4,957,140.05,106.91
-37.3,956,-37.3,956,140.16,107.02
-36.2,955,-36.2,955,140.27,107.12
-35.6,954,-35.6,954,140.38,107.22
-36.3,953,-36.3,953,140.5,107.32
-36.9,952,-36.9,952,140.61,107.42
-36.3,951,-36.3,951,140.72,107.52
-35.9,950,-35.9,950,140.83,107.62
-36.4,949,-36.4,949,140.94,107.72
-36.5,948,-36.5,948,141.06,107.82
-35.8,947,-35.8,947,141.17,107.92
-35.4,946,-35.4,946,141.28,108.02
-35.3,945,-35.3,945,141.39,108.12
-35.3,944,-35.3,944,141.51,108.22
-35.9,943,-35.9,943,141.62,108.32
-37,942,-37,942,141.74,108.42
-38,941,-38,941,141.85,108.52
-37.9,940,-37.9,940,141.97,108.62
-36.9,939,-36.9,939,142.07,108.72
-36.5,938,-36.5,938,142.18,108.82
-36.2,937,-36.2,937,142.29,108.92
-36,936,-36,936,142.41,109.02
-36.2,935,-36.2,935,142.52,109.12
-36.9,934,-36.9,934,142.63,109.22
-37,933,-37,933,142.74,109.32
-36.2,932,-36.2,932,142.86,109.42
-36.6,931,-36.6,931,142.97,109.52
-36.4,930,-36.4,930,143.08,109.63
-36.1,929,-36.1,929,143.19,109.73
-36.6,928,-36.6,928,143.3,109.83
-36.6,927,-36.6,927,143.42,109.93
-35.5,926,-35.5,926,143.53,110.03
-35.3,925,-35.3,925,143.64,110.13
-35.8,924,-35.8,924,143.75,110.23
-36.5,923,-36.5,923,143.86,110.33
-37,922,-37,922,143.98,110.43
-36.5,921,-36.5,921,144.09,110.53
-36.4,920,-36.4,920,144.2,110.63
-36.5,919,-36.5,919,144.31,110.73
-36.5,918,-36.5,918,144.43,110.83
-36.5,917,-36.5,917,144.54,110.93
-36.5,916,-36.5,916,144.65,111.03
-34.8,915,-34.8,915,145.61,111.13
-36.1,914,-36.1,914,145.73,111.23
-36.4,913,-36.4,913,145.84,111.33
-37,912,-37,912,145.95,111.43
-37.5,911,-37.5,911,146.06,111.53
-38.1,910,-38.1,910,146.17,111.63
-37.9,909,-37.9,909,146.29,111.73
-37.4,908,-37.4,908,146.4,111.83
-36.5,907,-36.5,907,146.51,111.93
-36.5,906,-36.5,906,146.62,112.03
-37.3,905,-37.3,905,146.73,112.13
-37.6,904,-37.6,904,146.84,112.23
-37.3,903,-37.3,903,146.96,112.34
-36.9,902,-36.9,902,147.07,112.44
-36.8,901,-36.8,901,147.18,112.54
-36.9,900,-36.9,900,147.29,112.64
-37.3,899,-37.3,899,147.41,112.74
-37.5,898,-37.5,898,147.52,112.84
-37.3,897,-37.3,897,147.63,112.94
-36.8,896,-36.8,896,147.74,113.04
-36.3,895,-36.3,895,147.86,113.14
-36.3,894,-36.3,894,147.97,113.24
-36.3,893,-36.3,893,148.08,113.34
-36.3,892,-36.3,892,148.19,113.44
-36.5,891,-36.5,891,148.31,113.54
-36.7,890,-36.7,890,148.42,113.64
-36.8,889,-36.8,889,148.53,113.74
-36.8,888,-36.8,888,148.64,113.84
-37.2,887,-37.2,887,148.76,113.94
-37,886,-37,886,148.87,114.04
-36,885,-36,885,148.98,114.14
-35.1,884,-35.1,884,149.09,114.24
-34.9,883,-34.9,883,149.2,114.34
-34.9,882,-34.9,882,149.32,114.44
-34.8,881,-34.8,881,149.43,114.54
-34.6,880,-34.6,880,149.54,114.64
-34.8,879,-34.8,879,149.65,114.74
-34.7,878,-34.7,878,149.76,114.84
-33.9,877,-33.9,877,149.88,114.95
-34,876,-34,876,149.99,115.05
-36,875,-36,875,150.1,115.15
-36.9,874,-36.9,874,150.21,115.25
