dD (permil),year (AD),depth (m),dD (permil) [1-2],year (AD) [1-2],depth (m) [1-2]
NA,NA,NA,-267.68,1869.0882,46.09
NA,NA,NA,-273.85,1869,46.12
NA,NA,NA,-275.73,1868.8636,46.15
NA,NA,NA,-278.4,1868.7727,46.17
NA,NA,NA,-278.75,1868.6364,46.2
NA,NA,NA,-276.59,1868.5,46.23
NA,NA,NA,-272.15,1868.3636,46.26
NA,NA,NA,-271.85,1868.2273,46.29
NA,NA,NA,-265.33,1868.0909,46.32
NA,NA,NA,-270.9,1867.9655,46.35
NA,NA,NA,-269.45,1867.8621,46.38
NA,NA,NA,-277.33,1867.7586,46.41
NA,NA,NA,-277.51,1867.6552,46.44
NA,NA,NA,-278.66,1867.5517,46.47
NA,NA,NA,-277.45,1867.4828,46.49
NA,NA,NA,-273.79,1867.3793,46.52
NA,NA,NA,-271.53,1867.2759,46.55
NA,NA,NA,-267.66,1867.1724,46.58
NA,NA,NA,-264.97,1867.069,46.61
NA,NA,NA,-265.27,1866.96,46.64
NA,NA,NA,-269.17,1866.84,46.67
NA,NA,NA,-271.99,1866.72,46.7
NA,NA,NA,-278.2,1866.6,46.73
NA,NA,NA,-281.68,1866.48,46.76
NA,NA,NA,-283.88,1866.36,46.79
NA,NA,NA,-279.25,1866.28,46.81
NA,NA,NA,-276.45,1866.16,46.84
NA,NA,NA,-270.81,1866.04,46.87
NA,NA,NA,-264.29,1865.931,46.9
NA,NA,NA,-261.27,1865.8276,46.93
NA,NA,NA,-260.6,1865.7241,46.96
NA,NA,NA,-267.61,1865.5862,47
NA,NA,NA,-274.56,1865.4828,47.03
NA,NA,NA,-279.97,1865.3793,47.06
NA,NA,NA,-282.61,1865.2759,47.09
NA,NA,NA,-285.41,1865.1724,47.12
NA,NA,NA,-284.9,1865.069,47.15
NA,NA,NA,-283.36,1864.9643,47.18
NA,NA,NA,-282.42,1864.8571,47.21
NA,NA,NA,-283.76,1864.75,47.24
NA,NA,NA,-281.22,1864.6429,47.27
NA,NA,NA,-286.14,1864.5357,47.3
NA,NA,NA,-288.99,1864.4286,47.33
NA,NA,NA,-289.69,1864.3214,47.36
NA,NA,NA,-287.43,1864.2143,47.39
NA,NA,NA,-284.99,1864.1071,47.42
NA,NA,NA,-281.05,1864,47.45
NA,NA,NA,-275.46,1863.9118,47.48
NA,NA,NA,-281.05,1863.7941,47.52
NA,NA,NA,-270.43,1863.7059,47.55
NA,NA,NA,-267.03,1863.6176,47.58
NA,NA,NA,-261.79,1863.5294,47.61
NA,NA,NA,-256.44,1863.4412,47.64
NA,NA,NA,-253.18,1863.3529,47.67
NA,NA,NA,-249.87,1863.2647,47.7
NA,NA,NA,-249.11,1863.1765,47.73
NA,NA,NA,-249.38,1863.0882,47.76
NA,NA,NA,-251.55,1863,47.79
NA,NA,NA,-258.26,1862.9032,47.82
NA,NA,NA,-266.95,1862.8065,47.85
NA,NA,NA,-275.81,1862.7097,47.88
NA,NA,NA,-282.14,1862.6129,47.91
NA,NA,NA,-282.98,1862.5161,47.94
NA,NA,NA,-278.68,1862.4194,47.97
NA,NA,NA,-270.94,1862.3226,48
NA,NA,NA,-262.76,1862.2258,48.03
NA,NA,NA,-255.99,1862.129,48.06
NA,NA,NA,-249.83,1862.0323,48.09
NA,NA,NA,-252.53,1861.913,48.12
NA,NA,NA,-257.8,1861.7826,48.15
NA,NA,NA,-268.2,1861.6522,48.18
NA,NA,NA,-281.91,1861.5217,48.21
NA,NA,NA,-287.71,1861.3913,48.24
NA,NA,NA,-291.25,1861.3043,48.26
NA,NA,NA,-290.26,1861.1739,48.29
NA,NA,NA,-285.58,1861.0435,48.32
NA,NA,NA,-277.44,1860.9429,48.35
NA,NA,NA,-270.04,1860.8571,48.38
NA,NA,NA,-264.13,1860.7714,48.41
NA,NA,NA,-260.36,1860.6857,48.44
NA,NA,NA,-258.86,1860.6,48.47
NA,NA,NA,-259.39,1860.5143,48.5
NA,NA,NA,-262.12,1860.4286,48.53
NA,NA,NA,-263.52,1860.3429,48.56
NA,NA,NA,-264.39,1860.2571,48.59
NA,NA,NA,-264.18,1860.1714,48.62
NA,NA,NA,-263.85,1860.0857,48.65
NA,NA,NA,-261.67,1860,48.68
NA,NA,NA,-262.15,1859.9167,48.71
NA,NA,NA,-264.11,1859.8333,48.74
NA,NA,NA,-267.11,1859.7778,48.76
NA,NA,NA,-273.55,1859.6944,48.79
NA,NA,NA,-276.82,1859.6111,48.82
NA,NA,NA,-277.19,1859.5278,48.85
NA,NA,NA,-278.77,1859.4444,48.88
NA,NA,NA,-276.01,1859.3611,48.91
NA,NA,NA,-273.78,1859.2778,48.94
NA,NA,NA,-271.25,1859.1944,48.97
NA,NA,NA,-270.38,1859.1111,49
NA,NA,NA,-269.1,1859.0278,49.03
NA,NA,NA,-270.96,1858.9394,49.06
NA,NA,NA,-273.27,1858.8485,49.09
NA,NA,NA,-276.38,1858.7576,49.12
NA,NA,NA,-276.68,1858.6667,49.15
NA,NA,NA,-274.7,1858.5758,49.18
NA,NA,NA,-272.82,1858.4848,49.21
NA,NA,NA,-271.48,1858.3939,49.24
NA,NA,NA,-272.17,1858.303,49.27
NA,NA,NA,-275.09,1858.2121,49.3
NA,NA,NA,-280.62,1858.1212,49.33
NA,NA,NA,-284.23,1858.0303,49.36
NA,NA,NA,-289.02,1857.9231,49.39
NA,NA,NA,-293.27,1857.8077,49.42
NA,NA,NA,-289.39,1857.6923,49.45
NA,NA,NA,-286.52,1857.5769,49.48
NA,NA,NA,-282.54,1857.4615,49.51
NA,NA,NA,-278.58,1857.3462,49.54
NA,NA,NA,-275.46,1857.2308,49.57
NA,NA,NA,-275.62,1857.1154,49.6
NA,NA,NA,-278.48,1857,49.63
NA,NA,NA,-282.72,1856.8571,49.66
NA,NA,NA,-286.4,1856.7143,49.69
NA,NA,NA,-289.95,1856.5714,49.72
NA,NA,NA,-287.17,1856.4286,49.75
NA,NA,NA,-282.9,1856.2857,49.78
NA,NA,NA,-276.48,1856.1429,49.81
NA,NA,NA,-270.76,1856,49.84
NA,NA,NA,-268.29,1855.9318,49.87
NA,NA,NA,-266.93,1855.8636,49.9
NA,NA,NA,-271.1,1855.7955,49.93
NA,NA,NA,-279.77,1855.7273,49.96
NA,NA,NA,-291.61,1855.6364,50
NA,NA,NA,-296.61,1855.5682,50.03
NA,NA,NA,-299.42,1855.5,50.06
NA,NA,NA,-297.6,1855.4318,50.09
NA,NA,NA,-291.02,1855.3636,50.12
NA,NA,NA,-283.31,1855.2955,50.15
NA,NA,NA,-275.62,1855.2273,50.18
NA,NA,NA,-266.49,1855.1591,50.21
NA,NA,NA,-260.35,1855.0909,50.24
NA,NA,NA,-255.67,1855.0227,50.27
NA,NA,NA,-255.06,1854.9394,50.3
NA,NA,NA,-257.06,1854.8485,50.33
NA,NA,NA,-260.29,1854.7576,50.36
NA,NA,NA,-261.95,1854.6667,50.39
NA,NA,NA,-264.46,1854.5758,50.42
NA,NA,NA,-265.58,1854.4848,50.45
NA,NA,NA,-268.43,1854.3939,50.48
NA,NA,NA,-268.6,1854.303,50.51
NA,NA,NA,-268.91,1854.2121,50.54
NA,NA,NA,-266.72,1854.1212,50.57
NA,NA,NA,-266.9,1854.0303,50.6
NA,NA,NA,-267.51,1853.9444,50.63
NA,NA,NA,-269.36,1853.8611,50.66
NA,NA,NA,-271.02,1853.7778,50.69
NA,NA,NA,-272.94,1853.6944,50.72
NA,NA,NA,-270.03,1853.6111,50.75
NA,NA,NA,-271.37,1853.5278,50.78
NA,NA,NA,-268.07,1853.4444,50.81
NA,NA,NA,-261.94,1853.3611,50.84
NA,NA,NA,-256.63,1853.2778,50.87
NA,NA,NA,-250.29,1853.1944,50.9
NA,NA,NA,-249.54,1853.1111,50.93
NA,NA,NA,-253.17,1853.0278,50.96
NA,NA,NA,-260.33,1852.88,51
NA,NA,NA,-268.13,1852.76,51.03
NA,NA,NA,-275.47,1852.64,51.06
NA,NA,NA,-280.47,1852.52,51.09
NA,NA,NA,-282.31,1852.4,51.12
NA,NA,NA,-280.64,1852.28,51.15
NA,NA,NA,-277.14,1852.16,51.18
NA,NA,NA,-270.85,1852.04,51.21
NA,NA,NA,-266.64,1851.9412,51.24
NA,NA,NA,-267.7,1851.8529,51.27
NA,NA,NA,-267.61,1851.7647,51.3
NA,NA,NA,-268.49,1851.6765,51.33
NA,NA,NA,-268.85,1851.5882,51.36
NA,NA,NA,-268.53,1851.5,51.39
NA,NA,NA,-264.53,1851.4118,51.42
NA,NA,NA,-261.09,1851.3235,51.45
NA,NA,NA,-256.53,1851.2353,51.48
NA,NA,NA,-251.01,1851.1471,51.51
NA,NA,NA,-247.55,1851.0588,51.54
NA,NA,NA,-248.09,1850.9667,51.57
NA,NA,NA,-249.98,1850.8667,51.6
NA,NA,NA,-250.31,1850.7667,51.63
NA,NA,NA,-251.98,1850.6667,51.66
NA,NA,NA,-254.24,1850.5667,51.69
NA,NA,NA,-253.82,1850.4667,51.72
NA,NA,NA,-253.83,1850.3667,51.75
NA,NA,NA,-254.78,1850.2667,51.78
NA,NA,NA,-253.27,1850.1667,51.81
NA,NA,NA,-250.46,1850.0667,51.84
NA,NA,NA,-250.74,1849.9667,51.87
NA,NA,NA,-253.16,1849.8667,51.9
NA,NA,NA,-258.86,1849.7667,51.93
NA,NA,NA,-263.74,1849.6667,51.96
NA,NA,NA,-267.96,1849.5333,52
NA,NA,NA,-267.64,1849.4333,52.03
NA,NA,NA,-267.64,1849.3333,52.06
NA,NA,NA,-264.81,1849.2333,52.09
NA,NA,NA,-262.18,1849.1333,52.12
NA,NA,NA,-260.59,1849.0333,52.15
NA,NA,NA,-260.65,1848.9286,52.18
NA,NA,NA,-262.42,1848.8214,52.21
NA,NA,NA,-268.31,1848.7143,52.24
NA,NA,NA,-275.08,1848.6071,52.27
NA,NA,NA,-281.22,1848.5,52.3
NA,NA,NA,-284.75,1848.3929,52.33
NA,NA,NA,-285.03,1848.2857,52.36
NA,NA,NA,-284.48,1848.1786,52.39
NA,NA,NA,-281.37,1848.0714,52.42
NA,NA,NA,-279.7,1847.9722,52.45
NA,NA,NA,-279.5,1847.8889,52.48
NA,NA,NA,-280.46,1847.7778,52.52
NA,NA,NA,-281.62,1847.6944,52.55
NA,NA,NA,-281.2,1847.6111,52.58
NA,NA,NA,-280.18,1847.5278,52.61
NA,NA,NA,-275.31,1847.4444,52.64
NA,NA,NA,-268.97,1847.3611,52.67
NA,NA,NA,-262.38,1847.2778,52.7
NA,NA,NA,-257.3,1847.1944,52.73
NA,NA,NA,-253.46,1847.1111,52.76
NA,NA,NA,-253.46,1847.0278,52.79
NA,NA,NA,-255.7,1846.9259,52.82
NA,NA,NA,-264.14,1846.8148,52.85
NA,NA,NA,-271.25,1846.7037,52.88
NA,NA,NA,-271.5,1846.5926,52.91
NA,NA,NA,-265.79,1846.4815,52.94
NA,NA,NA,-258.5,1846.3704,52.97
NA,NA,NA,-252.8,1846.2593,53
NA,NA,NA,-245.22,1846.1481,53.03
NA,NA,NA,-242.73,1846.037,53.06
NA,NA,NA,-245.04,1845.9231,53.09
NA,NA,NA,-250.2,1845.8077,53.12
NA,NA,NA,-251.27,1845.6923,53.15
NA,NA,NA,-262.06,1845.5769,53.18
NA,NA,NA,-260.65,1845.4615,53.21
NA,NA,NA,-269.17,1845.3461,53.24
NA,NA,NA,-271.96,1845.2308,53.27
NA,NA,NA,-270.47,1845.1154,53.3
NA,NA,NA,-270.12,1845,53.33
NA,NA,NA,-268.98,1844.8333,53.36
NA,NA,NA,-269.38,1844.6667,53.39
NA,NA,NA,-271.25,1844.5,53.42
NA,NA,NA,-272.53,1844.3333,53.45
NA,NA,NA,-271.54,1844.1667,53.48
NA,NA,NA,-271.52,1844,53.51
NA,NA,NA,-268.51,1843.9032,53.54
NA,NA,NA,-267.18,1843.8064,53.57
NA,NA,NA,-267.44,1843.7097,53.6
NA,NA,NA,-266.78,1843.6129,53.63
NA,NA,NA,-270.38,1843.5161,53.66
NA,NA,NA,-273.95,1843.4193,53.69
NA,NA,NA,-276.3,1843.3226,53.72
NA,NA,NA,-275.85,1843.2258,53.75
NA,NA,NA,-274.79,1843.129,53.78
NA,NA,NA,-273.13,1843.0323,53.81
NA,NA,NA,-274.52,1842.931,53.84
NA,NA,NA,-275.52,1842.8276,53.87
NA,NA,NA,-280.91,1842.7241,53.9
NA,NA,NA,-286.51,1842.6207,53.93
NA,NA,NA,-290.53,1842.5172,53.96
NA,NA,NA,-291.98,1842.4138,53.99
NA,NA,NA,-290.82,1842.3103,54.02
NA,NA,NA,-288.27,1842.2069,54.05
NA,NA,NA,-283.18,1842.1034,54.08
NA,NA,NA,-279.1,1842,54.11
NA,NA,NA,-274.96,1841.88,54.14
NA,NA,NA,-274.41,1841.76,54.17
NA,NA,NA,-276.15,1841.64,54.2
NA,NA,NA,-278.59,1841.52,54.23
NA,NA,NA,-279.51,1841.36,54.27
NA,NA,NA,-276.39,1841.24,54.3
NA,NA,NA,-273.28,1841.12,54.33
NA,NA,NA,-270.16,1841,54.36
NA,NA,NA,-268.91,1840.8421,54.39
NA,NA,NA,-270.44,1840.6842,54.42
NA,NA,NA,-275.8,1840.5263,54.45
NA,NA,NA,-282.16,1840.3684,54.48
NA,NA,NA,-282.5,1840.2105,54.51
NA,NA,NA,-281.46,1840.0526,54.54
NA,NA,NA,-278.8,1839.9487,54.57
NA,NA,NA,-274.3,1839.8718,54.6
NA,NA,NA,-271.94,1839.7949,54.63
NA,NA,NA,-272.68,1839.7179,54.66
NA,NA,NA,-273.49,1839.641,54.69
NA,NA,NA,-274.22,1839.5641,54.72
NA,NA,NA,-273.55,1839.4615,54.76
NA,NA,NA,-271.85,1839.3846,54.79
NA,NA,NA,-267.95,1839.3077,54.82
NA,NA,NA,-263.24,1839.2308,54.85
NA,NA,NA,-259.71,1839.1538,54.88
NA,NA,NA,-257.35,1839.0769,54.91
NA,NA,NA,-257.69,1839,54.94
NA,NA,NA,-261.48,1838.8571,54.97
NA,NA,NA,-270.04,1838.7143,55
NA,NA,NA,-264.66,1838.5238,55.04
NA,NA,NA,-261.36,1838.3333,55.08
NA,NA,NA,-265.19,1838.1429,55.12
NA,NA,NA,-258.21,1837.9744,55.16
NA,NA,NA,-259.68,1837.8718,55.2
NA,NA,NA,-261.84,1837.7949,55.23
NA,NA,NA,-265.51,1837.7179,55.26
NA,NA,NA,-267.35,1837.641,55.29
NA,NA,NA,-273.82,1837.5641,55.32
NA,NA,NA,-278.53,1837.4872,55.35
NA,NA,NA,-265.9,1837.4103,55.38
NA,NA,NA,-260.5,1837.3333,55.41
NA,NA,NA,-252.21,1837.2564,55.44
NA,NA,NA,-246.24,1837.1795,55.47
NA,NA,NA,-241.2,1837.1026,55.5
NA,NA,NA,-239.17,1837.0256,55.53
NA,NA,NA,-243.05,1836.9355,55.56
NA,NA,NA,-246.67,1836.8387,55.59
NA,NA,NA,-253.74,1836.7742,55.61
NA,NA,NA,-260.9,1836.6774,55.64
NA,NA,NA,-264.7,1836.5806,55.67
NA,NA,NA,-262.53,1836.4839,55.7
NA,NA,NA,-260.85,1836.3871,55.73
NA,NA,NA,-257.7,1836.2903,55.76
NA,NA,NA,-256.42,1836.1935,55.79
NA,NA,NA,-254.61,1836.0968,55.82
NA,NA,NA,-260.37,1836,55.85
NA,NA,NA,-265.82,1835.8636,55.88
NA,NA,NA,-272.43,1835.7273,55.91
NA,NA,NA,-281.55,1835.5909,55.94
NA,NA,NA,-284.95,1835.4545,55.97
NA,NA,NA,-285.77,1835.3182,56
NA,NA,NA,-284.67,1835.1818,56.03
NA,NA,NA,-285.31,1835.0454,56.06
NA,NA,NA,-286.26,1834.9231,56.09
NA,NA,NA,-288.41,1834.8077,56.12
NA,NA,NA,-292.68,1834.6923,56.15
NA,NA,NA,-295.48,1834.5769,56.18
NA,NA,NA,-296.25,1834.4615,56.21
NA,NA,NA,-294.64,1834.3461,56.24
NA,NA,NA,-291.33,1834.2308,56.27
NA,NA,NA,-288.64,1834.1154,56.3
NA,NA,NA,-278.98,1834,56.33
NA,NA,NA,-281.56,1833.8929,56.36
NA,NA,NA,-292.55,1833.7857,56.39
NA,NA,NA,-291.43,1833.6786,56.42
NA,NA,NA,-299.13,1833.5714,56.45
NA,NA,NA,-292.19,1833.4286,56.49
NA,NA,NA,-287.29,1833.3214,56.52
NA,NA,NA,-277.53,1833.2143,56.55
NA,NA,NA,-280.95,1833.1071,56.58
NA,NA,NA,-276.35,1833,56.61
NA,NA,NA,-272.63,1832.9167,56.64
NA,NA,NA,-272.64,1832.8333,56.67
NA,NA,NA,-275.51,1832.75,56.7
NA,NA,NA,-275.07,1832.6667,56.73
NA,NA,NA,-277.19,1832.5833,56.76
NA,NA,NA,-273.54,1832.5,56.79
NA,NA,NA,-268.44,1832.4167,56.82
NA,NA,NA,-256.33,1832.3333,56.85
NA,NA,NA,-257.73,1832.25,56.88
NA,NA,NA,-256.13,1832.1667,56.91
NA,NA,NA,-259.58,1832.0833,56.94
NA,NA,NA,-271.61,1832,56.97
NA,NA,NA,-281,1831.8823,57.01
NA,NA,NA,-291.37,1831.7941,57.04
NA,NA,NA,-297.31,1831.7059,57.07
NA,NA,NA,-296.93,1831.6176,57.1
NA,NA,NA,-283.16,1831.5294,57.13
NA,NA,NA,-284.56,1831.4412,57.16
NA,NA,NA,-280.62,1831.2059,57.24
NA,NA,NA,-273.97,1831.1176,57.27
NA,NA,NA,-267.37,1831.0294,57.3
NA,NA,NA,-257.5,1830.9474,57.33
NA,NA,NA,-254.06,1830.8947,57.35
NA,NA,NA,-260.6,1830.8158,57.38
NA,NA,NA,-261.39,1830.7368,57.41
NA,NA,NA,-256.17,1830.6579,57.44
NA,NA,NA,-260.79,1830.5789,57.47
NA,NA,NA,-261.08,1830.5,57.5
NA,NA,NA,-259.2,1830.421,57.53
NA,NA,NA,-255.23,1830.3421,57.56
NA,NA,NA,-256.49,1830.2895,57.58
NA,NA,NA,-262.69,1830.2105,57.61
NA,NA,NA,-264.49,1830.1316,57.64
NA,NA,NA,-267.47,1830.0526,57.67
NA,NA,NA,-265.22,1829.9778,57.7
NA,NA,NA,-264.85,1829.9111,57.73
NA,NA,NA,-273.01,1829.8444,57.76
NA,NA,NA,-267.46,1829.8,57.78
NA,NA,NA,-261.44,1829.7333,57.81
NA,NA,NA,-265.04,1829.6667,57.84
NA,NA,NA,-259.72,1829.6,57.87
NA,NA,NA,-255.62,1829.5333,57.9
NA,NA,NA,-256.38,1829.4667,57.93
NA,NA,NA,-256.81,1829.4,57.96
NA,NA,NA,-256.37,1829.3333,57.99
NA,NA,NA,-256.55,1829.2889,58.01
NA,NA,NA,-258.21,1829.2222,58.04
NA,NA,NA,-258.45,1829.1556,58.07
NA,NA,NA,-259.7,1829.0889,58.1
NA,NA,NA,-261.37,1829.0222,58.13
NA,NA,NA,-265.43,1828.9429,58.16
NA,NA,NA,-270.03,1828.8571,58.19
NA,NA,NA,-273.6,1828.7714,58.22
NA,NA,NA,-274.59,1828.7143,58.24
NA,NA,NA,-266.31,1828.6286,58.27
NA,NA,NA,-270.41,1828.5429,58.3
NA,NA,NA,-266.4,1828.4571,58.33
NA,NA,NA,-261.78,1828.3714,58.36
NA,NA,NA,-259.67,1828.2857,58.39
NA,NA,NA,-259.32,1828.2,58.42
NA,NA,NA,-261.98,1828.1429,58.44
NA,NA,NA,-265.7,1828.0571,58.47
NA,NA,NA,-270.81,1827.9722,58.5
NA,NA,NA,-268.27,1827.8889,58.53
NA,NA,NA,-278.83,1827.8056,58.56
NA,NA,NA,-280.65,1827.7222,58.59
NA,NA,NA,-281.95,1827.6389,58.62
NA,NA,NA,-280.97,1827.5556,58.65
NA,NA,NA,-279.12,1827.5,58.67
NA,NA,NA,-276.07,1827.4167,58.7
NA,NA,NA,-270.17,1827.3333,58.73
NA,NA,NA,-264.53,1827.25,58.76
NA,NA,NA,-260.68,1827.1667,58.79
NA,NA,NA,-259.51,1827.0833,58.82
NA,NA,NA,-263.01,1827,58.85
NA,NA,NA,-267.05,1826.8636,58.88
NA,NA,NA,-271.28,1826.7727,58.9
NA,NA,NA,-273.33,1826.6364,58.93
NA,NA,NA,-272.7,1826.5,58.96
NA,NA,NA,-272.78,1826.3636,58.99
NA,NA,NA,-272.07,1826.2273,59.02
NA,NA,NA,-269.4,1826.0909,59.05
NA,NA,NA,-267.93,1825.9714,59.08
NA,NA,NA,-269.87,1825.8857,59.11
NA,NA,NA,-272.19,1825.8,59.14
NA,NA,NA,-274.45,1825.7143,59.17
NA,NA,NA,-273.46,1825.6286,59.2
NA,NA,NA,-266.76,1825.5429,59.23
NA,NA,NA,-266.19,1825.4571,59.26
NA,NA,NA,-258.93,1825.3714,59.29
NA,NA,NA,-253,1825.2857,59.32
NA,NA,NA,-251.63,1825.2,59.35
NA,NA,NA,-252.82,1825.1143,59.38
NA,NA,NA,-258.98,1825.0286,59.41
NA,NA,NA,-265.82,1824.9259,59.44
NA,NA,NA,-273.31,1824.8148,59.47
NA,NA,NA,-279.32,1824.6667,59.51
NA,NA,NA,-281.71,1824.5556,59.54
NA,NA,NA,-274.61,1824.4444,59.57
NA,NA,NA,-269.99,1824.3333,59.6
NA,NA,NA,-262.46,1824.2222,59.63
NA,NA,NA,-262.39,1824.1111,59.66
NA,NA,NA,-262.44,1824,59.69
NA,NA,NA,-262.61,1823.8696,59.72
NA,NA,NA,-267.92,1823.7391,59.75
NA,NA,NA,-269.28,1823.6087,59.78
NA,NA,NA,-268.97,1823.4783,59.81
NA,NA,NA,-268.54,1823.3478,59.84
NA,NA,NA,-268.61,1823.2174,59.87
NA,NA,NA,-260.5,1823.087,59.9
NA,NA,NA,-264.34,1822.9667,59.93
NA,NA,NA,-268.29,1822.8667,59.96
NA,NA,NA,-273.52,1822.7333,60
NA,NA,NA,-272.35,1822.6333,60.03
NA,NA,NA,-268.49,1822.5333,60.06
NA,NA,NA,-259.43,1822.4333,60.09
NA,NA,NA,-259.22,1822.3333,60.12
NA,NA,NA,-255.08,1822.2333,60.15
NA,NA,NA,-253.81,1822.1667,60.17
NA,NA,NA,-257.34,1822.0667,60.2
NA,NA,NA,-264.4,1821.96,60.23
NA,NA,NA,-271.69,1821.84,60.26
NA,NA,NA,-277.82,1821.72,60.29
NA,NA,NA,-277.54,1821.6,60.32
NA,NA,NA,-277.31,1821.48,60.35
NA,NA,NA,-273.09,1821.36,60.38
NA,NA,NA,-276.08,1821.24,60.41
NA,NA,NA,-273.47,1821.12,60.44
NA,NA,NA,-280,1821,60.47
NA,NA,NA,-278.82,1820.931,60.49
NA,NA,NA,-279.43,1820.8276,60.52
NA,NA,NA,-276.52,1820.7241,60.55
NA,NA,NA,-271.99,1820.6207,60.58
NA,NA,NA,-264.3,1820.5172,60.61
NA,NA,NA,-262.2,1820.4138,60.64
NA,NA,NA,-253.75,1820.3103,60.67
NA,NA,NA,-252.1,1820.2069,60.7
NA,NA,NA,-261.47,1820.1034,60.73
NA,NA,NA,-260.15,1820,60.76
NA,NA,NA,-264.59,1819.9091,60.79
NA,NA,NA,-270.42,1819.8182,60.82
NA,NA,NA,-276.04,1819.7576,60.84
NA,NA,NA,-273.25,1819.6667,60.87
NA,NA,NA,-273.47,1819.5758,60.9
NA,NA,NA,-270.5,1819.4848,60.93
NA,NA,NA,-266.34,1819.3939,60.96
NA,NA,NA,-266.15,1819.303,60.99
NA,NA,NA,-260.45,1819.2121,61.02
NA,NA,NA,-258.53,1819.1212,61.05
NA,NA,NA,-262.6,1819.0303,61.08
NA,NA,NA,-264.45,1818.9167,61.11
NA,NA,NA,-264.29,1818.7917,61.14
NA,NA,NA,-265.59,1818.6667,61.17
NA,NA,NA,-263.62,1818.5417,61.2
NA,NA,NA,-258.18,1818.4167,61.23
NA,NA,NA,-261.08,1818.25,61.27
NA,NA,NA,-260.44,1818.125,61.3
NA,NA,NA,-265.45,1818,61.33
NA,NA,NA,-267.66,1817.8846,61.36
NA,NA,NA,-271.97,1817.7692,61.39
NA,NA,NA,-269.7,1817.6538,61.42
NA,NA,NA,-270.76,1817.5385,61.45
NA,NA,NA,-271.93,1817.4231,61.48
NA,NA,NA,-273.81,1817.3077,61.51
NA,NA,NA,-271.05,1817.1923,61.54
NA,NA,NA,-279.3,1817.0769,61.57
NA,NA,NA,-281.67,1816.9444,61.6
NA,NA,NA,-281.16,1816.7778,61.63
NA,NA,NA,-278.4,1816.6111,61.66
NA,NA,NA,-276.68,1816.4444,61.69
NA,NA,NA,-271.58,1816.2778,61.72
NA,NA,NA,-270.03,1816.0556,61.76
NA,NA,NA,-265.08,1815.9259,61.79
NA,NA,NA,-269.95,1815.8148,61.82
NA,NA,NA,-267.97,1815.7037,61.85
NA,NA,NA,-276.91,1815.5926,61.88
NA,NA,NA,-282.44,1815.4815,61.91
NA,NA,NA,-284.86,1815.3704,61.94
NA,NA,NA,-283.01,1815.2593,61.97
NA,NA,NA,-278.79,1815.1481,62
NA,NA,NA,-274.96,1815.037,62.03
NA,NA,NA,-269.49,1814.9,62.06
NA,NA,NA,-271.19,1814.75,62.09
NA,NA,NA,-270.25,1814.65,62.11
NA,NA,NA,-267.59,1814.5,62.14
NA,NA,NA,-266.06,1814.35,62.17
NA,NA,NA,-260.07,1814.2,62.2
NA,NA,NA,-256.12,1814.05,62.23
NA,NA,NA,-250.23,1813.9286,62.26
NA,NA,NA,-251.46,1813.8214,62.29
NA,NA,NA,-253.45,1813.75,62.31
NA,NA,NA,-253.84,1813.6429,62.34
NA,NA,NA,-258.28,1813.5357,62.37
NA,NA,NA,-262.05,1813.4286,62.4
NA,NA,NA,-267.65,1813.3214,62.43
NA,NA,NA,-267.89,1813.2143,62.46
NA,NA,NA,-266.32,1813.1071,62.49
NA,NA,NA,-269.17,1813.0357,62.51
NA,NA,NA,-269.7,1812.9091,62.54
NA,NA,NA,-272.32,1812.7727,62.57
NA,NA,NA,-274.15,1812.6364,62.6
NA,NA,NA,-280.45,1812.5,62.63
NA,NA,NA,-279.03,1812.3636,62.66
NA,NA,NA,-279.21,1812.2273,62.69
NA,NA,NA,-274.56,1812.1364,62.71
NA,NA,NA,-269.81,1812,62.74
NA,NA,NA,-261.54,1811.9,62.77
NA,NA,NA,-256.54,1811.8,62.8
NA,NA,NA,-250.89,1811.7,62.83
NA,NA,NA,-249.61,1811.6,62.86
NA,NA,NA,-248.31,1811.5,62.89
NA,NA,NA,-252.21,1811.4333,62.91
NA,NA,NA,-258.5,1811.3333,62.94
NA,NA,NA,-266.86,1811.2333,62.97
NA,NA,NA,-273.87,1811.1333,63
NA,NA,NA,-275.4,1811.0333,63.03
NA,NA,NA,-273.9,1810.9412,63.06
NA,NA,NA,-273.22,1810.8529,63.09
NA,NA,NA,-272.33,1810.7647,63.12
NA,NA,NA,-270.64,1810.6765,63.15
NA,NA,NA,-272.81,1810.5882,63.18
NA,NA,NA,-275.76,1810.5,63.21
NA,NA,NA,-278.27,1810.4118,63.24
NA,NA,NA,-280.93,1810.3235,63.27
NA,NA,NA,-277.83,1810.2353,63.3
NA,NA,NA,-275.91,1810.1471,63.33
NA,NA,NA,-272.66,1810.0588,63.36
NA,NA,NA,-272.36,1809.9687,63.39
NA,NA,NA,-272.09,1809.875,63.42
NA,NA,NA,-276,1809.7812,63.45
NA,NA,NA,-279.46,1809.6875,63.48
NA,NA,NA,-281.1,1809.5625,63.52
NA,NA,NA,-279.1,1809.4687,63.55
NA,NA,NA,-275.84,1809.375,63.58
NA,NA,NA,-272.26,1809.2812,63.61
NA,NA,NA,-267.12,1809.1875,63.64
NA,NA,NA,-266.01,1809.0937,63.67
NA,NA,NA,-263.66,1809,63.7
NA,NA,NA,-267.13,1808.921,63.73
NA,NA,NA,-270.78,1808.8421,63.76
