dD (permil),year (AD)
-233.018525,1978.09
-231.355462,1978.055
-231.781679,1978.02
-233.230614,1977.98
-236.071384,1977.935
-240.26932,1977.89
-245.805048,1977.85
-252.04434,1977.805
-256.942781,1977.76
-262.786446,1977.72
-266.11259,1977.675
-266.018849,1977.63
-265.678527,1977.59
-263.126116,1977.545
-260.668465,1977.5
-259.489567,1977.455
-258.867003,1977.41
-256.765976,1977.37
-252.926661,1977.325
-250.367117,1977.28
-247.35720800000001,1977.24
-245.145118,1977.195
-242.740451,1977.15
-239.014237,1977.11
-236.52398,1977.065
-233.228771,1977.02
-232.758027,1976.985
-235.618154,1976.955
-243.104208,1976.925
-252.617926,1976.895
-262.931501,1976.865
-271.430368,1976.835
-277.817,1976.805
-283.219349,1976.775
-287.089232,1976.75
-287.268563,1976.725
-286.694907,1976.695
-282.967674,1976.665
-278.975519,1976.635
-274.66546,1976.605
-265.976054,1976.575
-276.350764,1976.545
-280.074941,1976.515
-279.985276,1976.485
-272.015232,1976.455
-273.37448,1976.425
-267.497311,1976.395
-260.888553,1976.365
-253.679647,1976.335
-247.785157,1976.305
-241.388336,1976.275
-237.290213,1976.25
-231.212316,1976.225
-225.803853,1976.195
-226.073869,1976.165
-227.624675,1976.135
-233.673023,1976.105
-239.152811,1976.075
-245.065642,1976.045
-246.612372,1976.015
-256.605376,1975.97
-264.522692,1975.91
-271.781333,1975.85
-275.226164,1975.79
-277.232683,1975.735
-276.73766,1975.68
-276.400191,1975.62
-273.182034,1975.56
-269.407866,1975.5
-265.92441,1975.44
-260.145755,1975.38
-253.747051,1975.32
-246.382696,1975.265
-240.834781,1975.21
-238.400326,1975.15
-239.283642,1975.09
-246.828929,1975.03
-255.990409,1974.975
-265.530018,1974.925
-270.996615,1974.88
-271.858585,1974.835
-266.477372,1974.785
-263.981928,1974.735
-262.619853,1974.69
-260.476109,1974.645
-255.545193,1974.595
-248.253009,1974.545
-255.395772,1974.5
-254.168888,1974.455
-253.94628,1974.405
-254.258337,1974.355
-255.130472,1974.31
-255.650907,1974.265
-254.671026,1974.215
-250.70881,1974.165
-245.671165,1974.12
-242.659352,1974.075
-239.811192,1974.025
-238.546698,1973.97
-241.474143,1973.915
-251.411194,1973.86
-259.248208,1973.805
-262.327011,1973.75
-265.531094,1973.695
-268.208785,1973.64
-270.198507,1973.585
-269.745282,1973.53
-268.567504,1973.47
-265.71401,1973.415
-263.69685,1973.36
-261.044564,1973.305
-257.426887,1973.25
-253.687265,1973.195
-247.924386,1973.14
-243.045603,1973.085
-238.693212,1973.03
-234.907861,1972.965
-234.697508,1972.9
-235.976905,1972.835
-241.574143,1972.765
-252.759473,1972.7
-257.435016,1972.635
-261.526244,1972.565
-262.630855,1972.5
-262.860516,1972.435
-264.053537,1972.365
-265.457927,1972.3
-265.104289,1972.235
-266.937517,1972.165
-267.663085,1972.1
-265.787177,1972.035
-263.209073,1971.98
-259.708259,1971.935
-258.479672,1971.89
-257.889258,1971.85
-259.974504,1971.805
-263.805584,1971.76
-266.736309,1971.72
-271.072441,1971.675
-273.796877,1971.63
-274.690118,1971.59
-272.973754,1971.545
-283.932471,1971.5
-286.243313,1971.455
-282.409185,1971.41
-281.655163,1971.37
-277.722463,1971.325
-274.204374,1971.28
-270.725916,1971.24
-269.79914,1971.195
-268.182364,1971.15
-265.094127,1971.11
-258.591454,1971.065
-252.820445,1971.02
-247.957921,1970.985
-245.818817,1970.95
-248.421309,1970.915
-254.184153,1970.88
-260.389147,1970.845
-262.167079,1970.81
-259.83881,1970.775
-257.403926,1970.74
-254.22883,1970.705
-253.099726,1970.675
-251.991945,1970.64
-252.855019,1970.605
-252.950465,1970.57
-250.72678,1970.535
-246.221535,1970.5
-239.947495,1970.465
-233.759763,1970.43
-228.623965,1970.395
-228.363012,1970.36
-231.514755,1970.325
-235.969232,1970.295
-239.131129,1970.26
-242.219918,1970.225
-242.785485,1970.19
-242.428071,1970.155
-240.686692,1970.12
-237.612118,1970.085
-236.322584,1970.05
-238.048732,1970.015
-242.192502,1969.985
-250.189644,1969.955
-259.78398,1969.925
-268.256319,1969.9
-272.313782,1969.875
-275.404602,1969.845
-276.367184,1969.815
-275.309156,1969.785
-272.951442,1969.755
-267.853213,1969.725
-256.099162,1969.7
-248.025867,1969.675
-241.444167,1969.645
-231.397986,1969.615
-234.750775,1969.585
-234.570037,1969.555
-235.207696,1969.525
-240.650139,1969.5
-246.555595,1969.475
-256.446422,1969.445
-264.894393,1969.415
-272.123906,1969.385
-277.344996,1969.355
-280.84806,1969.325
-283.608881,1969.3
-286.197088,1969.275
-288.342588,1969.245
-289.016801,1969.215
-288.774125,1969.185
-286.836069,1969.155
-284.155008,1969.125
-279.67912,1969.1
-273.783428,1969.075
-266.561435,1969.045
-257.311877,1969.015
-252.413199,1968.965
-247.54501,1968.9
-248.844887,1968.835
-252.960997,1968.765
-257.528354,1968.7
-258.639195,1968.635
-258.356657,1968.565
-254.76802,1968.5
-251.056407,1968.435
-244.981843,1968.365
-240.859635,1968.3
-233.88969,1968.235
-236.845158,1968.165
-239.721353,1968.1
-242.77947,1968.035
-247.16084,1967.975
-251.955853,1967.92
-259.460384,1967.865
-265.309325,1967.815
-269.540279,1967.765
-272.828085,1967.71
-272.869754,1967.655
-271.136923,1967.605
-263.729958,1967.555
-259.548804,1967.5
-255.390009,1967.445
-252.727242,1967.395
-250.629551,1967.345
-246.541899,1967.29
-241.273279,1967.235
-233.725046,1967.185
-224.164493,1967.135
-218.981244,1967.08
-211.105755,1967.025
-219.824792,1966.975
-226.933974,1966.93
-234.370411,1966.885
-241.799734,1966.84
-246.304079,1966.795
-249.096936,1966.75
-251.962967,1966.705
-253.214061,1966.66
-255.34021,1966.615
-257.536484,1966.57
-258.666636,1966.525
-259.700237,1966.475
-261.299929,1966.43
-261.955458,1966.385
-262.164821,1966.34
-260.976741,1966.295
-257.688774,1966.25
-252.617711,1966.205
-249.948143,1966.16
-248.581372,1966.115
-247.097827,1966.07
-247.991407,1966.025
-249.450581,1965.98
-253.033023,1965.935
-258.745838,1965.89
-264.351018,1965.85
-268.865625,1965.805
-272.211471,1965.76
-274.479944,1965.72
-274.578441,1965.675
-273.511223,1965.63
-270.932028,1965.59
-264.303293,1965.545
-259.079915,1965.5
-252.09578,1965.455
-243.239189,1965.41
-234.860866,1965.37
-228.933795,1965.325
-225.56764,1965.28
-227.07454,1965.24
-231.333258,1965.195
-238.210774,1965.15
-248.308221,1965.11
-256.295603,1965.065
-263.439161,1965.02
-268.660508,1964.97
-271.292506,1964.91
-272.283567,1964.85
-270.825407,1964.79
-258.795594,1964.735
-262.820764,1964.68
-258.650388,1964.62
-255.923955,1964.56
-252.082579,1964.5
-247.627882,1964.44
-259.773455,1964.38
-262.692819,1964.32
-261.177796,1964.265
-258.234061,1964.21
-252.931479,1964.15
-241.539357,1964.09
-252.930464,1964.03
-253.482859,1963.985
-251.597203,1963.955
