d18O (permil),year (AD),depth (cm),core (),depth (cm),d18O (permil),depth (cm)
1.76,-4687,NA,MD95-2011,NA,2.07,455.5
1.53,-4703,NA,MD95-2011,NA,1.96,456.5
1.63,-4719,NA,MD95-2011,NA,1.86,457.5
1.22,-4735,NA,MD95-2011,NA,2.07,458.5
1.25,-4752,NA,MD95-2011,NA,2.03,459.5
1.56,-4768,NA,MD95-2011,NA,2.26,460.5
1.28,-4784,NA,MD95-2011,NA,2.06,461.5
1.69,-4801,NA,MD95-2011,NA,2.06,462.5
1.43,-4817,NA,MD95-2011,NA,2.09,463.5
1.4,-4833,NA,MD95-2011,NA,2.24,464.5
1.82,-4850,NA,MD95-2011,NA,2.27,465.5
1.4,-4866,NA,MD95-2011,NA,1.99,466.5
1.36,-4882,NA,MD95-2011,NA,2.13,467.5
1.36,-4899,NA,MD95-2011,NA,2.12,468.5
1.37,-4915,NA,MD95-2011,NA,2.1,469.5
1.67,-4931,NA,MD95-2011,NA,2.19,470.5
1.39,-4948,NA,MD95-2011,NA,2.05,471.5
1.26,-4964,NA,MD95-2011,NA,2.01,472.5
1.25,-4980,NA,MD95-2011,NA,2.1,473.5
1.52,-4997,NA,MD95-2011,NA,2.15,474.5
1.7,-5013,NA,MD95-2011,NA,2.41,475.5
1.41,-5029,NA,MD95-2011,NA,2.11,476.5
1.51,-5045,NA,MD95-2011,NA,2.18,477.5
1.48,-5062,NA,MD95-2011,NA,2.08,478.5
1.4,-5078,NA,MD95-2011,NA,2.06,479.5
1.93,-5094,NA,MD95-2011,NA,2.23,480.5
1.3,-5111,NA,MD95-2011,NA,2.12,481.5
1.34,-5127,NA,MD95-2011,NA,2.05,482.5
1.4,-5143,NA,MD95-2011,NA,2.06,483.5
1.26,-5160,NA,MD95-2011,NA,2.06,484.5
1.73,-5176,NA,MD95-2011,NA,2.19,485.5
1.09,-5192,NA,MD95-2011,NA,2.04,486.5
1.21,-5209,NA,MD95-2011,NA,2.08,487.5
1.25,-5225,NA,MD95-2011,NA,2.16,488.5
1.39,-5241,NA,MD95-2011,NA,2.29,489.5
1.53,-5258,NA,MD95-2011,NA,2.03,490.5
1.41,-5274,NA,MD95-2011,NA,2.11,491.5
1.3,-5290,NA,MD95-2011,NA,2.05,492.5
1.38,-5306,NA,MD95-2011,NA,2.02,493.5
1.33,-5323,NA,MD95-2011,NA,2,494.5
1.68,-5339,NA,MD95-2011,NA,2.12,495.5
1.44,-5355,NA,MD95-2011,NA,2.09,496.5
1.4,-5372,NA,MD95-2011,NA,1.95,497.5
0.98,-5388,NA,MD95-2011,NA,2.03,498.5
1.33,-5404,NA,MD95-2011,NA,2.05,499.5
1.79,-5421,NA,MD95-2011,NA,2.45,500.5
1.43,-5437,NA,MD95-2011,NA,1.8,501.5
1.39,-5453,NA,MD95-2011,NA,2.24,502.5
1.44,-5470,NA,MD95-2011,NA,2.2,503.5
1.29,-5486,NA,MD95-2011,NA,2.03,504.5
1.49,-5502,NA,MD95-2011,NA,2.17,505.5
1.39,-5519,NA,MD95-2011,NA,1.95,506.5
1.46,-5535,NA,MD95-2011,NA,2.18,507.5
1.33,-5551,NA,MD95-2011,NA,1.88,508.5
1.46,-5568,NA,MD95-2011,NA,1.91,509.5
1.64,-5584,NA,MD95-2011,NA,1.9,510.5
1.29,-5600,NA,MD95-2011,NA,2.1,511.5
1.34,-5616,NA,MD95-2011,NA,2.05,512.5
1.33,-5633,NA,MD95-2011,NA,1.74,513.5
1.26,-5649,NA,MD95-2011,NA,1.83,514.5
1.4,-5665,NA,MD95-2011,NA,2.24,515.5
1.25,-5682,NA,MD95-2011,NA,1.92,516.5
1.24,-5698,NA,MD95-2011,NA,2.04,517.5
1.42,-5714,NA,MD95-2011,NA,2.01,518.5
1.26,-5731,NA,MD95-2011,NA,1.92,519.5
1.43,-5838,NA,MD95-2011,NA,2.03,524.5
1.48,-5860,NA,MD95-2011,NA,2.11,525.5
1.38,-5883,NA,MD95-2011,NA,2.13,526.5
1.76,-5906,NA,MD95-2011,NA,2.46,527.5
1.35,-5928,NA,MD95-2011,NA,2.17,528.5
1.33,-5951,NA,MD95-2011,NA,2.13,529.5
1.87,-5974,NA,MD95-2011,NA,2.24,530.5
1.71,-5996,NA,MD95-2011,NA,2.23,531.5
1.81,-6019,NA,MD95-2011,NA,2.27,532.5
1.61,-6042,NA,MD95-2011,NA,2.82,533.5
1.48,-6064,NA,MD95-2011,NA,2.95,534.5
1.82,-6087,NA,MD95-2011,NA,2.25,535.5
1.84,-6110,NA,MD95-2011,NA,2.16,536.5
1.8,-6132,NA,MD95-2011,NA,2.32,537.5
1.95,-6155,NA,MD95-2011,NA,2.05,538.5
1.61,-6178,NA,MD95-2011,NA,2.08,539.5
1.68,-6200,NA,MD95-2011,NA,2.09,540.5
1.79,-6223,NA,MD95-2011,NA,1.99,541.5
1.74,-6246,NA,MD95-2011,NA,2.08,542.5
1.82,-6268,NA,MD95-2011,NA,2.01,543.5
1.77,-6291,NA,MD95-2011,NA,2.02,544.5
1.97,-6314,NA,MD95-2011,NA,2.13,545.5
1.72,-6336,NA,MD95-2011,NA,2,546.5
1.65,-6359,NA,MD95-2011,NA,2,547.5
1.65,-6382,NA,MD95-2011,NA,2.17,548.5
1.59,-6404,NA,MD95-2011,NA,2.26,549.5
1.88,-6427,NA,MD95-2011,NA,2.27,550.5
1.82,-6450,NA,MD95-2011,NA,2.21,551.5
1.73,-6472,NA,MD95-2011,NA,2.17,552.5
1.96,-6495,NA,MD95-2011,NA,2.17,553.5
1.68,-6517,NA,MD95-2011,NA,2.31,554.5
1.87,-6540,NA,MD95-2011,NA,2.21,555.5
1.39,-6563,NA,MD95-2011,NA,2.31,556.5
1.52,-6585,NA,MD95-2011,NA,1.89,557.5
1.62,-6608,NA,MD95-2011,NA,2.07,558.5
1.57,-6631,NA,MD95-2011,NA,2.34,559.5
1.65,-6653,NA,MD95-2011,NA,2.08,560.5
1.42,-6699,NA,MD95-2011,NA,2.06,562.5
1.47,-6721,NA,MD95-2011,NA,1.69,563.5
NA,-6744,NA,MD95-2011,NA,2.14,564.5
1.69,-6767,NA,MD95-2011,NA,2.06,565.5
1.48,-6789,NA,MD95-2011,NA,2.17,566.5
1.66,-6812,NA,MD95-2011,NA,2.2,567.5
1.6,-6835,NA,MD95-2011,NA,2.2,568.5
1.7,-6857,NA,MD95-2011,NA,2.03,569.5
1.76,-6880,NA,MD95-2011,NA,2,570.5
1.62,-6903,NA,MD95-2011,NA,2.11,571.5
1.51,-6925,NA,MD95-2011,NA,1.92,572.5
1.5,-6948,NA,MD95-2011,NA,2.2,573.5
1.65,-6971,NA,MD95-2011,NA,1.99,574.5
1.87,-6993,NA,MD95-2011,NA,2.27,575.5
1.83,-7016,NA,MD95-2011,NA,2.16,576.5
1.77,-7039,NA,MD95-2011,NA,2.38,577.5
1.73,-7061,NA,MD95-2011,NA,2.18,578.5
1.55,-7084,NA,MD95-2011,NA,2.11,579.5
1.98,-7107,NA,MD95-2011,NA,2.18,580.5
1.98,-7129,NA,MD95-2011,NA,2.15,581.5
2,-7152,NA,MD95-2011,NA,2.38,582.5
2.02,-7175,NA,MD95-2011,NA,2.13,583.5
1.99,-7197,NA,MD95-2011,NA,2.09,584.5
1.84,-7220,NA,MD95-2011,NA,2.39,585.5
1.84,-7243,NA,MD95-2011,NA,1.98,586.5
2.01,-7265,NA,MD95-2011,NA,2.12,587.5
1.57,-7288,NA,MD95-2011,NA,2.16,588.5
1.99,-7311,NA,MD95-2011,NA,2.2,589.5
1.93,-7333,NA,MD95-2011,NA,2.39,590.5
1.76,-7356,NA,MD95-2011,NA,2.01,591.5
1.6,-7379,NA,MD95-2011,NA,2.12,592.5
1.85,-7401,NA,MD95-2011,NA,2,593.5
1.48,-7424,NA,MD95-2011,NA,1.96,594.5
1.98,-7447,NA,MD95-2011,NA,2.24,595.5
2.06,-7469,NA,MD95-2011,NA,2.37,596.5
1.77,-7492,NA,MD95-2011,NA,1.89,597.5
1.82,-7515,NA,MD95-2011,NA,1.9,598.5
1.7,-7537,NA,MD95-2011,NA,1.87,599.5
2.03,-7560,NA,MD95-2011,NA,2.48,600.5
1.64,-7583,NA,MD95-2011,NA,1.88,601.5
1.72,-7605,NA,MD95-2011,NA,2,602.5
1.81,-7628,NA,MD95-2011,NA,2.06,603.5
2.05,-7651,NA,MD95-2011,NA,2.05,604.5
1.78,-7673,NA,MD95-2011,NA,2.45,605.5
1.74,-7696,NA,MD95-2011,NA,1.87,606.5
1.53,-7719,NA,MD95-2011,NA,2.03,607.5
1.6,-7741,NA,MD95-2011,NA,1.72,608.5
1.98,-7764,NA,MD95-2011,NA,1.97,609.5
1.98,-7787,NA,MD95-2011,NA,2.32,610.5
1.96,-7809,NA,MD95-2011,NA,2,611.5
1.79,-7832,NA,MD95-2011,NA,2.05,612.5
1.74,-7855,NA,MD95-2011,NA,2.13,613.5
1.86,-7877,NA,MD95-2011,NA,2.15,614.5
1.76,-7900,NA,MD95-2011,NA,2.66,615.5
1.77,-7922,NA,MD95-2011,NA,1.92,616.5
1.89,-7945,NA,MD95-2011,NA,2.37,617.5
1.6,-7968,NA,MD95-2011,NA,2.07,618.5
1.84,-7990,NA,MD95-2011,NA,1.88,619.5
1.85,-8013,NA,MD95-2011,NA,2.37,620.5
1.66,-8036,NA,MD95-2011,NA,1.99,621.5
1.71,-8058,NA,MD95-2011,NA,2.14,622.5
1.56,-8081,NA,MD95-2011,NA,1.85,623.5
1.77,-8104,NA,MD95-2011,NA,2,624.5
2.07,-8126,NA,MD95-2011,NA,2.69,625.5
1.95,-8149,NA,MD95-2011,NA,2.04,626.5
1.86,-8172,NA,MD95-2011,NA,1.97,627.5
1.54,-8194,NA,MD95-2011,NA,2.47,628.5
1.68,-8217,NA,MD95-2011,NA,2.11,629.5
1.73,-8240,NA,MD95-2011,NA,2.74,630.5
1.96,-8262,NA,MD95-2011,NA,2.13,631.5
1.9,-8285,NA,MD95-2011,NA,2.06,632.5
1.93,-8308,NA,MD95-2011,NA,1.9,633.5
1.83,-8330,NA,MD95-2011,NA,2.1,634.5
2.14,-8353,NA,MD95-2011,NA,2.59,635.5
1.84,-8376,NA,MD95-2011,NA,1.87,636.5
1.83,-8398,NA,MD95-2011,NA,1.91,637.5
1.9,-8421,NA,MD95-2011,NA,1.95,638.5
1.86,-8444,NA,MD95-2011,NA,1.87,639.5
1.92,-8466,NA,MD95-2011,NA,2.44,640.5
1.86,-8489,NA,MD95-2011,NA,2.07,641.5
1.84,-8512,NA,MD95-2011,NA,NA,642.5
1.84,-8534,NA,MD95-2011,NA,2.2,643.5
1.83,-8557,NA,MD95-2011,NA,2,644.5
1.79,-8580,NA,MD95-2011,NA,2.33,645.5
1.86,-8602,NA,MD95-2011,NA,2.32,646.5
1.88,-8625,NA,MD95-2011,NA,2.42,647.5
1.78,-8648,NA,MD95-2011,NA,2.25,648.5
1.87,-8670,NA,MD95-2011,NA,2.04,649.5
2.01,-8693,NA,MD95-2011,NA,2.43,650.5
1.69,-8716,NA,MD95-2011,NA,NA,651.5
1.67,-8738,NA,MD95-2011,NA,NA,652.5
1.57,-8761,NA,MD95-2011,NA,2.85,653.5
1.7,-8784,NA,MD95-2011,NA,NA,654.5
1.72,-8806,NA,MD95-2011,NA,2.73,655.5
1.53,-8829,NA,MD95-2011,NA,NA,656.5
1.6,-8852,NA,MD95-2011,NA,NA,657.5
1.47,-8874,NA,MD95-2011,NA,2.41,658.5
1.58,-8897,NA,MD95-2011,NA,2.6,659.5
1.96,-8920,NA,MD95-2011,NA,2.57,660.5
1.51,-8942,NA,MD95-2011,NA,2.45,661.5
1.61,-8965,NA,MD95-2011,NA,2.33,662.5
1.63,-8988,NA,MD95-2011,NA,2.31,663.5
1.92,-9010,NA,MD95-2011,NA,2.77,664.5
2.11,-9033,NA,MD95-2011,NA,2.46,665.5
1.6,-9056,NA,MD95-2011,NA,2.53,666.5
1.96,-9078,NA,MD95-2011,NA,2.84,667.5
1.79,-9101,NA,MD95-2011,NA,2.69,668.5
1.62,-9124,NA,MD95-2011,NA,2.16,669.5
2.03,-9146,NA,MD95-2011,NA,2.41,670.5
1.95,-9169,NA,MD95-2011,NA,2.62,671.5
1.87,-9192,NA,MD95-2011,NA,2.73,672.5
1.89,-9214,NA,MD95-2011,NA,2.52,673.5
1.88,-9237,NA,MD95-2011,NA,2.69,674.5
1.94,-9260,NA,MD95-2011,NA,2.63,675.5
1.63,-9282,NA,MD95-2011,NA,2.53,676.5
1.79,-9305,NA,MD95-2011,NA,2.58,677.5
1.73,-9327,NA,MD95-2011,NA,2.54,678.5
1.91,-9350,NA,MD95-2011,NA,2.56,679.5
2.13,-9373,NA,MD95-2011,NA,2.6,680.5
1.59,-9395,NA,MD95-2011,NA,2.64,681.5
1.91,-9418,NA,MD95-2011,NA,2.76,682.5
1.9,-9441,NA,MD95-2011,NA,2.54,683.5
1.9,-9463,NA,MD95-2011,NA,2.56,684.5
1.98,-9486,NA,MD95-2011,NA,2.71,685.5
1.63,-9509,NA,MD95-2011,NA,2.6,686.5
1.83,-9531,NA,MD95-2011,NA,2.48,687.5
1.99,-9554,NA,MD95-2011,NA,2.78,688.5
2.16,-9577,NA,MD95-2011,NA,2.92,689.5
1.91,-9599,NA,MD95-2011,NA,2.82,690.5
2.06,-9622,NA,MD95-2011,NA,2.85,691.5
2.05,-9645,NA,MD95-2011,NA,2.59,692.5
1.83,-9667,NA,MD95-2011,NA,2.81,693.5
2.87,-9690,NA,MD95-2011,NA,2.96,694.5
2.73,-9713,NA,MD95-2011,NA,3.04,695.5
2.61,-9735,NA,MD95-2011,NA,2.88,696.5
NA,-9758,NA,MD95-2011,NA,2.74,697.5
1.79,-9781,NA,MD95-2011,NA,3,698.5
NA,-9803,NA,MD95-2011,NA,2.99,699.5
NA,-9826,NA,MD95-2011,NA,3.26,700.5
NA,-9849,NA,MD95-2011,NA,2.92,701.5
2.37,-9871,NA,MD95-2011,NA,3.09,702.5
NA,-9894,NA,MD95-2011,NA,2.99,703.5
NA,-9939,NA,MD95-2011,NA,3.53,705.5
3.03,-9962,NA,MD95-2011,NA,3.11,706.5
NA,-9985,NA,MD95-2011,NA,3.24,707.5
3.04,-10007,NA,MD95-2011,NA,3.34,708.5
NA,-10097,NA,MD95-2011,NA,3.56,710.5
3.09,-10165,NA,MD95-2011,NA,3.29,711.5
NA,-10232,NA,MD95-2011,NA,3.4,712.5
2.96,-10299,NA,MD95-2011,NA,3.18,713.5
3.11,-10366,NA,MD95-2011,NA,3.36,714.5
NA,-10434,NA,MD95-2011,NA,3.28,715.5
3.07,-10501,NA,MD95-2011,NA,3.35,716.5
3.13,-10568,NA,MD95-2011,NA,3.45,717.5
3.18,-10636,NA,MD95-2011,NA,3.3,718.5
NA,-10703,NA,MD95-2011,NA,3.27,719.5
3.63,-10770,NA,MD95-2011,NA,3.48,720.5
3.22,-10837,NA,MD95-2011,NA,3.47,721.5
3.36,-10905,NA,MD95-2011,NA,3.78,722.5
3.4,-10972,NA,MD95-2011,NA,3.59,723.5
3.47,-11039,NA,MD95-2011,NA,3.35,724.5
NA,-11107,NA,MD95-2011,NA,3.63,725.5
3.18,-11174,NA,MD95-2011,NA,3.73,726.5
NA,-11241,NA,MD95-2011,NA,3.48,727.5
2.99,-11308,NA,MD95-2011,NA,3.6,728.5
3.19,-11376,NA,MD95-2011,NA,3.35,729.5
3.27,-11443,NA,MD95-2011,NA,3.68,730.5
3.17,-11464,NA,MD95-2011,NA,3.63,731.5
3.46,-11484,NA,MD95-2011,NA,3.65,732.5
3.38,-11505,NA,MD95-2011,NA,3.47,733.5
3.38,-11526,NA,MD95-2011,NA,3.53,734.5
NA,-11546,NA,MD95-2011,NA,3.47,735.5
3.5,-11567,NA,MD95-2011,NA,3.58,736.5
3.11,-11588,NA,MD95-2011,NA,3.66,737.5
3.32,-11608,NA,MD95-2011,NA,3.57,738.5
3.36,-11629,NA,MD95-2011,NA,3.65,739.5
NA,-11650,NA,MD95-2011,NA,3.7,740.5
3.5,-11670,NA,MD95-2011,NA,3.64,741.5
NA,-11691,NA,MD95-2011,NA,3.63,742.5
NA,-11711,NA,MD95-2011,NA,3.72,743.5
3.23,-11732,NA,MD95-2011,NA,3.16,744.5
NA,-11753,NA,MD95-2011,NA,3.66,745.5
