year (AD),depth (cm),d18O (permil),d18O (permil),core ()
1317.36,50.5,-1.68,-1.172,PL07-71 BC
1313.19,50.6,-1.62,-1.017,PL07-71 BC
1309.19,50.7,-1.44,-1.248,PL07-71 BC
1305.36,50.8,-1.71,-1.37,PL07-71 BC
1301.69,50.9,-1.63,-1.313,PL07-71 BC
1298.18,51,-1.52,-1.42,PL07-71 BC
1294.83,51.1,-1.75,-1.376,PL07-71 BC
1291.64,51.2,-1.7,-1.316,PL07-71 BC
1288.58,51.3,-1.5,-1.384,PL07-71 BC
1285.67,51.4,-1.31,-1.38,PL07-71 BC
1282.9,51.5,-1.37,-1.273,PL07-71 BC
1280.26,51.6,-1.76,-1.304,PL07-71 BC
1277.76,51.7,-1.74,-1.226,PL07-71 BC
1275.37,51.8,-1.93,-1.319,PL07-71 BC
1273.11,51.9,-2.29,-1.348,PL07-71 BC
1270.97,52,-1.39,-1.268,PL07-71 BC
1268.94,52.1,-1.61,-1.275,PL07-71 BC
1267.02,52.2,-1.55,-1.23,PL07-71 BC
1265.2,52.3,-1.75,-1.222,PL07-71 BC
1263.49,52.4,-1.92,-1.148,PL07-71 BC
1261.88,52.5,-1.59,-1.265,PL07-71 BC
1260.36,52.6,-1.3,-1.227,PL07-71 BC
1258.93,52.7,-1.08,-1.147,PL07-71 BC
1257.59,52.8,-1.61,-1.321,PL07-71 BC
1256.33,52.9,-1.98,-1.364,PL07-71 BC
1255.16,53,-1.31,-1.243,PL07-71 BC
1254.06,53.1,-1.52,-1.256,PL07-71 BC
1253.03,53.2,-1.65,-1.384,PL07-71 BC
1252.07,53.3,-1.27,-1.314,PL07-71 BC
1251.18,53.4,-1.69,-1.202,PL07-71 BC
1248.02,53.5,-1.91,-1.435,PL07-71 BC
1247.31,53.6,NA,-1.151,PL07-71 BC
1246.66,53.7,NA,-1.057,PL07-71 BC
1246.06,53.8,-1.944,-1.194,PL07-71 BC
1245.51,53.9,-1.776,-1.361,PL07-71 BC
1245,54,-1.95,-1.387,PL07-71 BC
1244.52,54.1,-1.577,-1.2,PL07-71 BC
1244.09,54.2,-1.783,-1.307,PL07-71 BC
1243.69,54.3,-1.692,-1.416,PL07-71 BC
1243.33,54.4,-1.762,-1.462,PL07-71 BC
1242.99,54.5,-1.873,-1.382,PL07-71 BC
1242.68,54.6,-1.906,-1.189,PL07-71 BC
1242.39,54.7,-2.122,-1.392,PL07-71 BC
1242.12,54.8,-1.685,-1.214,PL07-71 BC
1241.88,54.9,-1.728,-1.457,PL07-71 BC
1241.65,55,-1.881,-1.532,PL07-71 BC
1241.43,55.1,-2.224,-1.494,PL07-71 BC
1241.23,55.2,-1.918,-1.35,PL07-71 BC
1241.03,55.3,-2.099,-1.307,PL07-71 BC
1240.85,55.4,-2.171,-1.479,PL07-71 BC
1240.67,55.5,-1.866,-1.147,PL07-71 BC
1240.49,55.6,-1.77,-1.182,PL07-71 BC
1240.32,55.7,-2.01,-1.388,PL07-71 BC
1240.15,55.8,-1.972,-1.253,PL07-71 BC
1239.98,55.9,-1.804,-1.355,PL07-71 BC
1239.81,56,-2.043,-1.333,PL07-71 BC
1239.63,56.1,-1.907,-1.294,PL07-71 BC
1239.45,56.2,-2.182,-1.463,PL07-71 BC
1239.26,56.3,-2.22,-1.232,PL07-71 BC
1239.06,56.4,-1.688,-1.259,PL07-71 BC
1238.86,56.5,-1.91,-1.28,PL07-71 BC
1238.64,16.5,-1.561,-1.212,CAR 7-2
1238.42,16.6,-1.804,-1.395,CAR 7-2
1238.18,16.7,-1.455,-1.219,CAR 7-2
1237.93,16.8,-1.812,-1.354,CAR 7-2
1237.67,16.9,-1.626,-1.361,CAR 7-2
1237.39,17,-1.796,-1.396,CAR 7-2
1237.1,17.1,-1.708,-1.356,CAR 7-2
1236.79,17.2,-1.805,-1.66,CAR 7-2
1236.46,17.3,-1.193,-1.373,CAR 7-2
1236.12,17.4,-1.882,-1.347,CAR 7-2
1235.76,17.5,-1.749,-1.38,CAR 7-2
1235.38,17.6,-1.539,-1.39,CAR 7-2
1234.98,17.7,-1.839,-1.522,CAR 7-2
1234.56,17.8,-1.991,-1.277,CAR 7-2
1234.13,17.9,-1.595,-1.371,CAR 7-2
1233.67,18,-1.594,-1.23,CAR 7-2
1233.2,18.1,-1.795,-1.516,CAR 7-2
1232.7,18.2,-1.562,-1.372,CAR 7-2
1232.18,18.3,-1.622,-1.306,CAR 7-2
1231.65,18.4,-1.907,-1.295,CAR 7-2
1231.09,18.5,-1.46,-1.517,CAR 7-2
1230.51,18.6,-1.752,-1.17,CAR 7-2
1229.91,18.7,-1.581,-0.929,CAR 7-2
1229.29,18.8,-1.596,-1.238,CAR 7-2
1228.66,18.9,-2.001,-1.346,CAR 7-2
1228,19,-1.888,-1.402,CAR 7-2
1227.32,19.1,-1.402,-1.271,CAR 7-2
1226.62,19.2,-1.573,-1.439,CAR 7-2
1225.9,19.3,-1.869,-1.257,CAR 7-2
1225.16,19.4,-2.066,-1.304,CAR 7-2
1224.4,19.5,-1.974,-1.054,CAR 7-2
1223.63,19.6,-1.57,-1.217,CAR 7-2
1222.83,19.7,-1.689,-1.362,CAR 7-2
1222.02,19.8,-1.817,-1.221,CAR 7-2
1221.19,19.9,-1.97,-1.153,CAR 7-2
1220.35,20,-2.398,-1.261,CAR 7-2
1219.48,20.1,-2.081,-1.079,CAR 7-2
1218.6,20.2,-1.892,-1.217,CAR 7-2
1217.71,20.3,-1.776,-1.134,CAR 7-2
1216.79,20.4,-1.94,-1.304,CAR 7-2
1215.87,20.5,-1.418,-1.05,CAR 7-2
1214.93,20.6,-2.059,-1.02,CAR 7-2
1213.98,20.7,-1.544,-1.342,CAR 7-2
1213.01,20.8,-2.087,-1.142,CAR 7-2
1212.03,20.9,-2.097,-0.985,CAR 7-2
1211.04,21,-1.602,-1.332,CAR 7-2
1210.04,21.1,-1.746,-1.139,CAR 7-2
1209.03,21.2,-1.55,-1.124,CAR 7-2
1208,21.3,-1.728,-1.237,CAR 7-2
1206.97,21.4,-1.666,-1.132,CAR 7-2
1205.93,21.5,-1.444,-1.127,CAR 7-2
1204.88,21.6,-1.776,-1.23,CAR 7-2
1203.83,21.7,-1.631,-1.05,CAR 7-2
1202.77,21.8,-1.909,-1.221,CAR 7-2
1201.7,21.9,-1.875,-1.134,CAR 7-2
1200.63,22,-1.095,-1.084,CAR 7-2
1199.55,22.1,-1.344,-1.314,CAR 7-2
1198.47,22.2,-1.749,-1.309,CAR 7-2
1197.38,22.3,-1.181,-0.924,CAR 7-2
1196.3,22.4,-1.395,-1.294,CAR 7-2
1195.21,22.5,-1.447,-1.018,CAR 7-2
1194.12,22.6,-1.646,-1.163,CAR 7-2
1193.03,22.7,-1.186,-1.313,CAR 7-2
1191.94,22.8,-1.184,-1.203,CAR 7-2
1190.85,22.9,-1.95,-0.98,CAR 7-2
1189.76,23,-1.858,-1.267,CAR 7-2
1188.68,23.1,-1.754,-1.092,CAR 7-2
1187.6,23.2,-1.67,-1.052,CAR 7-2
1186.52,23.3,-1.915,-1.283,CAR 7-2
1185.44,23.4,-1.527,-1.339,CAR 7-2
1184.37,23.5,-1.49,-1.182,CAR 7-2
1183.3,23.6,-1.539,-1.154,CAR 7-2
1182.24,23.7,-1.646,-1.257,CAR 7-2
1181.19,23.8,-1.701,-1.432,CAR 7-2
1180.14,23.9,-1.418,-1.264,CAR 7-2
1179.1,24,-1.487,-1.34,CAR 7-2
1178.07,24.1,-1.963,-1.452,CAR 7-2
1177.05,24.2,-1.788,-1.343,CAR 7-2
1176.03,24.3,-1.618,-0.968,CAR 7-2
1175.02,24.4,-1.735,-1.067,CAR 7-2
1174.03,24.5,-1.481,-1.348,CAR 7-2
1173.04,24.6,-1.344,-1.241,CAR 7-2
1172.06,24.7,-1.713,-1.177,CAR 7-2
1171.09,24.8,-1.817,-1,CAR 7-2
1170.13,24.9,-1.43,-1.209,CAR 7-2
1169.18,25,-1.32,-1.286,CAR 7-2
1168.25,25.1,-1.685,-1.288,CAR 7-2
1167.32,25.2,-1.007,-1.21,CAR 7-2
1166.41,25.3,-1.849,-0.773,CAR 7-2
1165.5,25.4,-1.467,-1.468,CAR 7-2
1164.61,25.5,-1.354,-1.011,CAR 7-2
1163.73,25.6,-1.431,-1.173,CAR 7-2
1162.86,25.7,-1.439,-1.113,CAR 7-2
1162,25.8,-1.746,-1.188,CAR 7-2
1160.83,25.9,-1.683,-1.391,CAR 7-2
1159.66,26,-1.311,-1.262,CAR 7-2
1158.49,26.1,-1.216,-1.248,CAR 7-2
1157.32,26.2,-1.915,-1.226,CAR 7-2
1156.15,26.3,-1.122,-1.299,CAR 7-2
1154.98,26.4,-1.61,-1.321,CAR 7-2
1153.81,26.5,-1.547,-0.994,CAR 7-2
1152.64,26.6,-1.532,-1.196,CAR 7-2
1151.47,26.7,-1.792,-1.28,CAR 7-2
1150.3,26.8,-1.651,-1.248,CAR 7-2
1149.13,26.9,-1.811,-1.173,CAR 7-2
1147.96,27,-1.521,-1.09,CAR 7-2
1146.8,27.1,-1.451,-1.078,CAR 7-2
1145.63,27.2,-1.541,-1.295,CAR 7-2
1144.46,27.3,-1.701,-1.119,CAR 7-2
1143.29,27.4,-1.951,-1.249,CAR 7-2
1142.12,27.5,-1.461,-1.025,CAR 7-2
1140.95,27.6,-1.751,-1.089,CAR 7-2
1139.78,27.7,-2.011,-1.11,CAR 7-2
1138.61,27.8,-1.511,-1.056,CAR 7-2
1137.44,27.9,-1.621,-0.81,CAR 7-2
1136.27,28,-1.591,-0.745,CAR 7-2
1135.1,28.1,-1.63,-1.16,CAR 7-2
1133.93,28.2,-1.64,-1.099,CAR 7-2
1132.76,28.3,-1.913,-0.925,CAR 7-2
1131.6,28.4,-1.398,-0.615,CAR 7-2
1130.43,28.5,-1.282,-0.949,CAR 7-2
1129.26,28.6,-1.512,-1.071,CAR 7-2
1128.09,28.7,-1.918,-1.019,CAR 7-2
1126.92,28.8,-1.803,-0.985,CAR 7-2
1125.75,28.9,-1.56,-0.811,CAR 7-2
1124.58,29,-1.177,-0.736,CAR 7-2
1123.41,29.1,-1.946,-0.828,CAR 7-2
1122.24,29.2,-1.819,-1.396,CAR 7-2
1121.07,29.3,-1.792,-0.88,CAR 7-2
1119.9,29.4,-1.615,-0.776,CAR 7-2
1118.73,29.5,-1.885,-1.023,CAR 7-2
1117.56,29.6,-1.952,-1.389,CAR 7-2
1116.39,29.7,-1.565,-1.242,CAR 7-2
1115.23,29.8,-1.948,-0.986,CAR 7-2
1114.06,29.9,-1.907,-1.142,CAR 7-2
1112.89,30,-1.862,-1.336,CAR 7-2
1111.72,30.1,-1.649,-0.974,CAR 7-2
1110.55,30.2,-2.385,-1.162,CAR 7-2
1109.38,30.3,-1.901,-1.181,CAR 7-2
1108.21,30.4,-2.051,-0.697,CAR 7-2
1107.04,30.5,-1.682,-0.98,CAR 7-2
1105.87,30.6,-1.66,-0.811,CAR 7-2
1104.7,30.7,-1.656,-1.287,CAR 7-2
1103.53,30.8,-1.824,-0.87,CAR 7-2
1102.1,30.9,-1.31,-1.132,CAR 7-2
1100.66,31,-1.871,-0.84,CAR 7-2
1099.22,31.1,-1.811,-1.142,CAR 7-2
1097.78,31.2,-2.109,-1.082,CAR 7-2
1096.33,31.3,-1.681,-1.044,CAR 7-2
1094.88,31.4,-1.859,-1.305,CAR 7-2
1093.42,31.5,-2.048,-1.295,CAR 7-2
1091.96,31.6,-1.749,-1.115,CAR 7-2
1090.5,31.7,-1.234,-1.351,CAR 7-2
1089.04,31.8,-1.282,-1.133,CAR 7-2
1087.57,31.9,-1.756,-1.234,CAR 7-2
1086.1,32,-1.457,-1.311,CAR 7-2
1084.62,32.1,-1.421,-1.047,CAR 7-2
1083.14,32.2,-1.921,-1.322,CAR 7-2
1081.66,32.3,-1.345,-1.184,CAR 7-2
1080.18,32.4,-2.104,-1.116,CAR 7-2
1078.69,32.5,-1.564,-1.155,CAR 7-2
1077.2,32.6,-1.721,-1.367,CAR 7-2
1075.71,32.7,-1.319,-1.332,CAR 7-2
1074.21,32.8,-2.055,-1.127,CAR 7-2
1072.71,32.9,-1.535,-1.134,CAR 7-2
1071.21,33,-2.039,-0.925,CAR 7-2
1069.7,33.1,-1.733,-1.096,CAR 7-2
1068.19,33.2,-1.722,-0.92,CAR 7-2
1066.68,33.3,-2.042,-1.182,CAR 7-2
1065.17,33.4,-1.501,-1.014,CAR 7-2
1063.65,33.5,-1.726,-1.19,CAR 7-2
1062.13,33.6,-1.468,-1.109,CAR 7-2
1060.61,33.7,-1.955,-1.151,CAR 7-2
1059.09,33.8,-1.27,-1.29,CAR 7-2
1057.56,33.9,-1.716,-1.134,CAR 7-2
1056.03,34,-2.013,-1.066,CAR 7-2
1054.49,34.1,-0.984,-1.033,CAR 7-2
1052.96,34.2,-1.753,-1.089,CAR 7-2
1051.42,34.3,-1.331,-1.211,CAR 7-2
1049.88,34.4,-1.864,-1.141,CAR 7-2
1048.34,34.5,-1.669,-1.209,CAR 7-2
1046.79,34.6,-1.652,-1.341,CAR 7-2
1045.24,34.7,-1.503,-1.083,CAR 7-2
1043.69,34.8,-1.718,-0.961,CAR 7-2
1042.14,34.9,-1.753,-1.452,CAR 7-2
1040.58,35,-1.351,-1.281,CAR 7-2
1039.03,35.1,-1.91,-1.139,CAR 7-2
1037.46,35.2,-1.738,-1,CAR 7-2
1035.9,35.3,-1.965,-1.061,CAR 7-2
1034.34,35.4,-1.801,-1.242,CAR 7-2
1032.77,35.5,-1.888,-1.344,CAR 7-2
1031.2,35.6,-1.824,-1.232,CAR 7-2
1029.63,35.7,-2.074,-1.123,CAR 7-2
1028.05,35.8,-1.858,-1.514,CAR 7-2
1026.48,35.9,-1.814,-1.427,CAR 7-2
1024.9,36,-1.787,-0.924,CAR 7-2
1023.32,36.1,-1.711,-0.985,CAR 7-2
1021.74,36.2,-1.776,-1.096,CAR 7-2
1020.15,36.3,-1.748,-0.949,CAR 7-2
1018.57,36.4,-2.048,-0.652,CAR 7-2
1016.98,36.5,-1.461,-0.957,CAR 7-2
1015.39,36.6,-1.614,-1.259,CAR 7-2
1013.79,36.7,-2.001,-1.142,CAR 7-2
1012.2,36.8,-1.928,-1.041,CAR 7-2
1010.6,36.9,-1.843,-0.776,CAR 7-2
1009,37,-1.546,-0.691,CAR 7-2
1007.4,37.1,-1.736,-1.108,CAR 7-2
1005.8,37.2,-2.053,-1.083,CAR 7-2
1004.19,37.3,-1.808,-1.164,CAR 7-2
1002.58,37.4,-1.696,-0.823,CAR 7-2
1000.98,37.5,-1.31,-1.017,CAR 7-2
999.37,37.6,-1.998,-1.215,CAR 7-2
997.75,37.7,-1.911,-1.149,CAR 7-2
996.14,37.8,-1.791,-1.231,CAR 7-2
994.52,37.9,-1.55,-1.097,CAR 7-2
992.91,38,-1.567,-1.234,CAR 7-2
991.29,38.1,-1.853,-1.184,CAR 7-2
989.66,38.2,-2.136,-1.359,CAR 7-2
988.04,38.3,-1.763,-0.917,CAR 7-2
986.42,38.4,-1.963,-1.074,CAR 7-2
984.79,38.5,-1.757,-1.11,CAR 7-2
983.16,38.6,-1.841,-1.051,CAR 7-2
981.53,38.7,-1.72,-1.203,CAR 7-2
979.9,38.8,-1.465,-0.966,CAR 7-2
978.27,38.9,-1.62,-0.846,CAR 7-2
976.63,39,-1.678,-0.908,CAR 7-2
974.99,39.1,-2.005,-1.043,CAR 7-2
973.36,39.2,-1.755,-1.029,CAR 7-2
971.72,39.3,-1.966,-0.979,CAR 7-2
970.08,39.4,-2.192,-0.99,CAR 7-2
968.43,39.5,-1.478,-1,CAR 7-2
966.79,39.6,-1.977,-1.277,CAR 7-2
965.14,39.7,-1.669,-1.15,CAR 7-2
963.5,39.8,-1.812,-1.102,CAR 7-2
961.85,39.9,-1.53,-1.255,CAR 7-2
960.2,40,-1.938,-0.981,CAR 7-2
958.54,40.1,-1.83,-1.067,CAR 7-2
956.89,40.2,-1.849,-1.144,CAR 7-2
955.24,40.3,-1.819,-1.066,CAR 7-2
953.58,40.4,-1.89,-1.07,CAR 7-2
951.92,40.5,-1.841,-1.131,CAR 7-2
950.26,40.6,-1.636,-1.145,CAR 7-2
948.6,40.7,-1.826,-1.195,CAR 7-2
946.94,40.8,-1.796,-0.951,CAR 7-2
945.28,40.9,-2.045,-1.127,CAR 7-2
943.61,41,-1.718,-1.093,CAR 7-2
941.95,41.1,-2.033,-0.923,CAR 7-2
940.28,41.2,-1.89,-1.174,CAR 7-2
938.61,41.3,-1.704,-1.274,CAR 7-2
936.94,41.4,-1.85,-1.311,CAR 7-2
935.27,41.5,-1.948,-1.292,CAR 7-2
933.6,41.6,-1.671,-1.011,CAR 7-2
931.92,41.7,-1.792,-1.12,CAR 7-2
930.25,41.8,-2.017,-1.024,CAR 7-2
928.57,41.9,-1.878,-1.258,CAR 7-2
926.89,42,-1.767,-1.255,CAR 7-2
925.22,42.1,-1.543,-0.933,CAR 7-2
923.54,42.2,-2.104,-1.132,CAR 7-2
921.85,42.3,-2.126,-0.969,CAR 7-2
920.17,42.4,-2.019,-0.897,CAR 7-2
918.49,42.5,-1.565,-1.22,CAR 7-2
916.8,42.6,-1.836,-1.007,CAR 7-2
915.12,42.7,-2.079,-1.372,CAR 7-2
913.43,42.8,-1.739,-1.136,CAR 7-2
911.74,42.9,-1.783,-0.745,CAR 7-2
910.05,43,-1.707,-1.255,CAR 7-2
908.36,43.1,-2.25,-1.259,CAR 7-2
906.67,43.2,-1.969,-1.078,CAR 7-2
904.98,43.3,-2.164,-1.002,CAR 7-2
903.28,43.4,-1.592,-1.309,CAR 7-2
901.59,43.5,-1.953,-1.404,CAR 7-2
899.89,43.6,-1.948,-1.234,CAR 7-2
898.19,43.7,-2.07,-1.09,CAR 7-2
896.49,43.8,-1.761,-1.154,CAR 7-2
894.79,43.9,-1.697,-0.973,CAR 7-2
893.09,44,-1.98,-1.189,CAR 7-2
891.39,44.1,-1.776,-1.216,CAR 7-2
889.69,44.2,-1.676,-1.351,CAR 7-2
887.99,44.3,-1.84,-0.953,CAR 7-2
886.28,44.4,-2.098,-1.148,CAR 7-2
884.57,44.5,-1.926,-1.276,CAR 7-2
882.87,44.6,-1.908,-0.998,CAR 7-2
881.16,44.7,-1.788,-1.077,CAR 7-2
879.45,44.8,-1.759,-1.11,CAR 7-2
877.74,44.9,-1.865,-1.186,CAR 7-2
876.03,45,-1.947,-1.392,CAR 7-2
874.32,45.1,-2.032,-1.457,CAR 7-2
872.6,45.2,-1.759,-1.272,CAR 7-2
870.89,45.3,-2.158,-1.125,CAR 7-2
869.18,45.4,-1.903,-1.084,CAR 7-2
867.46,45.5,-2.048,-1.204,CAR 7-2
865.74,45.6,-1.47,-1.109,CAR 7-2
864.02,45.7,-1.849,-1.042,CAR 7-2
862.31,45.8,-2.103,-1.219,CAR 7-2
860.59,45.9,NA,-1.295,CAR 7-2
858.87,46,-1.948,-1.162,CAR 7-2
857.14,46.1,-1.894,-1.063,CAR 7-2
855.42,46.2,-1.832,-1.168,CAR 7-2
853.7,46.3,-1.951,-1.085,CAR 7-2
851.97,46.4,-1.712,-1.113,CAR 7-2
850.25,46.5,-1.716,-1.3,CAR 7-2
848.52,46.6,-2.054,-1.236,CAR 7-2
846.79,46.7,-2.392,-0.929,CAR 7-2
845.07,46.8,-2.114,-1.019,CAR 7-2
843.34,46.9,-1.591,-1.024,CAR 7-2
841.61,47,-1.931,-1.145,CAR 7-2
839.88,47.1,-1.716,-1.134,CAR 7-2
838.14,47.2,-1.846,-1.191,CAR 7-2
836.41,47.3,-1.947,-1.136,CAR 7-2
834.68,47.4,-1.946,-0.971,CAR 7-2
832.94,47.5,-2.117,-1.221,CAR 7-2
831.21,47.6,-1.825,-1.37,CAR 7-2
829.47,47.7,-2.013,-1.01,CAR 7-2
827.74,47.8,-1.798,-1.249,CAR 7-2
826,47.9,-1.901,-1.179,CAR 7-2
824.26,48,-1.797,-1.29,CAR 7-2
822.52,48.1,-1.892,-1.199,CAR 7-2
820.78,48.2,-2.002,-1.348,CAR 7-2
819.04,48.3,-1.898,-1.188,CAR 7-2
817.3,48.4,-1.756,-1.266,CAR 7-2
815.56,48.5,-1.986,-1.196,CAR 7-2
813.81,48.6,-1.869,-1.08,CAR 7-2
812.07,48.7,-2.156,-0.903,CAR 7-2
810.32,48.8,-2.094,-1.453,CAR 7-2
808.58,48.9,-2.342,-1.083,CAR 7-2
806.83,49,-1.764,-1.363,CAR 7-2
805.08,49.1,-2.037,-1.22,CAR 7-2
803.33,49.2,-2.081,-0.869,CAR 7-2
801.58,49.3,-1.93,-1.254,CAR 7-2
799.83,49.4,-1.77,-1.152,CAR 7-2
798.08,49.5,-1.951,-1.246,CAR 7-2
796.33,49.6,-1.691,-1.218,CAR 7-2
794.58,49.7,-1.666,-1.217,CAR 7-2
792.82,49.8,-1.939,-1.268,CAR 7-2
791.07,49.9,-2.023,-1.226,CAR 7-2
789.32,50,-1.93,-1.332,CAR 7-2
787.56,50.1,-1.707,-1.017,CAR 7-2
785.8,50.2,-1.774,-1.004,CAR 7-2
784.05,50.3,-1.774,-1.155,CAR 7-2
782.29,50.4,-1.801,-1.103,CAR 7-2
780.53,50.5,-1.871,-0.982,CAR 7-2
778.77,50.6,-2.162,-1.27,CAR 7-2
777.01,50.7,-1.63,-0.827,CAR 7-2
775.25,50.8,-1.742,-1.045,CAR 7-2
773.49,50.9,-2.036,-0.741,CAR 7-2
771.72,51,-1.929,-0.719,CAR 7-2
769.96,51.1,-1.52,-1.069,CAR 7-2
768.2,51.2,-1.828,-0.884,CAR 7-2
766.43,51.3,-1.521,-0.929,CAR 7-2
764.66,51.4,-1.659,-1.08,CAR 7-2
762.9,51.5,-1.579,-1.066,CAR 7-2
761.13,51.6,-1.917,-0.941,CAR 7-2
759.36,51.7,-1.817,-1.142,CAR 7-2
757.59,51.8,-1.679,-0.932,CAR 7-2
755.82,51.9,-1.849,-0.788,CAR 7-2
754.05,52,-1.815,-1.177,CAR 7-2
752.28,52.1,-2.081,-1.044,CAR 7-2
750.51,52.2,-1.857,-1.395,CAR 7-2
748.74,52.3,-1.802,-0.966,CAR 7-2
746.96,52.4,-2.013,-1.015,CAR 7-2
745.19,52.5,-1.756,-1.421,CAR 7-2
743.41,52.6,-1.657,-1.082,CAR 7-2
741.64,52.7,-1.777,-1.007,CAR 7-2
739.86,52.8,-1.773,-1.192,CAR 7-2
738.08,52.9,-1.607,-1.125,CAR 7-2
736.31,53,-1.858,-1.17,CAR 7-2
734.53,53.1,-1.942,-1.263,CAR 7-2
732.75,53.2,-1.939,-1.136,CAR 7-2
730.97,53.3,-1.97,-1.093,CAR 7-2
729.19,53.4,-1.666,-0.811,CAR 7-2
727.41,53.5,-1.919,-0.981,CAR 7-2
725.62,53.6,-1.731,-1.257,CAR 7-2
723.84,53.7,-1.597,-1.337,CAR 7-2
722.06,53.8,-1.599,-0.745,CAR 7-2
720.27,53.9,-1.661,-1.056,CAR 7-2
718.49,54,-2.067,-1.055,CAR 7-2
716.7,54.1,-2.196,-1.298,CAR 7-2
714.91,54.2,-2.148,-0.972,CAR 7-2
713.13,54.3,-2.026,-1.304,CAR 7-2
711.34,54.4,-1.9,-1.208,CAR 7-2
709.55,54.5,-2.085,-1.233,CAR 7-2
707.76,54.6,-1.731,-1.19,CAR 7-2
705.97,54.7,-1.876,-1.256,CAR 7-2
704.18,54.8,-1.979,-1.257,CAR 7-2
702.38,54.9,-1.736,-0.891,CAR 7-2
700.59,55,-1.796,-1.25,CAR 7-2
698.8,55.1,-1.747,-1.222,CAR 7-2
697,55.2,-2.136,-1.15,CAR 7-2
695.21,55.3,-1.691,-1.076,CAR 7-2
693.41,55.4,-2.094,-1.065,CAR 7-2
691.61,55.5,-2.028,-1.23,CAR 7-2
689.82,55.6,-1.888,-1.081,CAR 7-2
688.02,55.7,-1.887,-1.321,CAR 7-2
686.22,55.8,-1.754,-1.143,CAR 7-2
684.42,55.9,-1.875,-1.341,CAR 7-2
682.62,56,-1.668,-0.899,CAR 7-2
680.82,56.1,-1.595,-1.066,CAR 7-2
679.02,56.2,-2.038,-1.28,CAR 7-2
677.21,56.3,-2.08,-1.127,CAR 7-2
675.41,56.4,-2.299,-0.938,CAR 7-2
673.61,56.5,-1.829,-1.173,CAR 7-2
671.8,56.6,-1.823,-1.162,CAR 7-2
670,56.7,-1.647,-1.268,CAR 7-2
668.19,56.8,-1.807,-1.313,CAR 7-2
666.38,56.9,-2.113,-0.854,CAR 7-2
664.58,57,-2.071,-1.187,CAR 7-2
662.77,57.1,-1.707,-1.127,CAR 7-2
660.96,57.2,-1.972,-1.229,CAR 7-2
659.15,57.3,-2.194,-0.971,CAR 7-2
657.34,57.4,-1.981,-1.24,CAR 7-2
655.52,57.5,-1.896,-1.148,CAR 7-2
653.71,57.6,-1.843,-1.132,CAR 7-2
651.9,57.7,-1.817,-1.316,CAR 7-2
650.09,57.8,-2.102,-1.078,CAR 7-2
648.27,57.9,-1.709,-1.01,CAR 7-2
646.46,58,-1.966,-1.169,CAR 7-2
644.64,58.1,-1.68,-1.259,CAR 7-2
642.82,58.2,-1.998,-1.117,CAR 7-2
641,58.3,-1.67,-1.3,CAR 7-2
639.19,58.4,-1.769,-1.295,CAR 7-2
637.37,58.5,-2.124,-1.211,CAR 7-2
635.55,58.6,-1.946,-1.182,CAR 7-2
633.73,58.7,-1.913,-1.301,CAR 7-2
631.91,58.8,-1.737,-1.218,CAR 7-2
630.08,58.9,-1.897,-1.295,CAR 7-2
628.26,59,-1.771,-1.359,CAR 7-2
626.44,59.1,-1.723,-1.382,CAR 7-2
624.61,59.2,-1.617,-1.267,CAR 7-2
622.79,59.3,-1.995,-1.284,CAR 7-2
620.96,59.4,-1.472,-1.38,CAR 7-2
619.13,59.5,-1.932,-1.351,CAR 7-2
617.31,59.6,-1.562,-1.48,CAR 7-2
615.48,59.7,-1.758,-1.213,CAR 7-2
613.65,59.8,-1.754,-1.427,CAR 7-2
611.82,59.9,-1.92,-1.354,CAR 7-2
609.99,60,-1.807,-1.502,CAR 7-2
608.16,60.1,-1.855,-1.38,CAR 7-2
606.33,60.2,-1.812,-1.493,CAR 7-2
604.49,60.3,-1.782,-1.294,CAR 7-2
602.66,60.4,-2.064,-1.227,CAR 7-2
600.82,60.5,-1.715,-1.215,CAR 7-2
598.99,60.6,-2.149,-1.234,CAR 7-2
597.15,60.7,-1.751,-1.286,CAR 7-2
595.32,60.8,-1.869,-0.988,CAR 7-2
593.48,60.9,-1.651,-1.248,CAR 7-2
591.64,61,-1.592,-1.216,CAR 7-2
589.8,61.1,-1.975,-1.161,CAR 7-2
587.96,61.2,-1.571,-0.985,CAR 7-2
586.12,61.3,-1.736,-1.184,CAR 7-2
584.28,61.4,-1.704,-1.017,CAR 7-2
582.44,61.5,-1.574,-1.328,CAR 7-2
580.59,61.6,-1.711,-1.258,CAR 7-2
578.75,61.7,-1.614,-1.092,CAR 7-2
576.91,61.8,-2.104,-0.973,CAR 7-2
575.06,61.9,-1.6,-1.063,CAR 7-2
573.21,62,-1.693,-1.394,CAR 7-2
571.37,62.1,-1.651,-1.268,CAR 7-2
569.52,62.2,-2.123,-1.026,CAR 7-2
567.67,62.3,-1.959,-1.309,CAR 7-2
565.82,62.4,-1.772,-1.328,CAR 7-2
563.97,62.5,-2.033,-1.236,CAR 7-2
562.12,62.6,-1.72,-1.338,CAR 7-2
560.27,62.7,-1.58,-1.314,CAR 7-2
558.42,62.8,-1.738,-1.126,CAR 7-2
556.56,62.9,-1.853,-1.194,CAR 7-2
554.71,63,-1.633,-1.324,CAR 7-2
552.86,63.1,-1.907,-1.355,CAR 7-2
551,63.2,-1.659,-1.1,CAR 7-2
