year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],Sr_Ca (mmol/mol) [2-1],d18O (permil) [2-1]
1947.54,0.92,1947.63,8.94,-4.82
1947.46,1.02,1947.54,8.98,-4.76
1947.38,1.06,1947.46,8.93,-4.78
1947.29,0.98,1947.38,8.94,-4.72
1947.21,1.08,1947.29,8.94,-4.78
1947.13,0.99,1947.21,8.92,-4.74
1947.04,0.99,1947.13,8.94,-4.77
1946.96,0.92,1947.04,8.92,-4.82
1946.88,0.77,1946.96,8.9,-4.94
1946.79,0.82,1946.88,8.91,-5.07
1946.71,0.74,1946.79,8.88,-5.09
1946.63,0.67,1946.71,8.84,-5.27
1946.54,0.89,1946.63,8.87,-5.27
1946.46,0.86,1946.54,8.83,-5.13
1946.38,0.72,1946.46,8.84,-5.15
1946.29,0.82,1946.38,8.94,-5.04
1946.21,0.97,1946.29,9.03,-4.73
1946.13,0.94,1946.21,9.02,-4.61
1946.04,0.85,1946.13,9.03,-4.61
1945.96,0.77,1946.04,9.05,-4.66
1945.88,0.79,1945.96,9.04,-4.76
1945.79,0.79,1945.88,9.03,-4.76
1945.71,0.8,1945.79,9.03,-4.77
1945.63,0.81,1945.71,8.99,-4.85
1945.54,0.83,1945.63,8.96,-4.91
1945.46,0.87,1945.54,9,-4.79
1945.38,0.76,1945.46,8.96,-4.85
1945.29,0.94,1945.38,9.05,-4.75
1945.21,0.81,1945.29,9,-4.69
1945.13,0.98,1945.21,9.06,-4.67
1945.04,0.84,1945.13,9.03,-4.57
1944.96,0.91,1945.04,9.07,-4.62
1944.88,1.05,1944.96,9,-4.71
1944.79,0.86,1944.88,8.93,-4.74
1944.71,1,1944.79,8.97,-4.83
1944.63,0.97,1944.71,8.91,-4.85
1944.54,0.98,1944.63,8.91,-4.87
1944.46,0.89,1944.54,8.91,-4.86
1944.38,0.84,1944.46,8.95,-4.86
1944.29,0.85,1944.38,8.98,-4.85
1944.21,0.94,1944.29,8.98,-4.84
1944.13,1.05,1944.21,8.96,-4.78
1944.04,1.11,1944.13,8.97,-4.66
1943.96,0.95,1944.04,8.94,-4.65
1943.88,1.01,1943.96,8.99,-4.7
1943.79,0.96,1943.88,9,-4.63
1943.71,0.94,1943.79,8.93,-4.84
1943.63,0.89,1943.71,8.91,-4.91
1943.54,0.72,1943.63,8.92,-4.93
1943.46,0.9,1943.54,8.97,-4.97
1943.38,0.92,1943.46,8.95,-4.85
1943.29,0.78,1943.38,8.93,-4.88
1943.21,0.84,1943.29,9.01,-4.82
1943.13,0.81,1943.21,9,-4.78
1943.04,0.87,1943.13,9.05,-4.7
1942.96,0.87,1943.04,9.01,-4.74
1942.88,0.83,1942.96,8.99,-4.77
1942.79,0.78,1942.88,8.98,-4.85
1942.71,0.84,1942.79,8.97,-4.92
1942.63,0.74,1942.71,8.93,-4.95
1942.54,0.85,1942.63,8.91,-5.11
1942.46,0.75,1942.54,8.93,-4.94
1942.38,0.79,1942.46,8.91,-5.09
1942.29,0.6,1942.38,8.92,-5.04
1942.21,0.75,1942.29,8.99,-5.05
1942.13,0.84,1942.21,8.97,-4.94
1942.04,0.89,1942.13,8.9,-5.04
1941.96,0.96,1942.04,8.83,-5.13
1941.88,0.88,1941.96,8.78,-5.19
1941.79,0.8,1941.88,8.8,-5.23
1941.71,0.91,1941.79,8.82,-5.26
1941.63,0.69,1941.71,8.79,-5.22
1941.54,0.86,1941.63,8.85,-5.29
1941.46,0.66,1941.54,8.81,-5.22
1941.38,0.74,1941.46,8.88,-5.25
1941.29,0.67,1941.38,8.89,-5.15
1941.21,0.69,1941.29,8.91,-5.17
1941.13,0.8,1941.21,8.91,-5.15
1941.04,0.81,1941.13,8.89,-5.08
1940.96,0.74,1941.04,8.88,-5.11
1940.88,0.7,1940.96,8.91,-5.1
1940.79,0.73,1940.88,8.94,-5.07
1940.71,0.61,1940.79,8.89,-5.16
1940.63,0.79,1940.71,8.9,-5.26
1940.54,0.76,1940.63,8.84,-5.22
1940.46,0.85,1940.54,8.88,-5.15
1940.38,0.65,1940.46,8.92,-4.97
1940.29,0.65,1940.38,9.04,-4.89
1940.21,0.73,1940.29,9.04,-4.88
1940.13,0.82,1940.21,9.03,-4.83
1940.04,0.86,1940.13,9.02,-4.76
1939.96,0.85,1940.04,8.96,-4.86
1939.88,0.81,1939.96,8.98,-4.83
1939.79,0.8,1939.88,8.96,-4.92
1939.71,0.83,1939.79,8.95,-4.94
1939.63,0.86,1939.71,8.94,-4.95
1939.54,0.73,1939.63,8.92,-4.97
1939.46,0.7,1939.54,9.01,-4.87
1939.38,0.72,1939.46,9.04,-4.83
1939.29,0.82,1939.38,9.03,-4.84
1939.21,0.78,1939.29,9.01,-4.78
1939.13,1.07,1939.21,8.99,-4.87
1939.04,0.93,1939.13,8.94,-4.7
1938.96,0.78,1939.04,9,-4.7
1938.88,0.86,1938.96,9.01,-4.83
1938.79,1.08,1938.88,8.92,-4.95
1938.71,0.97,1938.79,8.86,-4.89
1938.63,0.72,1938.71,8.87,-4.98
1938.54,0.86,1938.63,8.96,-5
1938.46,0.96,1938.54,8.92,-4.95
1938.38,0.83,1938.46,8.88,-4.95
1938.29,0.79,1938.38,8.93,-4.97
1938.21,0.85,1938.29,8.97,-4.92
1938.13,0.88,1938.21,8.98,-4.83
1938.04,0.94,1938.13,8.97,-4.81
1937.96,0.9,1938.04,8.95,-4.82
1937.88,0.76,1937.96,8.93,-4.91
1937.79,0.79,1937.88,8.89,-5.13
1937.71,0.84,1937.79,8.91,-5.06
1937.63,0.81,1937.71,8.95,-4.91
1937.54,0.82,1937.63,8.92,-5
1937.46,0.75,1937.54,8.92,-4.99
1937.38,0.83,1937.46,8.96,-4.97
1937.29,0.88,1937.38,8.95,-4.92
1937.21,0.87,1937.29,8.92,-4.95
1937.13,0.95,1937.21,8.94,-4.91
1937.04,0.88,1937.13,8.92,-4.87
1936.96,0.77,1937.04,8.93,-4.92
1936.88,0.76,1936.96,8.95,-4.98
1936.79,0.5,1936.88,8.97,-4.95
1936.71,0.54,1936.79,9.04,-5.04
1936.63,0.58,1936.71,9.02,-5.03
1936.54,0.79,1936.63,9.01,-5.02
1936.46,0.87,1936.54,8.89,-5.09
1936.38,0.84,1936.46,8.94,-4.9
1936.29,0.85,1936.38,8.95,-4.91
1936.21,0.87,1936.29,8.96,-4.88
1936.13,0.93,1936.21,8.97,-4.83
1936.04,0.93,1936.13,8.95,-4.82
1935.96,0.95,1936.04,8.97,-4.78
1935.88,0.82,1935.96,8.93,-4.84
1935.79,0.69,1935.88,8.95,-4.92
1935.71,0.79,1935.79,8.91,-5.16
1935.63,0.8,1935.71,8.87,-5.15
1935.54,0.89,1935.63,8.89,-5.1
1935.46,0.84,1935.54,8.92,-4.93
1935.38,0.88,1935.46,8.97,-4.87
1935.29,0.84,1935.38,8.99,-4.76
1935.21,0.61,1935.29,9,-4.79
1935.13,0.65,1935.21,9.04,-4.92
1935.04,0.83,1935.13,9.1,-4.74
1934.96,0.73,1935.04,9.03,-4.74
1934.88,0.64,1934.96,9.05,-4.78
1934.79,0.61,1934.88,9.06,-4.85
1934.71,0.5,1934.79,9.04,-4.92
1934.63,0.47,1934.71,9.07,-4.95
1934.54,0.7,1934.63,9.09,-4.95
1934.46,0.63,1934.54,9.07,-4.77
1934.38,0.53,1934.46,9.08,-4.8
1934.29,0.65,1934.38,9.15,-4.73
1934.21,0.68,1934.29,9.12,-4.68
1934.13,0.71,1934.21,9.13,-4.64
1934.04,0.62,1934.13,9.14,-4.58
1933.96,0.57,1934.04,9.14,-4.66
1933.88,0.58,1933.96,9.13,-4.74
1933.79,0.78,1933.88,9.14,-4.71
1933.71,0.59,1933.79,9.08,-4.65
1933.63,0.66,1933.71,9.11,-4.77
1933.54,0.75,1933.63,9.08,-4.79
1933.46,0.7,1933.54,9.04,-4.79
1933.38,0.69,1933.46,9.07,-4.76
1933.29,0.53,1933.38,9.06,-4.8
1933.21,0.49,1933.29,9.09,-4.88
1933.13,0.57,1933.21,9.11,-4.87
1933.04,0.58,1933.13,9.14,-4.73
1932.96,0.52,1933.04,9.1,-4.81
1932.88,0.72,1932.96,9.07,-4.94
1932.79,0.66,1932.88,8.99,-4.92
1932.71,0.44,1932.79,9.02,-4.92
1932.63,0.42,1932.71,9.07,-5.03
1932.54,0.52,1932.63,9.04,-5.11
1932.46,0.62,1932.54,9.05,-4.99
1932.38,0.68,1932.46,9.07,-4.84
1932.29,0.5,1932.38,9.09,-4.73
1932.21,0.55,1932.29,9.13,-4.81
1932.13,0.69,1932.21,9.13,-4.78
1932.04,0.58,1932.13,9.07,-4.77
1931.96,0.57,1932.04,9.09,-4.84
1931.88,0.6,1931.96,9.04,-4.96
1931.79,0.79,1931.88,9.06,-4.89
1931.71,0.65,1931.79,8.98,-4.88
1931.63,0.38,1931.71,8.98,-5.02
1931.54,0.45,1931.63,9.07,-5.08
1931.46,0.53,1931.54,9.08,-4.99
1931.38,0.63,1931.46,9.07,-4.94
1931.29,0.74,1931.38,9.04,-4.89
1931.21,0.83,1931.29,9.04,-4.79
1931.13,0.89,1931.21,9.03,-4.71
1931.04,0.88,1931.13,9.01,-4.7
1930.96,0.44,1931.04,8.99,-4.77
1930.88,0.74,1930.96,9.01,-5.16
1930.79,0.76,1930.88,8.84,-5.26
1930.71,0.65,1930.79,8.81,-5.33
1930.63,0.43,1930.71,8.86,-5.3
1930.54,0.66,1930.63,8.94,-5.33
1930.46,0.78,1930.54,8.93,-5.13
1930.38,0.72,1930.46,8.92,-5.03
1930.29,0.76,1930.38,8.94,-5.06
1930.21,0.84,1930.29,8.96,-4.95
1930.13,0.77,1930.21,8.93,-4.95
1930.04,0.79,1930.13,8.97,-4.93
1929.96,0.79,1930.04,8.97,-4.91
1929.88,0.86,1929.96,8.93,-5
1929.79,0.74,1929.88,8.89,-5.03
1929.71,0.69,1929.79,8.94,-5.03
1929.63,0.81,1929.71,8.94,-5.08
1929.54,0.77,1929.63,8.91,-5.03
1929.46,0.61,1929.54,8.94,-5
1929.38,0.7,1929.46,8.99,-5.05
1929.29,0.86,1929.38,9,-4.93
1929.21,0.73,1929.29,9.02,-4.72
1929.13,0.76,1929.21,9.07,-4.74
1929.04,0.81,1929.13,9.06,-4.71
1928.96,0.86,1929.04,9.05,-4.71
1928.88,0.86,1928.96,9.01,-4.73
1928.79,0.76,1928.88,9.02,-4.72
1928.71,0.64,1928.79,9.01,-4.85
1928.63,0.56,1928.71,8.99,-5.01
1928.54,0.68,1928.63,9.01,-5.04
1928.46,0.59,1928.54,8.97,-5.03
1928.38,0.67,1928.46,9.02,-4.98
1928.29,0.52,1928.38,9.04,-4.86
1928.21,0.58,1928.29,9.08,-4.91
1928.13,0.65,1928.21,9.1,-4.8
1928.04,0.74,1928.13,9.13,-4.67
1927.96,0.63,1928.04,9.09,-4.66
1927.88,0.67,1927.96,9.1,-4.76
1927.79,0.77,1927.88,9.02,-4.91
1927.71,0.56,1927.79,9,-4.87
1927.63,0.7,1927.71,9,-5.07
1927.54,0.74,1927.63,8.93,-5.1
1927.46,0.63,1927.54,8.94,-5.02
1927.38,0.61,1927.46,9.01,-4.97
1927.29,0.56,1927.38,9.06,-4.86
1927.21,0.6,1927.29,9.12,-4.78
1927.13,0.79,1927.21,9.13,-4.71
1927.04,0.81,1927.13,9.06,-4.69
1926.96,0.77,1927.04,9.05,-4.7
1926.88,0.47,1926.96,9.04,-4.76
1926.79,0.77,1926.88,9.1,-4.91
1926.71,0.81,1926.79,9.06,-4.72
1926.63,0.76,1926.71,9.03,-4.74
1926.54,0.74,1926.63,9.04,-4.77
1926.46,0.73,1926.54,9.06,-4.74
1926.38,0.65,1926.46,9.04,-4.81
1926.29,0.63,1926.38,9.04,-4.88
1926.21,0.68,1926.29,9.05,-4.88
1926.13,0.74,1926.21,9.08,-4.76
1926.04,0.84,1926.13,9.1,-4.64
1925.96,0.96,1926.04,9.07,-4.62
1925.88,0.76,1925.96,9.01,-4.64
1925.79,0.64,1925.88,9.04,-4.78
1925.71,0.68,1925.79,9,-4.98
1925.63,0.62,1925.71,8.94,-5.1
1925.54,0.62,1925.63,8.97,-5.07
1925.46,0.64,1925.54,9.06,-4.87
1925.38,0.44,1925.46,9.04,-4.89
1925.29,0.62,1925.38,9.13,-4.87
1925.21,0.62,1925.29,9.13,-4.69
1925.13,0.65,1925.21,9.18,-4.58
1925.04,0.79,1925.13,9.17,-4.58
1924.96,0.78,1925.04,9.1,-4.6
1924.88,0.72,1924.96,9.11,-4.58
1924.79,0.8,1924.88,9.1,-4.66
1924.71,0.61,1924.79,9.06,-4.68
1924.63,0.55,1924.71,9.06,-4.87
1924.54,0.61,1924.63,9.04,-4.99
1924.46,0.54,1924.54,9.08,-4.82
1924.38,0.71,1924.46,9.13,-4.77
1924.29,0.85,1924.38,9.07,-4.75
1924.21,0.83,1924.29,8.99,-4.8
1924.13,0.89,1924.21,9.01,-4.76
1924.04,0.78,1924.13,9.01,-4.71
1923.96,0.77,1924.04,9.05,-4.73
1923.88,0.73,1923.96,9.03,-4.78
1923.79,0.79,1923.88,9.02,-4.84
1923.71,0.65,1923.79,8.95,-4.95
1923.63,0.73,1923.71,8.96,-5.07
1923.54,0.76,1923.63,8.86,-5.22
1923.46,0.9,1923.54,8.95,-4.99
1923.38,0.76,1923.46,8.93,-4.9
1923.29,1.01,1923.38,8.99,-4.88
1923.21,0.88,1923.29,8.94,-4.75
1923.13,0.92,1923.21,9,-4.75
1923.04,0.78,1923.13,9.02,-4.66
1922.96,0.69,1923.04,9.08,-4.66
1922.88,0.76,1922.96,9.11,-4.66
1922.79,0.89,1922.88,9.06,-4.72
1922.71,0.94,1922.79,9,-4.74
1922.63,0.94,1922.71,8.98,-4.74
1922.54,0.9,1922.63,8.97,-4.76
1922.46,0.91,1922.54,9,-4.72
1922.38,0.83,1922.46,9.01,-4.69
1922.29,0.86,1922.38,9.02,-4.75
1922.21,0.83,1922.29,9.01,-4.74
1922.13,0.8,1922.21,9.05,-4.68
1922.04,0.69,1922.13,9.09,-4.62
1921.96,0.87,1922.04,9.08,-4.74
1921.88,0.83,1921.96,9.06,-4.62
1921.79,0.81,1921.88,9.07,-4.64
1921.71,0.76,1921.79,9.04,-4.72
1921.63,0.74,1921.71,9,-4.87
1921.54,0.83,1921.63,8.98,-4.93
1921.46,0.94,1921.54,9,-4.81
1921.38,1,1921.46,8.92,-4.89
1921.29,0.99,1921.38,8.93,-4.78
1921.21,0.86,1921.29,9,-4.64
1921.13,1.11,1921.21,9.04,-4.67
1921.04,0.86,1921.13,8.98,-4.56
1920.96,1.03,1921.04,9.05,-4.65
1920.88,1.04,1920.96,8.97,-4.66
1920.79,1.09,1920.88,8.94,-4.74
1920.71,1.01,1920.79,8.92,-4.72
1920.63,0.85,1920.71,8.93,-4.78
1920.54,0.85,1920.63,8.99,-4.8
1920.46,0.89,1920.54,9,-4.78
1920.38,0.94,1920.46,8.96,-4.84
1920.29,1.02,1920.38,8.95,-4.81
1920.21,0.96,1920.29,8.97,-4.68
1920.13,0.95,1920.21,8.96,-4.77
1920.04,1.07,1920.13,8.97,-4.75
1919.96,1.01,1920.04,8.95,-4.68
1919.88,0.84,1919.96,8.92,-4.8
1919.79,0.94,1919.88,8.92,-4.98
1919.71,0.97,1919.79,8.85,-5.05
1919.63,0.98,1919.71,8.86,-5
1919.54,0.95,1919.63,8.89,-4.92
1919.46,0.81,1919.54,8.91,-4.9
1919.38,0.81,1919.46,8.93,-4.98
1919.29,0.86,1919.38,8.98,-4.87
1919.21,0.66,1919.29,9.03,-4.69
1919.13,0.73,1919.21,9.08,-4.77
1919.04,0.76,1919.13,9.08,-4.7
1918.96,0.65,1919.04,9.09,-4.64
1918.88,0.57,1918.96,9.07,-4.8
1918.79,0.43,1918.88,9.06,-4.91
1918.71,0.51,1918.79,9.06,-5.06
1918.63,0.5,1918.71,8.95,-5.24
1918.54,0.62,1918.63,8.92,-5.33
1918.46,0.67,1918.54,8.91,-5.22
1918.38,0.79,1918.46,8.97,-5.02
1918.29,0.68,1918.38,8.99,-4.87
1918.21,0.84,1918.29,9.09,-4.74
1918.13,0.79,1918.21,9.09,-4.57
1918.04,0.79,1918.13,9.11,-4.57
1917.96,0.68,1918.04,9.15,-4.49
1917.88,0.86,1917.96,9.15,-4.59
1917.79,0.68,1917.88,9.08,-4.57
1917.71,0.66,1917.79,9.11,-4.69
1917.63,0.66,1917.71,9.14,-4.64
1917.54,0.72,1917.63,9.12,-4.69
1917.46,0.75,1917.54,9.1,-4.67
1917.38,0.83,1917.46,9.12,-4.59
1917.29,0.85,1917.38,9.11,-4.54
1917.21,0.65,1917.29,9.08,-4.58
1917.13,0.77,1917.21,9.15,-4.63
1917.04,0.64,1917.13,9.16,-4.47
1916.96,0.9,1917.04,9.21,-4.48
1916.88,0.77,1916.96,9.07,-4.57
1916.79,0.76,1916.88,9.07,-4.7
1916.71,0.71,1916.79,9.06,-4.71
1916.63,0.56,1916.71,9.05,-4.8
1916.54,0.62,1916.63,9.04,-4.96
1916.46,0.66,1916.54,9.06,-4.85
1916.38,0.66,1916.46,9.07,-4.8
1916.29,0.82,1916.38,9.07,-4.8
1916.21,0.94,1916.29,9.04,-4.71
1916.13,0.95,1916.21,9.02,-4.64
1916.04,0.86,1916.13,9.01,-4.64
1915.96,0.82,1916.04,9.01,-4.74
1915.88,0.7,1915.96,9,-4.81
1915.79,0.73,1915.88,9.01,-4.9
1915.71,0.88,1915.79,8.95,-5.03
1915.63,0.8,1915.71,8.87,-5.05
1915.54,0.86,1915.63,8.88,-5.1
1915.46,0.77,1915.54,8.88,-5.06
1915.38,0.83,1915.46,8.95,-4.98
1915.29,0.76,1915.38,8.94,-4.94
1915.21,0.76,1915.29,8.93,-5.03
1915.13,0.82,1915.21,8.96,-4.97
1915.04,0.77,1915.13,8.97,-4.89
1914.96,0.81,1915.04,8.94,-4.99
1914.88,0.62,1914.96,8.9,-5.05
1914.79,0.57,1914.88,8.86,-5.34
1914.71,0.5,1914.79,8.86,-5.39
1914.63,0.48,1914.71,8.88,-5.41
1914.54,0.61,1914.63,8.87,-5.46
1914.46,0.69,1914.54,8.92,-5.21
1914.38,0.74,1914.46,8.96,-5.03
1914.29,0.97,1914.38,8.97,-4.95
1914.21,0.83,1914.29,8.95,-4.79
1914.13,0.96,1914.21,8.97,-4.87
1914.04,0.9,1914.13,8.96,-4.77
1913.96,0.89,1914.04,8.96,-4.81
1913.88,0.88,1913.96,8.95,-4.86
1913.79,0.84,1913.88,8.93,-4.91
1913.71,0.94,1913.79,8.93,-4.96
1913.63,0.79,1913.71,8.93,-4.86
1913.54,0.72,1913.63,8.93,-5.02
1913.46,0.93,1913.54,8.96,-5.01
1913.38,0.97,1913.46,8.98,-4.73
1913.29,0.97,1913.38,9,-4.66
1913.21,0.89,1913.29,9.03,-4.58
1913.13,0.89,1913.21,9.07,-4.57
1913.04,0.97,1913.13,9.07,-4.57
1912.96,0.94,1913.04,9.03,-4.58
1912.88,0.85,1912.96,9.01,-4.67
1912.79,0.88,1912.88,8.99,-4.81
1912.71,0.83,1912.79,8.97,-4.83
1912.63,0.65,1912.71,8.94,-4.94
1912.54,0.76,1912.63,8.96,-5.07
1912.46,0.78,1912.54,9,-4.87
1912.38,0.84,1912.46,9,-4.85
1912.29,0.89,1912.38,9.01,-4.76
1912.21,0.93,1912.29,9.03,-4.67
1912.13,0.95,1912.21,9.02,-4.65
1912.04,0.89,1912.13,9.01,-4.64
1911.96,0.69,1912.04,9.02,-4.69
1911.88,0.94,1911.96,9.02,-4.88
1911.79,0.74,1911.88,8.96,-4.78
1911.71,0.89,1911.79,8.98,-4.94
1911.63,0.84,1911.71,8.82,-5.16
1911.54,0.95,1911.63,8.88,-5.07
1911.46,0.81,1911.54,8.89,-4.95
1911.38,0.85,1911.46,8.91,-5.02
1911.29,0.89,1911.38,8.96,-4.86
1911.21,0.76,1911.29,9.01,-4.7
1911.13,0.79,1911.21,9.04,-4.78
1911.04,0.92,1911.13,9.02,-4.79
1910.96,0.95,1911.04,8.99,-4.73
1910.88,0.89,1910.96,9,-4.68
1910.79,0.98,1910.88,9.04,-4.64
1910.71,1.01,1910.79,9.02,-4.6
1910.63,0.91,1910.71,8.98,-4.66
1910.54,0.97,1910.63,8.99,-4.74
1910.46,0.94,1910.54,8.99,-4.68
1910.38,0.85,1910.46,9.02,-4.65
1910.29,0.88,1910.38,9.06,-4.64
1910.21,0.93,1910.29,9.07,-4.59
1910.13,1.03,1910.21,9.07,-4.54
1910.04,1.05,1910.13,9.05,-4.48
1909.96,0.91,1910.04,9.04,-4.48
1909.88,1.01,1909.96,9.07,-4.55
1909.79,0.61,1909.88,9.04,-4.51
1909.71,0.73,1909.79,9.06,-4.87
1909.63,0.73,1909.71,8.99,-4.92
1909.54,0.63,1909.63,8.99,-4.92
1909.46,0.88,1909.54,9.03,-4.92
1909.38,0.84,1909.46,8.95,-4.86
1909.29,0.86,1909.38,8.97,-4.86
1909.21,0.9,1909.29,9,-4.77
1909.13,1.09,1909.21,9.02,-4.69
1909.04,1.01,1909.13,8.99,-4.57
1908.96,0.9,1909.04,8.99,-4.64
1908.88,0.93,1908.96,9.02,-4.68
1908.79,0.89,1908.88,9,-4.69
1908.71,0.9,1908.79,8.93,-4.89
1908.63,0.84,1908.71,8.91,-4.95
1908.54,0.86,1908.63,8.94,-4.93
1908.46,0.83,1908.54,8.95,-4.88
1908.38,0.83,1908.46,8.96,-4.88
1908.29,0.99,1908.38,8.99,-4.83
1908.21,1,1908.29,8.97,-4.71
1908.13,0.95,1908.21,8.96,-4.72
1908.04,0.89,1908.13,8.98,-4.72
1907.96,0.74,1908.04,9.02,-4.7
1907.88,0.64,1907.96,9,-4.89
1907.79,0.7,1907.88,8.97,-5.07
1907.71,0.76,1907.79,8.96,-5.03
1907.63,0.86,1907.71,8.92,-5.07
1907.54,0.91,1907.63,8.85,-5.13
1907.46,0.98,1907.54,8.84,-5.11
1907.38,1.01,1907.46,8.84,-5.03
1907.29,0.99,1907.38,8.85,-4.97
1907.21,0.94,1907.29,8.85,-4.99
1907.13,0.97,1907.21,8.88,-4.98
1907.04,0.95,1907.13,8.9,-4.9
1906.96,0.87,1907.04,8.9,-4.91
1906.88,0.96,1906.96,8.94,-4.9
1906.79,0.79,1906.88,8.94,-4.81
1906.71,0.87,1906.79,8.96,-4.94
1906.63,0.7,1906.71,8.93,-4.92
1906.54,0.77,1906.63,8.95,-5.05
1906.46,0.81,1906.54,8.95,-4.97
1906.38,0.89,1906.46,8.97,-4.89
1906.29,0.85,1906.38,8.95,-4.85
1906.21,0.83,1906.29,8.93,-4.93
1906.13,0.94,1906.21,8.95,-4.92
1906.04,1.1,1906.13,8.93,-4.87
1905.96,0.84,1906.04,8.85,-4.88
1905.88,0.83,1905.96,8.93,-4.95
1905.79,0.78,1905.88,8.94,-4.95
1905.71,0.72,1905.79,8.92,-5.04
1905.63,0.61,1905.71,8.87,-5.23
1905.54,0.66,1905.63,8.84,-5.39
1905.46,0.61,1905.54,8.83,-5.37
1905.38,0.74,1905.46,8.81,-5.47
1905.29,0.79,1905.38,8.85,-5.24
1905.21,0.86,1905.29,8.93,-5
1905.13,1.02,1905.21,8.96,-4.87
1905.04,0.88,1905.13,8.94,-4.76
1904.96,0.98,1905.04,8.93,-4.91
1904.88,0.98,1904.96,8.93,-4.81
1904.79,0.9,1904.88,8.95,-4.77
1904.71,0.95,1904.79,8.86,-5.06
1904.63,0.8,1904.71,8.86,-5.01
1904.54,0.94,1904.63,8.9,-5.07
1904.46,0.97,1904.54,8.94,-4.83
1904.38,1.02,1904.46,8.95,-4.78
1904.29,0.93,1904.38,8.96,-4.71
1904.21,1.05,1904.29,8.95,-4.82
1904.13,1.2,1904.21,8.96,-4.67
1904.04,1.17,1904.13,8.96,-4.51
1903.96,1.03,1904.04,8.95,-4.58
1903.88,0.99,1903.96,8.89,-4.85
1903.79,0.99,1903.88,8.89,-4.89
1903.71,0.89,1903.79,8.89,-4.89
1903.63,0.58,1903.71,8.88,-5.01
1903.54,0.71,1903.63,8.95,-5.17
1903.46,0.79,1903.54,8.95,-5.04
1903.38,0.85,1903.46,8.94,-4.98
1903.29,0.81,1903.38,8.92,-4.96
1903.21,0.78,1903.29,8.92,-5.01
1903.13,0.87,1903.21,8.92,-5.04
1903.04,0.9,1903.13,8.91,-4.96
1902.96,0.93,1903.04,8.91,-4.94
1902.88,0.87,1902.96,8.86,-5.03
1902.79,0.76,1902.88,8.85,-5.12
1902.71,0.84,1902.79,8.87,-5.19
1902.63,0.8,1902.71,8.83,-5.19
1902.54,0.73,1902.63,8.84,-5.2
1902.46,0.78,1902.54,8.91,-5.11
1902.38,0.88,1902.46,8.94,-4.99
1902.29,0.93,1902.38,8.96,-4.85
1902.21,0.99,1902.29,8.99,-4.71
1902.13,1.05,1902.21,9.02,-4.6
1902.04,1.09,1902.13,9,-4.58
1901.96,1.05,1902.04,8.97,-4.61
1901.88,1.08,1901.96,8.98,-4.62
1901.79,1.06,1901.88,8.95,-4.67
1901.71,0.98,1901.79,8.89,-4.83
1901.63,1,1901.71,8.88,-4.94
1901.54,0.93,1901.63,8.86,-4.96
1901.46,0.93,1901.54,8.91,-4.9
1901.38,1.05,1901.46,8.94,-4.85
1901.29,0.9,1901.38,8.95,-4.7
1901.21,0.94,1901.29,8.98,-4.77
1901.13,0.93,1901.21,8.99,-4.71
1901.04,0.86,1901.13,8.99,-4.72
1900.96,0.82,1901.04,8.99,-4.79
1900.88,0.73,1900.96,8.93,-4.98
1900.79,0.69,1900.88,8.95,-5.02
1900.71,0.81,1900.79,8.94,-5.07
1900.63,0.77,1900.71,8.92,-5.01
1900.54,0.76,1900.63,8.9,-5.09
1900.46,0.74,1900.54,8.91,-5.08
1900.38,0.71,1900.46,8.92,-5.08
1900.29,0.68,1900.38,8.95,-5.04
1900.21,0.71,1900.29,8.98,-4.99
1900.13,0.77,1900.21,9,-4.92
1900.04,0.73,1900.13,9.01,-4.83
1899.96,0.69,1900.04,9.03,-4.83
1899.88,0.66,1899.96,8.98,-4.98
1899.79,0.7,1899.88,8.96,-5.06
1899.71,0.65,1899.79,8.9,-5.17
1899.63,0.6,1899.71,8.87,-5.29
1899.54,0.8,1899.63,8.87,-5.35
1899.46,1.03,1899.54,8.86,-5.16
1899.38,1.19,1899.46,8.84,-4.98
1899.29,0.97,1899.38,8.87,-4.74
1899.21,0.8,1899.29,8.96,-4.75
1899.13,0.99,1899.21,9.07,-4.67
1899.04,0.94,1899.13,9.08,-4.46
1898.96,1,1899.04,9.05,-4.57
1898.88,0.8,1898.96,9.01,-4.6
1898.79,0.76,1898.88,9.02,-4.77
1898.71,0.86,1898.79,9,-4.86
1898.63,0.84,1898.71,8.98,-4.81
1898.54,0.83,1898.63,8.96,-4.87
1898.46,0.84,1898.54,9.01,-4.76
1898.38,0.81,1898.46,9.05,-4.67
1898.29,0.79,1898.38,9.09,-4.61
1898.21,0.79,1898.29,9.1,-4.6
1898.13,0.88,1898.21,9.1,-4.6
1898.04,0.82,1898.13,9.08,-4.56
1897.96,0.66,1898.04,9.07,-4.65
1897.88,0.7,1897.96,9.05,-4.85
1897.79,0.8,1897.88,9.02,-4.88
1897.71,0.82,1897.79,8.99,-4.86
1897.63,0.79,1897.71,8.96,-4.91
1897.54,0.73,1897.63,8.97,-4.92
1897.46,0.79,1897.54,9.02,-4.85
1897.38,0.85,1897.46,9.02,-4.79
1897.29,0.82,1897.38,9.04,-4.69
1897.21,0.81,1897.29,9.06,-4.67
1897.13,0.85,1897.21,9.05,-4.69
1897.04,0.84,1897.13,9.04,-4.68
1896.96,0.94,1897.04,9.01,-4.76
1896.88,0.92,1896.96,8.94,-4.83
