year (AD),d18O (permil),thickness (mwe),dust (permil),F (ppb),Cl (ppb),sulfate (ppb),nitrate (ppb),Na (ppb),ammonium (ppb),K (ppb),Mg (ppb),Ca (ppb)
1750,-17.5814,1.2708,25694.28571,0.08142857,12.17143,73.75429,100.02714,11.128571,65.43571,2.895714,2.581429,10.64714
1749,-17.9633,1.0886,19193.33333,0.1,14.87833,78.78833,139.27833,16.528333,85.548330000000007,4.251667,2.581667,13.02333
1748,-16.1125,0.7357,35400,0,15.8,10.875,126.98,36.3175,69.95,0.9,0.7225,3.2175
1747,-15.1192,1.0986,15990,0.135,17.19833,1.713333,102.34667,0,63.00667,0,0.045,0.4483333
1746,-19.812,1.3845,15514.28571,0.3085714,20.47857,2.032857,172.62429,0,72.05714,0,0.06571429,0
1745,-20.6215,1.2194,15893.33333,0.2183333,18.29,4.965,161.13167,1.24,63.70667,0,0.05666667,0.25
1744,-18.1674,0.9313,19740,0.1,19.074,0.524,153.908,0,61.888,0,0,0
1743,-20.9307,1.1998,18286.66667,0.08333333,19.45667,3.491667,107.36,19.096667,44.36,0.7966667,0.05166667,0
1742,-20.6518,1.2358,19990,0,11.925,0.66,124.73,0,52.12,0,0,0
1741,-19.2636,0.9951,36792,0.106,23.004,0,147.542,0,49.56,0.394,0,0
1740,-16.9397,1.1952,34666.66667,0.1083333,24.27,154.0633,165.25333,44.408333,84.405,7.126667,3.721667,16.68333
1739,-17.685,1.2004,28830,0.09,13.525,1.435,105.37333,0,52.60167,0,0,0
1738,-17.3967,1.2057,24436.66667,0.09666667,18.38167,1.591667,131.16833,0,66.32333,0,0,0.2183333
1737,-17.03,0.8873,22024,0,18.02,12.28,76.434,28.446,55.878,1.478,0.152,0.428
1736,-19.078,0.8387,23156,0,12.302,39.466,86.638,0,81.74,1.844,0.166,0.764
1735,-19.2686,1.1792,20751.42857,0.1614286,17.11857,22.80429,56.491429,0,61.42286,0.8457143,0.06857143,0.3728571
1734,-18.155,1.0151,18390,0.285,21.43,2.371667,60.838333,0,45.625,0,0,0
1733,-20.8029,1.1893,22808.57143,0.6442857,20.36429,1.087143,78.28,0,46.45143,0,0,0
1732,-19.5557,1.1943,17354.28571,0,13.36143,1.497143,85.691429,0,44.12857,0,0,0
1731,-22.0237,1.5206,23512.5,0,11.83,1.7225,96.92125,0,47.86625,0,0.0375,0
1730,-19.8617,1.0323,17336.66667,0.2,15.505,0.225,114.29,0,55.955,0.7866667,0.07166667,0.34
1729,-19.4283,1.0366,21330,0,11.65833,4.645,97.388333,0,56.61667,0.3183333,0.04666667,0.2366667
1728,-16.0267,1.1276,12880,0.1916667,15.77167,3.008333,125.38333,0,58.67167,0.4983333,0.1216667,0.43
1727,-17.646,0.8818,21960,0.164,13.264,67.226,105.488,2.748,70.866,4.836,0.378,1.57
1726,-19.2956,1.607,11448.88889,0.2488889,17.51778,16.04333,86.092222,1.1033333,52.57222,0.8433333,0.6588889,1.565556
1725,-20.9658,1.0757,14626.66667,0.3183333,16.24,0,94.923333,0,43.54,0,0,0
1724,-23.0219,1.2564,20174.28571,0.3771429,15.41429,1.95,83.247143,0,47.79,0.6814286,0.3057143,0.3614286
1723,-14.5262,0.7192,38805,0.81,17.0575,110.885,57.7,21.1825,67.155,8.1925,4.7125,8.7525
1722,-15.7,0.7221,15625,0.7025,18.605,17.475,111.88,1.375,66.2925,1.0075,0.825,1.0825
1721,-16.1325,1.0931,17623.33333,0.39,25.73,0,128.16333,0,70.105,0,0,0
1720,-18.1887,1.2766,16628.57143,0.1714286,19.67571,0.19,119.64714,0,57.38,0,0,0
1719,-17.1417,1.1805,14073.33333,0.41,27.52167,0.3783333,137.72667,0,65.12167,0,0,0
1718,-17.8983,1.2867,18203.33333,0.3783333,20.04833,18.92667,203.05333,0,84.26,0.79,0,0.6816667
1717,-20.4825,1.4391,17387.5,0.78625,19.97875,1.52875,132.63625,0,62.0725,0,0,0
1716,-20.124,0.91,19212,0.658,13.516,1.142,124.518,0,54.416,0.524,0,0
1715,-20.0867,1.0849,19730,0.66,16.285,0.6066667,122.035,0,55.58167,0,0,0
1714,-18.5613,1.4559,28100,0.54,14.01625,0.815,122.1475,0,57.4275,0,0,0
1713,-18.185,1.1393,28110,0.675,14.02667,0.3883333,140.875,0,60.61167,0,0,0
1712,-14.756,0.9241,42500,0.904,33.182,0.232,240.264,0,124.532,0,0,0
1711,-18.844,0.9277,23044,1.04,27.888,0,167.764,0,71.61,0,0,0
1710,-17.1814,1.292,21211.42857,1.024286,19.55429,1.321429,142.22857,0,62,0,0,0
1709,-18.8575,0.7477,21745,0,10.7575,17.4175,100.7175,1.73,54.905,1.3375,0.105,1.15
1708,-15.81,1.5832,30690,0.1475,33.65625,152.0037,163.13625,0.7075,83.0925,7.84375,1.8725,22.0525
1707,-21.584,1.0005,21340,0,10.974,4.754,114.266,0,54.37,0,0,0
1706,-18.358,0.9806,24400,0,13.634,3.472,146.82,4.592,67.688,0.59,0,0
1705,-21.1983,1.174,22156.66667,0.125,17.48667,1.511667,153.105,0,68.04167,0.4466667,0,0
1704,-19.9486,1.4044,27325.71429,0.3457143,21.50857,2.114286,156.81,0,68.20429,0,0,0
1703,-19.9733,1.1826,31430,0,13.41167,9.085,111.38,0,54.47,0.73,0.1466667,0.4
1702,-18.76,1.3907,23417.14286,0,15.34857,85.74143,110.63857,1.9785714,63.59857,4.08,1.895714,10.91429
1701,-18.8329,1.3958,22328.57143,0,12.31714,36.68714,105.45857,0.82714286,55.41571,2.02,0.8328571,2.575714
1700,-20.976,1.0264,19412,0,12.8,16.5,102.18,26.202,47.486,1.362,0.504,1.628
1699,-18.6262,1.5997,24320,0,14.92125,49.7725,108.52625,3.055,54.31,2.20375,1.51625,3.44125
1698,-19.7614,1.4351,18300,0,15.45714,27.28,121.71429,21.834286,54.88,2.527143,0.7857143,2.658571
1697,-20.0143,1.4158,27514.28571,0,31.80571,181.79,209.31714,5.4071429,67.95286,26.91857,7.625714,34.27429
1696,-19.974,1.0411,22628,0,15.3,25.99,158.616,32.316,62.234,1.532,0.696,2.642
1695,-18.2138,1.6717,30745,0.205,19.97125,17.22,126.60125,0,61.4825,0.7025,0.32375,1.8525
1694,-18.0233,1.2211,24796.66667,0,12.41333,4.458333,125.465,0,58.39167,0.6916667,0,0
1693,-16.1875,0.8169,17735,0.1325,11.9625,32.4925,117.0425,9.345,60.85,10.795,0.7025,2.0875
1692,-18.1013,1.6395,20115,0.06375,16.69,87.7525,92.77375,6.3575,64.11625,6.18875,1.90625,6.595
1691,-19.7886,1.4457,14685.71429,0,10.01429,2.925714,107.36429,0,54.11,0,0,0
1690,-16.338,1.1255,35028,0,13.15,1.962,130.894,0,58.764,0,0,0
1689,-21.665,1.1921,25986.66667,0.08666667,11.94333,5.506667,105.76667,0,48.34667,0.6016667,0.085,0.4
1688,-19.8286,1.3976,25434.28571,0.2357143,14.21286,22.57571,134.21429,37.415714,53.73286,2.232857,0.55,1.724286
1687,-17.1537,1.6045,16732.5,0,11.21875,9.29125,128.53875,0,54.40625,0.23875,0.06375,0.45375
1686,-17.3057,1.4071,25528.57143,0,10.69857,3.897143,117.52571,0,51.99429,0,0,0.2
1685,-20.8925,0.814,39055,0,16.8625,101.935,135.87,7.315,69.1425,6.695,2.6975,13.5025
1684,-19.0567,1.2123,30343.33333,0,9.046667,43.55,86.091667,0.84333333,57.00667,2.865,0.65,2.94
1683,-18.4117,1.2163,23333.33333,0,8.7,57.15667,49.695,0.87666667,56.19,4.571667,0.47,2.62
1682,-16.6467,0.6166,13753.33333,0,15.21,16.91667,39.82,0,51.28,0,0,0
1681,-19.972,1.031,15144,0,11.122,11.938,40.41,0,44.044,0.948,0.074,0.384
1680,-17.5071,1.4611,21408.57143,0,17.33143,8.41,51.105714,9.5442857,48.19857,0.36,0.04428571,0.26
1679,-17.9933,1.2583,17876.66667,0,15.17667,18.72,42.488333,0,49.52833,1.88,0.1016667,0.5116667
1678,-21.0325,1.6788,13395,0.145,16.365,9.775,61.59375,0,49.09375,0.54875,0.15,0.9175
1677,-20.3152,1.9192,16888.88889,0,19.39556,12.91333,89.875556,5.6544444,56.43556,0.3288889,0.2666667,1.495556
1676,-19.3571,1.6896,29797.5,0,15.9,18.12625,123.14875,0,66.38875,1.67875,0.57125,3.20875
1675,-18.2592,1.3271,28596.66667,0.09166667,18.11667,13.46,194.32833,56.406667,76.46333,1.696667,0.4016667,2.421667
1674,-20.3787,1.9376,18633.33333,0.1244444,15.42333,9.277778,193.05,9.3544444,78.10444,1.33,0.2333333,1.511111
1673,-19.1946,1.4942,20914.28571,0.1914286,13.80286,2.958571,245.60429,0,92.41,0,0,0.18
1672,-18.8278,1.2867,32490,0,12.34833,2.8,137.26667,0,60.28167,0.42,0,0
1671,-19.9586,1.5036,36851.42857,0,9.681429,10.59286,117.05857,1.14,58.81,0.5371429,0.1342857,1.187143
1670,-19.1575,1.7218,24122.5,0.09875,14.40875,53.29875,117.93,1.78,64.45625,2.19125,1.59125,9.66625
1669,-17.5,1.2987,15430,0,12.69,9.166667,106.31833,0,53.77833,0,0.05166667,0.725
1668,-19.284300000000002,1.5445,33942.85714,0,16.77286,11.72857,121.41857,10.42,61.35429,0.8742857,0.18,1.065714
1667,-17.6614,1.5223,30285.71429,0,20.25143,15.33714,160.00286,0.91285714,74.75143,1.334286,0.32,1.792857
1666,-20.71,1.081,23640,0,11.092,41.448,115.808,17.894,55.976,2.772,1.326,4.684
1665,-18.9725,1.7484,24042.5,0,11.46375,23.97625,126.6275,3.53375,62.14625,0.61625,0.3125,3.3075
1664,-18.57,1.5634,23400,0,16.34143,161.8314,149.02,66.394286,69.17143,7.59,1.85,18.05857
1663,-21.908,1.1181,35252,0,13.712,174.992,113.468,30.876,61.866,8.178,3.836,33.798
1662,-19.9889,2.0104,37053.33333,0,18.89222,36.33444,137.66667,0,62.5,2.818889,1.102222,4.752222
1661,-20.382,1.3443,19273.33333,0,21.03833,27.715,120.035,0,57.99833,1.416667,0.6883333,3.376667
1660,-14.3361,1.5822,32042.85714,0,21.65857,71.59429,117.6,31.467143,58.52571,7.665714,3.155714,7.727143
1659,-20.2279,1.8076,17925,0.14875,13.3975,26.555,97.21125,0.62875,47.295,1.65875,1.1225,2.155
1658,-19.4062,1.8129,19170,0.06375,16.8875,918.5075,159.92,83.27,131.1488,38.2825,8.36625,23.40875
1657,-17.865,1.3602,21833.33333,0.1033333,23.68167,48.09333,108.06667,18.833333,52.37667,1.891667,2.481667,2.128333
1656,-17.2508,1.8235,23107.5,0,14.795,25.66125,124.28125,2.9325,57.53875,1.91875,0.6925,2.21875
1655,-15.5754,1.1587,26768,0,16.27,33.192,120.162,1.45,64.46,2.714,1.13,2.714
1654,-17.1165,1.6801,38810,0,15.83167,27,152.01333,0,75.75833,1.413333,0.6533333,2.85
1653,-19.5512,1.4182,29430,0,9.553333,20.93167,133.91,41.47,59.27,2.055,0.9333333,2.606667
1652,-18.6529,1.6616,26594.28571,0,14.24571,10.48571,120.45429,3.1914286,64.961429999999993,0,0.2414286,1.07
1651,-18.32,1.4545,24033.33333,0.3033333,15.51167,19.34167,156.09167,3.25,75.41667,1.781667,0.4933333,2.428333
1650,-17.247,1.6711,28608.57143,0.13,11.07571,21.59286,89.125714,0,64.78,2.584286,0.5171429,2.575714
1649,-19.9256,1.9456,35687.5,0.13375,13.00125,21.18,104.61875,0,67.0725,1.5475,0.79,3.345
1648,-18.0293,1.6805,25708.57143,0,13.81,25.75429,115.50857,0,66.62,2.005714,1.038571,4.372857
1647,-18.8845,1.4424,20630,0.08333333,13.395,6.366667,135.795,0,67.60167,1.005,0.2966667,1.668333
1646,-16.5754,1.3175,23452,0,17.084,20.11,138.176,31.446,61.682,4.242,1.128,2.764
1645,-17.3062,1.5797,15880,0,11.09167,16.36333,119.505,0,55.18167,0.905,0.72,2.623333
1644,-18.687,1.584,27470,0.1016667,13.26667,6.718333,133.575,10.028333,55.38,1.418333,0.1533333,0.5366667
1643,-17.5883,1.8627,25754.28571,0,10.95286,9.385714,139.27429,0,60.73571,1.197143,0.2742857,1.308571
1642,-21.67,1.7375,23390,0,11.465,14.8175,127.3375,0,53.47,0.815,0.4175,1.63
1641,-18.412,2.2649,23824,0,12.596,31.532,126.448,6.264,56.436,2.044,1.574,6.952
1640,-21.2867,0.8007,61626.66667,0,19.25667,8.003333,111.70333,2.29,61.33333,1.93,0.2333333,1.743333
1639,-19.644,1.3429,24808,0.958,19.322,9.714,138.348,31.622,61.784,3.392,0.244,1.932
1638,-17.6469,1.932,25191.42857,0,9.421429,13.05286,94.432857,0,51.69571,0.74,0.3142857,1.834286
1637,-20.8813,1.7023,18540,0,7.165,9.69,94.8,0,48.56667,0.62,0.2683333,1.668333
1636,-18.5855,1.7069,36970,0,10.79167,27.695,107.39,0,61.72667,2.638333,1.141667,5.496667
1635,-17.9658,1.4311,21148,0.11,14.564,15.816,60.75,0,58.73,1.986,0.4,1.908
1634,-13.57,1.7159,30516.66667,0.7566667,24.595,33.47833,31.043333,0,58.88333,4.655,0.7333333,3.325
1633,-15.564,1.4386,53640,0.346,35.55,60.96,41.968,8.378,55.424,7.346,4.954,10.624
1632,-17.6183,1.7249,19833.33333,0.09166667,17.74,17.23,54.048333,0,44.04667,1.586667,1.073333,2.895
1631,-17.208,1.4461,25216,0,20.24,54.752,57.226,5.816,47.478,3.536,3.462,11.072
1630,-19.0917,1.6442,17996.66667,0.09,19.77667,27.17833,54.403333,1.0333333,38.74333,1.351667,1.391667,3.751667
1629,-20.4163,2.2478,17887.5,0.085,21.54125,8.7975,43.29375,0,31.10625,0.39625,0.43625,0.94125
1628,-19.0612,1.4423,19088,0,23.156,2.414,39.456,0,33.28,0,0.068,0
1627,-20.1201,2.0033,32288.57143,0.07857143,20.54,1.217143,45.358571,0,33.71857,0,0.1442857,0
1626,-19.8436,1.4195,23484,0,16.506,5.056,48.848,0,34.694,0.788,0.7,0.362
1625,-19.0823,1.7107,16253.33333,0,14.98167,1.135,42.988333,0,31.62167,0,0.09666667,0
1624,-19.8557,1.715,22270,0.1016667,21.28333,1.165,54.653333,0,38.17167,0.4516667,0.2883333,0.275
1623,-17.2573,1.7193,22053.33333,0,19.11167,1.088333,58.278333,0,38.07667,0,0.4183333,0.2133333
1622,-17.07,1.1898,29980,0,14.1175,1.8025,53.3675,0,31.66,0,0.305,0
1621,-20.0447,1.7279,29800,0.18,14.49833,1.585,64.708333,0.88333333,31.345,0.9316667,0.55,0.5166667
1620,-18.39,1.9008,23056.66667,0.2816667,15.24833,4.813333,100.21833,15.248333,24.235,2.433333,4.613333,2.738333
1619,-17.405,1.9055,19756.66667,0,11.94,1.781667,55.371667,1.7516667,20.145,0.85,1.15,1.286667
1618,-17.346,1.5867,21392,0,14.582,1.948,43.208,0,23.322,2.586,0.476,0.644
1617,-16.98,1.5906,27244,0.132,11.164,1.494,46.552,2.902,23.252,3.256,0.488,0.518
1616,-18.03,1.2849,14900,0.3575,13.045,13.35,44.48,3.2275,20.515,3.775,4.3825,3.865
1615,-18.085,1.288,19200,0.2825,10.39,7.4375,28.6525,0,16.155,1.005,1.5075,2.3575
1614,-18.7933,0.9644,29613.33333,0.1833333,10.15,3.246667,47.52,2.15,15.57333,1.083333,1.52,2.793333
1613,-18.3092,1.606,20340,0,11.496,1.532,57.098,4.934,17.092,4.594,1.05,1.856
1612,-19.9247,1.9694,37926.66667,0,21.615,1.488333,79.926667,40.761667,28.00667,4.25,0.1033333,0.265
1611,-18.0612,1.6607,39468,0,26.69,0.338,95.242,4.63,41.354,0.798,0,0
1610,-19.58,1.0679,276233.3333,0.2333333,6.5,0,7.5766667,2.4,15.34,4.1,0.52,0.65
1609,-16.5733,1.0704,43353.33333,0,8.386667,4.336667,10.576667,23.56,12.67333,3.176667,0.1633333,0
1608,-16.67,0.71,35410,0,11.915,0.515,8.93,3.07,12.855,1.355,0,0
1607,-17.2067,1.0755,98140,0,11.88333,2.56,24.493333,9.6833333,14.39,3.103333,0.47,1.026667
1606,-17.478,1.8072,41412,0,10.998,2.9,34.03,15.376,10.342,4.27,0.624,1.118
1605,-16.9367,1.0805,105120,0,17.43667,0.3633333,30.793333,15.93,12.29,4.776667,0.4166667,0.7766667
1604,-18.892,1.8156,1009920,0,17.37,2.854,48.498,27.272,11.972,7.756,0.62,3.28
1603,-19.72,1.0855,36180,0,19.38,2.126667,108.83,288.26667,13.65333,11.13667,0.3433333,0.9666667
1602,-18.6833,1.088,2167200,0.1733333,10.74,2.17,23.186667,16.466667,13.23333,7.356667,0.3633333,0.44
1601,-19.7167,2.181,537050,0,12.43667,0.5066667,17.131667,20.888333,13.63333,1.263333,0,0
1600,-20.8572,2.1859,88100,0.48,16.29,2.665,123.25,334.91333,12.77833,9.128333,0.43,1.661667
1599,-20.689,1.0793,140346.6667,0.2166667,10.1,1.683333,13.913333,18.563333,13.09333,3.973333,0.1433333,0
1598,-18.17,0.8719,24706.66667,0,18.40333,0,11.356667,14.493333,18.77333,0,0,0
1597,-18.2471,2.039,13962.85714,0,12.98857,0,6.65,0,14.15857,0,0.05714286,0
1596,-17.325,1.1677,21885,0,12.2775,0.835,7.2925,0,13.59,0,0.1675,0
1595,-17.708,1.4629,29972,0,11.428,0.702,6.478,0,13.332,0.52,0.28,0.426
1594,-16.306,1.4988,25888,0,17.164,0.472,12.756,23.534,17.07,0,0.172,0.262
1593,-16.2225,1.2082,19865,0,19.895,0,7.9475,0,20.7775,1.3125,0.0625,0
1592,-17.3783,1.7999,16663.33333,0,26.13,0.18,11.406667,12.308333,26.58,0.43,0.04166667,0
1591,-17,2.6894,40806.66667,0,22.61667,0.4333333,35.79,96.966667,21.13333,1.25,0.3,0
1590,-17.8822,1.4134,39016,0,18.15,0.2,6.286,0,20.93,0,0.1,0
1589,-18.2823,1.0377,27166.66667,0,15.27,0,21.486667,51.766667,18.00333,1.123333,0.2066667,0
1588,-18.245,1.3701,26485,0,18.9,0.28,81.9825,226.4925,19.2175,2.2825,0.08,0
1587,-18.8888,2.134,12832.5,0.24375,16.65875,0,3.66,0,18.84875,0,0.0425,0
1586,-19.75,1.376,20376,1.152,18.156,0,6.606,0,22.918,0,0.116,0
1585,-18.1417,1.7777,20510,0.4116667,27.685,1.093333,117.47,344.56833,26.24333,3.31,0.2266667,0.4183333
1584,-19.8,1.4485,27856,0.51,27.79,0,15.564,0,32.886,0,0.08,0
1583,-15.874,1.5183,30564,0.734,24.186,0,7.22,0,27.682,0,0.056,0
1582,-16.034,1.5383,21032,0.592,24.478,0,17.942,0,33.532,0,0,0
1581,-18.2775,1.4912,18120,0.26,17.98,0.3,15.9175,0,28.39,0,0.0725,0
1580,-17.6067,1.5112,14730,0.4183333,18.90833,0.7783333,37.178333,51.57,28.30333,0.6566667,0,0
1579,-19.0333,1.8172,12046.66667,0.63,26.415,6.28,77.768333,0,48.90333,0.5216667,0.205,0.6016667
1578,-18.1367,1.5175,16890,0.5633333,24.045,5.623333,81.601667,0,52.06667,0,0.17,0
1577,-19.8617,1.47,12386.66667,0.575,17.165,1.871667,41.313333,0,33.62333,0,0.05,0
1576,-21.5025,0.982,22040,0.5575,15.845,0.805,57.565,0,38.995,0,0,0
1575,-19.4529,1.7136,14251.42857,0.07857143,29.65,4.508571,78.391429,34.122857,40.25714,3.965714,0.3371429,1.905714
1574,-19.66,1.7172,11088.57143,0,36.94571,8.657143,164.05143,74.575714,56.82286,7.811429,0.4828571,3.014286
1573,-18.9414,1.7207,26414.28571,0,19.92286,4.462857,132.20286,12.895714,58.68857,1.911429,0.1828571,0.6828571
1572,-17.55,1.2291,25480,0,31.598,7.996,113.876,52.108,47.774,5.912,0.42,2.754
1571,-19.6817,1.4369,12280,0,23.67833,4.008333,102.115,0,56.935,0,0.08666667,0.3983333
1570,-20.8675,0.9427,23475,0.1525,31.7525,5.735,147.64,0,74.725,0,0,1.2475
1569,-16.64,1.1851,20464,0.606,36.374,8.598,116.118,0,67.772,0,0.228,1.218
1568,-19.1933,0.7056,31906.66667,0.55,21.85,6.27,154.07667,0,72.67,1.063333,0.1166667,0
1567,-20.485,1.4313,16366.66667,1.008333,15.34167,7.73,121.61,0,57.90833,1.018333,0.05833333,0.225
1566,-19.1983,1.6761,18160,0.6133333,13.23667,13.05333,74.143333,0,45.625,0.9766667,0.28,1.315
1565,-14.2175,2.095,25940,0.60875,27.2675,6.335,143.3975,0,71.31625,4.06875,0.22375,0.39
1564,-17.4733,1.5266,12280,0.1016667,28.36833,23.475,158.74333,0,69.65833,3.733333,0.8683333,2.925
1563,-17.0614,1.7904,21508.57143,0,19.97857,8.462857,171.96429,0,72.14714,0.6557143,0.3257143,0.67
1562,-18.314,1.2889,23596,0.252,27.338,4.988,196.876,0,82.276,0,0.108,0
1561,-20.1,1.5357,41430,0,21.65667,5.451667,275.30833,0,96.33,0.4433333,0.2133333,0.36
1560,-18.1267,1.5387,29813.33333,0.18,25.555,5.906667,237.535,0,90.125,0.9416667,0.1583333,0.36
1559,-19.7786,1.8045,13811.42857,0,18.93429,9.781429,173.29714,0,69.73857,1.152857,0.2385714,0.7971429
1558,-18.522,1.299,15444,0.204,15.164,32.278,197.83,0,68.928,2.462,0.82,2.904
1557,-18.8786,1.8116,13077.14286,0,11.3,5.21,119.68714,0,53.08857,0.5071429,0.08285714,0.3571429
1556,-17.106,1.2335,12144,0,17.118,5.148,89.544,4.642,45.73,0.59,0.174,0.456
1555,-18.425,1.5008,12026.66667,0,27.02833,8.201667,143.84833,65.62,52.87667,5.638333,0.365,2.685
1554,-17.72,1.026,17715,0,28.345,10.0525,132.035,36.6075,52.0125,5.44,0.475,1.6475
1553,-18.45,1.5242,12900,0,15.345,11.00833,60.136667,0,35.56333,0.4533333,0.2433333,0.7283333
1552,-20.8083,1.5272,9303.333333,0,21.51333,8.87,36.801667,0,30.84167,0,0.08666667,0.3016667
1551,-18.255,1.0141,11505,0.1375,17.2675,21.49,37.1975,0,26.515,1.15,0.4175,1.585
1550,-16.3762,2.0321,14525,0.06875,12.2325,18.135,39.405,0,25.52625,0.92125,0.3525,1.41125
1549,-18.296,1.268,12640,0,17.564,11.126,131.346,0,58.256,0.554,0.082,0.378
1548,-20.05,1.2704,12992,0,17.752,11.05,53.978,0,36.578,0,0.088,0.382
1547,-20.7967,1.5417,8450,0,11.27167,16.98,25.235,0,22.47,1.301667,0.2866667,1.238333
1546,-18.375,1.5445,13773.33333,0,15.78667,6.35,36.891667,0,30.24833,0.8283333,0.05833333,0.2666667
1545,-16.7717,1.5474,12680,0,17.35333,11.73333,15.87,0,26.19667,1.716667,0.145,0.7066667
1544,-20.295,2.0551,13597.5,0,19.025,16.79375,12.69375,0,21.7425,0.74,0.40875,1.4475
1543,-17.972,1.2823,12608,0,22.842,5.464,93.34,0,52.924,0,0.11,0.4
1542,-18.7524,1.3751,15868,0,23.054,1.862,82.056,0,52.69,1.118,0.076,0
1541,-17.6878,1.4139,14652,0,16.814,0.31,50.404,0,37.834,1.118,0.076,0
1540,-19.97,1.4165,15364,0,16.954,1.312,76.846,0,48.28,0,0.06,0
1539,-16.817,0.8551,18293.33333,0,19.05,0,62.67,0,43.53333,0,0.1,0
1538,-17.5967,1.7133,15100,0,16.29333,0.6666667,62.51,0,38.99,0,0.27,0.5066667
1537,-17.7867,1.7165,13746.66667,0,21.71667,0,73.066667,0,48.75667,0,0,0
1536,-17.718,1.4818,18756,0,25.208,0,216.878,0,91.2,0,0,0
1535,-18.8175,1.1546,16040,0,22.925,0,88.2475,0,55.22,0,0,0
1534,-18.41,2.0012,13991.42857,0,20.60857,0,55.334286,0,47.20857,0,0,0
1533,-18.796,1.4346,15780,0,19.658,0,34.258,0,38.372,0,0,0
1532,-19.174,1.4004,17620,0,22.938,0.58,42.09,0,45.316,0,0.112,0
1531,-18.02,1.6244,12773.33333,0,18.85,0,32.476667,2.0266667,36.59333,1.173333,0.1266667,0
1530,-14.3325,1.091,11420,0,15.09,0,29.73,0,31.495,0,0,0
1529,-18.048,1.7043,10212,0,35.29,8.36,26.502,56.828,17.988,13.888,0.588,1.588
1528,-17.1975,1.0392,18825,0,10.1275,0.5475,15.1425,0,21.0725,0,0.07,0
1527,-14.9775,1.0411,14500,0,10.885,0.9525,14.8975,0,19.6675,0,0.15,0
1526,-17.654,1.285,10908,0,15.16,1.36,45.614,0,27.416,1.104,0.432,0
1525,-18.056,1.2873000000000001,13544,0,13.114,0.552,27.556,0,22.044,0.78,0.156,0
1524,-15.88,1.0466,25180,0,13.53,1.015,20.285,0,24.6625,0,0.2575,0
1523,-18.016,1.2918,13336,0,12.334,0.804,15.492,0,22.15,0,0.198,0
1522,-16.64,1.294,11612,0,11.846,0.236,23.508,0,25.546,0,0,0
1521,-15.766,1.2963,12132,0,14.758,0.236,14.98,0,23.634,0,0,0
1520,-16.0693,0.7904,19440,0,12.08667,0.9066667,9.04,0,20.05333,0,0.1233333,0
1519,-19.1132,1.3008,10772,0,9.72,0.416,17.616,0,22.78,0,0.074,0
1518,-18.9157,1.0576,13170,0,7.41,0.515,11.975,0,17.81,0,0,0
1517,-17.9635,1.5701,11476.66667,0,9.66,0.9633333,22.163333,0,24.67,0,0,0
1516,-18.174,1.5728,9496.666667,0,12.63667,0.4066667,15.326667,0,23.11667,0,0,0.51
1515,-19.41,1.063,16855,0,15.045,0.5,26.91,0,31.81,0,0.165,0
1514,-19.16,1.6353,14646.66667,0.22,18.69333,0.47,11.03,0,15.40333,0,0,0
1513,-18.588,1.3143,17052,0.208,10.608,0,13.616,0,17.276,0,0.066,0
1512,-15.8375,1.0685,15725,0.135,12.4025,1.2425,35.525,0,28.4575,0,0.1675,0
1511,-17.18,1.5863,15043.33333,0.09,11.42,0.745,3.3166667,0,13.82,0,0.18,0.9383333
1510,-17.594,1.321,10240,0,12.51,0,17.448,0,22.602,0,0,0.562
1509,-17.432,1.3232,16096,0,10.808,1.332,3.756,0,14.716,0,0.1,0
1508,-17.76,1.0757,13310,0,12.22,0,5.6325,0,15.5975,0,0,0.6225
1507,-18.4692,1.3277,9024,0,14.02,0,5.89,0,16.682,0,0,1.07
1506,-16.836,1.3299,15976,0,10.144,1.334,8.76,0,15.408,0,0.232,0.784
1505,-17.4885,1.0811,11935,0,11.37,0.3375,8.315,0,19.565,0,0.195,0.965
1504,-17.096,0.8122,15166.66667,0,8.166667,0,0,0,13.61333,0,0,0
1503,-18.6042,1.3366,16808,0,7.22,0,2.124,0,12.6,0,0,0
1502,-19.818,1.3388,10676,0,11.044,0.4,4.236,0,15.076,0,0,0
1501,-19.3975,1.0884,15210,0.335,5.275,0.585,3.13,0,16.475,0,0.345,1.07
1500,-16.9867,0.8176,11560,0.83,8.153333,0,2.06,0,16.55667,0,0,0
1499,-17.1333,1.6964,9290,0.835,12.20167,0,0,0,16.62833,0,0,0
1498,-18.24,1.7578,15216.66667,0.7116667,8.04,0,0,0,12.19167,0,0,0
1497,-18.32,1.4673,17772,0.642,12.274,0.564,1.448,0,16.786,0,0,0
1496,-18.5925,1.1757,26865,0,8.015,0,0,0,12.22,0,0,0
1495,-18.642,1.531,19844,0.624,12.926,0,0,0,19.406,0,0,0
1494,-18.036,0.8847,14966.66667,0.2133333,19.16333,0,0,0,21.23667,0,0,0
1493,-17.6046,1.4769,20180,0.136,15.39,0.232,0,0,15.348,4.28,0,0.58
1492,-16.711,0.8876,26246.66667,0.2266667,13.54333,1.58,6.44,3.7133333,11.64,0,0.32,1.16
1491,-17.2874,1.4817,14088,0.272,13.956,1.234,20.884,0,21.242,0,0.152,0.66
1490,-17.5376,1.5435,24392,0,26.48,1.07,48.464,0,40.958,1.16,0.18,0.752
1489,-16.8143,0.8919,19326.66667,0,19.05667,1.963333,17.953333,0,24.88667,0,0.3966667,1.59
